CASC,Cascadian Therapeutics,NASDAQ
N/A,N/A,N/A,N/A
20.34,20.52,20.94,20.28
20.94,22.68,23.52,20.52
23.10,21.84,23.10,21.84
21.60,21.36,21.90,21.00
21.72,21.66,22.26,21.42
21.48,22.14,22.50,21.42
22.20,24.00,24.24,21.90
24.42,24.12,24.42,22.98
24.06,23.82,24.54,23.64
23.64,22.80,23.92,22.50
23.22,23.70,24.06,22.86
23.16,23.82,23.94,22.98
23.94,23.58,24.00,23.40
23.52,21.90,23.52,21.72
21.72,22.56,23.04,21.60
22.38,22.74,22.93,22.08
22.50,22.56,22.93,22.08
22.44,22.50,22.50,22.20
22.38,23.52,24.30,22.02
23.94,24.24,25.32,23.76
24.54,23.70,24.78,23.70
23.58,22.74,23.66,22.38
22.68,21.72,23.04,21.72
22.20,21.00,22.39,12.90
21.00,19.86,21.00,18.30
20.40,21.72,22.08,20.16
21.78,22.14,22.50,21.78
22.32,22.62,22.80,22.14
22.50,22.50,22.56,22.20
22.14,22.38,22.50,21.66
22.20,22.74,22.74,21.36
22.80,21.72,22.80,21.42
21.48,20.70,21.72,20.40
20.28,20.88,21.12,19.68
20.10,20.88,21.30,20.04
20.58,20.22,20.76,19.26
19.50,19.92,20.34,19.50
19.92,19.98,20.82,19.74
20.52,20.76,21.12,19.98
20.52,20.94,21.60,20.46
20.58,21.30,21.48,20.58
21.30,21.66,22.14,21.30
22.08,22.26,22.68,22.08
22.20,22.20,22.64,21.90
22.14,21.18,22.80,21.00
21.12,19.80,21.59,19.80
20.22,20.52,20.94,20.10
21.60,21.00,21.60,20.40
20.76,21.06,21.36,20.70
21.18,22.20,22.20,21.12
22.26,21.90,22.26,21.72
21.60,21.66,22.08,21.42
24.90,24.18,26.10,24.00
24.54,21.90,24.54,21.90
22.44,20.82,23.04,20.82
20.82,20.88,21.72,20.76
21.00,20.70,21.06,20.40
20.76,20.58,21.12,20.52
20.46,20.34,20.82,20.16
20.52,19.98,20.52,19.80
19.98,19.92,20.40,19.68
20.10,19.86,20.28,19.80
19.74,19.02,19.80,18.60
18.96,19.14,19.32,18.90
19.50,19.62,19.68,19.26
19.86,19.92,20.22,19.50
20.10,20.10,20.70,19.69
19.92,20.28,20.46,19.92
20.16,20.28,21.06,20.16
21.90,21.18,21.90,21.00
21.24,21.36,21.84,21.00
21.90,21.96,22.20,21.72
21.96,22.20,22.20,21.90
22.20,21.96,22.20,21.90
21.90,21.90,22.08,21.66
21.78,21.36,22.14,21.18
21.42,21.84,22.02,21.42
21.72,21.90,22.20,21.72
21.48,22.44,22.44,21.18
22.38,22.14,22.50,22.12
21.96,22.08,22.14,21.84
21.84,21.30,21.90,20.77
21.30,21.48,21.78,20.94
21.66,22.38,22.38,21.60
22.44,21.90,22.50,21.60
21.84,21.42,21.96,21.42
21.48,21.66,21.66,21.00
21.00,20.94,21.36,20.70
20.76,20.70,20.94,20.28
20.34,20.58,20.70,20.34
20.28,21.90,21.90,19.68
21.66,21.18,21.72,20.40
21.18,20.70,22.02,20.70
20.70,20.46,20.70,20.04
20.40,20.70,21.00,20.40
20.70,20.46,20.82,20.40
20.34,20.10,20.58,20.04
20.28,19.98,20.46,19.26
20.10,19.62,20.10,19.38
19.50,19.80,19.80,19.32
19.50,19.56,19.82,19.32
19.50,19.86,20.04,19.50
19.86,20.04,20.04,19.56
19.98,19.74,20.04,19.60
19.56,20.04,20.16,19.38
20.10,20.04,20.70,19.92
19.86,20.58,20.64,19.86
20.58,21.36,21.42,20.58
21.42,21.30,21.54,21.00
21.24,21.18,21.30,20.70
21.24,21.24,21.60,20.83
21.48,21.78,21.84,21.18
22.08,22.50,22.62,21.78
22.20,22.86,23.10,21.78
22.56,22.50,22.62,21.24
22.74,22.20,22.74,21.85
22.08,22.86,23.10,21.96
23.10,23.58,23.70,22.32
23.58,26.46,28.38,23.58
26.52,25.50,26.52,25.32
25.44,25.20,25.50,25.08
22.14,19.80,22.50,19.74
20.70,20.58,20.82,20.10
20.58,20.16,20.58,20.10
20.22,20.58,20.70,20.16
20.94,20.94,21.18,20.64
21.18,21.30,21.30,20.88
21.12,21.42,21.48,20.64
21.48,21.12,21.48,20.94
21.06,21.72,21.78,20.70
22.50,20.88,22.74,20.82
21.84,21.30,21.84,20.70
21.36,20.52,21.36,20.46
20.52,21.00,21.18,19.98
21.00,20.40,21.24,19.98
20.52,20.16,20.52,20.16
20.40,20.28,20.46,20.10
20.28,20.04,20.40,20.04
20.34,20.22,20.34,19.98
20.22,20.28,20.28,19.98
20.28,19.86,20.28,19.86
19.86,20.46,21.42,19.68
20.46,19.86,20.64,19.86
19.92,19.92,20.34,19.80
19.92,19.74,20.22,19.68
19.92,19.86,20.10,19.68
19.86,20.64,20.64,19.80
20.70,20.22,21.00,20.16
20.52,20.46,20.52,19.98
20.28,20.34,20.58,20.08
20.94,20.28,20.94,20.22
20.52,20.52,20.58,19.98
20.58,20.22,20.58,20.16
19.86,20.40,20.40,19.86
20.16,19.86,20.46,19.86
19.98,20.82,20.82,19.98
20.64,20.22,20.64,20.16
20.46,19.92,20.46,19.92
20.28,19.62,20.28,19.56
19.98,19.98,20.04,19.68
20.10,20.10,20.16,19.82
19.98,20.52,20.52,19.80
20.34,20.34,20.54,20.10
20.46,20.34,20.88,20.28
20.64,20.58,20.70,20.34
20.34,20.34,20.40,20.22
20.22,20.10,20.40,19.98
20.28,19.98,20.82,19.92
19.92,19.92,20.16,19.80
19.86,19.98,20.04,19.80
19.74,20.28,20.34,19.50
20.28,20.22,20.48,19.86
20.22,19.68,20.28,19.68
19.80,19.50,20.04,19.50
19.50,19.32,20.04,19.32
19.38,19.38,19.68,19.38
19.32,19.50,19.62,19.26
19.26,18.90,19.38,18.90
18.96,19.92,20.04,18.66
19.86,19.50,20.10,19.50
19.44,20.70,20.70,19.26
21.00,20.76,21.12,20.40
20.58,20.70,21.00,20.16
20.82,23.34,25.20,20.76
21.60,20.94,22.20,20.88
21.00,19.86,21.24,19.80
19.98,19.32,20.22,19.32
19.38,19.38,19.74,19.32
19.44,19.62,19.74,19.04
19.68,19.56,19.68,19.38
19.38,19.62,19.62,19.38
19.56,19.44,19.62,19.32
19.50,19.50,19.62,19.44
19.44,19.44,19.62,19.44
19.38,19.26,19.56,19.20
19.20,19.14,19.32,19.02
19.14,19.02,19.20,19.02
19.02,19.02,19.14,18.96
19.08,19.08,19.20,19.02
19.07,19.56,19.74,18.84
19.86,19.32,20.10,19.32
19.68,19.08,19.68,18.90
19.08,18.78,19.26,18.60
18.84,18.42,18.84,18.30
18.60,18.36,18.78,18.30
18.60,18.66,18.72,18.36
18.60,18.72,19.14,18.60
18.78,18.90,19.14,18.66
18.96,18.48,18.96,18.36
18.30,18.48,18.78,18.30
18.48,18.42,18.50,18.00
18.30,18.24,18.48,17.94
18.06,18.90,19.20,18.06
18.72,18.84,19.20,18.54
18.90,18.48,19.14,18.36
18.48,18.36,18.60,18.24
18.42,18.30,18.54,18.18
18.30,18.30,18.54,18.18
18.24,18.24,18.42,18.06
18.36,18.30,18.54,18.12
18.12,18.48,18.60,18.12
18.42,19.92,19.98,18.42
20.04,19.74,20.10,19.32
19.74,19.92,20.10,19.20
19.92,19.68,20.22,19.61
19.86,19.26,19.86,19.08
19.14,19.02,19.62,18.90
18.84,19.19,19.78,18.84
19.20,19.02,19.74,19.02
19.02,19.32,19.56,19.02
19.20,19.26,19.50,19.20
19.26,19.20,19.56,19.08
19.14,19.26,19.32,19.14
19.20,19.20,19.32,18.60
19.08,18.90,19.44,18.78
18.90,19.56,19.69,18.84
19.50,20.10,20.58,19.26
20.58,21.06,21.72,19.74
21.00,20.94,21.60,20.58
21.00,20.40,21.54,20.29
20.40,20.22,20.88,20.16
20.52,21.18,22.08,20.52
21.36,21.18,21.60,21.00
21.30,21.36,21.36,20.76
21.48,22.26,22.62,21.48
22.08,22.02,22.32,21.96
22.14,22.14,22.50,21.85
22.14,23.76,23.94,22.14
24.00,23.34,24.66,23.34
23.22,23.10,23.82,22.62
23.64,23.34,24.24,22.98
23.52,23.22,23.82,23.10
23.52,22.80,23.76,21.78
23.46,23.46,24.12,22.68
23.40,23.64,23.70,22.98
23.58,24.60,25.08,23.28
24.60,25.20,25.38,22.50
24.48,24.96,25.87,24.39
25.74,24.66,25.74,24.54
24.72,24.54,25.44,24.42
24.84,24.66,24.96,24.36
24.54,24.24,24.72,24.24
24.36,24.78,24.78,24.12
24.78,24.60,25.02,24.12
24.54,24.24,24.72,24.18
24.48,24.36,24.90,24.24
24.90,25.20,25.44,24.42
25.44,27.90,28.38,25.37
27.90,28.74,30.96,27.90
28.74,29.70,31.62,28.57
30.36,29.64,30.36,29.04
26.46,27.18,28.68,26.18
27.12,27.24,27.84,26.70
27.30,26.94,27.48,26.10
26.88,25.86,26.88,25.80
25.86,25.74,27.06,24.90
25.74,26.82,28.32,25.74
30.00,29.82,31.80,27.96
30.00,29.58,30.18,28.80
29.64,29.10,29.64,28.50
29.10,33.00,33.18,28.38
33.06,35.46,36.06,32.64
35.10,33.54,37.14,33.30
33.72,33.96,34.44,33.00
34.20,34.20,34.74,33.36
34.50,33.66,34.80,33.36
33.54,33.42,33.90,33.30
33.36,33.90,34.44,32.34
34.50,35.82,37.44,34.08
35.88,35.82,36.90,35.70
35.88,36.12,36.60,35.46
36.30,38.58,39.00,36.30
39.60,38.82,40.62,37.68
38.70,37.32,39.72,37.20
37.50,37.98,38.40,37.44
37.44,37.68,38.58,37.20
37.20,37.26,37.92,36.66
37.14,36.90,38.46,36.66
37.14,39.06,39.36,36.90
39.24,39.66,40.92,38.82
39.78,41.58,41.94,39.00
41.94,42.54,42.78,41.10
42.96,43.86,45.36,42.61
43.62,44.28,45.30,41.70
44.28,46.98,47.94,43.98
47.58,48.60,49.44,46.14
48.18,51.06,51.06,47.64
52.44,51.05,56.64,49.56
52.50,48.90,53.94,46.80
49.20,51.42,53.10,48.60
53.64,53.70,56.58,50.88
54.48,55.14,55.68,52.80
55.14,56.58,57.00,53.16
56.94,55.80,57.66,55.32
56.16,55.14,56.58,54.18
53.22,55.80,56.16,53.16
55.80,55.32,56.10,53.76
55.38,55.20,55.68,54.30
55.32,53.46,55.68,53.10
52.14,51.24,52.14,50.28
51.00,51.24,52.08,50.40
51.12,47.46,51.12,47.40
47.40,50.94,51.00,47.04
50.70,48.42,51.54,48.30
48.66,48.60,49.44,48.00
47.94,48.30,49.50,47.16
48.84,53.04,53.70,48.84
59.70,61.20,63.66,55.92
61.20,60.78,69.54,60.00
61.62,58.14,62.04,57.00
57.72,49.92,57.90,49.56
50.70,47.76,51.24,47.52
47.40,47.58,50.40,46.32
48.24,47.04,49.20,46.80
48.24,48.06,49.50,46.50
50.10,46.50,50.16,46.32
46.44,42.58,45.78,41.40
42.54,43.20,45.78,41.40
40.44,39.72,42.30,39.60
40.02,39.12,44.40,37.86
37.98,35.70,38.58,34.02
36.66,41.34,42.36,36.06
39.24,37.14,40.56,36.73
37.44,38.76,39.30,36.72
40.20,40.08,40.98,37.98
40.56,42.78,43.32,40.50
42.48,41.34,42.66,40.20
41.34,41.64,42.60,41.10
40.56,39.30,40.92,38.70
39.00,40.20,41.88,38.46
41.40,40.38,43.20,39.24
40.68,42.84,42.84,40.26
42.84,42.06,43.14,40.86
42.48,41.94,42.48,41.58
41.64,42.78,42.90,40.86
43.26,45.78,46.50,43.20
45.30,45.00,46.01,44.10
45.48,43.08,46.38,42.42
43.20,42.18,44.04,41.94
41.40,42.90,45.96,40.50
41.40,43.44,43.68,41.10
43.80,44.10,46.14,43.08
44.10,43.74,44.94,43.20
43.44,42.36,43.98,41.77
41.40,42.66,43.92,41.40
42.90,43.14,43.20,41.54
43.20,42.54,44.28,42.00
42.90,42.90,43.44,42.48
43.20,42.48,43.20,42.00
42.06,41.04,42.72,40.62
41.22,40.44,42.12,40.20
40.26,40.56,42.00,40.20
39.78,39.24,40.32,38.16
39.12,39.24,40.00,38.82
39.66,39.54,40.38,38.22
40.38,39.54,41.22,38.52
39.72,37.56,39.78,37.50
38.46,36.78,39.08,35.16
36.24,35.88,36.66,35.76
35.82,35.04,36.60,34.38
34.68,35.88,36.60,33.78
36.18,36.18,37.20,35.58
36.00,37.38,37.86,35.34
37.44,36.84,37.68,35.53
37.44,38.16,38.28,36.60
37.98,38.10,38.28,37.26
38.40,37.38,38.40,37.08
37.08,38.10,38.34,36.72
38.40,38.40,38.40,37.32
38.40,37.38,38.52,36.72
37.32,38.22,39.21,36.43
38.40,37.08,38.82,36.60
37.86,37.62,38.10,36.60
38.22,38.10,38.52,36.96
38.22,41.22,41.81,37.98
41.16,40.02,41.16,39.84
40.68,40.86,41.04,39.00
42.00,42.96,43.44,41.28
42.90,45.21,45.24,41.70
44.70,41.76,44.76,41.70
40.50,40.26,40.68,39.00
40.80,39.24,40.98,39.00
39.66,39.18,40.26,37.86
38.70,39.00,39.54,37.56
38.94,37.50,39.00,37.02
37.56,37.26,37.80,36.12
36.96,36.48,37.80,35.58
36.90,36.96,37.14,35.76
37.38,37.14,37.50,36.42
37.02,38.64,39.36,37.02
38.70,38.46,39.00,37.14
38.28,41.52,44.34,37.08
41.64,43.68,45.66,40.80
44.94,42.84,46.20,42.72
42.48,42.00,42.60,41.28
42.00,43.20,44.04,41.46
42.90,41.58,43.26,41.58
41.58,39.96,41.70,39.84
41.10,41.04,42.18,40.50
41.10,42.06,42.60,40.38
43.02,41.88,43.32,41.58
41.82,41.52,42.60,41.52
41.88,41.16,42.18,41.10
41.64,42.84,43.32,41.40
42.90,48.96,49.50,42.66
48.72,48.12,51.00,47.04
48.06,48.66,49.50,47.04
48.96,49.50,50.76,48.30
49.38,47.94,51.66,47.40
48.30,48.00,49.02,47.16
47.88,47.16,48.27,46.26
47.64,45.06,47.64,44.58
45.36,46.02,46.98,44.70
46.32,45.12,47.34,45.00
46.20,46.26,47.34,45.78
46.26,47.04,47.58,45.72
47.40,46.92,48.90,46.56
46.20,46.08,47.22,45.24
46.08,45.72,46.50,45.18
45.66,44.82,46.08,44.46
44.94,45.66,45.78,44.64
45.66,45.48,45.66,44.76
46.20,44.58,46.26,44.46
44.52,43.92,45.06,43.86
43.86,40.74,44.10,40.50
40.68,42.21,42.90,40.02
43.20,42.96,44.34,42.06
43.62,43.98,44.04,43.02
44.10,43.50,44.10,43.32
43.74,41.46,43.86,41.16
41.16,40.68,41.28,40.38
40.80,40.26,41.85,39.84
40.26,38.82,40.55,38.70
39.12,37.74,39.24,37.38
37.56,38.82,39.18,37.38
39.54,37.32,40.20,37.26
38.46,37.92,39.84,37.02
39.66,38.70,39.90,38.10
39.00,38.58,40.20,38.40
38.70,40.44,40.56,38.28
39.36,39.06,40.44,39.06
39.60,40.86,41.22,39.24
41.28,45.36,46.20,41.04
45.36,46.02,46.08,44.70
46.50,47.46,48.30,46.20
47.22,47.88,48.60,46.26
47.94,50.46,51.00,47.40
52.08,49.32,52.62,46.92
49.38,48.06,49.50,47.28
47.82,50.40,50.40,47.48
50.76,53.22,54.78,50.52
54.12,49.92,55.38,48.72
49.98,49.02,50.70,47.71
48.72,49.44,49.62,48.12
50.46,51.60,53.10,49.56
53.55,53.40,54.54,51.48
53.76,51.72,54.00,51.25
52.92,53.76,54.00,51.96
53.64,52.74,53.88,52.68
52.26,52.44,53.28,51.96
52.14,51.60,53.40,51.00
51.90,49.20,53.04,49.14
49.38,50.70,51.30,48.96
50.70,50.40,52.44,50.10
50.46,50.46,51.00,49.38
32.52,30.42,34.20,29.28
30.12,31.50,31.50,28.80
31.98,31.20,32.82,30.90
31.08,30.24,31.26,30.06
30.18,29.82,30.41,29.46
29.88,28.80,29.94,27.36
29.76,29.04,29.94,28.26
29.04,28.80,29.10,28.02
29.22,29.82,30.00,28.56
29.58,29.22,29.70,28.80
29.04,28.74,29.16,28.20
28.56,27.12,28.86,27.00
26.64,26.04,27.12,25.50
25.80,26.82,26.82,24.66
27.00,26.04,27.12,25.50
25.98,26.82,27.00,25.80
26.94,26.10,27.00,25.44
25.26,25.50,25.92,24.72
25.62,26.16,26.70,25.50
26.22,26.16,26.46,25.44
26.04,25.44,26.28,25.26
25.38,25.44,25.50,25.02
25.20,25.56,25.80,25.20
25.44,24.90,25.56,24.78
24.84,24.84,25.11,24.60
24.90,25.71,26.52,24.84
25.68,25.62,26.40,25.44
25.50,25.26,25.98,24.78
25.98,24.36,25.98,24.00
24.48,25.20,25.26,24.36
25.02,24.36,25.14,24.18
24.24,24.27,25.14,24.18
24.60,24.66,24.90,24.36
24.42,23.94,24.84,23.70
23.94,24.06,24.30,23.67
24.30,25.74,25.74,24.18
25.68,25.44,25.92,24.84
25.44,26.10,26.34,25.32
26.16,25.74,26.82,25.62
25.86,25.80,26.10,25.26
25.56,25.86,26.10,25.44
25.92,24.90,26.16,24.78
24.72,24.24,24.78,24.24
24.24,24.42,24.96,24.06
24.48,24.48,24.78,24.06
24.36,24.12,24.66,24.00
24.48,24.60,24.90,24.24
24.48,24.78,24.90,24.30
24.66,24.06,24.72,24.00
23.82,24.00,24.48,23.64
24.18,23.64,24.36,23.58
23.64,22.26,23.82,22.08
22.26,20.58,22.44,20.10
20.58,20.94,21.48,20.40
21.00,21.96,23.28,21.00
22.26,22.08,23.16,21.30
22.08,21.18,22.32,21.00
21.24,22.02,22.20,21.18
22.20,22.32,22.50,21.72
22.08,21.72,22.38,21.66
21.72,21.78,22.02,21.30
21.42,21.06,21.78,21.06
21.36,21.12,21.48,20.70
21.06,22.08,22.08,21.06
22.14,22.20,22.20,21.66
22.26,22.02,22.50,21.96
21.90,22.20,22.32,21.72
22.38,21.48,22.38,21.30
21.66,21.66,21.72,21.12
21.84,22.98,23.94,21.66
22.92,23.10,23.46,22.74
23.10,23.52,24.00,23.10
23.28,23.46,24.00,23.22
23.64,25.38,25.56,23.58
25.86,26.76,26.82,25.38
26.82,28.02,29.46,26.52
28.26,29.28,29.52,27.72
28.62,28.08,28.98,27.67
28.08,28.20,29.04,28.02
28.56,28.74,28.86,27.66
28.44,27.48,29.04,26.94
28.08,28.08,28.14,27.30
28.02,29.82,29.82,28.02
29.94,29.22,30.42,27.78
29.22,28.50,29.28,27.96
28.32,27.60,28.50,27.24
27.48,27.84,28.38,27.06
27.90,26.76,28.20,26.52
26.76,26.76,27.00,26.28
26.52,26.16,26.82,25.26
26.10,25.98,26.76,25.68
25.92,25.50,26.70,25.32
25.50,25.20,25.98,24.78
25.20,25.26,25.80,24.66
25.26,25.44,25.62,24.90
25.20,25.71,25.92,24.90
25.20,25.26,25.56,24.96
25.32,24.75,25.38,24.54
24.96,24.42,25.08,24.18
24.78,25.68,25.92,24.42
25.86,26.82,26.82,25.38
26.76,26.10,26.77,25.68
26.10,25.38,26.22,25.02
25.56,25.20,26.40,24.60
25.02,25.26,25.56,24.66
25.74,25.44,26.10,25.14
25.56,27.00,27.42,25.50
27.12,27.60,27.75,26.76
27.48,27.00,27.66,26.76
26.88,26.10,27.00,24.72
26.10,26.28,26.70,25.86
26.16,25.80,26.34,25.32
25.92,25.56,26.16,25.32
25.44,25.80,25.86,25.44
25.80,27.78,27.84,25.68
27.66,27.60,27.66,27.00
27.30,27.06,27.30,26.58
27.18,27.18,28.20,26.70
27.00,26.82,27.06,26.40
26.70,26.22,26.70,26.04
27.78,28.92,29.64,27.42
28.92,29.10,29.63,28.38
29.04,30.72,31.02,28.80
30.84,32.88,33.24,30.48
32.52,30.72,33.48,30.66
31.20,31.74,32.16,30.72
31.80,31.56,31.92,30.54
31.50,31.20,32.22,30.96
31.38,31.68,32.22,30.90
31.86,31.98,32.34,31.26
32.10,31.44,32.94,31.38
31.50,31.44,31.92,31.26
31.62,32.04,32.46,31.62
32.16,33.60,33.90,31.68
33.72,34.44,35.16,33.60
34.32,34.32,35.22,34.20
34.08,34.32,34.98,33.97
34.32,34.08,34.50,33.96
33.90,34.98,35.10,33.60
35.40,36.96,37.20,35.03
36.84,35.88,37.44,35.76
36.24,33.96,36.42,33.96
33.96,30.42,34.44,29.16
31.26,30.75,31.50,30.39
30.60,30.78,30.96,29.88
31.14,30.84,32.52,30.60
30.90,30.96,31.44,30.54
31.08,31.08,31.50,30.60
31.32,31.92,32.28,31.32
31.98,31.62,32.88,31.50
31.38,30.90,31.80,30.78
30.54,29.82,31.08,29.70
29.88,29.64,30.12,29.34
29.88,30.66,30.90,29.88
30.66,30.66,31.38,30.42
30.72,31.62,31.71,30.36
31.80,31.74,32.10,31.32
31.68,32.88,33.00,31.44
32.82,32.82,33.48,31.80
32.46,30.96,32.70,30.42
30.78,30.78,30.96,30.48
30.42,31.68,31.98,30.00
31.80,30.48,32.04,30.42
30.78,30.72,31.08,30.30
30.84,30.72,31.74,30.48
30.84,30.48,31.38,30.06
30.42,30.18,30.84,30.06
30.42,30.06,30.47,29.88
30.00,30.12,30.48,29.94
30.18,30.06,30.72,29.94
30.00,29.04,30.12,28.50
28.26,28.74,29.28,28.26
28.62,28.33,29.52,27.66
28.38,28.02,28.98,27.72
28.14,27.78,28.62,26.52
27.78,26.94,27.78,26.40
26.94,26.94,28.50,25.98
26.88,27.24,27.84,26.58
27.90,27.36,28.80,26.88
27.24,28.32,28.38,27.12
28.32,28.56,29.10,27.96
28.68,28.50,28.80,28.10
28.50,28.26,28.68,27.90
28.20,27.96,28.50,27.93
27.72,27.60,28.02,27.21
27.78,27.54,28.44,27.00
27.60,27.48,27.96,27.36
27.66,26.70,27.90,26.70
26.76,26.64,28.08,26.64
26.82,25.77,27.42,25.50
26.34,24.78,26.52,24.18
25.20,23.82,25.44,23.28
24.66,24.12,24.84,23.58
24.30,27.54,27.60,24.00
28.44,28.44,30.96,28.20
28.68,26.88,29.76,26.82
27.00,27.48,27.90,26.70
27.84,26.46,28.68,26.28
26.58,27.00,27.36,26.22
10.50,13.14,13.14,10.26
12.90,12.25,13.08,12.00
12.06,12.00,12.24,11.52
11.82,11.34,11.82,11.28
11.34,11.37,11.52,10.86
11.40,11.34,11.52,11.28
11.16,11.04,11.34,10.98
10.86,11.52,11.79,10.80
12.54,12.18,12.54,11.52
12.30,12.24,12.30,12.06
12.30,12.36,12.60,12.24
12.48,12.30,12.48,11.82
12.36,12.48,12.60,12.06
12.60,13.62,13.92,12.42
13.56,13.32,14.52,13.02
13.68,14.10,14.16,13.20
14.22,13.86,14.40,13.62
13.80,13.74,14.04,13.26
13.44,13.62,14.10,13.38
13.74,13.50,13.80,13.44
13.38,13.14,13.38,12.96
12.90,12.60,13.14,12.42
12.54,12.36,12.78,12.36
12.36,11.64,12.48,11.58
11.76,11.82,12.12,11.64
11.94,12.00,12.12,11.76
12.00,12.00,12.18,11.94
12.12,12.00,12.12,11.76
11.94,11.88,12.00,11.76
12.00,12.12,12.60,11.94
12.06,11.94,12.24,11.82
12.06,11.88,12.12,11.82
11.82,12.00,12.00,11.76
12.00,11.76,12.03,11.58
11.88,11.70,11.88,11.58
11.70,11.82,11.94,11.70
11.88,11.88,12.00,11.76
11.94,11.94,12.06,11.82
11.88,11.34,12.00,11.34
11.40,11.70,11.76,11.28
11.58,11.70,11.88,11.40
11.70,11.70,11.88,11.70
11.76,11.70,11.82,11.40
11.76,11.58,11.76,11.46
11.52,11.28,11.64,11.28
11.22,11.16,11.28,10.80
11.52,12.24,12.90,11.46
12.18,12.42,12.72,12.03
12.42,13.08,13.38,12.36
13.62,13.50,14.04,13.20
13.74,13.44,13.74,12.96
13.50,13.08,13.50,12.60
13.20,13.08,13.20,12.90
13.20,13.50,13.50,13.14
13.50,13.38,13.68,13.20
13.38,13.32,13.56,13.14
13.38,13.32,13.38,12.66
13.56,13.26,13.56,12.84
13.26,13.38,13.50,13.02
13.38,13.38,13.38,13.02
13.44,13.20,13.50,13.02
13.32,13.08,13.32,12.96
12.96,12.84,13.32,12.66
12.96,12.66,12.96,12.48
12.60,12.78,12.93,12.54
12.90,12.48,12.90,12.36
12.30,12.66,12.78,12.30
12.78,12.45,12.78,12.42
12.48,13.20,13.20,12.48
13.08,12.90,13.20,12.72
12.90,12.54,12.96,12.42
12.54,12.60,12.72,12.24
12.42,12.60,12.90,12.42
12.54,12.96,13.26,12.36
13.08,13.80,14.33,12.87
14.10,14.47,15.42,13.63
14.46,14.58,14.64,13.74
14.58,14.04,14.58,13.98
13.74,13.56,14.40,13.20
13.62,13.92,14.04,13.26
13.74,13.68,13.80,13.14
13.74,13.86,13.92,13.26
13.68,14.46,14.52,13.68
14.40,15.75,16.38,14.10
15.78,15.42,16.20,14.94
15.36,15.78,15.90,15.00
15.90,15.78,16.86,15.66
15.84,15.60,16.14,15.36
16.08,15.48,16.08,15.18
15.42,15.06,15.48,14.70
14.82,14.58,15.06,14.40
14.70,15.06,15.18,14.70
15.18,15.06,15.72,15.00
15.12,15.60,15.84,14.70
15.78,15.60,16.02,15.18
15.54,15.36,15.72,15.30
15.24,15.36,15.75,15.18
14.40,15.06,15.06,13.98
15.60,15.66,15.90,14.82
15.66,15.24,16.08,15.18
15.12,15.66,15.66,14.70
16.14,11.82,16.20,11.70
12.00,11.94,12.54,11.82
12.00,12.00,12.12,11.88
12.12,12.00,12.30,11.88
12.00,11.76,12.00,11.76
11.70,11.70,11.76,11.46
11.70,11.52,11.70,11.46
11.76,11.58,11.94,11.46
11.46,11.40,11.70,11.40
11.58,11.34,11.94,11.16
11.34,11.10,11.52,11.10
11.34,10.62,11.46,10.62
10.56,10.38,10.68,9.90
10.50,10.80,10.95,10.20
10.92,10.86,11.10,10.50
10.98,11.16,11.16,10.80
11.34,11.40,11.82,11.28
11.10,11.46,11.88,11.04
11.70,11.04,11.70,10.98
10.98,11.22,11.34,10.80
11.16,11.10,11.37,10.98
11.34,10.74,11.34,10.68
10.86,10.65,10.98,10.26
10.74,10.80,10.92,10.62
10.62,10.62,10.68,10.32
