AUMN,Golden Minerals Company Common Stock,NASDAQ
11.27,11.68,12.00,11.20
11.72,11.65,12.21,11.57
11.61,11.41,11.61,10.95
11.44,12.50,12.55,11.44
12.74,12.23,12.76,12.20
12.36,12.07,12.44,11.89
11.78,11.42,11.78,11.34
11.66,11.59,12.12,11.53
11.55,13.19,13.30,11.55
13.19,13.34,13.71,13.05
13.13,12.53,13.13,12.27
12.67,12.22,12.82,12.18
11.93,12.59,12.59,11.93
12.74,14.05,14.08,12.54
13.86,13.87,14.28,13.81
13.72,13.42,14.09,13.22
13.99,13.80,14.00,13.45
13.79,14.06,14.38,13.67
14.15,13.61,14.60,13.41
13.48,13.63,13.78,13.01
13.65,13.00,13.76,12.95
12.88,12.99,13.19,12.64
12.90,12.59,13.03,12.20
12.44,12.42,12.58,12.12
12.45,12.20,12.61,11.85
11.71,11.76,11.80,11.38
11.71,11.92,12.18,11.70
11.92,11.35,12.02,11.34
11.30,12.15,12.41,11.30
12.35,11.88,12.35,11.80
11.11,9.37,11.29,9.20
9.00,8.69,9.13,8.54
8.70,8.28,8.74,7.96
8.43,8.41,8.85,8.31
8.51,7.71,8.51,7.65
7.83,7.80,7.99,7.50
7.71,7.40,7.72,7.35
7.29,7.07,7.75,7.05
6.75,6.82,7.03,6.15
6.93,7.27,7.29,6.72
7.20,7.63,7.65,7.19
7.86,7.19,7.86,7.15
7.49,8.10,8.19,7.39
7.95,8.32,8.41,7.87
8.63,9.05,9.37,8.45
8.92,8.64,9.01,8.36
8.90,8.93,8.95,8.55
8.65,7.93,8.72,7.92
7.77,8.50,8.61,7.43
8.28,7.68,8.35,7.62
7.49,7.37,7.72,7.17
7.49,7.59,7.65,7.32
7.53,7.66,8.05,7.52
7.26,7.50,7.84,7.26
7.62,7.34,7.82,7.29
7.27,7.52,7.61,7.27
7.23,7.55,7.75,7.16
7.47,7.06,7.71,7.02
6.76,7.34,7.37,6.61
7.44,7.58,7.63,7.30
7.74,8.81,8.89,7.53
8.77,8.39,8.77,8.21
8.39,8.42,8.57,8.13
8.44,8.72,8.82,8.34
8.39,7.86,8.45,7.82
7.84,7.66,7.97,7.22
7.76,8.04,8.16,7.70
8.09,7.59,8.09,7.56
7.65,7.29,7.65,7.21
7.20,7.05,7.27,7.02
6.90,7.04,7.16,6.80
6.92,7.14,7.21,6.92
7.24,6.68,7.24,6.61
6.62,6.51,6.71,6.42
nan,6.32,nan,nan
6.18,6.09,6.27,6.06
6.37,6.10,6.65,6.06
6.13,6.42,6.58,6.12
6.79,6.87,7.12,6.75
6.87,6.81,7.11,6.74
6.99,6.58,6.99,6.55
6.71,6.39,6.71,6.36
6.54,6.50,6.71,6.18
6.63,6.48,6.67,6.37
6.35,6.18,6.43,6.16
6.28,6.31,6.34,6.18
6.27,6.21,6.33,6.13
6.25,5.73,6.27,5.66
5.62,5.46,5.64,5.25
5.53,5.40,5.61,5.29
5.61,5.37,5.68,5.37
5.49,5.34,5.51,5.32
5.46,6.08,6.19,5.46
6.14,5.85,6.23,5.80
5.78,5.64,5.82,5.62
nan,5.78,nan,nan
5.78,5.64,5.87,5.57
5.60,5.47,5.64,5.43
5.49,5.59,5.79,5.49
nan,5.78,nan,nan
6.09,6.49,6.64,5.94
6.44,6.40,6.60,6.30
6.27,6.29,6.35,6.06
6.38,6.18,6.42,6.17
6.24,6.16,6.29,6.16
6.43,7.31,7.40,6.43
7.52,7.58,7.80,7.18
7.74,8.24,8.69,7.74
nan,8.38,nan,nan
9.05,8.34,9.24,8.27
8.28,8.40,8.52,8.04
8.42,8.28,8.60,8.26
8.22,8.77,8.85,8.17
9.04,9.02,9.25,8.98
8.93,8.84,9.04,8.76
8.79,9.32,9.37,8.41
9.44,9.19,9.55,8.79
8.70,9.74,9.80,8.70
9.69,9.60,9.79,9.52
9.87,9.68,9.93,9.40
9.74,9.86,9.90,9.70
9.92,10.38,10.47,9.84
10.31,10.37,10.58,10.26
10.29,10.40,10.41,10.14
10.19,10.16,10.33,9.92
10.28,9.77,10.28,9.64
10.10,9.43,10.10,9.42
9.22,8.95,9.22,8.84
8.98,9.23,9.46,8.94
9.17,8.92,9.39,8.75
8.88,8.94,9.11,8.78
8.87,9.24,9.44,8.87
9.36,9.03,9.36,8.94
9.19,9.30,9.72,9.18
9.32,9.42,9.59,9.25
9.85,9.52,9.85,9.36
9.49,9.31,9.57,9.27
9.07,9.03,9.20,8.91
9.14,9.20,9.20,8.95
9.29,8.36,9.40,8.32
8.48,8.35,8.62,8.31
8.30,7.87,8.31,7.80
7.82,7.37,7.82,7.25
7.10,6.87,7.10,6.69
6.94,7.22,7.30,6.83
7.36,7.42,7.43,7.11
7.35,7.41,7.53,7.16
7.22,6.97,7.32,6.94
6.95,6.96,7.05,6.82
6.85,6.66,6.91,6.60
6.73,6.97,7.00,6.62
7.01,7.30,7.53,6.92
7.37,7.70,7.86,7.27
7.50,7.72,7.76,7.43
7.75,7.59,7.83,7.57
7.37,7.48,7.54,7.29
7.58,7.85,7.94,7.58
7.92,8.64,8.65,7.89
8.62,8.64,8.75,8.44
8.31,8.38,8.50,8.26
8.27,8.26,8.29,7.92
8.42,8.44,8.52,8.37
8.37,8.60,8.64,8.31
8.60,8.39,8.63,8.27
8.10,7.61,8.10,7.53
