NKE,Nike,NASDAQ
73.37,73.83,74.50,73.08
74.42,74.57,74.70,73.63
74.80,74.94,75.23,74.47
75.49,74.35,75.92,73.82
74.44,72.46,75.00,72.17
72.66,72.52,73.18,71.50
70.01,69.63,70.67,69.20
69.86,70.12,70.47,68.90
70.50,70.50,70.87,69.63
69.63,68.17,69.67,67.44
67.94,67.55,69.14,67.30
67.89,68.07,68.50,66.77
68.19,67.86,68.94,67.43
68.21,67.21,69.17,66.34
67.47,68.56,68.59,67.01
69.23,70.28,70.48,69.02
70.16,70.15,70.21,69.52
69.97,69.81,70.47,69.28
70.40,70.47,70.92,70.02
70.16,70.54,70.60,69.47
70.34,70.65,70.80,69.35
70.35,68.96,70.66,68.69
69.14,68.61,69.47,68.19
67.90,69.84,70.00,67.62
70.13,69.65,71.07,69.31
70.39,71.56,72.12,70.36
71.50,72.74,73.16,71.16
72.71,73.22,73.95,72.48
73.70,73.68,73.85,72.84
73.64,73.11,74.02,72.87
73.65,73.53,74.11,72.68
73.01,73.64,73.95,72.64
74.39,74.32,74.97,73.94
74.20,73.10,74.20,72.85
73.18,74.00,74.37,73.13
73.45,74.06,74.36,73.30
73.42,73.96,74.09,72.78
74.14,74.12,75.00,73.88
73.42,73.91,74.39,72.80
72.77,72.08,72.78,71.48
70.99,71.52,71.79,70.70
71.41,70.58,71.48,70.48
70.11,71.06,71.47,69.77
71.75,71.71,72.71,71.47
71.69,72.24,72.71,70.94
71.81,71.34,72.01,70.56
70.73,71.26,71.41,70.49
71.63,70.95,72.39,70.95
70.03,70.05,70.73,69.41
69.45,70.13,70.36,68.32
70.65,70.39,71.72,70.34
70.73,70.94,71.16,69.70
70.72,70.36,71.40,69.96
70.01,70.00,70.76,69.58
71.13,72.13,72.22,70.82
72.08,72.96,73.07,71.77
73.74,74.25,74.44,73.25
73.78,74.02,74.47,73.75
74.24,74.14,74.71,73.90
74.83,73.92,75.02,73.60
74.15,73.75,74.85,73.67
74.41,74.68,75.28,74.38
74.47,75.27,75.88,74.37
75.15,76.56,76.71,74.93
76.30,76.64,76.87,75.92
76.93,77.26,77.54,76.48
77.30,78.37,79.04,77.29
77.93,77.69,78.07,77.22
77.47,77.31,77.99,76.70
76.90,77.67,78.12,76.59
81.35,79.57,81.70,79.48
79.42,79.11,79.50,78.15
79.07,80.64,80.82,78.57
80.27,79.93,80.41,79.23
80.01,80.14,80.80,79.51
80.96,80.25,80.96,79.83
79.92,79.88,80.26,79.04
80.60,81.30,81.47,80.27
81.03,81.31,81.31,80.82
81.27,80.99,81.32,80.31
80.94,82.04,82.60,80.90
81.62,81.98,82.30,81.50
83.00,81.89,83.40,81.80
82.38,82.02,82.75,81.50
81.72,81.77,82.27,81.34
82.26,82.00,82.46,81.62
82.00,81.66,82.12,81.50
80.46,80.73,81.55,80.08
81.04,81.24,81.67,80.85
81.62,82.11,82.84,81.49
82.11,81.92,82.53,81.71
82.57,82.05,83.03,82.01
81.64,81.82,82.22,81.26
81.24,81.03,81.35,80.27
81.31,81.11,81.70,80.57
80.94,81.44,81.49,80.65
81.88,81.10,82.00,80.59
81.80,81.75,82.24,81.51
81.73,81.83,82.17,80.96
82.72,83.41,83.49,82.40
83.24,84.11,84.11,83.24
83.66,83.61,83.84,82.96
83.65,83.20,83.69,82.88
83.14,83.88,83.99,82.82
83.35,83.67,83.80,82.99
83.19,82.62,83.65,82.04
82.91,81.80,82.94,81.70
81.58,80.51,82.24,80.26
80.78,81.39,81.93,80.57
82.17,82.47,82.94,82.17
82.87,85.81,86.32,82.87
85.08,85.92,86.00,85.08
85.05,85.26,85.88,84.88
85.44,86.53,86.97,85.44
86.31,85.96,86.60,85.90
85.40,85.16,85.40,83.92
84.50,86.13,86.60,84.37
87.48,87.64,88.28,87.40
87.84,87.83,88.00,86.96
87.51,87.53,87.98,86.82
87.51,87.73,87.96,87.04
88.39,87.19,88.45,87.12
87.45,87.32,87.65,86.40
88.14,87.47,88.50,87.24
87.76,87.80,88.39,87.50
89.64,89.23,90.52,89.01
88.98,89.28,89.74,88.51
89.27,88.58,89.60,88.43
88.54,89.23,89.25,87.77
89.36,90.05,90.35,89.28
90.53,90.27,90.87,89.63
91.00,92.30,92.49,90.48
87.00,86.95,88.25,86.60
86.93,86.05,87.00,85.43
85.98,85.83,86.08,85.50
86.24,86.33,86.78,86.11
86.54,85.27,86.54,85.25
85.30,85.76,86.12,85.12
85.40,85.42,85.84,85.12
85.83,86.09,86.58,85.26
85.60,83.97,85.75,83.75
83.65,84.52,84.83,83.51
84.45,83.76,84.50,83.56
83.70,83.53,83.95,83.27
83.25,84.17,84.49,83.06
84.20,84.02,84.80,83.62
84.40,83.73,84.49,83.68
83.83,82.56,83.83,82.45
82.62,84.07,84.30,82.37
84.42,84.06,84.98,83.87
84.09,83.66,84.17,82.83
83.20,83.07,83.65,82.50
83.51,82.30,83.56,82.19
82.00,82.66,82.90,81.50
82.57,82.88,82.95,81.92
83.14,84.00,84.17,82.79
84.07,82.77,84.34,82.69
82.91,81.46,82.98,81.30
81.52,82.48,82.56,81.01
82.75,83.55,83.70,82.62
83.43,83.91,83.94,83.12
83.57,83.80,84.30,83.38
84.01,85.74,85.89,83.81
85.80,86.50,86.80,85.66
86.68,86.71,86.81,86.18
86.71,87.25,87.70,86.45
86.92,86.79,87.44,86.26
86.45,86.21,86.71,85.96
86.32,85.77,86.54,85.45
85.27,85.55,85.59,84.62
85.52,85.75,85.95,85.12
84.74,86.04,86.08,84.40
86.48,88.82,88.83,86.00
87.60,87.23,88.32,86.91
86.89,86.19,87.83,85.79
85.92,86.52,86.92,85.50
86.67,87.98,88.30,86.54
88.29,89.03,89.16,87.95
89.65,87.70,89.81,87.51
87.66,88.33,89.23,87.23
88.91,89.84,89.99,88.90
89.81,89.88,90.00,89.34
90.00,88.92,91.12,88.27
89.15,89.19,89.67,88.83
88.76,88.95,89.66,88.25
88.25,88.18,89.07,87.54
87.48,87.17,87.59,85.47
86.86,86.21,86.88,85.36
84.63,85.33,85.82,84.00
85.00,84.82,85.87,84.05
85.57,85.41,85.74,84.49
77.99,77.59,78.65,76.83
77.62,76.84,77.95,76.62
76.65,75.45,77.00,69.43
75.18,77.22,77.70,75.05
77.48,76.73,77.84,76.40
76.83,76.66,77.60,76.62
76.68,75.89,76.99,75.80
76.10,76.36,76.65,75.62
76.47,76.75,77.00,76.24
76.49,75.70,76.61,75.62
75.94,76.53,76.90,75.82
76.78,77.41,77.56,76.35
77.18,77.93,78.00,76.85
78.64,78.67,79.00,78.24
78.64,78.09,78.64,77.02
78.67,77.39,79.00,77.06
77.26,78.13,78.14,77.25
77.52,78.20,78.37,77.35
78.18,79.41,79.53,78.15
78.86,80.08,80.27,78.65
80.41,78.73,80.41,78.67
78.07,78.58,78.65,77.20
78.67,78.73,79.55,78.49
79.44,80.07,80.25,79.26
80.63,80.19,80.63,79.84
80.61,80.11,80.91,79.88
80.09,79.96,80.60,79.40
80.06,81.12,81.23,79.92
81.08,82.57,82.73,80.60
82.26,82.32,82.53,81.75
82.78,82.24,83.48,82.00
82.35,81.66,82.60,81.54
82.48,82.79,83.00,81.41
82.70,82.61,83.34,82.09
83.19,82.02,83.43,81.76
81.80,82.91,82.97,81.70
83.25,83.50,83.70,82.73
83.17,82.66,83.66,82.20
82.64,84.58,84.70,82.44
84.72,86.26,86.53,84.70
85.74,85.27,86.26,85.02
84.82,84.89,85.02,83.97
84.89,84.83,85.60,84.53
85.19,86.11,86.16,85.04
86.39,85.05,86.48,84.39
84.10,83.62,84.73,83.46
83.79,84.33,84.73,83.63
83.78,83.19,83.80,83.11
83.17,84.07,84.24,82.99
84.24,84.62,84.80,84.19
84.84,84.45,84.95,83.82
84.34,82.15,84.72,82.08
81.87,81.15,82.59,81.06
80.51,80.36,81.35,80.22
80.37,79.77,80.95,79.74
80.19,81.90,82.32,80.15
81.53,80.10,81.99,79.87
80.29,80.67,81.33,80.24
80.59,79.66,81.56,79.55
79.75,80.51,81.89,79.68
81.17,82.24,82.43,81.08
81.56,80.39,81.91,79.90
80.47,80.29,80.75,79.44
80.81,81.11,81.59,80.80
80.86,83.23,83.39,80.86
83.15,84.51,84.83,83.05
83.89,81.95,84.41,81.85
81.36,82.19,82.36,80.63
82.11,81.18,82.49,80.73
80.92,81.62,82.77,80.92
85.27,89.90,90.58,85.16
89.66,89.78,90.35,88.18
89.22,89.98,90.43,89.22
89.65,91.82,91.99,89.43
91.28,91.74,92.11,90.93
91.39,92.35,92.49,91.37
92.76,93.66,94.23,92.71
92.99,93.24,93.34,92.27
91.87,91.43,93.05,91.13
91.28,91.23,91.98,90.65
90.98,92.05,92.87,90.98
92.17,91.96,92.95,91.25
92.37,91.70,92.37,90.83
90.90,90.64,91.59,90.48
91.45,90.74,91.53,90.51
90.89,90.60,90.98,90.17
90.76,91.84,92.59,90.29
92.05,91.71,92.29,91.43
90.34,90.93,91.41,90.32
91.00,90.33,91.32,90.19
89.94,88.72,90.57,88.55
88.87,90.48,91.36,88.87
89.81,90.15,90.80,89.25
90.42,89.34,90.46,88.01
88.26,85.11,89.20,84.98
85.30,87.08,87.12,82.91
86.11,81.55,86.75,81.49
82.51,83.87,84.51,80.34
81.38,79.19,83.34,78.00
80.36,82.50,82.65,76.98
81.67,79.33,82.90,79.04
79.66,83.25,84.39,79.32
83.86,84.24,85.05,83.39
84.61,85.13,85.16,82.78
84.09,83.22,85.53,83.13
83.65,82.55,84.59,81.84
80.76,79.92,81.39,78.97
78.94,78.58,81.49,78.50
80.03,79.25,80.58,79.03
79.57,83.59,83.63,79.10
83.21,85.80,85.99,82.86
85.85,83.76,86.49,83.49
83.30,86.29,86.46,82.30
87.11,88.54,88.60,86.80
88.30,86.37,88.53,86.36
87.04,86.65,88.53,86.15
86.35,86.55,88.10,86.02
84.87,84.04,85.83,83.80
81.15,83.76,83.91,80.20
85.04,86.51,86.51,84.16
85.75,85.33,87.49,84.80
84.43,82.50,85.39,82.48
81.76,84.36,84.42,81.45
84.41,85.82,86.38,84.06
86.27,87.49,88.79,85.41
88.26,88.04,88.40,86.76
88.62,89.77,89.98,88.33
88.24,90.20,90.50,88.03
90.67,89.46,91.18,89.24
89.24,85.74,89.62,85.55
83.19,84.18,84.71,82.22
87.78,88.64,89.99,86.69
89.56,89.31,89.98,87.22
90.40,90.58,92.56,89.98
90.67,88.47,91.98,88.25
89.79,87.99,90.00,85.44
86.98,85.51,88.24,85.48
84.95,83.05,86.19,83.00
81.54,85.73,85.90,81.01
85.93,87.80,88.24,85.33
87.53,89.28,89.79,87.22
89.29,88.15,89.87,87.59
89.78,90.72,90.87,89.34
89.79,89.85,90.70,89.43
90.33,91.79,92.50,89.95
91.42,92.21,92.50,90.93
92.58,92.97,93.18,91.91
92.27,91.02,92.90,90.71
90.61,91.48,92.33,87.98
91.67,91.29,92.50,91.07
91.64,91.89,92.46,90.69
92.80,94.35,94.35,92.53
94.34,95.07,95.93,94.12
94.11,93.75,95.34,93.47
94.64,94.21,94.99,92.73
96.17,95.83,96.49,95.43
95.66,96.75,96.93,94.92
95.76,96.35,97.68,95.54
93.51,93.88,95.43,93.46
95.65,94.94,95.80,94.09
96.15,95.68,96.24,93.57
95.20,94.38,95.99,93.61
94.52,93.80,95.30,93.44
94.39,95.42,95.64,93.70
93.47,92.36,94.05,91.61
93.42,93.92,94.54,92.57
94.75,96.15,96.41,94.45
95.84,95.75,96.89,95.20
95.26,95.95,96.60,94.67
95.14,93.70,95.50,93.54
93.13,91.89,93.68,90.90
92.62,92.75,93.48,91.45
91.62,91.06,92.16,89.79
91.19,91.63,92.62,90.99
90.73,90.93,91.97,90.50
90.66,90.28,91.86,90.28
92.04,94.91,95.83,91.90
95.26,94.87,95.43,94.31
97.08,96.18,97.50,94.92
95.36,95.25,96.34,94.51
95.78,96.25,96.71,95.51
96.73,96.60,97.49,95.94
97.20,96.25,97.24,95.96
96.78,95.89,96.99,95.26
95.60,95.18,96.48,95.00
95.48,97.68,98.25,95.30
97.34,96.95,97.75,95.78
97.13,95.05,97.79,94.41
94.97,94.39,95.72,93.75
95.44,94.08,95.74,93.41
94.78,93.67,95.08,93.55
93.92,93.38,94.14,93.06
94.48,93.63,95.90,92.89
95.83,96.35,97.29,94.29
96.59,94.82,96.59,94.25
95.27,96.90,96.93,94.77
96.98,97.77,98.00,96.51
97.93,96.43,98.00,96.28
96.55,97.46,97.92,96.49
97.39,96.37,97.54,96.37
97.37,96.81,97.99,96.70
96.71,98.22,98.75,96.51
97.79,98.16,98.58,97.00
97.93,97.99,98.50,97.52
98.10,98.35,98.93,97.70
98.83,98.47,98.93,97.68
98.27,98.14,98.60,97.79
98.29,99.10,99.14,97.74
98.39,98.30,98.93,98.04
98.70,99.24,99.44,98.05
98.81,100.86,101.12,98.70
100.74,101.58,101.97,100.52
101.55,101.76,102.00,101.02
101.92,101.56,102.97,101.17
101.34,102.21,102.38,101.02
101.92,103.21,103.29,101.89
103.00,102.30,103.22,101.79
102.17,102.11,102.63,101.50
101.45,103.39,104.15,100.87
104.57,103.99,104.94,103.46
104.41,103.75,104.83,103.74
104.00,102.82,104.19,102.57
103.50,103.50,104.00,103.10
103.04,103.46,103.86,102.68
103.22,104.23,104.70,102.96
104.52,105.93,106.66,104.52
105.75,105.76,106.18,105.22
105.07,105.41,105.59,104.76
105.80,105.22,105.93,104.62
104.79,106.63,106.64,104.29
106.95,106.60,107.63,106.31
106.47,106.16,107.43,105.55
106.74,106.68,107.48,106.28
106.59,104.95,107.18,104.71
105.06,105.73,106.24,104.98
105.92,106.14,106.70,105.54
106.11,106.29,106.60,105.63
105.88,107.17,107.71,105.54
107.41,107.43,107.63,106.52
107.51,107.92,108.28,106.93
108.89,108.54,108.98,108.02
108.67,108.74,109.06,107.95
108.70,109.24,109.67,108.30
108.56,107.34,109.22,106.97
107.46,107.58,108.15,107.30
108.13,107.90,108.50,107.66
108.64,109.98,110.15,108.20
108.80,109.45,109.92,108.60
110.00,110.76,110.84,109.54
110.90,110.30,111.23,110.16
110.83,110.73,111.07,110.31
110.74,111.22,111.78,110.56
111.90,112.13,112.52,110.96
111.73,111.74,112.97,111.73
112.07,110.44,112.70,110.38
110.11,110.99,111.63,109.08
111.21,107.42,111.50,106.07
107.88,108.55,108.80,107.72
108.71,107.88,109.17,107.72
107.61,107.23,107.93,106.28
106.30,107.85,107.99,106.30
108.38,108.44,109.18,107.85
108.42,109.02,109.83,107.99
108.81,109.37,109.65,108.30
109.15,109.49,109.89,108.68
109.03,110.39,110.53,109.00
108.89,110.69,111.00,108.51
110.48,106.46,110.50,105.93
107.70,108.25,108.77,107.47
108.14,108.65,108.70,107.17
108.85,109.17,109.60,108.28
109.07,109.40,109.88,108.68
109.86,109.83,110.00,109.20
109.34,110.56,110.95,109.05
110.63,109.61,110.95,109.03
109.73,110.77,111.44,109.73
109.83,109.75,109.98,108.67
108.99,106.75,109.76,106.34
107.17,109.03,109.06,106.93
109.03,110.35,110.75,108.73
110.09,110.64,111.56,109.81
111.00,111.87,112.00,111.00
111.91,111.30,112.00,110.50
111.04,114.28,114.56,111.04
114.21,114.40,114.81,113.52
113.90,111.81,114.05,111.54
111.40,111.42,112.30,111.20
109.80,108.73,110.15,106.56
107.43,108.15,108.88,107.08
109.03,107.56,109.51,107.24
107.20,108.26,109.30,106.66
107.65,107.47,108.46,106.94
107.31,107.22,109.01,107.01
107.74,107.00,108.92,106.22
106.78,104.34,107.00,104.27
105.40,105.44,107.78,105.08
105.31,107.23,107.36,105.31
107.24,108.45,109.15,107.20
107.77,107.52,109.00,106.18
107.67,107.48,108.64,106.78
107.92,108.79,109.19,107.62
109.51,110.92,110.92,109.14
109.58,108.61,110.33,108.23
108.50,108.18,108.85,106.66
106.29,104.60,106.55,104.18
104.55,104.70,105.12,103.14
104.30,105.51,105.76,104.00
106.09,107.07,107.10,105.73
107.94,107.36,108.39,106.25
107.38,108.64,108.77,106.31
109.12,107.46,109.91,107.40
107.59,107.60,108.66,106.74
107.21,102.22,107.53,101.28
103.46,100.02,103.46,99.36
100.25,101.75,102.00,99.56
101.53,101.40,101.73,100.13
101.44,101.54,102.65,101.33
102.56,101.20,102.72,100.63
101.26,98.66,102.46,98.53
98.91,99.40,99.52,98.28
98.38,97.46,98.74,96.70
97.76,98.45,98.86,97.30
98.93,98.11,99.61,97.50
97.54,96.89,98.48,95.84
87.84,87.78,90.50,85.10
88.39,88.85,89.49,88.03
89.37,90.48,90.60,88.25
90.70,92.20,92.70,90.55
91.61,91.38,92.23,90.77
91.21,90.28,91.70,90.00
90.60,91.29,92.00,90.60
91.67,92.26,92.40,90.50
91.92,91.82,92.24,90.21
92.26,93.97,94.29,92.04
93.81,93.02,93.89,92.89
92.48,92.76,93.43,91.91
92.49,94.63,94.94,91.98
95.20,95.26,95.98,94.11
94.71,93.08,95.00,93.05
92.05,92.85,93.26,91.34
93.26,92.96,93.93,92.41
93.54,93.51,94.25,93.10
94.49,96.58,96.89,94.29
96.82,97.03,97.45,95.64
96.93,95.85,97.75,95.49
95.04,93.35,95.58,93.25
93.51,93.00,94.33,92.76
91.98,92.54,92.99,91.04
93.61,94.57,94.64,93.38
94.73,95.52,95.74,94.65
95.65,96.17,97.19,95.65
95.78,95.90,96.21,95.20
95.63,95.06,95.97,94.92
94.65,94.50,94.98,94.33
94.31,95.85,95.91,93.86
96.12,94.91,96.14,94.70
94.90,94.22,95.68,94.17
94.21,94.78,95.39,93.43
95.03,96.26,96.46,94.83
96.22,95.77,96.77,95.59
95.93,95.85,96.27,95.16
95.78,95.77,95.99,95.19
95.68,95.45,95.98,94.94
95.44,96.86,97.13,95.44
96.92,96.43,97.25,96.10
96.21,98.87,99.29,95.85
98.96,98.69,99.00,98.21
97.89,97.75,98.48,97.53
98.07,97.36,98.52,96.95
97.19,97.26,97.89,96.24
97.52,97.35,97.78,96.97
97.75,99.46,99.55,97.47
99.32,99.29,99.75,98.88
99.25,100.04,100.90,99.03
99.43,99.68,100.19,99.11
99.84,100.84,100.92,99.40
99.35,99.20,99.80,98.27
98.92,96.64,99.10,95.89
96.32,97.97,98.06,96.08
97.70,97.72,98.25,97.07
100.23,97.66,100.50,97.60
98.40,96.72,98.40,96.38
97.54,96.52,97.54,96.20
95.60,95.32,96.35,94.00
95.19,95.08,96.35,95.00
94.96,95.49,96.21,94.33
95.80,96.00,96.64,94.65
93.06,94.91,96.18,92.79
94.91,95.55,96.20,94.62
96.06,94.95,96.20,94.58
94.91,93.80,95.54,93.62
94.33,95.89,95.96,94.00
96.14,95.22,96.53,94.86
95.01,94.99,95.79,94.75
94.91,94.48,95.69,94.40
94.86,94.22,95.46,94.15
94.62,94.90,95.47,94.53
95.04,94.42,95.46,94.33
94.67,95.61,95.82,94.38
96.28,97.24,97.61,96.14
96.91,97.57,98.00,96.91
97.70,97.57,98.07,97.02
97.54,96.45,98.10,96.10
95.42,94.48,96.35,93.82
93.84,92.82,94.25,92.75
93.74,92.89,93.81,92.46
93.05,91.31,93.50,91.13
91.08,91.15,91.35,90.32
91.05,91.38,91.79,90.78
91.90,95.35,95.60,91.90
95.70,94.54,96.74,94.49
94.55,95.26,95.48,94.35
95.25,96.13,96.13,94.75
95.72,94.65,95.88,94.62
94.45,91.86,94.60,91.86
91.69,92.31,93.00,91.68
92.50,92.29,93.20,91.98
91.17,91.47,92.66,91.03
91.96,90.60,91.96,89.65
90.29,90.83,91.22,90.07
91.84,92.59,92.75,91.40
93.49,96.32,96.34,93.46
96.32,95.61,96.52,95.27
95.56,95.60,95.83,94.96
96.00,96.75,96.76,95.88
95.48,97.66,97.68,95.38
96.05,97.01,98.00,96.05
96.60,99.13,99.16,96.60
99.58,98.97,100.33,98.80
98.46,97.48,98.52,96.91
97.66,97.56,98.91,97.09
97.63,97.67,98.38,97.23
97.92,97.68,98.08,96.61
97.47,98.42,98.68,97.23
98.91,98.59,98.99,97.73
98.67,98.08,99.31,97.98
98.00,99.41,99.50,97.84
99.40,99.20,100.00,98.60
99.09,97.33,99.57,97.04
97.13,96.91,97.89,96.85
97.21,97.99,98.09,96.80
98.07,98.92,98.98,97.73
98.92,97.78,99.20,97.77
98.12,99.00,99.05,97.21
102.50,105.10,105.48,101.16
104.56,105.60,106.23,104.36
52.05,51.33,52.50,51.19
51.22,51.76,51.94,50.93
51.45,50.99,51.72,50.99
50.83,51.60,51.64,50.59
52.40,51.84,52.48,51.40
51.95,52.37,52.60,51.78
52.50,52.88,53.04,52.47
52.79,52.96,53.08,52.53
52.72,52.40,52.94,52.19
52.57,52.45,52.74,52.31
52.63,52.55,52.88,52.17
52.66,53.10,53.42,52.31
53.19,53.19,53.48,53.01
53.04,53.64,53.75,52.89
53.52,53.73,54.00,53.24
53.79,53.48,53.97,53.31
53.47,53.29,53.57,52.98
53.42,53.48,53.51,53.05
53.14,53.09,53.36,52.81
53.19,53.86,53.88,53.16
54.13,55.55,55.57,53.99
55.40,54.50,55.52,54.32
54.39,53.92,54.46,53.88
53.97,53.61,54.16,53.56
53.62,54.05,54.28,53.44
54.46,53.70,54.72,53.60
53.59,53.66,54.26,53.50
53.94,53.89,54.31,53.86
53.68,54.16,54.37,53.50
54.23,54.68,54.72,54.07
54.57,54.59,55.19,54.48
55.28,55.22,55.90,54.73
54.90,55.09,55.21,54.79
55.03,54.56,55.37,54.41
54.57,54.62,54.99,54.32
54.69,54.95,55.14,54.52
54.89,54.47,55.16,54.29
54.40,54.02,54.66,53.99
54.83,54.54,55.04,54.12
54.60,54.47,54.88,54.00
54.54,54.04,54.99,54.04
54.41,54.27,54.74,53.94
54.16,54.34,54.52,53.96
54.26,54.46,54.72,54.00
54.42,54.82,54.83,54.18
54.55,54.73,54.90,54.41
54.90,54.90,55.00,54.52
54.96,55.30,55.61,54.70
55.40,55.22,55.65,55.14
55.12,54.69,55.23,54.50
54.57,54.53,54.64,54.16
53.70,53.49,54.17,53.27
53.61,54.85,54.99,53.60
54.84,54.69,54.90,54.34
54.67,54.78,54.85,54.29
54.43,54.16,54.66,54.08
54.29,53.83,54.44,53.54
54.07,54.83,54.88,54.06
54.46,53.60,54.72,53.53
58.00,59.53,60.25,57.87
59.39,59.56,59.98,59.03
59.35,59.47,59.63,58.90
59.02,58.45,59.30,58.14
58.96,59.01,59.31,58.45
59.00,58.26,59.19,57.98
58.37,58.90,59.39,58.36
59.20,58.91,59.53,58.56
58.79,59.34,59.50,58.74
58.58,58.97,59.04,58.33
58.89,59.95,59.95,58.82
59.82,59.89,60.13,59.29
59.92,60.29,60.55,59.92
60.37,61.20,61.38,60.31
61.07,60.58,61.23,60.43
60.46,59.67,60.93,59.67
60.03,60.50,60.53,59.67
60.17,60.90,61.31,60.01
60.97,60.18,61.20,59.70
60.58,60.92,61.04,60.27
61.09,61.36,61.49,60.63
61.62,61.68,61.93,61.24
61.85,61.53,62.00,61.40
61.62,62.07,62.49,61.57
62.16,61.89,62.47,61.58
62.00,62.63,62.81,61.62
62.73,63.60,63.77,62.66
63.56,63.36,64.29,63.20
63.50,63.32,63.57,62.95
63.68,64.55,64.96,63.68
64.40,63.96,64.55,63.78
64.19,63.91,64.37,63.81
63.70,63.90,64.11,63.67
63.90,63.74,64.53,63.65
63.86,64.76,64.79,63.67
64.51,64.65,64.80,64.32
64.53,65.91,65.98,64.53
65.78,65.83,66.00,65.45
65.76,64.44,66.07,64.16
64.47,65.32,65.44,64.40
65.27,65.33,65.50,65.05
65.34,65.23,65.45,64.98
65.24,64.45,65.57,64.09
63.98,63.33,64.15,63.09
62.67,62.79,62.87,61.56
63.57,63.28,64.11,63.04
62.91,62.93,63.17,62.40
62.95,62.41,63.30,62.39
62.20,61.66,63.14,61.66
61.60,63.03,63.08,61.11
63.25,62.78,63.57,62.31
62.60,61.75,62.94,61.60
61.74,62.16,62.18,61.21
62.48,62.75,63.09,62.25
62.91,63.04,63.48,62.74
62.30,62.15,62.94,61.97
62.57,61.41,62.57,61.35
61.30,61.76,61.92,61.03
61.63,61.89,62.40,61.61
62.38,61.94,62.72,61.82
61.84,62.15,62.25,61.62
62.14,61.75,62.34,61.73
61.33,60.78,61.63,60.64
60.82,60.57,61.38,60.07
