ULTA,Ulta Salon,NASDAQ
29.05,27.94,29.13,27.77
27.62,27.66,28.37,27.51
28.10,28.93,28.94,28.02
29.02,28.64,29.16,28.60
28.81,29.35,29.47,28.09
29.39,29.82,30.19,28.96
29.99,29.20,29.99,29.01
29.44,29.35,29.54,28.81
29.53,28.41,29.63,28.26
28.79,28.69,29.31,28.47
28.67,28.30,28.94,28.05
28.60,28.53,28.86,27.76
28.59,28.96,29.11,28.57
28.82,29.03,29.25,28.52
28.86,30.90,31.00,28.80
31.00,30.88,31.56,30.33
30.33,30.42,30.51,29.61
30.78,31.01,31.05,30.23
31.18,31.66,31.73,31.10
31.15,30.80,31.65,30.52
30.89,30.72,31.47,30.64
30.85,30.89,31.58,30.61
30.92,31.07,31.22,30.50
31.23,32.10,32.50,31.19
31.83,32.33,32.68,31.62
32.25,31.59,32.25,31.37
31.70,31.14,32.03,31.01
31.00,30.69,31.21,30.68
31.36,30.41,31.36,30.01
30.85,30.81,31.01,30.09
30.85,31.67,31.85,30.80
31.84,31.86,32.19,31.39
32.02,32.30,32.34,31.65
32.33,33.03,33.50,32.21
33.29,32.61,33.29,32.40
32.65,33.00,33.00,32.35
32.62,32.75,32.89,32.32
32.43,31.98,32.74,31.82
32.01,31.80,32.20,31.51
31.49,31.57,31.73,30.51
31.39,31.50,31.86,31.01
31.76,31.97,32.68,31.76
32.04,31.95,32.05,31.64
31.95,32.68,32.87,31.29
32.27,33.48,33.50,32.24
33.76,34.47,35.00,33.59
34.44,34.99,35.05,34.33
34.37,35.15,35.55,34.20
34.64,34.95,35.96,34.50
35.77,36.47,36.71,35.58
36.42,35.72,37.24,35.37
34.37,35.22,35.58,33.76
35.16,34.08,36.04,33.63
34.61,33.86,34.92,33.76
33.86,34.41,34.66,33.41
35.31,34.76,35.35,33.73
34.93,34.71,34.93,34.23
34.96,34.01,34.97,33.80
33.78,33.16,34.21,33.01
33.00,32.79,33.42,32.01
32.61,34.09,34.33,32.60
34.17,33.15,34.18,33.15
33.29,33.03,33.80,33.00
33.47,33.41,33.59,32.99
33.37,34.49,34.70,33.13
34.56,34.74,34.97,34.50
34.74,34.15,34.84,33.75
34.19,33.96,34.34,33.62
33.99,34.27,34.42,33.81
34.36,34.34,34.91,34.11
34.24,34.00,34.57,33.63
34.13,34.32,34.50,33.69
34.48,34.28,34.84,33.89
34.11,34.52,34.75,33.89
35.12,37.18,37.48,35.10
37.50,37.55,38.25,36.91
37.44,37.85,38.00,36.76
37.72,37.17,37.85,36.63
37.50,37.09,37.77,37.00
37.22,37.12,37.35,36.83
37.17,37.06,37.49,36.81
36.90,36.45,37.21,36.20
36.52,35.72,36.65,35.60
35.37,36.12,36.94,35.37
36.38,35.87,36.83,35.80
35.81,36.09,36.24,35.50
35.81,36.05,36.33,35.41
36.17,36.65,36.78,35.45
36.68,37.06,37.16,36.24
37.12,36.73,37.12,36.07
36.90,37.04,37.26,36.13
37.10,37.94,38.76,36.84
37.90,36.91,37.98,36.79
36.99,38.95,39.76,36.99
39.31,40.07,40.34,38.99
40.49,40.39,40.63,40.00
40.22,41.20,41.24,40.01
40.92,41.21,41.82,40.43
41.03,41.54,41.95,40.65
41.36,42.59,42.63,41.33
42.80,42.99,43.83,42.70
42.73,42.32,42.76,41.70
42.38,43.10,43.90,42.38
43.17,43.32,43.45,42.55
43.61,43.46,44.06,43.15
43.25,42.55,43.99,42.43
42.36,41.03,43.24,40.06
40.96,41.18,42.58,40.49
41.34,42.97,43.43,41.34
43.08,41.73,43.37,41.52
41.40,41.05,41.86,40.55
40.84,41.10,41.74,40.25
41.62,42.25,42.68,41.12
42.11,41.98,42.22,41.08
42.99,41.27,43.16,40.48
41.25,41.87,42.21,40.66
41.66,41.13,42.28,41.00
40.70,42.11,42.57,40.34
43.02,45.77,47.55,43.02
45.68,46.95,47.20,45.68
45.45,47.19,47.85,44.18
46.70,46.20,47.93,45.63
47.00,46.42,47.48,45.81
47.50,46.77,47.53,45.69
46.91,47.25,47.93,46.19
47.25,46.47,47.42,46.39
46.55,47.27,47.53,45.98
47.47,47.84,48.43,47.02
47.83,47.65,48.45,47.54
48.45,47.94,48.67,47.51
47.65,47.79,48.13,47.34
48.00,48.71,48.88,47.75
48.71,48.13,48.84,47.95
48.60,48.45,48.87,47.85
48.63,48.28,48.78,47.65
48.15,49.81,49.95,48.15
49.92,49.85,50.15,49.01
49.56,51.10,51.46,49.21
51.72,50.69,51.72,50.10
51.20,51.12,51.82,50.69
50.87,50.51,51.72,50.42
50.80,49.80,50.95,49.30
49.45,49.59,50.03,49.01
49.47,50.07,50.43,49.04
49.84,50.12,50.41,48.62
49.94,49.78,50.45,49.06
50.51,53.02,53.11,50.51
53.80,52.88,53.99,52.32
53.29,52.72,53.89,51.96
52.74,52.57,53.17,52.25
52.60,52.91,53.08,51.75
52.91,52.81,53.22,52.12
52.95,53.19,53.37,52.34
53.69,53.36,53.97,52.75
53.11,52.40,53.36,51.73
52.29,53.07,53.54,52.00
53.15,53.13,54.22,52.15
53.47,53.77,55.70,53.22
53.99,54.57,54.82,53.50
54.72,55.05,55.44,54.15
55.10,54.30,55.25,53.53
54.20,55.91,55.95,53.41
56.11,55.51,56.87,54.94
55.51,53.35,56.00,53.33
52.90,52.23,53.19,50.99
52.33,53.77,53.95,52.25
53.75,53.45,54.10,53.20
53.20,52.50,53.28,51.43
51.49,52.41,52.88,50.43
52.51,52.05,52.76,51.77
51.76,52.83,53.18,51.55
52.97,54.55,55.17,52.84
54.82,55.25,55.29,54.41
56.26,55.98,57.17,55.30
56.22,54.12,56.70,54.00
53.92,50.59,53.93,50.51
49.99,51.06,51.61,48.68
51.64,49.70,52.10,49.60
49.99,49.61,50.50,49.34
56.33,55.90,56.83,53.10
55.94,57.05,57.25,55.19
56.59,56.16,57.19,55.64
56.16,57.75,58.22,55.51
58.42,59.31,59.35,58.15
58.63,57.03,59.40,56.90
57.16,56.88,58.20,56.03
57.24,57.42,57.96,56.72
57.16,58.74,59.01,57.02
59.30,62.08,62.39,59.00
61.66,61.49,62.69,61.05
60.74,62.58,62.83,60.25
63.04,62.82,63.05,61.90
63.66,63.17,64.85,62.53
63.68,64.19,64.53,63.25
64.56,63.35,64.89,62.93
63.35,64.58,65.27,63.31
64.79,65.18,65.35,64.12
65.18,66.82,67.03,65.08
66.68,67.09,67.21,65.59
67.85,66.69,68.80,66.52
65.88,68.70,68.74,64.00
68.42,64.96,68.44,64.83
64.10,64.29,65.65,62.79
64.86,64.87,66.33,64.50
65.00,63.33,65.79,63.00
63.98,64.31,64.33,62.18
64.01,63.73,64.20,62.92
63.98,65.75,66.13,63.98
66.36,65.31,66.43,64.64
65.88,65.72,67.14,65.27
65.84,66.02,66.44,65.50
65.55,65.09,66.66,65.00
65.05,64.94,65.96,64.64
64.65,62.08,64.66,61.76
62.07,62.78,63.91,62.00
61.74,63.03,63.48,60.78
64.62,63.23,65.75,62.36
62.75,61.43,63.89,61.34
61.31,62.08,62.72,58.59
61.10,57.12,61.99,57.05
55.48,56.39,57.35,52.41
52.56,50.49,53.16,48.99
50.17,55.48,55.51,49.51
53.91,53.08,55.64,52.67
53.34,57.16,57.93,53.13
59.84,59.39,60.57,57.35
60.02,57.71,60.94,56.64
56.77,55.56,57.44,55.36
55.97,53.31,56.37,52.37
51.61,50.08,51.67,49.50
49.09,49.60,52.41,48.67
49.67,48.89,50.50,48.44
48.94,52.69,52.79,48.28
52.68,54.26,54.51,52.00
54.73,53.48,55.97,53.19
53.20,56.48,56.66,51.71
57.78,58.97,59.45,57.00
58.83,57.59,59.56,57.27
58.13,59.08,59.91,57.93
59.26,57.60,59.66,57.32
56.13,55.33,57.24,54.95
53.26,55.37,55.59,51.64
56.39,56.80,57.25,55.60
56.59,59.76,60.20,56.03
62.13,68.45,68.70,62.03
68.06,70.93,71.26,67.95
70.26,69.96,71.41,68.06
69.95,69.95,70.63,67.90
70.50,70.20,70.50,69.00
69.85,70.46,70.50,69.57
69.78,72.86,74.00,69.13
73.62,70.18,73.91,69.83
70.39,68.06,71.85,67.98
66.29,66.88,67.61,64.58
66.56,66.96,68.00,65.63
67.26,69.12,69.24,65.62
70.27,70.02,71.87,69.70
70.18,67.34,71.19,67.24
68.67,66.12,68.99,63.31
65.28,62.23,65.58,62.21
61.25,61.32,64.05,60.28
60.27,62.93,63.02,58.71
62.89,66.68,67.70,62.39
66.37,66.61,68.00,65.81
67.09,65.58,67.90,63.75
66.75,69.24,69.70,66.61
68.61,68.35,69.38,67.30
69.00,67.77,70.68,67.30
67.73,67.96,69.54,67.07
69.96,68.90,69.96,67.54
68.89,67.48,69.61,66.63
67.40,68.75,69.31,66.29
68.74,68.70,72.89,68.15
69.18,67.88,70.02,66.70
67.89,68.00,70.38,67.60
68.66,70.93,71.74,68.01
71.00,68.60,71.20,68.58
68.70,67.60,70.19,66.38
69.96,68.42,70.07,65.64
68.17,67.53,69.00,66.46
66.75,67.29,68.79,64.03
65.66,70.33,71.70,65.00
72.05,71.03,72.49,70.58
72.11,71.26,72.12,70.01
70.91,74.24,75.00,70.10
74.96,74.00,75.69,73.12
74.90,73.40,75.45,71.53
71.69,71.13,73.00,70.51
72.16,72.15,73.46,71.41
72.90,72.35,73.49,71.65
72.77,71.78,73.40,71.21
71.55,72.51,72.98,70.65
72.54,71.55,74.38,71.01
71.55,69.02,71.71,67.78
70.97,67.54,70.98,66.89
66.19,66.26,66.88,64.33
66.30,66.49,67.40,64.93
65.91,65.97,66.86,64.91
65.54,64.60,65.98,64.41
67.20,68.45,69.38,67.08
67.69,68.37,69.93,67.69
71.10,69.63,71.24,68.50
69.75,68.49,70.49,68.00
70.48,74.19,74.79,70.10
75.29,73.90,75.70,72.50
73.59,72.93,74.09,72.08
72.50,73.13,74.19,71.26
72.68,72.13,73.26,71.50
72.86,74.06,74.34,71.70
73.33,72.76,73.54,71.75
72.95,70.62,73.75,69.71
69.98,67.21,70.14,66.90
67.81,66.72,68.43,66.17
66.79,67.01,68.20,66.11
67.63,64.91,68.00,64.70
65.66,66.97,67.47,65.12
66.71,65.87,67.64,65.04
65.88,64.16,66.39,64.01
63.97,66.26,66.34,62.94
65.33,65.51,66.32,64.36
65.29,64.09,65.49,63.92
64.11,64.67,65.06,64.05
64.18,64.92,65.27,64.06
65.90,64.10,67.35,63.44
63.85,66.37,67.47,63.59
69.99,69.56,71.43,69.02
69.74,69.52,70.92,69.25
69.56,69.93,70.65,69.11
70.70,70.46,70.75,68.52
69.97,71.78,73.78,69.97
71.96,71.93,72.00,70.46
71.49,73.13,73.67,70.75
74.46,74.13,74.95,73.62
74.37,75.75,75.83,73.93
76.00,77.39,77.83,75.80
77.25,76.26,77.76,75.90
76.84,76.90,77.75,75.77
76.45,77.38,77.45,76.31
77.45,78.80,79.14,77.07
79.49,76.69,79.64,75.97
76.55,77.31,77.68,75.00
76.99,77.27,77.60,76.07
77.51,76.15,77.86,75.92
76.54,76.82,77.06,75.63
77.97,76.61,78.31,76.19
77.15,78.11,78.50,76.54
77.89,78.68,78.88,77.74
78.53,79.65,80.09,78.47
80.03,80.61,81.25,79.09
80.76,81.42,81.50,79.81
80.62,80.84,81.18,79.75
81.71,82.05,82.36,80.89
82.00,82.80,83.00,81.66
83.00,83.53,84.48,82.65
83.84,84.17,84.46,82.91
84.11,82.56,84.46,82.51
82.77,82.06,83.56,81.28
81.04,82.57,82.90,80.50
82.35,83.40,84.02,82.35
83.28,81.94,83.44,81.61
81.69,83.81,84.11,81.51
83.76,83.88,84.16,82.33
83.90,83.24,83.90,82.54
83.19,85.31,85.91,83.01
85.42,85.15,85.62,84.06
86.12,87.14,87.93,85.83
86.40,85.85,86.90,84.79
86.00,87.92,88.68,86.00
88.98,89.27,90.36,87.56
90.44,89.28,92.00,87.62
89.45,88.46,89.89,88.19
88.74,90.00,90.00,88.28
90.20,89.46,90.28,89.06
89.93,90.37,90.90,88.61
89.65,88.58,90.00,88.37
88.41,89.60,89.63,88.01
89.26,90.61,91.01,89.05
90.76,92.07,92.33,90.39
91.55,93.59,93.88,90.81
93.49,93.55,93.78,92.00
94.28,94.51,94.73,93.41
94.55,93.97,94.73,93.69
93.58,93.59,93.93,92.13
92.61,92.83,93.17,91.61
93.13,92.89,93.58,92.36
92.58,93.92,94.42,92.26
93.93,95.01,95.62,93.75
94.18,94.93,95.24,93.36
94.33,95.04,95.44,94.23
93.59,94.37,94.48,92.51
94.00,91.86,94.37,91.61
92.56,93.70,94.17,92.56
93.45,94.73,94.80,93.11
94.10,94.93,95.00,93.42
95.44,93.15,95.85,92.25
93.26,94.46,94.85,93.01
93.81,95.56,96.33,93.81
95.73,94.49,96.65,93.54
94.75,95.35,96.04,94.40
94.36,93.53,94.56,93.21
93.71,87.15,93.71,85.78
87.67,89.13,89.81,87.47
89.00,89.53,90.53,88.12
90.02,89.62,91.54,88.90
89.19,88.18,89.91,87.50
87.95,89.08,90.65,87.71
88.72,91.33,91.49,88.50
91.35,90.85,92.14,90.11
90.23,87.49,90.53,87.49
86.95,86.06,87.55,85.81
85.28,85.00,86.09,78.87
83.34,84.27,84.90,82.87
85.66,86.06,86.87,84.80
85.37,87.96,88.55,85.13
87.23,87.34,88.68,86.33
87.36,87.51,89.91,86.70
87.90,90.31,90.85,87.63
90.53,85.87,90.72,85.32
86.17,85.32,87.12,84.28
85.14,87.84,87.95,83.52
87.93,90.50,90.72,87.55
90.12,91.20,91.68,89.01
91.93,90.93,92.09,90.03
91.33,90.95,91.88,89.92
91.72,91.24,91.95,89.45
91.15,89.60,91.15,88.43
90.13,89.37,90.13,86.89
88.50,86.55,88.56,85.63
86.44,86.29,86.65,84.20
86.48,87.38,87.49,85.01
91.60,94.74,97.89,90.84
96.07,93.33,97.00,92.88
92.97,94.00,94.50,92.23
95.00,92.25,95.08,91.99
92.44,94.26,94.54,91.62
93.82,91.65,94.53,91.31
92.14,92.98,93.74,91.64
93.07,95.84,96.00,92.66
95.75,97.01,97.88,94.87
97.24,96.76,97.70,96.15
95.87,97.70,98.42,95.28
97.40,95.05,97.42,94.51
95.41,95.61,96.35,94.00
94.49,94.37,94.83,93.06
94.45,94.17,96.13,93.24
94.54,93.26,94.54,92.23
92.40,90.29,92.84,89.10
91.90,93.38,93.99,88.71
93.08,92.07,93.44,90.17
92.30,93.59,94.98,91.63
93.56,94.41,95.45,93.13
93.55,93.66,95.17,92.86
93.54,93.36,94.09,92.12
93.76,93.19,95.39,92.55
93.10,91.05,93.45,89.68
90.87,91.45,91.95,88.28
91.67,92.69,92.97,91.37
92.17,91.00,93.91,90.83
91.62,91.35,92.23,89.67
90.80,91.96,93.00,90.18
92.42,92.51,93.54,91.91
91.44,87.53,91.72,87.04
83.76,86.47,87.05,83.01
86.69,85.14,87.13,84.37
85.11,83.78,85.55,83.41
85.00,86.37,87.26,85.00
86.36,87.38,88.07,85.50
87.81,87.51,88.16,86.57
87.45,84.88,88.11,84.63
85.03,83.74,85.92,83.37
83.30,85.25,86.31,82.64
86.68,87.78,87.99,86.04
87.33,87.89,88.98,87.00
87.93,88.26,88.93,87.72
87.68,86.53,87.86,85.73
88.52,87.09,88.61,86.70
86.94,85.35,87.07,84.86
84.50,84.11,85.35,83.80
84.86,86.14,88.05,84.85
85.77,85.90,86.76,85.50
85.93,90.27,90.47,85.71
90.96,91.85,92.03,90.25
91.99,90.90,92.67,90.09
91.00,91.99,92.11,90.27
91.92,91.90,92.05,90.95
91.38,92.21,92.39,91.17
92.45,92.96,93.28,91.95
93.58,93.69,93.96,92.67
93.68,94.85,95.20,93.24
94.31,94.33,95.13,93.33
94.09,93.63,94.92,93.07
94.25,94.00,94.50,93.00
94.03,94.18,94.55,92.81
94.43,92.92,94.82,92.54
93.80,95.26,95.80,92.84
102.75,101.54,103.52,99.26
101.50,100.19,102.19,100.05
99.02,99.34,100.84,98.92
99.28,98.90,99.78,98.45
97.43,100.16,100.40,97.30
100.00,100.87,102.40,99.78
101.35,99.66,101.35,99.40
98.97,97.77,98.97,96.32
97.73,98.55,98.82,97.32
98.85,98.50,99.01,97.40
98.38,97.92,99.08,97.24
97.46,98.44,98.86,97.15
98.70,97.09,99.38,97.00
96.50,96.48,97.38,95.43
97.20,96.66,97.33,95.60
96.38,96.31,96.95,94.55
96.78,96.81,97.97,95.70
97.16,96.30,97.16,95.38
96.43,97.54,97.81,96.16
97.74,98.96,98.98,97.18
99.03,99.77,100.37,98.79
100.35,98.17,100.35,98.00
97.85,95.75,98.04,95.14
95.73,96.34,97.03,95.73
97.02,95.65,97.54,95.42
95.26,95.22,96.91,94.98
95.59,95.30,95.99,94.29
95.00,98.00,98.18,91.85
98.09,96.34,99.82,95.90
94.55,95.55,96.71,93.46
95.37,94.78,96.06,94.18
94.42,95.01,95.04,93.54
93.95,94.04,94.69,92.74
94.19,93.14,94.78,92.92
93.57,92.27,93.84,91.88
92.27,92.41,93.32,91.20
92.00,92.19,92.85,91.00
92.25,93.71,93.78,90.50
93.80,92.45,94.13,92.44
92.45,92.68,92.88,90.90
92.78,94.06,94.11,91.24
93.11,93.05,94.42,92.73
92.86,90.99,93.57,90.43
89.48,88.34,90.99,86.98
88.57,87.22,88.57,86.61
86.74,89.46,89.65,86.26
89.34,87.31,89.77,86.88
86.99,86.93,89.14,86.76
87.56,87.60,88.60,87.31
88.40,89.02,90.24,88.27
89.03,88.94,89.35,88.21
88.85,90.52,91.04,88.85
90.79,92.20,92.25,90.68
92.17,92.93,93.10,90.93
92.90,93.24,93.92,92.50
92.72,94.19,94.55,91.48
94.29,93.15,94.38,91.99
98.00,100.28,100.40,97.52
100.00,100.90,101.03,99.82
100.95,100.38,100.95,99.73
100.40,100.19,100.70,99.70
100.30,101.53,101.61,99.95
101.45,100.44,101.59,100.02
100.57,99.53,100.59,99.43
99.60,97.03,100.02,96.70
97.76,95.40,97.85,95.09
95.57,94.25,96.23,94.15
94.30,95.00,95.33,94.10
95.88,97.24,97.27,95.19
97.60,97.92,98.67,97.00
98.33,96.34,98.33,96.12
96.48,96.41,97.13,95.53
95.11,97.23,97.81,94.77
97.13,97.10,97.49,96.87
96.80,95.72,97.40,95.47
95.57,96.44,96.57,94.48
95.89,96.55,97.40,95.48
96.67,98.26,98.27,96.28
100.26,101.53,102.48,99.64
101.69,101.99,102.56,100.60
97.76,97.85,99.41,96.50
97.48,96.32,98.15,95.66
96.82,95.09,96.82,94.22
95.80,94.22,95.99,93.32
94.60,94.32,94.60,92.11
93.88,93.39,94.48,92.46
93.47,94.99,95.40,93.25
94.35,94.60,94.77,93.26
95.51,94.99,95.51,93.85
94.69,95.66,95.98,94.18
95.66,94.29,95.66,93.59
94.78,96.17,96.40,93.84
95.73,97.14,97.14,95.24
96.39,98.01,99.94,96.39
98.29,100.40,100.60,98.02
100.25,98.54,100.41,98.49
98.06,98.21,98.54,96.74
98.15,97.84,98.66,97.15
97.25,97.82,98.71,96.47
98.73,97.54,98.83,97.29
97.46,97.37,98.81,96.68
98.35,99.52,100.18,97.45
99.33,99.66,100.59,98.60
99.31,98.96,99.93,98.16
99.14,99.32,100.19,98.32
99.28,99.19,100.19,98.68
99.53,98.71,100.06,98.41
98.72,99.49,99.68,98.26
88.30,87.80,89.51,86.90
88.32,87.96,88.77,86.95
87.68,85.68,88.48,83.45
85.61,87.17,87.31,85.32
86.75,87.67,87.90,85.45
88.01,88.05,89.28,87.61
88.17,88.07,90.21,87.74
88.02,86.20,88.83,85.56
86.64,88.03,88.49,86.45
88.00,88.56,89.04,87.71
88.39,88.78,89.39,87.82
89.20,89.79,90.39,88.83
90.27,91.68,92.12,90.04
91.38,91.11,91.69,90.79
90.72,89.91,91.19,89.31
90.08,89.79,90.42,89.00
89.88,89.82,90.53,89.52
89.73,87.19,89.88,87.15
87.93,87.49,88.70,86.63
87.85,88.37,89.03,87.18
75.96,74.14,76.93,72.51
73.61,73.96,74.74,72.94
74.21,74.91,75.15,74.17
75.44,77.38,78.20,74.93
77.28,76.39,79.20,76.10
77.43,77.52,77.95,77.05
77.86,77.22,78.26,76.11
77.17,79.30,79.67,76.80
78.99,80.48,80.65,78.63
80.46,81.17,81.59,80.17
81.10,81.69,81.85,80.85
82.09,82.48,83.40,81.85
82.45,82.00,82.66,81.41
84.30,84.74,84.86,82.43
83.54,84.05,84.40,82.69
84.05,84.04,84.60,83.75
84.39,84.53,84.95,84.09
84.53,85.65,86.63,84.25
85.70,88.14,88.65,85.52
87.75,87.69,88.60,86.63
87.50,85.76,87.66,85.37
86.68,86.64,86.99,85.68
86.03,84.47,86.20,83.85
85.04,82.97,85.04,82.24
83.19,83.70,84.24,82.48
84.00,84.84,85.64,83.31
85.42,86.46,86.79,85.20
86.43,86.22,86.75,84.62
86.72,85.64,87.00,85.48
85.69,85.99,86.62,85.22
85.87,86.72,87.83,85.85
86.98,87.65,87.87,86.47
87.09,86.56,87.56,86.22
86.36,89.36,89.75,86.36
89.98,90.18,90.63,89.81
89.97,91.12,91.47,89.96
91.00,90.41,91.06,89.95
90.40,91.48,91.56,90.12
90.98,89.39,91.58,89.39
89.73,92.18,92.52,89.40
92.22,92.99,93.40,92.04
92.66,93.51,94.52,92.40
93.45,93.61,93.96,92.37
93.04,93.09,94.29,92.61
93.43,93.97,94.17,92.75
93.97,94.87,95.25,93.71
94.87,94.88,96.25,94.84
94.81,94.06,96.30,93.42
93.04,93.22,93.74,92.53
92.79,92.12,93.53,91.58
92.92,92.09,93.49,91.78
91.75,91.67,92.58,91.00
91.74,91.44,92.09,91.10
91.06,90.76,91.62,90.42
91.24,89.74,91.24,88.20
87.90,87.11,89.54,85.76
86.72,86.09,88.00,85.98
86.27,86.89,86.91,85.83
87.16,85.65,87.76,85.51
86.79,86.59,87.30,86.17
86.00,84.13,86.74,83.65
95.36,96.64,98.88,95.10
96.36,97.01,97.45,95.25
96.08,96.14,97.00,95.19
96.12,96.02,96.68,95.50
96.00,96.60,96.85,95.77
96.32,95.04,96.64,94.95
94.45,93.40,94.73,92.97
