JKI,iShares Morningstar Mid-Cap ETF,NASDAQ
66.71,65.20,66.71,65.14
66.58,67.44,67.44,66.45
66.66,67.80,67.80,66.64
68.56,68.35,69.08,68.35
68.88,69.48,69.48,68.88
69.34,69.19,69.68,69.19
69.86,69.42,69.86,68.70
69.68,69.28,69.68,69.17
70.16,68.81,70.26,68.75
68.54,67.40,68.68,67.32
66.08,66.84,67.06,66.08
65.86,65.44,66.46,65.44
65.75,66.07,66.07,65.16
66.16,66.16,66.16,66.16
64.95,63.54,64.95,63.17
63.28,63.00,64.00,62.65
63.00,62.38,63.00,61.38
62.75,61.59,62.75,61.59
62.69,61.95,62.90,61.46
62.05,63.72,63.72,62.05
64.96,64.99,64.99,64.45
65.09,65.73,65.73,65.09
65.56,65.57,65.86,65.25
66.40,66.96,67.12,66.40
66.76,66.27,66.76,66.22
66.60,66.55,66.69,65.79
64.93,64.27,64.93,64.27
64.25,64.84,64.84,64.24
64.01,65.69,65.69,63.85
66.30,64.83,66.30,64.70
66.35,66.54,66.54,66.25
66.50,67.16,67.32,66.47
68.29,68.52,68.52,68.10
68.98,68.33,68.98,68.22
68.22,67.34,68.29,67.34
66.98,67.21,67.48,66.85
66.36,67.39,67.39,66.31
68.44,68.65,68.71,68.31
68.52,68.02,68.52,68.02
68.06,68.23,68.24,68.05
67.84,68.07,68.14,67.84
67.32,67.80,67.82,67.21
68.10,68.45,68.45,68.03
67.71,67.83,68.12,67.46
66.68,65.79,66.68,65.79
64.49,65.48,65.49,64.49
65.26,65.45,65.56,65.26
65.38,65.13,65.41,65.08
65.75,66.32,66.49,65.74
66.06,66.59,66.59,66.04
65.84,65.12,65.87,64.89
64.55,64.79,64.79,64.35
65.19,64.52,65.19,64.52
63.68,64.00,64.00,63.22
63.11,63.82,63.82,62.83
64.12,63.68,64.12,63.43
64.14,64.93,64.95,63.65
64.64,64.27,64.64,64.27
63.46,64.18,64.41,63.32
64.98,66.16,66.16,64.98
66.29,66.60,66.60,66.14
67.48,67.65,67.76,67.18
66.68,66.45,66.94,66.45
66.93,66.85,67.24,66.85
67.68,67.29,67.72,67.07
67.42,67.45,67.57,67.29
68.30,68.51,68.51,68.16
68.27,68.60,68.60,68.27
68.31,68.49,68.52,68.24
68.12,68.15,68.15,68.01
68.43,68.20,68.46,67.93
68.93,69.44,69.44,68.85
69.20,68.92,69.54,68.84
68.77,68.38,69.12,68.35
68.38,67.73,68.50,67.68
67.76,68.39,68.46,67.68
68.38,68.10,68.52,68.00
67.84,68.66,68.66,67.48
68.54,68.68,68.94,68.53
69.21,68.86,69.21,68.41
69.17,69.01,69.38,68.70
69.04,68.50,69.04,68.20
69.26,69.98,69.98,69.26
70.03,69.73,70.04,69.55
70.18,69.79,70.18,69.45
70.29,70.52,70.52,70.29
70.68,70.72,70.83,70.66
70.54,71.01,71.15,70.54
71.37,71.29,71.72,71.29
71.39,70.96,71.39,70.69
71.15,71.05,71.27,70.81
71.20,71.46,71.58,71.20
70.77,70.49,71.36,70.17
70.80,71.30,71.58,70.80
71.57,71.24,72.00,70.96
71.43,71.36,71.47,71.18
71.70,71.50,72.20,71.47
71.12,71.28,71.41,71.00
70.65,71.15,71.15,70.47
71.52,70.85,71.55,70.59
70.85,71.09,71.15,70.74
71.36,70.93,71.55,70.52
71.66,71.66,71.66,71.41
71.74,71.72,71.75,71.03
72.70,73.33,73.33,72.55
73.35,73.52,73.81,73.34
73.26,73.32,73.35,72.97
73.35,72.39,73.35,72.39
72.09,72.11,72.11,72.09
72.06,72.61,72.80,72.06
72.12,71.58,72.33,71.39
71.93,71.67,72.31,71.67
71.09,70.08,71.09,70.02
70.48,70.54,70.63,70.48
71.26,71.49,71.66,71.26
71.38,71.47,71.50,71.36
71.21,71.70,71.72,71.09
70.77,70.73,70.89,70.62
71.31,71.75,71.76,71.31
71.75,71.75,71.75,71.75
70.87,71.36,71.36,70.46
70.61,71.03,71.26,70.61
71.90,72.35,72.37,71.90
72.81,73.51,73.51,72.81
73.42,73.79,73.79,73.20
73.55,73.81,73.84,73.55
74.61,73.69,74.61,73.69
73.85,73.76,74.02,73.63
74.34,74.25,74.37,74.03
74.49,74.77,74.84,74.40
75.14,74.82,75.18,74.81
74.91,74.75,75.16,74.74
74.80,74.36,74.80,74.30
74.45,74.70,74.76,74.11
74.71,74.96,75.06,74.71
75.11,75.31,75.40,75.10
75.65,75.95,75.99,75.55
76.10,76.36,76.49,76.10
75.82,75.69,75.86,75.67
75.25,75.84,75.84,75.25
75.69,75.71,75.77,75.60
75.82,75.84,75.98,75.75
75.89,75.72,76.10,75.72
75.82,75.75,75.95,75.70
76.29,76.71,76.98,76.29
76.34,76.23,76.37,75.90
76.08,76.74,76.78,76.08
76.61,76.44,76.61,76.32
75.82,76.20,76.23,75.82
75.83,76.47,76.51,75.83
76.90,76.73,76.96,76.61
77.28,77.45,77.54,77.23
77.44,77.37,77.60,77.34
77.49,77.93,77.93,77.30
77.88,78.17,78.17,77.71
78.02,76.71,78.02,76.66
76.55,76.83,76.98,76.34
77.40,77.00,77.40,76.94
77.27,77.31,77.42,77.27
77.10,77.60,77.60,77.10
77.91,77.94,78.05,77.68
78.02,78.76,78.91,78.02
77.94,77.35,78.02,77.33
77.82,77.61,78.08,77.53
78.29,79.02,79.11,78.29
78.70,78.69,78.93,78.69
78.13,78.71,78.80,78.12
78.94,79.27,79.30,78.77
79.35,80.04,80.04,79.34
79.94,80.15,80.15,79.91
80.08,79.93,80.18,79.83
79.55,80.01,80.23,79.55
80.40,80.79,80.79,80.40
80.66,80.78,80.79,80.50
80.50,80.68,80.80,80.50
81.12,81.30,81.35,81.00
81.42,81.93,82.00,81.42
81.95,81.87,82.04,81.83
81.00,79.92,81.25,79.92
79.67,79.02,79.94,78.50
78.96,78.80,79.13,78.18
79.26,79.82,79.94,79.26
80.48,80.40,80.68,80.11
80.79,79.13,80.79,78.97
78.88,78.99,79.17,78.84
79.95,80.40,80.46,79.94
80.40,79.59,80.40,79.28
80.00,79.08,80.23,78.81
79.30,80.32,80.34,79.10
80.12,80.25,80.34,80.12
79.04,79.02,79.05,78.83
78.38,79.48,79.48,78.38
78.65,78.80,79.14,78.33
76.44,78.12,78.23,76.41
77.80,76.99,77.80,76.97
78.31,77.22,78.31,77.15
78.55,78.02,78.55,78.00
79.07,79.41,79.47,78.98
79.47,79.12,79.47,79.05
78.92,79.18,79.32,78.59
79.24,79.61,79.66,79.24
79.44,79.98,80.14,79.44
80.08,79.83,80.24,79.83
79.82,80.00,80.00,79.82
80.29,80.85,80.92,80.29
80.58,80.94,81.00,80.57
81.22,81.48,81.64,81.22
81.88,81.62,81.92,81.39
81.38,81.54,81.78,81.38
81.81,81.70,81.81,81.43
81.25,81.42,81.63,81.25
81.84,80.60,81.84,80.60
80.82,80.30,80.90,80.30
79.87,79.70,79.99,79.59
79.90,79.93,79.93,79.66
79.87,79.93,79.94,79.32
79.94,80.47,80.53,79.94
79.32,79.33,79.36,78.99
79.60,79.64,79.70,79.36
81.15,80.67,81.15,80.67
81.14,81.22,81.31,81.02
81.04,81.12,81.20,80.96
81.99,81.98,82.05,81.91
82.13,82.11,82.13,81.94
82.49,82.85,82.85,82.49
82.82,82.72,82.92,82.58
83.17,83.00,83.33,82.79
82.57,82.05,82.57,82.05
82.29,81.73,82.29,81.49
81.16,81.90,82.03,81.16
82.20,81.61,82.33,81.60
81.60,82.08,82.09,81.60
82.61,83.00,83.00,82.54
82.76,82.06,82.76,81.95
81.73,82.36,82.37,81.59
81.81,81.81,81.81,81.80
81.78,81.44,81.95,81.44
81.17,81.23,81.25,80.87
81.75,82.26,82.26,81.75
82.00,82.47,82.52,82.00
82.30,82.24,82.30,82.24
81.06,80.71,81.06,80.64
80.59,80.59,80.59,80.59
80.58,80.93,80.93,80.58
80.56,81.14,81.14,80.34
81.49,81.77,81.77,81.41
82.53,82.31,82.53,82.14
82.23,80.85,82.23,80.85
80.33,80.33,80.33,80.33
79.50,79.25,79.85,78.93
78.98,78.00,79.04,77.93
78.31,78.55,78.78,78.31
77.85,77.60,77.88,77.60
78.13,78.04,78.27,78.04
77.72,77.11,77.72,76.98
77.11,77.21,77.21,76.94
77.66,78.12,78.49,77.66
77.65,76.84,77.72,76.61
76.98,76.80,76.98,76.66
77.70,77.23,77.70,77.23
77.91,77.79,77.91,77.78
78.92,79.00,79.00,78.82
78.63,78.54,79.25,78.54
77.13,77.59,77.68,76.93
77.89,77.28,77.89,77.25
77.24,77.82,77.86,77.24
78.14,78.44,78.44,78.14
79.34,79.27,79.34,79.08
79.40,79.82,79.82,79.30
79.77,80.95,80.95,79.70
80.70,80.59,80.70,80.37
80.12,80.47,80.57,80.12
81.35,81.49,81.54,81.35
80.64,80.59,80.64,80.21
79.91,78.91,79.91,78.91
79.32,79.44,79.44,79.32
79.14,79.03,79.75,79.03
79.49,78.30,79.49,78.30
78.62,78.29,78.62,78.27
78.24,77.32,78.24,77.00
77.75,78.58,78.58,77.75
78.66,78.86,78.88,78.66
79.12,79.65,79.81,79.12
79.71,79.86,79.88,79.23
79.52,79.25,79.52,79.25
79.12,78.79,79.15,78.79
78.42,77.12,78.42,77.03
77.29,76.62,77.73,76.62
75.54,76.30,76.71,75.32
77.10,75.85,77.17,75.36
75.52,73.64,75.52,73.64
73.62,73.83,73.83,72.23
72.55,69.71,72.55,69.71
70.79,69.17,70.79,67.40
67.13,63.85,67.89,63.75
64.94,67.52,67.53,63.26
65.89,64.57,66.05,64.44
65.10,67.87,68.15,65.10
68.55,67.93,68.62,67.88
68.55,69.96,69.96,68.55
69.18,69.19,69.73,68.85
69.79,69.25,70.20,68.94
66.30,65.87,66.51,65.87
66.02,64.96,66.54,64.96
66.24,64.89,66.24,64.89
64.95,66.76,66.84,64.95
66.76,68.08,68.08,66.76
67.28,66.83,67.31,66.71
66.41,67.86,68.13,65.52
69.30,70.32,70.32,69.30
70.11,70.96,70.96,70.11
71.14,70.96,71.74,70.96
70.89,70.02,70.89,70.02
68.54,68.09,68.95,67.91
66.00,67.29,67.30,65.99
68.30,69.50,69.65,68.17
68.63,68.94,68.94,68.63
66.77,67.01,67.14,66.64
66.14,67.17,67.19,66.01
67.58,68.17,68.25,67.06
68.15,69.35,69.51,68.15
69.38,70.22,70.27,69.38
70.65,70.06,70.86,70.06
69.07,69.40,69.40,68.87
70.28,69.44,70.28,69.44
68.97,66.42,68.97,66.39
64.72,64.41,64.86,63.63
64.77,64.81,65.07,64.77
64.93,66.12,66.12,64.41
67.52,66.89,67.91,66.73
66.13,66.13,66.13,66.13
66.52,65.34,66.66,65.34
65.03,64.24,65.43,64.24
63.50,61.46,64.08,61.46
60.70,63.18,63.18,60.22
63.51,64.38,64.39,63.51
64.40,66.03,66.03,64.40
66.47,65.12,66.47,65.06
66.78,67.29,67.29,66.58
66.89,67.38,67.54,66.89
67.90,68.45,68.82,67.90
67.77,68.22,68.39,67.15
69.00,69.17,69.17,68.54
68.20,67.51,68.20,67.51
67.61,69.10,69.51,67.31
69.25,68.27,69.25,68.16
67.96,68.68,68.68,67.61
69.68,70.03,70.03,69.68
70.16,71.47,71.48,70.16
70.71,69.89,70.75,69.89
70.53,70.96,70.96,70.49
73.02,73.80,73.80,72.47
73.01,73.25,73.28,72.85
72.11,71.69,72.49,71.69
69.60,69.36,70.14,69.29
70.56,70.63,70.94,70.04
71.47,71.95,71.95,70.62
71.49,71.74,71.91,71.06
71.44,72.17,72.17,71.44
72.57,73.01,73.02,71.98
71.23,70.37,71.39,70.32
71.21,70.57,71.21,70.22
71.50,72.03,72.03,71.46
71.08,71.13,71.23,71.08
71.22,71.67,71.67,71.22
71.09,70.83,71.67,70.83
70.35,69.44,70.53,69.44
70.01,69.66,70.01,69.64
68.28,68.23,68.31,67.85
68.13,68.13,68.13,68.13
67.23,66.29,67.23,66.29
66.29,66.29,66.29,66.29
68.24,68.00,68.24,68.00
68.04,68.33,68.33,68.04
70.57,71.27,71.27,70.18
71.23,71.46,71.46,71.22
71.96,71.30,72.08,71.30
72.35,71.92,72.54,71.70
72.11,72.17,72.17,72.11
71.28,71.93,71.97,71.27
71.63,70.22,71.63,70.22
70.81,71.66,71.80,70.81
70.25,70.63,70.63,70.11
70.89,69.67,70.89,69.67
69.37,69.01,69.61,68.97
69.74,69.70,69.93,69.57
70.22,70.04,70.22,69.90
70.16,68.83,70.16,68.83
70.77,71.01,71.09,70.77
70.78,71.61,71.61,70.78
71.98,71.90,71.98,71.85
72.05,72.18,72.18,71.93
72.27,72.31,72.31,72.27
72.20,71.31,72.20,71.31
71.46,72.17,72.17,71.46
72.28,72.09,72.33,72.09
73.06,73.15,73.53,73.06
72.37,72.71,72.75,72.19
71.89,73.00,73.11,71.86
72.73,73.12,73.22,72.73
73.20,73.14,73.20,72.79
73.93,73.92,73.97,73.92
74.04,74.17,74.17,74.04
74.30,74.63,74.63,74.30
73.77,74.14,74.14,73.50
75.05,74.14,75.05,74.12
74.11,75.00,75.00,74.06
75.49,75.53,75.63,75.30
75.45,75.45,75.45,75.36
75.65,75.64,75.69,75.39
75.31,75.51,75.51,75.31
75.51,76.37,76.37,75.20
76.93,75.91,76.93,75.91
75.94,76.25,76.28,75.88
75.44,75.45,75.71,75.30
76.18,75.57,76.18,75.25
76.29,76.95,77.00,76.29
76.71,76.76,76.96,76.70
77.92,78.20,78.27,77.86
77.85,77.92,77.96,77.85
77.81,78.27,78.27,77.69
78.30,78.36,78.47,78.21
78.65,78.53,78.65,78.04
77.81,77.70,77.82,77.48
78.52,78.27,78.52,78.10
77.89,77.59,77.97,77.59
78.30,78.02,78.47,77.85
79.00,78.99,79.00,78.99
79.63,79.49,79.63,79.39
79.73,78.80,79.73,78.80
78.92,78.63,79.06,78.49
79.01,79.13,79.14,78.94
79.37,79.23,79.37,79.23
78.46,79.06,79.20,78.46
79.14,78.84,79.20,78.84
79.17,78.69,79.17,78.69
78.86,78.98,79.26,78.86
79.22,78.88,79.22,78.88
78.39,78.44,78.57,78.27
77.69,76.98,77.69,76.88
77.14,77.59,77.63,77.14
78.31,78.62,78.62,78.16
78.83,79.28,79.40,78.83
79.32,79.08,79.32,78.91
79.71,80.31,80.31,79.68
80.25,80.18,80.25,80.18
80.29,80.90,80.92,80.29
80.85,80.65,80.85,80.64
80.68,80.96,81.05,80.68
80.34,80.47,80.47,80.34
80.50,80.50,80.50,80.50
79.78,79.78,79.78,79.78
79.80,80.11,80.11,79.80
80.57,80.78,80.78,80.41
80.78,80.68,80.84,80.68
80.19,80.13,80.19,79.74
79.29,79.71,79.71,79.24
80.52,80.16,80.52,80.16
80.02,80.71,81.00,80.02
80.79,80.20,80.79,80.20
79.59,79.83,79.83,79.59
79.64,79.31,79.64,79.22
78.16,78.32,78.37,78.13
78.04,76.62,78.20,76.62
77.45,77.38,77.54,77.36
77.42,78.53,78.53,77.40
77.89,77.88,78.01,77.88
77.68,77.96,77.96,77.68
78.83,78.95,78.95,78.83
78.54,78.50,78.54,78.38
78.32,77.83,78.49,77.83
78.31,78.33,78.52,78.31
77.18,77.56,77.73,77.18
77.99,78.04,78.04,77.91
78.69,78.77,78.93,78.69
78.75,79.67,79.67,78.75
79.22,79.65,79.71,79.22
79.50,79.41,79.50,79.20
79.25,79.82,80.11,79.25
78.92,79.26,79.26,78.92
79.00,78.36,79.00,78.33
78.05,77.37,78.05,77.30
77.04,77.44,77.48,77.04
76.99,77.09,77.09,76.55
77.12,76.97,77.22,76.89
77.52,77.34,77.57,77.07
76.63,77.30,77.50,76.63
76.27,76.24,76.74,76.21
76.26,75.46,76.28,75.46
75.76,75.66,76.03,75.50
75.06,73.47,75.06,73.47
73.47,72.89,73.47,72.52
72.54,73.65,73.65,72.54
73.71,73.38,74.21,73.38
73.14,72.84,73.14,72.82
73.97,74.13,74.13,73.39
74.18,74.24,74.52,74.18
74.80,74.98,74.98,74.77
74.33,73.86,74.33,73.81
73.71,73.78,73.78,73.71
72.32,71.84,72.32,71.66
71.39,71.04,71.44,70.80
71.54,71.83,71.91,71.45
72.40,73.30,73.30,72.40
74.32,73.85,74.46,73.74
73.29,73.53,73.56,72.92
73.07,72.80,73.07,72.80
72.94,73.30,73.30,72.91
73.50,73.41,73.50,73.41
73.44,73.37,73.44,73.36
73.82,73.90,73.90,73.82
73.72,74.20,74.35,73.72
74.27,74.27,74.27,74.27
74.27,74.27,74.27,74.27
75.13,73.12,75.18,73.12
73.27,73.49,73.49,73.19
72.89,71.85,72.89,71.73
72.13,72.49,72.49,72.07
72.59,73.38,73.38,72.53
72.69,72.99,72.99,72.69
75.36,75.54,75.54,75.29
76.29,75.60,76.29,75.48
75.88,76.27,76.27,75.88
76.55,76.23,76.55,76.14
75.07,75.13,75.13,75.07
74.92,74.71,74.92,74.71
75.30,74.33,75.54,74.33
73.99,73.99,74.01,73.99
73.58,73.79,73.94,73.39
74.24,74.59,74.59,74.24
74.36,74.53,74.65,74.28
74.69,75.03,75.03,74.69
75.48,75.56,75.56,75.47
75.83,75.86,75.86,75.71
75.35,75.16,75.38,75.16
73.79,74.20,74.20,73.51
73.93,73.27,73.93,73.25
73.09,73.22,73.22,73.09
74.47,74.37,74.47,74.37
75.42,75.52,75.52,75.42
76.21,76.16,76.24,75.92
76.34,76.07,76.35,75.94
76.17,75.79,76.17,75.66
75.11,74.79,75.11,74.32
76.10,76.66,76.66,76.09
76.77,77.07,77.07,76.77
77.21,77.96,77.99,77.21
77.69,77.94,77.94,77.65
77.95,78.25,78.25,77.95
77.83,78.15,78.15,77.83
78.01,78.25,78.32,78.01
78.28,78.11,78.31,77.98
77.84,78.19,78.19,77.84
78.35,78.93,78.93,78.35
78.91,78.84,78.91,78.84
78.84,79.01,79.01,78.80
79.28,79.08,79.47,79.05
78.35,78.65,78.65,78.35
78.00,77.92,78.00,77.68
77.58,78.05,78.05,77.36
78.59,78.09,78.59,78.09
77.82,77.80,77.96,77.80
77.80,77.80,77.80,77.80
77.53,77.34,77.53,77.34
78.00,77.77,78.05,77.62
77.69,77.73,77.94,77.10
77.80,77.92,77.92,77.76
79.43,79.59,79.64,79.43
79.80,80.29,80.29,79.79
80.21,80.09,80.55,80.09
80.37,80.37,80.37,80.37
80.75,80.84,80.98,80.71
80.54,82.01,82.01,80.54
82.79,82.74,82.96,82.73
82.65,82.23,82.65,82.21
81.63,81.55,81.63,81.46
81.74,82.02,82.06,81.43
81.43,81.27,81.43,81.27
81.76,81.76,81.76,81.76
81.12,81.48,81.50,81.03
81.34,79.62,81.34,79.62
79.04,79.06,79.06,79.04
79.51,79.79,79.88,79.27
79.35,79.43,79.59,79.34
79.79,79.45,79.79,79.45
79.63,79.72,79.75,79.63
79.89,79.58,79.89,79.50
80.20,80.55,80.55,80.20
80.73,80.73,80.73,80.73
80.44,80.58,80.72,80.44
80.57,80.25,80.57,80.13
79.57,79.47,79.57,79.47
80.44,80.44,80.44,80.44
80.44,80.44,80.44,80.44
79.52,79.97,79.97,79.52
80.52,80.88,81.05,80.50
81.30,81.71,81.73,81.30
81.67,82.04,82.05,81.67
82.01,80.92,82.01,80.66
80.73,80.65,81.13,80.65
79.50,79.86,79.86,79.46
80.00,79.93,80.00,79.87
79.54,80.10,80.10,79.54
79.55,79.89,79.89,79.49
79.65,79.69,79.93,79.50
80.89,80.89,80.89,80.89
81.23,80.64,81.23,80.49
80.06,80.47,80.52,80.02
80.83,81.31,81.53,80.83
80.36,79.44,80.36,79.37
79.38,78.77,79.38,78.76
78.86,78.45,79.18,78.45
78.73,78.56,78.73,78.35
78.77,78.35,78.78,78.35
78.37,77.05,78.48,77.05
76.90,76.88,77.10,76.68
77.12,77.16,77.16,77.07
78.31,78.38,78.38,78.31
78.55,78.52,78.55,78.19
78.60,78.67,78.67,78.57
79.24,79.65,79.65,79.18
79.29,79.53,79.53,79.29
79.55,79.36,79.87,79.32
79.02,79.64,79.64,79.02
80.51,80.43,80.51,80.27
80.49,80.61,80.65,80.40
81.12,80.29,81.12,80.25
80.27,80.17,80.34,79.99
80.32,80.96,80.97,80.28
80.84,80.97,81.00,80.84
81.25,81.16,81.30,81.00
81.15,81.71,81.71,81.15
81.99,81.96,82.16,81.82
82.27,82.45,82.60,82.27
82.10,81.58,82.20,81.58
81.56,81.80,81.81,81.56
81.93,82.10,82.30,81.93
82.60,83.36,83.49,82.53
83.13,82.72,83.22,82.72
82.94,83.22,83.22,82.91
82.32,82.42,82.55,82.05
82.35,82.20,82.35,82.20
82.43,81.91,82.43,81.91
81.90,81.73,81.90,80.92
81.29,80.95,81.48,80.95
80.88,82.35,82.35,80.88
83.86,84.30,84.30,83.75
84.54,84.56,84.87,84.54
84.80,85.31,85.31,84.66
85.05,84.88,85.05,84.70
84.32,84.44,84.48,84.32
84.80,84.93,85.01,84.80
85.55,85.54,85.56,85.12
85.26,85.48,85.48,85.26
85.47,85.56,85.67,85.38
85.30,86.08,86.09,85.30
85.93,86.10,86.10,85.87
86.82,86.96,86.96,86.82
86.68,87.08,87.09,86.66
87.29,88.01,88.01,87.24
87.92,87.89,87.93,87.85
87.90,88.21,88.36,87.90
88.23,88.33,88.34,87.98
88.88,88.40,88.88,88.00
88.33,88.61,88.61,88.27
88.71,88.52,88.77,88.52
88.48,88.84,88.84,88.36
89.14,89.51,89.55,89.14
89.03,88.80,89.10,88.73
89.33,89.47,89.64,89.33
89.12,89.91,89.91,89.12
89.91,89.71,89.91,89.29
90.08,90.28,90.28,90.08
90.30,90.32,90.38,90.22
90.47,90.58,90.64,90.47
90.66,90.60,90.66,90.60
90.73,90.89,90.96,90.73
90.89,90.80,91.02,90.80
90.91,91.35,91.35,90.91
91.23,89.84,91.23,89.83
89.45,89.12,89.50,88.64
89.38,89.99,89.99,89.38
90.40,88.99,90.40,88.99
88.57,88.70,88.70,87.97
88.62,90.06,90.10,88.62
90.36,89.99,90.45,89.99
89.59,90.17,90.17,89.19
90.14,90.39,90.39,90.06
90.91,91.39,91.56,90.91
91.80,91.64,91.82,91.64
91.97,91.92,92.00,91.81
92.33,92.79,92.79,92.23
92.80,93.19,93.23,92.74
93.33,93.22,93.33,93.10
93.23,93.62,93.74,93.14
94.14,94.30,94.30,94.08
94.37,94.30,94.38,94.23
93.34,93.85,94.22,93.34
94.07,93.50,94.07,93.38
94.29,94.52,94.54,94.22
93.84,93.75,94.26,93.51
93.96,93.79,93.96,93.74
93.89,92.95,93.89,92.95
93.63,93.80,93.80,93.45
93.27,93.95,93.97,93.14
94.51,94.54,94.57,92.10
94.55,93.64,94.59,93.64
94.30,93.60,94.30,93.50
93.02,92.53,93.02,92.40
92.59,92.80,92.96,92.59
91.78,92.54,92.54,91.69
92.89,93.15,93.21,92.62
93.33,93.76,94.09,93.33
94.72,94.80,94.88,94.72
95.19,95.34,95.49,95.19
95.07,94.89,95.07,94.55
93.98,92.94,93.98,92.94
93.16,93.76,93.76,93.16
92.21,91.82,92.21,91.82
92.40,91.65,92.40,91.63
92.08,92.96,92.96,91.88
93.18,93.56,93.56,92.26
93.91,94.15,94.15,93.53
94.15,94.15,94.15,94.15
95.22,95.42,95.75,95.22
95.13,94.93,95.13,94.83
95.48,95.60,95.70,95.48
95.60,95.98,95.98,95.36
95.87,95.62,95.91,95.52
95.50,96.10,96.10,95.50
96.69,97.44,97.44,96.69
97.31,97.65,97.72,97.25
98.08,98.31,98.31,97.84
98.64,98.65,98.70,98.39
98.55,98.19,98.55,98.19
98.37,98.46,98.46,98.11
98.44,98.40,98.46,98.32
99.37,99.56,99.56,99.32
99.46,99.99,100.34,99.46
100.31,99.74,100.46,99.74
100.16,100.94,100.94,100.16
100.81,100.95,101.29,100.81
100.96,101.05,101.17,100.79
100.90,99.62,101.85,99.54
98.66,99.53,99.67,98.60
98.79,99.10,99.22,98.66
100.62,99.83,100.62,99.42
99.33,99.25,99.44,98.94
100.21,100.04,100.28,99.96
99.69,98.83,100.32,98.83
98.87,98.74,99.11,97.86
99.07,98.51,99.26,98.29
97.43,96.90,97.43,96.90
97.34,97.71,97.71,97.27
98.71,99.46,99.46,98.31
99.72,99.65,99.79,99.26
100.19,98.60,100.19,98.39
98.62,97.63,98.62,97.63
97.68,99.60,99.60,97.62
99.62,99.06,99.62,98.94
99.93,99.67,99.93,99.19
99.99,100.29,100.48,99.91
100.33,99.05,100.33,99.05
