ALV,Autoliv,NASDAQ
53.99,54.08,54.31,53.73
54.98,53.73,55.17,53.36
53.63,53.60,54.39,53.26
53.05,52.95,53.27,52.17
52.75,54.03,54.13,52.75
53.84,53.47,53.86,53.30
53.90,54.45,54.46,53.44
53.90,55.90,55.99,53.85
56.41,56.64,56.88,55.83
54.90,55.48,56.28,54.85
54.23,54.25,54.69,53.34
53.89,51.94,53.97,51.63
52.50,51.92,52.58,51.70
53.10,53.67,53.93,52.86
54.23,56.07,56.52,54.22
56.36,56.40,57.33,56.18
56.45,56.57,57.26,56.36
56.94,55.34,57.06,55.24
55.24,54.29,55.97,53.49
55.69,56.58,56.61,55.62
57.29,57.30,57.64,56.87
57.98,58.71,59.49,57.96
58.62,58.99,59.21,58.44
59.36,59.85,60.00,59.18
59.46,60.27,60.33,59.46
60.16,60.22,60.24,59.65
60.23,60.05,60.48,59.81
60.05,60.47,60.63,59.99
60.40,61.75,62.20,60.35
62.06,62.51,62.56,61.95
61.33,61.26,61.50,60.72
61.42,60.90,61.63,60.80
60.53,61.11,61.24,60.36
61.06,60.70,61.28,60.45
60.75,60.61,60.86,60.20
60.66,60.09,60.70,59.97
60.22,59.90,60.59,59.88
60.06,59.76,60.34,59.67
59.56,58.83,59.72,58.70
59.65,59.29,59.68,58.69
58.85,58.61,59.20,57.99
58.71,58.50,58.84,58.36
59.16,60.23,60.48,59.16
61.23,62.28,62.64,60.98
61.84,61.98,62.34,61.84
62.00,62.44,62.72,62.00
63.76,62.99,64.13,62.66
62.48,63.13,63.81,62.05
65.24,66.43,66.54,65.07
66.33,65.59,66.64,65.38
65.36,64.87,65.41,64.69
65.02,65.45,65.78,64.83
64.56,64.41,64.81,63.85
64.75,63.84,64.93,63.73
64.09,64.02,64.41,63.92
64.04,62.35,64.13,62.25
62.27,61.95,62.51,61.44
62.70,62.25,62.72,61.85
62.25,61.97,62.29,61.46
62.55,63.51,64.30,62.46
64.67,64.49,64.97,64.07
64.13,63.82,64.54,63.73
64.51,65.22,65.44,64.43
65.21,64.29,65.44,63.77
63.49,63.66,64.04,63.42
63.46,62.36,63.62,61.98
62.18,60.83,62.34,60.68
61.98,61.53,62.34,61.22
61.70,61.40,62.33,61.00
62.22,61.90,62.33,61.40
61.91,62.29,62.38,61.60
61.99,62.35,62.52,61.79
62.45,63.64,63.95,62.19
63.48,62.62,64.03,62.45
62.85,63.62,63.66,62.42
58.83,57.07,59.04,56.79
57.75,57.12,57.80,56.87
57.55,56.61,57.58,56.32
56.91,55.99,57.16,55.70
57.63,57.60,58.24,57.34
58.25,58.61,58.94,57.94
58.98,57.80,59.28,57.70
58.08,57.83,58.13,57.41
58.47,58.84,59.11,58.27
58.31,57.55,58.31,57.43
58.04,56.36,58.20,56.30
56.69,56.67,57.52,56.50
57.34,56.96,57.35,56.75
56.79,56.01,57.11,55.97
56.50,55.16,56.53,54.95
