DTRM,Determine,NASDAQ
5.72,5.61,5.75,5.31
5.50,5.58,5.75,5.50
5.69,5.60,5.69,5.60
5.68,5.74,5.74,5.60
5.89,5.84,5.89,5.75
5.66,6.03,6.09,5.61
6.10,6.10,6.12,5.62
6.20,5.96,6.20,5.88
6.20,6.16,6.26,5.66
6.08,5.93,6.08,5.86
6.30,6.12,6.30,5.76
5.87,6.03,6.10,5.86
6.15,6.00,6.15,5.83
5.90,5.96,6.00,5.81
5.81,5.86,5.99,5.60
6.00,5.65,6.00,5.61
5.98,5.90,6.00,5.90
5.62,5.84,5.84,5.62
5.64,5.84,5.84,5.63
5.64,5.73,5.80,5.61
nan,5.73,nan,nan
nan,5.73,nan,nan
5.62,5.60,5.69,5.50
5.60,5.60,5.61,5.60
5.61,5.64,5.66,5.60
5.65,5.58,5.68,5.55
5.69,5.57,5.69,5.52
5.55,5.61,5.68,5.53
5.60,5.52,5.62,5.52
5.48,5.55,5.55,5.37
5.69,5.79,5.90,5.67
5.70,5.55,5.79,5.54
5.97,5.54,5.97,5.48
5.41,5.46,5.54,5.34
5.47,5.46,5.47,5.46
5.51,5.50,5.57,5.42
5.44,5.61,5.75,5.35
nan,5.61,nan,nan
5.47,5.47,5.47,5.47
nan,5.47,nan,nan
5.50,5.71,5.74,5.49
5.53,5.75,5.75,5.53
nan,5.75,nan,nan
5.61,5.80,5.99,5.51
5.75,5.62,5.99,5.56
5.76,5.92,5.99,5.76
5.91,5.33,5.91,5.23
5.40,5.65,5.75,5.36
5.49,5.43,5.58,5.31
5.52,5.77,5.82,5.52
5.76,5.43,5.76,5.40
5.56,5.80,5.80,5.54
5.41,5.34,5.68,5.32
5.39,5.19,5.49,5.14
5.21,5.29,5.56,5.21
5.16,5.33,5.41,5.16
5.41,5.22,5.43,5.21
5.78,5.46,5.78,5.44
5.65,5.69,5.77,5.65
5.32,5.71,5.77,5.29
5.67,5.47,5.72,5.27
5.35,5.35,5.36,5.27
5.48,5.77,5.79,5.48
5.54,5.39,5.55,5.39
5.47,5.56,5.73,5.47
nan,5.56,nan,nan
5.21,5.10,5.31,5.10
5.50,5.25,5.50,5.16
5.25,5.59,5.60,5.25
5.52,5.43,5.52,5.42
5.32,5.47,5.48,5.32
5.49,5.37,5.59,5.22
5.28,5.50,5.71,5.21
5.49,5.27,5.49,5.27
5.28,5.37,5.50,4.92
5.01,5.24,5.37,4.95
5.09,5.39,5.50,5.09
5.40,5.39,5.40,5.04
5.35,5.28,5.35,5.06
5.11,4.93,5.11,4.80
4.93,5.20,5.20,4.93
5.18,5.32,5.38,4.92
5.31,5.20,5.33,5.17
5.16,5.20,5.22,5.11
5.24,5.02,5.24,5.00
5.10,5.20,5.35,5.10
5.24,4.91,5.24,4.90
4.83,4.75,4.85,4.67
4.63,4.76,4.89,4.60
4.67,4.76,4.81,4.64
4.81,4.84,4.84,4.77
4.82,4.66,4.82,4.66
4.65,4.71,4.71,4.65
N/A,N/A,N/A,N/A
4.62,4.74,4.74,4.50
4.74,4.77,4.77,4.67
4.71,4.74,4.79,4.71
4.80,4.99,4.99,4.69
4.92,4.88,4.97,4.88
4.92,4.87,4.94,4.65
4.55,4.95,4.95,4.53
4.95,4.88,4.95,4.76
4.89,5.02,5.02,4.87
4.99,4.96,5.04,4.94
4.96,4.97,5.00,4.72
5.04,4.95,5.04,4.90
4.90,4.97,4.97,4.88
5.03,5.19,5.38,4.95
5.15,5.13,5.18,5.07
5.16,5.49,5.50,4.93
5.40,5.43,5.43,5.40
5.46,5.59,5.64,5.32
5.63,5.52,5.63,5.26
5.49,5.28,5.62,5.16
5.61,5.45,5.61,5.09
5.43,5.40,5.44,5.40
5.42,5.40,5.42,5.40
5.43,5.49,5.63,5.43
5.42,5.40,5.51,5.40
5.40,5.35,5.40,5.06
5.40,5.35,5.40,5.35
5.35,5.60,5.60,5.35
5.66,5.53,5.66,5.45
N/A,N/A,N/A,N/A
5.45,5.45,5.45,5.45
5.39,5.08,5.53,5.03
5.28,5.04,5.28,4.91
5.05,5.18,5.18,4.96
5.05,4.98,5.05,4.92
4.90,4.92,4.94,4.80
4.81,4.75,4.91,4.60
4.85,4.92,4.98,4.68
4.83,4.91,4.92,4.75
4.61,4.89,4.92,4.58
4.85,5.06,5.09,4.80
5.02,5.12,5.13,4.88
4.97,4.95,5.00,4.88
5.05,5.03,5.05,4.89
5.00,5.05,5.05,5.00
N/A,N/A,N/A,N/A
4.92,5.16,5.16,4.92
5.15,5.07,5.18,4.84
4.64,4.96,5.19,4.64
4.62,4.93,4.95,4.60
4.88,4.98,5.20,4.82
4.88,4.92,5.20,4.83
N/A,N/A,N/A,N/A
4.82,4.82,4.83,4.82
4.82,4.79,4.82,4.58
4.66,4.69,4.77,4.66
4.31,4.49,4.78,4.27
4.27,4.57,4.57,4.27
4.41,4.67,4.75,4.41
4.53,4.56,4.56,4.45
4.65,4.59,4.65,4.50
4.50,4.50,4.63,4.50
4.75,4.75,4.75,4.60
4.75,5.19,5.19,4.75
5.20,5.20,5.20,5.13
5.20,5.29,5.29,5.10
5.21,5.10,5.30,4.91
N/A,N/A,N/A,N/A
5.07,5.00,5.09,4.85
5.00,4.95,5.00,4.75
4.85,4.95,4.97,4.85
4.90,4.95,5.00,4.84
4.90,4.90,4.90,4.90
4.95,4.75,5.00,4.75
4.76,4.80,4.80,4.76
4.76,4.69,4.76,4.53
N/A,N/A,N/A,N/A
4.53,4.79,4.79,4.52
4.72,4.65,4.72,4.65
4.59,4.66,4.66,4.52
4.57,4.57,4.57,4.57
nan,4.54,nan,nan
4.52,4.52,4.52,4.52
N/A,N/A,N/A,N/A
4.62,4.54,4.65,4.53
4.65,4.65,4.74,4.63
N/A,N/A,N/A,N/A
4.19,4.60,4.60,4.19
4.76,4.74,4.76,4.54
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
4.66,4.74,4.75,4.66
4.50,4.79,4.79,4.50
4.80,4.90,4.90,4.80
5.00,5.25,5.25,5.00
5.25,5.25,5.25,5.25
5.03,5.39,5.49,5.03
5.52,5.50,5.80,5.01
N/A,N/A,N/A,N/A
5.24,5.38,5.38,5.24
5.41,5.41,5.41,5.41
5.50,5.97,5.97,5.40
6.00,5.98,6.03,5.98
5.42,6.05,6.05,5.41
6.00,6.04,6.04,5.90
6.10,6.08,6.10,6.08
5.85,6.09,6.09,5.85
nan,6.03,nan,nan
6.03,5.98,6.05,5.78
6.05,6.09,6.09,6.00
6.09,6.09,6.09,6.09
6.09,6.28,6.28,6.09
6.21,6.02,6.02,6.02
6.09,5.97,6.15,5.67
N/A,N/A,N/A,N/A
5.90,5.77,5.90,5.77
5.46,5.75,5.80,5.45
5.97,5.97,5.97,5.97
6.19,6.19,6.19,6.19
5.93,5.81,5.93,5.63
5.85,5.78,5.85,5.54
5.40,5.72,5.89,5.40
5.40,5.75,5.75,5.40
5.53,5.68,5.80,5.50
5.50,5.58,5.70,5.44
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
5.42,5.64,5.64,5.42
5.43,5.65,5.65,5.41
5.43,5.68,5.68,5.43
5.55,5.55,5.55,5.52
5.66,5.80,5.80,5.66
5.53,5.80,5.80,5.40
5.73,5.84,5.94,5.73
5.71,6.09,6.21,5.71
5.81,5.90,5.92,5.58
5.53,5.54,5.70,5.49
5.30,5.51,5.53,5.30
5.26,5.35,5.37,5.26
N/A,N/A,N/A,N/A
5.39,5.39,5.39,5.25
5.45,5.28,5.45,5.16
5.26,5.24,5.38,5.19
5.25,5.20,5.25,5.20
5.37,5.31,5.37,5.24
N/A,N/A,N/A,N/A
5.00,5.30,5.30,5.00
5.48,5.25,5.56,5.17
5.26,5.10,5.58,5.00
5.12,5.20,5.29,5.01
5.25,5.37,5.45,5.25
5.33,5.29,5.33,5.15
5.08,5.05,5.29,5.05
5.07,5.05,5.07,5.02
N/A,N/A,N/A,N/A
5.00,5.00,5.00,5.00
5.00,5.25,5.25,5.00
N/A,N/A,N/A,N/A
5.06,5.11,5.11,5.06
5.39,5.06,5.39,5.06
N/A,N/A,N/A,N/A
5.34,5.34,5.34,5.34
5.07,5.11,5.29,5.07
5.00,5.08,5.21,5.00
4.95,5.21,5.21,4.92
5.13,5.03,5.19,5.00
5.03,5.12,5.13,4.91
5.12,5.12,5.12,5.12
5.11,5.24,5.39,5.11
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
5.35,5.35,5.35,5.35
5.35,5.09,5.35,5.09
5.35,5.84,5.84,5.17
5.61,5.61,5.68,5.31
5.37,5.57,5.62,5.37
5.19,5.26,5.26,5.19
5.07,5.20,5.56,5.07
5.51,5.25,5.51,5.25
5.26,5.35,5.47,5.14
5.22,5.14,5.22,5.14
5.08,4.91,5.08,4.86
4.79,4.83,4.89,4.64
4.51,4.75,4.90,4.51
4.62,4.63,4.74,4.58
4.71,4.77,4.79,4.67
4.49,4.99,4.99,4.49
4.78,4.95,4.95,4.66
4.92,5.24,5.68,4.86
5.22,5.11,5.43,4.70
5.13,5.03,5.34,4.94
5.31,5.10,5.31,4.84
5.20,5.31,5.33,4.91
5.12,5.04,5.16,4.95
5.00,5.11,5.32,4.86
5.07,5.07,5.10,4.88
5.01,5.02,5.23,4.96
5.07,5.24,5.30,5.07
5.25,5.20,5.48,5.06
5.19,5.01,5.29,4.90
5.21,5.15,5.23,5.10
5.16,4.99,5.19,4.96
4.99,5.15,5.40,4.99
5.22,5.19,5.22,4.90
5.12,5.12,5.19,5.12
5.12,5.16,5.20,5.02
5.15,5.15,5.25,5.05
5.06,5.14,5.14,5.06
5.10,5.27,5.30,5.01
5.20,5.40,5.40,5.13
5.35,5.19,5.40,5.01
5.23,5.22,5.30,5.10
5.30,5.22,5.40,5.00
5.12,5.22,5.40,5.12
5.16,5.26,5.37,5.16
5.19,5.16,5.25,5.16
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
5.10,4.90,5.11,4.90
4.97,4.80,4.97,4.80
4.80,4.80,4.80,4.80
4.42,5.30,5.49,4.42
5.39,5.21,5.39,4.77
5.30,5.09,5.30,4.94
5.14,4.87,5.14,4.87
5.16,5.14,5.16,5.14
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
5.20,4.90,5.20,4.90
4.86,4.90,4.97,4.86
5.09,4.99,5.31,4.88
4.97,4.92,5.20,4.26
N/A,N/A,N/A,N/A
4.99,4.93,5.28,4.83
4.76,5.34,5.34,4.47
5.08,5.10,5.10,4.82
4.97,5.17,5.17,4.68
5.01,4.87,5.01,4.66
4.85,4.98,5.08,4.85
4.93,5.00,5.00,4.54
N/A,N/A,N/A,N/A
5.00,4.65,5.00,4.59
4.59,4.37,4.70,4.32
4.34,4.37,4.37,4.29
4.41,4.35,4.45,4.25
N/A,N/A,N/A,N/A
4.40,4.41,4.41,4.40
4.47,4.44,4.48,4.26
4.44,4.45,4.45,4.27
4.34,4.26,4.34,4.26
4.25,4.25,4.35,4.25
4.46,4.20,4.46,4.20
4.02,4.26,4.28,4.02
4.20,4.05,4.20,4.01
4.20,4.02,4.23,4.02
4.07,4.15,4.22,4.07
N/A,N/A,N/A,N/A
4.01,4.01,4.01,4.01
3.90,3.88,3.90,3.88
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
3.82,3.84,3.85,3.67
3.98,3.99,4.00,3.98
3.41,3.89,3.99,3.41
N/A,N/A,N/A,N/A
3.86,3.95,4.00,3.71
3.91,3.90,3.91,3.74
3.89,3.90,3.90,3.74
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
3.70,3.70,3.79,3.68
N/A,N/A,N/A,N/A
3.80,3.80,3.80,3.80
N/A,N/A,N/A,N/A
3.72,3.72,3.72,3.72
3.70,3.72,3.79,3.70
nan,3.74,nan,nan
3.72,3.73,3.73,3.72
3.77,3.77,3.77,3.77
N/A,N/A,N/A,N/A
3.71,3.70,3.71,3.70
3.71,3.71,3.71,3.71
3.75,3.70,3.75,3.70
3.70,3.75,3.75,3.70
3.66,3.24,3.66,3.24
N/A,N/A,N/A,N/A
3.49,3.36,3.57,3.36
2.94,3.49,3.49,2.94
3.49,3.56,3.56,3.49
3.90,3.90,3.90,3.90
3.80,3.76,3.80,3.50
N/A,N/A,N/A,N/A
3.54,3.36,3.55,3.36
3.73,3.15,3.73,3.15
3.18,3.35,3.35,3.13
3.89,3.89,3.89,3.89
3.43,3.25,3.47,3.25
N/A,N/A,N/A,N/A
3.36,3.33,3.37,3.25
3.29,3.34,3.34,3.29
nan,3.36,nan,nan
3.25,3.37,3.55,3.25
N/A,N/A,N/A,N/A
3.35,3.25,3.35,3.25
3.19,3.20,3.20,3.16
N/A,N/A,N/A,N/A
3.35,3.31,3.40,3.21
N/A,N/A,N/A,N/A
3.35,3.01,3.35,2.99
3.16,3.03,3.17,3.03
2.95,3.06,3.13,2.95
3.00,2.96,3.00,2.96
2.95,2.95,2.96,2.80
2.73,2.82,2.85,2.73
2.80,2.70,2.85,2.70
2.75,2.70,2.80,2.70
2.78,2.61,2.78,2.60
2.64,2.76,2.76,2.61
2.67,2.62,2.76,2.61
2.75,2.70,2.79,2.67
2.74,2.75,2.85,2.70
3.04,2.89,3.04,2.77
3.00,3.02,3.10,3.00
3.00,3.08,3.08,3.00
2.92,2.97,3.00,2.92
2.92,2.93,3.00,2.90
3.03,3.05,3.08,3.03
3.10,3.16,3.16,3.10
3.35,3.35,3.35,3.35
3.30,3.30,3.30,3.30
3.19,3.19,3.19,3.19
N/A,N/A,N/A,N/A
3.08,3.07,3.08,3.07
N/A,N/A,N/A,N/A
3.08,3.33,3.60,3.08
3.59,3.60,3.60,3.57
3.42,3.84,3.84,3.35
N/A,N/A,N/A,N/A
3.38,3.73,3.73,3.38
N/A,N/A,N/A,N/A
nan,3.78,nan,nan
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
3.57,3.62,3.77,3.57
3.50,3.15,3.50,3.08
3.15,3.41,3.68,3.15
3.50,3.69,4.20,3.50
3.96,3.80,3.98,3.71
N/A,N/A,N/A,N/A
3.70,3.84,3.92,3.70
3.90,4.00,4.00,3.90
3.87,3.80,3.87,3.76
3.94,3.95,4.06,3.68
3.99,4.37,4.49,3.99
4.26,4.48,4.48,4.05
nan,4.45,nan,nan
4.40,4.40,4.40,4.36
4.46,4.36,4.48,4.36
4.36,4.40,4.40,4.30
4.54,4.56,4.58,4.54
4.58,4.40,4.58,4.31
nan,4.60,nan,nan
4.40,4.06,4.40,3.71
4.36,4.39,4.60,3.87
4.19,4.39,4.40,4.19
4.00,4.03,4.43,4.00
4.01,4.00,4.09,3.64
3.93,3.87,3.93,3.66
3.68,3.92,4.00,3.68
3.96,3.75,3.96,3.75
3.75,3.99,3.99,3.75
3.75,3.78,3.78,3.75
3.77,3.86,3.86,3.75
3.80,3.88,3.89,3.80
3.80,3.80,3.80,3.80
3.80,3.80,3.80,3.80
3.80,3.80,3.80,3.80
3.95,3.80,3.95,3.80
3.89,3.89,3.89,3.89
3.89,3.81,3.89,3.80
nan,3.80,nan,nan
3.80,3.80,3.80,3.80
3.80,3.88,4.10,3.80
3.99,3.82,4.00,3.82
4.01,4.05,4.15,3.90
4.00,3.98,4.05,3.89
nan,3.98,nan,nan
4.21,4.21,4.21,4.21
nan,4.21,nan,nan
3.93,3.90,3.93,3.90
nan,3.92,nan,nan
3.90,3.80,3.90,3.75
nan,3.75,nan,nan
nan,3.75,nan,nan
3.76,3.76,3.76,3.76
nan,3.76,nan,nan
nan,3.76,nan,nan
nan,3.76,nan,nan
nan,3.76,nan,nan
nan,3.76,nan,nan
3.90,3.88,3.90,3.88
3.88,3.90,3.90,3.76
3.89,3.89,3.89,3.89
3.76,3.88,3.89,3.75
3.90,3.91,3.91,3.89
3.94,4.15,4.17,3.94
3.97,4.14,4.14,3.75
nan,3.97,nan,nan
4.10,4.14,4.14,4.00
4.00,3.95,4.14,3.95
3.95,3.95,3.95,3.95
nan,3.95,nan,nan
nan,3.95,nan,nan
3.95,3.95,3.95,3.95
4.12,3.95,4.14,3.95
3.95,3.95,3.95,3.95
nan,4.14,nan,nan
4.00,3.99,4.02,3.86
3.98,3.96,3.98,3.96
3.96,4.04,4.04,3.94
4.00,3.95,4.00,3.94
3.94,3.99,3.99,3.91
nan,3.94,nan,nan
4.00,4.00,4.00,4.00
3.94,4.14,4.14,3.94
4.12,4.14,4.14,4.12
4.05,4.20,4.20,4.05
4.19,4.15,4.19,4.14
4.15,4.15,4.15,4.15
4.15,4.15,4.15,4.15
4.15,4.14,4.15,3.96
3.97,4.15,4.15,3.97
4.12,4.14,4.14,3.97
nan,3.97,nan,nan
nan,3.96,nan,nan
nan,3.96,nan,nan
nan,4.12,nan,nan
nan,4.12,nan,nan
nan,4.12,nan,nan
nan,4.12,nan,nan
nan,4.12,nan,nan
4.11,4.16,4.16,4.11
4.10,4.04,4.10,4.03
nan,4.04,nan,nan
3.96,3.96,3.96,3.96
3.90,4.09,4.09,3.90
3.96,4.08,4.09,3.91
4.03,4.08,4.09,3.85
4.06,4.07,4.07,3.90
nan,4.08,nan,nan
4.03,4.01,4.03,3.85
nan,3.85,nan,nan
nan,3.85,nan,nan
4.00,4.00,4.00,4.00
nan,3.96,nan,nan
3.96,3.96,3.96,3.96
3.99,3.85,3.99,3.85
3.85,3.74,3.99,3.58
3.84,3.37,4.00,3.25
3.18,3.17,3.30,3.15
3.48,3.47,3.48,3.27
3.40,3.40,3.40,3.40
2.94,3.15,3.17,2.94
3.40,3.82,4.00,3.20
3.65,3.27,3.65,3.22
3.65,3.95,3.96,3.48
3.95,3.96,3.99,3.82
3.99,3.99,3.99,3.89
3.94,3.94,3.94,3.94
nan,3.94,nan,nan
nan,3.94,nan,nan
3.90,3.97,3.98,3.90
3.94,4.00,4.00,3.94
4.00,4.00,4.00,4.00
4.00,4.05,4.05,4.00
4.00,3.82,4.00,3.75
3.88,3.90,3.91,3.88
3.31,3.91,3.91,3.31
nan,3.82,nan,nan
nan,3.82,nan,nan
3.95,3.98,3.99,3.80
3.88,3.78,3.88,3.78
3.88,3.88,3.88,3.70
3.90,3.80,4.18,3.80
nan,3.90,nan,nan
nan,3.90,nan,nan
nan,3.90,nan,nan
4.00,4.00,4.00,4.00
3.88,3.89,4.00,3.34
3.86,3.87,3.87,3.81
3.88,3.82,3.88,3.82
3.82,3.92,3.99,3.82
3.80,3.71,3.80,3.60
3.77,3.92,3.93,3.77
3.90,3.92,3.92,3.85
3.78,3.90,3.90,3.78
3.99,3.99,3.99,3.99
3.46,4.01,4.11,3.46
3.92,3.92,4.20,3.82
4.01,3.92,4.37,3.86
3.96,4.04,4.20,3.83
3.90,4.45,4.45,3.90
4.47,4.80,4.80,4.47
4.81,5.29,5.34,4.81
5.29,5.32,5.32,4.54
5.32,5.32,5.32,4.35
5.32,4.64,5.32,4.64
5.01,5.03,5.32,4.88
5.07,5.20,5.49,5.07
5.15,5.48,5.48,4.76
5.33,5.29,5.35,5.28
5.07,5.24,5.46,5.05
5.28,5.35,5.48,4.65
5.48,5.24,5.48,5.24
5.48,5.34,5.48,5.23
5.33,5.33,5.33,5.33
5.30,5.31,5.43,4.91
5.35,5.35,5.37,5.30
5.32,5.34,5.35,5.30
nan,5.34,nan,nan
5.32,5.32,5.32,5.32
5.48,5.48,5.49,5.45
5.47,5.45,5.49,5.45
5.58,5.41,5.58,5.40
5.50,5.40,5.50,5.40
5.08,5.42,5.50,5.03
5.38,5.28,5.54,5.15
5.33,5.30,5.54,5.16
5.32,5.44,5.44,5.32
5.44,5.44,5.44,5.44
5.44,5.43,5.44,4.97
5.43,5.43,5.43,5.43
5.43,5.49,5.49,5.39
5.40,5.55,5.55,5.40
5.47,5.46,5.47,5.21
5.35,5.46,5.46,5.35
5.40,5.44,5.44,5.40
5.37,5.47,5.47,5.15
5.30,5.40,5.55,5.25
5.36,5.40,5.44,5.13
5.38,5.39,5.41,5.38
nan,5.39,nan,nan
5.17,5.26,5.45,5.15
5.44,5.29,5.44,5.20
5.44,5.44,5.44,5.25
5.18,5.44,5.44,5.18
5.25,5.41,5.44,5.25
5.30,5.40,5.40,5.21
5.21,5.38,5.40,5.15
5.21,5.36,5.44,5.21
5.38,5.44,5.44,5.38
5.41,5.20,5.41,5.20
5.29,5.33,5.35,5.29
5.26,5.30,5.44,5.26
5.40,5.40,5.40,5.40
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
5.46,5.46,5.46,5.46
5.30,5.39,5.46,5.20
5.29,5.30,5.30,5.20
5.24,5.29,5.30,5.24
5.31,5.46,5.46,5.30
5.26,5.28,5.46,5.26
5.46,6.40,6.40,5.35
6.40,6.70,7.00,6.37
6.76,6.84,7.00,6.76
6.80,6.56,6.90,6.36
6.60,6.62,6.62,6.02
6.30,6.62,6.63,6.30
6.62,6.62,6.62,6.35
6.65,6.65,6.65,6.36
6.74,6.50,6.74,6.31
6.70,6.55,6.70,6.23
6.74,7.74,7.74,6.50
7.82,8.52,8.72,7.00
8.62,8.70,8.81,8.40
8.72,8.75,8.75,8.72
8.50,8.33,8.83,8.10
8.50,8.35,8.50,8.35
8.35,8.43,8.46,8.00
8.34,8.60,8.60,8.04
8.60,8.70,8.74,8.26
8.89,9.50,9.50,8.75
9.20,9.75,9.75,9.10
9.75,9.72,9.75,9.69
9.69,9.67,9.71,9.33
N/A,N/A,N/A,N/A
9.68,9.50,9.68,9.45
9.49,9.50,9.50,9.49
9.46,8.84,9.50,8.60
9.00,8.82,9.15,8.82
8.96,8.25,8.96,8.25
8.06,8.55,8.55,8.06
8.80,9.24,9.31,8.70
9.22,9.75,9.80,9.00
9.57,9.64,9.80,9.52
9.57,9.64,9.75,9.23
9.57,9.40,9.57,9.12
9.40,9.40,9.51,9.37
9.65,9.45,9.70,9.45
9.40,9.50,9.59,9.02
9.74,9.55,9.75,9.12
N/A,N/A,N/A,N/A
9.11,9.49,9.50,9.11
9.45,9.69,9.69,9.45
9.50,9.85,10.00,9.50
9.97,10.05,10.28,9.82
10.05,10.25,10.50,10.05
10.05,10.40,10.49,10.05
10.40,10.22,10.40,10.11
10.32,10.12,10.45,10.12
10.23,10.22,10.43,10.21
10.17,10.35,10.36,10.17
10.25,10.38,10.47,10.25
10.50,10.30,10.50,10.11
10.24,10.24,10.25,10.11
10.13,10.17,10.23,9.96
10.07,9.70,10.07,9.07
9.61,9.99,9.99,9.61
9.80,9.53,9.95,9.53
9.50,9.75,9.75,9.50
9.75,9.67,9.75,9.44
9.50,9.68,9.75,9.43
9.59,9.59,9.59,9.59
9.59,9.54,9.59,9.40
9.50,9.50,9.50,9.50
9.27,9.47,9.57,9.22
9.18,8.84,9.47,8.56
8.19,8.82,8.82,8.19
8.12,8.45,8.49,8.12
8.44,9.05,9.15,8.40
9.05,9.05,9.05,8.50
9.04,9.17,9.34,8.50
8.93,9.00,9.14,8.39
8.92,8.96,8.97,8.64
8.68,8.68,8.68,8.68
8.21,8.16,8.50,8.16
7.82,8.42,8.59,7.82
8.22,8.18,8.49,8.18
8.50,8.30,8.50,8.30
7.89,8.11,8.30,7.89
8.30,8.19,8.30,8.19
8.30,8.26,8.30,8.01
N/A,N/A,N/A,N/A
8.03,8.04,8.26,8.02
8.29,8.26,8.29,8.00
N/A,N/A,N/A,N/A
8.02,8.29,8.29,8.02
8.30,8.30,8.30,8.30
8.25,8.00,8.25,8.00
8.02,8.37,8.37,8.02
8.47,8.47,8.47,8.47
8.33,8.30,8.33,8.30
8.33,8.30,8.49,8.30
8.30,8.30,8.30,8.30
7.11,7.82,7.82,7.11
8.46,8.50,8.50,8.46
8.50,8.03,8.50,8.03
8.16,8.16,8.16,8.16
8.22,8.35,8.69,8.22
8.31,8.25,8.75,7.80
8.28,8.67,8.67,8.02
8.20,8.10,8.49,7.52
8.50,8.46,8.50,7.86
7.97,8.20,8.49,7.97
7.90,7.74,8.17,7.63
7.55,7.64,7.80,7.55
7.60,8.11,8.15,7.60
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
8.10,7.94,8.31,7.59
7.77,7.95,8.00,7.76
8.02,8.20,8.20,8.00
8.32,8.49,8.49,8.29
8.49,8.50,8.65,8.49
8.57,8.60,8.65,8.57
8.60,8.54,8.60,8.01
8.55,8.15,8.60,7.93
8.25,8.16,8.25,8.16
8.20,8.13,8.20,8.13
7.88,8.20,8.50,7.73
8.20,8.84,8.92,8.20
8.77,8.60,8.77,7.72
8.48,8.65,8.90,8.02
8.74,8.60,9.00,8.36
8.10,8.40,8.40,8.10
8.96,9.00,9.00,8.57
8.95,8.95,8.95,8.95
8.96,9.00,9.00,8.96
N/A,N/A,N/A,N/A
8.75,9.00,9.00,8.75
8.88,9.00,9.00,8.88
8.93,9.00,9.00,8.93
8.91,9.00,9.00,8.85
8.99,8.99,8.99,8.22
8.91,9.00,9.00,8.35
9.00,9.00,9.00,9.00
8.93,9.00,9.00,8.93
9.00,9.00,9.00,9.00
N/A,N/A,N/A,N/A
