OPHC,OptimumBank Holdings,NASDAQ
0.49,0.49,0.51,0.40
0.49,0.51,0.51,0.49
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.40,0.50,0.50,0.40
0.49,0.49,0.49,0.49
0.47,0.40,0.47,0.33
0.48,0.48,0.48,0.48
0.48,0.47,0.48,0.43
0.43,0.46,0.46,0.43
0.46,0.46,0.46,0.43
0.46,0.46,0.46,0.46
0.48,0.50,0.50,0.48
0.48,0.48,0.50,0.37
0.38,0.45,0.45,0.38
0.45,0.45,0.45,0.34
0.43,0.45,0.45,0.43
0.45,0.41,0.45,0.36
0.47,0.45,0.47,0.44
0.47,0.44,0.50,0.44
0.43,0.48,0.50,0.38
0.50,0.55,0.58,0.38
0.50,0.63,0.75,0.50
0.70,0.74,0.86,0.69
0.74,0.74,0.74,0.74
0.61,0.55,0.61,0.45
0.61,0.61,0.61,0.61
0.50,0.67,0.67,0.50
0.45,0.58,0.58,0.44
0.60,0.52,0.60,0.52
0.52,0.51,0.57,0.41
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.43,0.49,0.51,0.42
0.42,0.52,0.52,0.42
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.50,0.49,0.50,0.41
0.49,0.49,0.49,0.49
0.41,0.45,0.45,0.38
0.46,0.48,0.48,0.46
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.46,0.41,0.50,0.41
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.60,0.60,0.60,0.60
0.58,0.74,0.78,0.58
0.74,0.78,0.80,0.74
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.70,0.70,0.70,0.70
0.79,0.73,0.80,0.68
0.75,0.75,0.75,0.75
0.80,0.98,0.98,0.80
0.91,0.91,0.91,0.91
0.90,0.95,0.95,0.88
0.95,0.95,0.95,0.95
0.88,0.88,0.88,0.88
0.88,0.88,0.88,0.88
0.88,0.85,0.88,0.85
0.81,0.80,0.81,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.60,0.90,0.90,0.60
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.75,0.55,0.75,0.50
0.55,0.55,0.55,0.55
0.85,0.56,0.85,0.56
0.56,0.56,0.56,0.56
0.56,0.56,0.56,0.56
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.58,0.57,0.58,0.57
0.57,0.57,0.57,0.57
0.57,0.57,0.57,0.57
0.57,0.57,0.57,0.57
0.57,0.57,0.57,0.57
0.57,0.57,0.57,0.57
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
1.79,1.79,1.79,1.79
4.47,2.25,4.50,1.75
3.75,3.46,4.80,3.05
4.75,4.89,5.50,3.98
5.36,4.66,6.49,4.51
5.00,5.00,5.20,4.90
5.00,4.90,5.25,4.51
5.20,4.56,5.20,4.52
3.02,4.47,5.39,3.02
4.47,4.13,4.47,3.79
3.70,4.09,4.25,3.50
3.55,3.50,4.13,3.50
3.51,3.21,3.51,3.20
3.11,2.40,3.11,2.30
2.42,2.40,2.42,2.40
2.25,2.26,2.27,2.25
2.26,2.46,2.86,2.26
2.46,2.46,2.46,2.46
2.40,2.25,2.40,2.25
2.49,3.49,3.67,2.49
3.58,3.80,3.80,3.33
3.97,5.00,5.52,3.40
4.73,4.94,4.94,4.62
4.41,4.94,4.94,4.41
4.90,4.90,5.05,4.90
5.20,4.98,5.20,4.55
4.56,4.96,4.96,4.56
4.96,4.96,4.96,4.96
4.69,4.70,4.70,4.69
5.10,5.10,5.10,5.10
4.58,4.96,4.99,4.56
4.47,4.48,4.48,4.47
4.04,4.12,4.13,4.04
4.35,4.20,4.35,4.12
4.19,4.19,4.19,4.19
4.19,4.19,4.19,4.19
4.20,4.15,4.20,4.15
4.00,3.84,4.15,3.52
3.65,3.61,3.65,3.51
3.50,3.54,3.54,3.50
3.50,3.50,3.50,3.50
3.43,3.65,3.75,3.30
3.39,3.74,3.74,3.33
3.31,3.74,3.74,3.31
3.74,3.74,3.74,3.74
3.54,3.54,3.54,3.54
3.59,3.60,3.60,2.80
3.39,3.12,3.55,2.77
2.97,3.02,3.02,2.97
2.79,2.57,2.79,2.55
2.60,2.60,2.60,2.60
2.57,2.50,2.57,2.50
2.50,2.50,2.50,2.50
2.55,2.55,2.55,2.55
2.55,2.55,2.55,2.55
2.40,2.41,2.41,2.40
2.40,2.84,2.84,2.40
2.74,2.74,2.74,2.74
2.62,2.76,2.76,2.62
2.76,2.76,2.76,2.76
2.76,2.76,2.76,2.76
2.73,2.40,2.73,2.40
2.40,2.44,2.44,2.40
2.43,2.43,2.59,2.42
2.43,2.43,2.43,2.43
2.43,2.43,2.43,2.43
2.43,2.43,2.43,2.43
2.41,2.41,2.41,2.40
2.40,2.29,2.41,2.29
2.41,2.41,2.41,2.41
2.41,2.41,2.41,2.41
2.90,2.90,2.90,2.90
2.80,2.94,2.94,2.40
2.50,2.82,2.82,2.50
2.77,2.78,2.78,2.77
2.60,2.67,2.68,2.20
2.40,2.65,2.66,2.39
2.65,2.65,2.65,2.65
2.36,2.36,2.36,2.36
2.52,2.52,2.52,2.52
2.52,2.52,2.52,2.52
2.46,2.46,2.46,2.46
2.46,2.50,2.50,2.27
2.27,2.45,2.45,2.27
2.21,2.47,2.47,2.21
2.21,2.46,2.46,2.21
2.46,2.46,2.46,2.46
2.02,2.03,2.05,2.01
2.10,2.10,2.10,2.10
2.25,2.10,2.25,2.10
2.01,2.43,2.43,2.01
2.39,2.74,4.64,1.99
3.25,2.98,3.25,2.50
2.86,3.12,3.12,2.86
2.58,3.24,3.24,2.58
3.25,3.89,4.01,3.19
3.27,3.71,3.71,3.05
3.34,3.98,4.39,3.30
3.98,3.98,3.98,3.98
3.82,3.39,3.82,3.39
3.02,2.45,3.04,2.02
2.36,2.32,2.36,2.27
2.33,2.37,2.67,2.25
2.57,2.47,2.57,2.47
2.44,2.46,2.66,2.25
2.54,2.36,2.66,2.01
2.14,2.38,2.39,2.11
2.29,2.20,2.29,2.18
2.40,2.20,2.40,2.18
2.20,2.20,2.20,2.20
2.59,2.17,2.59,2.13
2.23,2.23,2.25,2.22
2.66,2.66,2.66,2.66
2.01,2.24,2.25,2.01
2.25,2.10,2.25,2.10
2.10,2.10,2.10,2.10
2.10,2.10,2.10,2.10
2.30,2.30,2.33,2.30
2.06,1.95,2.06,1.95
1.87,2.13,2.18,1.87
2.13,2.13,2.13,2.13
2.08,2.02,2.08,1.96
2.02,2.02,2.02,2.02
1.98,2.00,2.00,1.98
1.80,2.00,2.00,1.80
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
1.98,1.80,1.98,1.77
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.73,1.71,1.73,1.71
1.47,1.59,2.00,1.47
1.80,1.71,1.80,1.62
1.52,1.41,1.52,1.35
1.41,1.41,1.41,1.41
1.38,1.39,1.39,1.36
1.40,1.32,1.40,1.32
1.25,1.25,1.25,1.25
1.25,1.23,1.25,1.23
1.25,1.12,1.25,1.12
1.02,0.85,1.03,0.85
0.86,0.70,0.86,0.69
0.70,0.65,0.71,0.52
0.68,0.68,0.68,0.68
0.67,0.64,0.67,0.64
0.67,0.76,1.19,0.67
0.74,0.72,0.74,0.67
0.78,0.69,0.79,0.68
0.70,0.70,0.70,0.70
0.66,0.65,0.70,0.64
0.63,0.64,0.75,0.63
0.64,0.95,1.05,0.62
0.94,0.84,0.94,0.80
0.84,0.84,0.84,0.84
0.70,0.99,1.09,0.70
1.20,1.10,1.20,1.10
1.18,1.17,1.20,1.13
1.10,0.90,1.10,0.85
0.90,0.90,0.90,0.90
0.84,0.95,1.00,0.84
0.98,0.99,0.99,0.98
0.99,0.99,0.99,0.99
1.00,1.10,1.10,1.00
1.05,1.02,1.05,1.02
0.99,0.92,1.02,0.92
0.92,0.92,0.92,0.92
0.94,0.94,0.94,0.94
0.95,1.50,1.63,0.95
1.50,1.34,1.51,1.34
1.58,1.09,1.58,1.09
1.58,1.20,1.58,1.06
1.11,1.20,1.20,1.11
1.22,1.02,1.22,1.02
1.03,0.95,1.03,0.95
0.95,0.95,0.95,0.95
0.93,0.89,0.93,0.89
0.90,0.77,0.90,0.77
0.80,0.75,0.80,0.75
0.75,0.75,0.75,0.75
0.75,0.63,0.75,0.63
0.64,0.70,0.70,0.64
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.60
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.80,0.85,1.02,0.79
0.74,0.80,0.82,0.74
0.80,0.80,0.80,0.80
0.67,0.67,0.67,0.67
0.67,0.67,0.67,0.67
0.82,0.85,0.95,0.82
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
1.00,0.70,1.00,0.70
0.70,0.70,0.70,0.70
0.94,0.98,0.98,0.94
0.71,0.67,0.74,0.63
0.66,0.79,0.79,0.66
0.67,0.78,0.78,0.67
0.68,0.68,0.68,0.68
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.77,0.77,0.77,0.77
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.70,0.77,0.77,0.65
0.77,0.77,0.77,0.77
0.76,0.76,0.76,0.76
0.68,0.67,0.68,0.67
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.65,0.76,0.76,0.53
0.75,0.70,0.75,0.70
0.70,0.70,0.70,0.70
0.62,0.59,0.74,0.43
0.59,0.59,0.59,0.59
0.61,0.61,0.61,0.61
0.50,0.50,0.52,0.43
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.45,0.46,0.45
0.45,0.45,0.45,0.45
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.45,0.45,0.45,0.45
0.50,0.58,0.62,0.50
0.64,0.74,0.74,0.58
0.78,0.78,0.78,0.61
0.78,0.74,0.78,0.63
0.73,0.73,0.73,0.73
0.73,0.73,0.73,0.73
0.62,0.73,0.80,0.62
0.63,0.69,0.69,0.60
0.73,0.73,0.73,0.73
0.72,0.72,0.72,0.72
0.70,0.70,0.70,0.70
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.66,0.72,0.73,0.65
0.72,0.72,0.72,0.72
0.66,0.64,0.73,0.64
0.64,0.64,0.64,0.64
0.64,0.64,0.64,0.64
0.64,0.64,0.64,0.64
0.56,0.56,0.56,0.56
0.56,0.55,0.59,0.55
0.55,0.54,0.55,0.45
0.50,0.50,0.50,0.50
0.56,0.56,0.56,0.56
0.44,0.55,0.55,0.44
0.53,0.59,0.59,0.53
0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59
0.51,0.50,0.51,0.50
0.50,0.55,0.55,0.50
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.46,0.46,0.46,0.46
0.42,0.42,0.42,0.42
0.43,0.45,0.54,0.41
0.57,0.68,0.69,0.54
0.68,0.68,0.68,0.68
0.57,0.67,0.70,0.55
0.56,0.56,0.56,0.55
0.56,0.56,0.56,0.56
0.56,0.56,0.56,0.56
0.50,0.50,0.54,0.39
0.64,0.64,0.64,0.64
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59
0.45,0.52,0.52,0.38
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.40
0.44,0.44,0.44,0.44
0.42,0.44,0.44,0.42
0.44,0.44,0.44,0.44
0.44,0.55,0.55,0.44
0.59,0.63,0.63,0.57
0.75,0.74,0.75,0.61
0.74,0.74,0.74,0.74
0.75,0.75,0.75,0.75
0.72,0.70,0.72,0.70
0.70,0.70,0.70,0.70
0.74,0.72,0.79,0.72
0.69,0.62,0.69,0.62
0.64,0.71,0.71,0.64
0.69,0.71,0.71,0.65
0.71,0.75,0.75,0.71
0.78,0.78,0.78,0.78
0.77,0.75,0.77,0.75
0.72,0.72,0.72,0.72
0.73,0.69,0.77,0.69
0.70,0.78,0.78,0.67
0.78,0.78,0.78,0.78
0.78,0.81,0.81,0.78
0.83,0.80,0.83,0.80
0.81,0.76,0.81,0.76
0.78,0.78,0.78,0.71
0.78,0.76,0.78,0.76
0.76,0.76,0.76,0.76
0.74,0.77,0.77,0.70
0.77,0.77,0.77,0.77
0.77,0.82,0.84,0.77
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.77,0.82,0.82,0.77
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.77,0.77,0.77,0.77
0.77,0.77,0.77,0.77
0.77,0.77,0.77,0.77
0.78,0.79,0.79,0.78
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.71,0.71,0.73,0.71
1.30,1.08,1.77,1.05
1.22,1.70,1.75,1.21
2.00,3.00,3.38,1.75
3.07,3.90,5.43,3.05
3.90,3.52,5.00,3.40
3.24,2.35,3.24,2.00
2.33,2.12,2.35,1.77
2.12,2.10,2.46,1.81
2.11,1.80,2.11,1.78
1.80,1.64,1.90,1.44
1.62,1.36,1.67,1.36
1.64,3.43,3.43,1.59
3.18,2.25,3.24,2.22
2.48,2.00,2.48,2.00
2.13,2.60,3.75,2.13
2.31,2.32,2.52,2.25
2.50,2.80,3.42,2.50
2.80,2.93,3.15,2.80
3.19,3.07,3.35,2.96
3.10,2.85,3.19,2.66
3.08,2.90,3.20,2.85
3.11,2.84,3.39,2.80
2.88,2.83,2.98,2.70
2.89,2.78,2.89,2.69
2.83,2.53,2.83,2.27
2.54,1.65,2.54,1.31
1.84,1.33,1.84,1.25
1.38,1.17,1.47,1.17
1.18,1.12,1.20,1.01
1.08,1.01,1.13,1.01
0.98,0.77,1.00,0.71
0.77,0.87,0.95,0.77
0.90,0.89,0.92,0.80
0.92,0.80,0.92,0.80
0.80,0.79,0.85,0.72
0.75,0.89,0.90,0.75
0.81,0.79,0.89,0.78
0.80,0.70,0.87,0.68
0.67,0.64,0.72,0.61
0.66,0.69,0.74,0.62
0.68,0.65,0.68,0.62
0.63,0.67,0.67,0.57
0.56,0.59,0.64,0.56
0.60,0.62,0.68,0.58
0.64,0.65,0.71,0.62
0.63,0.66,0.67,0.59
0.60,0.68,0.68,0.60
0.64,0.66,0.68,0.64
0.68,0.65,0.68,0.64
0.65,0.68,0.68,0.65
0.70,0.67,0.70,0.65
0.67,0.68,0.68,0.66
0.65,0.77,0.80,0.65
0.77,0.78,0.84,0.73
0.79,0.78,0.79,0.73
0.79,0.79,0.80,0.75
0.80,0.79,0.80,0.77
0.80,0.78,0.80,0.73
0.78,0.77,0.78,0.69
0.77,0.77,0.80,0.76
0.78,0.77,0.79,0.70
0.77,0.67,0.80,0.67
0.67,0.69,0.76,0.65
0.72,0.70,0.72,0.67
0.70,0.70,0.76,0.68
0.70,0.70,0.75,0.68
0.69,0.67,0.75,0.67
0.69,0.64,0.74,0.64
0.64,0.62,0.68,0.60
0.62,0.64,0.67,0.60
0.60,0.63,0.68,0.60
0.65,0.65,0.66,0.62
0.65,0.63,0.67,0.63
0.66,0.57,0.68,0.50
0.57,0.50,0.57,0.49
0.46,0.50,0.52,0.45
0.52,0.53,0.53,0.50
0.53,0.49,0.57,0.47
0.54,0.55,0.55,0.50
0.55,0.50,0.55,0.48
0.50,0.50,0.52,0.50
0.50,0.50,0.55,0.49
0.48,0.50,0.52,0.45
0.50,0.48,0.50,0.48
0.50,0.52,0.52,0.49
0.53,0.52,0.53,0.49
0.52,0.49,0.52,0.49
0.52,0.49,0.52,0.47
0.47,0.48,0.51,0.47
0.48,0.48,0.48,0.48
0.48,0.48,0.52,0.48
0.48,0.47,0.51,0.47
0.47,0.47,0.48,0.47
0.47,0.46,0.47,0.46
0.47,0.45,0.47,0.45
0.45,0.45,0.45,0.45
0.45,0.41,0.48,0.40
0.41,0.41,0.45,0.40
0.43,0.44,0.45,0.40
0.41,0.44,0.45,0.40
0.44,0.51,0.61,0.44
0.56,0.60,0.74,0.53
0.65,0.63,0.69,0.60
0.60,0.60,0.66,0.59
0.62,0.61,0.63,0.58
0.61,0.48,0.61,0.48
0.54,0.50,0.58,0.49
0.50,0.53,0.54,0.49
0.52,0.48,0.52,0.48
0.52,0.50,0.57,0.50
0.48,0.52,0.52,0.48
0.51,0.54,0.54,0.50
0.54,0.50,0.54,0.50
0.51,0.49,0.55,0.49
0.49,0.50,0.54,0.49
0.50,0.49,0.50,0.48
0.48,0.49,0.50,0.48
0.49,0.48,0.52,0.48
0.48,0.50,0.51,0.48
0.48,0.47,0.51,0.46
0.49,0.49,0.49,0.49
0.48,0.48,0.54,0.46
0.48,0.48,0.52,0.47
0.50,0.52,0.52,0.48
0.51,0.51,0.54,0.49
0.54,0.53,0.54,0.50
0.50,0.52,0.54,0.50
0.53,0.60,0.70,0.53
0.63,0.64,0.68,0.56
0.62,0.60,0.63,0.60
0.55,0.61,0.62,0.55
0.63,0.60,0.68,0.60
0.62,0.59,0.62,0.59
0.62,0.62,0.62,0.62
0.56,0.58,0.68,0.53
0.53,0.50,0.57,0.48
0.50,0.48,0.53,0.47
0.50,0.51,0.51,0.48
0.49,0.52,0.52,0.49
0.54,0.48,0.54,0.48
0.48,0.49,0.50,0.48
0.46,0.49,0.55,0.46
0.48,0.48,0.48,0.48
0.49,0.50,0.52,0.49
0.49,0.50,0.50,0.44
0.49,0.50,0.50,0.44
0.47,0.46,0.49,0.46
0.46,0.46,0.48,0.41
0.47,0.47,0.47,0.45
0.47,0.41,0.47,0.41
0.45,0.45,0.47,0.42
0.42,0.44,0.51,0.42
0.44,0.51,0.55,0.44
0.51,0.55,0.55,0.51
0.50,0.53,0.53,0.46
0.48,0.49,0.51,0.46
0.48,0.47,0.48,0.45
0.46,0.47,0.51,0.41
0.47,0.46,0.48,0.46
0.45,0.47,0.50,0.44
0.48,0.45,0.48,0.44
0.45,0.50,0.55,0.45
0.51,0.56,0.59,0.50
0.54,0.51,0.56,0.49
0.51,0.54,0.54,0.46
0.54,0.53,0.54,0.48
0.53,0.53,0.53,0.53
0.53,0.54,0.54,0.53
0.50,0.50,0.54,0.48
0.49,0.47,0.50,0.47
0.53,0.51,0.53,0.51
0.53,0.54,0.54,0.47
0.53,0.53,0.53,0.53
0.53,0.49,0.53,0.49
0.49,0.50,0.50,0.45
0.46,0.50,0.51,0.46
0.46,0.47,0.53,0.46
0.47,0.52,0.52,0.47
0.46,0.50,0.50,0.46
0.47,0.48,0.48,0.47
0.47,0.52,0.53,0.47
0.53,0.54,0.54,0.52
0.54,0.50,0.54,0.50
0.48,0.52,0.54,0.48
0.54,0.50,0.54,0.50
0.47,0.50,0.53,0.47
0.48,0.48,0.50,0.48
0.49,0.50,0.50,0.49
0.48,0.48,0.48,0.48
0.50,0.49,0.50,0.48
0.47,0.50,0.54,0.47
0.48,0.48,0.48,0.48
0.57,0.49,0.57,0.49
0.52,0.52,0.52,0.50
0.49,0.48,0.49,0.45
0.50,0.48,0.50,0.48
0.48,0.49,0.49,0.47
0.49,0.49,0.49,0.49
0.48,0.49,0.51,0.48
0.48,0.49,0.50,0.46
0.48,0.49,0.49,0.48
0.48,0.47,0.49,0.46
0.48,0.50,0.50,0.48
0.48,0.49,0.51,0.48
0.49,0.49,0.51,0.49
0.51,0.49,0.51,0.48
0.50,0.50,0.51,0.50
0.52,0.51,0.52,0.51
0.52,0.70,0.79,0.52
0.73,0.63,0.88,0.58
0.63,0.59,0.68,0.56
0.60,0.65,0.69,0.60
0.60,0.59,0.70,0.58
0.57,0.52,0.57,0.46
0.54,0.54,0.55,0.52
0.56,0.51,0.56,0.51
0.51,0.51,0.52,0.48
0.50,0.51,0.52,0.48
0.50,0.50,0.53,0.50
0.50,0.50,0.52,0.49
0.49,0.51,0.51,0.48
0.49,0.51,0.51,0.49
0.51,0.51,0.51,0.48
0.51,0.51,0.51,0.47
0.50,0.51,0.52,0.50
0.51,0.52,0.53,0.51
0.52,0.52,0.53,0.52
0.52,0.52,0.53,0.50
0.53,0.53,0.54,0.52
0.56,0.53,0.56,0.50
0.54,0.52,0.54,0.52
0.52,0.50,0.52,0.50
0.50,0.50,0.51,0.49
0.49,0.50,0.51,0.47
0.50,0.52,0.52,0.48
0.52,0.47,0.53,0.47
0.48,0.50,0.50,0.47
0.48,0.46,0.50,0.46
0.49,0.49,0.49,0.46
0.49,0.46,0.49,0.45
0.48,0.51,0.52,0.46
0.52,0.51,0.52,0.50
0.51,0.51,0.51,0.50
0.50,0.50,0.50,0.50
0.48,0.48,0.50,0.48
0.50,0.52,0.53,0.48
0.49,0.49,0.52,0.48
0.49,0.49,0.49,0.49
0.50,0.48,0.50,0.48
0.49,0.50,0.50,0.49
0.49,0.49,0.50,0.49
0.49,0.50,0.51,0.49
0.50,0.48,0.50,0.48
0.49,0.46,0.49,0.46
0.46,0.46,0.46,0.46
0.48,0.47,0.48,0.47
0.47,0.47,0.48,0.47
0.49,0.47,0.49,0.42
0.49,0.44,0.49,0.43
0.44,0.44,0.47,0.44
0.44,0.44,0.44,0.43
0.45,0.41,0.45,0.40
0.42,0.42,0.42,0.40
0.41,0.40,0.42,0.39
0.40,0.41,0.41,0.40
0.40,0.40,0.40,0.40
0.40,0.38,0.40,0.36
0.37,0.36,0.38,0.36
0.36,0.38,0.40,0.36
0.39,0.40,0.40,0.39
0.40,0.39,0.40,0.39
0.39,0.39,0.39,0.39
0.38,0.40,0.40,0.38
0.39,0.40,0.40,0.37
0.40,0.41,0.42,0.37
0.42,0.39,0.42,0.39
0.39,0.39,0.39,0.37
0.38,0.37,0.38,0.37
0.36,0.38,0.39,0.36
0.39,0.39,0.39,0.36
0.36,0.39,0.39,0.36
0.36,0.36,0.36,0.36
0.39,0.42,0.42,0.36
0.42,0.42,0.42,0.37
0.39,0.41,0.41,0.39
0.41,0.38,0.41,0.38
0.41,0.41,0.41,0.41
0.41,0.42,0.43,0.41
0.45,0.43,0.45,0.42
0.46,0.43,0.46,0.41
0.43,0.43,0.44,0.41
0.43,0.38,0.43,0.38
0.41,0.42,0.43,0.38
0.44,0.39,0.44,0.39
0.39,0.38,0.41,0.38
0.41,0.40,0.41,0.40
0.40,0.40,0.41,0.40
0.40,0.40,0.40,0.40
1.41,1.69,1.82,1.41
1.55,1.74,1.79,1.55
1.80,1.64,1.80,1.61
1.70,1.65,1.70,1.63
1.67,1.58,1.68,1.58
1.59,1.62,1.62,1.59
1.66,1.56,1.66,1.41
1.46,1.52,1.54,1.45
1.52,1.54,1.54,1.52
1.54,1.61,1.61,1.54
1.63,1.58,1.63,1.55
1.45,1.52,1.53,1.45
1.52,1.52,1.52,1.52
