FPP,FieldPoint Petroleum Corporation Common Stock,NASDAQ
3.15,3.10,3.15,3.05
3.06,2.99,3.06,2.91
2.97,2.99,3.01,2.92
2.95,3.00,3.04,2.95
3.00,2.96,3.05,2.95
2.96,2.98,3.00,2.96
3.03,3.06,3.10,2.92
2.97,2.95,3.10,2.92
2.99,3.03,3.08,2.97
2.97,3.00,3.04,2.97
2.97,2.96,2.99,2.92
2.87,2.93,2.97,2.87
2.90,2.78,2.90,2.73
2.81,2.75,2.97,2.75
2.85,2.88,2.93,2.84
2.88,2.97,2.97,2.88
2.96,2.93,3.03,2.90
2.88,2.92,2.97,2.86
2.85,2.96,2.98,2.85
3.01,2.92,3.01,2.88
2.93,2.89,2.99,2.89
2.99,3.08,3.08,2.91
3.11,3.28,3.34,3.05
3.32,3.22,3.34,3.20
3.25,3.39,3.40,3.23
3.39,3.35,3.40,3.29
3.28,3.37,3.40,3.28
3.32,3.35,3.39,3.23
3.35,3.40,3.40,3.27
3.40,3.58,3.65,3.38
3.57,3.50,3.57,3.47
3.47,3.66,3.66,3.25
3.30,3.33,3.41,3.20
3.37,3.28,3.52,3.28
3.33,3.29,3.36,3.22
3.38,3.59,3.62,3.38
3.63,3.77,3.80,3.59
3.78,3.71,3.78,3.70
3.74,3.90,3.90,3.61
3.91,4.09,4.15,3.91
4.09,4.30,4.30,3.80
4.30,4.38,4.38,4.11
4.35,4.63,4.68,4.30
4.50,4.43,4.55,4.31
4.46,4.43,4.55,4.28
4.43,4.39,4.52,4.36
4.44,4.48,4.50,4.40
4.41,4.43,4.50,4.41
4.40,4.43,4.46,4.40
4.41,4.43,4.50,4.41
4.40,4.26,4.40,4.26
4.20,3.86,4.22,3.74
3.82,3.77,3.83,3.69
3.71,3.73,3.77,3.70
3.74,3.80,3.86,3.70
3.79,4.03,4.10,3.75
4.07,4.22,4.25,4.05
4.17,4.25,4.39,4.17
4.26,4.24,4.33,4.15
4.29,4.16,4.29,4.12
4.15,4.17,4.21,4.10
4.10,4.11,4.16,4.10
4.11,4.15,4.20,3.95
4.19,4.05,4.19,3.89
4.06,4.06,4.11,4.01
4.07,4.10,4.10,4.02
4.10,4.00,4.10,3.82
4.00,4.00,4.06,3.90
3.97,3.89,4.00,3.89
3.90,3.92,3.95,3.87
3.95,4.13,4.19,3.95
4.19,4.17,4.19,4.09
4.11,4.19,4.19,4.01
4.19,4.49,4.50,4.06
4.49,4.44,4.50,4.28
4.47,4.47,4.50,4.34
4.40,4.42,4.47,4.30
4.42,4.35,4.50,4.35
4.26,4.24,4.29,4.07
4.23,4.24,4.42,4.23
4.18,4.21,4.28,4.12
4.21,4.16,4.28,4.10
4.09,4.15,4.16,4.09
4.20,4.09,4.21,4.03
4.15,4.17,4.17,4.11
4.17,4.09,4.20,4.05
4.05,3.97,4.14,3.94
3.96,3.95,4.00,3.95
3.95,3.99,4.04,3.95
4.01,4.02,4.09,3.99
4.03,3.99,4.08,3.94
3.99,3.95,3.99,3.92
3.92,3.85,3.92,3.85
3.87,3.83,3.90,3.80
3.88,3.79,3.88,3.66
3.73,3.75,3.77,3.65
3.66,3.72,3.76,3.61
3.75,3.80,3.88,3.72
3.77,4.03,4.06,3.77
4.07,4.50,4.90,4.05
5.15,4.63,5.58,4.31
4.45,4.50,4.70,4.36
4.50,4.96,5.20,4.37
5.09,5.15,5.25,5.01
5.28,4.95,5.44,4.72
4.91,4.84,4.94,4.70
4.93,5.18,5.20,4.82
5.45,5.20,5.48,5.10
5.15,4.97,5.15,4.97
4.97,4.81,5.01,4.77
4.80,4.66,4.80,4.49
4.54,4.42,4.64,4.40
4.26,4.32,4.32,4.25
4.10,4.34,4.34,4.10
4.37,4.47,4.55,4.32
4.48,4.62,4.68,4.48
4.66,4.59,4.66,4.55
4.59,4.57,4.70,4.56
4.57,4.86,4.94,4.55
4.96,4.91,4.96,4.69
4.92,4.87,4.99,4.87
4.84,4.69,4.87,4.69
4.49,4.70,4.78,4.49
4.56,4.64,4.67,4.56
4.56,4.63,4.64,4.52
4.49,4.64,4.85,4.47
4.67,4.94,4.95,4.67
4.98,4.77,5.00,4.77
4.83,4.77,4.87,4.75
4.79,4.70,4.87,4.70
4.62,4.70,4.84,4.60
4.73,4.77,4.85,4.71
4.75,4.50,4.79,4.50
4.45,4.28,4.45,4.25
4.28,4.35,4.52,4.26
4.35,4.41,4.42,4.35
4.38,4.33,4.45,4.33
4.37,4.25,4.37,4.25
4.20,4.12,4.23,4.12
4.10,4.10,4.27,4.10
4.10,4.01,4.11,3.93
3.61,3.85,4.00,3.61
3.80,3.68,3.85,3.61
3.82,3.79,3.84,3.70
3.83,3.61,3.88,3.61
3.64,3.63,3.70,3.61
3.60,3.65,3.74,3.60
3.65,3.66,3.68,3.63
3.68,3.61,3.68,3.61
3.60,3.37,3.61,3.30
3.33,3.34,3.41,3.20
3.36,3.29,3.45,3.22
3.31,3.19,3.31,3.10
3.20,3.07,3.23,3.07
3.12,3.09,3.12,3.01
3.03,3.02,3.09,3.01
3.01,3.00,3.03,3.00
2.95,2.95,3.05,2.88
2.98,3.11,3.25,2.98
3.06,3.19,3.23,3.06
3.17,3.12,3.17,3.12
3.09,3.06,3.14,3.01
3.05,3.22,3.28,3.00
3.16,3.35,3.48,3.16
3.38,3.40,3.50,3.31
3.41,3.37,3.46,3.37
3.35,3.30,3.41,3.24
3.25,3.14,3.33,3.14
3.14,3.13,3.15,3.13
3.11,3.16,3.20,3.11
3.18,3.13,3.22,3.09
3.11,3.09,3.21,3.09
3.08,3.07,3.08,3.05
3.04,3.01,3.06,2.90
3.01,2.97,3.01,2.90
2.95,2.80,3.02,2.77
2.80,2.81,2.96,2.80
2.81,2.63,2.89,2.63
2.64,2.55,2.65,2.46
2.51,2.55,2.60,2.51
2.54,2.64,2.71,2.51
2.64,2.65,2.71,2.61
2.63,2.67,2.71,2.58
2.67,2.55,2.79,2.55
2.55,2.40,2.73,2.27
2.36,2.40,2.48,2.23
2.40,2.56,2.71,2.40
2.52,2.61,2.66,2.52
2.64,2.73,2.73,2.64
2.72,2.66,2.72,2.59
2.65,2.68,2.68,2.65
2.65,2.65,2.75,2.64
2.66,2.56,2.72,2.50
2.50,2.48,2.75,2.40
2.40,2.39,2.44,2.39
2.38,2.37,2.46,2.35
2.35,2.30,2.35,2.25
2.32,2.50,2.53,2.32
2.45,2.86,3.00,2.45
2.81,2.91,2.98,2.81
2.96,3.20,3.26,2.94
3.27,3.09,3.27,2.96
3.04,2.90,3.13,2.90
2.97,3.00,3.00,2.87
3.04,2.95,3.11,2.90
2.91,2.86,2.91,2.83
2.86,2.85,2.91,2.81
2.80,2.71,2.81,2.71
2.65,2.73,2.73,2.65
2.72,2.68,2.72,2.58
2.59,2.59,2.64,2.50
2.56,2.54,2.59,2.41
2.51,2.40,2.51,2.39
2.41,2.26,2.41,2.15
2.10,2.08,2.25,2.01
2.50,2.44,2.50,2.10
2.33,2.51,2.60,2.33
2.62,2.64,2.78,2.44
2.64,2.53,2.64,2.48
2.64,2.57,2.82,2.37
2.58,2.87,2.89,2.55
2.84,2.75,2.84,2.68
2.71,2.67,2.81,2.57
2.64,2.62,2.70,2.57
2.66,2.51,2.68,2.44
2.61,2.55,2.61,2.40
2.53,2.55,2.56,2.43
2.64,2.41,2.64,2.41
2.49,2.39,2.69,2.39
2.38,2.40,2.63,2.38
2.40,2.54,2.54,2.30
2.52,2.38,2.64,2.38
2.46,2.42,2.50,2.38
2.41,2.36,2.42,2.35
2.36,2.36,2.47,2.36
2.45,2.45,2.50,2.36
2.41,2.44,2.44,2.35
2.41,2.40,2.41,2.40
2.35,2.42,2.42,2.35
2.44,2.35,2.44,2.35
2.35,2.34,2.40,2.30
2.45,2.45,2.52,2.40
2.41,2.61,2.61,2.41
2.52,2.52,2.53,2.50
2.50,2.85,2.97,2.38
2.86,2.72,2.86,2.72
2.63,2.30,2.63,2.26
2.30,2.35,2.35,2.20
2.20,2.20,2.22,2.12
2.19,2.18,2.27,2.18
2.18,2.12,2.18,2.12
2.25,2.14,2.25,2.02
2.05,2.17,2.17,2.05
2.08,1.94,2.19,1.82
1.90,1.72,1.90,1.72
1.80,2.09,2.09,1.80
2.15,2.36,2.37,2.15
2.35,2.30,2.59,2.24
2.43,2.47,2.50,2.24
2.40,2.51,2.60,2.33
2.52,2.58,2.62,2.51
2.50,2.57,2.57,2.50
2.54,2.30,2.54,2.25
2.36,2.31,2.57,2.31
2.27,2.45,2.57,2.27
2.51,2.36,2.57,2.30
2.46,2.41,2.46,2.31
2.50,2.45,2.50,2.42
2.42,2.50,2.57,2.40
2.52,2.50,2.52,2.50
2.45,2.85,2.95,2.45
2.85,2.80,2.95,2.80
2.64,2.88,2.88,2.61
2.81,2.57,2.85,2.57
2.53,2.86,2.86,2.53
2.86,2.98,2.98,2.86
2.98,3.15,3.26,2.88
3.09,3.11,3.14,2.90
3.10,3.00,3.10,3.00
2.99,2.99,3.00,2.90
3.00,2.96,3.01,2.78
2.96,3.10,3.25,2.96
3.08,3.03,3.08,3.00
3.10,3.13,3.13,3.10
3.02,3.15,3.15,3.02
3.11,3.22,3.25,2.99
3.29,3.28,3.29,3.21
3.31,3.31,3.31,3.18
3.35,3.38,3.39,3.29
3.32,3.27,3.37,3.15
3.27,3.10,3.28,3.05
3.10,3.10,3.10,3.10
3.08,3.14,3.16,3.00
3.18,3.21,3.32,3.10
3.25,3.05,3.25,3.02
3.02,2.99,3.03,2.89
3.04,3.05,3.19,2.95
3.24,3.11,3.46,2.70
3.02,3.31,3.35,3.00
3.29,3.21,3.35,3.15
3.20,3.13,3.22,2.96
3.03,3.04,3.17,2.91
3.00,3.00,3.00,2.91
2.98,2.89,3.00,2.78
2.83,2.80,2.97,2.70
2.90,2.86,2.90,2.80
2.86,3.00,3.00,2.80
3.00,2.94,3.00,2.93
3.00,3.14,3.22,3.00
3.08,3.65,3.68,3.02
3.68,4.14,4.16,3.67
4.14,4.70,4.70,4.02
4.70,4.74,4.97,4.54
4.65,4.33,4.65,3.81
4.30,4.34,4.55,4.30
4.35,4.32,4.43,4.11
4.35,4.12,4.35,4.00
4.05,4.48,4.69,3.81
4.58,4.27,4.58,4.10
4.31,4.64,4.70,4.10
4.73,4.89,5.02,4.60
4.75,4.66,4.96,4.59
4.58,4.73,4.75,4.52
4.70,5.17,5.46,4.50
5.05,5.15,5.42,4.86
5.05,5.20,5.25,5.02
5.22,5.30,5.40,5.03
5.35,5.01,5.38,4.88
5.00,4.80,5.00,4.72
4.92,4.81,4.92,4.71
4.93,5.08,5.14,4.75
5.05,5.00,5.05,4.78
4.98,4.92,4.98,4.80
4.91,4.82,4.94,4.82
4.82,4.85,4.96,4.78
4.93,4.93,4.93,4.80
4.87,4.87,4.93,4.81
4.84,4.85,4.93,4.83
4.93,4.90,4.93,4.81
4.91,5.03,5.20,4.83
5.07,4.91,5.16,4.86
4.90,4.79,4.90,4.66
4.77,4.89,4.91,4.66
4.84,4.81,4.85,4.62
4.83,5.45,5.67,4.78
5.43,5.31,5.68,5.30
5.32,5.26,5.47,5.26
5.25,5.17,5.35,4.96
5.21,5.32,5.64,5.21
5.40,5.19,5.57,5.17
5.23,5.28,5.45,5.21
5.28,5.29,5.33,5.25
5.27,5.45,5.68,5.27
5.46,5.25,5.48,5.22
5.15,5.30,5.39,5.10
5.27,5.30,5.45,5.15
5.40,5.87,6.00,5.34
5.78,5.50,5.89,5.42
5.59,5.60,5.82,5.50
5.55,5.49,5.55,5.26
5.44,5.45,5.50,5.27
5.39,5.44,5.48,5.20
5.38,5.35,5.49,5.31
5.45,5.35,5.55,5.25
5.36,5.46,5.47,5.27
5.52,5.47,5.52,5.36
5.40,5.42,5.49,5.31
5.31,5.65,5.70,5.26
5.70,5.58,5.71,5.40
5.65,5.55,5.75,5.34
5.50,5.63,5.72,5.50
5.65,5.44,5.80,5.30
5.44,5.72,5.77,5.35
5.80,5.35,5.80,5.35
5.35,5.46,5.70,5.35
4.22,4.64,4.77,4.11
4.59,4.46,4.64,4.31
4.45,4.51,4.61,4.45
4.51,4.69,4.69,4.49
4.60,4.52,4.60,4.40
4.42,4.15,4.42,4.15
4.20,4.15,4.22,4.10
4.00,3.97,4.13,3.89
3.98,4.00,4.09,3.84
4.04,3.92,4.07,3.67
3.92,4.02,4.07,3.92
4.00,4.00,4.07,3.97
3.97,3.95,3.97,3.72
3.83,3.81,4.03,3.80
3.71,3.70,3.84,3.70
3.65,3.78,3.79,3.65
3.84,3.75,3.84,3.75
3.75,3.50,3.76,3.50
3.50,3.70,3.70,3.50
3.70,3.85,3.88,3.70
3.90,3.88,4.06,3.88
3.97,3.86,4.00,3.86
3.86,3.94,4.00,3.85
3.99,3.85,3.99,3.85
3.80,3.82,3.94,3.80
3.87,3.74,3.88,3.56
3.66,3.60,3.85,3.50
3.52,3.58,3.64,3.28
3.59,3.43,3.67,3.24
3.31,3.40,3.43,3.30
3.50,3.79,3.79,3.48
3.77,3.74,3.79,3.55
3.67,3.69,3.79,3.50
3.68,3.66,3.79,3.52
3.70,3.59,3.76,3.58
3.64,3.54,3.75,3.54
3.62,3.45,3.63,3.34
3.40,3.55,3.55,3.03
3.48,3.51,3.55,3.35
3.53,3.56,3.56,3.37
3.51,3.54,3.57,3.39
3.57,3.64,3.74,3.50
3.74,3.79,3.79,3.58
3.79,3.68,3.79,3.61
3.62,3.74,3.80,3.58
3.75,3.66,3.75,3.48
3.74,3.49,3.80,3.35
3.40,3.41,3.45,3.28
3.38,3.43,3.48,3.15
3.38,3.44,3.56,3.38
3.39,3.58,3.58,3.39
3.64,3.46,3.72,3.40
3.60,3.60,3.60,3.38
3.61,3.50,3.61,3.39
3.45,3.59,3.59,3.45
3.56,3.59,3.59,3.50
3.52,3.55,3.55,3.38
3.55,3.73,3.74,3.55
3.75,3.79,3.79,3.70
3.72,3.69,3.72,3.61
3.66,3.90,3.90,3.56
3.76,3.85,3.88,3.60
3.85,3.85,3.85,3.62
3.88,3.89,3.90,3.70
3.92,3.87,3.92,3.72
3.90,3.90,3.93,3.85
3.94,3.88,3.94,3.79
3.90,3.83,3.90,3.77
3.77,3.83,3.92,3.60
3.71,3.87,3.88,3.71
3.88,4.09,4.10,3.88
4.03,4.10,4.26,4.03
4.10,4.07,4.10,3.80
4.04,4.17,4.17,4.03
4.19,4.18,4.19,4.15
4.07,4.08,4.17,3.96
3.99,4.09,4.09,3.85
4.08,4.11,4.18,3.96
4.11,4.10,4.12,4.07
4.13,4.18,4.18,4.13
4.01,4.10,4.12,4.01
4.07,4.08,4.17,4.06
4.04,4.06,4.07,4.01
4.14,4.05,4.14,3.90
4.03,4.10,4.11,4.03
4.12,4.15,4.16,4.12
4.11,4.11,4.11,4.06
4.10,4.05,4.11,3.92
3.96,4.10,4.13,3.96
4.11,4.06,4.11,4.05
4.03,4.15,4.16,4.03
4.15,4.15,4.16,4.14
4.14,4.22,4.29,4.10
4.19,4.11,4.25,4.10
4.13,4.21,4.26,4.13
4.19,4.31,4.32,4.19
3.85,4.16,4.26,3.65
4.17,4.20,4.20,4.11
4.20,4.23,4.23,4.17
4.22,4.19,4.22,3.76
4.20,4.10,4.20,4.10
4.05,4.11,4.15,3.93
4.01,4.15,4.15,3.98
4.04,4.21,4.21,4.04
4.20,4.20,4.25,4.04
4.25,4.20,4.25,4.08
4.20,4.28,4.32,4.10
4.31,4.25,4.32,4.25
4.27,4.25,4.32,4.23
4.20,4.42,4.42,4.20
4.50,4.51,4.52,4.41
4.46,4.55,4.59,4.36
4.62,4.67,4.68,4.56
4.70,4.69,4.71,4.62
4.67,4.60,4.77,4.53
4.56,4.50,4.59,4.45
4.53,4.65,4.70,4.48
4.66,4.70,4.81,4.51
4.83,4.76,4.91,4.68
4.76,4.90,4.95,4.73
4.86,5.09,5.10,4.71
5.09,5.07,5.21,4.95
5.14,5.07,5.14,4.80
5.07,4.75,5.07,4.75
4.65,4.73,4.80,4.44
4.64,4.67,4.71,4.47
4.54,4.53,4.54,4.53
4.52,4.50,4.62,4.49
4.56,4.47,4.56,4.40
4.56,4.55,4.56,4.50
4.56,4.44,4.56,4.43
4.50,4.42,4.50,4.41
4.49,4.47,4.49,4.47
4.49,4.64,4.67,4.47
4.67,4.72,4.73,4.67
4.72,4.70,4.76,4.68
4.64,4.79,4.80,4.61
4.80,4.61,4.80,4.52
4.68,4.56,4.71,4.56
4.49,4.45,4.50,4.42
4.45,4.36,4.57,4.36
4.35,4.31,4.38,4.26
4.32,4.27,4.36,4.26
4.31,4.37,4.50,4.21
4.30,4.42,4.49,4.30
4.27,4.40,4.40,4.27
4.38,4.12,4.43,4.02
4.15,4.11,4.15,4.11
4.04,4.26,4.26,4.01
4.26,4.20,4.30,4.17
4.20,4.20,4.20,4.20
4.20,4.20,4.20,4.15
4.14,4.06,4.14,4.06
4.14,4.14,4.18,4.01
4.13,4.06,4.15,4.01
4.10,3.98,4.10,3.96
3.95,4.03,4.09,3.95
3.98,3.98,3.99,3.91
4.01,3.95,4.05,3.95
4.04,3.90,4.13,3.90
3.85,3.76,3.87,3.76
3.75,3.80,3.80,3.75
3.80,3.82,4.07,3.79
3.84,3.75,3.99,3.75
3.75,3.75,3.75,3.75
3.57,3.97,4.01,3.55
3.95,3.95,3.97,3.76
3.86,3.98,3.99,3.78
3.90,3.91,3.95,3.90
3.82,3.97,4.01,3.82
3.98,3.97,3.98,3.97
3.94,3.85,3.95,3.84
3.98,3.96,3.98,3.84
3.90,3.98,3.98,3.75
3.83,3.95,3.95,3.82
3.95,3.91,3.95,3.81
3.82,3.94,3.98,3.82
3.89,3.94,3.96,3.75
3.88,3.89,3.89,3.88
3.89,3.85,3.94,3.76
3.91,3.75,3.91,3.67
3.68,3.67,3.74,3.67
3.66,3.89,3.89,3.66
3.87,3.83,3.89,3.76
3.80,3.84,3.85,3.80
3.76,3.85,3.85,3.61
3.80,3.80,3.80,3.80
3.75,3.87,3.89,3.63
3.79,3.42,3.81,3.42
3.45,3.85,3.85,3.45
3.81,3.85,3.85,3.57
3.85,3.89,3.89,3.78
3.87,3.74,3.89,3.69
3.53,3.78,3.89,3.53
3.75,3.83,3.88,3.69
3.71,4.00,4.00,3.69
4.00,4.00,4.00,3.95
4.06,4.13,4.20,4.01
4.16,4.20,4.20,4.06
4.00,4.15,4.19,4.00
4.10,3.99,4.18,3.82
4.00,3.90,4.00,3.83
3.89,3.99,4.00,3.86
3.92,3.93,3.97,3.92
3.85,3.97,3.97,3.74
4.00,4.03,4.04,3.97
4.04,4.00,4.05,4.00
3.98,4.00,4.04,3.98
4.01,4.13,4.13,3.99
4.05,4.03,4.15,3.96
3.97,4.03,4.09,3.97
4.02,4.00,4.04,4.00
4.00,4.02,4.04,4.00
4.01,3.91,4.01,3.85
4.00,3.93,4.00,3.80
3.89,3.85,3.97,3.76
3.81,4.00,4.00,3.81
4.00,3.99,4.00,3.85
3.86,3.91,3.97,3.84
3.96,3.99,3.99,3.94
4.00,3.92,4.13,3.83
3.93,4.00,4.03,3.93
4.01,3.95,4.03,3.95
3.96,4.02,4.03,3.93
3.98,3.97,4.02,3.95
4.02,3.96,4.02,3.94
4.00,3.97,4.05,3.96
4.00,3.95,4.00,3.95
3.92,4.07,4.09,3.92
3.98,3.99,4.10,3.97
3.98,4.07,4.07,3.95
3.97,4.07,4.07,3.97
4.02,4.10,4.10,4.02
4.10,4.07,4.13,4.00
4.02,4.04,4.08,4.01
3.97,3.96,4.06,3.95
3.94,4.05,4.07,3.94
3.99,4.04,4.04,3.99
4.00,4.00,4.00,3.95
3.95,3.95,4.00,3.95
4.00,3.99,4.00,3.93
3.94,3.94,4.00,3.93
3.99,3.98,3.99,3.88
3.88,3.96,3.98,3.88
3.95,4.00,4.02,3.93
4.05,4.13,4.19,3.94
4.13,4.17,4.17,4.12
4.18,4.13,4.19,4.01
4.07,4.01,4.09,4.01
4.05,4.08,4.10,4.05
4.05,4.12,4.12,4.00
4.10,4.20,4.20,4.02
4.17,4.09,4.17,4.04
4.09,4.07,4.09,4.01
4.05,4.01,4.07,4.00
4.01,3.98,4.01,3.98
3.99,4.00,4.01,3.99
3.98,3.98,3.99,3.98
4.00,4.04,4.04,3.98
4.05,4.05,4.10,4.03
3.97,4.06,4.10,3.97
3.98,4.01,4.08,3.98
4.01,4.03,4.11,4.01
4.02,3.97,4.03,3.97
3.97,3.98,4.05,3.95
4.02,4.03,4.05,4.02
4.01,4.06,4.06,4.01
4.01,3.93,4.05,3.76
3.88,3.81,3.96,3.76
3.92,3.84,3.92,3.72
3.75,3.87,3.93,3.75
3.83,3.93,3.97,3.83
3.91,4.04,4.04,3.91
4.04,4.04,4.04,4.04
3.95,4.00,4.00,3.91
3.92,4.00,4.00,3.90
3.95,3.96,3.98,3.80
3.88,3.99,3.99,3.88
3.99,4.00,4.00,3.96
4.00,4.00,4.00,3.95
4.03,3.94,4.03,3.88
3.95,4.02,4.02,3.90
4.02,3.99,4.02,3.97
4.00,3.99,4.00,3.80
3.89,3.83,3.97,3.82
3.92,3.90,3.92,3.85
3.92,3.94,3.95,3.83
3.84,4.10,4.10,3.84
4.10,4.11,4.24,4.02
4.04,4.13,4.22,3.82
4.04,4.09,4.09,3.95
4.10,4.02,4.13,3.94
4.08,4.09,4.09,4.03
4.05,4.09,4.12,4.05
4.06,4.04,4.08,4.04
4.04,3.96,4.04,3.96
3.96,3.92,3.98,3.92
3.91,3.91,3.91,3.65
3.85,3.86,3.88,3.71
3.86,3.90,3.91,3.75
3.89,3.66,3.89,3.41
3.68,3.73,3.73,3.56
3.72,3.77,3.77,3.54
3.69,3.65,3.69,3.59
3.61,3.54,3.61,3.43
3.48,3.50,3.54,3.40
3.51,3.43,3.53,3.38
3.40,3.55,3.55,3.40
