EET,ProShares Ultra MSCI Emerging Markets,NASDAQ
100.10,96.52,100.10,96.25
96.83,96.74,96.99,96.16
95.13,96.97,96.97,95.13
98.34,99.10,99.48,98.34
98.70,100.50,100.55,98.70
102.00,98.42,102.00,97.34
99.83,100.93,100.93,99.83
103.31,104.97,105.06,103.31
106.02,105.40,106.02,104.13
106.92,102.18,106.92,102.18
102.21,104.84,105.59,102.21
105.28,105.17,105.28,104.62
101.07,99.15,101.07,99.02
96.55,101.38,101.38,95.87
99.02,102.17,102.23,99.02
93.16,98.87,99.52,93.16
98.28,94.92,99.05,94.84
98.06,97.20,98.06,96.33
100.00,97.46,100.00,97.46
101.75,101.19,101.75,101.05
101.85,101.58,101.85,101.58
102.00,104.41,104.57,102.00
105.73,106.86,106.86,105.73
108.25,106.61,108.25,106.42
106.51,105.31,106.58,105.31
106.18,107.90,107.90,106.18
109.50,110.69,111.18,109.50
112.55,112.49,112.63,111.71
114.69,115.94,116.18,114.69
117.39,117.92,118.00,116.68
117.24,117.44,118.25,117.24
119.00,118.70,119.62,118.67
119.35,118.35,119.68,117.76
119.65,118.68,119.65,118.68
118.32,115.84,118.32,115.68
113.84,111.51,114.21,111.51
113.53,113.41,115.73,113.41
112.61,114.05,114.05,112.04
114.15,113.70,114.15,112.99
109.96,108.66,109.96,107.71
110.25,111.70,111.70,110.25
116.69,116.85,116.85,116.00
nan,118.84,nan,nan
118.45,117.21,118.45,116.89
117.80,118.90,119.10,117.80
119.11,118.41,119.11,115.58
116.72,116.60,116.72,115.50
118.00,118.25,118.25,117.09
119.24,118.21,119.90,118.21
116.00,113.03,116.00,112.74
111.00,109.33,111.00,108.47
107.22,107.28,108.74,105.99
110.85,110.05,112.34,109.88
110.82,110.47,110.82,109.06
111.81,112.68,112.68,111.23
110.56,108.02,111.06,107.05
107.11,108.55,108.55,105.10
108.01,104.11,108.01,103.30
102.34,103.73,105.85,102.34
102.27,103.85,104.27,102.25
105.92,107.47,107.64,105.91
107.94,106.69,107.94,105.41
103.99,104.58,104.58,103.99
101.00,100.34,101.00,99.00
101.86,102.11,102.70,101.86
101.00,102.55,102.93,101.00
102.30,105.12,105.12,102.30
nan,107.50,nan,nan
109.75,110.84,110.84,109.49
110.85,107.11,111.00,107.11
108.05,108.80,108.80,107.51
107.06,107.80,108.27,107.06
106.95,104.33,106.95,104.33
106.69,106.77,107.52,105.00
105.59,104.43,105.59,104.31
105.39,105.92,106.00,104.00
102.37,101.54,102.37,101.54
101.83,101.03,102.44,101.00
103.92,104.07,104.75,103.88
101.25,99.69,102.41,99.48
99.98,98.24,99.98,97.79
100.35,98.34,100.35,97.92
97.76,97.95,97.95,97.56
99.58,101.86,101.86,99.58
100.96,101.25,101.25,100.96
98.65,99.18,99.23,96.10
100.13,98.86,100.13,98.74
100.00,101.20,101.34,100.00
102.40,104.18,104.18,102.24
105.66,106.06,106.06,103.90
107.20,108.12,108.12,107.20
nan,111.30,nan,nan
110.40,110.73,110.89,110.40
108.91,109.41,109.41,108.80
112.31,112.01,112.31,111.30
110.49,109.63,110.49,107.60
103.59,103.31,104.50,103.02
101.87,101.19,101.99,101.19
103.39,104.90,106.11,103.39
105.00,102.17,105.65,102.00
103.53,103.95,103.95,102.96
101.65,101.44,101.90,100.54
103.06,103.99,104.01,103.06
104.68,104.47,104.88,104.47
105.60,107.79,107.79,105.60
108.30,107.94,108.30,107.94
106.58,107.51,107.51,106.58
107.84,108.02,108.02,107.84
106.44,104.50,106.76,104.00
105.20,104.69,105.20,104.04
102.67,105.55,105.55,102.50
107.55,105.02,107.55,105.02
103.27,98.60,103.35,98.60
97.77,98.01,98.51,95.50
93.09,86.62,93.09,86.62
87.16,85.62,87.60,81.00
78.00,72.00,79.50,72.00
75.81,80.38,80.38,73.84
74.98,71.23,75.95,71.23
74.57,79.34,80.20,74.57
79.40,79.21,79.75,78.90
82.20,82.74,83.11,81.77
81.06,81.24,81.40,80.20
81.82,82.20,82.25,81.82
76.12,75.24,76.12,72.85
72.24,72.82,74.11,72.24
75.40,72.79,75.40,72.39
75.01,77.35,77.36,74.28
76.07,76.17,76.48,75.33
76.28,73.47,76.47,73.18
72.96,75.74,75.74,72.00
79.09,80.23,80.42,79.09
79.58,80.87,81.08,79.35
83.49,84.16,84.86,83.19
85.77,83.32,85.77,83.32
80.62,79.60,81.25,79.60
74.03,77.98,77.98,74.03
80.67,82.42,82.42,80.05
79.64,78.81,80.68,78.81
76.45,73.52,76.45,72.81
70.98,73.22,73.22,70.10
72.46,73.25,73.25,71.68
72.96,73.09,73.28,69.38
75.36,75.01,75.36,73.87
75.80,75.46,75.80,74.59
72.22,70.82,72.22,69.50
71.52,69.85,72.35,69.85
69.87,64.61,70.30,64.61
58.43,55.61,59.25,55.10
56.55,58.12,58.51,56.46
58.83,60.15,60.15,57.13
64.22,64.04,66.21,63.04
64.37,60.20,64.37,60.20
63.22,61.88,63.41,61.88
58.56,56.16,59.60,56.16
56.00,53.47,56.44,53.18
51.27,55.06,55.06,51.21
54.65,57.47,57.50,54.65
57.81,61.32,61.32,57.81
62.01,59.80,62.01,59.17
62.99,65.19,65.28,62.99
63.71,65.15,65.45,63.71
67.37,68.94,70.53,67.37
68.06,67.88,68.06,66.30
70.01,70.34,70.34,69.10
68.78,66.18,68.78,65.67
64.07,69.31,69.71,63.87
68.36,66.63,68.37,66.60
66.18,64.01,66.18,61.80
66.68,67.46,67.46,66.67
69.54,72.69,72.69,69.31
71.55,70.15,71.55,69.94
72.80,72.33,73.00,70.70
78.90,81.48,82.80,78.30
79.17,79.95,80.36,79.17
77.86,74.00,77.86,74.00
68.16,70.76,72.18,68.16
74.19,74.38,74.77,72.86
75.50,76.17,76.62,74.62
75.27,75.16,75.27,74.52
76.10,76.46,76.46,75.03
76.65,78.27,78.27,76.00
72.35,69.36,72.65,68.99
70.84,70.05,70.84,70.05
72.31,73.44,73.58,72.31
72.78,71.35,72.78,70.77
71.61,72.03,72.46,71.18
69.75,68.47,70.14,68.47
69.03,64.80,69.28,64.25
66.60,65.34,66.60,64.93
61.84,61.20,61.99,60.67
61.75,61.65,61.80,60.31
nan,57.87,nan,nan
58.11,57.38,59.11,57.38
62.44,62.55,62.55,62.07
62.42,62.17,63.14,62.17
68.13,69.99,69.99,68.13
70.02,69.45,70.63,69.45
71.27,69.26,71.27,69.18
71.70,70.88,71.70,70.88
69.40,69.40,70.03,68.97
69.13,69.87,70.11,68.88
66.75,65.08,66.75,65.00
66.66,67.53,67.66,66.66
65.19,62.58,65.19,62.58
63.49,61.27,63.70,60.95
61.25,59.60,61.25,59.60
61.07,60.22,61.07,60.09
62.00,61.16,62.00,60.95
60.32,57.88,60.32,57.88
61.31,62.49,62.49,61.31
61.74,63.21,63.21,61.50
63.57,64.79,64.79,63.57
nan,65.22,nan,nan
64.20,64.10,64.41,64.10
63.60,62.15,63.60,62.02
62.92,63.56,63.56,62.92
nan,63.92,nan,nan
67.05,67.45,67.62,67.05
65.96,66.52,66.52,65.96
65.59,65.93,65.93,64.85
65.25,64.50,65.25,64.50
65.25,65.84,65.84,65.25
68.82,68.52,68.82,68.52
67.82,68.57,68.57,67.82
69.34,69.30,69.34,69.30
nan,67.79,nan,nan
70.85,70.26,70.89,70.26
71.31,74.19,74.19,71.11
74.90,75.18,75.44,74.65
75.03,75.61,75.61,74.56
75.94,76.75,76.88,75.94
75.28,76.92,76.92,74.94
75.60,78.86,79.00,75.40
79.56,78.04,80.20,78.04
78.26,78.97,78.97,78.26
75.31,76.60,76.60,75.31
78.60,77.91,78.60,77.91
80.09,81.19,81.19,80.09
82.23,81.83,83.00,81.83
84.07,84.41,84.50,83.37
82.20,82.73,82.77,82.20
81.45,83.63,83.63,81.45
84.75,84.39,85.10,84.39
84.82,84.40,84.82,84.07
81.13,80.59,81.13,80.17
83.58,83.32,83.58,82.72
82.11,82.00,82.11,81.10
83.79,82.44,83.79,82.44
81.64,84.04,84.04,81.64
84.68,84.50,84.92,84.17
85.09,83.85,85.09,83.67
83.95,84.00,84.18,83.59
83.88,83.90,84.07,83.75
84.75,85.21,85.63,84.70
82.69,84.16,84.16,82.28
85.42,86.10,86.10,85.42
87.31,85.74,87.31,85.74
86.64,87.68,87.68,86.60
87.20,87.11,87.21,86.62
85.52,84.32,85.52,84.01
80.04,78.69,80.05,78.00
79.98,80.37,80.54,79.29
82.92,83.92,84.02,82.47
84.09,83.61,84.34,83.61
82.81,82.17,82.81,81.46
83.58,86.41,86.41,83.58
85.50,83.63,85.66,83.36
84.58,84.75,85.00,84.58
85.23,84.52,85.23,84.52
83.26,84.24,84.24,83.26
81.38,81.30,81.38,81.26
81.46,81.49,81.49,81.46
79.90,78.99,79.90,78.65
78.73,80.21,80.21,78.73
81.30,82.97,82.97,81.30
82.74,82.06,82.74,82.02
80.84,79.48,80.95,78.99
77.64,79.18,79.18,77.00
80.63,80.36,80.63,80.22
80.03,82.60,82.83,79.83
82.92,81.65,82.92,81.08
78.80,78.61,78.80,78.50
78.57,79.61,79.97,78.57
76.94,77.12,77.66,76.80
76.49,74.10,76.49,74.10
76.18,75.81,76.18,75.81
78.00,79.36,79.36,77.95
77.43,77.15,78.01,77.06
78.42,76.50,78.42,75.83
78.90,78.07,78.90,77.64
77.02,77.16,77.67,76.68
77.37,76.57,78.15,76.57
77.91,77.64,78.31,77.57
74.50,74.98,74.98,73.78
75.27,75.01,75.27,75.01
76.70,76.25,76.70,75.91
75.89,77.38,77.38,75.89
77.20,77.66,77.66,77.20
nan,77.28,nan,nan
79.14,78.39,79.14,78.39
77.78,77.82,77.82,77.78
77.89,76.71,77.89,76.71
76.11,74.15,76.11,74.15
73.69,74.62,74.62,73.69
72.17,72.33,72.33,72.10
70.20,70.66,70.82,69.65
72.18,70.98,72.18,70.98
69.69,69.69,69.69,69.69
66.92,66.13,66.92,66.13
66.35,64.92,66.35,64.92
64.84,63.10,64.84,63.10
62.90,61.23,63.04,61.23
61.74,60.28,61.74,60.28
60.20,63.11,63.11,60.20
62.91,61.81,63.65,61.81
60.32,60.65,60.90,58.78
61.28,60.28,61.28,59.00
59.91,59.37,60.01,59.37
61.63,62.91,63.13,61.63
60.41,60.78,60.91,60.00
60.80,61.66,61.66,60.75
58.93,58.00,59.03,57.99
58.94,58.44,58.95,58.11
59.05,58.95,59.05,58.95
61.00,62.46,62.46,61.00
64.33,62.48,65.13,62.48
61.25,61.88,61.88,61.23
63.20,59.91,63.20,59.91
61.64,62.13,62.31,61.64
63.42,62.09,63.42,62.02
62.41,63.11,63.11,62.25
63.93,65.19,65.19,63.93
64.76,65.70,65.70,64.71
67.67,67.84,68.43,67.67
67.59,67.31,67.91,66.06
66.00,63.21,66.00,63.21
63.15,62.78,63.15,62.58
60.10,60.59,60.59,60.10
61.04,61.53,61.53,61.04
62.00,62.15,62.15,62.00
nan,60.45,nan,nan
65.00,67.16,67.16,65.00
66.00,66.99,67.01,66.00
67.50,69.61,69.64,67.50
68.63,68.30,68.75,68.20
66.44,65.75,66.44,65.42
64.73,65.47,65.47,64.64
nan,63.95,nan,nan
64.23,64.41,64.41,64.02
61.98,62.89,62.89,61.82
64.31,64.66,64.82,64.18
64.01,64.28,64.28,63.99
65.93,66.06,66.06,65.93
64.33,65.86,65.96,64.33
66.47,66.97,67.20,66.42
65.20,64.96,65.20,64.96
61.25,61.82,62.02,60.25
62.10,61.12,62.12,60.43
62.28,61.67,62.29,61.05
63.67,64.49,64.50,63.31
65.69,68.16,68.23,65.69
67.25,67.33,67.33,67.25
67.98,66.99,68.44,66.99
68.09,66.74,68.31,66.74
65.35,65.31,65.42,65.26
68.13,69.30,69.61,68.13
69.57,70.32,70.90,69.57
71.18,70.52,71.53,70.52
70.12,70.85,70.96,70.09
71.85,71.48,72.30,71.39
70.91,72.16,72.16,70.78
71.32,70.88,71.32,70.67
nan,71.51,nan,nan
70.71,70.84,70.84,70.71
71.48,71.92,71.92,71.48
70.76,71.04,71.04,70.76
70.24,70.84,70.84,70.24
72.41,70.91,72.41,70.80
70.67,71.01,71.22,70.67
69.47,69.63,69.68,69.47
69.04,70.03,70.03,68.63
68.98,68.29,68.98,68.29
68.17,68.27,68.27,68.00
67.40,67.35,67.40,67.35
65.90,65.96,65.96,65.66
66.80,67.19,67.35,66.80
66.52,66.39,66.52,66.39
65.16,65.52,65.52,65.16
66.38,68.50,68.50,66.38
70.56,71.61,71.61,70.56
70.86,70.00,70.86,70.00
71.67,71.67,71.68,71.67
72.41,72.12,72.41,71.87
71.59,76.05,76.12,71.59
77.64,77.63,79.45,77.42
77.12,76.14,77.13,75.80
76.00,75.91,76.00,75.62
75.77,76.32,76.32,75.77
74.42,74.95,75.22,73.95
76.48,75.58,76.48,75.58
74.95,75.53,75.58,74.70
75.68,73.18,75.68,73.18
72.81,72.61,72.81,71.91
74.35,74.85,74.85,74.35
74.51,73.94,74.51,73.75
75.24,75.44,76.19,74.99
75.03,75.01,75.03,75.01
75.28,74.56,75.28,74.56
75.00,76.00,76.00,75.00
77.00,76.03,77.46,75.70
74.74,74.78,75.00,74.28
74.68,73.60,74.68,73.35
73.83,72.67,73.89,72.65
74.35,74.21,74.66,74.16
74.02,73.70,74.38,73.50
74.12,74.70,74.70,74.00
75.51,76.00,76.30,75.51
76.50,77.21,77.50,76.50
76.51,76.81,77.40,76.51
75.94,74.49,75.94,74.49
75.65,76.10,76.37,75.15
73.50,72.86,73.50,72.00
73.98,72.94,74.22,72.94
74.94,74.39,74.94,74.39
73.58,73.42,73.58,73.11
73.67,73.36,73.67,73.07
74.45,75.48,75.66,74.45
76.37,74.53,76.37,74.50
74.50,74.92,75.17,74.50
76.10,76.65,76.82,76.10
75.28,74.49,75.34,74.04
74.07,72.22,74.07,72.11
72.31,72.56,73.00,72.31
73.30,73.08,73.52,72.87
71.32,71.74,72.28,70.94
71.99,69.40,71.99,69.22
69.78,70.12,70.12,69.47
69.86,70.48,70.48,68.97
71.71,72.67,72.67,71.71
71.77,72.41,72.41,71.70
71.99,72.41,72.44,71.81
74.03,74.60,74.74,74.00
74.07,74.55,74.56,73.74
74.52,73.43,74.52,73.43
72.37,74.03,74.03,72.04
75.00,75.46,75.65,74.56
75.57,75.24,75.57,74.88
76.01,75.16,76.01,75.13
75.63,75.60,76.25,75.60
77.03,77.08,77.98,76.72
77.64,78.21,78.21,77.33
78.43,78.72,78.87,78.22
78.80,79.78,79.96,78.80
79.92,80.43,80.70,79.83
81.08,80.93,81.92,80.70
80.93,80.19,81.34,79.88
80.53,80.85,81.27,80.53
80.68,81.37,81.37,80.50
80.87,82.63,82.63,80.76
82.80,82.50,83.15,82.50
82.53,83.42,83.42,82.00
80.66,81.56,81.56,80.50
80.74,81.15,81.18,79.50
81.76,81.73,82.78,80.49
83.77,82.64,83.77,81.26
82.40,83.25,83.62,82.39
83.39,85.62,85.90,83.21
87.77,89.13,89.13,87.77
87.82,87.79,89.15,87.55
86.99,88.08,88.13,86.78
86.75,86.76,86.91,86.32
85.86,85.24,85.94,84.61
85.82,85.85,86.39,85.80
87.01,87.40,87.80,86.43
86.09,86.08,86.11,85.59
86.66,86.85,86.94,86.06
85.50,86.05,86.05,85.13
84.62,85.61,85.74,84.62
86.58,86.90,87.45,86.58
86.98,87.18,87.23,86.43
86.63,86.79,86.79,86.38
86.18,86.00,86.18,85.57
85.96,85.40,86.31,84.94
85.07,84.93,85.10,83.92
84.49,83.52,84.49,83.07
84.60,85.44,85.73,84.41
84.74,84.66,85.17,84.53
84.79,85.03,85.03,84.25
85.67,86.02,86.47,85.40
84.79,83.57,84.86,83.31
84.38,84.16,84.74,84.00
83.14,83.74,83.76,82.68
83.50,82.35,83.50,81.62
83.00,83.57,83.67,83.00
83.19,83.54,83.54,82.76
83.36,83.79,84.24,83.30
84.77,84.67,85.05,84.42
84.20,84.58,84.77,84.20
84.73,84.21,84.73,84.00
84.18,84.27,84.78,84.18
85.03,82.84,85.04,82.72
81.53,80.64,81.54,79.82
81.64,81.35,81.64,80.79
82.58,79.06,82.68,78.69
79.89,79.99,80.07,79.27
80.53,81.66,81.88,80.53
81.67,80.97,81.89,80.97
80.23,81.33,81.33,79.99
79.45,79.84,79.85,79.03
81.39,81.64,82.04,81.37
82.45,82.58,82.65,82.14
82.32,83.11,83.12,82.32
84.07,84.53,84.68,83.41
83.69,83.15,83.69,83.15
82.66,81.63,82.80,81.26
81.28,80.01,81.28,79.90
80.73,80.75,80.88,80.49
79.86,79.25,79.86,79.14
77.40,77.44,78.10,77.27
77.47,76.27,77.47,75.36
77.40,77.69,77.70,77.28
76.39,75.66,76.62,75.41
75.73,76.17,76.27,75.73
77.13,76.13,77.36,75.74
77.31,78.13,78.13,77.31
77.19,78.59,78.59,77.05
78.21,79.06,79.06,78.13
78.92,77.36,78.92,77.35
78.35,77.40,78.35,77.31
77.37,75.82,77.39,75.45
75.56,75.27,75.65,74.32
72.72,75.01,75.46,72.33
74.30,75.24,75.28,74.14
75.21,76.94,77.29,75.04
77.98,78.44,79.00,77.98
78.17,78.21,78.57,77.77
76.34,75.91,76.72,74.75
74.32,72.40,74.32,72.00
74.90,75.12,75.21,74.50
73.43,72.68,73.43,71.86
73.46,72.79,73.46,72.55
74.57,74.91,75.01,74.39
75.22,75.26,75.44,74.82
76.50,76.07,76.50,75.48
77.24,77.30,77.66,76.94
77.95,78.38,79.13,77.83
77.62,76.96,77.62,76.38
78.20,78.53,78.92,78.20
78.56,80.64,80.90,78.56
80.67,78.69,80.67,78.45
79.71,80.38,80.38,79.50
81.31,81.72,82.78,81.31
81.52,81.93,82.03,81.36
82.36,83.10,83.30,82.36
83.60,83.76,84.20,83.60
83.76,82.66,83.88,82.55
81.85,81.60,81.88,80.96
80.93,80.22,80.93,80.18
80.78,81.09,81.57,80.78
80.72,80.42,81.25,80.42
81.20,80.51,81.74,80.51
80.72,80.92,81.19,80.47
80.99,81.65,81.65,80.92
81.10,81.43,81.86,81.10
81.63,79.40,82.82,79.00
76.84,77.80,78.11,76.36
76.89,76.80,76.99,76.16
78.59,77.75,78.81,77.51
76.61,75.70,76.61,75.70
75.58,75.58,76.70,75.56
74.56,73.12,74.65,72.71
73.59,75.56,75.57,72.84
75.13,73.68,75.13,73.00
72.89,70.86,72.89,70.55
70.55,71.74,71.86,70.12
70.98,71.00,72.00,70.14
69.70,68.95,70.61,68.63
66.21,66.70,67.43,66.00
67.50,65.57,67.50,65.30
65.47,68.36,68.37,65.47
67.88,66.46,68.15,65.90
67.93,67.29,68.29,67.16
67.67,68.02,68.23,66.92
67.37,63.69,67.49,63.60
60.89,58.32,60.94,56.76
59.54,59.99,60.54,57.76
56.92,57.25,58.38,55.82
59.65,60.00,60.00,58.26
