TBIO,Transgenomic,NASDAQ
1.17,1.08,1.17,1.05
1.10,1.12,1.12,1.08
1.12,1.10,1.12,1.01
1.10,1.10,1.10,1.10
1.05,1.07,1.07,1.04
1.11,1.15,1.15,1.10
1.14,1.18,1.18,1.11
1.15,1.24,1.25,1.15
1.21,1.25,1.26,1.18
1.25,1.31,1.31,1.24
1.29,1.28,1.29,1.27
1.27,1.27,1.30,1.25
1.25,1.24,1.25,1.24
1.24,1.25,1.25,1.22
1.21,1.25,1.25,1.21
1.26,1.25,1.26,1.17
1.25,1.24,1.25,1.21
1.24,1.22,1.24,1.20
1.22,1.25,1.25,1.20
1.30,1.38,1.39,1.25
1.35,1.44,1.44,1.35
1.42,1.41,1.44,1.37
1.41,1.42,1.42,1.35
1.40,1.40,1.41,1.33
1.40,1.40,1.41,1.35
1.41,1.37,1.41,1.35
1.34,1.35,1.40,1.29
1.38,1.37,1.38,1.36
1.37,1.30,1.40,1.21
1.27,1.25,1.27,1.17
1.25,1.17,1.29,1.14
1.17,1.21,1.23,1.17
1.21,1.25,1.25,1.17
1.25,1.30,1.34,1.25
1.32,1.35,1.39,1.28
1.36,1.34,1.36,1.27
1.28,1.34,1.34,1.21
1.34,1.25,1.34,1.20
1.20,1.22,1.27,1.20
1.26,1.27,1.29,1.23
1.30,1.29,1.30,1.25
1.29,1.29,1.30,1.25
1.25,1.25,1.27,1.22
1.23,1.25,1.28,1.21
1.25,1.25,1.25,1.21
1.22,1.19,1.22,1.17
1.19,1.15,1.19,1.09
1.15,1.18,1.19,1.12
1.18,1.23,1.23,1.15
1.23,1.25,1.25,1.23
1.25,1.30,1.30,1.25
1.30,1.30,1.31,1.25
1.25,1.32,1.32,1.22
1.31,1.29,1.33,1.25
1.33,1.29,1.34,1.21
1.29,1.29,1.29,1.21
1.25,1.30,1.30,1.25
1.27,1.24,1.27,1.20
1.20,1.22,1.25,1.20
1.22,1.20,1.24,1.17
1.24,1.21,1.24,1.16
1.17,1.20,1.20,1.15
1.18,1.21,1.21,1.06
1.18,1.18,1.18,1.15
1.15,1.17,1.20,1.15
1.17,1.17,1.17,1.13
1.15,1.18,1.18,1.13
1.11,1.19,1.19,1.11
1.19,1.15,1.19,1.12
1.13,1.21,1.22,1.10
1.15,1.18,1.19,1.10
1.15,1.22,1.22,1.04
1.17,1.22,1.22,1.05
1.19,1.19,1.19,1.15
1.21,1.19,1.21,1.10
1.14,1.19,1.19,1.11
1.17,1.17,1.19,1.07
1.15,1.26,1.26,1.15
1.26,1.33,1.35,1.26
1.33,1.29,1.39,1.22
1.25,1.19,1.30,1.19
1.20,1.19,1.20,1.09
1.18,1.16,1.18,1.15
1.15,1.16,1.18,1.12
1.15,1.20,1.20,1.15
1.20,1.21,1.22,1.17
1.21,1.20,1.21,1.15
1.17,1.17,1.19,1.15
1.15,1.19,1.19,1.14
1.17,1.20,1.20,1.17
1.18,1.19,1.19,1.18
1.19,1.20,1.24,1.19
1.22,1.20,1.22,1.15
1.22,1.20,1.22,1.20
1.22,1.30,1.32,1.20
1.31,1.30,1.34,1.28
1.31,1.32,1.32,1.27
1.34,1.35,1.35,1.28
1.35,1.34,1.36,1.25
1.31,1.34,1.34,1.30
1.35,1.31,1.36,1.30
1.35,1.31,1.35,1.27
1.31,1.28,1.31,1.28
1.29,1.34,1.34,1.28
1.30,1.33,1.34,1.25
1.30,1.32,1.32,1.20
1.30,1.29,1.33,1.21
1.27,1.25,1.33,1.25
1.22,1.25,1.30,1.22
1.22,1.34,1.34,1.21
1.26,1.31,1.32,1.24
1.25,1.25,1.25,1.20
1.22,1.25,1.26,1.22
1.23,1.23,1.25,1.19
1.23,1.15,1.24,1.11
1.19,1.20,1.22,1.18
1.19,1.13,1.20,1.11
1.11,1.09,1.14,1.08
1.08,1.13,1.13,1.08
1.09,1.00,1.09,0.96
1.00,0.92,1.00,0.91
0.98,0.91,0.98,0.90
0.95,0.90,0.96,0.89
0.88,0.93,0.95,0.88
0.96,1.00,1.00,0.95
1.00,0.98,1.01,0.95
0.97,0.95,0.99,0.90
0.94,0.95,1.00,0.94
0.96,0.93,0.96,0.91
0.93,0.93,0.94,0.92
0.93,0.92,0.93,0.90
0.92,0.95,0.95,0.92
0.96,1.00,1.00,0.92
0.94,0.92,0.99,0.91
0.91,0.90,0.92,0.85
0.88,0.85,0.90,0.85
0.84,0.82,0.84,0.78
0.82,0.82,0.82,0.79
0.82,0.90,0.90,0.82
0.90,0.90,0.90,0.90
0.85,0.91,0.91,0.84
0.85,0.87,0.87,0.83
0.87,0.83,0.87,0.80
0.80,0.79,0.83,0.76
0.81,0.87,0.87,0.79
0.81,0.89,0.89,0.81
0.89,0.88,0.89,0.82
0.82,0.86,0.86,0.82
0.86,0.90,0.90,0.84
0.90,0.84,0.90,0.81
0.81,0.83,0.83,0.78
0.79,0.83,0.83,0.79
0.83,0.87,0.87,0.83
0.80,0.87,0.87,0.80
0.89,0.89,0.89,0.79
0.89,0.81,0.90,0.75
0.84,0.84,0.84,0.84
0.78,0.84,0.84,0.78
0.81,0.78,0.81,0.75
0.75,0.78,0.78,0.72
0.78,0.89,0.89,0.78
0.89,0.89,0.89,0.79
0.89,0.87,0.89,0.86
0.88,0.87,0.88,0.82
0.89,0.87,0.89,0.81
0.84,0.87,0.87,0.83
0.85,0.86,0.87,0.85
0.86,0.85,0.86,0.85
0.84,0.85,0.86,0.82
0.82,0.86,0.86,0.82
0.86,0.90,0.90,0.86
0.84,0.84,0.85,0.75
0.80,0.84,0.84,0.80
0.80,0.80,0.85,0.70
0.80,0.88,0.88,0.76
0.88,0.88,0.88,0.88
0.86,0.88,0.88,0.82
0.86,0.89,0.89,0.85
0.89,0.90,0.90,0.82
0.87,0.86,0.87,0.86
0.81,0.82,0.83,0.81
0.82,0.87,0.87,0.82
0.82,0.82,0.87,0.82
0.80,0.80,0.81,0.80
0.76,0.85,0.85,0.76
0.78,0.84,0.84,0.78
0.75,0.84,0.84,0.75
0.75,0.80,0.84,0.75
0.78,0.78,0.80,0.77
0.78,0.82,0.84,0.78
0.79,0.75,0.80,0.75
0.78,0.75,0.78,0.75
0.76,0.78,0.78,0.75
0.78,0.83,0.83,0.76
0.87,0.98,0.99,0.85
0.99,1.00,1.03,0.95
1.01,1.07,1.07,1.01
1.10,1.00,1.10,0.97
1.02,0.97,1.05,0.97
0.95,1.03,1.05,0.95
1.03,1.05,1.05,0.98
1.03,1.05,1.05,0.99
1.05,1.04,1.06,1.00
1.07,1.06,1.07,1.01
1.06,1.06,1.06,1.05
1.07,1.06,1.08,1.02
1.03,1.06,1.06,1.03
1.04,1.04,1.07,1.04
1.03,1.00,1.04,1.00
1.02,1.03,1.04,1.00
1.00,1.02,1.07,0.99
1.03,1.01,1.03,0.98
1.00,1.02,1.02,0.95
1.02,1.02,1.02,0.99
1.00,1.01,1.01,0.99
0.98,1.02,1.02,0.98
1.00,1.02,1.02,0.98
1.00,1.02,1.02,0.98
1.02,0.97,1.02,0.95
0.95,0.93,0.97,0.92
0.89,0.91,0.95,0.89
0.90,0.88,0.90,0.87
0.90,0.95,0.95,0.90
1.00,0.93,1.00,0.88
0.90,0.97,0.97,0.89
0.95,0.97,0.97,0.94
0.95,0.99,0.99,0.91
0.99,0.96,0.99,0.93
0.95,0.99,0.99,0.94
0.99,0.99,0.99,0.96
0.98,0.97,1.00,0.97
0.97,0.94,0.97,0.90
0.93,0.90,0.93,0.84
0.86,0.95,0.95,0.86
0.90,0.90,0.91,0.88
0.88,0.90,0.90,0.88
0.88,0.91,0.94,0.88
0.90,0.90,0.90,0.88
0.90,0.92,0.92,0.90
0.88,0.90,0.90,0.86
0.91,0.95,0.95,0.90
0.94,0.95,0.95,0.93
0.94,0.90,0.94,0.86
0.90,0.88,0.90,0.87
0.88,0.88,0.88,0.86
0.89,0.90,0.90,0.89
0.92,0.92,0.93,0.92
0.91,0.93,0.94,0.91
0.92,0.91,0.92,0.90
0.93,0.92,0.93,0.90
0.90,0.97,0.97,0.87
0.95,0.94,0.96,0.93
0.91,0.95,0.96,0.91
0.95,0.92,0.95,0.92
0.92,0.94,0.94,0.92
0.92,0.93,0.93,0.92
0.93,0.91,0.93,0.87
0.86,0.89,0.90,0.86
0.86,0.90,0.90,0.86
0.84,0.90,0.90,0.84
0.88,0.93,0.93,0.79
0.90,0.90,0.90,0.72
0.90,0.90,0.90,0.80
0.90,0.90,0.90,0.90
0.90,0.85,0.90,0.85
0.83,0.88,0.88,0.83
0.75,0.86,0.90,0.75
0.83,0.86,0.86,0.82
0.82,0.85,0.85,0.82
0.82,0.83,0.84,0.82
0.83,0.85,0.85,0.83
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.80
0.84,0.84,0.84,0.80
0.80,0.82,0.82,0.80
0.82,0.82,0.88,0.82
0.82,0.82,0.85,0.80
0.80,0.84,0.84,0.80
0.84,0.78,0.84,0.72
0.78,0.78,0.78,0.78
0.73,0.73,0.75,0.72
0.75,0.74,0.75,0.68
0.71,0.75,0.80,0.70
0.75,0.72,0.75,0.70
0.75,0.67,0.75,0.67
0.67,0.68,0.70,0.67
0.69,0.70,0.73,0.69
0.70,0.69,0.70,0.69
0.69,0.70,0.70,0.67
0.68,0.70,0.70,0.67
0.65,0.69,0.70,0.63
0.68,0.70,0.70,0.65
0.65,0.68,0.70,0.64
0.70,0.66,0.74,0.63
0.66,0.63,0.67,0.62
0.63,0.63,0.65,0.62
0.62,0.64,0.67,0.58
0.62,0.62,0.65,0.61
0.61,0.60,0.61,0.60
0.60,0.59,0.60,0.55
0.58,0.59,0.59,0.54
0.58,0.54,0.58,0.52
0.53,0.61,0.61,0.52
0.60,0.65,0.70,0.60
0.65,0.58,0.65,0.58
0.66,0.63,0.66,0.63
0.59,0.66,0.66,0.59
0.61,0.62,0.64,0.60
0.66,0.61,0.66,0.59
0.61,0.66,0.66,0.61
0.69,0.68,0.70,0.64
0.69,0.67,0.71,0.66
0.70,0.67,0.70,0.66
0.66,0.67,0.70,0.66
0.73,0.68,0.73,0.66
0.68,0.72,0.72,0.67
0.65,0.70,0.72,0.65
0.68,0.68,0.68,0.66
0.59,0.70,0.73,0.59
0.66,0.52,0.66,0.46
0.51,0.47,0.51,0.47
0.49,0.49,0.51,0.49
0.51,0.50,0.55,0.50
0.50,0.50,0.52,0.49
0.50,0.50,0.50,0.50
0.50,0.46,0.50,0.46
0.46,0.50,0.50,0.45
0.50,0.47,0.50,0.47
0.47,0.49,0.50,0.46
0.49,0.50,0.50,0.47
0.50,0.47,0.50,0.47
0.47,0.49,0.49,0.47
0.49,0.48,0.50,0.48
0.47,0.48,0.50,0.47
0.48,0.48,0.48,0.48
0.48,0.46,0.48,0.45
0.46,0.44,0.46,0.42
0.42,0.43,0.47,0.42
0.45,0.43,0.45,0.43
0.43,0.43,0.43,0.43
0.43,0.43,0.44,0.43
0.44,0.45,0.48,0.44
0.47,0.45,0.47,0.45
0.45,0.45,0.45,0.45
0.47,0.46,0.47,0.46
0.46,0.43,0.47,0.43
0.44,0.49,0.49,0.44
0.50,0.48,0.50,0.48
0.50,0.50,0.50,0.48
0.47,0.50,0.50,0.47
0.47,0.47,0.50,0.47
0.47,0.48,0.50,0.47
0.48,0.44,0.48,0.39
0.44,0.44,0.45,0.44
0.45,0.43,0.46,0.42
0.44,0.44,0.44,0.43
0.44,0.43,0.44,0.42
0.42,0.40,0.44,0.39
0.41,0.40,0.41,0.39
0.39,0.39,0.40,0.39
0.40,0.40,0.41,0.38
0.39,0.40,0.40,0.38
0.40,0.40,0.40,0.38
0.40,0.39,0.40,0.39
0.39,0.39,0.39,0.39
0.40,0.40,0.40,0.39
0.40,0.38,0.40,0.38
0.38,0.40,0.40,0.38
0.40,0.39,0.40,0.39
0.39,0.40,0.40,0.38
0.39,0.39,0.41,0.38
0.38,0.38,0.40,0.37
0.38,0.38,0.38,0.37
0.38,0.38,0.38,0.37
0.38,0.37,0.38,0.37
0.37,0.37,0.37,0.35
0.36,0.36,0.37,0.35
0.35,0.34,0.35,0.33
0.34,0.31,0.34,0.30
0.31,0.32,0.32,0.31
0.32,0.39,0.39,0.31
0.38,0.38,0.38,0.37
0.38,0.36,0.38,0.34
0.34,0.35,0.36,0.33
0.34,0.37,0.37,0.33
0.37,0.37,0.37,0.34
0.37,0.36,0.37,0.34
0.33,0.37,0.37,0.33
0.40,0.38,0.44,0.37
0.40,0.39,0.41,0.37
0.39,0.40,0.42,0.39
0.40,0.41,0.41,0.39
0.41,0.46,0.46,0.40
0.46,0.47,0.48,0.46
0.47,0.46,0.47,0.43
0.45,0.46,0.46,0.44
0.46,0.48,0.48,0.46
0.48,0.48,0.48,0.47
0.48,0.48,0.48,0.47
0.50,0.49,0.50,0.48
0.49,0.47,0.49,0.45
0.47,0.47,0.47,0.45
0.45,0.47,0.47,0.45
0.46,0.47,0.47,0.45
0.45,0.45,0.46,0.42
0.45,0.47,0.47,0.42
0.43,0.47,0.47,0.43
0.47,0.43,0.47,0.41
0.41,0.39,0.43,0.36
0.39,0.39,0.39,0.38
0.42,0.40,0.42,0.38
0.42,0.39,0.42,0.38
0.39,0.36,0.39,0.33
0.34,0.34,0.34,0.33
0.35,0.35,0.35,0.34
0.35,0.35,0.36,0.34
0.35,0.35,0.35,0.35
0.36,0.35,0.36,0.35
0.36,0.36,0.36,0.36
0.36,0.38,0.38,0.36
0.38,0.38,0.38,0.35
