GBL,Gamco Investors,NASDAQ
46.11,44.58,46.11,44.53
44.31,43.81,44.31,43.73
42.93,42.00,43.42,42.00
41.83,42.14,42.84,41.57
41.98,40.38,42.22,40.20
39.64,39.59,39.66,38.58
39.66,38.88,40.59,38.84
39.65,40.00,40.14,39.40
39.71,39.63,40.03,39.28
38.34,37.20,38.91,37.09
37.22,37.94,38.21,37.14
38.25,38.33,38.48,37.69
37.45,36.60,37.79,36.49
36.58,35.45,36.70,35.35
35.42,35.87,35.96,34.94
36.08,36.04,36.77,35.70
36.75,37.64,37.66,36.55
36.96,38.20,38.21,36.96
38.65,37.71,39.34,37.59
38.24,39.21,39.51,37.37
39.06,39.13,39.35,38.40
39.46,38.82,39.46,38.59
39.08,39.26,39.28,38.84
39.70,38.82,39.70,38.76
38.98,38.53,40.00,38.50
38.42,38.80,39.24,38.42
38.67,38.23,39.26,38.22
38.31,40.00,40.00,38.31
39.75,39.58,40.71,39.36
38.83,37.80,39.27,37.78
37.69,37.20,38.29,37.12
37.10,35.93,37.10,35.18
36.25,35.45,36.25,35.09
35.96,34.64,35.96,34.37
35.05,36.67,36.68,34.91
37.11,37.26,37.26,36.16
37.08,38.39,38.44,37.08
38.46,37.97,38.46,37.55
38.43,38.94,39.11,38.37
39.60,38.65,39.60,38.45
38.62,37.62,38.62,37.03
37.24,36.96,37.46,36.69
36.97,37.13,37.16,35.81
36.53,36.79,36.83,36.01
36.88,36.18,37.00,35.90
36.67,38.23,38.28,36.33
38.13,39.39,39.41,37.93
39.62,39.80,39.86,39.05
40.20,39.73,40.41,39.68
39.80,39.22,39.82,39.12
39.36,40.12,40.30,39.35
39.68,40.24,40.30,39.41
40.76,40.82,41.27,40.35
40.43,39.70,41.00,39.66
40.04,40.30,40.62,40.04
39.99,39.46,40.01,39.46
38.94,38.35,39.47,37.64
38.50,39.08,39.14,38.50
38.52,37.51,39.38,37.25
36.88,36.32,37.01,36.22
35.67,35.77,36.21,35.67
35.77,35.29,36.03,35.29
35.01,35.63,35.88,34.96
35.99,36.42,36.55,35.99
35.33,36.36,36.56,35.33
36.11,34.79,36.23,34.77
34.59,35.15,35.22,34.55
35.28,34.22,35.39,34.13
33.88,33.77,34.33,33.77
33.63,34.62,34.72,33.63
34.86,35.36,35.56,34.62
35.00,36.09,36.24,34.54
35.83,35.26,35.83,35.25
35.17,35.30,35.54,34.66
35.76,36.91,36.91,35.76
36.77,37.06,37.20,34.01
37.29,38.41,38.46,37.14
38.37,36.55,38.37,36.41
36.77,36.91,36.98,36.68
37.41,36.81,37.46,36.48
36.84,36.80,37.17,36.59
37.12,37.53,37.55,37.06
37.50,36.47,37.56,36.24
36.18,37.50,37.65,35.98
37.40,36.71,37.40,36.67
37.19,36.72,37.56,36.46
36.93,37.25,37.39,36.73
37.11,36.90,37.11,36.40
36.66,36.95,37.00,36.37
36.58,35.89,37.34,35.86
36.35,38.92,39.02,36.11
38.55,38.15,38.90,38.06
38.36,38.66,38.74,37.64
38.42,38.78,38.83,38.11
39.20,38.53,39.67,38.53
38.76,38.76,38.87,38.28
38.71,37.99,38.71,37.99
38.37,39.91,39.91,37.99
39.94,40.46,40.70,39.52
40.87,40.64,41.30,40.41
40.71,42.09,42.36,40.36
42.07,42.73,42.93,42.01
42.46,42.06,42.50,42.00
42.27,42.54,42.91,41.94
42.65,42.49,42.73,42.35
43.11,42.56,43.20,42.34
42.54,44.27,44.36,41.90
43.69,43.27,43.90,43.21
43.65,43.47,43.88,43.37
43.83,42.71,44.00,42.00
42.75,43.01,43.01,42.58
43.42,43.02,43.42,42.94
42.63,42.85,42.98,42.60
42.47,42.14,42.71,41.85
42.63,42.07,42.63,41.89
41.93,42.84,43.63,41.93
42.93,41.76,43.02,41.72
42.38,43.12,43.12,42.38
43.03,43.60,43.60,42.86
44.53,46.74,46.76,44.20
46.71,46.10,47.42,46.00
45.88,47.24,47.24,45.88
47.17,42.81,47.17,42.65
43.16,44.38,44.39,42.61
43.90,44.00,44.51,43.38
43.47,42.26,43.53,42.26
42.73,42.07,43.08,41.91
41.56,40.64,41.56,40.19
40.88,40.96,41.07,40.43
41.62,41.73,41.86,41.51
41.78,42.35,42.37,41.41
41.93,42.78,42.81,41.93
42.10,41.58,42.50,41.49
42.03,42.82,42.83,41.68
42.36,42.31,42.54,41.99
42.22,43.59,43.62,42.10
42.87,44.05,44.16,42.87
45.08,45.52,45.67,45.08
45.41,46.72,46.72,45.32
46.46,47.57,47.57,46.25
47.31,47.70,47.86,46.74
48.10,48.30,48.69,47.75
48.59,47.80,48.66,47.80
48.48,49.37,49.40,48.26
49.40,50.85,50.85,49.29
49.50,47.49,49.50,47.42
47.89,48.76,49.33,47.59
48.56,48.40,48.90,48.33
48.40,49.66,50.57,48.35
49.80,49.84,49.96,49.39
50.00,49.77,50.00,49.74
50.00,49.67,50.00,49.50
49.92,49.83,50.00,49.44
49.75,49.65,49.81,49.48
49.28,49.88,49.88,49.28
49.51,49.27,49.53,49.22
49.32,49.15,49.37,48.99
49.25,49.17,49.50,49.17
49.19,48.01,49.25,48.01
48.70,49.53,49.67,48.37
49.53,48.18,49.61,47.92
47.94,48.63,48.77,47.23
48.49,48.47,48.49,48.18
48.45,46.95,48.45,46.79
46.67,46.41,46.95,46.41
46.80,46.97,47.50,46.47
47.55,47.07,47.55,46.83
47.17,47.62,47.81,47.16
47.79,48.85,48.96,47.75
48.57,49.16,49.44,48.52
48.97,47.88,49.12,47.88
47.79,47.19,48.14,47.19
47.57,46.27,47.75,46.16
46.45,46.91,46.95,46.45
46.63,46.92,47.10,46.33
46.95,47.97,47.98,46.92
47.74,48.39,48.80,47.74
48.52,45.40,48.52,45.35
45.14,44.48,45.25,43.60
45.19,47.23,47.40,44.68
46.90,46.70,46.98,46.53
46.47,46.23,46.47,45.63
46.28,46.03,46.57,45.87
46.28,45.77,46.57,45.56
45.57,46.00,46.03,45.02
46.06,46.34,46.41,45.56
46.04,45.77,46.48,45.46
45.69,45.80,46.08,45.62
45.69,46.46,46.59,45.69
46.50,46.22,47.17,46.11
46.25,46.76,46.78,46.25
46.73,47.27,47.27,46.73
47.56,48.19,48.24,47.56
47.89,47.36,49.40,47.26
47.34,45.77,47.34,45.74
45.95,45.27,46.40,45.08
45.55,45.22,45.55,44.89
45.67,46.44,46.44,45.49
46.42,45.64,46.60,45.39
45.70,45.46,45.74,45.20
46.02,46.64,46.65,46.02
46.80,46.22,46.80,46.22
46.68,43.91,46.68,43.85
43.89,45.85,46.11,43.89
45.90,45.93,46.25,45.90
44.94,43.26,45.37,43.26
42.94,42.83,43.42,42.65
42.10,41.74,42.62,41.58
40.17,41.11,41.22,40.17
40.79,40.12,40.80,40.11
41.06,40.19,41.06,39.96
40.54,40.10,40.83,39.59
41.25,41.87,41.87,40.50
41.74,42.37,42.46,41.26
42.72,43.05,43.21,42.38
43.55,43.76,43.92,43.37
43.93,44.46,44.96,43.39
44.25,43.81,44.92,43.40
43.85,44.12,44.14,43.85
44.12,45.18,45.19,44.12
44.87,46.36,46.36,44.87
46.67,46.78,46.78,46.38
46.82,47.59,47.59,46.82
47.32,48.19,48.19,47.19
48.43,49.65,49.67,48.32
49.69,49.10,49.69,49.00
49.37,47.77,49.37,47.77
48.70,48.45,49.70,48.45
48.18,47.36,48.18,46.78
47.61,44.10,47.61,44.08
43.53,45.27,45.77,43.53
45.07,46.63,46.78,45.07
45.56,45.80,46.30,45.56
46.05,45.42,46.06,45.41
46.32,46.42,46.50,46.11
46.99,46.40,46.99,46.01
45.94,46.04,46.19,45.88
46.10,45.93,46.10,45.74
45.96,46.00,46.01,45.84
45.74,45.90,45.91,45.17
45.90,51.45,51.79,45.90
51.44,49.40,51.47,49.22
49.47,45.52,49.47,45.50
45.37,43.64,45.42,43.61
43.07,43.04,44.10,42.17
43.79,43.57,44.05,43.25
43.29,44.23,44.23,42.97
45.41,48.46,48.67,45.15
48.00,48.60,49.14,47.62
48.21,49.29,49.50,47.79
49.49,48.13,49.49,48.12
47.94,47.70,47.96,47.00
47.27,49.88,50.49,47.27
49.81,48.57,49.89,48.24
49.12,48.55,49.47,48.25
48.24,47.44,48.70,47.00
46.24,46.65,47.37,46.24
46.76,44.44,46.76,44.32
44.19,45.77,45.80,44.19
45.54,45.66,45.83,45.29
46.14,45.97,46.14,45.56
46.61,46.32,46.83,45.53
46.28,44.48,47.13,44.41
44.38,43.98,44.74,43.50
43.40,43.65,43.83,43.24
43.61,43.97,44.18,43.61
44.45,44.14,45.14,44.12
44.00,44.08,44.30,43.51
44.35,44.12,44.63,44.12
43.90,44.10,44.40,43.37
44.14,43.96,44.56,43.79
44.50,44.55,44.69,44.32
43.88,43.86,44.42,43.57
44.04,45.04,45.04,43.79
45.33,45.04,45.65,44.94
45.06,45.33,45.57,45.06
45.67,46.97,46.97,45.34
46.55,46.21,46.85,46.20
45.33,46.12,46.23,45.33
46.26,44.80,46.26,44.80
44.87,45.24,45.32,44.83
45.54,45.12,45.70,44.88
45.01,45.23,45.60,45.01
45.54,46.29,46.31,45.52
46.36,46.85,46.85,46.25
46.83,46.62,46.83,45.99
46.60,47.74,47.74,46.60
48.30,50.31,50.35,48.30
49.64,49.37,49.73,49.02
48.44,49.30,49.94,48.44
49.36,48.75,49.38,48.16
49.21,50.28,50.47,49.21
50.12,48.24,50.92,47.79
48.24,48.54,48.82,48.17
48.08,47.98,48.29,47.94
48.42,50.34,50.59,47.89
50.27,50.08,50.81,49.23
50.10,51.21,51.22,50.10
50.86,50.74,51.45,50.24
49.72,50.00,50.72,49.72
50.18,48.83,50.18,48.83
48.74,48.18,49.65,48.02
48.34,48.48,48.50,48.12
47.81,48.37,48.78,47.81
49.38,49.17,49.51,48.90
49.00,48.30,49.95,48.11
47.86,49.76,52.35,47.86
49.08,48.28,49.44,48.07
48.89,48.71,50.99,48.00
46.83,40.39,47.51,39.97
41.56,46.18,46.57,41.56
44.50,41.81,45.39,41.61
42.21,46.39,46.95,41.85
46.73,43.93,46.73,42.33
44.49,43.60,44.82,43.24
42.95,42.66,43.55,42.38
42.80,43.20,43.91,42.62
41.19,41.00,42.69,40.36
40.37,41.98,42.87,39.81
43.43,42.86,43.43,42.20
43.35,45.37,45.37,42.46
45.22,46.71,46.72,44.94
46.39,44.78,46.39,44.34
44.74,46.21,47.58,44.54
47.08,49.68,49.74,46.96
49.25,49.99,50.00,48.79
50.12,48.82,50.43,48.01
48.45,45.78,48.97,45.54
44.51,42.89,45.84,42.75
40.97,42.45,43.14,40.92
43.47,45.08,45.36,42.65
46.99,43.07,47.01,42.99
42.59,41.22,42.59,40.85
40.75,42.33,42.42,40.54
42.85,43.28,43.38,42.45
43.92,44.54,44.77,43.29
44.97,45.10,45.10,44.57
45.39,45.65,45.73,43.65
44.29,43.06,44.35,42.52
43.20,40.73,43.20,40.58
40.56,38.07,40.93,38.05
37.00,36.94,38.35,36.75
36.98,39.40,40.00,36.98
40.18,41.57,41.98,40.01
42.14,41.94,44.00,40.97
42.25,38.75,42.82,38.68
39.94,39.95,40.26,38.77
39.19,39.39,40.86,39.19
38.84,36.11,39.30,36.11
36.21,41.17,42.16,35.81
40.99,41.39,41.46,39.69
40.90,41.84,42.10,40.87
41.72,39.52,41.72,39.32
40.52,42.44,42.44,39.01
42.00,43.08,43.38,41.90
43.60,44.47,44.80,43.36
43.82,43.64,43.82,41.97
44.06,44.78,44.81,42.89
43.99,43.25,44.32,43.12
43.84,45.19,45.62,43.40
45.00,44.08,45.81,44.00
44.57,43.78,44.57,42.87
45.31,45.04,45.47,44.22
45.08,47.61,47.66,44.41
46.81,44.86,47.50,44.67
45.92,47.39,47.46,44.77
49.87,52.21,52.55,48.79
51.95,50.55,52.98,49.98
49.24,47.10,49.24,47.07
44.38,42.96,45.96,42.93
43.94,43.91,44.55,42.61
44.72,45.43,45.89,43.18
44.83,44.20,44.83,43.39
44.11,44.92,47.17,43.20
45.16,46.30,46.49,44.92
44.49,44.51,45.77,44.49
45.75,46.85,46.92,44.75
47.46,47.86,48.41,46.97
47.25,46.32,47.37,45.83
44.86,46.82,46.90,43.91
46.26,45.89,47.68,45.86
46.03,45.69,46.40,45.17
45.87,45.92,46.92,45.23
44.92,43.91,45.50,43.78
43.97,43.30,44.38,43.23
42.96,40.82,42.96,40.72
40.46,40.09,41.64,40.06
41.88,42.26,42.40,41.07
42.20,41.79,42.85,41.76
44.19,47.21,47.24,42.96
47.09,46.12,48.18,43.74
47.15,47.07,48.45,46.57
48.11,47.62,49.21,47.27
47.86,47.65,48.49,47.31
47.15,48.23,48.38,46.67
47.75,45.57,47.75,45.36
45.98,47.91,48.20,45.64
47.13,45.23,47.85,44.92
45.73,43.46,46.08,43.43
43.03,44.20,44.20,42.95
45.04,45.21,45.26,44.47
44.75,43.99,45.24,43.68
44.30,43.20,44.88,42.93
44.50,45.53,45.81,44.49
44.99,45.35,45.46,44.81
45.71,44.84,45.71,44.55
45.13,45.04,45.51,44.54
44.88,45.01,45.32,44.55
44.89,43.81,44.92,43.81
44.09,44.54,44.64,44.00
44.38,43.49,44.38,43.37
44.12,44.82,45.66,44.12
44.28,44.02,44.35,43.65
43.80,43.20,43.84,42.98
43.30,43.48,44.00,43.11
43.93,43.75,44.11,43.39
44.69,43.74,44.69,43.43
43.35,43.78,44.05,43.15
43.88,44.01,44.12,42.84
43.22,44.24,44.25,43.20
44.52,43.97,44.52,43.61
43.73,45.05,45.26,43.73
45.52,44.84,45.63,44.58
44.65,45.57,45.60,44.65
45.72,44.72,46.00,44.56
44.19,45.35,45.46,44.06
45.15,45.81,45.83,44.98
45.98,46.53,46.53,45.91
46.55,47.38,47.43,46.55
46.87,46.73,47.05,46.56
46.99,46.50,47.09,46.33
46.99,49.50,49.74,46.99
49.50,49.15,49.85,48.64
50.46,51.71,51.77,50.33
51.47,50.14,51.71,49.42
49.66,50.01,50.05,49.25
49.95,51.05,52.32,49.95
51.01,49.16,51.58,48.68
48.20,48.63,49.57,48.20
49.39,48.87,49.39,48.48
48.47,47.97,48.53,47.33
48.15,46.49,48.27,46.02
46.45,48.70,48.89,46.45
48.95,48.50,48.95,47.24
48.50,47.95,48.64,47.49
47.87,47.29,48.09,47.25
47.26,48.23,48.37,47.26
48.42,48.05,48.42,48.05
47.41,48.25,48.64,47.35
48.05,47.40,48.06,47.27
47.83,46.11,48.07,46.07
46.25,45.60,46.55,45.60
45.76,44.10,46.01,43.77
43.81,44.65,44.72,43.81
43.84,43.74,45.20,43.61
43.61,44.05,44.26,43.61
44.56,44.50,45.19,43.94
44.71,46.18,46.98,43.25
46.13,46.76,46.84,45.66
47.43,49.72,49.72,47.30
49.72,49.21,50.14,48.75
49.23,48.72,49.23,48.01
48.73,48.13,48.73,47.93
48.08,49.30,49.59,48.08
48.69,48.78,49.46,48.69
48.72,48.50,49.24,48.27
48.01,48.58,48.58,47.92
49.14,49.41,50.00,49.14
49.65,49.82,50.20,48.84
49.69,48.77,49.98,48.69
49.01,49.29,49.30,48.49
49.05,49.08,49.80,48.98
49.72,49.61,49.73,48.91
49.32,49.58,49.83,48.73
49.34,48.20,49.34,47.57
47.41,47.45,47.86,46.59
47.12,48.12,48.43,46.95
47.02,48.18,48.51,47.02
48.06,45.74,48.34,45.56
46.30,47.34,47.41,46.09
47.34,47.33,48.05,47.13
46.87,45.61,46.87,45.48
46.09,46.28,46.91,45.69
47.02,47.86,48.19,46.65
47.71,46.45,47.71,46.45
46.65,45.49,46.65,44.75
45.85,46.29,47.19,45.85
45.20,44.93,46.04,44.50
44.95,46.37,46.67,44.95
46.97,46.29,47.73,46.05
46.24,45.78,46.24,45.45
45.80,45.50,45.80,44.76
45.42,45.06,45.42,44.82
44.98,44.57,45.60,44.50
44.50,45.22,45.42,44.50
45.29,45.17,45.29,44.49
45.04,44.50,45.40,44.25
44.24,45.39,45.52,44.24
45.05,45.96,46.18,45.05
45.09,45.69,46.35,45.09
46.10,45.38,46.23,45.17
45.01,44.54,45.23,44.14
44.00,43.72,44.54,43.61
43.58,44.58,44.88,43.55
44.70,43.86,45.12,43.66
43.69,44.44,44.77,43.65
44.27,43.93,44.68,43.50
44.09,44.31,44.46,43.34
43.88,43.41,44.50,42.77
42.86,42.91,42.96,41.93
42.91,42.83,42.91,42.21
42.68,42.41,42.75,42.23
42.83,42.35,42.98,42.06
41.87,41.15,42.46,41.15
41.36,41.51,41.74,40.22
40.52,40.86,41.41,40.52
41.28,39.93,41.28,39.38
39.58,39.83,40.05,39.58
40.28,42.05,42.05,39.74
42.87,41.47,42.87,41.23
41.17,41.06,41.35,40.20
41.82,39.50,41.82,39.42
39.60,40.17,40.19,38.69
40.26,39.81,40.26,39.63
39.91,41.00,41.07,39.91
40.94,42.61,42.80,40.60
42.26,42.39,43.23,41.86
42.55,43.45,44.37,42.43
43.66,42.04,43.66,41.64
42.20,40.47,42.38,40.12
41.01,42.36,42.45,40.62
41.47,42.27,42.67,41.36
42.27,42.38,42.63,42.00
42.31,43.33,43.50,42.17
42.78,43.70,43.70,42.78
44.98,44.39,45.23,43.74
44.33,45.10,45.27,44.33
44.94,46.30,46.37,44.94
46.07,45.34,46.07,44.97
44.54,44.51,44.96,44.11
44.56,45.51,45.89,44.43
45.95,45.12,45.95,45.08
45.11,45.19,45.50,44.13
44.94,45.29,45.85,43.49
45.69,47.95,48.09,45.69
47.76,47.30,47.76,47.06
47.92,47.74,47.92,47.09
47.70,47.84,48.07,47.33
47.94,47.11,47.94,47.11
46.71,45.57,46.71,45.27
44.56,43.91,44.98,43.91
44.00,43.14,44.04,42.91
43.55,43.38,43.70,42.70
44.34,43.61,44.72,43.20
44.01,45.75,45.83,43.82
45.61,45.03,45.75,44.76
44.60,44.69,45.33,44.38
44.68,42.71,45.15,42.69
42.40,43.28,44.26,42.38
44.19,45.31,45.76,44.19
45.00,45.85,46.25,44.86
46.13,45.71,46.18,45.34
45.62,45.56,45.62,45.28
45.26,44.07,45.26,43.74
44.12,43.12,44.12,42.04
43.15,43.40,43.40,42.21
43.46,42.82,43.46,42.82
42.60,43.16,43.16,42.52
42.89,44.33,44.33,42.77
44.18,45.71,45.77,44.18
45.26,45.61,45.80,44.88
45.80,46.07,46.54,45.62
46.40,46.13,46.40,45.47
46.05,46.26,46.36,45.90
45.89,46.75,46.85,45.89
46.76,46.13,46.99,45.72
46.13,46.60,46.60,46.13
46.85,46.49,46.85,46.18
45.92,45.12,45.93,45.03
45.62,45.10,45.67,45.10
45.57,46.01,46.40,45.48
45.90,46.46,46.85,45.51
46.69,46.72,46.90,46.00
46.62,46.32,46.62,46.18
46.58,46.87,46.87,46.34
46.90,47.34,47.38,46.90
47.28,48.37,48.37,47.28
48.37,49.27,50.00,47.88
49.47,49.84,49.90,49.11
49.69,49.68,49.99,49.28
49.50,49.61,49.72,48.93
49.65,49.75,49.75,49.20
49.45,49.54,49.54,49.23
49.75,49.23,50.41,49.23
49.18,49.40,49.40,48.84
49.82,49.75,50.28,49.66
49.85,49.64,49.85,49.48
49.40,50.03,50.23,49.18
49.68,49.75,50.20,49.59
50.19,50.82,50.82,50.19
50.90,50.39,50.90,49.91
50.35,50.50,51.00,49.94
50.68,50.66,51.00,50.20
50.70,50.56,50.74,50.15
50.28,50.26,50.39,49.74
50.40,50.07,50.40,50.07
50.31,49.43,50.31,49.31
49.59,49.49,49.59,49.04
49.56,48.98,49.56,48.75
49.12,49.00,49.14,48.46
49.10,48.81,49.10,48.67
49.02,49.27,49.65,49.02
48.76,48.77,50.14,48.28
48.26,47.52,48.85,47.48
47.69,47.79,48.01,47.45
47.37,48.65,48.87,47.37
48.85,48.85,48.85,48.85
49.48,49.64,50.29,49.36
49.78,49.15,49.80,49.08
49.21,49.00,49.28,48.31
49.19,49.07,49.19,48.56
49.22,48.56,49.65,48.06
47.95,48.05,48.47,47.74
48.08,48.63,48.63,48.06
47.89,46.40,48.04,46.40
46.19,46.01,46.75,46.00
45.67,45.50,46.03,45.50
46.06,45.79,46.44,45.79
45.79,46.26,46.47,45.79
48.50,49.40,50.37,48.50
49.50,49.80,49.92,49.50
49.70,49.63,50.18,49.25
47.79,47.75,47.95,47.65
47.72,48.03,48.19,47.66
48.15,48.49,48.49,47.97
48.50,48.30,48.50,48.11
48.14,48.42,48.51,48.08
48.40,48.49,48.70,48.32
48.15,48.97,48.97,48.15
49.71,49.40,49.71,49.05
49.44,49.00,49.44,48.40
49.39,49.11,49.49,48.82
49.18,49.25,49.28,48.53
49.32,49.37,49.60,49.31
49.19,49.44,49.56,49.19
49.50,49.02,49.50,48.00
49.04,48.75,49.04,48.44
48.87,48.99,49.15,48.79
49.00,48.85,49.09,48.75
49.03,49.65,50.20,49.03
49.62,49.62,50.00,49.41
49.69,50.05,50.08,49.69
50.02,50.02,50.23,49.76
50.20,49.90,50.20,49.73
49.90,49.90,50.20,49.85
50.18,50.83,50.83,49.53
50.47,50.80,50.89,50.29
50.71,51.23,51.31,50.26
51.19,51.20,51.49,50.87
51.08,52.56,52.83,51.08
52.76,53.07,53.35,52.16
54.58,57.12,57.68,54.20
57.06,56.51,57.12,55.95
56.88,56.92,57.63,56.62
56.51,56.29,56.75,56.22
56.11,55.67,56.44,55.47
56.01,55.36,57.04,55.15
55.76,54.94,56.11,54.50
55.05,53.63,55.39,53.63
53.46,54.71,54.96,53.25
54.08,54.74,54.94,53.97
54.74,54.75,55.25,54.49
54.81,54.99,55.51,54.65
54.82,56.74,57.07,54.82
56.92,56.54,56.92,55.88
56.76,56.45,57.60,56.27
56.72,56.73,56.92,56.22
56.82,56.75,56.82,56.10
56.15,57.04,57.36,56.14
56.83,57.63,57.98,56.30
57.41,57.18,57.52,56.59
56.89,56.35,57.83,55.65
56.75,57.44,57.89,55.76
57.10,56.60,57.44,56.38
57.27,57.08,57.27,56.68
55.02,56.92,57.06,55.02
56.80,55.72,57.23,55.54
55.97,54.78,55.97,53.72
55.00,54.70,55.00,54.51
54.58,54.71,54.82,54.54
54.91,54.87,54.91,54.51
55.00,54.56,55.00,54.50
54.86,54.19,54.86,54.00
54.43,54.40,54.53,53.50
54.41,54.04,55.08,53.85
54.07,54.28,54.28,53.69
54.34,54.10,55.95,53.89
54.25,52.50,54.36,52.50
52.93,53.18,53.24,52.44
53.94,53.76,53.95,53.30
53.80,53.50,53.81,53.25
53.13,53.95,54.09,53.10
54.01,54.14,54.40,53.43
55.82,54.00,55.82,53.73
54.29,54.25,54.57,54.00
54.41,55.50,55.80,53.27
55.91,56.51,56.53,55.25
56.22,55.97,56.34,54.90
55.20,55.21,55.57,54.49
55.74,55.83,56.54,55.50
56.07,56.17,56.73,55.71
56.38,53.76,56.38,53.10
53.63,52.70,53.63,52.70
53.20,52.97,53.86,52.94
53.67,53.80,54.10,53.33
53.37,55.31,55.34,53.37
55.59,56.28,56.31,55.58
56.25,55.04,56.25,54.70
55.00,55.57,55.65,54.47
55.48,54.79,56.69,54.61
55.20,53.11,55.20,53.10
53.57,52.02,53.57,52.00
52.41,51.16,52.87,51.00
51.39,51.10,51.77,51.02
51.37,52.65,53.07,51.37
51.97,52.00,52.50,51.48
52.24,51.69,52.24,51.32
51.90,51.38,52.00,51.01
51.58,52.40,52.46,51.58
52.40,51.92,52.49,51.83
51.00,51.19,51.42,51.00
51.21,47.16,51.57,47.03
47.32,47.46,47.77,46.79
47.32,45.79,48.21,44.51
46.06,46.84,47.84,46.06
46.86,47.54,48.02,46.86
47.26,48.15,48.49,47.01
48.60,48.35,49.78,46.95
48.08,47.34,48.08,46.91
47.58,47.28,47.87,46.38
47.43,48.59,49.06,47.43
49.04,50.58,50.63,49.03
50.88,52.50,52.50,50.88
51.64,46.67,52.49,46.65
47.19,48.82,49.48,46.98
49.72,51.42,51.45,49.72
50.37,51.45,51.49,50.37
51.40,51.20,51.40,50.81
50.59,50.13,50.79,49.40
50.00,47.77,50.00,47.00
47.68,48.05,48.24,47.68
48.22,47.40,48.47,47.00
47.11,47.99,48.67,47.11
47.60,47.87,48.12,47.10
48.00,48.12,48.58,47.80
48.14,50.34,50.50,48.14
49.89,51.62,51.98,49.85
51.85,52.19,53.16,51.52
52.11,50.46,52.77,50.32
50.23,51.50,52.06,50.19
51.72,53.25,53.25,51.31
54.74,54.60,55.07,54.22
54.41,54.45,55.00,54.41
54.75,55.25,55.45,54.63
54.79,53.35,54.79,52.82
53.62,55.13,55.55,53.11
55.35,55.97,56.40,55.09
55.91,55.13,56.00,55.01
55.47,55.50,55.94,55.18
55.98,55.62,56.44,55.49
56.15,57.43,57.44,56.15
56.73,57.63,58.42,56.73
58.10,57.25,58.10,55.80
57.42,58.15,58.50,57.03
57.82,57.18,58.88,56.70
57.73,56.98,57.98,56.60
57.37,58.42,58.50,56.86
58.50,58.07,58.50,57.56
57.27,56.98,57.89,56.65
