VRTX,Vertex Pharmaceuticals Incorporated - Common Stock,NASDAQ
38.78,38.54,38.99,38.36
38.60,39.55,39.64,38.42
39.06,38.77,39.83,38.69
38.77,38.97,39.29,38.38
38.49,38.47,38.96,37.95
38.20,37.55,38.68,37.00
37.68,36.90,37.68,34.26
36.83,35.90,37.09,34.93
37.50,37.55,37.62,36.97
37.22,38.11,38.46,37.02
38.06,38.77,38.94,37.78
38.24,38.48,38.92,38.10
38.39,37.46,38.56,37.14
38.06,37.56,38.73,36.69
37.76,37.09,38.08,37.07
37.11,37.42,37.72,36.78
36.76,35.58,36.88,35.48
35.34,34.12,35.64,34.06
34.05,34.26,35.20,34.00
33.61,33.95,34.09,33.12
37.72,34.74,37.82,34.64
35.21,34.44,35.35,33.11
34.28,34.59,34.76,33.77
34.54,34.19,34.87,33.62
34.14,35.41,35.41,34.01
35.62,35.54,35.71,35.16
34.72,34.45,35.24,34.42
34.35,34.12,34.86,34.06
34.01,33.05,34.34,32.68
33.12,32.58,33.32,32.40
32.83,34.09,34.09,32.68
33.62,35.01,35.06,33.39
35.14,34.67,35.54,34.61
34.77,35.09,35.15,34.72
34.77,35.05,35.17,34.60
35.24,35.75,35.85,35.00
36.72,36.82,36.92,36.32
37.06,36.78,37.25,36.65
36.70,35.32,36.92,35.19
35.27,35.27,35.63,35.00
35.01,34.61,35.28,34.50
34.84,35.06,35.31,34.58
35.16,34.71,35.20,34.23
34.27,33.06,34.48,32.82
33.13,32.90,34.10,32.85
32.83,32.30,32.91,31.25
32.45,32.22,32.79,31.92
32.73,32.17,32.99,31.86
32.26,33.04,33.12,31.95
33.19,33.80,33.93,32.87
33.83,34.18,34.27,33.52
33.90,33.47,34.51,33.27
33.69,33.80,34.12,33.43
33.75,34.10,34.16,33.48
34.17,33.77,34.67,33.67
33.80,32.47,33.80,32.14
32.43,32.76,32.96,32.35
32.35,32.63,32.63,32.12
32.70,32.15,33.13,32.13
32.48,33.05,33.39,32.38
32.88,33.05,33.16,32.00
32.89,33.96,34.61,32.80
34.02,33.88,34.35,33.65
33.88,33.19,34.39,33.02
33.24,32.61,33.56,32.00
32.36,33.66,33.85,32.00
33.93,34.51,34.61,33.82
34.32,35.24,35.64,34.31
36.17,36.26,37.95,35.93
36.07,36.11,36.22,35.43
35.86,36.54,36.60,35.57
36.74,37.00,37.09,36.71
37.00,36.75,37.55,36.06
36.19,35.75,36.39,35.35
35.50,36.29,36.57,35.37
36.02,36.19,36.52,36.02
36.07,36.30,36.69,35.97
36.53,36.28,36.69,36.06
36.12,36.37,36.75,35.80
36.36,35.36,36.45,35.14
35.24,35.58,35.74,34.76
35.81,35.22,36.19,35.19
34.96,34.11,34.96,34.11
33.90,34.48,34.63,33.78
34.49,33.38,34.49,33.30
33.55,34.45,34.74,32.88
34.32,33.62,34.62,33.61
33.16,33.31,33.59,33.00
33.68,34.91,35.06,33.58
34.71,35.45,35.45,34.42
35.79,36.06,36.08,35.50
36.23,35.01,36.26,34.84
35.12,36.05,36.08,34.75
36.25,35.89,36.64,35.73
36.08,36.47,36.51,35.83
36.52,36.75,36.85,36.50
36.62,37.44,37.55,36.62
37.36,37.24,37.44,37.04
37.00,36.79,37.45,36.56
36.83,36.25,36.91,35.93
36.43,36.50,36.71,36.09
36.38,36.22,36.55,35.99
36.19,36.17,37.10,36.04
34.68,36.12,36.25,34.66
36.55,36.88,36.95,36.17
36.74,35.69,36.79,35.67
35.98,35.53,36.19,35.37
35.45,34.94,35.57,34.84
35.30,34.57,35.52,34.51
35.01,34.42,35.08,33.98
34.33,33.95,34.76,33.78
34.43,34.72,34.79,34.27
34.63,34.26,34.83,34.16
34.66,35.12,35.18,34.06
35.11,35.31,35.41,34.50
35.05,34.93,35.06,34.68
34.75,34.30,34.75,34.11
34.87,34.30,35.00,34.30
34.84,34.92,34.97,34.31
34.93,36.03,36.21,34.87
35.98,36.89,36.90,35.89
36.60,37.06,37.16,36.32
37.24,36.54,37.24,36.46
36.63,35.85,36.64,35.50
36.00,36.43,36.46,35.72
36.73,37.32,37.45,36.73
36.89,37.58,37.75,36.46
37.06,38.35,38.37,36.85
38.50,38.30,38.50,38.00
38.09,38.30,38.48,37.94
38.58,37.95,38.70,37.64
38.17,37.28,38.25,37.12
37.18,36.68,37.37,36.35
36.98,34.77,37.19,34.69
34.71,35.06,35.14,33.83
34.88,34.51,35.00,34.15
34.57,34.27,34.62,34.05
34.30,34.44,34.77,34.24
34.20,34.99,34.99,33.89
34.66,33.77,34.66,33.77
33.98,34.56,34.67,33.95
34.36,34.10,34.40,33.70
33.97,33.64,34.03,33.40
33.87,34.92,35.10,33.87
34.78,34.25,34.78,34.16
34.32,34.29,34.61,33.85
34.00,33.44,34.00,33.10
33.69,33.84,34.13,33.69
33.65,34.28,34.37,33.56
34.08,33.87,34.09,33.31
33.41,33.13,33.62,33.03
33.64,33.46,33.87,33.38
33.40,33.37,33.54,33.15
33.37,33.49,33.66,33.11
33.40,33.10,33.58,33.02
33.58,33.09,33.77,33.00
33.15,32.43,33.44,32.28
32.58,33.17,33.24,32.08
33.30,34.13,34.54,33.28
34.25,33.95,34.39,33.72
34.04,34.20,34.35,33.98
34.17,34.38,34.70,34.09
34.31,34.59,34.82,34.18
34.53,35.45,35.73,34.31
35.75,35.56,35.83,35.20
35.58,36.32,36.40,35.46
35.84,35.11,35.98,34.89
35.06,35.39,35.56,34.89
35.32,35.26,35.47,34.69
35.26,35.26,35.45,35.07
35.34,35.47,36.04,35.28
35.25,35.34,35.49,35.22
35.37,35.03,35.44,34.97
35.20,35.99,36.23,35.19
36.02,35.49,36.22,35.32
35.56,36.84,37.07,35.56
36.60,36.20,36.80,36.18
36.26,36.16,36.36,35.72
35.95,36.29,36.54,35.71
37.66,36.79,37.85,36.52
37.04,37.21,37.28,36.59
37.31,38.55,38.55,37.19
38.56,39.42,39.42,38.32
39.46,40.00,40.11,39.46
39.92,39.45,39.97,39.20
39.34,39.90,40.12,39.23
39.94,40.06,40.12,39.70
40.00,40.43,40.62,39.78
40.30,40.20,40.88,40.00
40.36,39.75,40.63,39.57
39.75,39.39,40.04,39.23
39.86,39.01,40.44,38.66
38.94,38.89,39.16,38.34
39.15,38.85,39.50,38.83
38.93,38.97,39.68,38.90
38.51,38.80,39.10,38.50
38.88,39.46,39.92,38.51
39.02,38.33,39.20,38.20
38.76,38.48,39.07,38.13
38.40,38.13,38.59,38.07
38.07,38.16,38.84,38.07
38.13,38.46,38.52,37.77
38.40,38.97,39.04,38.40
38.77,39.49,39.51,38.76
39.44,39.65,40.15,39.10
39.50,39.85,39.99,39.40
39.76,39.16,39.77,38.95
38.74,38.22,39.15,38.00
43.60,43.97,44.68,42.71
43.70,43.58,43.97,43.24
43.62,44.84,44.98,43.31
44.92,46.67,46.75,44.34
46.57,46.04,46.75,45.72
46.07,47.28,47.82,46.01
47.83,49.95,50.83,47.03
49.86,51.07,51.10,49.07
51.01,49.62,52.13,48.91
48.89,46.80,48.99,46.60
46.53,47.43,47.81,45.88
46.72,44.80,46.80,44.63
44.70,46.45,46.62,44.24
46.01,45.44,46.40,45.35
44.49,45.71,45.94,43.87
45.48,44.25,45.48,44.01
44.92,44.55,45.39,44.24
44.68,44.39,44.90,44.15
44.91,45.29,45.61,44.88
45.23,46.16,46.26,44.95
45.92,46.08,46.31,45.41
46.20,46.91,47.22,45.83
47.00,46.58,47.25,46.35
46.83,47.34,47.60,46.32
48.40,48.90,49.22,47.82
49.30,48.48,49.81,48.39
48.44,47.93,48.83,47.25
48.00,47.59,48.20,47.21
47.91,47.49,48.11,47.22
47.32,46.74,47.60,46.52
47.28,46.42,47.37,46.16
46.50,46.91,47.25,46.15
47.00,48.16,48.20,46.88
48.28,48.22,48.94,47.57
47.85,47.97,48.20,47.44
48.15,47.40,48.34,46.82
47.00,47.59,47.90,46.69
47.75,48.02,48.11,46.79
47.56,46.99,47.66,46.15
47.00,46.82,47.15,46.38
47.36,47.98,48.45,47.36
47.84,49.37,49.87,47.84
50.00,48.04,50.48,47.52
48.93,52.92,54.99,47.18
52.83,55.54,55.79,52.75
55.54,55.54,55.54,55.54
55.99,55.05,56.21,54.50
55.00,55.05,56.70,54.87
55.00,54.74,55.27,53.97
53.51,55.31,56.10,53.30
54.87,53.19,55.10,52.95
53.82,54.54,55.38,53.55
55.38,57.65,57.94,55.22
57.82,57.05,57.89,56.12
56.74,56.25,57.00,55.31
56.15,58.01,58.87,55.68
58.25,57.48,58.36,57.03
55.87,57.27,57.86,55.41
57.15,56.51,57.86,56.12
56.68,55.42,56.68,55.24
55.89,54.79,56.00,54.16
54.51,55.00,55.61,54.15
55.05,55.81,55.83,53.55
55.81,56.26,56.47,55.55
56.32,55.57,56.64,55.06
55.17,54.28,55.47,52.85
54.01,53.54,54.46,53.38
54.33,53.99,54.68,52.98
54.48,53.02,54.69,53.01
52.90,54.50,54.68,52.88
53.65,54.76,55.42,53.40
54.36,54.37,54.89,53.80
54.27,54.17,54.93,53.83
54.09,53.14,54.23,52.96
50.25,48.07,50.50,46.15
48.01,48.20,49.01,47.48
48.24,47.24,48.67,47.20
47.44,46.78,47.61,46.60
46.65,46.42,47.44,45.97
46.38,45.59,46.50,45.20
46.20,45.01,46.38,44.57
44.78,45.16,46.25,44.58
45.22,45.85,45.97,44.68
45.57,47.21,47.89,45.50
46.37,48.02,48.15,45.89
47.99,48.59,48.79,47.50
48.42,48.72,48.74,48.06
48.97,50.73,51.48,48.71
50.81,52.27,52.27,50.23
52.39,51.99,52.78,51.71
51.49,51.70,51.92,51.08
51.84,52.19,52.22,51.62
51.89,50.17,52.00,49.82
50.21,50.13,50.33,49.05
49.22,50.67,50.74,49.22
50.22,50.27,50.86,49.77
50.15,51.41,51.83,50.05
51.57,51.49,52.33,51.18
51.00,50.33,52.44,50.18
50.28,50.68,51.28,50.24
50.07,49.57,50.83,49.33
49.99,50.92,51.07,49.90
50.62,50.20,50.64,49.46
50.47,51.17,51.84,50.33
51.27,50.98,51.51,50.63
50.48,49.45,50.79,49.34
49.47,49.55,49.87,48.12
49.22,47.92,49.35,47.15
47.92,47.98,49.80,47.51
49.89,51.86,52.63,48.45
52.39,50.94,53.00,50.15
50.73,49.05,51.44,48.96
48.90,47.90,49.00,46.50
47.08,44.19,47.38,43.86
44.18,43.00,46.70,41.48
41.96,40.00,42.34,39.06
40.64,44.45,44.47,40.05
42.45,41.78,44.36,41.75
41.89,43.37,44.00,41.31
42.72,44.49,45.15,42.72
44.72,46.31,46.33,44.49
45.98,46.16,46.47,45.19
46.76,46.65,47.81,45.80
45.68,45.29,46.11,44.55
44.68,46.49,47.90,44.53
47.53,45.48,47.53,44.63
45.64,46.98,47.00,44.45
46.94,46.53,47.15,45.22
46.74,45.41,47.20,45.30
45.04,45.26,45.90,43.34
45.00,43.95,45.33,43.66
44.39,45.27,45.63,43.82
45.43,45.27,46.67,45.02
45.59,45.11,46.34,44.80
44.29,44.59,45.83,44.15
43.67,45.57,45.87,43.25
46.33,46.94,46.98,45.94
46.43,47.57,48.26,46.00
47.02,45.81,47.27,45.25
45.01,47.78,47.79,44.95
47.98,50.21,50.47,47.53
50.23,50.55,51.17,49.50
51.06,50.12,51.17,49.73
50.30,50.52,51.11,50.03
49.78,50.18,50.79,48.45
50.36,52.05,52.86,50.01
51.98,53.18,54.38,51.52
51.48,49.31,51.98,47.96
48.98,50.73,51.05,48.86
50.80,48.88,51.15,46.69
49.28,47.70,50.06,47.39
47.79,45.69,47.91,45.51
46.45,44.51,46.85,43.36
43.91,44.46,45.44,43.70
44.28,40.49,44.28,40.08
40.63,43.29,43.45,40.34
43.49,45.12,45.26,42.53
45.01,44.63,45.19,43.72
44.53,44.44,45.24,43.26
44.00,40.41,44.05,39.94
40.41,39.95,41.36,37.27
40.70,40.24,41.10,38.55
43.88,43.88,44.20,42.50
43.81,43.28,43.81,41.55
41.50,40.09,42.85,39.37
40.12,40.94,41.44,40.09
41.10,40.17,41.32,40.05
40.27,42.28,42.65,39.87
42.31,41.74,43.16,40.45
41.62,44.01,44.04,40.45
43.81,43.33,44.00,42.86
43.67,42.89,43.72,40.56
44.00,42.58,44.25,41.44
42.75,41.58,42.75,39.76
40.30,39.59,40.62,39.47
37.49,37.78,38.50,36.86
38.11,36.90,38.42,36.43
37.42,36.63,37.76,35.45
36.29,36.63,37.05,34.95
34.95,33.22,35.10,32.92
32.68,30.45,32.68,30.18
30.04,30.86,31.40,29.24
31.52,31.98,32.66,31.21
32.04,31.39,32.18,31.38
31.01,30.03,31.10,29.57
29.96,29.70,30.20,29.44
29.61,29.26,30.00,29.18
29.18,29.01,29.62,28.78
28.94,28.29,29.01,27.84
28.08,27.56,28.49,27.38
27.57,27.92,28.31,27.34
27.75,26.94,27.89,26.89
26.80,26.60,27.23,26.50
27.12,27.24,27.55,26.80
27.32,27.33,27.57,26.75
27.72,28.99,29.00,27.52
28.68,29.39,29.47,28.55
29.57,29.25,29.85,29.08
29.45,29.60,29.75,28.57
29.71,29.66,30.00,29.29
29.57,29.65,29.91,28.94
29.59,28.56,29.73,28.46
29.80,29.37,29.82,29.02
29.30,29.35,29.43,28.71
29.57,28.66,29.62,28.49
29.41,30.54,30.85,29.12
30.84,31.43,32.46,30.32
32.69,33.91,34.08,32.23
34.97,33.21,34.97,32.94
33.71,33.40,34.45,33.22
33.33,32.99,33.57,32.62
32.91,33.02,33.28,32.55
33.05,32.84,33.43,32.55
32.83,33.25,33.54,32.58
33.29,32.44,33.32,32.10
32.38,32.76,32.83,32.00
32.71,33.21,33.40,32.45
33.82,32.23,33.99,32.21
32.22,32.20,32.59,32.04
32.25,33.12,33.54,32.16
33.21,34.05,34.54,33.14
35.00,35.68,36.17,34.63
35.97,36.32,36.54,35.50
36.44,37.32,37.45,35.74
37.30,37.07,37.47,36.00
36.86,36.81,36.86,35.98
36.72,36.51,37.30,36.25
36.60,37.47,37.59,36.25
37.50,36.97,37.89,36.82
36.98,36.31,37.15,36.19
36.40,35.86,36.88,35.23
35.80,34.99,35.91,34.91
35.19,35.46,35.73,34.72
35.42,35.72,35.97,35.30
35.46,35.98,36.12,35.38
35.25,34.74,35.49,34.10
34.90,36.95,38.62,34.75
37.45,37.83,38.00,36.30
37.95,38.38,38.50,37.22
37.54,36.78,38.10,35.43
35.64,38.24,38.41,35.64
38.28,37.59,38.28,36.98
37.11,36.78,37.39,36.45
37.13,37.04,37.23,35.98
36.83,36.13,37.00,36.06
36.47,36.15,36.55,36.02
36.15,36.13,36.81,36.02
36.30,36.48,36.70,36.04
36.59,37.49,37.89,36.53
40.70,39.24,40.70,39.00
39.25,37.77,39.38,37.35
37.68,37.60,37.96,37.22
37.71,38.64,39.20,37.50
38.90,38.39,39.00,38.00
38.19,38.69,38.92,37.76
38.70,38.25,38.74,38.15
38.24,38.92,39.48,38.18
38.93,40.37,40.79,38.31
40.19,40.73,40.91,40.00
40.50,40.40,40.81,40.15
40.10,39.69,40.22,38.90
39.75,40.73,40.89,39.70
40.79,41.66,41.93,40.58
41.65,41.79,42.20,41.38
41.81,41.62,42.19,41.51
41.86,41.72,41.99,41.13
41.86,41.32,42.20,41.26
41.40,42.81,43.13,41.27
42.62,42.94,43.07,41.96
41.72,41.64,43.04,41.50
41.53,40.92,41.70,40.83
40.97,41.09,41.72,40.65
41.08,40.64,41.46,40.17
40.75,41.34,41.50,40.38
41.36,40.93,41.56,40.37
40.69,40.95,41.43,40.69
41.08,40.44,42.00,40.27
40.21,40.54,40.82,39.79
40.88,41.01,41.35,40.51
40.74,40.48,40.90,39.83
40.43,41.80,41.85,40.21
41.60,40.57,41.92,40.43
40.37,40.05,40.67,39.62
39.58,38.11,39.58,37.86
38.00,36.56,38.07,36.51
36.86,37.03,37.49,36.56
36.94,37.71,38.00,36.91
37.64,36.17,37.64,36.15
36.14,35.49,36.37,35.26
35.80,36.42,37.13,35.76
36.05,35.56,36.29,35.51
35.49,36.66,37.05,35.40
36.76,36.58,36.84,36.09
36.16,36.67,36.80,35.60
36.61,36.59,37.04,36.22
36.91,37.67,38.07,36.75
37.66,37.52,38.02,37.22
36.88,38.62,39.24,36.76
38.51,38.48,38.82,37.74
38.40,38.45,39.08,38.00
37.71,38.36,38.76,37.71
38.47,38.11,38.70,37.92
38.00,37.41,38.29,37.27
52.12,58.12,58.75,51.85
57.56,64.16,64.50,57.56
61.04,60.35,63.00,59.25
59.13,60.19,61.03,58.95
59.76,62.02,62.22,59.40
63.12,64.70,65.37,62.76
64.37,63.38,66.10,62.88
63.15,62.61,64.26,62.57
62.99,61.27,62.99,61.21
61.18,61.34,61.64,59.61
61.90,62.10,62.84,61.01
61.97,63.09,63.94,61.57
62.52,63.94,64.03,62.02
63.78,64.09,64.09,62.20
64.53,64.85,64.94,63.67
50.14,57.80,58.18,50.00
57.72,60.18,61.45,56.48
59.71,60.04,60.55,59.59
59.23,59.56,60.54,58.56
59.49,57.70,59.63,57.05
57.60,58.56,59.52,57.50
59.01,57.84,59.16,57.65
58.42,56.77,58.52,56.15
57.10,56.98,57.75,55.46
56.91,54.90,57.04,54.62
54.98,55.95,56.34,54.90
55.98,55.46,57.12,55.10
55.25,55.94,56.32,54.02
56.14,56.54,56.96,55.78
56.27,57.77,59.25,56.26
58.04,57.23,58.77,56.87
57.50,59.15,59.27,57.04
59.19,57.60,59.37,57.39
57.87,60.61,60.61,57.20
60.08,58.43,60.32,57.89
58.80,59.62,60.00,58.43
60.78,61.11,61.18,59.19
53.93,51.18,56.67,47.86
53.24,55.92,56.50,52.29
56.10,55.56,56.17,54.50
55.63,55.46,56.00,54.43
55.51,55.51,56.03,55.31
55.53,54.66,55.77,54.13
55.45,54.14,55.59,53.89
54.58,54.16,55.23,53.99
54.39,52.76,54.73,52.55
52.40,52.94,53.88,51.86
52.99,53.55,53.72,52.88
52.65,52.40,53.71,51.56
52.45,52.71,53.32,51.90
52.66,53.61,53.87,52.49
53.53,52.10,53.58,51.64
52.23,51.27,52.40,51.21
50.67,49.77,50.67,49.22
49.73,48.37,50.00,48.10
48.35,49.08,49.39,48.10
49.61,49.08,49.94,48.62
50.23,49.32,50.99,49.02
49.50,49.96,50.49,49.50
49.77,48.51,50.54,46.03
48.63,49.16,50.22,48.30
50.00,49.62,50.79,49.28
50.20,49.34,50.66,49.23
49.70,51.94,52.37,49.39
52.30,51.51,52.31,51.19
51.88,50.81,52.28,50.48
50.71,51.51,52.18,50.71
51.26,51.66,52.20,51.14
51.44,51.42,51.90,50.80
51.62,53.53,54.42,51.62
53.40,54.42,54.74,53.26
54.22,54.48,57.13,54.08
54.70,54.78,55.09,54.26
54.62,54.88,54.93,53.75
54.83,54.63,55.38,54.07
54.53,54.67,55.20,54.29
54.51,53.87,54.66,53.57
53.99,53.56,54.81,53.46
53.86,53.51,54.50,53.18
53.51,54.09,54.42,52.75
54.00,53.32,54.67,52.79
53.21,53.28,53.80,52.93
53.73,53.33,54.27,52.73
53.30,54.53,54.86,52.63
54.43,54.99,55.49,54.06
55.05,57.44,57.92,54.81
57.27,57.10,57.58,56.31
57.71,56.64,57.99,56.40
56.63,56.05,56.64,55.66
56.37,55.74,56.74,55.28
55.98,56.21,57.08,55.17
56.32,58.08,58.22,56.32
57.50,57.54,57.98,57.23
57.33,57.45,58.15,56.99
57.51,57.90,58.13,57.03
57.58,58.13,58.77,57.01
58.19,59.04,59.50,57.49
59.00,58.72,59.98,58.26
58.99,56.26,59.05,56.11
56.13,54.77,56.46,54.62
54.73,55.66,56.03,54.19
55.58,55.89,56.88,55.06
55.92,56.44,57.02,55.47
57.05,57.28,57.89,56.60
57.42,57.76,58.15,57.37
58.03,59.39,59.65,58.00
59.56,59.42,59.97,59.26
60.00,58.49,60.00,57.70
59.55,58.48,59.69,57.89
58.50,57.00,58.69,56.38
57.35,56.88,60.00,53.50
57.11,53.53,57.75,53.25
53.61,53.24,54.26,52.22
53.10,53.29,54.39,52.77
53.13,53.95,54.08,52.36
53.79,52.63,53.79,51.84
52.26,50.24,52.42,49.75
50.20,49.87,50.59,48.79
49.26,49.63,49.75,47.97
49.76,49.50,50.20,48.82
49.91,50.11,50.42,49.12
49.83,49.56,50.30,49.14
49.88,48.28,49.88,47.39
49.01,50.48,52.30,48.60
45.54,45.01,46.00,42.14
45.00,46.41,46.94,44.90
46.52,46.15,46.76,45.91
45.92,45.53,46.17,45.10
45.38,44.61,45.58,44.48
44.61,45.01,45.91,44.33
42.70,44.00,45.00,42.70
43.89,44.10,44.94,43.63
43.81,42.16,44.31,41.97
41.71,40.66,42.25,39.81
40.46,41.22,42.14,40.18
41.63,41.43,41.72,40.71
41.41,42.16,42.48,41.33
42.11,41.11,42.15,40.69
41.36,41.46,41.80,41.17
41.39,40.50,41.46,40.26
40.66,39.98,40.74,39.85
38.94,39.53,39.65,38.44
39.72,39.74,40.25,39.50
39.74,39.79,40.17,39.56
39.82,39.08,40.07,38.72
39.23,39.49,39.90,39.23
39.63,39.18,39.65,39.12
39.29,39.10,39.40,38.80
39.27,38.88,39.30,38.70
39.12,40.25,40.31,38.67
40.25,41.84,41.96,40.20
42.07,42.25,43.28,41.75
42.06,42.15,42.61,42.02
41.73,41.79,42.25,41.61
41.80,41.81,42.14,41.44
41.92,43.33,43.37,41.92
42.80,43.02,44.39,42.75
42.97,43.34,43.46,42.51
43.00,43.04,43.48,42.39
43.03,42.49,43.53,42.09
42.47,41.75,42.47,41.64
41.69,41.76,41.98,41.23
41.38,40.94,41.85,40.94
40.87,41.90,42.06,40.34
42.87,43.65,43.69,42.72
43.70,45.15,45.30,43.31
45.35,45.85,46.51,45.20
45.88,47.29,47.44,45.75
47.44,48.50,48.57,47.07
48.54,48.25,48.70,47.52
48.59,46.80,48.63,46.25
47.04,47.31,47.42,46.31
47.12,47.34,47.75,46.79
45.77,47.08,47.60,45.31
47.08,46.45,47.36,46.34
46.60,46.79,47.32,46.48
46.48,46.31,46.66,45.54
46.21,47.07,47.12,45.69
46.91,46.50,47.29,46.47
46.63,47.32,47.75,46.50
47.69,46.85,47.69,46.70
46.21,45.92,46.69,45.65
46.11,46.39,46.66,46.03
46.51,44.65,46.55,43.57
44.48,44.78,45.25,44.27
45.05,45.44,46.00,44.78
44.66,44.63,45.45,44.59
44.63,45.60,45.67,44.55
45.29,45.86,46.15,45.29
46.11,45.65,46.24,44.96
45.84,46.00,46.37,45.70
46.48,45.70,46.48,45.60
45.81,45.89,46.20,45.50
46.02,46.48,46.72,45.79
46.39,45.66,46.46,45.35
45.64,45.61,45.98,45.35
45.60,46.52,46.55,45.50
46.48,45.44,47.08,45.41
45.21,44.82,45.67,44.77
45.08,45.91,45.92,44.82
46.14,44.86,46.30,44.84
44.98,44.18,45.11,43.69
44.44,46.97,47.23,44.20
46.89,46.82,48.15,46.59
46.55,46.17,46.58,45.52
46.02,46.31,46.54,45.59
46.63,48.33,48.34,46.20
48.41,49.51,49.83,48.10
49.51,50.17,50.36,49.22
50.28,52.81,52.92,50.09
52.45,52.55,53.03,52.15
52.48,52.41,52.96,51.90
52.47,52.77,53.02,52.23
52.98,52.79,52.98,52.05
52.59,52.31,52.94,51.87
51.82,51.37,51.98,51.14
51.67,51.90,52.45,51.39
52.33,52.48,52.66,51.93
52.04,52.24,52.95,51.85
52.55,53.74,54.15,52.55
53.94,54.26,54.98,53.35
54.36,54.34,54.75,53.36
53.95,54.83,54.89,53.51
54.56,54.97,55.93,54.55
55.00,54.00,55.55,53.72
54.52,53.93,55.48,53.73
54.45,52.63,54.55,52.43
53.59,52.95,53.63,52.03
52.25,53.23,53.33,51.55
52.65,52.74,53.13,51.28
52.95,52.60,53.16,51.91
53.45,54.84,55.04,52.95
54.72,54.83,55.73,53.64
54.85,55.74,55.90,54.31
55.54,54.06,55.79,53.82
54.59,54.39,54.74,53.25
54.06,54.04,54.32,52.77
54.14,52.87,54.15,51.96
81.55,85.60,85.90,80.10
84.40,82.33,87.47,80.90
83.24,83.53,85.22,82.77
81.27,81.05,81.56,78.78
80.96,80.32,81.19,79.39
80.32,79.02,80.90,78.37
79.00,78.33,80.41,78.25
77.88,76.82,78.04,75.96
77.35,76.83,79.23,76.67
76.30,77.72,78.04,76.16
75.90,75.99,79.41,74.61
76.12,77.25,77.80,75.51
76.92,76.40,77.39,75.98
76.42,75.43,76.43,74.82
75.23,76.78,77.13,74.95
76.61,80.43,81.04,76.53
79.53,80.15,81.83,79.17
80.27,81.01,81.76,80.16
80.20,79.42,81.00,78.38
78.67,77.89,79.31,75.85
78.72,79.49,79.54,77.69
79.03,77.38,79.57,77.08
77.61,79.47,79.87,77.49
79.40,78.43,81.45,77.67
78.19,78.48,79.47,77.16
77.50,78.40,78.46,76.73
79.28,78.02,79.61,76.94
77.46,78.39,78.96,76.97
78.43,83.14,83.94,78.26
82.18,80.33,82.97,80.11
80.83,79.33,81.00,77.46
78.77,78.36,80.18,78.03
78.38,76.95,79.45,76.16
77.30,78.02,79.15,77.10
77.99,82.81,84.72,77.97
82.66,83.14,83.17,80.71
81.92,81.40,84.84,81.09
82.08,80.23,83.02,79.79
82.25,82.66,84.62,78.79
82.32,80.31,82.85,79.91
81.22,78.75,81.50,77.56
79.08,78.80,79.59,77.45
