MKL,Markel Corporation Common Stock,NASDAQ
359.00,359.60,363.52,359.00
362.50,362.97,366.59,360.42
360.00,358.00,364.43,357.16
359.00,356.35,361.30,352.00
359.33,359.59,363.49,358.03
358.56,361.00,363.54,358.56
359.13,362.36,364.06,358.76
360.41,357.05,363.68,356.42
359.00,358.28,363.38,356.14
356.30,355.50,358.90,355.40
354.68,356.20,358.07,351.39
354.15,353.49,355.65,350.89
356.01,353.00,356.90,349.97
353.00,361.62,361.62,351.81
359.70,361.22,361.22,353.73
359.17,361.50,362.22,357.93
362.50,357.75,364.99,355.76
357.01,359.59,359.59,350.00
362.13,360.35,362.13,355.51
362.50,362.68,363.30,356.50
363.45,369.02,369.22,362.95
369.00,368.05,371.69,366.62
366.17,369.20,372.45,364.39
371.98,377.25,381.87,371.98
378.42,378.00,380.47,377.33
379.00,378.73,380.93,375.38
381.93,380.75,381.93,375.77
381.82,383.60,386.00,380.33
383.95,379.08,386.87,379.08
378.01,378.00,380.50,377.39
377.48,378.85,381.00,374.80
378.62,377.50,381.70,377.38
376.55,374.67,377.51,374.07
372.73,378.13,381.11,372.73
379.63,390.23,390.96,379.44
391.92,390.08,391.92,387.50
390.00,393.45,393.48,387.72
393.12,389.66,393.87,389.15
390.00,393.03,393.17,389.43
390.90,392.89,393.99,390.30
393.63,393.22,393.95,391.41
394.25,391.57,395.00,390.17
390.61,390.08,392.99,389.70
390.00,393.35,393.35,389.70
392.97,391.68,392.97,390.15
391.48,390.15,391.51,389.96
390.00,391.00,391.50,389.36
392.00,392.99,393.31,389.50
392.89,396.00,396.00,391.97
395.00,401.60,403.96,395.00
401.56,400.80,406.36,399.06
399.50,400.63,401.87,399.50
400.05,399.18,401.42,399.18
401.01,402.50,405.41,400.60
405.39,403.75,405.46,400.75
401.58,401.70,404.30,401.05
402.50,410.00,411.69,402.50
410.00,412.00,414.33,409.73
411.57,414.80,416.92,411.57
415.84,416.05,417.48,411.56
414.28,416.70,417.23,412.92
415.52,416.30,418.18,415.03
414.60,419.10,419.99,414.55
419.10,416.60,419.10,415.14
417.25,416.26,418.31,416.26
