JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,NASDAQ
8.01,7.83,8.14,7.77
8.11,8.27,8.41,7.73
8.35,8.44,8.50,8.28
8.52,8.23,8.62,8.16
8.34,8.33,8.38,8.21
8.44,8.59,8.60,8.29
8.55,8.70,8.71,8.55
8.68,8.59,8.68,8.40
8.77,8.75,8.79,8.60
8.79,8.72,8.79,8.64
8.74,8.65,8.83,8.44
8.58,8.50,8.61,8.26
8.52,8.64,8.77,8.52
8.49,8.70,8.75,8.38
8.76,8.60,8.78,8.50
8.63,8.74,8.76,8.50
8.76,8.76,8.90,8.68
8.87,8.74,8.92,8.70
8.74,8.60,8.77,8.53
8.54,8.40,8.60,8.36
8.47,8.62,8.66,8.41
8.47,8.70,8.77,8.47
8.88,8.96,9.54,8.75
8.98,9.13,9.31,8.91
9.25,9.17,9.30,9.00
9.27,9.20,9.49,9.15
9.17,9.50,9.56,9.12
9.58,9.58,9.65,9.47
9.48,9.45,9.55,9.16
9.68,10.50,10.73,9.40
10.54,10.95,11.08,10.30
11.00,10.38,11.08,10.30
10.35,10.28,10.62,10.08
10.36,10.25,10.36,9.88
11.47,10.61,11.90,10.56
10.62,10.23,10.64,9.95
10.23,10.23,10.23,10.23
7.61,7.96,8.12,7.51
7.79,8.13,8.23,7.75
8.00,8.23,8.26,7.98
8.23,8.18,8.30,8.15
8.24,8.57,8.61,8.08
8.55,8.50,8.65,8.32
8.50,8.92,9.13,8.48
9.09,9.27,9.35,8.95
9.50,9.81,9.85,9.41
9.90,9.71,10.01,9.37
9.73,9.67,9.77,9.45
9.67,9.82,9.87,9.67
9.94,9.81,9.96,9.72
9.82,9.86,9.95,9.73
10.17,9.85,10.17,9.78
9.81,9.89,9.94,9.79
9.87,9.89,9.97,9.83
9.85,9.62,9.87,9.62
9.76,9.60,9.90,9.39
9.97,10.34,10.84,9.71
10.27,10.40,10.55,10.10
10.32,10.32,10.58,10.24
10.03,10.17,10.25,10.01
10.29,10.31,10.33,10.11
10.30,10.25,10.30,9.98
10.59,10.81,10.98,10.55
10.75,10.58,10.76,10.44
10.70,10.73,10.78,10.52
10.83,10.93,10.93,10.67
10.89,10.51,10.97,10.47
10.64,10.26,10.88,9.61
10.21,10.32,10.39,10.14
10.35,10.38,10.41,10.00
10.38,10.11,10.59,10.09
9.72,10.51,10.65,9.66
10.25,10.69,10.79,10.13
10.78,10.95,10.99,10.59
10.95,11.55,11.57,10.81
11.68,11.31,11.70,10.94
11.31,11.20,11.49,11.11
11.02,10.81,11.11,10.62
10.90,10.85,10.99,10.60
10.99,10.90,11.18,10.75
10.98,11.00,11.02,10.68
11.07,11.13,11.36,11.07
11.04,11.04,11.20,10.93
10.99,10.79,10.99,10.68
10.88,10.62,10.88,10.56
10.64,10.63,10.70,10.51
10.76,11.23,11.30,10.76
11.39,12.22,12.86,11.39
12.15,12.20,12.22,11.95
12.19,12.40,12.70,12.05
13.89,14.28,14.83,13.55
14.49,14.97,15.32,14.38
15.04,14.75,15.09,14.61
14.67,14.98,15.00,14.33
14.80,15.12,15.29,14.78
14.77,15.05,15.23,14.77
15.07,15.15,15.50,14.88
15.10,15.12,15.39,14.80
15.18,15.05,15.27,14.93
15.18,16.32,16.47,14.98
16.33,16.80,17.06,16.13
16.85,16.34,16.85,15.93
16.25,16.36,16.40,15.74
16.49,16.80,16.91,16.33
16.72,16.53,16.75,16.08
16.46,16.72,16.85,16.12
16.60,16.65,17.25,16.30
16.80,17.52,17.55,16.67
17.44,17.70,17.87,17.38
17.59,17.98,18.08,17.56
17.98,18.57,19.08,17.84
18.80,18.69,19.22,18.35
18.63,18.51,18.80,18.21
18.54,18.42,18.89,18.35
18.47,18.95,19.03,18.37
18.98,18.27,19.02,18.26
18.34,17.96,18.43,17.57
17.88,18.61,18.69,17.48
18.57,18.56,18.70,18.09
18.65,19.00,19.41,18.64
19.04,19.52,19.66,18.82
19.80,19.97,20.17,19.62
20.17,19.90,20.28,19.55
19.93,19.83,20.03,19.61
19.84,19.90,20.00,19.64
19.97,19.82,19.97,19.73
19.93,20.00,20.27,19.85
20.10,19.83,20.10,19.82
19.88,19.68,20.02,19.65
19.88,19.96,20.15,19.75
20.17,19.43,20.23,19.19
19.27,19.83,20.00,18.89
19.99,19.82,20.20,19.67
19.82,19.76,19.99,19.45
19.74,21.55,21.75,18.85
21.95,21.10,21.97,21.03
21.44,23.10,23.30,21.18
23.44,22.45,23.57,21.98
22.63,22.35,22.87,22.03
22.49,23.30,23.40,22.25
23.39,22.31,23.75,22.16
22.13,21.72,22.30,21.09
21.94,22.02,22.38,21.49
22.19,21.93,22.32,21.76
21.91,21.78,21.92,21.42
21.87,22.50,22.70,21.35
22.56,22.78,22.92,22.22
22.80,22.32,23.00,22.24
22.40,22.36,22.80,20.74
22.93,22.58,23.38,22.53
22.58,22.44,23.02,22.34
22.31,22.05,22.50,21.57
22.01,21.88,22.10,21.60
22.14,22.15,22.60,21.96
22.17,23.30,23.57,22.05
23.38,22.85,23.40,22.45
22.46,22.97,23.35,22.00
22.90,22.88,23.04,22.54
23.24,23.19,23.35,22.96
23.15,24.22,25.23,23.15
24.60,23.83,25.48,23.74
23.71,23.45,23.72,22.23
23.63,23.27,23.74,22.97
22.96,23.51,23.75,22.38
23.75,23.65,24.18,23.27
23.76,23.88,24.04,23.52
24.06,24.48,24.60,23.86
24.81,24.63,25.45,24.39
24.92,24.32,24.92,24.07
24.27,25.22,25.31,24.05
25.50,26.26,26.89,25.31
26.46,27.11,27.13,26.21
27.50,27.30,27.50,26.21
29.06,27.70,29.73,26.60
27.62,28.22,28.53,27.03
28.01,27.46,28.28,27.01
27.08,28.75,29.20,26.92
28.67,28.78,28.85,28.01
27.58,28.99,29.40,27.36
29.16,28.67,29.82,28.37
29.03,28.57,29.39,27.91
29.22,29.21,29.47,28.23
29.57,29.98,30.08,29.12
29.97,29.41,30.00,29.13
29.40,29.45,29.76,29.08
29.60,30.00,30.15,29.44
30.06,29.83,30.20,29.73
30.00,30.00,30.35,29.87
30.05,32.12,32.34,30.00
32.60,33.11,33.83,32.43
33.16,31.85,33.72,31.77
32.14,31.82,32.89,31.25
32.00,32.13,32.36,31.56
32.00,33.52,33.67,31.94
33.90,33.35,33.95,32.10
33.31,33.41,34.17,33.15
33.49,34.13,34.25,33.48
34.10,33.75,34.44,33.53
33.62,33.38,33.73,32.77
33.84,34.26,34.36,33.51
34.00,34.17,34.54,33.79
34.15,34.52,34.62,33.98
34.42,34.21,34.47,33.02
34.44,34.50,34.97,33.86
34.96,34.22,34.97,34.09
34.44,33.63,34.44,32.83
33.48,33.50,34.08,33.21
33.78,33.50,34.42,33.41
33.59,32.93,33.70,23.50
32.80,32.18,32.86,31.95
32.07,31.91,32.26,31.17
32.10,32.48,33.18,32.10
32.45,31.88,32.45,30.60
31.90,29.64,33.24,29.14
28.90,29.83,30.75,28.54
30.07,29.27,30.45,29.09
30.00,30.45,30.51,29.60
29.99,30.20,30.47,29.75
30.24,29.99,30.39,29.88
29.74,29.26,30.06,29.10
29.21,28.37,29.55,28.16
28.12,27.10,28.30,26.95
26.69,27.06,27.50,26.20
26.95,27.99,28.22,26.61
27.90,27.42,28.02,27.00
27.14,27.69,27.94,27.01
27.16,26.63,27.16,26.50
26.62,26.52,27.39,26.51
26.41,27.11,27.20,26.17
27.02,27.90,27.99,26.80
27.90,28.21,28.41,27.78
29.87,29.29,29.87,28.70
29.08,29.56,29.68,29.00
29.50,29.00,29.62,28.70
28.53,28.76,29.19,28.53
28.59,28.03,28.86,28.00
28.02,28.17,28.50,27.72
27.86,27.03,28.16,26.82
27.05,27.47,27.66,26.94
27.32,26.94,27.32,26.43
26.91,26.90,27.65,26.72
27.13,27.70,27.95,26.96
27.37,28.71,29.08,27.01
28.66,29.09,29.13,28.09
29.46,29.23,29.50,28.95
29.20,29.32,29.74,28.95
29.63,30.89,30.99,29.21
30.75,31.38,31.62,30.52
30.98,32.00,32.18,30.14
31.88,31.82,32.24,31.20
31.82,32.18,32.29,31.38
32.13,32.18,32.46,31.90
32.34,32.71,32.97,31.90
32.73,33.35,33.44,32.62
33.41,34.80,34.88,33.01
34.94,35.64,36.47,33.93
35.44,35.38,35.98,35.03
35.80,35.17,35.96,34.95
34.66,35.57,35.64,34.22
35.33,34.70,35.55,34.03
34.92,34.54,35.00,34.25
34.86,34.98,36.06,34.60
35.31,37.07,37.41,35.02
37.58,37.04,38.00,36.63
36.94,37.22,37.51,36.60
37.62,38.48,38.74,37.12
38.65,37.94,39.08,37.60
38.29,37.56,38.29,36.86
37.59,38.58,39.08,37.24
38.40,37.57,38.54,37.47
37.60,36.80,38.05,36.11
36.40,35.28,36.60,34.55
34.58,35.27,36.28,34.00
34.96,40.47,41.76,34.69
43.59,41.84,43.60,40.30
42.08,39.77,42.19,39.64
39.62,38.37,39.89,36.28
37.24,36.10,38.96,35.79
36.23,35.77,36.76,32.56
34.31,32.70,35.16,31.87
33.40,36.29,36.35,32.66
35.57,37.61,39.00,34.50
37.87,39.63,40.04,37.25
39.76,39.86,41.88,39.30
40.66,40.81,41.37,39.79
40.12,38.95,40.42,38.60
39.26,38.63,39.97,37.48
37.18,35.88,37.19,34.74
35.10,34.40,36.24,33.62
35.06,34.05,35.44,33.26
34.27,37.32,37.61,34.01
37.30,37.27,37.91,36.50
37.65,36.70,38.00,36.50
36.44,38.04,38.07,35.08
38.78,40.00,40.47,38.75
39.94,42.50,42.66,39.75
43.53,42.89,44.05,41.04
42.46,41.75,43.36,41.40
40.57,41.80,43.21,40.21
40.13,41.67,41.77,38.44
42.28,43.61,44.45,42.28
43.80,43.36,44.53,42.89
42.90,41.81,43.49,41.10
41.08,42.99,43.70,40.27
43.30,43.11,43.39,42.00
43.81,42.81,43.84,42.21
42.98,43.46,43.71,41.96
43.70,42.89,45.00,42.61
42.51,43.74,44.14,41.26
44.24,46.80,47.88,43.26
47.26,45.98,47.88,45.80
43.11,43.96,45.16,41.30
43.39,43.50,44.51,42.75
43.98,43.22,44.33,40.80
43.99,45.04,46.62,43.76
45.25,43.53,45.90,43.32
44.24,41.68,44.95,39.23
41.37,41.50,43.47,40.89
41.02,37.35,42.67,37.35
36.13,39.58,39.77,36.00
39.67,40.46,41.50,38.45
40.34,41.51,41.63,39.40
41.68,41.66,42.83,40.41
42.69,43.71,44.34,42.48
43.50,44.27,44.68,42.88
44.76,43.83,45.81,43.74
43.87,43.47,44.18,42.40
43.97,44.14,44.32,42.87
44.32,43.02,44.67,42.92
41.38,40.34,42.95,39.10
39.77,38.05,40.89,37.60
37.36,37.75,38.41,36.90
38.41,39.42,39.63,38.16
39.21,39.05,40.29,38.11
38.49,37.14,38.94,36.98
37.80,38.49,38.78,37.15
39.97,39.86,40.25,38.92
39.71,40.01,40.41,39.25
39.45,38.96,40.00,38.77
38.00,37.80,38.84,37.22
39.41,37.74,40.78,36.50
38.17,37.46,38.34,36.77
37.45,34.99,37.66,34.07
34.33,35.02,35.46,34.26
35.31,34.88,35.48,34.21
34.12,34.80,36.19,34.02
35.26,34.95,35.74,34.30
35.40,36.78,37.69,34.99
36.77,38.30,38.62,36.37
38.78,39.41,40.06,38.54
39.16,38.43,39.84,38.22
38.22,37.88,39.17,37.45
37.90,37.30,38.46,37.08
36.79,37.30,38.18,35.53
37.37,37.43,38.30,37.02
37.25,36.93,37.67,36.90
36.62,35.77,36.77,35.64
36.31,36.51,37.31,35.77
36.55,36.92,37.18,36.06
37.97,39.62,39.62,37.52
39.16,38.74,39.50,38.42
38.86,39.03,39.95,38.84
39.38,40.67,40.84,39.10
40.33,39.84,40.79,39.32
39.70,38.96,39.79,38.69
38.00,36.64,38.50,36.48
36.99,36.75,37.40,36.04
36.55,35.63,36.94,35.49
36.04,35.69,36.86,35.49
35.33,34.99,36.45,34.39
35.35,36.18,36.40,34.56
36.61,36.98,37.22,36.21
37.16,36.59,37.47,36.38
37.35,37.46,37.69,36.71
37.35,37.55,37.64,36.29
37.61,38.41,38.48,37.58
38.63,39.18,39.24,38.26
38.83,39.21,39.40,38.10
39.22,38.17,39.40,37.98
38.02,38.39,38.78,37.60
37.98,38.63,38.97,37.98
38.02,38.59,39.47,37.90
38.52,40.79,41.75,38.37
40.69,41.46,41.76,39.85
43.05,45.39,46.65,43.00
45.98,48.20,48.79,45.61
49.10,48.52,49.14,47.66
48.59,48.60,48.79,47.75
48.77,46.78,48.77,46.23
46.57,46.70,47.77,46.29
47.28,46.64,47.82,46.47
46.50,47.34,48.17,44.61
47.00,46.56,48.09,46.29
46.36,45.98,46.77,45.95
46.00,47.03,47.90,45.64
47.00,46.00,47.00,45.16
46.94,45.96,46.94,45.38
46.26,46.52,46.75,45.30
46.12,47.98,48.79,45.81
47.90,46.76,50.46,46.13
46.70,46.50,47.18,45.09
46.67,48.44,48.90,46.42
48.33,47.78,48.62,47.60
48.47,48.01,48.55,47.38
48.01,50.37,51.00,47.83
50.77,50.54,50.86,49.75
50.61,49.97,51.36,49.23
50.03,49.24,50.30,48.63
48.72,48.30,49.08,47.85
48.89,49.73,50.12,48.50
49.48,49.76,50.50,49.08
49.92,49.40,50.93,49.13
49.47,49.32,49.79,48.67
49.56,47.21,49.56,44.44
47.18,46.91,47.69,46.22
46.64,47.63,47.81,46.27
47.63,48.57,50.23,47.52
48.88,50.81,51.69,48.76
51.30,50.55,51.59,49.51
51.44,51.58,52.10,50.24
51.59,52.47,53.10,51.59
51.51,51.83,52.73,50.01
51.00,51.90,52.05,50.91
51.87,51.33,52.25,51.17
49.65,48.72,49.68,48.56
48.88,48.53,49.30,48.35
48.58,48.99,49.99,48.58
48.80,48.67,49.06,48.42
48.67,47.89,48.99,47.70
48.27,47.91,48.28,47.21
47.67,46.48,47.97,46.21
46.31,46.76,47.09,46.30
46.96,46.58,47.10,46.15
46.51,46.31,46.54,45.50
46.30,45.75,46.47,45.53
45.89,47.24,47.70,45.80
46.77,47.33,47.42,46.45
47.48,48.17,48.24,47.20
48.31,48.89,49.06,48.25
48.91,48.30,49.30,48.27
48.25,47.79,48.97,46.81
47.61,47.82,47.95,46.98
47.94,48.47,48.75,47.70
48.42,49.45,49.50,48.35
49.27,49.55,49.75,49.23
48.44,48.86,49.09,48.08
48.59,49.47,49.61,48.15
48.60,49.86,49.97,48.60
50.00,48.88,51.39,48.65
49.10,46.43,49.40,45.61
46.29,44.64,46.50,44.13
45.10,45.68,46.45,44.46
45.98,44.75,46.30,44.16
44.75,45.03,45.50,44.55
44.80,44.77,45.16,44.58
44.96,44.27,45.07,44.10
44.60,44.03,44.65,43.65
43.61,43.66,43.88,42.74
43.58,43.52,43.65,43.08
44.04,45.38,46.06,43.96
45.37,45.20,45.60,44.93
52.12,51.72,54.50,50.56
51.94,51.03,52.04,50.70
51.19,51.00,51.53,50.76
50.88,51.51,51.57,50.54
51.98,51.65,52.99,51.01
51.29,50.79,51.75,50.77
50.69,50.77,51.00,49.81
50.95,50.37,50.95,48.06
50.00,49.57,50.00,47.17
49.50,49.99,50.00,48.67
49.43,50.45,51.02,49.12
50.45,47.87,50.58,47.52
47.60,45.22,47.81,44.92
45.43,45.19,46.41,45.00
45.31,43.14,45.32,42.93
43.02,42.43,43.36,42.14
42.32,43.79,43.99,42.32
43.57,43.66,44.33,43.01
43.96,43.86,44.45,42.75
44.00,44.92,45.12,43.78
44.75,45.86,46.15,44.24
46.18,46.07,46.83,45.60
45.63,44.72,45.83,44.20
44.90,43.20,44.90,43.04
42.64,42.10,42.86,41.82
42.24,42.27,42.79,41.10
42.04,43.00,43.39,41.48
43.24,43.70,43.94,43.11
44.11,42.29,44.39,41.98
42.19,43.32,43.42,41.51
43.26,41.23,43.80,41.19
41.29,42.09,42.27,40.38
42.11,42.37,43.35,41.91
42.29,43.06,43.23,41.76
43.01,44.45,44.85,42.84
44.34,45.64,46.02,43.92
45.62,46.35,46.85,45.62
46.53,46.03,46.53,45.84
46.57,45.06,46.87,44.71
45.25,45.71,45.77,44.65
44.98,44.50,45.41,44.26
44.65,44.15,44.70,43.76
44.43,44.47,45.08,43.92
44.06,43.97,44.38,43.09
45.14,45.01,45.34,44.29
44.90,45.43,45.55,44.30
45.42,46.24,46.96,45.16
46.35,46.47,47.38,46.29
45.96,45.62,46.22,45.45
45.47,45.50,46.07,45.06
46.01,44.80,47.12,44.72
44.77,44.40,45.20,44.16
44.79,45.22,45.67,43.92
45.46,46.36,46.52,44.52
46.18,47.29,48.50,46.03
47.86,48.70,49.22,47.47
48.74,48.56,49.50,48.41
48.95,48.92,49.48,48.50
48.10,47.74,48.38,47.50
46.50,46.68,47.03,45.84
46.76,45.99,47.07,45.52
46.34,46.17,46.34,45.21
46.96,47.83,48.01,46.72
48.50,48.50,49.38,46.96
48.52,48.05,48.91,47.94
47.96,48.07,48.67,47.17
48.19,47.34,48.59,47.27
47.03,47.11,47.51,46.40
48.15,48.50,48.81,47.53
48.72,49.01,49.50,48.33
49.76,48.65,49.95,48.58
49.97,46.60,50.75,45.31
46.37,46.83,47.66,45.51
46.70,47.23,47.28,46.49
47.14,47.45,47.58,46.15
47.83,46.71,47.93,46.00
46.39,47.72,47.79,46.39
47.69,47.77,47.99,47.29
47.66,48.46,48.49,47.01
47.80,47.56,48.40,46.93
47.74,46.65,48.00,46.29
46.38,46.52,47.09,46.30
46.59,46.14,46.93,46.01
46.05,46.50,46.84,45.75
46.90,46.32,46.94,46.03
46.31,45.84,46.52,45.70
45.83,45.60,46.13,45.40
45.57,45.29,45.89,44.91
45.85,45.51,46.00,44.79
45.44,45.41,45.97,44.76
44.77,44.93,45.29,44.30
44.95,45.12,45.47,44.48
45.22,44.56,45.24,44.43
44.30,43.56,44.55,43.38
45.00,47.84,48.00,44.38
48.13,48.55,48.60,47.55
48.53,48.07,48.58,47.50
48.24,48.12,49.10,48.06
48.25,55.29,56.25,48.01
55.91,57.05,57.76,55.15
57.24,57.59,57.98,56.91
56.89,57.01,57.36,55.57
57.60,58.50,58.53,56.59
57.04,57.20,58.94,57.04
57.22,56.64,57.88,55.90
56.63,54.79,57.03,54.75
56.88,57.15,57.24,55.87
56.87,57.00,57.43,56.42
57.16,58.27,58.75,57.07
58.31,58.76,59.85,58.10
58.96,58.75,59.40,58.38
58.79,59.34,59.79,58.36
59.38,58.54,60.00,58.27
58.20,56.96,58.29,56.72
57.07,56.26,57.68,55.95
56.58,56.34,57.20,55.90
56.91,57.23,57.94,56.57
57.16,56.14,57.33,55.67
56.24,57.03,57.08,56.24
57.39,56.76,57.59,56.43
56.81,58.15,58.48,56.58
57.82,57.47,59.02,56.84
57.03,55.37,57.15,55.09
55.10,54.46,55.37,54.18
54.09,55.61,55.81,53.21
55.79,55.28,56.09,54.43
55.72,55.66,56.22,55.22
55.73,54.73,56.14,54.04
54.73,53.62,54.92,53.00
53.51,55.39,55.53,53.35
55.37,54.15,55.75,54.03
54.37,55.30,55.76,53.30
55.26,53.50,55.29,53.21
53.00,52.74,53.21,51.61
51.99,53.25,54.47,51.77
50.93,52.97,53.11,47.37
53.03,51.70,54.98,51.69
51.11,52.99,53.56,50.19
52.79,50.58,52.93,50.38
50.74,49.96,51.79,49.05
49.92,51.73,51.97,49.50
51.77,53.19,53.74,51.77
52.90,52.21,53.18,51.81
52.37,52.02,52.63,51.43
52.18,52.75,52.75,51.73
52.49,51.85,52.58,50.71
52.40,51.91,52.41,51.51
51.59,51.07,51.85,49.75
51.73,53.58,53.76,51.31
54.00,53.88,54.45,53.60
54.20,52.07,54.20,51.69
52.27,51.65,52.55,50.78
51.75,51.30,51.90,50.71
51.11,51.00,53.06,50.78
51.38,51.31,51.77,50.75
51.35,50.31,51.68,49.62
50.55,50.59,51.28,48.71
50.89,50.39,51.27,50.00
50.34,50.36,50.76,49.88
50.10,50.99,51.90,50.10
51.04,50.93,51.90,49.63
51.10,52.55,53.39,50.58
52.51,52.26,52.51,51.60
52.22,52.90,53.42,51.92
52.23,52.84,53.55,51.66
52.81,52.73,53.49,52.00
52.81,52.87,53.54,52.66
53.01,53.00,54.00,52.49
52.56,52.75,53.40,52.47
52.20,53.25,53.99,52.06
54.33,54.58,55.28,53.52
54.81,55.21,56.11,54.46
55.43,55.62,55.99,54.86
55.21,55.50,55.98,54.98
55.60,56.01,56.50,55.10
56.18,55.82,56.70,55.76
56.16,56.50,56.68,55.33
56.73,55.34,56.73,55.12
55.32,55.56,55.87,54.58
55.30,56.91,57.19,55.04
56.97,56.84,57.50,56.68
57.00,56.46,57.10,56.28
56.89,56.69,57.13,56.25
56.97,57.46,57.51,56.51
57.57,57.40,57.64,56.68
57.33,57.41,57.99,57.01
57.49,57.35,57.50,56.87
57.63,57.35,57.63,57.09
57.42,57.55,57.71,56.94
57.37,56.96,57.74,56.88
57.00,56.39,57.01,56.08
56.84,56.91,57.38,56.31
57.03,56.54,57.37,56.46
57.27,57.43,57.57,56.60
57.46,57.50,57.80,56.62
57.54,55.79,57.54,55.69
56.07,56.93,57.58,55.85
57.08,56.56,57.79,56.29
56.23,56.42,56.95,56.17
56.40,57.09,57.13,56.37
57.00,57.56,57.78,56.23
57.79,57.68,59.16,56.98
57.63,58.22,58.36,57.45
57.95,57.67,59.19,57.67
57.55,55.64,57.65,55.20
55.66,56.50,56.53,54.84
56.95,56.03,57.70,55.99
55.20,56.83,57.40,54.14
55.56,57.78,59.89,55.56
57.86,58.18,58.74,57.85
57.81,58.41,58.54,56.90
58.12,60.00,60.25,58.10
59.15,59.13,60.00,58.65
59.33,59.12,59.73,58.81
59.00,58.18,59.44,58.02
58.50,58.50,59.20,57.55
59.68,59.25,59.69,58.68
59.91,59.42,60.79,59.11
59.56,59.20,59.96,59.00
59.48,59.11,59.76,58.66
59.23,59.25,59.52,58.60
59.05,58.75,59.59,58.58
58.99,58.16,59.33,57.91
58.47,58.21,59.11,58.13
57.99,56.80,58.21,56.76
56.72,56.98,57.47,56.38
57.10,56.44,57.51,56.06
56.50,56.01,56.70,55.15
55.71,56.42,56.53,54.68
57.10,55.91,57.17,55.89
55.89,55.17,56.38,54.92
55.37,54.88,55.90,54.39
54.91,54.38,55.21,53.68
54.38,55.03,55.07,54.02
54.04,54.66,55.21,53.52
54.86,54.59,54.88,53.70
54.52,54.49,55.09,53.92
54.60,54.73,55.08,54.49
54.97,55.40,55.91,54.82
55.25,55.95,56.03,55.25
56.25,53.29,56.25,52.84
53.68,52.79,54.69,50.76
52.32,54.70,55.14,51.88
55.14,54.77,55.32,54.26
54.87,55.04,55.39,54.45
55.11,55.17,55.78,54.19
55.40,56.03,56.34,54.91
56.16,55.60,56.16,55.31
55.91,57.12,57.37,55.70
56.94,56.25,57.25,55.57
56.66,58.18,58.48,56.66
58.00,58.35,58.40,57.46
58.29,57.22,58.50,56.71
57.53,59.23,59.53,57.27
60.00,58.72,60.20,58.56
58.90,59.50,59.52,58.65
59.52,59.51,59.90,58.51
55.90,55.25,55.90,53.29
55.40,55.28,56.24,55.27
55.52,57.96,58.46,55.29
58.05,58.69,58.74,57.39
58.52,59.00,59.56,58.42
59.03,58.26,59.38,58.25
58.29,58.32,58.77,57.79
58.64,58.36,58.97,58.08
58.36,58.49,59.25,58.36
58.42,60.00,60.51,58.32
60.30,61.53,64.45,60.30
60.80,63.00,63.01,59.00
62.63,63.75,65.00,62.46
64.83,66.68,66.93,64.51
66.30,66.34,66.53,64.32
66.64,68.44,68.50,66.50
68.42,67.97,70.00,67.95
68.46,68.52,69.23,67.45
68.16,67.31,71.07,67.00
67.04,68.03,69.13,67.02
68.13,68.52,68.98,66.81
68.49,68.57,69.12,68.21
69.23,69.05,69.50,68.70
68.85,68.76,69.50,68.20
68.66,67.09,69.40,67.04
67.30,69.79,70.10,65.60
70.23,70.86,72.00,69.82
71.16,69.50,71.69,69.33
69.79,69.66,70.68,69.40
