CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,NASDAQ
32.88,33.02,33.48,32.65
32.96,32.63,32.98,32.18
32.67,32.55,33.00,32.16
32.75,32.16,32.96,31.91
31.92,32.02,32.26,31.78
31.38,31.12,31.64,31.00
30.85,31.12,31.35,30.39
30.91,30.72,31.26,30.67
29.96,30.55,30.61,29.82
30.80,29.66,30.98,29.56
30.18,30.52,30.62,30.06
30.36,30.67,30.86,30.17
30.62,30.41,30.96,30.19
30.48,30.76,30.79,30.20
31.00,31.37,31.50,30.92
31.07,30.27,31.07,30.26
30.31,29.85,30.83,29.78
29.89,29.87,29.98,29.50
29.99,29.93,30.38,29.80
30.11,30.19,30.46,29.85
30.11,30.71,30.78,29.94
31.00,30.89,31.20,30.79
30.90,31.22,31.33,30.90
31.11,31.40,31.49,30.95
31.51,31.60,31.66,31.18
31.50,31.49,31.78,31.33
31.68,31.53,31.80,31.30
31.64,31.36,31.80,31.30
31.26,30.98,31.38,30.77
30.85,30.51,30.98,30.42
30.51,30.56,30.85,30.36
30.67,30.38,30.69,30.18
29.98,29.49,30.05,29.34
29.44,29.48,30.00,29.34
29.39,29.23,29.60,28.82
29.29,29.21,29.35,28.90
29.50,29.17,29.62,29.02
29.21,30.29,30.35,29.20
30.48,30.33,30.57,30.04
30.37,30.69,30.73,30.17
30.72,31.01,31.07,30.53
31.41,32.56,32.80,31.39
32.67,32.87,32.92,32.23
32.92,33.14,33.23,32.51
33.15,32.56,33.18,32.34
32.55,33.05,33.10,32.40
32.60,33.24,33.30,32.47
33.39,32.96,33.74,32.65
33.18,33.91,34.14,33.16
33.79,33.96,34.15,33.63
33.84,33.66,33.91,33.38
33.83,33.69,33.85,33.40
33.61,33.48,33.68,33.32
33.63,33.53,33.86,33.15
33.32,34.02,34.07,33.28
34.14,34.34,34.50,33.88
34.28,34.16,34.31,34.01
34.14,34.49,34.59,34.01
34.28,34.43,34.46,33.93
34.15,34.70,34.77,34.01
34.74,34.69,34.99,34.67
34.39,34.60,34.68,34.13
34.15,34.02,34.21,33.70
33.57,33.57,33.75,33.33
33.41,33.69,33.94,33.40
33.27,33.62,33.89,33.24
33.84,34.30,34.52,33.64
34.17,34.30,34.48,33.90
35.46,34.71,35.47,34.47
34.72,34.72,35.25,34.29
34.93,35.39,35.53,34.79
35.10,35.44,35.71,34.90
35.37,35.00,35.64,34.98
35.04,34.84,35.13,34.65
34.37,35.20,35.40,34.32
35.04,34.98,35.37,34.90
34.79,34.86,35.12,34.67
35.18,35.77,35.95,35.11
35.80,36.05,36.19,35.64
36.20,35.53,36.21,35.39
35.30,34.00,35.44,33.98
34.03,34.04,34.34,33.92
34.24,34.07,34.35,33.86
34.16,34.54,34.62,34.00
34.71,35.00,35.09,34.71
34.82,35.21,35.59,34.69
35.00,35.50,35.52,34.93
35.39,35.54,35.88,35.32
35.61,35.08,35.74,35.07
35.21,35.41,35.60,35.07
35.36,34.98,35.38,34.80
34.81,34.30,35.18,34.25
34.03,34.01,34.43,33.78
34.35,34.52,34.71,33.36
34.35,34.86,35.12,34.12
35.07,35.51,35.58,34.41
36.43,36.40,36.80,36.04
36.55,36.93,37.21,36.28
37.31,36.91,37.84,36.90
36.79,36.72,37.02,36.55
37.00,37.83,37.99,36.80
37.37,37.02,37.79,36.83
37.31,37.75,37.84,37.02
37.75,37.75,37.94,37.29
37.93,38.28,38.38,37.87
38.36,39.21,39.50,38.36
39.54,39.74,39.98,39.53
39.74,39.29,39.74,38.18
39.44,39.27,39.55,38.84
39.10,38.97,39.24,38.87
38.68,38.56,38.87,38.23
39.42,40.19,41.88,38.99
40.02,40.58,40.61,40.01
40.44,41.63,41.65,40.27
41.65,42.00,42.06,41.41
41.63,42.28,42.36,41.45
42.40,42.85,42.88,42.10
42.76,42.88,42.93,42.37
42.88,42.75,43.27,42.69
42.92,43.36,43.40,42.92
43.45,43.00,43.58,42.82
42.85,42.74,43.11,42.47
43.15,43.00,43.47,42.94
42.91,43.35,43.60,42.83
43.13,43.35,43.56,42.84
43.31,43.19,43.58,42.87
43.26,43.95,44.02,42.93
43.41,43.67,43.70,42.66
43.33,43.20,43.60,42.94
43.25,43.24,43.56,42.91
42.83,42.59,43.05,42.31
42.72,42.82,42.93,42.60
43.21,43.19,43.59,43.00
43.19,43.85,44.00,43.00
43.62,43.82,43.96,43.29
43.50,43.15,43.69,42.73
43.41,43.90,44.47,43.41
43.82,43.49,43.82,43.45
43.32,43.12,43.41,42.49
42.92,42.87,43.05,42.36
43.44,44.07,44.35,43.29
44.27,44.49,44.69,44.10
44.44,45.18,45.48,44.36
45.29,44.95,45.48,44.82
45.32,44.59,45.40,44.57
44.82,44.70,44.95,44.46
44.80,44.41,44.89,44.23
44.62,44.64,44.73,44.19
44.93,44.63,45.05,44.60
44.64,44.80,45.08,44.58
44.79,44.53,44.91,44.23
44.67,45.38,45.59,44.53
45.57,45.67,45.76,45.22
45.85,45.64,45.97,44.69
45.92,45.78,45.92,45.60
45.76,45.90,45.99,45.71
45.79,45.85,46.08,45.63
45.66,45.92,46.08,45.40
45.93,45.83,46.18,45.61
45.77,45.79,46.16,45.61
45.94,46.02,47.08,45.83
45.99,46.26,46.27,45.61
46.75,46.89,47.94,46.69
46.96,46.88,47.16,46.42
46.77,48.36,48.78,46.50
47.97,46.72,47.97,46.22
46.74,45.79,46.95,45.29
45.03,44.90,45.32,43.20
45.05,44.98,45.38,44.75
45.12,45.15,45.58,44.32
45.30,45.18,45.38,44.95
45.15,46.20,46.26,45.15
46.33,46.35,46.67,45.79
46.13,46.50,46.80,46.11
46.35,45.82,46.35,45.37
46.29,45.01,46.33,44.68
44.94,45.83,46.01,44.34
45.60,45.72,45.79,45.14
45.53,45.61,46.44,45.53
45.72,46.74,46.91,45.72
46.86,46.22,47.47,45.60
45.16,44.55,46.55,44.32
45.23,46.30,46.67,45.20
46.30,46.37,46.90,46.02
46.25,46.01,46.65,45.94
46.11,45.47,46.11,45.00
45.55,46.99,47.05,45.48
47.14,47.50,47.63,46.90
47.61,48.89,49.35,47.47
48.50,50.21,50.31,48.30
49.99,49.88,50.21,49.50
49.90,49.72,50.49,49.70
49.59,49.83,50.02,49.26
50.09,50.52,50.64,49.68
50.45,50.34,50.61,50.21
50.34,51.60,51.61,50.21
50.88,49.70,51.24,49.70
49.50,48.88,49.50,48.04
48.66,49.48,49.70,48.46
49.60,50.29,50.31,49.51
50.28,49.84,50.32,49.46
49.96,48.62,50.11,48.56
48.58,48.89,49.09,48.14
49.25,50.44,50.60,49.25
50.24,49.50,50.30,49.30
50.13,48.33,50.63,48.15
48.52,49.12,49.60,48.23
49.00,49.05,49.31,48.50
48.52,48.14,48.56,47.31
47.88,48.81,48.93,47.51
48.37,48.94,49.03,47.91
47.69,48.93,49.14,47.38
48.65,47.35,48.91,47.31
48.00,47.33,48.27,47.11
47.87,47.97,48.23,47.66
48.46,48.92,49.36,48.42
48.91,49.02,49.15,48.75
48.99,48.71,49.05,48.10
49.14,49.10,49.43,48.68
49.24,49.36,50.05,49.05
49.38,49.34,49.94,49.23
49.13,50.22,50.69,48.91
50.60,50.88,51.18,50.38
50.93,51.05,51.48,50.72
51.39,51.59,52.11,51.12
51.62,51.98,52.03,51.52
51.92,51.66,51.94,51.38
52.00,51.78,52.16,51.36
51.66,51.62,52.44,51.28
51.69,51.35,52.15,51.16
51.58,51.62,52.36,51.02
51.42,51.38,51.66,50.93
51.55,51.98,53.89,51.41
51.70,53.56,53.94,51.00
53.50,54.11,54.23,52.55
53.37,53.03,53.64,52.74
53.13,52.54,53.38,52.40
53.26,53.38,53.80,53.13
53.51,53.33,53.64,53.17
53.43,53.34,53.56,53.02
53.59,53.60,53.98,53.17
53.94,54.26,54.30,53.68
54.25,54.96,55.23,54.05
55.15,54.93,55.65,54.89
55.22,54.75,55.55,54.67
54.82,55.08,55.16,54.24
54.92,54.07,55.23,53.74
53.82,53.70,54.48,53.48
54.21,54.89,55.59,54.19
54.89,54.97,55.31,54.59
55.30,55.52,55.76,55.17
55.37,55.28,55.64,54.51
55.15,55.78,55.91,54.91
55.80,55.17,55.80,55.07
54.91,54.34,55.00,54.29
54.30,53.93,54.47,53.74
53.99,54.51,54.68,53.80
54.60,54.83,55.00,54.46
54.86,55.35,55.77,54.77
54.84,54.57,54.91,54.25
54.57,53.05,54.97,52.95
52.71,53.30,53.52,52.32
53.11,54.18,54.41,52.95
54.10,54.32,54.52,54.07
54.64,54.92,54.93,54.23
54.93,55.68,56.34,54.89
55.39,55.85,56.00,54.94
55.41,55.32,55.98,54.99
55.02,54.44,55.35,54.34
54.66,54.50,55.13,54.19
54.37,54.42,54.74,54.01
54.11,54.18,54.49,53.91
54.20,53.61,54.56,53.53
53.60,53.26,53.88,52.79
53.35,53.76,54.00,53.12
53.57,52.34,53.66,52.22
52.19,52.40,52.63,51.68
52.95,52.03,52.95,52.03
51.79,52.80,53.03,51.77
53.12,53.67,54.80,52.87
53.74,53.55,54.16,53.11
52.93,54.52,54.57,52.85
54.67,54.45,55.10,53.85
54.24,54.98,55.16,54.18
55.28,55.62,55.99,54.98
55.51,56.09,56.26,55.03
56.31,56.85,56.92,56.21
56.64,56.75,56.89,56.25
56.98,57.65,57.91,56.67
57.51,57.86,58.06,57.51
58.22,58.08,58.40,57.86
57.82,58.44,58.57,57.69
58.40,57.33,58.40,57.06
57.38,57.35,57.94,57.26
57.80,57.46,58.03,57.28
57.80,56.59,57.80,56.10
56.71,56.58,56.98,55.27
57.85,61.17,61.32,57.50
61.03,60.13,61.46,60.00
60.28,59.57,60.40,59.08
59.78,59.18,60.05,59.03
59.28,59.82,60.05,59.14
59.44,59.66,60.49,59.25
59.50,58.71,59.90,58.64
57.96,57.86,58.52,57.68
57.90,57.96,58.40,57.61
57.61,57.65,57.91,57.04
58.12,57.63,58.86,56.96
57.18,56.47,57.31,56.14
56.44,56.78,57.31,56.14
56.22,53.99,56.38,53.74
54.04,52.45,54.33,51.06
50.25,48.78,50.35,48.70
49.19,50.76,50.82,47.79
49.61,49.56,50.84,48.58
50.08,53.29,53.81,49.61
53.85,55.07,55.30,53.33
55.26,56.73,56.89,55.26
55.97,56.87,57.06,55.89
56.93,56.67,57.99,56.02
55.25,52.22,55.30,51.39
51.63,51.05,53.07,50.96
52.44,50.82,53.06,50.66
51.05,53.05,53.15,50.40
52.90,52.79,53.47,51.94
52.91,51.58,53.11,51.40
51.35,52.90,52.95,50.85
53.29,53.90,54.15,53.27
53.67,54.07,54.39,53.44
54.55,54.44,55.45,54.03
54.44,53.77,54.58,53.55
53.03,53.06,53.49,52.50
51.54,52.68,52.74,51.15
53.08,52.96,53.80,52.50
52.92,53.11,54.08,52.80
52.60,51.83,53.24,51.43
51.23,52.00,52.46,51.00
52.26,52.76,53.02,51.81
53.03,55.45,56.20,52.86
55.81,56.73,58.04,55.67
56.83,57.66,57.98,56.83
56.99,57.59,57.87,55.74
57.74,56.71,57.96,56.56
56.85,56.36,57.53,56.31
55.05,52.19,55.12,51.14
51.77,52.87,53.20,51.15
53.00,53.41,53.49,51.29
54.35,54.56,55.34,53.46
54.83,53.59,55.28,53.33
54.59,53.41,55.25,51.83
52.66,52.76,54.37,52.62
52.35,51.70,53.11,51.14
51.00,53.07,53.12,50.85
53.85,54.06,55.04,52.39
54.24,56.45,56.61,53.74
56.46,56.01,56.79,55.27
56.88,57.81,58.31,56.58
57.65,57.00,57.65,56.53
57.18,56.15,57.21,56.14
56.12,57.59,57.95,56.12
57.93,58.89,58.97,57.65
58.82,58.03,59.17,57.58
59.41,59.66,59.95,56.22
59.15,58.86,60.00,58.68
58.76,59.43,59.62,58.50
59.88,59.08,59.88,58.07
59.18,59.59,60.27,59.18
59.53,57.95,60.00,57.80
58.45,59.09,59.44,57.69
60.26,60.17,61.60,59.84
60.01,59.11,60.13,58.88
58.04,57.63,59.00,57.63
56.40,56.56,57.15,55.35
56.78,58.65,58.90,56.42
57.34,58.65,58.81,57.10
58.64,59.08,59.21,57.67
58.91,58.49,58.93,57.71
58.81,58.83,59.50,58.46
57.92,57.48,58.80,56.91
57.87,57.82,58.20,57.11
58.20,58.33,58.45,57.40
58.46,57.63,58.74,57.35
56.91,58.89,59.08,56.91
58.41,56.65,58.49,56.51
56.37,54.07,56.37,53.50
53.99,53.92,54.32,52.94
53.50,52.97,53.79,52.24
52.92,53.62,54.19,52.46
53.13,53.68,53.91,52.51
53.25,53.40,54.51,53.16
54.49,54.91,55.24,54.04
54.73,53.58,54.95,53.38
54.62,55.34,55.77,54.49
55.20,54.98,55.30,54.80
55.43,54.64,55.61,54.56
55.33,55.13,56.09,54.97
55.13,54.25,55.43,54.08
54.03,53.66,54.24,52.85
53.48,52.93,54.12,52.81
53.29,54.68,54.92,53.26
54.00,53.56,54.00,52.83
53.71,52.92,54.13,52.73
52.45,51.97,53.17,50.74
52.29,52.72,53.01,52.20
53.00,54.18,54.47,52.77
54.19,53.05,54.83,52.92
53.75,54.61,54.73,53.75
54.31,52.14,54.68,51.15
52.41,53.65,56.70,52.27
53.96,53.32,53.96,52.95
53.32,53.25,53.51,53.00
53.30,52.69,53.50,52.47
53.04,52.94,53.05,52.20
52.83,52.54,53.00,52.49
53.49,52.97,54.13,52.87
52.58,51.73,52.90,51.72
51.76,52.27,52.37,51.08
52.06,51.36,52.10,51.06
51.55,51.33,51.89,50.64
51.61,52.59,52.70,51.24
52.60,52.28,53.09,52.19
52.57,52.33,52.89,52.13
52.37,50.90,52.37,50.82
52.00,54.88,55.18,51.70
55.16,54.69,55.49,54.29
54.97,54.41,55.21,54.35
54.39,54.75,55.32,54.16
54.88,55.83,55.97,54.59
55.51,56.52,56.92,55.30
56.50,56.56,57.16,56.28
56.95,55.63,57.07,55.16
55.48,56.28,56.62,55.22
55.64,56.47,56.72,54.91
56.61,56.29,56.61,55.58
57.00,57.81,58.03,56.46
57.75,58.11,58.35,57.55
58.50,59.11,59.22,58.42
58.74,58.05,58.87,57.95
58.11,58.39,58.72,57.71
58.16,58.09,58.54,57.19
58.28,58.60,58.61,57.63
58.25,57.29,58.25,56.66
57.75,57.57,58.13,57.46
57.07,58.56,58.56,57.04
58.88,58.22,58.88,57.92
58.43,58.71,58.82,58.16
58.61,58.02,58.82,57.92
58.09,58.54,58.94,58.05
58.10,58.57,59.50,57.99
58.77,58.51,58.91,57.86
58.18,58.87,58.87,58.18
58.07,58.94,59.00,58.00
58.83,58.26,58.93,58.04
58.16,58.16,58.57,57.84
58.31,58.96,59.22,58.30
59.06,58.72,59.18,58.38
58.61,58.07,58.72,58.03
57.52,57.77,57.89,57.40
57.98,58.89,59.04,57.72
59.04,59.63,59.99,58.85
59.70,59.78,60.19,59.38
59.90,60.30,60.47,59.72
60.72,61.55,61.55,60.57
61.30,61.26,61.49,60.74
61.20,62.90,63.26,61.07
62.29,61.74,62.89,61.68
61.77,62.00,62.31,61.59
61.85,61.93,62.07,61.38
61.99,61.28,62.05,61.28
61.21,62.00,62.06,60.77
62.23,62.62,62.85,62.11
63.00,63.95,64.07,62.81
64.20,63.47,64.46,63.47
63.99,63.26,64.68,62.78
63.02,63.90,63.93,63.00
64.00,63.84,64.24,63.10
63.81,64.52,64.76,63.47
64.46,64.49,64.77,64.05
64.14,63.07,64.29,62.99
62.69,63.08,63.51,62.56
62.13,61.77,62.47,61.55
61.99,61.66,62.40,61.24
62.08,62.46,63.52,61.85
62.57,62.51,62.89,62.24
62.21,62.48,62.95,62.04
62.57,62.93,63.08,62.06
63.40,64.33,64.54,63.04
63.91,64.00,64.36,63.66
64.12,63.86,65.00,63.77
64.54,64.05,64.96,63.84
59.23,60.76,61.22,56.58
60.77,59.80,60.91,57.90
60.21,59.87,60.68,59.63
59.71,58.71,60.14,58.59
58.73,58.99,59.55,58.59
59.05,58.12,59.19,57.64
57.92,58.21,58.52,57.75
57.72,58.53,58.90,57.72
58.33,56.83,58.57,56.74
56.45,55.17,56.54,55.15
55.11,55.46,55.64,54.51
55.20,55.40,55.52,54.16
54.77,55.95,56.05,54.75
56.03,53.61,56.31,53.48
53.45,53.48,54.34,53.39
52.90,52.74,53.42,52.55
52.69,53.42,54.10,52.54
53.88,53.79,54.41,53.31
53.62,53.58,54.04,53.50
53.86,53.09,53.89,52.52
52.63,54.09,54.34,52.07
54.09,54.41,55.12,53.92
53.76,54.54,54.69,53.12
54.54,52.30,54.64,52.16
52.44,52.26,52.76,51.93
52.88,52.59,52.96,52.19
51.95,51.50,52.37,51.37
51.33,51.24,51.70,50.55
51.09,50.46,51.48,50.15
50.53,51.17,51.22,50.42
50.77,51.92,51.99,50.77
52.11,53.23,53.30,51.74
53.75,53.78,54.05,53.17
53.41,53.67,53.80,53.33
53.83,53.31,54.15,53.15
53.60,53.64,54.03,53.18
53.55,51.81,53.55,51.59
51.54,51.22,51.61,50.70
51.30,50.39,51.34,50.04
50.49,49.16,50.50,48.99
49.32,48.64,49.41,48.06
48.83,50.55,51.06,48.36
50.33,49.16,50.66,49.09
49.28,49.47,49.89,49.00
48.86,48.85,48.98,48.25
48.97,49.07,49.49,48.57
49.37,49.36,49.74,49.04
49.18,47.48,49.30,46.94
48.32,49.59,49.59,48.17
49.50,48.46,49.58,48.08
48.30,49.53,49.83,47.95
49.61,50.25,50.47,49.37
50.00,47.27,50.00,47.07
47.29,44.96,47.44,44.56
45.14,44.28,45.48,44.04
44.48,44.68,45.45,44.16
44.52,44.29,44.68,43.18
44.76,46.04,46.10,44.33
45.68,45.30,46.35,45.11
45.90,45.62,46.22,45.32
46.24,48.75,50.45,46.00
49.30,49.93,50.24,49.12
49.53,49.38,50.08,49.37
48.45,47.87,48.81,47.13
47.87,47.27,47.97,46.91
47.17,47.57,48.28,47.08
48.46,49.30,49.52,48.43
49.43,50.32,50.46,48.99
50.16,48.32,50.17,47.78
48.33,48.57,49.16,48.20
48.19,48.01,48.40,47.58
47.50,48.21,48.77,47.50
49.26,49.39,49.99,49.13
49.18,49.58,50.20,49.18
49.23,50.34,50.68,49.17
50.33,50.91,51.88,50.20
50.85,50.65,51.34,50.50
50.30,51.79,51.86,50.27
51.80,50.71,51.80,50.10
50.94,47.94,50.94,47.86
48.16,48.55,48.81,47.70
48.92,50.50,51.06,48.85
50.80,51.06,51.54,50.71
51.00,50.62,51.37,50.12
50.76,50.48,51.27,50.16
50.57,50.25,50.90,50.04
50.20,49.58,50.39,49.35
49.64,49.32,49.98,48.99
49.34,48.37,49.55,48.31
48.47,47.99,48.72,47.76
47.99,47.72,48.20,47.46
47.33,45.93,47.52,45.85
46.23,46.09,46.93,45.45
45.86,45.90,46.56,44.77
45.80,46.88,47.00,45.80
47.14,48.51,48.89,47.08
48.58,48.26,49.09,47.94
48.03,47.46,48.25,47.36
47.36,47.96,48.20,47.31
48.24,48.01,48.61,47.92
47.94,48.66,48.76,47.79
48.67,47.51,49.32,47.32
47.55,47.31,47.61,47.00
47.40,46.89,47.42,46.73
46.76,46.72,47.00,46.20
46.68,46.96,47.16,46.38
47.08,46.68,47.86,46.32
46.21,47.32,47.63,46.15
47.42,48.12,48.41,47.27
47.84,47.51,48.17,47.12
47.71,48.69,49.22,47.50
48.35,48.16,48.75,48.04
47.68,46.72,48.37,46.37
47.02,46.92,47.62,46.24
46.84,46.43,47.36,46.05
46.43,46.63,46.76,45.04
47.06,46.72,47.77,46.36
46.76,46.66,47.30,46.04
46.58,46.11,46.87,45.66
46.12,45.61,46.42,45.49
45.04,45.43,46.02,45.03
45.39,46.05,46.06,45.28
46.36,46.54,46.69,45.37
46.58,47.42,47.77,46.18
44.44,41.15,44.45,40.92
40.61,41.42,41.68,40.60
41.45,41.72,41.90,40.80
41.79,42.22,42.56,41.70
42.51,42.85,43.49,42.31
43.85,44.08,44.18,43.32
44.46,45.30,45.36,44.03
44.77,44.27,45.09,43.91
44.55,44.52,44.66,44.00
44.65,45.46,45.60,44.60
45.73,44.90,45.78,44.84
44.64,44.60,44.99,44.39
44.82,45.28,45.48,44.55
44.93,44.32,45.48,44.30
44.50,44.11,44.76,43.92
43.72,44.34,44.60,43.52
44.62,44.59,44.68,44.20
44.41,44.27,44.83,43.98
44.34,44.23,44.74,44.12
44.11,44.04,44.32,43.73
44.08,43.67,44.42,42.90
44.26,44.86,44.94,44.07
44.59,45.22,45.49,44.52
45.08,45.50,45.60,45.08
45.74,46.01,46.36,45.64
45.79,46.13,46.30,45.70
46.26,45.51,46.54,45.41
45.44,45.82,45.82,45.08
46.13,45.59,46.69,45.51
45.67,46.17,46.23,45.46
46.28,45.84,46.41,45.58
45.47,45.16,46.17,45.10
45.11,44.71,45.39,44.44
44.73,45.04,45.08,44.61
45.43,46.33,46.47,45.18
46.20,46.37,46.91,46.11
46.27,46.73,46.92,46.12
46.86,46.41,47.29,46.28
46.38,46.53,46.93,46.13
46.37,46.74,47.18,46.28
46.68,46.43,46.74,46.27
46.65,47.13,47.37,46.48
47.51,47.72,48.75,47.35
47.88,48.03,48.62,47.31
47.00,47.55,48.08,46.84
47.19,47.52,47.76,47.09
47.47,47.43,47.77,47.15
47.42,47.26,47.64,47.12
46.92,47.07,47.39,46.92
46.89,47.64,47.92,46.59
48.54,49.24,49.66,48.54
49.08,47.18,49.38,45.75
47.34,46.84,47.39,46.50
46.75,47.20,47.40,46.71
47.50,48.22,48.48,47.40
48.33,48.89,49.20,48.20
49.16,49.29,49.40,48.91
49.25,48.46,49.40,48.40
48.44,48.15,48.55,47.87
48.03,48.29,48.52,47.96
48.35,49.18,49.32,48.25
49.35,49.17,49.57,48.82
49.20,48.12,49.32,48.05
48.40,47.97,48.46,47.64
45.99,48.66,49.22,45.86
48.28,49.01,49.63,48.25
49.01,49.34,49.35,48.75
49.42,49.34,50.02,49.34
49.39,48.76,49.43,48.60
48.94,48.54,49.16,48.30
48.92,50.00,50.05,48.74
50.00,50.98,51.91,49.93
50.87,50.23,51.07,50.15
50.30,50.81,50.98,50.13
50.40,51.05,51.28,50.30
51.27,50.79,51.51,50.21
50.97,51.66,51.81,50.92
51.47,51.07,51.79,51.01
51.01,51.77,51.80,51.00
51.80,51.43,52.12,51.11
51.43,51.27,51.61,50.97
51.21,51.36,51.78,51.11
51.54,51.88,51.97,51.35
51.48,51.65,52.50,51.44
51.31,51.01,51.78,50.93
51.54,52.23,52.29,51.23
52.35,51.94,52.76,51.84
52.04,52.04,52.64,51.62
51.76,52.72,52.90,51.70
52.94,52.51,53.02,52.49
52.47,51.84,52.47,51.65
51.75,51.60,51.94,51.49
51.80,51.75,51.93,51.47
52.18,51.74,52.25,51.68
51.89,51.25,52.00,51.18
52.22,51.23,52.38,51.00
51.04,50.93,51.57,50.82
50.85,50.91,51.20,50.41
50.89,50.87,51.20,50.57
51.08,50.43,51.64,50.38
50.46,50.10,50.67,49.64
49.85,49.57,49.97,49.23
49.64,49.11,50.17,48.93
49.38,49.66,49.90,49.32
49.08,49.45,49.88,48.92
49.77,48.89,49.85,48.64
48.15,47.17,48.40,46.45
47.34,46.50,47.66,46.40
46.48,47.24,47.35,46.32
46.98,46.99,47.20,46.77
46.89,46.22,47.16,46.11
46.52,45.70,46.59,45.50
45.73,45.26,46.09,44.83
45.22,45.63,45.97,45.16
45.00,46.26,46.48,44.41
46.10,46.22,46.39,45.48
46.59,47.49,48.47,46.59
47.69,47.56,48.08,47.54
46.97,47.29,48.02,46.92
47.38,46.55,47.38,46.38
46.23,45.74,46.49,45.66
46.04,45.95,46.06,45.63
45.66,45.50,45.93,45.26
45.58,45.41,45.96,44.96
45.27,45.29,45.53,44.75
46.49,45.59,46.67,44.85
45.21,45.20,45.61,45.05
45.35,44.82,45.40,44.69
45.00,45.17,45.44,44.75
45.34,45.10,45.34,44.98
45.13,45.61,45.74,45.12
45.47,46.62,46.67,45.47
46.59,46.55,46.91,46.39
46.52,46.88,46.97,46.39
47.41,47.28,47.51,47.07
47.47,47.50,47.60,47.10
47.40,47.62,47.68,47.19
47.35,47.88,48.08,47.18
47.94,47.97,48.04,47.44
47.96,48.40,48.46,47.88
48.24,47.97,48.50,47.79
47.88,49.24,49.33,47.77
48.91,49.08,49.28,48.73
49.13,49.39,49.86,49.13
49.53,50.38,50.47,49.15
50.26,50.79,50.87,50.01
50.57,51.43,51.61,50.57
51.48,50.67,51.55,50.36
50.49,49.90,50.49,49.66
49.89,49.26,49.89,48.60
49.74,49.40,50.00,49.19
49.38,49.92,50.06,48.92
49.81,50.93,51.04,49.74
50.00,50.08,50.54,49.79
49.77,49.79,49.97,49.53
49.70,48.99,49.77,48.96
49.12,49.13,49.60,48.97
49.27,49.12,49.39,48.73
49.57,50.91,51.01,49.30
50.77,50.50,50.97,50.19
49.97,49.32,50.19,49.19
49.76,49.16,49.90,48.98
49.00,48.69,49.35,48.00
48.76,48.48,49.10,48.38
48.84,49.53,49.70,48.78
49.81,49.78,49.99,49.15
