DDS,Dillard's,NASDAQ
26.85,26.66,27.05,26.40
26.81,27.20,27.58,26.63
26.76,26.49,27.13,26.15
26.62,26.65,26.99,26.54
26.80,26.36,27.19,26.10
26.43,26.41,26.58,26.18
26.63,27.34,27.48,26.56
27.13,27.46,27.80,27.00
27.26,26.45,27.26,26.05
26.69,25.93,26.96,25.58
25.88,25.51,26.10,25.49
25.56,25.48,25.78,25.31
25.85,25.62,26.04,25.38
25.70,26.04,26.18,25.56
26.51,27.52,27.63,26.20
27.64,28.46,28.78,27.62
28.29,28.40,28.78,28.00
28.46,28.17,28.51,28.00
28.23,28.59,28.65,28.00
28.35,28.09,28.73,28.03
31.95,30.82,32.52,30.60
31.09,30.47,31.64,30.29
30.10,29.71,30.84,29.32
30.09,31.34,31.50,30.05
32.02,31.51,32.02,31.40
31.38,31.84,32.00,31.36
32.03,31.90,32.17,31.41
31.54,32.24,32.72,31.45
32.37,32.72,32.86,32.23
32.50,31.95,32.50,31.94
31.82,31.02,31.99,30.96
30.67,31.18,31.36,30.52
31.73,32.06,32.27,31.73
33.02,34.52,34.53,33.02
34.19,34.76,34.84,33.98
34.45,35.48,35.68,34.45
36.08,35.37,36.15,35.25
35.37,36.05,36.36,35.17
36.02,36.02,36.50,35.74
36.14,36.39,36.50,35.91
36.49,36.16,36.85,36.02
36.11,35.87,36.19,35.59
35.93,35.96,36.47,35.61
36.17,37.35,37.59,35.90
37.31,37.34,37.80,36.94
37.67,37.41,37.67,36.85
37.44,38.54,38.60,37.31
38.50,38.14,38.73,37.88
38.16,38.40,38.60,37.72
37.99,38.35,38.63,37.50
38.57,37.98,38.59,37.91
38.21,38.35,38.55,37.84
38.38,38.43,39.10,38.38
38.40,37.94,38.60,37.82
38.45,38.83,39.37,38.27
38.98,37.68,39.26,37.00
37.46,38.13,38.48,37.42
38.40,39.63,40.18,38.35
39.62,39.70,39.81,38.68
39.43,39.62,39.86,38.80
39.87,39.55,39.88,39.10
39.87,39.39,39.95,39.14
39.42,39.54,39.75,38.90
39.40,40.09,40.22,39.26
40.14,39.07,40.20,38.80
39.05,37.54,39.09,37.49
40.06,41.96,44.50,40.06
42.44,40.73,42.44,40.65
41.00,40.87,41.06,40.20
40.55,39.88,40.87,39.18
40.01,40.38,40.49,39.63
40.42,41.60,41.71,40.13
41.45,40.21,41.86,40.05
40.30,39.72,40.30,39.49
40.15,39.96,40.26,39.42
39.68,38.62,39.87,38.40
40.17,40.63,41.58,40.17
40.40,40.10,40.66,39.84
40.00,40.45,41.00,39.76
40.65,42.04,42.25,40.49
42.01,41.42,42.51,41.40
41.08,41.35,41.96,40.91
41.19,42.08,42.72,41.03
42.25,41.64,42.54,41.56
41.71,41.24,41.86,41.09
41.48,42.18,42.50,41.38
42.00,42.63,43.25,41.96
42.82,41.97,42.85,41.60
41.53,40.45,41.57,40.03
42.35,41.58,43.00,40.34
41.63,42.40,42.59,41.54
42.45,41.96,43.00,41.73
42.21,42.34,42.47,41.54
42.36,41.67,42.81,41.36
41.80,42.02,42.50,41.50
39.43,39.35,40.28,38.75
39.59,39.85,40.27,39.49
39.74,39.56,40.40,39.33
39.38,41.03,41.25,39.15
41.04,41.71,42.00,40.45
41.54,40.98,41.66,40.53
40.85,41.72,42.03,40.56
41.41,40.72,41.59,40.36
39.92,40.49,40.80,39.25
40.48,40.59,40.97,39.98
41.03,40.40,41.28,40.25
40.85,39.27,40.90,39.26
39.74,40.11,40.18,39.34
40.19,39.66,40.43,39.47
39.55,39.10,39.55,38.50
39.32,39.40,39.65,38.65
39.52,39.70,40.03,38.93
39.66,38.56,39.74,38.53
38.43,38.73,38.88,37.87
38.85,40.43,40.49,38.74
40.37,40.12,40.37,39.51
40.42,40.47,40.95,39.86
40.74,40.11,40.93,39.81
40.00,41.33,41.58,39.63
41.57,42.80,43.32,41.52
42.74,42.57,43.52,41.98
42.65,42.62,42.94,42.18
42.55,42.70,43.04,42.28
42.70,42.52,43.88,42.35
42.70,42.95,43.41,42.48
42.62,43.71,43.83,41.86
43.70,45.31,46.14,43.56
44.79,44.37,44.91,43.76
44.44,44.82,45.09,44.26
45.38,45.60,45.96,45.00
45.84,45.94,46.10,45.09
45.83,45.81,46.00,44.81
45.85,47.19,47.34,45.56
47.20,48.41,48.57,47.15
48.27,48.20,48.47,47.90
48.27,48.02,48.50,47.67
48.09,47.04,48.16,46.96
47.04,46.45,47.12,45.97
46.39,46.36,46.67,45.27
47.32,48.21,49.40,47.32
48.65,48.14,48.89,47.69
48.17,48.12,48.42,47.59
48.35,48.55,48.75,47.96
48.95,47.81,49.00,47.38
47.70,48.59,48.89,47.02
55.00,56.00,56.76,54.54
55.27,55.13,56.26,54.83
54.54,52.96,55.30,52.74
52.93,53.93,54.06,52.45
54.16,53.68,54.42,53.14
53.52,53.26,53.80,51.98
52.71,52.95,53.49,52.12
52.99,53.27,53.78,52.57
52.80,55.55,55.63,52.47
55.36,56.30,56.37,55.16
56.35,56.20,57.22,56.02
56.94,56.19,57.17,56.10
56.08,55.77,56.33,55.55
54.75,55.40,56.28,53.70
54.59,54.22,55.79,54.11
54.24,52.22,54.79,52.16
52.50,51.24,53.34,51.22
51.23,50.57,51.29,50.11
50.69,50.68,51.62,50.26
50.52,49.23,50.60,48.93
49.28,49.02,49.78,48.72
49.43,50.33,51.11,49.29
49.77,49.57,50.37,49.02
49.44,49.62,50.51,49.07
50.00,50.02,50.91,49.47
49.85,51.31,52.17,49.60
51.75,52.71,53.11,51.38
52.24,51.59,53.15,51.52
51.01,52.21,52.30,50.70
52.19,50.69,52.53,50.35
50.90,51.65,52.01,50.72
51.74,51.97,52.67,51.39
52.34,51.24,52.58,51.07
51.45,52.14,52.53,51.22
52.36,53.32,53.49,51.93
53.33,54.06,54.16,52.37
53.50,54.44,54.47,53.23
55.73,59.59,60.14,55.35
58.80,58.73,59.70,57.28
58.26,56.73,58.26,56.47
56.84,57.07,58.41,56.70
57.45,58.99,59.90,57.45
59.01,59.26,60.62,58.86
59.42,59.45,59.75,58.61
59.04,58.81,59.15,58.34
59.09,60.28,60.53,59.09
60.57,59.51,61.08,59.10
59.97,59.77,60.84,59.58
59.86,60.15,60.36,59.46
59.40,59.01,59.59,58.90
58.94,58.39,59.03,57.90
58.02,56.66,58.47,56.33
56.75,56.36,57.53,56.23
56.01,56.26,56.96,55.22
57.12,56.62,57.58,55.59
55.56,55.00,57.21,54.96
55.19,54.55,55.64,53.59
55.90,53.84,57.50,53.67
54.01,52.39,54.44,50.42
50.70,46.22,50.92,45.04
47.05,48.84,48.94,45.75
47.93,47.09,49.28,46.77
47.73,50.75,51.79,47.52
45.01,41.51,45.23,40.72
41.86,44.69,44.90,41.40
44.28,43.80,44.73,41.73
44.18,42.92,45.16,41.18
41.42,39.77,41.88,39.02
39.13,39.33,40.35,38.99
40.49,40.70,41.46,39.65
40.93,42.95,42.99,40.73
42.83,45.00,45.22,42.70
45.33,44.36,46.13,43.73
43.84,45.50,45.93,43.28
46.41,47.47,47.52,46.26
47.09,47.07,47.63,46.19
47.48,46.28,48.23,45.66
46.40,45.88,47.52,45.78
44.72,43.88,45.61,43.64
42.43,44.21,44.27,42.07
44.70,45.59,45.86,44.39
45.04,45.63,47.12,44.96
44.81,44.83,46.00,44.13
44.13,46.01,46.04,43.81
45.91,47.34,47.69,45.90
47.57,47.45,48.19,46.70
48.14,47.77,48.25,47.04
48.00,48.20,48.95,47.82
47.19,49.11,49.50,46.83
49.36,47.65,49.48,47.60
47.81,45.91,48.39,45.88
43.73,43.64,45.14,43.03
43.65,45.12,45.40,43.65
45.61,46.47,46.57,44.48
47.92,47.43,49.09,47.24
47.70,46.70,48.74,46.51
47.64,45.15,47.67,44.27
44.38,43.48,45.70,43.43
43.31,41.52,43.92,41.47
40.76,42.96,43.03,40.01
42.86,43.22,43.40,41.50
43.22,43.86,44.00,42.32
44.26,44.21,44.81,43.61
44.89,46.02,46.56,44.89
45.79,47.78,48.01,45.65
48.15,48.87,49.80,47.74
48.47,48.62,49.19,47.98
49.18,50.03,50.19,48.59
50.00,49.77,50.94,49.60
49.65,51.46,52.05,48.90
51.26,50.43,51.58,50.25
50.34,50.01,50.72,49.34
50.83,50.09,51.07,49.18
50.31,51.99,52.44,50.12
51.86,50.41,52.11,50.20
50.85,50.37,51.38,50.04
52.07,52.59,53.08,51.62
52.32,51.82,52.93,51.47
50.93,51.53,52.27,50.69
49.63,51.20,51.71,49.51
51.86,52.53,52.88,51.30
53.50,53.97,54.42,52.29
53.38,55.40,55.52,53.02
55.54,54.95,56.30,54.31
55.34,55.37,55.60,53.76
53.99,54.44,54.93,53.81
55.27,55.17,55.58,54.19
52.98,48.20,52.99,47.02
48.79,49.18,50.01,48.62
49.21,50.55,51.06,49.19
50.19,49.87,51.45,49.82
49.79,48.43,50.07,48.17
48.75,49.12,49.53,48.64
48.48,49.53,49.89,48.34
49.38,49.74,49.88,48.83
49.46,48.84,49.47,48.37
48.92,48.47,49.39,48.36
49.92,49.69,51.00,49.24
48.80,46.29,48.80,45.19
47.27,47.00,47.31,46.00
46.83,46.24,47.68,46.09
47.12,47.39,48.30,46.58
48.22,48.75,48.82,47.96
48.98,48.69,49.10,48.24
48.07,48.52,49.15,47.91
48.35,47.67,48.53,47.51
47.60,47.91,48.74,47.16
47.10,46.91,47.22,45.66
47.27,46.21,47.46,45.86
46.10,44.28,46.10,44.10
44.77,44.14,45.17,44.01
44.60,44.18,44.93,43.75
44.40,43.12,44.67,43.00
44.03,44.12,44.72,43.33
44.13,45.13,45.37,43.86
45.46,44.22,45.66,44.14
44.51,44.95,45.00,44.23
44.65,46.07,46.28,44.43
45.90,45.38,46.21,45.23
45.39,45.38,45.91,45.03
45.25,44.88,45.34,44.83
45.81,44.07,45.82,43.99
43.87,43.03,44.17,43.00
43.28,44.68,44.83,42.54
45.21,44.67,45.66,44.59
44.77,44.62,45.28,44.31
45.00,44.93,45.41,44.70
44.79,45.53,45.84,44.79
45.59,45.64,46.06,45.12
45.30,45.11,45.78,44.87
45.29,45.46,45.95,44.70
45.50,46.29,46.40,45.02
46.26,46.70,47.02,46.09
46.64,46.21,47.33,45.76
46.13,45.83,46.95,45.41
45.55,45.86,46.27,45.36
45.93,45.83,46.03,45.08
46.01,44.81,46.27,44.52
44.74,46.14,46.35,44.47
45.73,45.13,45.77,44.85
45.03,44.25,45.05,43.81
44.32,43.89,44.50,43.70
43.90,45.22,45.25,43.72
45.85,47.97,48.01,45.64
47.59,48.94,49.17,47.59
48.72,49.41,49.52,48.45
49.48,49.39,50.75,49.24
49.38,48.76,49.38,48.45
48.32,48.99,49.24,48.10
49.60,48.95,49.63,48.80
48.86,48.32,49.00,47.74
48.61,48.86,48.99,47.92
48.92,49.00,49.08,48.47
49.00,51.48,52.10,48.97
51.72,51.97,52.56,51.19
51.99,52.20,53.40,51.11
54.41,57.83,58.88,53.89
57.24,58.86,59.34,56.69
58.67,59.35,59.62,58.42
59.22,60.80,61.00,59.04
61.00,61.14,62.09,60.84
60.79,60.43,61.48,60.16
60.21,61.12,61.57,60.21
60.88,61.86,62.26,60.62
61.39,61.13,61.59,60.74
61.33,62.00,62.29,60.74
62.25,62.18,62.68,61.51
62.47,62.83,63.24,62.04
62.83,63.00,64.24,62.52
63.19,63.13,63.53,62.41
63.26,63.57,63.74,62.84
63.71,63.64,64.17,62.58
63.69,63.04,64.04,62.88
63.04,62.97,63.18,62.09
62.58,63.31,63.53,62.34
63.38,63.14,63.99,63.00
62.75,62.66,63.38,61.94
62.58,62.16,62.59,61.04
62.78,63.89,64.16,62.76
63.85,63.37,64.50,63.12
63.67,62.84,63.81,62.15
62.46,62.98,63.20,62.26
63.32,63.02,63.35,62.56
63.14,63.63,64.02,62.34
63.64,63.89,64.50,63.44
63.08,63.55,63.57,62.97
63.50,63.52,64.37,63.19
62.60,63.10,63.33,62.15
62.86,61.02,63.10,60.81
61.41,62.37,62.57,61.36
62.42,63.15,63.54,62.07
62.90,63.29,63.80,62.75
63.47,63.69,63.97,62.71
64.01,64.27,64.84,63.98
64.09,64.29,64.41,63.72
64.08,63.63,64.40,63.07
63.81,63.40,64.04,63.04
62.97,62.70,63.19,62.09
62.68,62.61,62.92,62.07
63.03,63.88,64.46,63.03
63.87,64.74,64.89,63.85
64.89,64.99,65.49,64.41
64.50,64.56,64.83,63.64
64.97,64.34,65.28,64.03
64.28,66.00,66.19,64.28
66.38,65.39,66.56,65.14
65.26,65.60,65.81,64.44
65.32,66.50,67.22,65.23
66.04,65.60,66.21,63.73
64.93,65.48,66.24,63.88
65.74,66.19,66.70,65.10
69.75,70.43,72.46,69.25
70.12,69.02,70.44,68.47
69.02,68.82,70.28,68.16
68.82,68.78,69.32,67.96
68.94,65.38,69.02,65.15
65.46,65.21,66.16,64.39
65.47,67.50,67.69,64.91
67.78,68.32,68.70,67.54
67.84,68.80,69.06,66.98
69.05,69.81,69.81,68.79
69.91,69.49,70.15,69.22
69.92,70.30,70.52,69.16
69.53,68.40,69.53,67.85
68.59,67.24,68.59,67.02
65.87,66.21,67.04,65.61
66.18,65.85,66.66,64.80
65.51,65.98,66.70,65.02
66.66,67.12,67.89,66.39
67.83,65.82,67.83,65.70
65.66,67.98,67.99,65.52
68.41,66.12,68.51,66.11
66.19,66.84,67.07,65.32
66.52,64.97,66.52,64.50
65.01,66.06,66.45,64.73
66.26,66.29,66.99,65.75
65.97,67.03,67.22,64.99
67.05,69.24,69.40,67.05
69.50,69.09,69.89,68.48
69.02,66.05,69.14,65.74
66.50,65.27,66.62,65.11
64.77,64.61,65.01,64.00
64.69,65.53,65.97,64.41
65.11,63.18,65.24,62.43
62.54,63.53,63.67,61.97
65.17,63.68,65.17,63.38
64.12,63.60,64.27,63.08
63.86,63.41,64.31,62.44
63.53,64.92,65.45,63.20
64.46,64.56,64.85,63.74
64.25,64.65,65.16,63.91
64.84,65.70,66.68,64.75
65.59,63.22,65.97,62.79
62.95,62.03,62.95,60.76
62.08,62.53,62.79,61.70
62.15,61.68,62.60,61.21
61.83,62.14,62.31,61.72
61.80,63.15,63.45,61.76
63.48,65.11,65.39,63.38
64.88,64.76,65.34,64.32
63.72,63.90,64.25,62.83
64.04,62.58,64.09,62.32
62.60,62.93,63.36,62.00
63.72,63.38,63.91,62.55
63.73,65.39,65.75,63.73
65.43,66.86,66.88,65.35
66.12,65.23,67.21,65.20
65.50,65.32,65.77,64.29
64.95,64.86,66.53,63.94
66.00,66.62,67.00,65.54
66.93,68.75,69.23,66.85
69.54,69.41,70.24,69.15
69.38,70.31,72.05,69.38
74.82,74.19,76.33,73.59
73.71,74.16,74.77,73.35
74.26,73.84,74.60,73.24
74.30,73.91,74.45,73.54
73.95,74.19,74.51,73.79
74.25,75.06,75.19,73.96
75.02,75.01,75.50,74.95
75.02,75.12,75.68,74.88
75.44,74.42,75.47,74.04
74.43,74.92,75.17,74.43
74.61,73.79,74.74,73.56
73.72,74.47,74.72,73.65
75.00,74.60,75.18,74.22
74.53,75.32,75.56,74.52
75.52,75.84,76.48,75.50
75.50,75.37,75.93,75.21
75.68,75.08,75.85,74.69
75.27,75.55,75.92,74.85
75.50,74.88,75.73,74.72
75.74,76.72,76.91,75.51
76.73,77.63,78.20,76.73
77.48,77.94,78.39,77.35
77.66,77.46,78.10,77.38
77.59,78.21,78.75,77.42
77.99,78.24,78.63,76.86
78.24,79.13,79.23,78.22
79.03,78.24,79.17,77.80
77.95,77.40,78.04,77.01
77.53,78.76,79.00,77.35
78.28,77.34,78.49,76.81
77.84,77.10,78.33,77.02
77.05,75.31,77.16,75.02
75.76,74.28,76.35,73.98
74.24,72.94,74.28,72.71
73.21,72.58,73.59,72.28
72.39,72.32,72.78,71.69
72.75,72.41,73.84,72.06
72.66,73.10,73.43,72.33
73.29,73.66,73.68,73.01
74.13,74.78,75.58,73.68
75.20,76.12,76.59,75.20
75.74,74.86,75.91,74.66
74.85,74.70,75.35,73.99
74.90,73.53,74.90,73.25
74.34,74.91,75.46,74.11
75.36,74.69,75.50,74.29
74.68,76.52,76.60,74.68
76.53,77.29,78.00,76.53
77.59,78.51,78.75,77.27
77.97,78.48,79.24,77.96
78.22,76.99,78.40,76.28
76.65,76.99,77.19,76.21
76.25,75.82,76.35,74.03
76.18,75.10,76.30,74.52
75.94,75.35,76.11,74.41
75.32,75.69,76.16,74.30
75.68,77.00,77.16,75.11
77.04,80.11,80.63,77.04
80.50,79.23,80.50,79.02
79.19,81.26,81.57,79.19
81.05,81.83,82.38,81.05
81.85,80.81,82.99,80.37
85.17,83.95,86.71,83.74
83.55,83.46,84.92,83.22
83.67,82.86,84.03,82.42
82.85,84.04,85.47,82.64
84.84,82.50,84.84,82.18
82.21,82.58,83.66,81.79
82.11,83.53,83.72,81.84
83.87,84.90,84.98,83.87
84.68,85.63,86.00,84.25
86.10,86.00,86.62,85.15
86.15,86.44,86.80,85.80
86.52,85.84,86.52,84.43
87.91,87.72,88.71,87.25
87.50,88.98,89.30,87.50
89.00,89.05,89.42,88.01
89.45,88.91,89.93,88.63
89.27,89.01,89.98,88.75
88.91,88.92,89.40,88.25
84.27,83.04,84.27,81.15
83.26,83.37,84.25,82.96
83.90,84.69,85.47,83.39
84.45,84.45,84.76,83.52
84.50,84.23,84.84,83.41
84.66,83.82,84.66,83.32
83.97,82.90,84.19,82.56
82.56,82.30,83.30,82.26
82.68,83.98,83.98,82.32
84.19,83.75,84.35,83.45
83.85,84.30,85.06,83.03
84.42,83.68,84.52,83.12
83.12,82.76,83.39,82.54
82.91,83.09,83.64,82.49
82.93,81.90,83.43,81.38
82.26,81.13,82.26,79.82
80.66,80.47,81.99,80.28
80.43,83.77,84.48,80.43
84.24,81.53,85.47,80.83
81.36,81.30,82.37,80.68
81.30,81.23,81.47,80.48
81.00,80.22,81.23,79.08
80.30,79.92,80.33,79.35
80.09,80.06,80.59,79.88
80.06,80.43,80.50,78.66
80.04,80.31,80.77,79.95
80.08,79.50,80.47,79.00
78.94,81.69,81.73,78.65
81.92,81.30,82.18,80.78
81.00,81.48,81.91,80.84
81.36,82.07,82.29,81.02
82.09,81.17,82.32,80.59
80.99,81.04,81.44,80.71
83.01,84.32,84.87,82.82
84.80,84.66,85.16,83.86
84.61,84.03,84.74,83.30
83.70,84.54,84.83,83.55
84.65,84.24,84.82,83.96
84.03,84.41,84.77,83.88
85.16,85.41,86.13,84.48
84.97,84.13,85.65,83.94
84.47,86.19,87.16,84.28
86.15,87.02,87.50,85.89
87.23,87.43,87.48,85.72
87.36,87.68,87.94,86.96
87.46,86.92,87.76,86.83
87.13,87.36,87.82,86.51
87.38,87.29,88.22,86.78
87.20,88.23,88.39,86.91
88.08,87.47,89.42,85.85
87.74,87.88,88.05,86.73
87.87,86.45,88.21,86.44
86.44,85.48,87.24,84.53
85.68,84.92,85.79,83.89
81.00,76.92,81.00,75.33
77.38,77.73,77.84,75.80
77.65,79.01,79.58,77.52
78.66,79.68,80.28,78.47
79.41,80.27,80.27,78.88
79.97,80.36,80.81,79.60
80.85,80.01,80.85,79.65
79.80,80.30,80.64,79.33
80.30,80.22,80.55,79.71
80.70,80.62,81.22,79.95
80.36,80.55,80.69,80.00
80.46,80.38,80.93,79.98
80.25,80.21,81.23,80.08
80.58,80.04,80.63,79.95
80.24,80.23,80.46,79.65
79.52,79.84,80.22,79.38
79.96,78.59,80.01,77.82
79.00,79.61,80.13,78.94
79.61,78.52,80.16,78.21
78.99,78.80,79.23,78.55
79.08,79.11,80.24,78.71
79.27,79.37,79.69,78.71
78.76,78.94,79.20,78.39
78.93,78.55,78.93,78.27
78.67,79.47,80.05,78.19
79.86,79.49,79.90,79.16
79.57,78.85,79.94,78.40
78.86,80.09,80.09,78.58
78.59,80.43,80.49,78.59
80.29,80.92,80.94,80.15
80.98,80.02,80.98,79.72
80.09,81.30,81.52,80.09
81.47,81.46,82.83,81.22
81.13,82.69,82.84,81.13
82.07,78.66,82.30,78.59
79.25,79.29,79.73,78.70
78.69,79.24,79.43,78.38
79.47,77.92,79.47,77.86
77.92,79.08,79.30,77.80
79.25,79.11,79.45,78.26
79.59,80.37,80.46,79.27
79.94,80.99,81.40,79.62
81.44,83.06,83.60,81.31
83.09,83.31,83.76,82.51
83.57,82.65,83.75,82.13
82.61,82.41,82.92,82.30
82.25,82.02,82.77,81.36
82.14,82.90,82.96,81.94
83.71,84.34,84.66,83.71
84.57,85.04,85.29,83.95
85.30,86.28,86.44,84.36
85.23,86.59,86.64,84.95
86.37,86.15,86.93,85.46
86.65,87.19,87.34,86.39
86.71,86.83,87.60,86.51
87.00,87.71,87.89,86.65
87.49,89.09,89.37,87.29
92.00,91.05,92.95,90.57
91.48,92.01,92.12,90.91
91.81,92.18,92.86,91.68
92.31,93.69,94.03,92.19
94.09,93.23,94.86,92.76
92.63,93.68,94.00,92.49
93.18,93.39,93.79,92.38
94.04,93.54,94.56,92.65
93.02,93.25,93.66,92.04
93.24,92.62,93.90,92.46
92.34,92.27,94.54,92.23
92.49,91.44,92.68,90.92
89.51,86.81,90.93,86.50
86.76,84.91,87.50,84.87
85.02,85.21,85.72,84.09
85.21,85.37,86.08,84.89
85.72,85.09,86.24,84.87
84.04,83.43,84.54,83.14
83.83,83.02,84.22,82.55
83.16,84.65,84.74,82.87
84.09,83.82,84.76,83.56
83.94,84.96,85.45,83.94
85.33,86.10,86.11,84.98
85.74,84.65,86.30,84.61
84.25,81.17,84.72,80.86
