TRV,The Travelers Companies,NASDAQ
58.47,58.86,58.98,58.44
57.63,58.52,58.82,57.51
58.26,58.05,58.84,58.02
58.54,58.68,58.83,58.21
59.26,58.06,59.51,58.06
58.44,58.95,58.97,58.32
58.97,58.28,59.28,58.27
58.19,58.43,58.51,57.99
58.55,58.83,58.92,58.23
58.73,58.98,59.28,58.43
59.09,58.91,59.16,58.86
58.59,59.26,59.43,58.37
59.54,59.39,59.97,59.06
59.46,59.48,60.01,59.26
59.76,59.71,59.99,59.44
59.83,59.63,60.00,59.52
59.64,59.13,59.68,59.12
59.46,59.94,60.00,59.31
59.89,59.79,60.00,59.52
59.84,59.58,59.95,59.35
59.85,60.42,60.85,59.79
60.15,59.69,60.49,59.33
60.12,59.93,60.46,59.67
59.70,59.63,59.78,59.00
59.75,59.80,59.98,59.37
59.32,59.01,59.33,58.49
59.05,58.18,59.10,58.07
58.93,59.13,59.55,58.88
60.74,61.32,61.36,60.52
61.32,61.78,62.08,61.19
61.79,61.39,61.85,60.91
61.31,62.25,62.27,61.31
61.92,63.06,63.37,61.91
62.96,63.28,63.32,62.61
63.56,63.52,63.79,63.29
63.63,64.05,64.12,63.42
63.82,63.54,63.92,63.06
63.69,63.00,63.99,62.85
63.57,63.43,64.17,63.07
63.23,63.39,63.54,62.85
63.37,63.86,63.90,63.06
63.77,63.25,64.09,63.02
63.23,63.85,63.92,62.44
63.74,62.33,63.88,62.18
62.52,62.94,63.11,62.39
62.77,62.57,63.03,62.13
62.47,63.00,63.04,62.13
63.00,62.81,63.00,62.35
62.64,62.25,63.11,62.18
61.74,61.44,62.00,61.38
61.62,61.02,61.67,61.00
60.74,61.46,61.55,60.37
61.26,61.21,61.76,60.68
61.30,61.52,61.80,61.19
61.95,62.08,62.18,61.74
61.70,61.20,62.25,61.17
61.13,61.18,61.36,60.81
60.65,61.18,61.76,60.59
61.35,61.06,61.64,60.89
61.25,61.23,61.68,61.16
60.79,60.69,60.96,60.43
60.86,61.08,61.34,60.43
60.46,59.21,60.46,58.71
59.12,58.76,59.32,58.68
59.17,58.65,59.18,58.38
58.27,57.54,58.29,57.49
57.54,57.76,58.08,57.36
58.09,57.92,58.20,57.69
57.57,57.57,57.85,57.09
57.61,58.08,58.28,57.37
57.86,57.32,58.25,57.29
56.90,57.16,57.28,56.12
57.02,56.68,57.12,56.27
56.83,57.22,57.55,56.67
57.29,57.55,57.65,57.13
57.52,58.57,58.69,57.44
58.64,58.38,58.67,58.26
58.51,59.11,59.27,58.45
59.08,58.53,59.50,58.46
58.56,58.61,59.02,58.22
59.01,58.90,59.36,58.57
58.63,58.66,58.73,58.08
58.29,58.25,58.75,58.11
58.35,58.33,59.02,58.26
58.49,58.47,59.05,58.30
58.69,57.73,58.83,57.67
58.14,57.90,58.31,57.60
57.52,56.52,57.54,56.37
56.83,57.03,57.24,56.70
57.22,57.06,57.33,56.70
56.80,57.69,57.81,56.44
57.90,57.58,58.05,57.35
56.87,56.65,57.04,56.40
56.59,56.80,57.17,56.31
56.75,56.27,56.75,56.21
56.31,55.50,56.47,55.40
55.08,55.13,55.58,54.88
55.10,54.61,55.58,54.36
54.12,54.16,55.07,54.12
54.09,54.22,54.25,53.26
53.43,53.31,54.06,53.12
54.01,52.57,54.15,52.08
51.57,48.58,52.11,48.55
49.55,51.69,51.69,48.54
49.66,49.04,50.98,48.94
48.91,51.39,52.03,48.90
51.11,51.13,51.92,50.66
51.24,52.27,52.27,51.20
51.73,51.98,52.52,51.54
52.43,52.20,52.58,51.88
50.68,49.79,51.03,49.46
49.67,49.46,50.63,49.39
50.50,49.12,50.51,49.00
49.16,49.35,49.43,48.49
48.93,49.51,49.91,48.61
49.52,47.99,49.77,47.71
47.67,48.30,48.58,46.62
49.78,50.75,50.95,49.52
50.39,50.21,50.57,49.84
50.38,50.46,50.97,50.06
50.40,50.21,50.73,50.08
49.49,48.87,49.65,48.87
47.59,48.53,48.63,47.59
48.83,50.22,50.23,48.70
49.82,49.34,50.03,49.16
48.95,48.14,48.99,47.89
47.42,48.96,48.96,47.29
49.20,48.94,49.20,48.36
49.03,48.94,49.39,48.24
49.19,49.84,49.84,48.78
49.91,50.61,50.70,49.78
50.06,49.90,50.23,49.50
51.29,50.42,51.54,50.35
50.32,48.19,50.41,48.18
46.77,47.38,48.13,46.72
47.02,47.12,47.44,46.64
47.52,48.34,48.36,47.14
49.52,49.24,50.45,48.93
49.54,48.17,49.92,48.16
49.25,49.69,49.99,48.75
49.24,48.73,49.74,48.73
48.42,46.80,49.01,46.77
46.24,48.08,48.21,45.97
47.84,49.57,49.65,47.18
49.33,50.19,50.23,48.68
50.56,49.00,50.67,48.96
50.00,51.10,51.10,49.90
51.03,50.42,51.17,50.31
50.82,51.44,51.95,50.70
50.83,50.45,50.94,49.97
51.29,51.27,51.33,50.35
50.70,49.58,50.77,49.58
50.06,51.46,51.77,49.52
52.23,54.39,55.09,52.00
54.15,54.53,54.76,53.39
55.16,57.35,57.35,54.95
57.16,57.62,58.00,57.01
57.09,56.34,57.40,56.14
57.27,57.50,57.70,56.68
58.79,59.40,59.63,58.02
59.36,59.48,59.62,59.02
58.91,58.35,59.09,58.33
57.35,56.43,58.23,56.36
57.05,57.71,57.75,56.90
58.12,58.58,58.66,57.61
57.84,58.14,58.56,57.62
57.82,58.62,58.62,57.55
58.75,59.03,59.22,58.37
57.81,56.92,58.03,56.76
57.29,57.41,57.60,56.89
57.99,58.43,58.57,57.89
58.16,57.53,58.47,57.38
57.17,57.29,57.74,57.10
56.41,56.34,57.28,56.11
56.30,55.73,56.79,55.41
56.03,56.22,56.44,55.44
55.64,54.76,55.90,54.67
54.63,53.94,54.76,53.86
53.53,52.76,53.81,52.76
52.58,53.41,53.93,52.51
54.44,54.22,54.44,53.81
54.26,54.07,54.29,53.80
55.85,56.25,56.32,55.51
56.24,55.04,56.38,54.85
55.62,54.24,55.67,54.17
54.85,54.67,55.23,54.37
54.41,55.35,55.80,54.28
54.76,55.90,56.11,54.73
55.58,55.53,56.05,55.44
55.76,56.02,56.21,55.61
55.47,55.83,55.94,55.35
56.14,55.93,56.84,55.58
55.77,55.97,56.52,55.77
56.67,56.81,57.17,56.37
57.13,57.28,57.55,56.95
57.47,56.71,57.72,56.59
57.60,58.15,58.34,57.42
58.40,59.09,59.27,58.24
59.24,59.19,59.67,58.83
59.51,59.35,59.65,59.06
59.40,59.53,59.89,59.23
59.55,58.86,59.66,58.82
59.15,59.68,59.82,59.05
59.42,59.17,59.68,59.16
60.11,58.99,60.32,58.98
58.84,58.75,59.07,58.14
58.36,59.33,59.36,58.08
59.57,59.35,59.73,59.11
59.82,59.69,59.88,59.34
60.23,60.10,60.28,59.78
59.91,59.90,60.05,59.73
60.05,59.80,60.37,59.60
59.27,59.37,59.46,58.80
59.86,59.69,60.31,59.53
59.50,59.89,60.00,59.38
59.98,60.30,60.45,59.89
60.26,61.59,61.62,60.00
61.54,60.29,61.61,60.17
59.85,58.00,59.90,57.92
57.95,59.15,59.20,57.45
59.20,58.70,59.70,58.66
58.35,58.05,58.58,57.40
57.68,58.11,58.32,57.36
58.49,58.30,58.79,58.03
58.55,59.27,59.57,58.51
59.09,59.39,59.42,58.94
59.58,60.12,60.13,59.47
59.09,59.33,59.78,59.09
59.00,59.74,60.00,59.00
59.66,59.85,59.89,59.21
59.90,59.89,60.28,59.45
59.42,59.38,59.65,58.97
59.69,58.99,59.97,58.79
58.59,59.16,59.19,58.53
59.22,59.29,59.64,59.03
59.41,59.44,59.71,59.04
59.68,59.85,60.00,59.47
59.95,59.27,59.99,58.98
59.33,58.94,59.81,58.82
58.88,58.96,59.50,58.60
58.98,58.60,59.29,58.41
58.36,58.60,58.84,57.92
58.66,58.40,58.82,58.28
58.40,57.97,58.69,57.49
57.99,58.42,58.85,57.87
57.66,58.01,58.08,57.46
57.92,58.50,58.62,57.45
58.04,56.99,58.17,56.82
56.62,56.87,57.04,55.86
56.95,57.10,57.27,56.49
57.32,57.61,57.62,57.10
57.58,57.61,57.86,57.50
57.94,58.41,58.47,57.49
58.33,58.95,59.17,58.11
58.84,59.08,59.36,58.69
59.68,59.20,59.98,59.08
59.26,59.12,59.56,59.02
58.73,59.16,59.49,58.66
58.81,58.51,59.02,58.33
58.36,57.97,58.40,57.95
58.16,58.20,58.36,57.96
58.68,58.85,59.07,58.43
58.89,58.48,59.03,58.46
58.49,58.77,58.92,58.48
58.47,58.65,58.75,58.38
59.05,59.20,59.39,58.63
59.25,59.33,59.75,58.68
59.33,59.28,59.54,58.88
58.83,59.22,59.44,58.59
59.10,58.88,59.42,58.76
58.10,58.05,58.47,57.92
58.01,57.75,58.26,57.75
58.31,58.17,58.31,57.95
58.28,59.10,59.17,57.95
59.08,58.12,59.14,58.11
58.44,59.16,59.35,58.44
59.91,59.99,60.98,59.66
60.00,59.47,60.18,59.40
61.15,61.70,62.44,61.01
61.91,62.75,62.90,61.77
61.81,62.91,63.01,61.67
62.83,63.37,63.60,62.57
63.61,63.78,63.94,63.36
64.02,64.77,64.82,63.53
64.75,64.01,64.75,63.85
63.95,64.32,64.72,63.75
64.76,64.60,64.99,64.47
64.57,64.74,64.82,64.19
64.75,64.75,65.27,64.59
64.83,64.50,64.83,63.92
64.30,64.59,64.83,63.72
64.42,64.39,64.93,63.97
63.86,63.92,64.32,63.60
64.22,64.64,64.82,64.20
64.08,64.62,64.85,63.77
64.21,64.48,65.00,64.15
64.54,64.15,64.79,63.96
64.28,63.61,64.58,63.61
63.74,62.70,63.92,62.66
63.03,62.18,63.03,62.04
62.31,62.70,62.89,62.04
62.63,62.82,63.19,62.23
62.32,63.12,63.21,62.19
63.11,63.19,63.27,62.50
63.05,62.60,63.34,62.43
63.09,62.88,63.23,62.70
62.51,61.89,62.51,61.89
61.91,62.49,62.98,61.89
61.85,60.58,62.22,60.54
60.80,60.38,61.06,60.21
60.08,60.80,60.88,60.08
61.04,61.64,61.64,60.61
61.82,61.91,62.56,61.66
61.81,62.14,62.17,61.73
62.92,61.56,62.92,61.49
61.65,61.94,61.94,61.36
61.66,61.65,62.03,61.40
61.66,63.12,63.30,61.65
63.50,63.41,63.58,62.85
63.25,63.07,63.69,62.94
63.37,63.45,63.78,63.27
63.39,63.85,64.11,63.37
63.96,62.58,64.11,62.50
62.73,63.35,63.74,62.69
62.87,62.15,62.91,62.07
62.31,62.15,62.40,61.88
62.34,62.83,63.01,62.13
62.50,62.85,62.91,61.85
63.67,63.84,64.02,63.45
64.08,63.92,64.16,63.57
63.74,64.13,64.17,63.69
63.90,63.96,64.34,63.71
63.52,63.26,63.79,62.92
63.09,63.07,63.50,62.99
63.24,63.21,63.70,62.56
63.20,62.53,63.32,62.28
62.03,62.24,62.50,61.60
62.28,63.13,63.13,62.09
63.14,62.55,63.14,62.46
62.78,63.31,63.34,62.13
63.01,64.00,64.15,63.01
64.52,63.69,64.62,63.11
63.29,62.71,63.46,62.35
61.90,61.74,61.93,61.24
61.68,60.89,61.68,60.62
61.17,60.98,61.49,60.93
61.78,61.61,62.64,61.57
62.08,62.72,63.28,61.70
62.83,63.21,63.65,62.66
63.00,62.65,63.47,62.45
63.18,63.35,63.89,63.10
62.77,62.87,63.24,62.45
63.66,63.71,64.07,63.56
63.89,63.52,64.10,63.50
63.56,63.37,63.92,63.16
63.10,63.81,64.07,63.05
63.77,63.89,64.22,63.75
63.71,63.98,64.10,63.40
63.82,63.73,63.98,63.58
63.78,63.54,64.06,63.43
63.52,63.75,64.24,63.41
63.80,64.03,64.14,63.52
64.43,65.13,65.19,64.35
64.98,65.64,65.65,64.81
65.63,65.23,65.72,64.94
65.17,65.45,65.65,64.97
65.38,64.80,65.50,64.56
64.78,65.40,65.60,64.67
65.48,65.18,65.58,64.85
65.00,64.84,65.25,64.77
64.97,64.80,65.08,64.39
64.48,64.49,64.73,64.15
64.90,64.74,65.31,64.54
64.76,64.64,64.96,64.24
64.57,64.53,64.87,64.35
64.62,65.34,65.60,64.47
65.40,65.21,65.51,65.01
65.18,65.31,65.57,65.00
65.40,66.95,66.98,65.40
67.07,67.54,68.23,67.01
67.44,68.45,68.62,67.40
68.46,68.58,68.99,68.30
68.56,68.48,68.76,68.38
68.39,68.46,68.50,67.88
68.74,68.23,68.84,68.23
67.92,68.45,68.72,67.90
68.37,68.61,68.97,68.24
68.53,68.42,68.79,68.19
68.75,68.48,69.24,68.43
68.44,67.78,68.66,67.62
68.26,68.41,68.52,67.80
68.08,68.26,68.54,67.67
68.76,69.07,69.49,68.66
68.47,68.70,68.95,68.38
68.74,69.01,69.06,68.48
69.28,69.28,70.00,69.02
69.89,69.56,69.91,69.27
69.27,69.54,69.65,69.19
69.53,69.32,69.61,69.00
69.43,69.40,69.78,69.16
69.75,69.16,69.76,69.06
69.39,68.72,69.39,68.54
68.86,69.79,69.82,68.75
69.97,70.49,71.09,69.60
70.84,71.38,71.38,70.52
73.51,73.94,74.70,73.21
73.93,73.51,74.25,73.03
73.19,73.99,74.00,73.19
73.28,73.38,73.62,73.02
73.45,73.18,73.60,72.61
73.51,72.12,73.57,71.83
71.88,71.56,72.04,71.13
70.56,70.94,71.30,70.01
71.16,70.23,72.12,69.73
70.39,69.62,70.45,68.73
69.06,69.11,69.53,68.56
69.28,70.17,70.49,69.23
69.79,68.71,69.79,68.44
68.71,69.00,69.57,68.63
68.38,68.98,69.34,67.82
69.34,68.43,69.35,67.86
67.99,68.23,68.96,67.89
68.42,68.07,69.04,67.89
68.32,68.32,68.59,67.95
68.41,68.65,68.74,67.77
69.20,69.54,69.58,68.83
69.60,69.64,69.77,69.09
69.57,70.22,70.23,69.18
70.26,71.27,71.29,70.18
70.81,70.86,71.25,70.46
70.74,70.83,71.32,70.52
70.61,70.96,70.99,69.80
71.10,71.18,71.65,70.89
71.41,70.82,71.42,70.58
70.91,70.95,71.44,70.65
71.07,70.53,71.31,70.52
72.22,74.00,74.36,71.81
73.76,73.15,73.76,72.89
73.51,73.39,73.87,73.15
73.32,73.34,73.72,73.18
73.54,73.43,73.73,73.21
73.64,73.31,74.16,73.26
73.44,73.23,73.96,73.19
73.34,73.37,73.62,73.04
73.75,74.19,74.50,73.61
74.25,74.33,74.49,73.92
74.48,73.43,74.50,73.41
73.43,73.82,73.95,73.20
73.47,72.82,73.57,72.73
72.61,72.36,72.74,72.33
72.47,72.27,72.70,72.15
72.27,71.82,72.43,71.11
71.24,71.24,71.84,71.13
71.01,71.82,71.84,70.73
73.09,72.86,73.09,72.50
72.80,73.42,73.60,72.52
73.50,74.06,74.19,73.36
73.67,73.06,73.89,72.60
72.98,73.19,73.39,72.85
73.42,73.94,74.13,73.32
74.31,74.45,74.47,74.00
74.39,74.85,74.87,74.29
74.87,74.95,75.14,74.58
74.69,75.56,75.71,74.51
75.48,75.55,75.92,75.11
75.62,75.90,76.12,75.29
76.09,76.31,76.67,75.95
79.50,77.95,80.00,77.76
78.06,77.64,78.10,77.15
77.78,78.09,78.49,77.62
78.25,78.35,78.55,77.82
78.20,77.35,78.44,77.33
77.40,77.81,78.00,77.28
77.63,77.58,77.87,77.09
77.59,78.46,78.59,77.49
79.00,79.89,80.44,78.96
78.57,78.00,78.83,77.79
78.20,78.65,79.03,78.00
78.15,78.96,78.98,78.03
79.14,79.12,79.16,78.05
79.12,78.86,79.12,78.43
78.75,79.21,79.32,78.53
79.10,79.90,80.18,79.10
79.90,79.99,80.31,79.81
79.64,80.34,80.47,79.53
80.76,80.39,80.85,79.95
80.50,80.60,81.07,80.27
80.66,80.11,80.96,80.07
80.08,80.38,80.40,79.92
80.68,81.01,81.15,80.58
80.99,79.25,81.00,79.25
79.42,80.04,80.11,79.28
80.11,80.78,80.84,79.87
80.61,80.42,81.25,80.33
80.16,80.69,80.72,79.35
80.65,80.52,80.65,79.99
80.79,81.46,82.00,80.56
81.61,81.07,81.88,80.90
81.11,81.20,81.44,80.90
81.68,81.65,82.05,81.24
81.58,81.75,81.80,81.18
81.56,81.74,81.94,81.47
81.77,82.12,82.27,81.72
82.24,82.36,82.89,81.98
82.64,82.28,83.15,81.96
81.86,82.53,83.11,81.86
82.74,83.19,83.41,82.66
83.60,83.84,84.10,83.37
83.53,83.75,84.09,83.40
84.37,83.69,84.37,83.42
84.03,83.37,84.11,82.94
83.64,83.36,84.06,83.19
83.10,83.37,83.59,82.57
83.43,84.19,84.28,83.43
84.37,83.95,84.72,83.75
84.10,84.41,84.62,84.10
84.64,83.72,84.72,83.67
83.92,84.34,84.61,83.85
83.78,84.41,84.48,83.34
84.38,84.73,84.79,83.98
84.97,85.27,85.60,84.65
85.29,84.81,85.61,84.64
84.99,86.06,86.13,84.99
85.91,86.26,86.41,85.61
86.20,84.71,86.61,84.71
85.08,86.55,86.60,84.75
86.06,85.07,86.15,84.80
85.43,84.10,85.70,83.73
84.33,84.81,84.94,84.24
84.80,84.58,85.03,83.95
87.41,86.35,89.00,85.76
86.36,85.86,86.64,85.57
85.95,85.27,86.00,85.07
85.22,85.15,85.85,85.13
85.20,85.48,85.60,84.75
85.26,85.41,85.64,85.04
85.46,84.10,85.49,83.98
84.11,84.42,84.51,84.00
85.05,85.41,85.71,85.03
85.37,85.31,85.56,84.91
86.22,86.02,86.23,85.51
86.12,87.28,87.29,86.02
87.28,86.46,87.40,86.23
86.56,86.49,86.69,86.00
86.31,86.50,86.84,86.19
86.60,87.90,87.90,86.50
87.65,87.78,87.91,87.03
87.59,86.87,87.69,86.62
87.10,86.50,87.35,86.05
86.24,85.55,86.67,85.43
85.35,83.63,85.66,83.16
83.56,83.77,84.32,83.27
83.14,83.50,83.84,82.76
82.91,83.60,83.62,82.59
84.38,83.22,84.46,82.74
82.89,83.67,83.96,82.63
83.66,84.56,84.78,83.66
84.39,83.72,85.09,83.72
83.78,83.76,84.08,82.96
83.90,83.82,84.32,83.43
83.50,82.24,83.90,82.20
81.86,81.74,81.95,80.63
82.14,83.44,83.72,81.50
83.44,83.30,83.62,82.52
82.55,82.08,82.90,81.88
82.56,81.45,82.84,81.44
81.52,82.80,82.83,80.91
82.88,82.15,83.08,81.97
82.48,83.23,83.79,82.48
83.42,84.09,84.27,83.41
83.89,82.28,84.08,82.28
81.52,79.78,81.71,79.68
