MLM,Martin Marietta Materials,NASDAQ
89.01,87.86,93.00,83.78
87.15,88.14,90.22,86.36
91.13,93.66,94.01,91.13
92.50,91.23,93.83,91.12
91.81,93.83,93.94,91.81
93.74,93.23,94.16,92.54
92.30,92.03,92.76,91.30
92.26,93.55,93.73,90.59
94.39,92.84,95.06,92.53
92.57,92.87,94.30,91.78
90.37,89.00,91.39,88.69
87.40,90.03,90.40,87.24
90.38,90.77,91.52,89.50
88.04,92.08,92.26,87.59
92.69,93.98,95.45,92.69
96.13,95.27,96.26,94.23
95.32,93.23,95.32,93.00
92.74,91.83,94.66,91.75
92.13,93.91,93.91,91.99
94.29,94.99,95.30,93.54
92.30,89.18,93.56,88.90
89.13,87.81,89.41,87.17
87.56,88.27,88.44,87.00
88.72,87.98,89.93,87.66
90.59,91.40,92.10,89.27
90.97,91.98,92.34,90.77
92.60,91.92,93.98,91.66
92.60,93.02,93.23,91.78
92.68,92.86,93.78,91.45
93.25,92.05,93.61,90.76
92.12,92.17,93.00,91.95
94.00,92.61,94.65,92.01
92.31,89.34,92.77,89.08
89.26,90.14,90.90,88.01
89.65,88.00,89.85,87.83
88.11,88.62,88.94,86.70
88.23,87.95,89.24,87.88
86.33,85.40,86.33,83.54
85.04,84.81,86.08,84.12
84.65,85.29,86.14,83.39
85.78,85.90,86.60,84.85
87.66,87.12,88.89,86.05
87.07,85.75,87.07,85.19
86.21,85.09,86.77,84.43
85.22,86.64,87.07,85.09
86.22,84.56,86.47,84.17
85.61,86.78,87.15,85.45
86.72,86.23,86.72,85.25
86.05,85.81,86.07,84.17
85.07,82.36,85.33,81.81
83.01,82.29,83.11,81.50
81.49,84.57,84.91,80.81
84.82,83.93,85.50,83.24
85.29,85.70,86.31,84.83
85.32,87.11,87.29,85.00
87.41,88.40,88.64,86.88
88.72,86.34,88.77,86.25
85.95,85.43,86.27,84.83
85.85,84.41,86.13,83.46
83.49,85.40,85.87,82.84
87.08,87.38,88.72,86.26
85.02,82.41,87.38,82.05
82.12,81.59,82.97,79.94
81.17,82.19,82.44,80.84
81.44,82.61,82.81,81.21
82.84,82.86,83.26,82.06
81.72,81.83,82.30,80.84
80.08,79.03,80.57,78.42
78.41,78.07,78.81,77.35
77.94,77.78,78.82,77.75
77.21,76.61,78.10,76.10
77.64,78.64,79.14,77.23
78.44,78.91,79.82,78.06
79.04,76.95,79.04,76.54
76.51,77.76,77.87,76.01
78.38,76.80,78.73,76.70
75.60,72.61,75.60,72.37
72.18,73.05,73.51,71.50
73.30,73.12,74.24,72.66
73.72,75.16,75.33,72.63
74.67,73.12,74.67,73.00
72.90,73.20,73.56,72.46
74.10,75.65,75.87,74.02
75.74,77.15,77.24,75.50
78.34,77.28,79.70,76.84
77.89,78.79,80.68,77.89
78.88,77.01,79.10,76.85
78.08,77.18,78.22,76.53
77.18,77.35,77.83,76.98
78.34,78.55,79.25,77.56
79.22,77.65,79.59,77.56
77.14,76.87,77.77,76.63
76.80,76.37,77.22,75.61
75.41,75.30,75.86,74.83
75.71,75.43,75.97,74.78
75.89,76.35,77.87,75.89
76.31,75.49,76.97,75.26
74.72,74.34,75.32,73.98
75.63,76.44,76.81,74.89
76.61,75.93,76.65,75.55
76.00,76.12,76.34,74.78
75.91,77.00,77.06,75.63
77.64,76.97,78.18,76.94
77.88,78.18,78.50,77.27
77.90,77.59,78.17,76.94
78.48,78.58,79.24,77.97
77.68,79.23,79.56,77.49
79.86,78.37,79.86,77.81
78.39,78.96,79.26,77.58
79.13,79.25,79.65,78.90
78.82,78.10,79.01,77.39
78.90,78.38,79.08,77.77
78.44,78.75,79.57,78.19
80.21,79.54,80.21,78.46
79.88,78.66,79.88,78.37
77.08,77.84,79.16,77.00
77.93,78.54,78.89,77.53
79.07,78.86,79.35,77.98
78.89,78.91,79.16,78.25
79.91,79.91,80.81,79.62
79.64,80.41,81.71,79.46
80.18,80.17,80.25,78.43
81.36,79.87,81.36,79.42
79.84,80.48,80.87,79.13
81.47,80.26,81.47,79.66
79.54,82.69,83.89,79.54
82.42,82.28,82.80,81.16
83.73,85.65,85.87,83.14
85.63,86.96,88.31,85.41
86.93,89.07,89.26,86.45
89.10,89.16,89.88,88.36
89.00,88.59,89.06,86.70
87.87,88.00,88.37,87.47
87.23,86.16,88.37,85.96
86.87,85.65,87.14,85.58
85.16,84.02,85.97,83.50
84.21,84.91,85.33,83.67
86.37,85.17,86.62,85.06
84.98,85.12,85.47,84.68
84.70,85.77,85.96,84.51
85.44,85.48,85.78,84.35
85.95,86.97,87.16,85.95
86.41,85.14,86.41,84.97
84.84,85.09,85.37,83.76
84.13,84.54,85.27,84.00
85.62,88.39,88.66,85.62
88.64,90.15,91.14,88.41
89.68,89.61,90.37,88.51
89.56,88.90,89.56,88.40
90.38,89.03,90.38,88.94
89.35,88.99,89.52,88.14
89.59,89.51,89.85,88.91
89.91,90.50,90.95,89.60
90.65,91.75,92.23,90.65
91.67,93.59,93.61,91.67
93.42,93.54,94.82,93.18
93.82,94.80,94.99,93.42
94.89,93.74,95.00,93.73
93.79,93.08,94.00,92.84
93.35,93.92,94.51,93.35
94.08,93.75,94.37,93.32
93.77,92.68,93.90,92.47
92.46,93.40,93.71,92.18
93.49,93.14,93.57,92.78
93.23,94.00,94.04,93.23
93.62,92.98,94.37,92.88
93.01,92.24,94.00,92.19
92.97,93.00,93.91,92.67
90.41,86.98,90.41,85.95
86.48,84.73,86.48,84.58
84.50,82.85,84.60,81.80
83.10,81.62,84.04,81.25
81.47,82.67,83.30,80.38
82.80,82.97,83.54,82.41
82.93,83.60,84.49,82.93
83.38,83.14,83.68,82.90
82.87,83.89,84.10,82.47
83.88,83.98,84.11,83.04
83.79,83.50,84.13,83.15
83.08,83.35,84.62,83.08
84.07,83.53,84.49,82.60
83.48,84.92,86.16,83.48
84.31,84.54,85.62,83.51
84.90,84.40,85.06,83.38
84.14,84.71,85.05,83.73
84.70,82.29,84.92,81.80
82.51,83.50,83.82,82.00
83.67,83.83,85.05,83.12
83.90,84.22,85.08,83.42
83.95,86.21,86.60,82.22
86.40,86.00,86.95,84.99
86.21,88.62,89.07,86.21
91.41,90.65,94.31,90.34
88.69,88.13,89.29,86.06
87.91,88.77,89.21,87.80
88.35,89.54,89.62,87.65
89.34,90.80,91.14,88.84
90.97,89.50,91.75,89.32
89.96,91.59,92.25,89.73
91.37,92.08,92.45,90.76
92.23,92.14,93.05,90.93
90.91,88.39,94.20,88.28
88.63,86.78,89.07,85.46
86.72,87.04,88.31,85.84
87.07,88.08,88.33,86.70
88.60,88.86,89.63,88.43
89.46,86.25,89.70,86.00
86.26,86.12,87.38,85.69
87.19,86.82,87.85,85.77
86.94,86.45,87.63,85.44
86.72,85.15,86.95,84.95
85.53,86.06,86.94,85.01
85.98,85.58,86.30,84.89
84.42,84.25,84.69,83.62
83.73,84.92,85.50,83.73
84.67,84.78,85.67,83.81
82.27,85.65,86.54,82.00
85.29,83.86,85.46,83.49
85.47,84.33,85.69,84.05
85.40,84.83,85.99,84.14
86.14,85.57,86.31,85.03
85.37,84.27,85.89,83.72
84.07,84.39,84.72,83.37
84.96,87.29,87.40,84.58
87.70,88.19,88.69,87.22
88.60,87.84,88.60,87.68
87.54,88.33,89.03,87.13
88.73,89.35,89.82,88.06
89.08,89.67,90.02,88.72
90.38,91.19,91.61,90.19
91.17,89.28,91.17,88.73
89.73,90.45,90.54,89.01
90.99,91.17,91.52,90.52
91.02,90.93,92.32,90.80
91.58,90.11,91.80,89.65
90.02,88.45,90.02,88.00
87.70,88.00,88.89,87.58
88.71,88.71,88.91,87.60
88.09,88.72,88.85,87.62
88.77,89.01,89.72,88.21
87.61,86.56,87.80,86.35
86.88,86.56,87.09,85.64
87.79,87.99,88.33,87.09
88.65,90.21,90.35,88.57
90.24,90.93,91.05,89.79
91.73,91.67,92.05,91.45
91.67,92.06,92.22,91.31
91.75,91.52,92.37,91.11
91.45,91.19,92.20,91.00
91.57,90.92,92.00,90.89
90.79,89.11,90.98,88.16
89.01,87.97,89.66,86.87
87.32,86.98,88.70,86.61
88.04,87.19,88.53,86.91
87.03,86.68,87.36,86.25
87.20,88.36,88.47,86.77
88.29,87.57,88.31,86.01
87.31,86.90,87.66,86.00
87.14,86.47,87.14,85.86
85.93,86.75,87.20,85.93
86.37,86.53,87.32,86.34
86.66,86.65,86.97,85.76
86.97,86.85,87.38,85.91
86.54,86.28,86.89,85.87
84.70,85.20,85.89,84.50
85.42,84.93,85.51,84.44
84.65,83.56,84.65,83.21
83.15,83.22,83.28,81.98
82.54,84.14,84.68,82.54
84.77,85.66,85.75,84.50
85.66,84.23,85.66,84.16
84.17,83.68,84.57,83.37
82.54,82.01,82.99,81.78
81.76,81.05,81.84,80.67
81.82,81.01,81.85,80.52
80.75,80.46,81.13,80.28
80.55,80.65,81.06,80.16
80.24,79.07,80.40,78.75
79.16,79.37,79.93,78.95
80.26,82.38,82.90,80.26
81.24,79.76,81.65,79.17
79.80,79.99,81.04,79.13
80.49,80.86,81.11,79.93
80.44,81.30,82.00,79.99
81.76,82.37,82.64,81.37
81.86,81.24,81.99,81.14
80.07,81.11,81.24,79.31
81.36,79.46,81.46,78.94
79.65,79.36,80.31,78.95
79.77,80.34,80.74,79.48
80.80,80.05,81.17,79.66
80.16,79.97,80.55,79.82
80.07,81.11,82.02,79.58
81.18,81.37,81.72,79.89
81.18,80.56,82.65,80.46
81.46,80.84,81.68,80.20
79.95,79.75,80.39,78.90
78.71,77.66,78.77,77.12
78.26,78.40,78.84,77.60
78.83,78.96,79.91,78.72
79.50,77.51,79.72,77.24
77.67,77.75,77.87,76.73
77.35,76.23,77.59,75.96
76.64,77.14,77.74,76.64
77.18,77.76,77.89,77.01
78.07,79.08,79.43,78.07
78.76,79.16,79.71,77.58
78.05,78.82,79.69,78.05
78.52,78.35,78.69,77.78
78.18,76.92,78.47,76.73
76.98,75.81,77.21,75.59
74.65,75.62,76.19,74.61
76.44,74.41,76.64,73.94
73.36,69.98,73.37,69.87
70.90,70.52,72.19,69.06
69.50,68.56,70.54,68.54
69.35,67.63,69.72,66.85
63.78,66.91,67.70,63.77
68.20,66.60,68.66,62.63
65.04,62.49,65.14,62.47
62.84,65.43,65.67,62.15
65.79,64.99,66.42,64.70
65.60,68.25,68.30,65.60
67.55,68.18,68.63,67.47
68.46,66.92,69.07,66.57
65.24,62.00,65.25,61.55
61.08,61.89,62.89,60.92
63.36,62.73,63.52,61.37
63.00,65.85,65.85,62.22
65.41,67.49,67.76,65.32
67.70,65.73,67.95,65.57
65.25,66.48,67.06,63.81
67.33,70.37,70.40,67.33
70.41,70.95,71.68,68.90
71.52,70.83,72.66,70.31
70.80,69.64,71.95,69.48
68.31,66.14,68.63,65.72
64.54,69.59,70.97,64.42
70.46,70.53,71.12,68.93
70.08,69.38,70.55,68.87
68.72,66.10,68.72,65.56
65.19,66.77,66.84,64.95
66.06,67.91,68.20,66.03
68.12,67.94,69.14,66.32
68.87,68.83,69.33,68.09
68.90,68.24,69.86,67.67
67.19,66.10,67.29,65.24
66.50,64.40,67.09,64.32
64.10,62.94,64.34,62.94
61.42,62.25,62.56,60.80
62.14,62.87,63.94,61.87
64.12,65.67,65.86,63.16
67.04,65.83,68.45,65.52
66.24,64.66,66.38,64.32
66.28,65.82,66.48,64.85
64.63,63.22,64.79,62.88
62.89,61.62,63.78,60.33
61.07,63.68,63.79,59.93
63.99,64.99,65.02,63.11
65.00,67.23,67.36,64.04
67.99,65.30,68.22,64.20
66.57,68.44,68.44,66.45
67.63,68.68,68.99,67.20
69.16,69.31,70.64,68.34
69.91,69.52,70.24,67.65
70.91,70.35,70.91,68.81
69.78,67.93,70.08,67.58
67.75,70.34,71.08,67.13
68.60,68.92,69.89,67.64
69.37,69.74,69.93,68.22
70.06,70.91,71.08,69.84
70.92,72.55,73.29,70.90
72.01,70.78,72.98,70.60
71.75,72.39,72.85,69.96
75.00,75.87,76.83,74.30
75.68,74.13,76.18,73.65
73.36,72.17,74.00,72.16
68.98,71.36,72.58,67.24
72.03,71.55,73.67,70.97
72.46,74.49,74.95,71.29
73.69,73.89,74.48,72.31
73.56,73.68,74.37,71.86
74.55,75.93,76.63,74.04
74.13,72.66,74.70,72.48
73.94,74.63,75.27,73.34
75.42,75.46,76.22,75.10
75.19,75.79,76.05,74.95
75.33,76.01,76.43,75.14
75.52,75.12,77.14,74.96
74.85,75.11,76.86,74.62
75.40,75.62,76.18,74.71
74.38,74.20,75.52,73.45
73.92,73.29,75.16,73.12
72.81,70.48,72.92,70.13
70.18,71.65,72.03,70.18
73.25,72.54,73.83,71.99
72.18,72.81,73.90,71.94
74.99,78.26,78.31,74.63
77.85,77.11,80.24,76.96
77.44,75.64,77.84,75.52
76.81,75.44,77.99,75.34
76.40,75.84,76.80,75.52
75.18,75.76,76.31,74.21
74.26,72.20,74.84,71.50
72.31,73.37,74.10,72.00
72.27,74.61,79.48,70.00
74.82,74.65,76.32,74.16
73.73,71.43,73.96,70.95
72.78,73.52,73.87,72.19
73.82,74.44,75.46,73.77
77.29,73.85,77.29,73.50
75.71,75.92,76.75,75.05
76.42,76.40,76.78,75.74
77.10,75.79,77.72,75.51
75.79,75.99,76.11,75.30
76.09,75.88,76.33,75.79
75.61,72.88,75.92,72.68
73.55,75.00,75.18,73.15
74.91,75.41,75.83,74.91
79.49,75.74,79.49,75.62
75.56,75.71,76.15,74.71
75.71,75.89,77.52,74.05
75.75,74.19,75.85,74.10
74.70,74.86,76.04,74.67
75.82,74.77,76.19,74.41
74.54,75.64,76.06,74.52
76.16,77.82,78.16,75.90
78.02,78.97,78.97,76.67
79.49,78.16,79.49,77.53
77.97,79.79,80.58,77.50
79.95,80.65,81.12,79.65
80.77,80.90,81.66,79.11
81.13,80.02,81.14,79.47
79.70,80.18,80.31,79.19
79.87,81.67,81.82,79.52
81.95,81.41,82.41,80.54
81.33,81.62,82.09,80.91
80.81,82.42,82.56,80.58
82.70,82.51,83.28,81.85
82.79,82.86,84.09,82.11
83.36,83.25,84.30,82.83
84.18,84.29,84.92,83.95
84.08,85.58,85.82,83.94
85.69,86.24,88.02,85.09
85.80,86.42,87.08,83.45
86.70,88.29,88.36,86.46
87.55,87.20,88.05,86.51
87.88,87.98,88.19,87.06
87.20,88.36,88.54,87.03
88.82,88.97,89.38,87.50
88.90,89.50,89.82,88.66
89.75,89.37,90.57,89.23
89.37,87.94,89.80,87.59
87.65,86.76,88.18,86.45
86.76,87.87,88.35,86.40
88.20,87.73,88.73,87.53
86.96,87.76,88.38,85.89
87.35,86.86,87.53,86.23
86.90,85.87,87.73,85.84
86.59,85.80,87.85,85.45
85.96,85.15,86.14,84.76
85.23,86.02,86.40,84.22
85.23,83.80,85.23,83.62
83.92,84.48,84.79,83.69
85.11,86.39,86.77,84.77
86.16,87.29,87.60,86.11
87.54,86.84,87.81,86.57
87.30,89.24,89.31,87.29
88.93,88.36,89.56,88.10
88.23,89.52,89.84,87.89
89.45,88.70,89.54,88.37
88.66,88.99,89.61,88.20
88.15,88.23,88.55,87.59
88.56,88.58,89.13,88.03
87.70,87.18,88.01,86.23
86.97,87.59,87.88,85.88
88.55,88.06,88.69,87.50
87.96,87.57,88.59,87.46
87.77,86.30,87.89,85.43
85.78,85.66,86.02,84.14
86.43,85.63,86.72,85.43
85.63,85.72,86.09,84.73
85.55,85.39,85.94,84.95
84.85,84.98,85.22,84.40
84.60,85.09,85.66,84.60
83.32,83.83,84.47,82.20
83.69,82.12,83.83,82.01
82.87,82.79,83.35,82.42
82.69,83.82,84.93,82.67
83.82,82.68,83.82,82.50
83.62,83.08,83.86,82.78
83.86,84.33,85.37,83.86
83.75,82.60,83.75,82.38
82.41,81.89,82.73,81.50
82.74,82.07,82.75,81.87
81.00,81.56,81.97,80.52
81.75,81.58,81.84,81.10
83.19,82.92,83.38,82.15
82.58,82.75,83.12,82.42
83.46,83.40,83.75,82.74
83.36,82.88,83.66,82.48
81.59,81.82,83.55,80.51
81.49,82.13,82.39,81.01
82.22,81.08,82.22,80.38
80.30,79.43,80.33,78.94
79.05,79.80,81.15,78.80
79.43,78.91,79.66,77.80
77.86,77.62,78.77,77.54
78.31,76.99,78.71,76.92
76.67,76.72,77.73,76.55
75.85,75.89,76.45,75.50
75.75,74.72,76.30,74.54
65.11,68.60,75.42,63.64
68.81,66.55,69.55,66.43
66.96,68.39,69.62,66.80
68.80,69.09,69.93,67.59
69.26,68.24,69.28,67.86
67.77,68.82,69.00,67.36
68.74,69.12,69.16,67.94
68.86,68.44,69.46,68.16
68.61,69.62,70.11,68.61
68.82,67.69,68.82,67.59
67.76,67.47,67.90,66.27
66.96,65.85,67.23,65.73
65.83,65.17,66.03,64.75
64.83,64.56,65.57,64.54
66.55,66.69,66.97,65.02
67.49,66.65,68.37,66.58
66.68,67.53,67.72,65.93
68.28,66.88,68.86,66.83
67.00,66.79,67.52,65.98
65.75,65.48,66.76,65.06
65.69,66.22,66.48,65.35
66.52,67.96,68.09,66.47
67.54,68.41,68.94,66.85
68.55,70.29,70.43,68.55
70.10,69.83,70.29,69.14
69.76,68.46,70.30,68.24
68.73,69.64,70.05,68.33
68.50,69.57,69.61,67.56
69.74,72.67,73.05,69.46
72.96,74.51,75.71,72.73
73.90,77.44,77.63,73.90
78.85,78.82,79.54,78.30
79.45,78.70,79.45,77.86
78.95,78.99,79.68,78.61
80.19,79.03,80.43,78.16
78.39,79.74,79.91,78.39
79.40,79.12,79.59,78.79
79.55,77.90,80.00,77.38
78.29,78.16,78.55,77.53
77.89,81.11,81.29,77.89
80.79,81.66,81.79,80.59
81.34,81.69,82.18,81.14
81.70,81.94,82.25,80.42
81.39,83.05,83.36,81.39
83.30,83.66,83.79,82.90
83.19,83.45,84.30,83.03
82.00,82.64,83.15,81.68
83.16,81.91,83.32,81.05
82.46,81.55,82.63,80.66
82.06,78.27,82.79,76.92
78.86,79.42,79.80,78.03
79.42,78.00,79.96,77.69
77.06,75.14,78.30,74.42
74.99,74.51,75.87,74.05
74.41,73.33,74.41,71.93
74.23,74.80,74.99,73.46
74.66,75.20,75.85,74.15
75.50,76.72,77.17,75.40
76.94,76.77,77.75,75.77
76.84,77.67,78.53,76.84
77.29,78.59,78.86,77.29
78.25,78.07,78.86,77.00
78.56,76.75,78.88,76.52
76.64,75.90,76.74,75.35
77.81,78.08,78.81,76.45
78.98,78.44,78.98,78.01
78.16,77.90,78.47,76.81
77.98,76.62,78.30,76.48
76.67,77.36,77.60,76.02
77.23,76.66,77.48,75.94
76.77,78.77,79.27,76.63
79.09,77.73,79.23,77.55
77.58,77.92,78.72,77.24
78.38,76.80,78.39,75.95
76.13,74.78,76.27,74.41
75.37,76.38,76.58,73.93
76.24,75.23,76.83,74.23
75.39,74.99,76.43,74.28
75.56,77.42,77.55,75.56
77.44,81.13,81.98,77.44
83.20,84.18,85.98,80.05
84.17,84.10,84.47,83.51
83.65,86.89,87.94,83.54
85.98,88.13,88.51,85.51
88.21,90.93,93.71,88.21
90.53,87.42,90.86,87.32
87.01,87.53,88.00,86.67
87.95,89.98,90.48,87.40
89.83,88.16,89.83,87.21
88.80,87.96,89.43,87.61
87.47,88.12,88.58,87.26
85.47,85.16,87.49,84.90
85.11,83.22,85.80,82.43
83.35,85.15,85.84,83.25
84.98,82.87,85.24,82.53
83.28,82.08,84.53,81.83
82.60,83.46,83.53,82.15
83.68,84.36,84.59,82.92
84.69,85.09,85.82,84.56
86.12,84.89,87.08,84.45
84.48,84.45,85.19,84.02
83.89,82.62,84.33,82.38
82.73,83.03,83.39,82.18
84.11,82.68,84.20,82.55
83.04,82.31,83.14,81.98
82.76,82.77,83.08,81.19
83.28,83.90,84.17,82.86
84.38,86.02,87.34,84.08
85.59,85.31,85.96,84.75
85.33,83.03,85.33,82.77
82.96,82.70,83.64,82.00
81.50,81.88,82.27,80.44
82.38,82.25,82.75,81.53
83.01,82.39,83.16,81.95
82.43,82.00,82.70,80.91
82.29,82.31,84.85,82.04
82.00,84.21,84.30,80.42
85.23,83.83,85.97,83.77
83.40,85.01,85.31,83.16
85.68,86.98,90.42,85.52
85.96,86.89,87.33,83.77
86.64,86.26,87.26,85.92
86.81,86.13,87.72,85.73
86.00,85.41,86.12,85.23
85.31,85.51,86.31,85.01
85.50,83.80,85.70,83.40
83.54,82.56,84.20,82.11
82.70,82.40,83.28,81.19
83.33,85.41,85.47,82.37
85.78,85.46,85.89,84.66
85.34,85.46,85.91,85.13
85.90,86.00,86.00,85.13
85.30,86.78,86.96,84.98
86.32,85.82,87.21,85.79
84.25,86.80,87.32,83.36
87.44,90.79,92.27,87.37
90.63,90.00,91.53,89.82
91.01,90.45,91.39,88.84
90.65,90.94,91.26,90.17
90.93,90.30,91.24,89.16
89.77,90.49,90.90,89.58
90.83,90.90,91.27,89.93
90.46,91.53,91.86,90.46
91.73,92.39,94.05,91.73
92.88,92.50,93.51,92.09
92.48,92.73,93.38,92.27
92.43,93.15,93.24,92.19
93.16,95.32,95.44,91.43
95.27,95.19,95.67,94.85
95.70,95.16,95.70,94.51
95.28,95.59,95.93,94.93
94.37,95.01,95.29,94.35
95.17,95.40,95.53,94.53
95.74,95.22,95.74,95.00
95.20,94.72,95.39,92.88
94.00,93.34,94.43,93.00
93.24,94.28,94.88,93.01
98.11,96.99,98.11,96.77
97.36,96.95,97.58,96.75
97.18,97.64,97.89,96.88
100.03,97.77,100.03,97.37
97.77,97.46,98.39,96.77
98.14,98.04,98.32,97.45
98.39,98.42,98.54,97.75
98.09,98.25,98.40,97.56
98.24,98.08,98.42,97.42
97.61,98.95,98.98,97.36
98.77,97.70,98.77,97.34
98.00,97.95,99.02,97.73
98.00,98.00,98.78,97.63
98.00,98.66,99.61,97.97
98.38,98.40,99.35,98.06
98.63,99.23,100.37,98.57
99.32,99.35,99.83,99.03
99.49,99.27,99.77,98.53
99.33,101.57,101.85,99.09
101.51,100.07,101.86,99.91
99.58,98.73,100.11,98.58
99.51,98.36,100.08,98.31
97.89,97.56,98.83,97.34
97.65,98.09,98.28,96.76
97.48,99.20,99.35,96.73
98.88,97.37,99.11,96.33
97.95,98.27,98.52,97.47
102.47,98.07,102.47,96.47
97.90,98.43,99.17,96.53
98.75,99.53,100.00,98.41
99.65,100.35,100.45,99.21
100.09,101.09,101.96,100.01
101.53,102.04,102.93,101.41
101.93,98.62,101.97,98.22
98.27,97.89,98.62,96.95
98.70,98.09,100.23,97.68
98.49,94.63,98.49,94.52
95.85,95.42,96.25,93.99
95.07,96.19,96.97,95.07
96.58,97.13,98.34,96.21
96.15,98.42,99.29,95.98
98.09,98.91,99.16,98.09
99.55,101.48,102.11,99.26
101.83,102.11,102.94,101.48
101.96,103.41,103.59,101.60
104.14,104.88,104.98,103.66
104.63,104.71,105.75,103.78
104.78,103.93,104.90,103.75
104.06,104.80,105.26,103.82
105.16,104.71,106.22,104.31
104.45,103.57,105.16,103.00
102.78,103.90,104.99,102.78
104.16,102.99,105.04,102.73
103.78,103.26,103.78,102.96
102.76,102.53,103.21,102.27
103.11,102.68,103.92,102.50
102.96,101.84,103.61,101.31
102.20,102.00,102.51,101.29
106.57,101.96,106.57,100.07
102.05,102.02,102.64,101.12
101.96,101.91,102.40,101.38
102.00,100.82,102.15,100.55
100.72,98.17,101.08,97.46
98.37,97.64,98.82,97.60
96.51,98.87,98.98,96.23
98.95,99.44,99.64,98.24
99.47,98.98,99.72,98.04
99.27,99.92,100.10,99.09
99.89,100.18,100.79,99.70
99.81,98.73,100.43,98.46
98.00,93.56,98.05,93.33
95.01,98.11,98.24,95.00
96.89,96.54,97.30,95.06
97.19,94.54,97.46,94.02
95.38,95.01,97.19,94.48
95.30,95.15,95.39,93.03
95.88,96.65,96.88,95.68
96.69,98.63,99.11,96.25
99.11,98.02,99.90,97.86
97.36,96.69,98.33,95.69
97.44,98.46,99.04,96.69
98.00,100.99,102.72,97.00
100.66,99.46,101.26,98.83
99.72,103.05,103.57,99.72
103.61,106.70,108.43,103.61
106.52,106.90,107.45,105.66
107.14,108.48,108.50,106.70
108.40,108.85,109.75,107.88
109.39,107.56,109.85,106.96
107.86,107.38,108.04,107.07
107.10,106.99,107.30,106.39
106.99,108.00,108.51,106.74
107.97,109.49,109.77,107.61
109.40,109.92,110.37,109.34
110.35,110.91,111.53,110.12
110.64,112.09,112.29,110.63
111.92,111.98,112.99,111.30
111.39,108.67,113.65,107.86
107.14,108.24,108.31,106.38
107.76,108.22,109.47,106.75
110.09,109.96,110.82,109.35
109.24,109.42,109.90,107.88
109.36,110.56,110.78,108.59
109.89,109.03,110.94,108.94
108.97,108.69,109.75,106.88
108.72,106.98,110.14,106.25
106.34,104.71,106.81,104.68
104.69,106.53,106.54,103.68
106.94,106.61,107.78,105.76
106.93,109.02,109.46,105.55
106.86,107.22,108.77,106.14
108.34,106.42,108.77,106.00
106.85,109.50,109.58,106.40
109.61,109.43,110.22,108.83
110.62,109.79,110.85,109.15
110.03,109.73,110.04,108.81
109.70,108.09,110.35,108.09
106.45,105.03,106.79,104.37
