CRVP,Crystal Rock Holdings,NASDAQ
0.81,0.80,0.83,0.80
0.84,0.85,0.85,0.83
0.82,0.83,0.83,0.82
nan,0.83,nan,nan
0.82,0.82,0.82,0.82
0.81,0.81,0.81,0.81
0.82,0.84,0.84,0.82
0.80,0.81,0.81,0.80
0.83,0.80,0.83,0.80
0.80,0.80,0.81,0.80
0.80,0.82,0.82,0.78
0.81,0.81,0.82,0.81
0.82,0.81,0.82,0.81
0.79,0.83,0.83,0.79
0.81,0.81,0.81,0.81
0.80,0.83,0.83,0.79
0.82,0.81,0.83,0.81
0.80,0.82,0.83,0.79
0.83,0.83,0.83,0.82
0.83,0.83,0.83,0.82
