CRVP,Crystal Rock Holdings,NASDAQ
0.70,0.73,0.73,0.69
0.72,0.75,0.75,0.72
0.74,0.77,0.78,0.74
0.77,0.77,0.79,0.75
0.76,0.74,0.76,0.74
0.72,0.71,0.72,0.69
0.71,0.71,0.72,0.70
0.70,0.70,0.72,0.70
0.70,0.70,0.72,0.70
0.70,0.71,0.71,0.70
0.71,0.70,0.71,0.70
0.71,0.71,0.72,0.70
0.75,0.75,0.84,0.71
0.73,0.72,0.73,0.69
0.70,0.69,0.70,0.69
0.69,0.70,0.70,0.69
0.69,0.72,0.73,0.69
0.69,0.68,0.71,0.68
0.74,0.72,0.74,0.68
0.72,0.72,0.72,0.72
0.73,0.72,0.74,0.72
0.74,0.74,0.74,0.72
0.71,0.73,0.73,0.71
0.71,0.74,0.76,0.70
0.70,0.69,0.74,0.69
0.69,0.71,0.71,0.69
0.73,0.71,0.73,0.70
0.71,0.72,0.72,0.70
0.72,0.70,0.72,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.69
0.72,0.70,0.72,0.70
0.70,0.73,0.73,0.70
0.73,0.74,0.74,0.70
0.73,0.73,0.73,0.70
0.69,0.75,0.75,0.69
0.75,0.74,0.75,0.72
0.75,0.75,0.76,0.72
0.72,0.75,0.75,0.72
0.74,0.70,0.74,0.70
0.69,0.70,0.71,0.69
0.72,0.73,0.73,0.71
0.73,0.72,0.73,0.71
0.71,0.72,0.72,0.70
0.71,0.75,0.75,0.70
0.80,0.72,0.80,0.70
0.73,0.73,0.75,0.71
0.90,0.73,0.90,0.71
0.73,0.73,0.75,0.70
0.72,0.70,0.80,0.70
0.70,0.71,0.71,0.70
0.67,0.71,0.71,0.67
0.71,0.71,0.71,0.70
0.71,0.71,0.74,0.71
0.71,0.71,0.71,0.71
0.70,0.70,0.74,0.70
0.70,0.70,0.71,0.70
0.70,0.69,0.70,0.65
0.69,0.68,0.73,0.68
0.66,0.70,0.71,0.65
0.70,0.70,0.71,0.69
0.70,0.68,0.73,0.68
0.69,0.74,0.74,0.69
0.71,0.68,0.71,0.68
0.68,0.68,0.72,0.68
0.70,0.65,0.72,0.65
0.68,0.69,0.70,0.68
0.69,0.69,0.70,0.68
0.67,0.70,0.70,0.67
0.69,0.70,0.70,0.69
0.69,0.70,0.70,0.68
0.70,0.68,0.70,0.68
0.70,0.70,0.72,0.70
0.72,0.70,0.72,0.69
0.71,0.71,0.72,0.70
0.71,0.68,0.71,0.68
0.69,0.71,0.72,0.69
0.68,0.69,0.69,0.68
0.68,0.70,0.70,0.68
0.69,0.71,0.71,0.68
0.69,0.70,0.72,0.69
0.67,0.72,0.72,0.67
