VSS,Vanguard FTSE All-Wld ex-US SmCp Idx ETF,NASDAQ
87.44,86.38,87.52,86.25
86.64,87.06,87.34,86.48
85.08,83.43,85.08,83.27
82.20,81.66,82.52,81.09
80.93,78.96,81.88,74.00
78.17,77.77,79.22,76.00
82.45,82.76,82.94,78.77
83.07,81.97,83.07,81.09
82.20,83.19,83.33,82.20
83.12,82.30,83.33,82.26
81.65,80.63,81.65,80.03
80.61,79.99,80.61,78.42
80.44,78.00,80.47,77.62
77.38,77.57,77.86,76.33
75.00,74.03,75.34,73.70
73.07,76.16,76.16,73.07
75.44,74.41,76.50,74.36
73.41,73.51,73.51,71.51
73.78,72.93,74.51,72.87
73.93,77.00,77.00,73.93
77.17,76.00,77.17,75.82
75.84,75.28,77.19,75.26
76.21,77.34,77.34,75.71
77.67,77.36,77.83,76.51
76.04,74.32,76.36,74.11
74.85,73.52,75.02,73.52
73.98,74.45,74.56,73.32
75.28,74.29,75.94,74.09
76.59,77.26,77.38,75.29
76.46,77.26,77.38,76.21
78.26,77.74,79.01,77.74
78.95,80.23,80.23,78.77
79.24,79.82,80.00,79.20
80.11,80.02,80.11,79.26
80.21,80.39,80.44,79.90
81.39,80.30,81.66,79.99
80.62,79.34,80.95,79.30
79.00,80.00,80.23,79.00
79.33,78.62,79.38,78.45
78.53,79.09,79.49,78.53
79.12,78.95,79.50,78.64
77.50,76.00,77.50,75.69
76.41,75.39,76.64,75.38
76.16,76.04,76.46,75.02
77.01,76.25,77.18,75.78
78.31,77.39,78.62,77.04
77.77,79.42,79.44,77.77
80.18,79.99,80.18,79.07
79.40,80.21,80.29,79.37
79.84,80.03,80.14,79.56
80.69,80.99,81.25,80.69
81.05,81.19,82.50,80.59
81.48,81.41,81.88,80.49
80.94,79.36,80.94,79.22
80.05,79.65,80.05,79.05
79.02,80.55,80.64,78.83
81.02,79.66,81.02,79.22
81.30,81.92,82.19,81.30
81.98,82.79,82.79,81.75
83.11,83.41,83.41,82.52
83.74,83.16,83.85,82.66
82.88,82.67,82.89,82.40
83.82,82.89,83.82,82.47
82.54,83.23,83.51,82.43
84.89,85.44,85.77,84.65
85.29,85.32,85.48,84.86
85.49,85.37,85.64,84.92
85.49,85.43,85.69,85.02
84.99,85.73,85.76,84.92
86.15,86.00,86.26,85.62
84.72,85.07,85.30,84.00
82.41,81.75,83.05,81.60
80.57,81.88,81.88,80.57
82.17,81.82,82.21,81.58
81.85,82.38,82.60,81.65
83.73,83.45,84.00,83.15
83.79,83.83,84.17,83.35
83.58,82.90,83.78,82.39
82.35,82.04,82.35,81.54
82.83,81.93,82.83,81.90
80.96,80.78,81.19,80.00
80.01,80.69,80.90,79.75
81.44,80.63,81.51,80.58
81.37,82.25,82.35,80.77
82.07,81.37,82.18,81.34
81.10,81.65,82.15,81.10
83.03,84.08,84.13,83.01
84.01,84.48,84.48,83.85
85.85,85.56,85.85,84.96
85.41,84.47,85.41,84.32
85.25,85.29,85.79,85.13
86.56,85.77,86.56,85.49
85.94,86.36,86.44,85.94
87.47,87.67,87.79,87.25
87.87,88.40,88.73,87.67
87.84,88.32,88.38,87.53
87.97,88.30,88.31,87.68
88.40,88.24,88.42,87.92
88.31,89.54,89.56,88.31
89.62,89.63,90.08,88.83
89.83,89.68,90.24,89.27
89.20,88.96,89.73,88.79
90.18,91.07,91.08,90.11
91.43,91.04,91.48,90.93
91.31,91.77,91.87,90.36
91.62,92.01,92.30,91.62
92.54,91.72,92.68,91.14
92.88,93.00,93.06,92.31
92.65,92.04,92.70,91.60
93.25,94.02,94.15,92.94
94.50,94.55,94.76,94.11
95.17,94.27,95.48,93.74
94.36,94.95,95.08,94.03
95.60,94.77,95.60,94.55
94.44,94.90,95.01,93.75
95.97,96.15,96.62,95.83
96.79,96.54,96.94,96.10
97.00,96.20,97.45,95.60
96.03,96.05,96.39,95.52
94.58,93.50,94.64,93.24
94.41,95.49,95.80,93.89
96.05,95.25,96.22,94.71
95.78,95.72,95.78,95.26
96.88,96.37,96.98,96.18
96.06,96.08,96.21,95.55
95.50,95.10,95.63,94.16
95.87,95.33,95.90,95.18
95.68,96.01,96.04,95.34
96.50,96.13,96.84,95.70
96.95,97.20,97.32,96.72
97.34,97.73,97.87,96.55
99.22,99.85,99.85,99.13
99.72,99.58,99.93,98.80
99.16,99.32,99.45,98.63
99.99,98.30,100.11,97.77
98.50,98.75,98.80,97.32
97.91,97.69,97.91,97.18
96.95,96.23,97.20,95.57
96.87,96.05,96.87,95.96
95.16,93.62,95.16,93.00
93.68,93.93,94.45,93.68
96.09,96.27,96.44,95.90
96.07,96.69,96.69,95.61
96.46,96.36,96.56,95.05
94.53,93.79,94.53,93.17
94.26,95.35,95.35,94.26
94.30,94.31,94.70,93.43
93.61,93.84,94.05,92.52
92.77,93.40,93.85,92.77
95.26,95.95,96.02,95.14
96.29,97.81,97.86,96.29
97.48,98.68,98.77,97.15
98.34,98.82,98.97,98.20
100.17,98.79,100.19,98.74
98.52,98.62,99.00,98.01
98.65,98.34,98.65,97.76
98.45,98.78,98.78,98.06
99.47,99.86,100.31,99.30
100.35,100.14,100.61,99.68
99.76,99.10,99.96,98.74
99.26,99.30,99.30,98.56
99.26,99.17,99.26,98.60
99.42,99.22,99.51,98.77
99.81,99.90,99.96,99.66
97.27,97.02,97.27,96.73
97.21,97.22,97.27,96.75
96.81,96.90,97.22,96.50
97.45,97.13,97.46,96.80
98.17,98.36,98.51,97.99
98.75,98.50,98.75,98.25
98.94,99.62,99.74,98.87
100.64,100.37,100.75,100.20
100.89,99.97,101.07,99.25
99.23,99.58,99.61,98.56
99.83,98.45,99.83,98.17
98.58,97.92,98.58,97.25
97.49,97.72,97.73,96.75
98.52,98.67,98.76,98.14
99.75,100.46,100.46,99.65
100.74,100.16,100.80,99.99
100.03,100.76,100.76,99.87
101.03,100.90,101.40,100.52
101.09,100.31,101.26,100.00
99.64,99.21,99.64,98.35
99.69,99.02,99.69,99.01
99.23,99.67,99.67,98.82
99.18,99.47,99.47,98.60
99.97,100.10,100.31,99.55
100.03,100.24,100.35,99.75
99.89,98.06,99.89,98.00
98.47,98.86,99.31,98.47
99.86,100.95,101.27,99.86
100.89,100.82,101.02,100.53
100.83,100.99,101.00,100.00
101.11,101.14,101.24,100.29
101.83,101.48,101.86,101.20
101.43,101.73,101.78,101.14
101.32,101.14,101.43,100.81
99.95,100.05,100.29,99.04
99.74,100.39,100.53,99.49
100.34,100.63,100.71,100.05
100.56,100.35,100.63,100.13
100.66,100.93,101.12,100.40
100.98,101.47,101.53,100.70
101.62,101.62,101.85,101.25
100.16,98.75,100.16,98.55
98.75,98.73,99.41,98.01
98.16,98.35,98.40,97.45
98.66,99.64,99.65,98.66
100.96,100.58,100.96,100.16
101.00,99.86,101.41,99.65
100.11,100.62,100.79,100.11
101.50,101.97,102.08,101.25
101.89,101.54,102.28,100.92
102.34,100.84,102.36,100.43
100.90,101.23,101.33,100.48
101.34,101.15,101.37,100.95
99.76,98.61,99.76,98.50
97.97,98.98,99.18,97.50
97.11,97.29,97.45,96.41
92.65,94.74,95.10,91.36
94.89,93.35,95.23,92.07
95.84,95.50,96.00,95.00
97.46,97.62,97.81,97.24
99.14,99.79,99.87,98.72
99.67,99.61,99.98,99.00
99.31,100.00,100.21,99.00
100.52,100.87,101.16,100.15
100.53,100.20,100.90,100.15
100.58,100.16,100.65,100.06
100.10,100.84,100.84,99.75
101.44,101.88,102.12,101.12
101.66,101.93,102.13,101.57
102.23,102.58,102.83,101.82
103.38,103.18,103.38,102.57
102.57,103.17,103.34,102.33
103.76,103.57,104.00,103.33
103.42,103.31,103.71,102.91
104.45,104.03,104.47,103.63
104.23,103.54,104.46,103.29
103.10,102.26,103.10,101.84
103.34,102.61,103.57,102.33
103.06,103.49,103.68,102.89
103.54,103.38,103.81,103.19
101.98,101.51,101.98,100.88
102.32,102.59,102.80,102.07
104.11,104.80,104.90,104.11
105.17,105.42,105.74,104.88
105.55,104.91,105.55,104.80
105.64,106.07,106.09,105.12
106.22,107.00,107.00,105.20
106.51,106.91,107.00,106.43
106.96,107.18,107.39,106.73
107.52,106.96,107.84,106.73
106.36,105.88,106.46,105.30
105.88,104.92,105.88,104.50
104.18,103.06,104.25,102.48
104.72,103.60,107.76,103.00
103.88,104.65,104.81,103.57
104.99,105.59,105.70,104.77
105.24,103.82,105.24,103.37
103.07,104.04,104.47,102.69
103.67,102.47,103.67,101.71
102.11,101.97,102.99,101.97
101.41,102.11,102.19,100.96
102.61,103.19,103.23,102.13
103.15,103.52,103.55,102.55
102.81,102.37,103.01,101.97
100.02,100.23,100.82,99.60
101.21,101.04,101.28,100.50
100.55,101.23,101.45,100.50
101.38,102.10,102.15,101.14
102.40,102.73,103.13,102.40
104.75,104.91,104.98,104.21
104.84,103.16,104.98,103.02
103.97,103.99,104.20,103.07
103.08,103.79,104.37,102.82
103.27,102.41,103.49,102.33
103.54,103.46,104.01,103.32
102.47,101.59,102.59,101.54
101.57,102.63,102.76,101.57
101.59,100.34,101.59,99.98
100.53,100.27,100.80,99.70
101.15,101.70,102.09,100.88
100.22,99.06,100.44,98.80
98.17,98.09,98.67,97.42
99.09,98.83,99.29,98.61
97.97,98.16,98.25,97.40
98.80,99.99,100.12,98.80
99.65,99.34,100.03,99.32
97.83,98.45,98.51,97.00
98.29,97.71,98.39,97.50
97.60,98.27,98.45,97.32
98.55,99.43,99.43,98.35
100.39,101.01,101.14,100.04
101.81,102.73,102.81,101.81
102.57,103.81,103.81,102.22
103.82,103.58,104.06,103.32
102.94,103.00,103.07,102.35
103.79,104.12,104.29,103.46
102.96,102.93,103.24,102.32
101.03,100.02,101.07,100.01
99.51,99.56,100.50,99.49
100.94,101.40,102.26,100.71
101.77,100.68,101.97,100.40
101.08,101.33,101.52,100.72
100.01,99.75,100.13,98.99
100.76,101.02,101.21,100.66
101.93,102.02,102.05,101.34
102.74,103.52,103.56,102.27
103.74,103.88,103.96,103.31
103.38,103.09,103.64,103.09
103.93,103.62,104.01,103.39
103.11,101.61,103.44,101.59
101.73,101.07,102.33,101.07
100.85,101.28,101.73,100.53
102.61,100.96,102.76,99.83
99.49,98.00,99.93,98.00
98.57,98.32,98.57,96.61
95.00,91.46,95.31,91.45
92.66,90.64,93.53,89.01
86.42,82.25,86.99,79.35
85.79,87.47,88.00,84.08
87.41,85.52,87.99,84.82
86.43,89.42,90.36,86.02
90.64,90.20,91.00,89.61
91.31,92.55,92.68,91.31
91.17,91.11,91.83,90.17
91.93,91.63,92.60,91.21
88.25,87.20,88.38,86.62
86.26,85.78,88.12,85.78
87.73,86.19,87.97,86.00
87.22,88.61,88.62,86.64
88.05,88.31,88.91,87.60
88.31,86.71,88.93,86.71
86.65,88.21,88.28,85.68
90.01,90.62,90.67,89.79
90.12,90.54,90.90,89.46
92.20,92.22,92.74,91.77
91.75,91.11,92.13,90.88
89.99,89.77,90.50,89.42
86.47,87.08,87.59,85.86
88.36,89.35,89.50,88.00
88.50,88.17,89.49,87.94
86.95,85.92,87.33,85.42
84.03,85.35,85.35,83.50
84.92,85.92,86.24,84.92
85.75,85.92,86.77,84.80
87.37,87.33,87.64,86.45
87.78,87.74,88.09,86.95
85.64,85.61,85.97,84.53
85.16,85.07,86.12,84.91
85.09,82.75,85.17,82.75
79.92,79.11,80.41,78.17
78.52,78.88,79.59,78.50
78.11,78.90,78.91,77.31
81.70,81.18,82.36,80.63
81.21,80.04,81.75,80.00
81.69,80.79,82.12,79.79
79.26,78.45,80.20,78.43
78.00,76.00,78.81,76.00
75.13,77.14,77.14,74.25
76.87,78.04,78.12,75.87
78.13,79.76,79.94,77.98
80.62,79.34,80.79,79.02
81.23,82.45,82.50,81.23
81.89,82.35,82.39,80.71
83.76,84.54,85.19,83.76
83.74,84.16,84.44,83.21
84.79,85.39,85.42,84.56
84.99,83.25,85.11,83.04
83.30,84.49,85.13,82.24
84.43,83.21,84.73,82.84
82.91,82.84,83.08,81.57
84.24,84.31,84.70,83.91
84.75,86.22,86.53,84.75
85.79,84.67,85.79,84.67
86.10,86.26,86.37,84.50
89.20,90.00,90.82,88.76
89.00,89.21,89.51,88.35
87.54,85.76,87.57,85.76
82.97,83.23,84.29,82.60
84.75,84.55,85.10,83.95
85.28,86.51,86.56,84.74
85.38,85.74,86.07,84.64
85.80,86.14,86.29,85.10
86.18,86.98,87.23,85.68
84.27,82.66,84.33,82.62
84.01,83.41,84.01,82.75
84.39,85.12,85.33,84.31
84.64,84.00,84.64,83.60
83.50,84.15,84.35,83.02
82.62,82.32,83.63,82.32
82.54,81.15,82.74,80.82
81.98,81.48,82.01,81.34
79.91,79.31,79.91,78.43
79.00,78.75,79.20,78.47
77.87,76.45,77.96,76.45
76.39,76.35,77.18,76.30
79.29,79.04,79.30,78.59
79.40,79.32,79.85,79.15
82.22,83.33,83.40,82.22
82.59,82.33,83.08,82.02
83.35,82.38,83.35,82.18
83.80,82.96,83.98,82.67
82.58,82.76,83.10,82.25
82.14,83.11,83.23,82.01
82.03,80.36,82.03,80.27
81.22,81.84,82.00,81.22
80.26,79.58,80.32,79.01
79.88,78.47,80.32,78.25
77.82,77.26,78.15,77.08
78.17,77.53,78.36,77.41
77.63,77.56,78.13,77.28
77.34,76.18,77.47,76.18
77.96,79.11,79.24,77.96
76.26,76.91,76.91,75.74
76.77,77.15,77.35,76.53
77.06,77.45,77.61,76.79
77.00,77.15,77.44,76.92
76.78,75.96,77.19,75.86
76.29,77.05,77.12,76.29
77.08,77.57,77.71,77.08
79.00,79.42,79.67,78.91
79.10,79.33,79.41,78.73
78.28,78.60,78.71,77.98
78.50,77.83,78.50,77.70
78.33,78.33,78.39,77.85
79.50,79.43,79.68,79.30
79.16,79.34,79.46,78.90
79.79,80.01,80.09,79.35
79.20,79.08,79.21,78.34
80.59,80.29,80.78,79.95
80.55,81.71,81.72,80.55
82.40,82.49,82.51,81.97
82.47,82.87,82.87,82.20
83.09,83.28,83.65,83.00
82.34,82.78,82.81,82.12
82.62,84.13,84.23,82.26
84.80,84.18,85.00,83.95
84.15,84.61,84.83,83.90
83.38,83.73,83.83,83.16
84.83,84.56,85.00,84.15
85.90,86.19,86.57,85.81
86.48,86.73,87.05,86.41
87.39,87.89,87.98,87.38
87.11,88.35,88.37,87.04
88.07,88.42,88.53,87.52
88.64,89.11,89.25,88.50
89.40,89.32,89.98,88.69
88.04,87.91,88.44,87.46
89.19,88.79,89.26,88.54
88.54,88.20,88.66,87.59
88.92,88.15,88.97,88.07
87.76,88.92,88.92,87.56
89.22,89.13,89.32,88.75
89.70,89.56,89.94,89.31
89.66,89.67,89.93,89.34
89.88,90.00,90.04,89.43
90.36,90.36,90.67,90.13
89.40,89.78,89.90,89.01
90.14,90.66,90.76,90.00
91.05,89.99,91.18,89.67
90.33,90.52,90.60,90.13
90.35,89.98,90.43,89.90
89.84,89.31,89.84,89.02
87.39,86.52,87.39,86.27
87.53,87.70,87.83,87.11
88.91,89.41,89.70,88.73
89.29,89.24,89.57,89.10
89.04,88.13,89.11,88.11
88.72,89.27,89.33,88.15
89.27,88.35,89.37,88.10
88.63,89.01,89.04,88.28
89.32,89.25,89.65,89.18
89.30,89.66,89.76,89.02
88.43,88.67,88.74,88.10
88.47,88.61,88.88,88.29
87.75,87.73,87.81,87.45
87.70,88.28,88.37,87.67
88.98,89.88,89.88,88.98
89.65,89.23,89.76,89.09
88.73,88.53,89.09,88.05
87.78,88.07,88.18,87.00
88.88,88.97,89.02,88.53
88.49,89.52,89.71,88.46
89.23,88.12,89.23,87.74
87.00,86.45,87.03,86.00
86.28,86.42,86.70,86.00
85.62,86.01,86.18,85.10
85.49,84.27,85.66,84.20
85.64,85.40,85.74,85.20
86.21,87.51,87.51,86.04
87.03,86.30,87.09,86.30
86.49,86.39,86.64,85.91
86.92,87.25,87.47,86.65
86.65,86.93,87.11,86.31
86.83,86.71,87.30,86.34
86.98,87.04,87.63,86.98
85.45,85.71,85.76,85.03
85.93,85.98,86.37,85.77
86.93,87.31,87.32,86.74
86.86,87.64,87.79,86.86
87.78,87.99,88.22,87.46
87.91,87.75,87.91,87.46
87.75,88.46,88.85,87.75
87.80,88.12,88.22,87.48
87.97,87.36,87.97,87.03
86.63,85.94,86.68,85.67
86.01,86.14,86.34,85.50
85.33,84.97,85.38,84.15
83.03,83.89,84.14,82.99
84.47,84.37,84.79,84.18
83.36,83.77,84.57,83.36
82.25,81.73,82.53,81.66
81.41,80.31,81.55,80.14
80.17,79.26,80.45,79.16
79.68,78.94,79.78,78.68
79.16,78.01,79.38,77.90
78.52,80.00,80.04,78.52
79.91,79.40,80.57,79.22
78.87,79.08,79.13,77.56
79.00,78.58,79.08,78.02
78.20,78.25,78.56,78.03
79.53,79.65,80.12,79.16
78.50,77.80,78.51,77.71
78.28,78.11,78.36,77.47
76.89,76.12,77.09,76.05
76.26,76.09,76.54,75.51
76.14,77.00,77.00,76.14
77.73,79.02,79.04,77.73
80.11,79.02,80.23,78.85
78.20,78.91,78.91,77.82
79.58,77.83,79.82,77.77
78.25,78.70,78.74,77.85
78.10,77.76,78.69,77.70
77.92,78.27,78.40,77.69
78.77,79.39,79.39,78.50
79.00,79.46,79.70,78.73
80.04,80.74,81.04,80.04
80.90,80.87,81.35,80.28
80.95,78.98,80.95,78.93
79.47,79.55,79.61,79.13
78.38,78.17,78.75,77.70
78.72,78.53,78.72,77.83
78.81,79.15,79.24,78.55
78.49,78.75,78.96,78.02
80.80,81.38,81.48,80.51
81.59,82.06,82.12,81.10
82.25,82.89,83.00,82.25
82.15,82.19,82.42,81.75
81.57,81.33,81.80,80.95
80.76,81.09,81.09,80.55
81.31,80.56,81.66,80.35
80.86,80.57,81.07,80.17
79.77,79.83,80.00,79.20
80.10,80.80,80.97,79.87
80.75,80.79,81.04,80.36
80.59,81.18,81.19,80.01
80.33,81.19,81.27,80.33
81.71,82.03,82.23,81.63
81.18,81.00,81.22,80.75
78.84,79.16,79.36,78.40
79.05,78.65,79.33,78.18
79.37,79.09,79.41,78.68
80.54,80.85,81.00,80.31
81.21,82.58,82.58,81.21
81.91,81.79,82.18,81.62
81.64,81.38,82.00,81.38
81.45,81.36,82.00,81.29
80.50,80.51,81.36,80.02
81.72,82.43,82.67,81.72
82.77,82.61,83.14,82.61
83.16,83.40,83.69,83.16
83.16,83.48,83.60,82.83
83.33,83.63,83.80,83.26
83.29,83.88,83.88,83.23
83.40,83.47,83.94,83.12
83.90,83.52,83.98,83.45
83.52,83.76,83.88,83.49
83.89,84.61,84.75,83.84
84.85,84.81,84.87,84.50
84.75,84.84,84.95,84.37
85.26,85.11,85.88,84.95
84.84,85.23,85.46,84.62
85.29,84.91,85.29,84.75
84.66,84.92,85.00,84.50
84.99,84.15,84.99,84.03
83.91,83.90,84.23,83.77
84.17,83.77,84.17,83.70
83.50,82.85,83.50,82.56
83.90,83.91,84.16,83.04
83.94,83.72,83.94,83.33
83.56,83.23,83.59,83.14
83.91,85.26,85.35,83.91
85.91,86.26,86.40,85.91
86.30,86.00,86.65,86.00
86.36,86.86,86.99,86.13
87.15,87.31,87.49,87.09
87.21,88.88,89.05,86.99
89.33,89.64,90.30,89.33
89.30,89.12,89.61,88.89
88.60,88.77,89.06,88.50
88.89,89.08,89.24,88.75
88.12,88.68,88.80,87.92
89.20,89.11,89.37,88.93
87.74,88.01,88.14,87.26
88.41,87.32,88.60,87.32
87.11,86.80,87.11,86.41
87.23,88.04,88.19,87.11
87.65,87.45,87.73,87.12
88.16,88.13,88.77,87.85
88.30,88.23,88.50,87.98
88.07,87.88,88.18,87.59
88.25,88.97,89.07,88.25
89.50,89.00,89.76,88.92
88.48,88.40,88.55,88.25
88.07,87.55,88.15,87.47
87.48,86.91,87.48,86.85
87.98,87.48,87.98,87.44
87.48,87.19,87.75,87.04
87.66,87.75,87.81,87.04
88.28,88.37,88.46,88.18
89.00,89.47,89.56,88.83
89.24,89.14,89.60,88.87
88.79,87.72,88.79,87.61
88.46,88.44,88.64,88.02
87.35,86.93,87.35,86.75
87.60,87.16,87.74,87.11
88.00,87.58,88.01,87.32
87.37,87.37,87.49,86.95
87.53,87.30,87.74,87.11
87.79,88.50,88.52,87.79
88.38,87.66,88.65,87.50
87.59,87.54,87.64,87.30
87.79,88.20,88.36,87.68
87.64,87.24,87.64,86.59
87.03,86.55,87.28,86.34
86.37,86.43,86.98,86.22
86.76,86.40,86.76,86.16
85.55,85.69,86.26,85.52
85.74,84.66,85.97,84.65
85.00,85.00,85.18,84.55
84.61,85.08,85.18,84.25
85.73,86.54,86.54,85.73
86.40,86.51,86.54,85.76
86.31,86.31,86.45,86.10
87.15,87.77,87.79,87.15
87.37,87.66,87.67,87.12
87.55,87.23,87.70,87.19
86.65,87.74,87.75,86.62
88.32,88.46,88.49,87.94
88.56,88.46,88.64,88.29
88.88,88.48,88.96,88.32
88.66,88.80,89.05,88.66
89.10,89.13,89.49,88.80
89.11,89.47,89.47,89.01
89.47,89.58,89.70,89.30
89.33,89.44,89.72,89.24
89.62,89.61,89.93,89.49
90.00,90.27,90.67,89.98
90.33,89.83,90.33,89.58
90.07,90.30,90.54,90.02
90.55,90.71,90.71,90.21
90.91,91.59,91.62,90.78
91.71,91.56,91.95,91.51
89.83,90.24,90.24,89.70
89.02,89.18,89.44,88.83
89.43,89.25,89.84,88.91
89.84,89.55,90.17,89.11
89.69,89.93,90.00,89.31
89.63,89.46,89.83,89.26
89.37,90.89,90.93,89.37
92.50,92.42,92.59,91.99
92.18,91.99,92.50,91.73
91.75,92.26,92.38,91.62
92.05,92.46,92.50,91.97
92.23,92.02,92.41,91.75
92.34,92.43,92.55,92.29
93.08,93.50,93.57,92.85
93.27,93.37,93.45,93.03
93.49,93.27,93.60,93.10
92.98,93.10,93.27,92.80
92.74,92.87,92.95,92.50
93.18,93.47,93.60,93.08
93.43,93.53,93.60,93.11
93.59,93.67,93.88,93.30
93.52,93.44,93.60,93.20
93.44,93.68,93.90,93.40
93.78,93.71,93.87,93.36
93.60,93.29,93.71,93.05
93.39,93.78,93.80,93.39
93.70,93.85,94.15,93.70
93.75,93.64,93.82,93.44
94.23,94.48,94.85,94.08
94.11,93.30,94.11,93.19
93.93,93.89,94.13,93.50
93.58,94.06,94.06,93.29
94.07,93.86,94.27,93.12
94.00,94.09,94.19,93.80
94.04,93.91,94.14,93.60
93.91,94.01,94.38,93.63
94.57,94.56,94.85,94.29
93.97,94.15,94.19,93.86
94.14,93.98,94.15,93.66
94.64,94.76,94.76,94.25
94.84,93.65,94.93,93.65
93.11,92.76,93.11,92.34
93.40,93.81,93.81,93.12
94.14,91.87,94.14,91.87
92.76,92.78,92.90,92.29
92.78,93.80,94.03,92.59
93.77,93.42,94.00,93.42
93.22,93.55,93.59,93.01
93.22,93.45,93.52,92.96
93.91,94.24,94.49,93.91
94.68,94.62,94.69,94.27
94.69,94.80,94.90,94.67
94.81,94.80,94.99,94.24
94.65,94.82,94.95,94.40
94.74,94.19,94.76,94.09
94.44,94.22,94.61,93.81
94.64,94.78,94.99,94.33
94.98,94.87,94.99,94.61
94.38,94.22,94.82,94.14
94.14,93.72,94.44,93.28
94.47,94.08,94.65,94.08
93.99,93.75,94.24,93.75
94.02,94.06,94.25,93.92
94.56,93.41,94.56,93.14
93.79,94.23,94.23,93.76
93.41,93.82,93.86,93.03
94.00,94.45,94.50,93.95
93.93,93.21,93.99,93.16
93.89,93.72,94.00,93.51
93.93,92.92,94.00,92.69
92.98,93.35,93.39,92.64
92.14,92.91,92.91,91.87
92.53,92.60,92.60,92.14
92.61,93.20,93.57,92.60
93.95,94.24,94.31,93.61
94.67,94.86,95.10,94.46
94.65,94.43,94.66,94.05
93.52,91.92,93.52,91.77
92.75,93.14,93.14,92.41
92.42,91.62,92.65,91.18
91.88,91.73,91.93,91.15
92.44,92.55,92.63,92.20
92.69,93.00,93.00,92.25
93.30,93.77,93.79,93.03
94.00,94.44,94.68,94.00
95.00,95.35,95.67,95.00
95.29,94.98,95.33,94.84
95.52,95.91,96.13,95.52
96.04,96.78,96.78,95.91
96.85,96.10,96.85,96.01
96.18,96.56,96.58,96.06
97.02,97.50,97.56,97.00
97.33,97.36,97.55,97.21
97.79,97.68,97.80,97.33
97.98,98.42,98.51,97.97
98.32,97.85,98.40,97.31
97.47,97.71,97.74,97.03
97.60,97.36,97.60,97.01
97.34,97.46,97.70,97.31
96.91,97.09,97.12,96.53
97.00,96.84,97.27,96.68
97.18,97.58,97.60,97.08
97.60,97.82,97.95,97.39
97.69,98.03,98.24,97.38
98.01,96.78,98.81,96.53
95.28,95.79,95.86,94.77
95.11,95.29,95.45,94.71
96.09,95.61,96.68,95.44
95.67,95.51,95.84,95.04
95.50,95.92,96.20,95.27
95.30,94.36,95.38,94.36
94.36,95.04,95.09,94.20
95.12,94.46,95.21,94.12
94.00,93.15,94.10,93.00
93.08,93.48,93.56,92.79
93.70,93.87,94.17,93.26
94.18,93.76,94.24,93.56
92.60,92.54,92.91,92.19
93.11,92.22,93.99,92.21
92.18,93.47,93.47,92.18
93.25,92.57,93.26,92.31
93.77,93.53,94.07,93.09
93.68,94.09,94.20,93.68
