MSLI,Merus Labs International Inc. - Common Stock,NASDAQ
1.15,1.10,1.24,1.07
1.23,1.10,1.23,1.09
1.08,1.05,1.10,0.96
1.03,1.01,1.04,1.01
1.04,1.04,1.04,1.04
1.00,1.01,1.01,1.00
1.01,1.01,1.01,1.01
1.02,1.01,1.02,1.01
1.00,0.91,1.00,0.91
0.95,0.92,0.95,0.92
0.92,0.92,0.94,0.92
0.90,0.92,0.93,0.89
0.92,0.97,0.97,0.92
0.97,0.97,0.97,0.97
0.98,0.90,0.98,0.88
0.99,0.90,0.99,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.88,0.80,0.88,0.80
0.86,0.88,0.88,0.86
0.88,0.88,0.88,0.88
0.88,0.88,0.88,0.88
0.88,0.90,0.90,0.88
0.89,0.89,0.89,0.88
0.88,0.90,0.90,0.88
0.88,0.88,0.88,0.88
0.88,0.88,0.89,0.88
0.89,0.89,0.89,0.89
0.97,0.89,0.98,0.88
0.88,0.88,0.88,0.88
0.90,0.88,0.90,0.88
0.88,0.85,0.99,0.85
0.85,0.85,0.85,0.85
0.88,0.88,0.88,0.88
0.88,0.88,0.88,0.85
0.88,0.88,0.90,0.88
0.88,0.88,0.88,0.88
0.88,0.92,0.92,0.88
0.85,0.86,0.88,0.85
0.86,0.86,0.86,0.86
0.86,0.86,0.92,0.86
0.88,0.86,0.88,0.86
0.86,0.86,0.86,0.86
0.86,0.88,0.88,0.86
0.88,0.86,0.88,0.86
0.87,0.88,0.88,0.87
0.88,0.93,0.97,0.88
0.94,0.94,0.94,0.94
0.88,0.88,0.90,0.86
0.95,0.93,0.99,0.93
0.88,0.95,0.97,0.88
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.88,0.97,0.85
0.89,0.89,0.89,0.85
0.85,0.86,0.86,0.85
0.85,0.92,0.92,0.85
0.93,0.85,0.93,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.84
0.82,0.82,0.83,0.82
0.84,0.88,0.88,0.84
0.82,0.83,0.83,0.82
0.82,0.88,0.88,0.82
0.86,0.87,0.88,0.86
0.87,0.84,0.88,0.83
0.87,0.90,0.90,0.83
0.88,0.93,0.93,0.88
0.93,0.91,0.93,0.91
0.91,0.91,0.91,0.91
0.91,0.91,0.91,0.91
0.83,0.88,0.88,0.83
0.88,0.88,0.88,0.88
0.89,0.93,0.93,0.83
0.82,0.92,0.92,0.82
0.84,0.85,0.90,0.84
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.91,0.85,0.91,0.84
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.90,0.82
0.82,0.93,0.93,0.82
0.88,0.90,0.93,0.86
0.74,0.78,0.82,0.70
0.78,0.79,0.80,0.78
0.79,0.83,0.83,0.79
0.81,0.80,0.82,0.80
0.80,0.82,0.83,0.80
0.85,0.83,0.85,0.80
0.86,0.92,0.97,0.86
0.93,0.94,1.03,0.91
0.95,0.95,0.95,0.90
0.95,0.87,0.95,0.85
0.87,0.89,0.89,0.87
0.85,0.87,0.88,0.85
0.85,0.86,0.90,0.85
0.86,0.86,0.90,0.86
0.86,0.86,0.86,0.86
0.86,0.95,0.95,0.86
0.90,0.88,0.90,0.88
0.90,0.95,0.95,0.90
0.97,1.04,1.08,0.97
1.03,1.12,1.12,1.03
1.13,1.06,1.17,1.06
1.11,1.05,1.11,1.02
1.14,1.11,1.15,1.02
1.15,1.09,1.15,1.08
1.09,1.09,1.09,1.09
1.09,1.02,1.10,1.02
1.03,1.04,1.11,1.03
1.03,1.05,1.06,1.03
1.03,1.19,1.24,1.03
1.19,1.09,1.19,1.07
1.07,1.11,1.16,1.07
1.15,1.08,1.15,1.07
1.08,1.08,1.08,1.08
1.08,1.14,1.14,1.08
1.14,1.10,1.14,1.10
1.07,1.14,1.14,1.07
1.08,1.10,1.10,1.08
1.12,1.09,1.12,1.08
1.26,1.51,1.57,1.25
1.57,1.42,1.57,1.35
1.35,1.28,1.37,1.23
1.28,1.32,1.35,1.28
1.34,1.35,1.35,1.33
1.39,1.61,1.67,1.39
1.89,1.72,1.89,1.61
1.75,1.72,1.89,1.69
1.71,1.72,1.79,1.71
1.71,1.72,1.75,1.71
1.71,1.68,1.72,1.68
1.65,1.67,1.72,1.61
1.66,1.66,1.70,1.64
1.68,1.76,1.83,1.68
1.73,1.75,1.75,1.70
1.70,1.74,1.75,1.70
1.74,1.74,1.74,1.73
1.72,1.74,1.77,1.72
1.74,1.76,1.76,1.73
1.75,1.75,1.80,1.75
1.81,1.81,1.83,1.66
1.79,1.76,1.79,1.76
1.72,1.74,1.77,1.72
1.73,1.71,1.73,1.70
1.70,1.71,1.71,1.68
1.62,1.70,1.73,1.62
1.69,1.66,1.69,1.66
1.61,1.55,1.61,1.55
1.55,1.69,1.69,1.53
1.69,1.61,1.70,1.61
1.69,1.71,1.71,1.67
1.69,1.69,1.69,1.69
1.61,1.61,1.64,1.61
1.60,1.62,1.70,1.60
1.61,1.62,1.66,1.61
1.62,1.62,1.62,1.62
1.65,1.65,1.65,1.65
1.65,1.66,1.66,1.65
1.62,1.63,1.63,1.62
1.65,1.62,1.65,1.60
1.62,1.67,1.67,1.62
1.67,1.67,1.68,1.67
1.67,1.64,1.67,1.63
1.66,1.65,1.66,1.65
1.68,1.74,1.75,1.64
1.73,1.64,1.73,1.64
1.67,1.66,1.67,1.66
1.64,1.64,1.64,1.64
1.65,1.65,1.65,1.65
1.65,1.63,1.65,1.63
1.60,1.60,1.60,1.55
1.61,1.60,1.62,1.60
1.63,1.68,1.73,1.63
1.68,1.68,1.72,1.67
1.73,1.65,1.73,1.65
1.65,1.65,1.68,1.63
1.65,1.67,1.67,1.65
1.65,1.62,1.65,1.62
1.66,1.65,1.66,1.65
1.66,1.63,1.66,1.61
1.65,1.67,1.67,1.65
1.65,1.65,1.67,1.65
1.62,1.65,1.65,1.62
1.62,1.65,1.65,1.58
1.59,1.64,1.67,1.59
1.66,1.63,1.67,1.60
1.61,1.63,1.66,1.61
1.62,1.68,1.68,1.62
1.63,1.69,1.69,1.63
1.65,1.65,1.69,1.63
1.65,1.64,1.65,1.64
1.64,1.67,1.67,1.64
1.64,1.63,1.66,1.63
1.63,1.61,1.63,1.61
1.61,1.62,1.63,1.61
1.61,1.61,1.61,1.61
1.61,1.63,1.63,1.60
1.61,1.62,1.62,1.60
1.61,1.66,1.66,1.61
1.66,1.89,1.92,1.66
1.95,1.99,2.18,1.90
2.05,2.09,2.11,2.05
2.05,1.93,2.10,1.93
1.94,1.92,1.94,1.92
2.00,1.99,2.00,1.93
1.96,1.95,1.97,1.88
1.95,1.86,1.96,1.85
1.91,1.90,1.92,1.90
1.92,1.90,1.92,1.90
1.90,1.91,1.95,1.85
1.92,1.92,1.96,1.89
1.96,1.90,1.98,1.90
1.90,1.85,1.90,1.85
1.89,1.88,1.89,1.85
1.85,1.85,1.85,1.85
1.90,1.91,1.98,1.88
1.88,1.87,1.88,1.87
1.91,1.93,1.93,1.87
1.98,1.93,1.98,1.87
1.94,1.87,1.95,1.87
1.87,1.84,1.95,1.74
1.85,1.89,2.09,1.76
1.87,1.82,1.88,1.81
1.85,1.90,1.90,1.85
1.90,1.90,1.92,1.88
1.84,1.83,1.89,1.75
1.89,1.78,1.95,1.78
1.77,1.78,1.78,1.77
1.92,1.88,1.93,1.86
1.92,1.92,1.92,1.92
1.91,1.92,1.94,1.91
1.96,1.98,2.02,1.96
1.97,1.94,2.02,1.94
1.97,1.95,2.02,1.93
1.96,2.15,2.15,1.96
2.14,1.99,2.15,1.98
1.99,2.02,2.04,1.99
2.05,1.99,2.05,1.99
1.98,1.92,1.98,1.91
1.93,1.93,1.93,1.93
1.84,1.93,1.93,1.84
1.88,1.93,1.93,1.88
1.95,1.95,1.95,1.95
1.95,1.95,1.95,1.95
1.87,1.83,1.88,1.75
1.77,1.72,1.77,1.72
1.72,1.72,1.77,1.72
1.70,1.60,1.70,1.60
1.60,1.69,1.70,1.30
1.68,1.68,1.68,1.68
1.60,1.80,1.95,1.60
1.75,1.94,1.94,1.75
0.12,1.80,1.95,0.10
1.84,1.84,1.84,1.84
1.80,1.69,1.80,1.69
1.42,1.68,1.78,1.40
1.68,1.71,1.74,1.68
1.72,1.74,1.74,1.72
1.68,1.76,1.83,1.66
1.80,1.80,1.84,1.71
1.72,1.66,1.72,1.65
1.65,1.70,1.70,1.65
1.72,1.78,1.79,1.72
1.75,1.76,1.76,1.75
1.84,1.75,1.84,1.74
1.75,1.75,1.75,1.75
1.76,1.83,1.83,1.71
1.70,1.68,1.73,1.64
1.69,1.64,1.70,1.64
1.65,1.65,1.75,1.65
1.70,1.84,1.84,1.68
1.84,1.79,1.84,1.71
1.76,1.67,1.80,1.66
1.71,1.73,1.74,1.71
1.76,1.85,1.85,1.70
1.88,1.73,1.88,1.73
1.74,1.75,1.88,1.66
1.73,1.72,1.73,1.72
1.75,1.72,1.75,1.72
1.72,1.67,1.72,1.66
1.70,1.67,1.70,1.67
1.67,1.67,1.67,1.63
1.63,1.68,1.69,1.63
1.68,1.68,1.68,1.68
1.60,1.70,1.70,1.59
1.70,1.78,1.79,1.69
1.68,1.65,1.73,1.65
1.55,1.68,1.69,1.55
1.99,1.65,1.99,1.65
1.56,1.61,1.61,1.55
1.61,1.61,1.61,1.61
1.68,1.66,1.70,1.66
1.63,1.64,1.64,1.63
1.78,1.84,1.84,1.76
1.80,1.84,1.85,1.80
1.76,1.70,1.90,1.70
1.79,1.88,1.94,1.79
1.88,1.99,1.99,1.88
1.98,1.98,1.98,1.98
1.98,2.00,2.00,1.98
1.90,1.94,1.96,1.90
1.99,2.00,2.00,1.99
1.96,1.98,2.00,1.96
1.98,2.01,2.01,1.98
2.00,1.96,2.01,1.96
1.76,2.00,2.04,1.76
1.99,2.00,2.04,1.99
2.00,2.17,2.18,1.93
2.26,2.13,2.31,2.12
2.10,2.12,2.18,2.02
2.15,2.15,2.15,2.15
2.13,2.00,2.14,2.00
2.08,2.20,2.20,2.08
2.15,2.23,2.25,2.06
2.08,2.08,2.10,2.08
2.08,1.99,2.08,1.99
2.00,2.02,2.09,1.99
2.07,2.12,2.14,2.05
2.13,2.00,2.14,2.00
1.99,1.96,2.00,1.93
1.98,1.98,2.00,1.96
1.94,1.94,1.94,1.94
1.94,1.93,2.05,1.92
1.82,1.92,2.04,1.82
1.85,1.98,2.11,1.85
1.94,1.97,2.00,1.89
1.97,1.96,2.01,1.91
1.90,1.96,2.00,1.90
1.96,1.99,1.99,1.96
1.96,1.97,1.99,1.96
1.96,1.95,1.96,1.94
2.00,2.08,2.08,2.00
2.00,2.04,2.04,1.98
2.04,2.02,2.05,2.01
2.02,2.02,2.02,2.00
2.02,2.02,2.02,2.02
2.00,1.95,2.00,1.90
1.95,1.95,2.00,1.90
1.96,2.00,2.00,1.96
1.95,1.95,1.95,1.95
1.95,1.96,1.96,1.95
1.95,1.95,1.95,1.95
1.79,1.93,1.94,1.77
1.93,1.96,1.96,1.93
2.00,1.91,2.00,1.91
1.90,1.91,1.91,1.90
1.90,2.00,2.01,1.90
2.01,1.92,2.01,1.92
1.92,1.90,1.92,1.90
1.90,1.90,1.90,1.90
2.01,2.01,2.01,2.01
2.02,2.02,2.05,2.02
2.02,2.02,2.02,2.02
2.02,2.02,2.02,2.02
2.02,2.02,2.02,2.02
2.02,2.02,2.02,2.02
2.10,2.10,2.10,2.10
2.03,2.01,2.03,2.01
1.90,2.01,2.01,1.90
2.03,2.03,2.03,2.03
2.10,2.04,2.10,2.02
2.07,2.06,2.08,2.06
2.09,2.09,2.09,2.09
2.09,2.09,2.09,2.09
1.91,1.95,2.03,1.91
1.91,2.04,2.12,1.91
2.00,2.00,2.00,2.00
2.00,1.96,2.00,1.94
2.00,1.96,2.05,1.96
1.96,2.05,2.10,1.96
2.10,1.96,2.10,1.96
2.06,2.08,2.08,1.97
2.08,2.08,2.08,2.08
1.99,1.99,1.99,1.99
1.99,1.99,1.99,1.99
1.97,1.91,1.97,1.89
1.90,1.90,1.90,1.90
1.95,2.01,2.01,1.95
1.95,1.99,1.99,1.95
1.97,1.91,1.97,1.91
1.91,1.91,1.91,1.91
1.81,1.80,1.81,1.80
1.73,1.83,1.84,1.73
1.83,1.74,1.83,1.41
1.70,1.70,1.70,1.70
1.69,1.73,1.73,1.59
1.73,1.75,1.75,1.73
1.75,1.75,1.75,1.75
1.61,1.70,1.70,1.61
1.68,1.75,1.77,1.68
1.76,1.68,1.76,1.67
1.71,1.71,1.71,1.71
1.54,1.51,1.60,1.51
1.65,1.70,1.72,1.65
1.76,2.01,2.01,1.76
2.01,2.01,2.01,2.01
2.01,1.93,2.01,1.93
1.85,1.82,1.86,1.82
1.82,1.97,2.02,1.82
1.96,1.96,1.97,1.96
1.98,2.00,2.00,1.98
1.90,1.90,1.94,1.90
1.91,2.09,2.10,1.91
2.09,2.21,2.21,2.09
2.16,2.13,2.16,2.13
2.22,2.16,2.25,2.16
2.27,2.30,2.37,2.27
2.31,2.41,2.41,2.28
2.07,2.29,2.29,2.07
2.29,2.29,2.29,2.29
2.29,2.29,2.29,2.29
2.30,2.30,2.30,2.24
2.16,2.23,2.30,2.16
2.25,2.25,2.25,2.25
2.23,2.29,2.41,2.23
2.29,2.29,2.29,2.29
2.12,2.03,2.24,2.03
2.03,2.03,2.03,2.03
2.12,2.17,2.17,2.12
2.12,2.07,2.12,2.07
2.00,2.10,2.14,2.00
2.09,2.12,2.30,1.97
2.11,2.09,2.14,2.09
2.01,2.04,2.04,2.00
2.03,2.05,2.05,1.98
1.99,2.05,2.05,1.99
2.05,2.05,2.10,2.05
2.05,2.06,2.07,2.05
1.95,2.30,2.30,1.95
2.10,2.10,2.10,2.10
2.08,2.06,2.22,2.06
2.06,2.07,2.07,2.06
2.07,2.07,2.07,2.07
2.00,1.95,2.10,1.95
1.97,1.74,1.97,1.70
1.74,1.71,1.82,1.71
1.66,1.58,1.67,1.58
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.72,1.68,1.73,1.68
2.00,1.60,2.00,1.60
1.60,1.61,1.62,1.55
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.52,1.60,1.60,1.52
1.66,1.66,1.66,1.66
1.62,1.63,1.65,1.59
1.67,1.66,1.67,1.59
1.66,1.66,1.66,1.66
1.60,1.55,1.61,1.55
1.55,1.55,1.55,1.55
1.60,1.55,1.60,1.55
1.59,1.58,1.61,1.58
1.60,1.64,1.66,1.56
1.64,1.64,1.64,1.64
1.67,1.67,1.67,1.67
1.67,1.62,1.67,1.62
1.62,1.62,1.62,1.62
1.62,1.62,1.62,1.62
1.64,1.67,1.67,1.64
1.67,1.67,1.67,1.67
1.77,1.71,1.78,1.63
1.78,1.71,1.78,1.70
1.65,1.74,1.74,1.65
1.69,1.67,1.70,1.67
1.66,1.67,1.67,1.66
1.61,1.61,1.61,1.61
1.61,1.61,1.61,1.61
1.61,1.61,1.61,1.61
1.62,1.62,1.62,1.62
1.62,1.62,1.62,1.62
1.62,1.62,1.62,1.62
1.62,1.62,1.62,1.62
1.62,1.62,1.62,1.62
1.62,1.62,1.62,1.62
1.61,1.58,1.64,1.58
1.58,1.66,1.77,1.58
1.66,1.66,1.66,1.66
1.59,1.63,1.69,1.58
1.66,1.61,1.67,1.60
1.70,1.66,1.70,1.66
1.77,1.62,1.83,1.62
1.62,1.62,1.62,1.62
1.62,1.62,1.62,1.62
1.75,1.70,1.78,1.70
1.98,1.70,1.98,1.69
1.56,1.75,1.83,1.56
1.75,1.75,1.76,1.75
1.63,1.86,1.87,1.63
1.85,1.75,1.85,1.73
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.74
1.70,1.62,1.71,1.62
1.60,1.62,1.67,1.60
1.64,1.67,1.67,1.63
1.72,1.64,1.72,1.64
1.64,1.64,1.64,1.64
1.64,1.73,1.73,1.64
1.65,1.63,1.66,1.63
1.63,1.66,1.66,1.63
1.64,1.64,1.64,1.64
1.69,1.64,1.69,1.64
1.60,1.73,1.73,1.56
1.64,1.56,1.64,1.56
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.56,1.60,1.60,1.55
1.60,1.60,1.60,1.60
1.54,1.54,1.54,1.54
1.63,1.55,1.70,1.55
1.55,1.56,1.56,1.55
1.56,1.56,1.56,1.56
1.56,1.56,1.56,1.56
1.55,1.54,1.55,1.54
1.46,1.50,1.50,1.46
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.45,1.51,1.55,1.45
1.52,1.52,1.52,1.52
1.50,1.51,1.55,1.50
1.51,1.51,1.51,1.51
1.46,1.52,1.55,1.46
1.52,1.55,1.55,1.52
1.54,1.53,1.55,1.48
1.52,1.57,1.57,1.52
1.57,1.57,1.57,1.57
1.52,1.48,1.52,1.48
1.48,1.47,1.48,1.47
1.44,1.44,1.47,1.44
1.45,1.44,1.45,1.44
1.44,1.37,1.44,1.26
1.37,1.37,1.38,1.37
1.37,1.37,1.37,1.37
1.38,1.38,1.38,1.38
1.37,1.35,1.37,1.35
1.36,1.35,1.36,1.35
1.27,1.26,1.27,1.26
1.26,1.32,1.64,0.90
1.38,1.35,1.38,1.35
1.28,1.28,1.28,1.28
1.27,1.27,1.27,1.27
1.27,1.27,1.27,1.27
1.22,1.34,1.38,1.22
1.27,1.27,1.27,1.27
1.32,1.27,1.32,1.27
1.27,1.27,1.27,1.27
1.27,1.43,1.43,1.27
1.67,1.50,1.67,1.44
1.36,1.37,1.38,1.36
1.27,1.25,1.27,1.25
1.30,1.32,1.32,1.25
1.35,1.35,1.35,1.35
1.31,1.25,1.31,1.25
1.25,1.35,1.35,1.25
1.45,1.48,1.48,1.45
1.43,1.51,1.51,1.43
1.47,1.47,1.47,1.47
1.47,1.47,1.47,1.47
1.48,1.48,1.48,1.48
1.48,1.48,1.48,1.48
1.41,1.41,1.41,1.41
1.41,1.43,1.52,1.40
1.45,1.52,1.52,1.43
1.40,1.40,1.41,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.33,1.40,1.29
1.25,1.28,1.28,1.25
1.31,1.30,1.33,1.30
1.39,1.38,1.39,1.35
1.38,1.38,1.38,1.25
1.34,1.35,1.35,1.34
1.34,1.34,1.34,1.34
1.23,1.29,1.38,1.23
1.29,1.25,1.29,1.25
1.21,1.18,1.22,1.16
1.15,1.17,1.19,1.12
1.17,1.17,1.17,1.17
1.11,1.13,1.13,1.05
1.12,1.15,1.16,1.12
1.18,1.08,1.18,1.03
1.05,1.06,1.06,0.96
1.00,1.02,1.06,0.96
1.02,1.02,1.02,1.02
0.93,1.04,1.04,0.93
1.00,1.10,1.10,1.00
1.01,1.02,1.02,1.01
1.04,1.04,1.05,1.00
1.09,1.00,1.09,1.00
1.05,0.95,1.05,0.95
0.95,1.38,1.38,0.90
1.12,1.33,1.36,1.11
1.16,1.20,1.20,1.02
1.05,1.10,1.10,1.03
1.07,1.10,1.31,1.07
1.08,1.08,1.09,1.08
1.13,1.00,1.13,1.00
1.07,1.13,1.24,1.06
1.12,1.19,1.19,1.12
1.17,1.16,1.17,1.16
1.15,1.15,1.15,1.15
1.08,1.10,1.14,1.05
1.10,1.10,1.12,1.07
1.10,1.07,1.10,1.07
1.07,1.07,1.07,1.07
1.05,1.06,1.06,1.03
1.03,1.06,1.06,1.03
1.06,1.06,1.06,1.06
1.06,1.06,1.06,1.06
1.05,1.01,1.05,1.01
1.00,0.95,1.01,0.95
1.00,0.97,1.00,0.93
0.90,0.93,0.99,0.90
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.92
0.91,0.91,0.92,0.91
0.97,1.00,1.05,0.97
0.95,0.99,1.04,0.95
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
1.04,1.04,1.04,1.04
1.04,1.05,1.05,1.04
1.01,0.97,1.01,0.97
0.96,0.96,0.96,0.96
0.97,0.95,0.97,0.94
0.96,1.02,1.02,0.96
1.00,1.04,1.08,0.96
1.04,1.04,1.04,1.04
1.04,1.08,1.09,1.02
1.14,1.23,1.35,1.08
1.33,1.19,1.37,1.15
1.18,1.04,1.18,1.03
1.09,1.05,1.09,1.04
1.08,1.06,1.08,1.05
1.07,1.01,1.07,1.00
1.00,1.05,1.05,1.00
1.02,0.93,1.02,0.93
0.93,0.93,0.94,0.93
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.86,0.83,0.86,0.82
0.79,0.84,0.90,0.79
0.82,0.82,0.92,0.82
0.90,0.84,0.90,0.84
0.85,0.92,0.94,0.85
0.85,0.85,0.85,0.82
0.87,0.87,0.87,0.87
0.87,0.88,0.88,0.84
0.85,0.82,0.85,0.80
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.80,0.80,0.84,0.80
0.82,0.80,0.82,0.80
0.74,0.79,0.79,0.74
0.82,0.75,0.82,0.75
0.75,0.75,0.75,0.75
0.74,0.74,0.74,0.74
0.73,0.72,0.74,0.68
0.70,0.78,0.78,0.70
0.75,0.72,0.75,0.64
0.66,0.63,0.66,0.63
0.60,0.65,0.65,0.60
0.65,0.63,0.66,0.62
0.65,0.65,0.65,0.65
0.68,0.64,0.68,0.64
0.64,0.64,0.64,0.64
0.68,0.66,0.73,0.66
0.66,0.66,0.66,0.66
0.63,0.68,0.68,0.63
0.65,0.65,0.65,0.65
0.66,0.66,0.67,0.66
0.66,0.66,0.66,0.66
0.64,0.68,0.68,0.64
0.63,0.65,0.65,0.63
0.65,0.65,0.65,0.65
0.64,0.62,0.66,0.62
0.62,0.62,0.62,0.62
0.60,0.66,0.66,0.57
0.61,0.61,0.61,0.61
0.60,0.62,0.62,0.60
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.64,0.64,0.64,0.64
0.62,0.60,0.62,0.60
0.63,0.50,0.63,0.50
0.49,0.51,0.51,0.46
0.46,0.49,0.49,0.46
0.48,0.57,0.57,0.48
0.56,0.56,0.56,0.56
0.57,0.57,0.57,0.57
0.57,0.60,0.73,0.57
0.68,0.68,0.68,0.61
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.61,0.63,0.63,0.61
0.63,0.63,0.63,0.60
0.62,0.57,0.62,0.57
0.64,0.62,0.64,0.58
0.63,0.64,0.64,0.60
0.64,0.77,0.78,0.64
0.78,0.74,0.78,0.72
0.82,0.85,0.86,0.81
1.05,0.83,1.05,0.82
0.85,0.87,0.88,0.85
0.95,0.85,0.95,0.85
0.89,0.87,0.91,0.80
0.83,0.86,0.86,0.81
0.84,0.81,0.85,0.79
0.80,0.80,0.82,0.80
0.82,0.83,0.83,0.80
