EFO,ProShares Ultra MSCI EAFE,NASDAQ
92.92,92.92,92.92,92.92
94.38,94.38,94.38,94.38
92.27,92.33,92.33,92.26
nan,92.91,nan,nan
N/A,N/A,N/A,N/A
94.56,93.27,94.59,93.27
nan,91.45,nan,nan
nan,92.49,nan,nan
N/A,N/A,N/A,N/A
88.17,88.39,88.39,88.13
87.87,87.86,87.87,87.86
83.48,83.59,83.59,83.48
75.91,79.50,79.50,75.89
79.69,76.43,79.69,76.43
81.30,81.30,81.30,81.30
83.25,83.28,83.28,83.22
86.51,87.33,87.33,86.51
86.68,86.55,86.68,86.55
87.22,87.21,87.22,87.21
nan,88.65,nan,nan
88.67,87.72,88.67,87.72
87.88,87.58,88.36,87.58
87.72,88.23,88.23,87.72
89.37,90.19,90.19,89.37
89.60,89.60,89.60,89.60
89.95,89.93,89.95,89.93
91.70,91.23,91.70,91.23
nan,89.90,nan,nan
N/A,N/A,N/A,N/A
91.89,91.31,92.03,91.12
93.50,93.04,93.50,93.04
93.42,93.50,93.50,93.42
91.80,91.80,91.80,91.80
92.00,92.00,92.00,92.00
91.68,91.71,91.71,91.68
91.93,92.10,92.10,91.90
87.85,88.22,88.22,87.40
nan,89.63,nan,nan
N/A,N/A,N/A,N/A
nan,95.13,nan,nan
95.52,95.37,95.52,95.37
95.59,96.80,97.00,95.59
97.31,99.07,99.07,97.06
98.98,99.90,99.90,98.98
100.50,100.87,100.87,100.50
101.65,100.73,101.65,100.48
99.88,99.14,99.88,98.93
97.18,97.12,97.18,97.12
95.14,93.63,95.41,93.63
94.86,93.76,94.87,93.73
94.12,94.85,94.85,93.91
95.67,96.71,96.71,95.67
94.93,94.93,94.93,94.93
92.25,93.63,93.63,91.48
90.61,90.41,90.61,89.52
90.91,90.13,90.91,90.13
89.39,90.39,90.39,89.39
nan,90.95,nan,nan
92.90,92.65,92.90,92.65
91.43,91.13,91.43,91.13
86.50,85.98,86.50,85.98
87.29,87.60,87.60,87.29
86.81,88.30,88.30,86.81
89.86,89.86,89.86,89.86
nan,90.95,nan,nan
93.22,93.22,93.22,93.22
92.23,91.12,92.40,91.12
89.58,89.58,89.58,89.58
91.03,91.22,91.22,91.03
90.04,90.04,90.04,90.04
91.60,91.50,91.60,91.50
89.36,89.03,89.36,89.03
88.77,90.09,90.12,88.77
88.53,86.25,88.53,85.92
86.38,85.84,86.38,85.84
88.26,89.04,89.13,88.26
85.58,83.30,85.58,83.30
82.44,82.09,82.78,81.95
84.69,84.69,84.69,84.69
83.95,83.95,83.95,83.95
nan,87.65,nan,nan
87.42,86.02,87.45,86.02
82.37,84.24,84.24,81.82
84.23,82.78,84.23,82.78
83.00,84.25,84.25,83.00
86.00,86.25,86.25,86.00
88.91,88.76,88.91,88.60
nan,92.03,nan,nan
nan,92.97,nan,nan
92.64,92.75,92.75,92.64
91.19,91.01,91.19,91.01
92.97,93.03,93.03,92.97
90.67,90.67,90.67,90.67
84.98,85.19,85.19,84.98
85.00,84.66,85.00,84.66
88.26,86.59,88.26,86.59
nan,85.90,nan,nan
N/A,N/A,N/A,N/A
82.65,82.65,82.65,82.65
nan,85.36,nan,nan
N/A,N/A,N/A,N/A
89.41,91.37,91.64,89.41
91.54,91.49,91.54,91.25
91.03,90.64,91.03,90.64
91.18,91.28,91.28,91.18
90.15,89.26,90.15,89.26
86.93,86.97,86.97,86.93
86.09,86.36,86.36,85.84
nan,84.90,nan,nan
N/A,N/A,N/A,N/A
81.32,79.49,81.32,79.49
75.81,71.31,75.81,71.31
72.00,72.46,72.46,69.69
66.81,62.04,67.90,62.04
66.23,68.60,68.60,66.23
66.13,63.08,66.13,63.08
62.33,62.75,62.75,62.33
68.49,69.16,69.75,68.49
70.82,71.91,71.91,70.82
69.48,70.39,70.39,69.48
72.26,70.80,72.26,70.80
65.19,63.23,65.19,63.23
63.57,63.57,63.57,63.57
65.66,62.67,65.66,62.67
64.07,64.52,64.52,63.63
65.62,65.59,65.71,65.59
nan,63.59,nan,nan
N/A,N/A,N/A,N/A
nan,68.62,nan,nan
N/A,N/A,N/A,N/A
nan,70.73,nan,nan
N/A,N/A,N/A,N/A
nan,66.15,nan,nan
59.76,61.08,61.08,59.76
nan,64.35,nan,nan
N/A,N/A,N/A,N/A
59.93,60.34,60.34,59.93
55.51,57.46,57.46,55.51
57.62,58.79,58.79,57.62
58.57,59.66,59.66,58.57
62.42,63.14,63.14,61.40
63.51,62.76,63.55,62.76
58.98,60.36,60.36,58.31
61.34,60.03,61.50,60.03
59.69,56.69,59.69,56.69
53.02,52.59,53.02,52.26
53.40,53.48,53.48,53.38
54.76,54.52,54.76,54.52
59.56,59.07,60.80,59.07
58.01,57.95,58.10,57.92
59.97,59.35,60.28,59.00
56.17,55.37,56.85,55.37
54.16,52.59,55.08,52.59
50.62,54.07,54.07,50.05
54.07,55.60,55.60,53.28
nan,56.94,nan,nan
59.26,58.87,59.26,58.87
61.50,62.22,62.27,61.50
60.86,61.66,61.67,60.86
64.79,64.54,65.11,64.54
63.42,63.42,63.42,63.42
65.21,64.43,65.21,64.43
nan,62.49,nan,nan
61.95,62.61,62.61,61.95
62.13,62.13,62.13,62.13
61.93,62.03,62.03,61.77
64.42,65.14,65.14,64.42
66.01,66.77,66.77,66.01
65.71,65.62,65.71,65.11
65.77,66.34,66.34,65.77
72.78,73.88,73.88,72.78
72.23,72.23,72.23,72.23
68.85,66.35,68.85,66.35
60.18,61.57,62.79,60.01
61.74,62.19,62.25,61.74
64.48,65.61,65.66,64.48
63.98,63.81,63.98,63.81
63.28,63.28,63.28,63.28
66.15,66.08,66.15,66.08
59.85,59.27,59.95,59.27
61.12,60.96,61.12,60.44
63.00,63.68,63.97,63.00
62.25,61.07,62.25,61.07
60.95,61.29,61.29,60.55
59.27,58.77,59.27,58.77
57.42,57.24,57.42,57.24
58.86,57.91,58.86,57.91
55.06,54.82,55.07,54.49
54.83,54.68,54.83,54.68
nan,52.09,nan,nan
51.49,52.17,52.17,51.49
nan,55.44,nan,nan
55.94,56.01,56.01,55.61
60.58,61.56,61.56,60.58
61.23,60.72,61.23,60.72
62.44,61.81,62.44,61.81
62.96,61.74,62.96,61.74
61.64,61.71,61.71,61.64
61.40,62.65,62.65,61.40
60.56,58.24,60.74,58.24
59.44,60.99,61.15,59.42
58.52,57.07,58.52,57.07
nan,55.91,nan,nan
55.59,54.62,55.59,54.62
nan,55.49,nan,nan
N/A,N/A,N/A,N/A
54.42,53.97,54.42,53.97
56.60,57.52,57.52,56.60
56.91,56.91,56.91,56.91
57.00,57.83,57.83,57.00
nan,58.47,nan,nan
58.22,58.21,60.19,58.14
56.93,56.36,56.93,56.35
nan,58.18,nan,nan
N/A,N/A,N/A,N/A
61.34,62.22,62.22,61.34
61.13,61.25,61.25,61.13
58.99,59.31,59.31,58.99
59.09,57.82,59.09,57.82
58.46,58.22,58.46,57.83
60.16,60.06,60.16,60.06
nan,59.62,nan,nan
60.15,60.25,60.25,60.15
nan,58.71,nan,nan
60.64,60.30,60.64,60.30
61.63,62.19,62.19,61.63
62.98,63.64,63.64,62.98
63.96,64.25,64.25,63.96
65.37,65.44,65.44,65.37
64.25,64.25,64.25,64.25
64.97,64.97,64.97,64.97
66.34,65.61,66.34,65.61
nan,65.93,nan,nan
63.66,63.66,63.66,63.66
65.18,64.59,65.18,64.59
66.70,67.18,67.18,66.70
67.30,67.27,67.30,67.27
68.81,69.36,69.36,68.81
67.97,68.65,68.65,67.97
68.85,69.48,69.48,68.48
69.91,69.96,69.96,69.77
70.60,70.20,70.60,70.20
67.79,67.47,67.79,67.47
69.35,69.34,69.35,69.34
67.49,67.49,67.49,67.49
nan,68.62,nan,nan
nan,69.83,nan,nan
nan,70.69,nan,nan
71.42,71.42,71.42,71.42
70.50,70.35,70.59,70.35
nan,70.35,nan,nan
72.26,72.38,72.38,72.22
71.85,71.69,71.85,71.69
nan,71.69,nan,nan
nan,71.69,nan,nan
nan,72.69,nan,nan
71.40,71.40,71.40,71.40
71.12,70.55,71.12,70.55
67.18,66.11,67.18,65.92
nan,67.70,nan,nan
70.63,70.63,70.63,70.63
nan,70.05,nan,nan
nan,70.05,nan,nan
71.47,71.47,71.47,71.47
71.08,70.64,71.18,70.64
72.08,72.08,72.08,72.08
nan,72.08,nan,nan
72.73,73.75,74.03,72.73
nan,73.75,nan,nan
nan,71.37,nan,nan
70.14,70.00,70.14,70.00
nan,70.00,nan,nan
72.93,72.88,72.93,72.88
72.40,72.40,72.40,72.40
70.85,70.84,70.85,70.84
nan,70.84,nan,nan
nan,70.84,nan,nan
71.78,71.78,71.78,71.78
69.95,69.95,69.95,69.95
67.70,67.21,67.70,67.21
66.69,66.68,66.69,66.68
65.36,66.09,66.09,65.36
65.45,63.38,65.58,63.38
65.48,64.79,65.48,64.79
66.40,67.33,67.33,66.40
65.96,64.67,65.96,64.67
65.61,65.49,65.61,65.18
66.76,67.74,67.74,66.76
66.58,66.80,66.80,66.58
nan,66.80,nan,nan
67.09,67.22,67.22,67.09
64.75,64.60,64.75,64.43
nan,64.60,nan,nan
nan,64.60,nan,nan
67.67,68.33,68.33,67.67
68.68,68.62,68.68,68.62
68.25,67.57,68.25,67.57
69.00,68.92,69.00,68.68
67.64,67.63,67.64,67.63
67.26,66.36,67.31,66.36
64.79,64.48,64.79,64.38
64.35,64.59,64.59,64.35
nan,64.59,nan,nan
60.98,60.76,60.98,60.76
63.00,62.39,63.00,62.39
nan,62.39,nan,nan
59.38,59.81,59.81,59.38
58.64,58.97,58.97,58.64
nan,57.25,nan,nan
55.71,55.26,55.71,55.26
54.92,54.42,54.92,54.42
56.50,56.72,56.72,56.50
57.25,56.69,57.25,56.69
53.72,55.10,55.10,53.72
54.85,54.94,54.94,54.85
nan,54.83,nan,nan
55.66,55.11,55.66,54.89
53.00,53.00,53.00,53.00
52.92,52.92,52.92,52.92
51.60,51.08,51.60,51.08
51.57,51.30,51.57,51.30
nan,51.30,nan,nan
53.50,54.98,54.98,53.50
56.91,56.00,57.01,56.00
53.88,54.22,54.22,53.88
55.85,54.69,55.85,54.69
54.91,55.53,55.53,54.91
54.90,55.88,55.88,54.90
55.26,55.53,55.62,55.26
57.25,57.25,57.25,57.25
56.83,56.66,56.83,56.66
58.25,59.17,59.17,58.25
nan,59.10,nan,nan
59.26,58.35,59.48,58.35
nan,57.09,nan,nan
nan,57.09,nan,nan
55.51,55.57,55.57,55.51
56.40,56.39,56.40,56.39
nan,56.39,nan,nan
60.85,60.85,60.85,60.85
61.20,61.30,61.30,61.20
62.92,62.68,62.92,62.68
60.98,60.88,60.98,60.88
nan,59.23,nan,nan
58.85,59.32,59.32,58.85
58.65,58.65,58.65,58.65
58.92,58.72,58.93,58.72
57.79,57.66,57.79,57.66
nan,59.13,nan,nan
59.59,59.59,59.62,59.59
58.28,58.54,58.54,58.26
60.42,60.42,60.42,60.42
nan,60.42,nan,nan
59.13,58.91,59.13,58.90
55.71,55.58,55.71,55.58
54.60,54.60,54.60,54.60
55.67,55.72,55.72,55.67
58.99,58.80,58.99,58.80
60.50,61.64,61.64,60.50
61.98,61.61,61.98,61.61
61.67,61.09,61.73,61.07
nan,61.09,nan,nan
59.36,58.46,59.50,58.46
62.05,63.00,63.19,62.05
63.54,64.40,64.40,63.54
nan,64.40,nan,nan
nan,64.40,nan,nan
nan,64.40,nan,nan
64.65,64.67,64.67,64.65
nan,64.67,nan,nan
65.17,65.17,65.17,65.17
nan,65.17,nan,nan
65.76,66.11,66.19,65.76
nan,66.11,nan,nan
nan,66.11,nan,nan
67.13,67.84,67.84,67.13
nan,65.81,nan,nan
66.17,65.78,66.17,65.78
65.48,65.75,65.79,65.48
nan,65.75,nan,nan
65.75,65.82,65.82,65.75
nan,65.80,nan,nan
nan,65.80,nan,nan
nan,65.80,nan,nan
64.02,64.00,64.02,64.00
nan,63.48,nan,nan
nan,66.70,nan,nan
nan,66.70,nan,nan
68.04,68.04,68.04,68.04
69.20,69.20,69.20,69.20
70.22,69.88,70.22,69.88
69.59,72.26,72.57,69.58
73.96,73.65,73.96,73.65
73.43,72.75,73.43,72.51
nan,72.21,nan,nan
72.92,72.73,72.92,72.73
71.17,71.48,71.48,71.17
72.87,72.45,72.87,72.45
70.93,71.70,71.70,70.91
72.08,70.55,72.08,70.55
69.26,68.79,69.26,68.79
nan,68.79,nan,nan
68.33,68.33,68.33,68.33
69.40,68.87,69.85,68.77
nan,69.33,nan,nan
nan,69.09,nan,nan
nan,69.09,nan,nan
nan,69.09,nan,nan
nan,69.09,nan,nan
nan,69.09,nan,nan
nan,69.09,nan,nan
68.82,68.82,68.82,68.82
68.73,68.45,68.73,68.45
68.67,69.49,69.49,68.67
nan,69.49,nan,nan
72.73,73.00,73.00,72.73
nan,73.00,nan,nan
nan,71.43,nan,nan
nan,71.03,nan,nan
68.78,68.63,68.78,68.63
nan,68.63,nan,nan
69.41,69.46,69.46,69.41
nan,69.10,nan,nan
69.52,68.80,69.52,68.80
69.74,70.54,70.54,69.74
69.79,69.79,69.79,69.79
nan,69.09,nan,nan
70.49,70.42,70.49,70.40
68.98,68.48,68.98,67.93
nan,68.48,nan,nan
nan,67.55,nan,nan
nan,67.55,nan,nan
nan,67.19,nan,nan
65.91,65.91,65.91,65.91
65.77,65.39,65.77,65.39
65.45,65.35,65.45,65.35
nan,65.35,nan,nan
68.00,68.00,68.00,68.00
nan,68.00,nan,nan
71.20,71.17,71.20,71.17
70.92,71.05,71.05,70.92
71.01,71.01,71.01,71.01
nan,71.01,nan,nan
nan,71.01,nan,nan
72.76,72.65,73.19,72.65
nan,72.65,nan,nan
73.44,73.43,73.44,73.41
73.42,73.42,73.42,73.42
nan,73.42,nan,nan
nan,73.42,nan,nan
73.85,74.10,74.10,73.85
74.94,74.99,74.99,74.89
75.39,75.39,75.39,75.39
74.94,74.84,75.09,74.71
75.19,75.19,75.19,75.19
75.22,75.89,75.89,75.22
77.49,77.49,77.49,77.49
78.91,78.61,78.92,78.56
nan,78.61,nan,nan
77.25,77.97,77.97,77.20
nan,77.97,nan,nan
nan,77.97,nan,nan
77.97,77.62,78.58,77.62
77.33,77.10,77.37,77.10
77.77,78.88,78.88,76.42
81.52,80.87,81.72,80.87
80.56,80.29,80.65,80.21
80.39,80.73,80.73,80.39
80.25,80.25,80.25,80.25
79.19,79.14,79.19,79.14
nan,79.14,nan,nan
nan,79.14,nan,nan
82.29,82.42,82.53,82.29
82.44,82.68,82.68,82.37
81.46,81.60,81.60,81.46
81.54,81.41,81.54,81.41
82.35,83.12,83.12,82.35
nan,83.12,nan,nan
82.44,82.53,82.53,82.11
82.62,82.62,82.62,82.62
83.13,83.13,83.13,83.13
84.85,85.03,85.03,84.50
84.09,84.15,84.15,83.94
85.33,85.49,85.51,85.33
85.85,85.69,85.85,85.69
85.16,85.16,85.16,85.16
86.01,86.64,86.64,85.85
83.05,83.33,83.33,83.05
84.21,84.21,84.21,84.21
83.24,83.31,83.55,83.24
82.03,82.45,82.45,82.03
83.47,83.47,83.47,83.47
83.51,83.18,83.51,83.18
83.55,83.55,83.55,83.55
nan,83.55,nan,nan
83.35,83.35,83.35,83.35
84.04,83.35,84.04,83.35
84.68,84.81,84.81,84.68
84.83,84.97,84.97,84.83
nan,84.97,nan,nan
nan,84.97,nan,nan
84.49,80.83,84.49,80.34
nan,80.83,nan,nan
81.17,81.17,81.17,81.17
nan,81.17,nan,nan
82.04,82.04,82.04,82.04
81.71,82.49,82.49,81.71
84.39,84.61,84.61,84.39
84.96,84.84,85.34,84.84
85.45,85.55,85.55,85.45
nan,85.55,nan,nan
nan,85.55,nan,nan
85.68,85.68,85.68,85.68
85.41,85.41,85.41,85.41
86.20,86.80,86.80,86.20
86.84,86.84,86.84,86.84
nan,86.84,nan,nan
85.76,84.75,85.76,84.06
86.10,85.81,86.10,85.81
nan,85.81,nan,nan
85.53,85.53,85.53,85.53
85.03,83.76,85.03,83.76
84.27,84.04,84.27,84.04
83.12,83.26,83.64,83.12
nan,83.26,nan,nan
83.19,82.15,83.19,81.62
81.73,84.21,84.29,81.73
nan,84.21,nan,nan
nan,84.21,nan,nan
nan,84.21,nan,nan
nan,84.21,nan,nan
85.33,85.06,85.33,84.73
87.07,87.69,87.80,87.07
89.48,89.67,89.93,89.48
87.78,87.84,87.84,87.78
87.11,85.66,87.11,85.65
87.21,87.30,87.49,87.21
85.05,83.65,85.05,83.65
83.75,83.75,83.75,83.75
nan,83.75,nan,nan
84.51,84.76,84.85,84.51
87.45,87.73,87.80,87.45
89.48,89.78,89.78,89.41
90.18,90.76,90.76,90.18
nan,90.76,nan,nan
92.18,92.89,92.89,92.18
92.90,93.00,93.15,92.43
93.21,91.88,93.21,91.88
92.38,92.38,92.38,92.38
94.85,94.85,94.85,94.85
94.05,94.52,94.58,94.05
94.28,94.28,94.28,94.28
95.74,96.21,96.96,95.74
95.89,95.89,95.89,95.89
94.36,94.74,95.06,94.36
95.02,94.87,95.17,94.85
nan,94.87,nan,nan
nan,94.87,nan,nan
95.36,95.36,95.36,95.36
95.00,95.39,95.70,95.00
96.98,96.98,96.98,96.98
97.50,97.81,97.81,97.50
97.31,97.31,97.31,97.31
90.96,92.40,92.40,90.16
90.85,90.90,90.90,90.85
92.30,91.56,92.30,91.56
90.33,89.44,90.38,89.44
90.30,90.84,90.84,90.30
nan,90.84,nan,nan
87.11,87.52,87.69,87.11
nan,87.52,nan,nan
86.38,86.67,86.67,86.38
84.69,83.85,85.10,83.85
85.69,86.94,87.63,85.69
nan,86.94,nan,nan
86.18,86.29,86.63,85.84
nan,86.29,nan,nan
nan,86.29,nan,nan
nan,86.29,nan,nan
89.20,89.00,89.75,89.00
89.69,89.69,89.69,89.69
nan,89.69,nan,nan
81.74,81.74,81.74,81.74
81.77,80.77,81.97,80.77
78.35,77.00,78.35,76.05
79.65,80.34,80.34,79.65
80.42,80.42,80.42,80.42
nan,80.42,nan,nan
82.63,82.63,82.63,82.63
nan,82.63,nan,nan
82.44,83.90,83.90,82.44
nan,83.90,nan,nan
nan,83.90,nan,nan
nan,83.90,nan,nan
85.24,85.24,85.24,85.24
nan,85.24,nan,nan
nan,85.24,nan,nan
89.47,89.47,89.47,89.47
90.44,90.61,90.61,90.44
90.23,90.49,90.49,90.19
nan,90.49,nan,nan
91.73,92.25,92.30,91.73
92.05,92.17,92.17,92.05
nan,92.17,nan,nan
93.35,93.49,93.49,93.35
nan,93.49,nan,nan
91.72,92.71,92.71,91.72
nan,92.71,nan,nan
90.70,90.70,90.70,90.70
nan,90.70,nan,nan
nan,90.70,nan,nan
93.38,93.73,93.73,92.99
94.85,94.86,94.98,94.80
94.90,94.23,94.90,93.86
95.00,94.22,95.00,93.86
93.50,93.50,93.50,93.50
nan,93.50,nan,nan
95.36,95.71,95.71,95.13
94.77,94.93,95.01,94.66
95.00,96.27,96.27,95.00
96.31,96.43,96.43,96.31
