ONVI,Onvia,NASDAQ
4.43,4.28,4.43,4.23
4.28,4.25,4.28,4.25
4.30,4.30,4.31,4.30
4.30,4.30,4.30,4.27
4.30,4.30,4.30,4.30
4.41,4.30,4.41,4.26
4.35,4.44,4.44,4.35
4.39,4.30,4.39,4.30
4.34,4.30,4.46,4.30
4.30,4.30,4.30,4.30
4.30,4.25,4.30,4.25
4.30,4.09,4.30,4.09
4.09,4.09,4.09,4.09
4.09,4.09,4.09,4.09
4.09,4.09,4.09,4.09
4.09,4.09,4.09,4.09
4.10,4.10,4.10,4.10
4.10,4.10,4.10,4.10
4.05,4.10,4.10,4.02
3.91,4.10,4.10,3.91
4.11,4.13,4.26,4.10
4.10,4.05,4.10,4.03
4.20,4.20,4.20,4.20
4.20,4.20,4.20,4.20
4.12,4.10,4.15,4.10
4.10,4.10,4.10,4.00
4.13,4.13,4.13,4.13
4.13,4.13,4.13,4.13
4.13,4.13,4.13,4.13
4.12,4.00,4.19,4.00
3.94,4.00,4.13,3.92
4.00,4.00,4.00,4.00
3.89,3.90,3.90,3.89
3.89,4.02,4.02,3.89
4.07,4.04,4.08,4.02
4.07,4.07,4.07,4.07
4.05,4.01,4.05,4.01
4.03,4.11,4.11,4.00
3.87,3.95,4.03,3.85
3.91,3.92,4.03,3.91
3.95,3.95,3.95,3.95
3.98,3.95,3.98,3.95
3.97,4.20,4.20,3.95
4.04,4.02,4.04,4.02
4.03,4.01,4.03,4.01
3.95,3.98,3.98,3.95
3.98,3.98,3.99,3.98
3.97,4.01,4.01,3.97
3.96,4.00,4.00,3.96
4.00,4.00,4.00,4.00
3.97,3.95,3.97,3.95
3.95,4.00,4.00,3.95
4.00,4.03,4.19,4.00
3.98,3.96,3.98,3.96
3.96,4.00,4.03,3.96
4.03,4.07,4.07,4.03
4.02,4.08,4.08,4.02
4.01,4.01,4.01,4.01
4.10,4.01,4.10,4.01
4.16,4.27,4.30,4.16
4.09,4.06,4.19,4.06
4.27,4.36,4.45,4.27
4.30,4.42,4.46,4.30
4.30,4.27,4.34,4.27
4.12,4.17,4.25,4.10
4.05,4.06,4.15,4.05
4.17,4.10,4.20,4.10
4.10,4.10,4.10,4.10
4.03,4.03,4.06,4.01
4.11,4.00,4.11,4.00
3.91,4.19,4.30,3.91
4.19,4.19,4.19,4.19
4.00,4.04,4.25,3.93
4.04,4.04,4.04,4.04
3.90,4.02,4.10,3.90
4.02,4.02,4.02,4.02
4.15,4.15,4.15,4.15
4.15,4.15,4.15,4.15
3.92,3.94,3.94,3.92
4.00,3.93,4.00,3.93
3.93,3.93,3.93,3.93
4.04,4.04,4.04,4.04
4.10,4.03,4.10,4.03
4.03,3.97,4.03,3.97
3.98,3.99,4.00,3.98
4.93,4.58,4.99,4.47
4.53,4.34,4.53,4.01
4.39,4.43,4.43,4.39
4.09,4.11,4.12,4.09
4.14,4.11,4.14,4.11
3.97,3.98,3.98,3.97
3.99,3.99,3.99,3.99
3.95,3.96,3.97,3.95
3.96,3.96,3.96,3.96
3.93,4.09,4.14,3.93
4.09,4.09,4.09,4.09
3.97,4.04,4.15,3.97
4.04,4.04,4.04,4.04
4.04,4.04,4.04,4.04
3.91,4.10,4.10,3.91
3.97,4.09,4.09,3.97
4.04,4.04,4.04,4.04
4.01,4.02,4.03,4.01
3.98,3.90,3.99,3.90
3.91,3.93,4.09,3.90
4.00,4.09,4.09,4.00
4.09,4.09,4.09,4.09
3.97,3.92,4.01,3.92
3.90,3.90,3.90,3.90
3.73,3.71,3.73,3.71
4.08,4.08,4.08,4.08
4.10,3.98,4.10,3.43
3.93,3.98,3.98,3.93
3.87,4.03,4.03,3.50
3.96,3.97,3.97,3.96
3.99,3.98,3.99,3.87
3.98,3.98,3.98,3.98
3.91,3.90,3.91,3.90
3.75,3.99,3.99,3.41
4.03,3.93,4.03,3.93
3.93,3.93,3.93,3.93
3.61,3.94,3.96,3.61
3.95,3.99,4.00,3.95
3.99,3.99,3.99,3.99
3.99,3.99,3.99,3.99
4.00,4.00,4.00,3.99
4.00,3.95,4.00,3.91
4.00,3.90,4.00,3.90
3.90,3.90,3.90,3.90
3.90,3.90,3.90,3.90
3.90,3.90,3.90,3.90
3.60,4.00,4.00,3.60
3.97,4.03,4.03,3.85
3.98,3.87,4.00,3.53
3.87,3.87,3.87,3.87
3.51,3.52,3.52,3.44
3.52,3.41,3.52,3.41
3.53,3.45,3.53,3.34
3.32,3.38,3.39,3.32
3.55,3.77,3.77,3.48
3.92,3.50,3.92,3.50
3.49,3.55,3.55,3.42
3.55,3.55,3.55,3.55
3.29,3.32,3.33,3.28
3.32,3.32,3.32,3.32
3.28,3.32,3.35,3.27
3.40,3.27,3.43,3.27
3.28,3.22,3.29,3.22
3.22,3.22,3.22,3.22
3.38,3.38,3.38,3.10
2.99,3.13,3.14,2.99
3.02,3.05,3.15,3.02
3.05,3.23,3.23,3.05
3.23,3.23,3.23,3.23
3.23,3.23,3.23,3.23
3.23,3.23,3.23,3.23
3.23,3.23,3.23,3.23
3.18,3.15,3.19,3.15
3.11,2.93,3.11,2.87
2.91,2.90,2.91,2.90
3.00,2.85,3.00,2.75
2.80,2.83,2.88,2.66
2.79,2.73,2.79,2.72
2.72,2.77,2.77,2.70
2.73,2.67,2.77,2.66
3.02,2.71,3.02,2.71
2.72,2.87,2.87,2.72
2.85,2.86,2.86,2.85
2.86,2.86,2.86,2.86
2.90,2.90,2.90,2.90
2.91,2.91,2.91,2.91
2.97,2.98,2.98,2.97
2.98,2.98,2.98,2.98
2.99,3.00,3.00,2.99
2.96,3.00,3.00,2.94
3.00,2.95,3.00,2.64
2.85,3.00,3.00,2.85
3.48,2.98,3.48,2.98
3.00,2.88,3.06,2.88
2.90,2.94,2.94,2.79
2.99,2.99,2.99,2.99
3.00,2.89,3.00,2.89
2.94,2.96,2.96,2.94
2.98,3.00,3.00,2.98
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
2.82,2.95,2.95,2.80
2.98,2.93,3.00,2.93
2.90,2.93,2.93,2.90
2.90,3.00,3.00,2.90
3.00,3.00,3.00,2.94
2.99,2.97,2.99,2.85
2.97,2.97,2.97,2.97
3.00,3.00,3.00,2.97
3.00,3.00,3.00,3.00
2.97,2.94,2.99,2.76
3.00,2.83,3.05,2.76
2.94,2.94,2.96,2.94
2.94,2.94,2.94,2.94
2.95,2.93,2.95,2.81
2.93,2.93,2.93,2.93
2.94,2.90,3.00,2.81
2.90,2.90,2.90,2.85
2.94,2.90,2.95,2.90
2.90,2.80,2.95,2.75
2.90,2.75,2.90,2.75
2.70,2.71,2.77,2.68
2.80,2.82,2.82,2.75
2.85,2.88,2.88,2.85
2.85,2.83,2.85,2.80
2.85,2.90,2.93,2.85
2.85,2.86,2.93,2.85
2.86,2.86,2.86,2.86
2.85,2.95,2.95,2.85
2.95,2.95,2.95,2.95
2.89,2.87,2.89,2.86
2.89,3.00,3.00,2.88
2.99,3.05,3.05,2.99
2.90,2.85,2.90,2.85
2.89,2.99,2.99,2.85
2.99,2.99,2.99,2.99
2.85,2.98,2.98,2.85
2.90,2.90,2.90,2.90
2.90,2.90,2.90,2.90
2.90,2.90,2.90,2.90
2.98,2.95,2.98,2.95
2.95,2.96,2.98,2.95
2.99,3.00,3.00,2.96
3.00,3.00,3.02,2.99
3.00,3.01,3.04,2.93
3.00,3.00,3.05,2.99
3.00,3.01,3.10,3.00
3.03,3.00,3.05,3.00
3.00,3.02,3.06,3.00
3.07,3.15,3.15,3.07
3.12,3.04,3.12,3.04
3.09,3.10,3.10,3.09
3.09,3.06,3.10,3.06
3.05,3.05,3.05,3.05
3.06,3.10,3.10,3.05
3.00,3.10,3.10,2.95
3.09,3.10,3.10,3.09
3.03,3.12,3.15,3.03
3.14,3.15,3.15,3.01
3.05,3.03,3.05,3.03
3.05,3.07,3.10,3.05
3.10,3.14,3.14,3.05
4.26,4.24,4.29,4.11
4.00,4.13,4.16,4.00
4.05,4.05,4.08,4.04
4.10,4.17,4.27,4.07
4.11,4.10,4.18,4.09
4.19,4.19,4.19,4.11
4.15,4.16,4.22,4.12
4.12,4.10,4.19,4.10
4.13,4.20,4.20,4.10
4.10,4.16,4.16,4.10
4.15,4.10,4.15,4.10
4.10,4.00,4.10,4.00
4.03,3.92,4.03,3.91
3.93,3.97,4.00,3.93
3.95,4.05,4.05,3.90
4.05,4.05,4.05,4.05
4.01,3.89,4.01,3.81
3.92,3.70,3.92,3.70
3.70,3.76,3.90,3.70
3.75,3.84,3.84,3.72
3.70,3.70,3.75,3.70
3.75,3.75,3.89,3.75
3.77,3.76,3.89,3.76
3.78,3.85,3.85,3.76
3.85,3.85,3.85,3.85
3.83,3.99,3.99,3.83
3.99,3.91,3.99,3.91
3.91,3.91,3.91,3.91
3.92,3.89,3.92,3.75
3.88,3.88,3.88,3.88
3.84,3.90,3.90,3.84
3.85,3.86,3.89,3.77
3.85,3.85,3.85,3.85
3.76,3.90,3.90,3.75
3.90,3.90,3.90,3.90
3.90,3.90,3.90,3.90
3.90,3.90,3.90,3.90
3.78,3.90,3.90,3.78
3.78,3.90,3.90,3.78
3.96,3.86,3.99,3.85
3.81,3.84,3.84,3.65
3.82,3.80,3.86,3.80
3.80,3.81,3.83,3.80
3.80,3.82,3.82,3.70
3.78,3.87,3.87,3.73
3.87,3.87,3.87,3.87
3.71,3.89,3.89,3.71
3.89,3.89,3.89,3.89
