SMTX,SMTC Corporation - Common Stock,NASDAQ
2.70,2.56,2.74,2.55
2.57,2.70,2.74,2.55
2.67,2.75,2.79,2.66
2.75,2.76,2.84,2.71
2.77,3.15,3.26,2.74
3.19,3.23,3.26,3.06
3.24,3.11,3.25,3.00
3.10,3.07,3.18,3.01
3.04,3.06,3.12,3.02
3.10,3.05,3.10,2.85
3.01,3.14,3.15,2.98
3.44,3.66,3.77,3.31
3.66,3.83,3.84,3.55
3.79,3.84,4.07,3.71
3.89,3.67,3.90,3.60
3.74,3.67,3.86,3.60
3.67,3.76,3.83,3.67
3.75,3.85,3.90,3.68
3.89,4.11,4.12,3.86
4.10,4.00,4.15,3.95
4.13,3.95,4.13,3.81
3.90,3.80,3.90,3.50
3.74,3.74,3.93,3.56
3.77,3.45,3.85,3.28
3.37,3.21,3.60,3.15
3.49,3.42,3.49,3.13
3.45,3.60,3.68,3.20
4.20,3.98,4.30,3.76
4.03,4.08,4.21,4.00
4.03,3.77,4.04,3.72
3.85,3.65,3.85,3.56
3.72,3.66,3.81,3.53
3.62,3.74,3.75,3.51
3.70,3.47,3.70,3.37
3.30,3.38,3.53,3.21
3.49,3.38,3.50,3.36
3.32,3.22,3.32,3.13
3.26,3.35,3.50,3.26
3.46,3.55,3.57,3.39
3.55,3.69,3.73,3.55
3.66,3.50,3.70,3.50
3.51,3.70,3.72,3.42
3.70,3.73,3.80,3.60
3.52,3.70,3.73,3.50
3.70,3.57,3.73,3.46
3.56,3.39,3.64,3.22
3.40,3.61,3.75,3.40
3.66,3.63,3.75,3.52
3.59,3.42,3.59,3.34
3.49,3.46,3.55,3.41
3.50,3.63,3.68,3.39
3.57,3.56,3.67,3.52
3.59,3.56,3.59,3.47
3.65,3.54,3.65,3.50
3.67,3.42,3.67,3.42
3.42,3.32,3.42,3.30
3.33,3.45,3.45,3.25
3.44,3.38,3.44,3.33
3.37,3.37,3.37,3.28
3.39,3.29,3.39,3.26
3.25,3.06,3.27,3.03
3.06,3.02,3.12,2.96
3.00,2.75,3.00,2.50
2.79,2.74,2.84,2.60
2.75,2.80,3.07,2.74
2.83,2.80,2.96,2.67
2.65,2.81,2.86,2.60
2.79,2.91,2.95,2.73
2.88,2.85,2.95,2.84
2.68,2.70,2.73,2.61
2.67,2.69,2.79,2.64
2.68,2.70,2.72,2.62
2.70,2.62,2.70,2.60
2.62,2.57,2.62,2.33
2.49,2.60,2.60,2.42
2.65,2.59,2.70,2.54
2.61,2.66,2.73,2.58
2.66,2.71,2.76,2.60
2.73,2.68,2.78,2.61
2.68,2.64,2.72,2.55
2.64,2.53,2.68,2.53
2.57,2.51,2.68,2.45
2.55,2.63,2.68,2.46
2.84,3.24,3.40,2.84
3.26,3.56,3.56,3.26
3.52,3.37,3.69,3.31
3.35,3.48,3.69,3.35
3.56,3.21,3.59,3.12
3.29,3.00,3.29,2.99
3.46,3.16,3.46,3.11
3.15,3.07,3.15,3.00
3.07,2.98,3.10,2.90
3.10,2.97,3.10,2.95
2.97,3.07,3.09,2.96
3.10,3.10,3.21,3.10
3.09,2.99,3.10,2.99
2.99,2.90,3.02,2.90
2.90,2.82,2.90,2.71
2.88,2.73,2.88,2.73
2.70,2.64,2.73,2.63
2.60,2.55,2.60,2.52
2.58,2.57,2.68,2.56
2.56,2.61,2.68,2.53
2.86,2.90,2.91,2.76
2.90,2.81,2.90,2.71
2.89,2.97,2.98,2.86
2.99,2.96,2.99,2.90
2.98,3.10,3.12,2.95
3.20,3.29,3.35,3.12
3.49,3.50,3.57,3.37
3.52,3.37,3.69,3.37
3.37,3.39,3.50,3.26
3.51,3.49,3.60,3.43
3.50,3.35,3.53,3.32
3.36,3.29,3.44,3.24
3.29,3.27,3.31,3.12
3.25,3.34,3.45,3.25
3.58,3.50,3.65,3.44
3.52,3.44,3.52,3.41
3.45,3.41,3.45,3.31
3.40,3.32,3.43,3.31
3.38,3.42,3.44,3.30
3.46,3.42,3.55,3.38
3.45,3.40,3.54,3.37
3.41,3.47,3.49,3.41
3.53,3.44,3.53,3.42
3.49,3.48,3.50,3.33
3.52,3.38,3.60,3.38
3.71,3.40,3.71,3.38
3.49,3.46,3.53,3.37
3.08,3.29,3.46,3.04
3.40,3.29,3.41,3.25
3.30,3.30,3.38,3.30
3.32,3.30,3.35,3.27
3.40,3.39,3.50,3.32
3.40,3.32,3.40,3.30
3.32,3.26,3.32,3.21
3.27,3.43,3.43,3.25
3.35,3.35,3.42,3.31
3.40,3.38,3.40,3.30
3.43,3.37,3.43,3.31
3.37,3.34,3.37,3.32
3.50,3.93,3.98,3.50
3.97,3.85,3.98,3.74
3.85,3.85,3.91,3.75
3.89,3.88,3.96,3.64
3.84,3.82,3.91,3.76
3.94,4.14,4.28,3.90
4.23,4.12,4.23,4.05
4.18,4.13,4.18,4.02
4.15,4.03,4.16,3.91
4.03,4.03,4.10,3.91
4.22,4.49,4.54,4.17
4.56,4.20,4.67,4.15
3.95,3.95,4.00,3.70
3.93,3.80,3.97,3.77
3.77,3.75,3.92,3.73
3.75,3.80,3.93,3.72
3.73,3.51,3.81,3.43
3.51,3.57,3.65,3.50
3.60,3.63,3.69,3.58
3.65,3.58,3.65,3.51
3.55,3.86,3.94,3.55
3.87,3.83,3.97,3.82
3.90,3.76,3.90,3.76
3.75,3.78,3.81,3.70
3.76,3.80,3.86,3.72
3.71,3.79,3.81,3.60
3.82,3.70,3.84,3.70
3.67,3.59,3.69,3.49
3.56,3.55,3.60,3.47
3.55,3.49,3.56,3.45
3.55,3.60,3.62,3.51
3.62,3.52,3.62,3.48
3.51,3.47,3.56,3.46
3.50,3.41,3.50,3.36
3.40,3.43,3.49,3.40
3.41,3.46,3.48,3.38
3.44,3.42,3.56,3.41
3.42,3.39,3.46,3.39
3.38,3.41,3.43,3.38
3.41,3.39,3.49,3.38
3.39,3.51,3.54,3.39
3.52,3.49,3.55,3.44
3.20,3.24,3.34,3.10
3.15,3.13,3.24,3.10
3.11,3.33,3.33,3.10
3.32,3.32,3.42,3.23
3.30,3.19,3.32,3.16
3.20,3.20,3.22,3.17
3.21,3.23,3.30,3.18
3.23,3.21,3.25,3.13
3.21,3.31,3.34,3.17
3.36,3.39,3.43,3.28
3.36,3.37,3.42,3.33
3.34,3.33,3.35,3.29
3.33,3.44,3.49,3.33
3.47,3.44,3.50,3.40
3.42,3.44,3.50,3.42
3.45,3.54,3.55,3.44
3.58,3.68,3.72,3.54
3.69,3.53,3.70,3.50
3.50,3.39,3.50,3.35
3.39,3.37,3.54,3.36
3.41,3.39,3.46,3.37
3.39,3.33,3.40,3.31
3.35,3.39,3.42,3.35
3.43,3.40,3.46,3.32
3.44,3.40,3.47,3.37
3.40,3.39,3.49,3.35
3.42,3.40,3.45,3.35
3.35,3.30,3.39,3.30
3.30,3.25,3.30,3.10
3.25,3.25,3.29,3.20
3.24,3.39,3.42,3.20
3.34,3.25,3.34,3.15
3.17,3.23,3.27,3.17
3.20,3.40,3.44,3.19
3.40,3.41,3.45,3.30
3.38,3.53,3.53,3.36
3.50,3.53,3.57,3.46
3.56,3.60,3.61,3.53
3.63,3.61,3.63,3.55
3.64,3.61,3.64,3.55
3.56,3.45,3.56,3.25
3.43,3.51,3.57,3.30
3.49,3.47,3.55,3.44
3.50,3.57,3.59,3.46
3.60,3.67,3.70,3.58
3.68,3.64,3.73,3.63
3.62,3.65,3.70,3.60
3.69,3.67,3.74,3.64
3.69,3.64,3.70,3.60
3.61,3.62,3.69,3.51
3.62,3.51,3.62,3.44
3.51,3.48,3.56,3.44
3.25,2.96,3.28,2.91
2.92,2.92,3.02,2.91
2.98,2.76,2.98,2.71
2.67,2.66,2.74,2.59
2.67,2.55,2.71,2.49
2.57,2.57,2.64,2.54
2.62,2.65,2.67,2.57
2.67,2.72,2.73,2.65
2.75,2.73,2.90,2.73
2.72,2.73,2.75,2.69
2.75,2.74,2.75,2.68
2.79,2.76,2.81,2.72
2.79,2.70,2.79,2.68
2.68,2.76,2.76,2.51
2.76,2.83,2.90,2.71
2.91,2.92,2.94,2.84
2.95,2.85,2.95,2.84
2.65,2.65,2.68,2.57
2.60,2.63,2.67,2.59
2.62,2.62,2.63,2.58
2.63,2.63,2.65,2.61
2.63,2.60,2.64,2.60
2.60,2.56,2.61,2.54
2.55,2.51,2.58,2.51
2.52,2.52,2.56,2.51
2.52,2.56,2.58,2.50
2.56,2.56,2.59,2.52
2.52,2.47,2.55,2.45
2.47,2.63,2.63,2.47
2.69,2.61,2.75,2.60
2.62,2.57,2.62,2.52
2.55,2.60,2.65,2.55
2.64,2.63,2.69,2.57
2.61,2.65,2.66,2.56
2.62,2.60,2.68,2.60
2.59,2.62,2.66,2.59
2.62,2.65,2.73,2.62
2.63,2.65,2.68,2.62
2.65,2.60,2.66,2.56
2.59,2.52,2.60,2.52
2.25,1.96,2.25,1.90
1.98,1.97,1.99,1.93
1.99,2.24,2.28,1.97
2.23,2.22,2.34,2.19
2.24,2.20,2.24,2.16
2.22,2.14,2.22,2.12
2.12,2.12,2.18,1.94
2.12,2.13,2.16,2.12
2.25,2.24,2.30,2.18
2.25,2.24,2.32,2.21
2.22,2.24,2.25,2.20
2.23,2.25,2.26,2.20
2.25,2.25,2.26,2.25
2.25,2.28,2.28,2.24
2.26,2.27,2.27,2.25
2.27,2.27,2.27,2.25
2.27,2.27,2.28,2.25
2.26,2.27,2.29,2.25
2.26,2.26,2.28,2.21
2.24,2.23,2.26,2.18
2.22,2.19,2.25,2.16
2.20,2.22,2.24,2.18
2.23,2.20,2.23,2.17
2.20,2.22,2.22,2.17
2.20,2.17,2.22,2.15
2.19,2.10,2.19,2.05
2.11,2.16,2.18,2.08
2.15,2.14,2.17,2.13
2.15,2.15,2.20,2.10
2.19,2.10,2.19,2.06
2.09,2.02,2.14,2.02
2.02,2.15,2.19,2.02
2.16,2.11,2.20,2.08
2.04,2.07,2.10,2.04
2.08,2.11,2.11,2.06
2.10,2.08,2.10,2.03
2.08,2.04,2.08,2.03
2.04,2.10,2.14,2.02
2.07,2.03,2.10,2.03
2.05,2.12,2.18,2.04
2.13,2.19,2.19,2.10
2.15,2.03,2.16,2.03
2.05,2.07,2.13,2.03
2.05,2.08,2.09,2.04
2.04,2.08,2.10,2.04
2.11,2.06,2.11,2.05
2.08,2.03,2.08,2.00
2.02,2.04,2.04,2.02
2.04,2.04,2.06,2.00
2.03,2.01,2.04,1.97
2.01,2.04,2.06,2.00
2.03,2.20,2.21,2.03
2.22,2.21,2.34,2.14
2.18,2.23,2.26,2.17
2.20,2.19,2.21,2.19
2.19,2.22,2.24,2.19
2.24,2.22,2.24,2.19
2.18,2.24,2.29,2.18
2.20,2.22,2.27,2.15
2.26,2.21,2.30,2.21
2.20,2.14,2.26,2.02
2.15,2.17,2.20,2.15
2.15,2.11,2.30,2.03
2.10,2.08,2.10,1.95
2.01,2.00,2.07,1.96
2.01,2.01,2.07,2.00
1.40,1.46,1.68,1.35
1.50,1.55,1.60,1.48
1.55,1.51,1.62,1.48
1.53,1.54,1.66,1.52
1.51,1.49,1.59,1.45
1.49,1.46,1.55,1.40
1.41,1.42,1.47,1.41
1.45,1.41,1.45,1.36
1.45,1.30,1.45,1.26
1.30,1.30,1.35,1.21
1.31,1.26,1.35,1.21
1.27,1.25,1.28,1.22
1.23,1.17,1.24,1.17
1.20,1.38,1.39,1.20
1.35,1.36,1.40,1.26
1.34,1.43,1.60,1.33
1.42,1.57,1.59,1.42
1.48,1.58,1.62,1.48
1.53,1.57,1.59,1.51
1.57,1.58,1.58,1.50
1.55,1.57,1.57,1.49
1.52,1.53,1.53,1.52
1.51,1.55,1.57,1.50
1.51,1.55,1.59,1.45
1.58,1.55,1.58,1.51
1.56,1.54,1.56,1.50
1.54,1.59,1.59,1.52
1.57,1.58,1.59,1.52
1.56,1.56,1.56,1.51
1.55,1.53,1.59,1.50
1.50,1.46,1.62,1.43
1.46,1.53,1.53,1.45
1.50,1.60,1.60,1.50
1.64,1.56,1.77,1.48
1.50,1.51,1.53,1.46
1.51,1.49,1.53,1.41
1.49,1.49,1.55,1.47
1.50,1.44,1.50,1.44
1.43,1.43,1.45,1.39
1.39,1.41,1.45,1.39
1.42,1.43,1.45,1.41
1.43,1.42,1.45,1.42
1.42,1.45,1.46,1.42
1.50,1.47,1.50,1.43
1.45,1.47,1.50,1.45
1.47,1.50,1.51,1.45
1.50,1.52,1.61,1.50
1.50,1.43,1.51,1.35
1.42,1.44,1.50,1.38
1.47,1.44,1.47,1.42
1.42,1.40,1.43,1.40
1.41,1.38,1.41,1.38
1.35,1.45,1.46,1.34
1.50,2.16,2.32,1.50
2.29,2.12,2.33,2.01
2.12,2.08,2.14,2.02
2.03,2.04,2.12,2.00
2.04,2.09,2.09,1.92
2.09,2.08,2.09,1.91
1.95,2.04,2.10,1.95
2.07,2.12,2.13,2.07
2.06,2.06,2.16,2.06
2.06,2.11,2.11,2.01
2.15,2.08,2.15,2.03
2.07,2.01,2.07,2.01
2.25,2.38,2.62,2.22
2.45,2.39,2.45,2.30
2.42,2.39,2.44,2.34
2.40,2.42,2.45,2.37
2.39,2.45,2.45,2.37
2.38,2.38,2.47,2.38
2.43,2.40,2.46,2.38
2.37,2.44,2.44,2.35
2.44,2.35,2.47,2.35
2.35,2.28,2.39,2.19
2.27,2.20,2.27,2.14
2.32,2.25,2.35,2.20
2.30,2.25,2.30,2.25
2.27,2.38,2.38,2.25
2.38,2.51,2.54,2.35
2.62,2.53,2.62,2.33
2.55,2.53,2.78,2.44
2.52,2.55,2.65,2.50
2.57,2.80,2.80,2.48
2.80,2.72,2.83,2.68
2.72,2.73,2.84,2.69
2.68,2.66,2.68,2.60
2.65,2.68,2.72,2.65
2.64,2.60,2.65,2.57
2.60,2.60,2.71,2.56
2.56,2.61,2.61,2.56
2.60,2.72,2.75,2.55
2.75,2.71,2.90,2.62
2.62,2.64,2.72,2.55
2.65,2.77,2.77,2.64
2.75,2.79,2.90,2.74
2.79,2.84,2.84,2.79
2.80,2.80,2.80,2.76
2.78,2.83,2.83,2.60
2.78,2.82,2.84,2.66
2.82,2.68,2.82,2.68
2.75,2.64,2.75,2.64
2.64,2.75,2.79,2.64
2.76,2.73,2.85,2.69
2.77,2.93,2.93,2.77
2.98,2.90,3.08,2.86
2.90,2.92,3.00,2.82
2.94,2.94,2.95,2.82
2.89,2.94,2.99,2.86
2.93,2.90,3.00,2.86
2.91,2.88,3.00,2.83
2.90,2.84,2.90,2.83
2.82,2.76,2.83,2.74
2.76,2.67,2.76,2.62
2.70,2.56,2.70,2.43
2.54,2.59,2.60,2.52
2.58,2.67,2.68,2.54
2.62,2.70,2.74,2.62
2.69,2.74,2.77,2.66
2.72,2.85,2.89,2.69
2.86,3.17,3.19,2.86
3.20,3.21,3.28,3.10
3.20,3.06,3.27,3.02
2.84,3.06,3.07,2.84
3.06,3.12,3.22,3.06
3.16,3.19,3.21,3.04
3.20,3.29,3.30,3.12
3.24,3.26,3.26,3.17
3.22,3.24,3.37,3.22
3.25,3.26,3.27,3.22
3.29,3.23,3.33,3.22
3.19,3.19,3.23,3.15
3.18,3.23,3.27,3.11
3.27,3.25,3.35,3.16
3.28,3.24,3.28,3.20
3.23,3.24,3.28,3.23
3.26,3.25,3.32,3.25
3.25,3.22,3.27,3.07
3.18,3.13,3.20,3.09
3.12,3.19,3.21,3.07
3.20,3.29,3.31,3.14
3.29,3.22,3.33,3.17
3.25,3.27,3.30,3.21
3.25,3.35,3.40,3.13
3.40,3.31,3.45,3.31
3.65,3.62,3.85,3.51
3.65,3.53,3.65,3.46
3.55,3.45,3.59,3.34
3.42,3.37,3.47,3.30
3.34,3.45,3.52,3.32
3.42,3.45,3.52,3.41
3.42,3.43,3.43,3.35
3.50,3.52,3.56,3.45
3.51,3.52,3.65,3.47
3.56,3.50,3.56,3.50
3.48,3.42,3.52,3.40
3.42,3.46,3.49,3.36
3.46,3.57,3.60,3.46
3.57,3.59,3.62,3.55
3.57,3.63,3.66,3.55
3.59,3.68,3.69,3.57
3.70,3.78,3.83,3.66
3.81,3.75,3.82,3.74
3.74,3.70,3.77,3.67
3.68,3.64,3.70,3.60
3.66,3.64,3.76,3.61
3.60,3.58,3.64,3.55
3.60,3.51,3.63,3.51
3.52,3.62,3.63,3.52
3.63,3.65,3.69,3.55
3.61,3.60,3.65,3.60
3.65,3.60,3.68,3.58
3.60,3.64,3.68,3.35
3.64,3.65,3.66,3.60
3.66,3.60,3.66,3.56
3.62,3.67,3.68,3.60
3.62,3.64,3.67,3.62
3.65,3.69,3.69,3.64
3.69,3.80,3.80,3.67
3.78,3.95,4.00,3.78
3.92,3.89,3.93,3.84
3.91,3.88,3.91,3.85
3.90,3.87,3.93,3.86
3.86,3.79,3.93,3.75
3.80,3.76,3.85,3.74
3.75,3.73,3.79,3.72
3.70,3.86,3.86,3.62
3.83,3.90,3.91,3.66
3.84,3.91,3.94,3.78
3.90,3.75,3.96,3.60
3.73,3.66,3.84,3.66
3.66,3.58,3.67,3.54
3.61,3.65,3.72,3.59
3.68,3.67,3.68,3.59
3.68,3.45,3.69,3.43
3.46,3.30,3.47,3.25
3.27,3.45,3.46,3.27
3.41,3.44,3.55,3.37
3.44,3.37,3.44,3.27
3.34,3.32,3.40,3.30
3.34,3.33,3.34,3.29
3.34,3.30,3.38,3.30
3.30,3.26,3.30,3.25
3.29,3.16,3.29,3.15
3.13,3.02,3.13,2.99
3.00,3.01,3.05,2.90
2.99,3.15,3.19,2.97
3.18,3.24,3.27,3.11
3.30,3.23,3.32,3.12
3.23,3.29,3.35,3.22
3.32,3.24,3.35,3.23
3.20,3.20,3.27,3.16
3.16,3.09,3.16,3.09
3.06,3.09,3.10,3.03
3.08,3.15,3.17,3.08
3.15,3.22,3.31,3.15
3.23,3.22,3.35,3.16
3.21,3.32,3.32,3.21
3.33,3.32,3.33,3.28
3.32,3.32,3.36,3.30
3.30,3.22,3.31,3.19
3.22,3.12,3.24,3.10
3.10,3.15,3.20,3.08
3.16,3.16,3.19,3.12
3.24,3.30,3.30,3.12
3.31,3.35,3.36,3.25
3.35,3.35,3.35,3.22
3.37,3.36,3.37,3.31
3.35,3.28,3.36,3.28
3.31,3.25,3.34,3.25
3.29,3.31,3.31,3.23
3.28,3.16,3.28,3.12
3.16,3.15,3.23,3.11
3.19,3.10,3.24,3.10
3.11,3.11,3.19,3.10
3.17,3.15,3.17,3.06
3.18,3.11,3.18,3.07
3.11,3.14,3.18,3.11
3.12,3.11,3.14,3.11
3.11,3.12,3.15,3.10
3.10,3.10,3.15,3.10
3.16,3.08,3.17,3.07
3.10,3.06,3.11,3.05
3.07,3.08,3.10,3.06
3.09,3.05,3.12,3.02
3.07,3.09,3.12,3.05
3.09,3.04,3.12,3.04
2.99,2.92,2.99,2.85
2.94,2.97,3.05,2.87
2.95,3.01,3.08,2.95
3.01,3.15,3.15,3.01
3.17,3.13,3.19,3.10
3.18,3.15,3.20,3.09
3.20,2.93,3.25,2.84
2.95,2.81,2.95,2.73
2.80,2.81,2.85,2.63
2.84,2.95,3.02,2.84
2.95,2.98,3.00,2.95
2.98,2.98,3.00,2.92
2.92,2.94,2.97,2.85
2.94,3.03,3.09,2.94
3.00,3.02,3.05,3.00
3.02,3.04,3.07,3.00
3.07,2.99,3.07,2.94
3.01,3.01,3.07,3.01
3.02,3.04,3.04,2.98
3.02,2.99,3.02,2.99
2.99,3.00,3.04,2.99
3.05,3.06,3.13,3.04
3.05,3.07,3.07,3.05
3.03,3.02,3.08,3.00
3.07,3.09,3.09,3.02
3.06,3.13,3.13,3.06
3.13,3.11,3.13,3.08
3.09,3.15,3.15,3.09
3.16,3.12,3.16,3.10
3.11,3.09,3.15,3.08
3.12,3.10,3.13,3.08
3.08,3.07,3.10,3.06
3.07,3.04,3.09,3.03
3.04,3.02,3.05,3.02
3.02,3.17,3.18,3.02
3.18,3.15,3.20,3.15
3.10,3.12,3.14,3.10
3.10,3.19,3.22,3.09
3.10,3.05,3.10,3.05
3.05,3.02,3.15,3.02
3.02,3.11,3.11,3.02
3.10,3.10,3.13,3.06
3.10,2.85,3.10,2.85
2.88,2.94,2.96,2.88
2.92,2.93,3.00,2.90
2.95,2.92,2.95,2.90
2.93,2.93,2.95,2.88
2.90,2.92,2.94,2.90
2.95,2.90,2.95,2.90
2.90,2.90,2.90,2.88
2.90,2.87,2.90,2.86
2.90,2.87,2.91,2.81
2.85,2.88,2.88,2.85
2.91,2.88,2.91,2.87
2.93,2.90,2.94,2.88
2.88,2.88,2.94,2.85
2.88,2.83,2.93,2.76
2.82,2.73,2.84,2.71
2.74,2.79,2.82,2.71
2.80,2.87,2.93,2.80
2.84,2.84,2.92,2.82
2.80,2.80,2.92,2.75
2.84,2.88,2.94,2.79
2.93,2.89,2.93,2.88
2.88,2.85,2.90,2.74
2.90,2.82,2.90,2.82
2.80,2.81,2.83,2.77
2.84,2.82,2.85,2.76
2.70,2.50,2.85,2.05
2.47,2.41,2.50,2.40
2.34,2.32,2.41,2.31
2.31,2.36,2.38,2.26
2.31,2.29,2.31,2.25
2.31,2.25,2.31,2.25
2.25,2.23,2.25,2.21
2.20,2.24,2.24,2.16
2.25,2.29,2.33,2.25
2.32,2.32,2.44,2.30
2.43,2.38,2.43,2.22
2.40,2.24,2.40,2.17
2.21,2.24,2.24,2.21
2.22,2.24,2.29,2.22
2.30,2.25,2.32,2.24
2.35,2.29,2.35,2.28
2.29,2.32,2.36,2.29
2.33,2.34,2.34,2.30
2.30,2.38,2.38,2.30
2.38,2.36,2.40,2.35
2.38,2.36,2.40,2.35
2.38,2.34,2.38,2.29
2.35,2.32,2.39,2.30
2.32,2.37,2.38,2.32
2.38,2.33,2.38,2.31
2.30,2.46,2.47,2.29
2.42,2.37,2.42,2.30
2.32,2.29,2.40,2.25
2.28,2.38,2.38,2.28
2.40,2.23,2.40,2.22
2.30,2.34,2.36,2.30
2.32,2.34,2.37,2.22
2.34,2.38,2.39,2.33
2.35,2.39,2.40,2.30
2.35,2.43,2.44,2.24
2.44,2.33,2.45,2.32
2.33,2.39,2.39,2.33
2.40,2.52,2.61,2.40
2.54,2.52,2.55,2.44
2.52,2.46,2.52,2.46
2.49,2.49,2.49,2.46
2.49,2.47,2.49,2.46
2.47,2.45,2.47,2.42
2.45,2.45,2.45,2.43
2.44,2.43,2.44,2.31
2.42,2.50,2.50,2.38
2.47,2.47,2.59,2.47
2.48,2.44,2.48,2.44
2.43,2.46,2.48,2.43
2.43,2.44,2.56,2.43
2.43,2.45,2.48,2.43
2.45,2.47,2.50,2.44
2.44,2.51,2.52,2.44
2.51,2.54,2.54,2.51
2.44,2.60,2.60,2.44
2.60,2.55,2.60,2.55
2.65,2.61,2.65,2.50
2.54,2.56,2.61,2.54
2.56,2.49,2.58,2.43
2.45,2.45,2.58,2.44
2.48,2.49,2.49,2.43
2.47,2.43,2.49,2.43
2.45,2.45,2.45,2.44
2.43,2.50,2.50,2.43
2.46,2.45,2.47,2.43
2.48,2.45,2.50,2.45
2.49,2.60,2.60,2.49
2.61,2.64,2.65,2.60
2.65,2.64,2.65,2.55
2.60,2.58,2.64,2.50
2.56,2.61,2.70,2.56
2.67,2.63,2.67,2.63
2.55,2.62,2.66,2.55
2.62,2.60,2.64,2.60
2.60,2.60,2.65,2.60
2.61,2.75,2.75,2.58
2.76,2.73,2.82,2.71
2.70,2.57,2.70,2.54
2.54,2.57,2.70,2.54
2.67,2.60,2.71,2.54
2.59,2.54,2.62,2.50
2.50,2.47,2.66,2.46
2.54,2.48,2.55,2.48
2.47,2.50,2.50,2.35
2.49,2.37,2.49,2.36
2.37,2.10,2.48,1.97
2.15,2.10,2.15,2.05
2.12,2.25,2.25,2.11
2.30,2.33,2.33,2.22
2.33,2.33,2.33,2.24
2.32,2.25,2.32,2.19
2.24,2.30,2.35,2.24
2.31,2.33,2.39,2.27
2.35,2.38,2.39,2.27
2.40,2.37,2.41,2.34
2.39,2.35,2.39,2.24
2.41,2.27,2.41,2.27
2.30,2.28,2.32,2.27
2.24,2.29,2.29,2.21
2.28,2.22,2.28,2.21
2.23,2.27,2.31,2.23
2.27,2.30,2.38,2.26
2.30,2.36,2.38,2.30
2.35,2.35,2.36,2.31
2.35,2.47,2.48,2.30
2.48,2.46,2.49,2.44
2.47,2.44,2.47,2.42
2.40,2.39,2.43,2.35
2.31,2.33,2.35,2.30
2.32,2.31,2.38,2.25
2.26,2.27,2.30,2.22
2.26,2.28,2.30,2.26
2.29,2.37,2.38,2.24
2.29,2.28,2.39,2.26
2.25,2.26,2.32,2.24
2.30,2.25,2.30,2.21
2.26,2.24,2.27,2.24
2.24,2.24,2.25,2.23
2.34,2.28,2.39,2.25
2.38,2.32,2.38,2.25
2.31,2.26,2.33,2.26
2.25,2.27,2.32,2.25
2.27,2.24,2.27,2.18
2.21,2.19,2.21,2.13
2.01,2.00,2.10,1.88
2.03,2.08,2.13,2.03
2.09,1.89,2.09,1.84
1.90,1.75,1.99,1.60
1.77,1.90,1.95,1.77
1.93,2.00,2.04,1.92
2.00,2.05,2.18,1.98
2.09,2.02,2.10,1.96
2.06,2.00,2.06,1.98
2.04,2.11,2.18,2.04
2.14,2.18,2.18,2.14
2.18,2.12,2.18,2.12
2.14,2.11,2.14,2.05
2.04,2.14,2.15,2.03
2.10,2.18,2.18,2.04
2.17,2.06,2.17,2.00
2.07,2.04,2.07,2.02
2.03,1.95,2.05,1.94
1.96,2.02,2.03,1.96
2.01,1.99,2.03,1.91
1.98,2.04,2.05,1.98
2.04,1.96,2.04,1.94
1.91,1.93,2.01,1.86
1.91,1.98,1.98,1.91
1.99,2.00,2.00,1.96
1.98,1.99,1.99,1.96
2.00,2.07,2.07,1.98
2.09,2.04,2.09,2.02
