MELI,MercadoLibre,NASDAQ
47.88,46.01,49.00,44.49
48.79,49.95,49.95,48.79
49.67,51.03,51.90,48.79
51.33,53.08,53.74,51.02
53.07,53.05,55.70,52.57
52.41,51.28,52.64,50.57
51.50,49.91,52.00,49.16
50.73,49.35,51.51,48.97
49.10,49.08,50.60,47.31
47.42,46.33,48.02,44.82
45.26,48.36,49.00,44.73
47.94,46.93,48.99,46.93
45.02,47.46,47.70,44.60
48.19,49.36,50.45,48.00
50.98,51.46,52.25,50.30
51.15,51.87,52.54,51.00
51.84,50.99,52.39,50.53
51.10,53.30,53.30,50.63
54.39,55.90,56.16,54.03
54.59,54.05,55.94,53.46
53.33,51.02,54.00,50.52
51.15,51.65,52.55,50.00
52.40,53.16,54.83,51.93
54.65,57.30,57.35,54.36
56.80,57.80,58.81,56.55
58.01,57.84,59.49,57.27
58.82,60.23,60.97,58.49
59.77,60.60,62.14,59.27
61.43,60.75,61.70,59.69
60.99,59.23,60.99,58.47
60.74,60.63,62.09,59.82
60.93,57.52,62.00,57.05
57.12,57.59,58.41,55.10
57.50,56.85,57.60,56.26
56.89,58.15,59.00,56.02
58.69,57.22,59.20,56.49
55.52,54.12,56.01,53.63
54.21,52.55,55.20,52.40
52.40,52.60,52.96,49.55
52.84,52.13,53.13,51.18
55.06,53.22,55.08,52.47
53.52,55.47,55.53,53.32
56.32,57.79,58.27,56.27
58.28,59.12,59.40,57.38
59.37,58.85,59.64,58.05
60.00,60.56,61.00,59.57
60.45,61.00,61.03,59.83
61.39,62.28,62.46,60.40
60.11,58.10,60.85,57.59
57.79,59.90,60.02,57.62
58.82,60.00,60.19,57.89
60.30,58.90,60.70,58.54
59.70,60.05,60.25,58.60
59.78,61.47,61.55,59.64
62.77,65.15,65.99,62.65
65.46,64.00,65.84,63.75
63.74,62.41,64.00,62.00
62.62,60.60,63.66,60.49
59.48,60.50,61.26,58.35
62.28,60.34,62.28,59.80
61.39,62.26,62.57,60.14
62.98,62.68,63.49,61.58
59.00,63.97,64.60,58.25
64.39,65.83,67.20,63.14
67.76,67.84,68.48,67.25
67.17,67.81,68.67,65.56
65.24,65.62,66.26,63.61
64.20,66.42,67.40,64.17
66.66,65.53,67.01,65.36
64.91,67.00,67.94,64.53
68.19,69.23,70.32,67.85
69.83,69.89,70.25,68.65
69.01,67.70,69.42,67.64
67.80,69.66,69.81,67.11
70.33,68.09,70.95,67.75
66.00,65.92,67.64,65.61
65.00,63.59,65.63,62.20
64.40,64.31,65.77,64.07
65.28,66.38,66.54,63.86
66.40,64.74,66.65,64.60
64.14,65.94,66.04,62.84
67.03,68.40,69.09,66.65
68.40,69.89,71.10,68.00
71.45,70.37,72.87,70.01
70.25,70.24,71.34,69.03
70.71,71.41,72.32,70.54
72.76,71.26,73.00,70.50
71.56,72.51,72.68,69.87
73.01,74.58,74.78,72.00
74.45,73.77,74.45,73.13
73.27,74.35,74.77,73.17
74.62,73.74,74.62,73.72
71.56,72.48,72.86,70.65
71.00,72.73,73.26,71.00
72.60,72.18,73.80,71.42
72.15,71.75,72.33,70.52
71.18,70.93,71.97,70.50
72.05,71.90,73.00,71.36
72.75,74.98,76.75,72.12
76.81,74.90,76.81,72.59
74.93,75.14,75.50,74.28
76.08,72.18,76.25,71.39
73.03,71.35,73.53,71.25
71.35,66.79,71.52,65.65
67.16,68.10,69.21,67.02
68.89,64.32,68.89,63.65
64.32,64.45,65.39,63.00
64.98,65.40,66.64,63.67
65.41,64.77,66.00,64.50
62.34,64.77,65.39,60.20
65.07,64.91,65.21,64.05
64.41,64.56,65.01,63.54
65.32,65.26,66.15,64.11
65.21,62.94,65.48,62.43
61.76,60.65,62.16,60.25
60.81,61.99,62.40,60.45
61.30,61.38,62.11,60.75
61.01,63.02,63.22,61.01
62.82,65.00,65.62,62.70
64.99,64.17,64.99,63.37
64.08,66.55,66.99,63.91
67.00,66.01,67.12,64.80
66.07,66.14,66.96,65.84
66.27,64.38,66.85,64.01
64.26,63.46,64.47,62.59
63.05,64.66,65.15,62.67
62.76,61.68,64.75,60.91
61.91,61.24,61.98,59.78
60.53,65.12,65.37,60.50
65.46,61.18,65.46,61.01
61.13,58.66,62.21,58.50
57.92,58.00,59.33,56.60
57.56,58.33,60.27,57.53
58.58,59.85,60.45,58.30
60.93,60.56,61.21,60.01
60.67,61.17,62.00,60.46
62.43,62.12,62.87,62.00
62.23,63.02,63.64,61.83
63.08,64.87,64.97,63.02
64.42,63.96,64.44,63.08
64.48,64.79,64.91,64.23
64.08,65.99,66.00,64.00
65.82,65.69,66.63,64.84
65.00,63.62,65.00,63.34
64.79,66.68,66.82,64.44
67.00,68.67,70.32,67.00
68.35,69.36,69.97,67.70
69.02,69.80,70.49,68.92
70.49,68.80,70.78,68.74
68.80,68.43,69.62,67.85
68.76,67.45,69.32,66.88
68.86,68.11,68.86,67.65
68.00,72.48,72.73,66.14
73.05,70.84,73.88,70.61
70.50,69.68,72.79,69.65
69.78,68.96,70.01,68.30
69.35,70.05,70.18,68.55
70.25,68.00,70.73,67.76
68.35,68.99,69.28,67.78
68.76,69.25,69.53,66.70
69.27,69.86,69.96,69.01
69.81,69.59,69.81,68.41
69.88,68.93,70.40,68.52
69.21,69.82,70.54,68.78
69.21,70.18,70.90,69.21
70.32,66.64,70.60,64.87
69.43,70.11,70.55,68.75
70.44,70.64,71.33,68.98
70.53,72.11,72.29,69.61
71.93,74.54,75.88,71.86
74.76,73.85,75.32,72.16
75.93,74.32,75.95,73.69
75.00,74.20,75.95,74.00
74.89,73.29,74.89,72.89
73.11,73.35,73.99,72.57
73.53,75.20,75.57,72.14
75.25,75.22,79.37,75.20
75.51,73.15,75.53,72.57
72.58,70.94,72.58,69.16
71.41,70.97,72.20,70.35
70.89,71.34,71.66,70.04
71.13,69.47,71.27,68.74
69.49,69.92,70.30,68.51
70.50,70.13,70.89,69.96
69.52,67.14,70.79,67.09
68.70,67.78,68.70,67.05
68.62,68.76,69.98,68.00
68.59,69.68,70.54,68.12
69.54,68.64,69.88,68.18
68.85,69.52,69.65,67.60
69.45,69.96,70.25,69.09
69.81,69.10,69.81,68.55
68.60,68.78,69.76,68.46
68.17,70.42,70.60,67.63
70.25,72.11,72.80,70.25
72.36,72.73,73.77,71.85
72.35,72.08,72.93,71.03
72.29,72.85,73.01,71.87
72.50,73.98,75.14,72.10
74.15,72.80,74.49,72.39
71.84,68.85,71.85,68.56
68.80,67.05,68.85,65.45
68.48,67.10,68.48,65.90
67.98,66.25,69.00,66.08
66.16,65.78,67.34,64.50
67.00,65.47,67.47,64.53
65.01,65.37,66.88,64.57
65.90,66.39,66.70,65.41
66.20,67.01,67.31,65.46
67.00,68.55,69.12,66.74
67.04,69.51,70.28,67.04
69.50,69.53,70.44,68.71
68.93,68.28,69.31,67.26
67.60,67.76,68.32,67.12
67.40,67.57,68.04,66.84
65.66,67.39,67.99,65.07
67.21,65.99,67.91,64.98
66.75,66.30,66.88,65.78
67.44,64.97,67.44,64.90
65.49,66.42,66.80,64.25
66.39,67.27,67.97,65.68
67.20,68.01,68.32,66.58
68.52,72.98,73.38,67.93
73.00,73.80,74.23,72.80
74.00,76.02,76.47,73.53
76.00,78.64,79.98,75.16
79.00,80.65,80.99,77.97
80.91,81.63,82.03,79.41
81.79,82.95,84.30,80.73
83.92,85.34,87.38,83.64
84.37,85.60,86.08,83.40
86.80,83.73,86.94,81.30
84.23,84.57,85.24,83.08
85.29,85.39,86.80,84.71
85.53,85.50,86.45,84.53
84.98,82.72,85.50,82.31
83.18,85.34,86.64,83.15
84.53,85.23,86.55,84.10
85.48,86.16,86.26,84.51
85.39,87.40,89.00,84.51
87.51,90.55,90.72,87.51
91.94,89.22,92.49,88.57
89.45,89.94,90.33,87.56
90.02,89.93,90.74,88.54
90.49,89.81,91.19,88.95
89.32,90.80,91.48,87.81
90.97,91.24,92.73,90.07
91.54,91.40,92.11,91.03
92.48,92.20,92.53,89.86
92.04,86.76,92.04,86.11
86.62,85.77,87.98,84.50
83.61,88.90,90.93,82.09
90.72,88.71,90.72,87.46
89.15,88.73,89.43,87.96
89.34,88.50,89.79,88.14
88.80,87.61,88.80,86.55
87.08,86.88,88.13,85.72
87.13,85.59,87.75,85.36
85.23,84.74,86.55,83.78
84.12,86.42,87.06,83.74
86.49,88.00,88.51,86.42
88.38,88.97,89.92,88.04
88.66,88.19,89.68,88.01
86.97,86.20,87.69,85.59
86.88,85.91,87.66,85.41
85.34,87.01,87.19,84.52
87.00,87.08,87.54,86.25
87.00,88.03,88.47,86.65
89.15,88.12,90.00,85.99
88.46,88.00,92.25,87.83
87.63,89.70,89.81,87.23
88.48,89.68,92.25,87.72
89.66,82.16,90.26,81.67
81.12,81.74,82.60,79.03
81.14,78.33,81.68,77.51
78.33,79.92,80.49,77.39
78.94,78.86,79.87,77.31
78.91,77.31,79.31,75.25
78.11,80.27,80.58,78.11
79.00,76.20,79.18,75.76
76.58,75.91,77.39,74.40
77.05,76.02,77.05,75.49
74.45,74.33,75.22,73.35
75.10,79.27,79.69,74.84
78.99,76.89,79.17,76.81
75.73,78.41,78.41,75.00
78.44,77.31,79.54,77.00
77.65,78.57,79.48,77.14
78.01,75.96,78.25,75.59
76.61,75.11,76.89,74.84
76.82,79.34,79.58,76.49
78.35,81.55,81.86,77.83
81.51,82.22,82.49,80.55
82.00,82.86,83.10,81.57
83.81,85.06,85.70,83.31
83.93,83.04,83.97,81.15
81.49,80.48,82.59,79.75
80.02,78.52,80.29,78.20
79.45,79.31,80.76,78.98
80.05,77.64,80.20,77.31
78.91,78.98,79.68,78.21
78.50,76.00,78.72,75.52
76.84,78.46,79.06,76.81
79.12,76.73,79.30,75.90
77.31,80.35,81.41,76.71
80.37,82.04,82.33,80.37
81.11,80.35,82.78,80.14
80.84,80.87,82.00,80.21
80.34,78.43,81.43,77.83
78.38,79.46,80.33,77.02
78.33,79.42,80.48,76.40
81.01,78.85,81.19,77.91
77.73,74.32,79.18,74.01
74.85,72.29,75.46,71.10
69.35,64.06,69.52,62.41
64.99,62.24,65.00,58.52
58.31,58.31,61.29,58.00
58.60,63.22,63.46,58.00
62.33,62.53,64.97,60.28
62.86,66.19,67.25,62.56
67.63,68.50,69.45,67.63
69.12,69.14,69.91,68.00
67.99,67.85,68.76,66.59
67.89,68.64,69.72,67.84
65.89,62.21,65.89,61.32
60.45,60.20,63.35,59.88
61.43,60.15,62.09,59.71
60.23,63.59,63.59,59.00
63.36,64.24,65.16,62.78
64.38,62.75,64.98,62.55
62.14,64.91,65.46,61.76
65.79,67.53,68.05,65.60
67.02,68.77,69.51,66.76
69.16,67.38,69.93,66.48
67.40,68.23,69.12,66.75
66.60,67.80,68.69,66.09
65.07,65.79,66.00,63.48
66.62,69.14,69.28,66.62
68.26,69.43,70.16,68.26
68.51,65.76,68.51,65.00
63.57,65.97,66.19,63.00
66.08,67.40,67.74,66.08
67.57,68.71,69.54,67.40
69.65,69.03,69.65,67.52
68.50,68.38,68.95,67.97
67.64,68.55,69.21,66.36
69.39,68.27,70.88,67.70
68.26,64.10,68.54,63.82
61.12,60.68,62.23,58.01
60.48,58.98,61.68,58.50
59.07,56.70,59.72,54.01
58.63,58.71,59.99,57.50
58.44,56.25,58.95,56.08
57.02,56.83,57.99,54.20
55.33,53.75,56.30,52.05
52.96,49.53,52.96,48.30
49.14,53.13,53.19,48.96
53.02,55.23,55.65,51.40
55.75,56.77,57.24,55.75
57.17,57.16,58.22,55.78
58.06,59.28,60.11,57.91
58.90,59.99,60.81,58.13
60.86,58.99,60.86,58.91
58.71,60.12,60.31,58.04
62.01,61.84,62.63,61.16
61.34,61.08,61.80,60.22
61.26,61.14,61.43,59.26
61.24,61.16,63.34,60.51
60.99,61.25,61.40,58.04
62.10,64.61,67.86,62.10
64.71,67.42,68.12,64.71
66.66,64.68,67.10,64.59
66.19,65.79,67.22,64.00
68.31,69.01,69.21,67.01
69.20,68.75,69.59,68.10
66.82,65.20,66.82,64.35
62.73,62.56,63.00,61.26
64.30,63.42,65.90,62.11
76.61,83.04,85.58,76.61
82.00,86.11,87.13,81.87
87.88,87.68,88.71,86.15
88.49,87.55,89.99,86.78
84.79,85.28,87.25,84.58
86.00,85.42,86.63,83.43
86.00,85.49,86.58,85.13
85.04,86.31,87.47,85.04
86.40,85.19,86.40,83.91
85.00,85.39,86.85,84.19
85.44,86.60,87.08,84.35
86.64,83.15,86.96,82.76
81.56,81.78,82.16,80.00
81.87,82.04,83.21,80.82
83.30,80.56,83.30,80.05
80.56,80.46,81.92,80.00
81.98,84.81,85.52,81.98
84.03,84.81,86.13,83.48
88.75,87.69,88.75,87.05
86.95,86.06,88.81,85.52
88.25,85.34,88.27,85.11
87.29,91.04,92.75,85.54
91.49,94.62,95.48,90.62
94.48,93.69,94.97,91.89
92.64,89.31,93.33,88.91
89.64,92.65,93.48,89.62
91.17,90.65,91.95,89.27
91.94,89.16,92.85,88.42
88.21,87.09,88.57,86.00
87.55,84.25,88.66,83.34
84.53,84.10,85.75,82.49
85.07,83.22,85.47,83.00
84.09,85.99,86.41,84.09
86.35,81.77,86.35,80.29
81.76,83.58,83.87,81.33
83.51,82.40,84.00,81.11
82.35,81.67,83.23,81.55
81.68,80.40,81.99,79.84
80.32,80.25,80.98,79.93
80.55,79.54,81.48,79.06
81.95,81.80,82.77,80.37
80.28,80.47,81.20,77.48
80.01,81.81,82.47,79.38
81.50,80.60,82.13,80.08
80.56,80.25,81.53,79.85
81.13,83.70,85.25,81.13
83.48,83.76,85.79,83.39
84.46,86.51,86.89,82.49
86.20,86.72,86.88,83.49
87.13,86.85,88.00,86.34
86.85,86.95,87.77,86.23
87.35,87.88,89.18,86.50
87.14,87.40,88.88,86.47
87.85,87.45,88.41,86.87
87.31,88.54,90.59,87.06
89.46,88.45,89.80,87.57
89.14,88.03,91.45,87.66
87.46,89.90,90.04,87.11
89.73,87.93,89.73,87.60
88.93,87.40,89.34,86.49
88.00,90.64,90.67,86.11
92.19,93.45,94.88,91.05
94.85,96.70,96.89,93.09
96.05,95.69,98.75,94.84
95.03,93.88,95.90,93.13
94.06,93.95,94.85,91.35
94.16,94.23,95.98,93.22
93.62,92.78,94.22,92.17
94.14,95.48,96.49,92.83
95.12,95.23,96.29,94.01
96.80,99.24,100.43,95.10
99.58,96.88,101.84,93.59
97.66,96.16,98.48,94.92
96.82,97.05,99.98,96.33
97.03,97.72,98.00,94.86
94.80,97.00,97.50,93.19
94.66,98.72,101.88,94.50
98.13,102.75,104.50,98.13
103.34,101.10,103.34,99.80
101.99,97.31,102.00,97.10
98.03,97.67,98.96,96.58
98.32,99.90,102.14,98.12
100.17,97.53,100.17,97.08
95.96,93.05,95.96,91.38
94.65,94.65,95.83,93.31
95.56,95.23,96.32,94.02
94.78,96.01,97.08,94.74
95.69,95.56,98.45,94.51
95.88,96.16,96.64,94.47
96.14,96.06,96.84,95.17
96.54,97.62,98.50,96.04
97.82,97.72,98.48,97.27
97.80,97.64,97.98,96.27
96.27,97.29,97.60,94.70
97.60,98.31,99.08,96.34
97.58,96.48,97.98,95.94
96.99,97.26,97.64,95.92
98.01,101.76,101.85,98.01
102.24,101.82,102.98,101.55
101.75,101.77,102.27,100.24
101.23,98.96,101.99,98.88
99.48,97.79,99.99,97.30
97.39,97.47,98.55,96.24
97.50,100.13,101.72,97.08
99.43,96.78,99.43,95.00
96.03,96.96,97.83,95.03
95.45,96.53,97.46,95.12
96.60,93.28,98.65,92.17
94.43,95.29,96.33,93.75
94.51,97.60,97.78,93.98
97.39,96.60,98.11,95.80
97.06,91.97,97.07,91.86
91.68,92.54,94.48,91.58
91.73,90.56,92.27,90.17
91.45,91.44,94.56,90.47
91.83,90.48,92.67,90.36
89.07,88.62,89.34,86.86
88.83,88.07,89.09,87.32
88.98,91.57,91.80,88.37
91.00,92.47,92.89,90.69
93.20,94.85,95.25,92.64
95.01,96.74,99.50,92.71
97.65,99.34,101.35,96.51
98.51,97.61,99.09,97.00
98.40,94.02,98.76,93.93
93.71,92.86,93.97,91.76
87.96,89.63,90.34,86.00
88.40,87.99,89.13,86.39
79.00,77.08,81.98,75.81
78.01,77.30,78.90,76.10
76.38,76.31,78.21,75.65
75.14,74.15,76.80,74.04
74.24,74.37,76.15,74.09
74.50,76.04,77.19,74.46
76.19,72.63,76.48,72.55
72.87,72.67,75.02,72.01
73.25,75.80,76.18,72.12
74.89,76.36,77.19,74.81
75.93,76.63,76.80,73.80
77.36,74.73,77.36,73.76
74.23,74.73,75.27,73.26
76.90,74.13,76.90,73.44
72.96,73.80,73.96,71.65
73.05,70.24,73.13,68.95
68.05,68.17,69.20,65.81
66.73,67.21,68.77,66.25
67.08,71.82,72.07,66.40
72.14,73.12,74.10,72.12
74.63,71.90,75.56,71.69
71.50,71.52,72.37,70.24
71.81,69.83,72.45,69.66
70.29,68.37,71.23,67.10
67.63,66.73,69.99,65.80
67.00,67.59,67.96,65.57
67.65,68.47,68.96,67.41
68.59,69.47,69.74,67.32
69.83,70.12,71.19,69.50
70.46,70.67,71.85,69.76
70.91,69.49,71.42,68.78
69.93,70.59,70.99,69.19
69.09,69.82,70.39,68.63
70.07,73.70,74.46,70.02
73.49,73.26,74.46,73.10
73.05,71.36,73.57,70.82
73.99,75.80,76.17,73.01
77.11,79.26,79.55,76.31
79.64,80.63,80.66,79.04
80.63,79.83,80.75,78.57
78.99,77.66,79.47,77.01
77.18,74.83,77.18,73.31
75.76,72.56,76.06,72.37
72.66,72.48,73.79,71.10
72.12,72.32,72.98,70.06
72.47,74.26,74.49,72.35
74.93,71.74,74.93,71.31
71.63,70.11,72.10,68.15
70.11,71.89,72.99,70.05
72.89,73.48,74.39,72.28
72.85,73.65,73.81,71.25
71.59,71.26,72.42,70.01
71.73,70.03,71.76,69.87
70.22,69.94,70.61,69.49
71.50,73.25,73.70,71.21
73.68,75.71,77.17,73.41
70.07,70.00,72.00,67.78
69.79,66.81,70.42,66.63
66.98,65.52,67.65,64.18
65.48,66.52,67.34,64.50
78.82,82.68,84.89,77.11
82.85,86.02,87.53,82.77
86.88,88.87,90.91,86.55
88.76,85.85,89.00,85.26
86.15,85.76,87.21,85.10
85.63,85.80,87.00,84.82
85.53,85.82,86.75,85.06
86.61,85.08,86.68,84.64
84.85,84.82,85.78,84.26
84.83,86.85,87.88,84.30
87.53,85.21,87.98,84.98
84.88,84.66,85.91,83.72
85.93,83.43,86.23,83.16
83.64,82.51,83.64,82.38
82.42,80.50,82.99,80.49
80.65,80.50,81.66,79.95
81.09,79.35,81.60,78.97
79.15,79.35,80.14,78.84
79.59,79.03,79.89,78.53
78.92,79.11,79.79,78.37
79.75,79.58,80.75,78.53
79.63,80.66,81.08,79.00
80.25,79.87,81.60,79.76
81.42,82.14,83.00,80.45
82.14,82.87,83.44,81.38
82.72,83.07,83.80,82.19
82.72,82.52,83.00,81.88
83.07,82.54,83.28,81.95
82.99,84.50,84.83,81.80
84.43,88.57,89.78,84.40
89.98,88.53,89.98,87.36
87.68,88.26,88.90,87.68
87.98,88.68,89.42,87.65
87.87,86.02,87.87,85.07
84.45,83.13,86.19,82.54
82.10,82.20,83.49,81.64
82.94,81.08,83.17,80.88
81.27,80.27,81.63,79.54
80.87,81.93,82.16,79.62
81.97,82.55,83.34,81.93
84.30,84.95,85.56,82.50
85.20,85.37,86.39,84.96
86.15,86.26,86.37,85.02
86.95,87.95,88.09,86.43
88.00,87.93,89.08,87.71
87.19,86.80,88.08,86.05
86.26,85.77,88.09,85.61
85.73,86.28,86.75,84.92
87.19,85.97,87.24,84.47
85.83,84.82,86.03,84.33
86.00,87.15,87.28,84.92
87.23,90.28,90.53,87.21
90.47,91.71,92.67,89.75
90.54,88.43,90.71,86.70
87.27,85.23,88.23,84.76
86.34,85.61,86.73,84.75
85.26,85.50,86.02,84.27
86.81,85.00,86.96,84.52
85.80,84.32,86.46,83.80
84.62,83.60,85.51,83.48
85.00,83.97,85.00,83.07
84.24,86.35,87.66,83.32
81.52,78.92,82.00,77.25
78.35,78.25,78.50,77.09
78.56,79.77,79.94,78.19
79.99,77.14,79.99,76.95
76.94,75.48,78.18,75.11
75.55,76.32,77.59,75.45
76.90,75.06,77.65,75.04
74.56,73.91,74.66,72.54
73.90,72.64,74.19,72.18
72.30,74.45,74.66,71.26
74.22,75.43,75.66,73.49
76.09,74.96,76.43,74.81
75.95,75.21,75.95,74.87
75.92,75.40,76.25,74.94
76.20,74.10,76.38,73.85
74.00,74.25,74.79,73.40
74.52,73.59,74.79,72.25
72.93,70.98,73.40,69.73
72.00,71.36,72.79,71.06
71.37,71.95,72.06,70.86
71.61,72.30,72.75,71.38
72.20,73.10,73.13,71.58
72.91,75.45,75.56,72.91
75.01,73.09,75.61,72.59
73.34,74.88,74.99,73.05
74.07,75.99,76.24,74.07
76.85,79.46,80.35,76.21
81.10,79.51,81.83,79.28
79.93,78.46,79.93,78.02
78.51,78.29,78.77,77.34
78.49,78.57,78.60,77.50
78.83,78.91,80.10,78.41
79.07,79.13,79.66,78.58
79.02,79.16,79.54,78.00
77.57,78.50,78.72,77.11
78.74,78.78,79.83,77.96
78.56,78.42,79.13,77.95
78.16,78.39,78.51,77.35
77.44,77.40,77.92,77.06
76.73,78.55,79.11,76.46
80.49,82.28,82.40,79.81
82.14,82.74,83.67,81.61
82.79,82.79,83.54,81.58
82.43,82.62,82.97,81.46
82.62,83.43,84.12,81.88
83.13,86.50,87.19,82.98
86.83,86.29,86.83,85.52
85.70,86.56,87.10,85.22
87.27,86.96,87.76,85.72
86.17,87.23,87.44,86.13
86.78,86.80,87.68,86.57
87.83,87.71,89.37,86.55
87.50,88.25,88.67,87.02
88.45,87.55,88.45,86.76
87.55,87.55,88.23,86.62
87.53,87.72,90.54,86.89
88.27,89.24,89.80,88.00
89.34,87.67,89.60,87.11
87.97,87.10,87.97,86.48
87.25,85.62,87.44,85.53
86.29,88.40,89.27,86.00
87.76,87.40,88.86,86.84
87.01,86.13,87.94,85.39
86.20,87.03,87.37,84.25
87.00,87.64,88.43,86.59
86.74,85.84,87.41,85.47
86.48,83.73,87.25,81.72
83.00,83.95,84.28,82.66
83.78,82.98,84.46,82.55
82.97,82.99,83.96,82.64
80.91,83.62,83.81,80.91
82.89,83.32,83.78,82.75
84.07,84.90,84.97,82.99
84.74,84.02,85.80,83.80
83.59,84.22,84.46,82.97
84.30,85.12,86.12,83.90
85.17,84.56,87.07,84.54
85.02,84.03,86.49,81.77
83.83,84.44,85.49,83.80
84.61,85.61,85.91,84.25
85.00,85.59,86.95,84.77
86.00,86.93,87.06,85.27
87.56,87.59,88.19,86.59
88.10,90.87,91.91,86.71
91.54,90.81,92.21,90.58
91.21,92.66,93.08,90.59
92.29,95.36,96.08,92.10
95.08,94.66,95.36,93.58
94.06,94.91,95.02,93.78
95.24,94.95,95.90,94.60
95.23,95.03,95.59,94.31
93.99,94.44,95.08,92.88
96.18,94.75,96.18,94.01
95.14,94.80,95.84,94.38
94.55,94.31,94.88,93.17
94.36,93.84,94.60,93.15
94.00,93.97,94.57,92.85
94.25,95.29,95.35,93.88
94.91,95.76,96.00,94.91
95.62,96.56,96.73,95.17
96.39,97.86,98.83,96.34
97.96,97.79,98.94,96.85
97.63,96.19,98.64,96.05
96.01,95.24,96.01,94.12
94.96,93.80,94.96,93.63
93.79,93.86,94.37,93.43
93.90,93.80,94.16,93.08
93.90,96.46,96.54,93.82
96.37,97.69,97.81,95.73
96.81,96.13,97.84,95.28
96.12,92.81,96.12,92.30
94.27,95.02,95.17,93.08
93.51,92.65,95.12,92.52
93.03,90.46,93.33,90.29
91.01,91.90,92.53,90.04
91.63,93.64,94.19,90.64
93.87,93.96,95.20,93.30
94.00,96.56,96.74,93.49
96.53,96.66,97.04,95.87
96.07,97.36,97.52,95.79
97.77,98.96,99.75,97.34
99.05,100.59,100.59,98.96
100.01,97.96,100.30,97.38
98.08,100.73,100.91,98.08
100.32,104.02,104.79,98.63
104.15,103.95,106.99,103.21
113.99,122.54,124.40,111.35
121.69,117.59,122.15,116.18
117.85,118.35,123.08,116.69
118.84,121.12,121.63,118.04
121.05,119.29,121.40,118.59
120.10,119.99,123.82,119.90
119.96,119.29,120.98,117.84
118.75,120.00,123.43,118.75
120.45,125.22,126.22,119.94
124.44,124.30,128.46,124.08
124.25,124.85,125.70,122.49
124.79,120.59,125.84,117.88
118.37,119.92,120.92,114.67
118.49,117.12,118.99,116.68
118.59,118.35,120.24,117.99
117.80,118.03,118.79,117.00
117.96,118.81,121.29,117.92
117.77,114.62,118.25,114.47
114.75,114.89,116.44,113.00
114.23,114.78,115.18,113.05
114.17,113.91,115.40,113.64
113.95,117.24,117.70,113.35
115.35,116.87,117.50,115.34
117.62,117.54,118.50,116.75
116.25,114.57,116.44,114.33
115.15,111.90,115.15,111.65
111.42,112.99,113.40,109.60
113.27,111.93,114.34,111.34
113.08,114.00,114.46,112.19
113.86,113.62,114.75,113.19
116.17,115.78,117.61,114.77
114.54,110.78,114.76,110.07
