BGI,Birks Group Inc. Common Stock,NASDAQ
1.30,1.30,1.30,1.30
1.32,1.30,1.32,1.28
1.30,1.37,1.37,1.30
1.33,1.35,1.35,1.33
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.35,1.49,1.49,1.35
1.12,1.12,1.12,1.12
1.35,1.45,1.69,1.33
1.55,1.62,1.62,1.48
1.50,1.50,1.55,1.50
1.50,1.50,1.50,1.50
1.23,1.23,1.23,1.23
1.23,1.23,1.23,1.23
1.50,1.50,1.50,1.50
1.23,1.23,1.23,1.23
1.23,1.23,1.23,1.23
1.23,1.23,1.23,1.23
1.43,1.43,1.44,1.43
1.17,1.17,1.17,1.17
1.17,1.17,1.17,1.17
1.10,1.10,1.10,1.10
1.07,1.07,1.07,1.07
1.39,1.33,1.39,1.33
1.33,1.33,1.33,1.33
1.33,1.33,1.33,1.33
1.35,1.26,1.39,1.26
1.03,1.03,1.03,1.03
1.39,1.45,1.45,1.33
1.15,1.35,1.46,1.15
1.35,1.44,1.50,1.35
1.18,1.18,1.18,1.18
1.35,1.27,1.35,1.27
1.28,1.25,1.28,1.25
1.03,1.03,1.03,1.03
1.26,1.42,1.42,1.26
1.49,1.50,1.50,1.32
1.50,1.55,1.55,1.50
1.27,1.35,1.38,1.27
1.11,1.11,1.11,1.11
1.26,1.30,1.33,1.26
1.26,1.31,1.31,1.26
1.30,1.26,1.30,1.26
1.27,1.29,1.29,1.27
1.28,1.31,1.31,1.28
1.31,1.26,1.31,1.26
1.39,1.37,1.47,1.21
1.31,1.36,1.36,1.31
1.44,1.41,1.44,1.37
1.31,1.31,1.34,1.16
1.31,1.29,1.31,1.29
1.26,1.35,1.42,1.26
1.28,1.42,1.42,1.28
1.32,1.24,1.32,1.24
1.20,1.24,1.30,1.20
1.02,1.02,1.02,1.02
N/A,N/A,N/A,N/A
1.15,1.12,1.18,1.12
1.14,1.16,1.16,1.14
0.95,0.95,0.95,0.95
1.10,1.10,1.10,1.10
0.90,0.90,0.90,0.90
1.12,1.12,1.12,1.12
1.13,1.13,1.13,1.13
1.15,1.22,1.23,1.15
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.27,1.07,1.27,1.05
1.11,1.26,1.26,1.11
1.18,1.40,1.40,1.05
1.28,1.45,1.45,1.28
1.10,1.25,1.29,1.10
1.25,1.26,1.26,1.24
1.35,1.62,1.62,1.35
1.60,1.50,1.60,1.45
1.55,1.40,1.55,1.40
1.40,1.40,1.42,1.40
1.50,1.63,1.71,1.49
1.56,1.52,1.56,1.52
1.55,1.50,1.55,1.50
1.48,1.34,1.48,1.34
1.34,1.42,1.50,1.34
1.38,1.44,1.50,1.38
1.45,1.37,1.48,1.30
1.32,1.32,1.38,1.30
1.35,1.39,1.39,1.35
1.50,1.43,1.50,1.43
1.32,1.34,1.34,1.32
1.30,1.35,1.35,1.30
1.11,1.11,1.11,1.11
1.32,1.28,1.35,1.28
1.28,1.39,1.39,1.28
1.39,1.39,1.39,1.39
1.35,1.35,1.35,1.35
1.23,1.15,1.23,1.15
1.15,1.17,1.22,1.15
1.15,1.22,1.22,1.15
1.22,1.22,1.22,1.22
1.00,1.00,1.00,1.00
1.15,1.15,1.15,1.15
N/A,N/A,N/A,N/A
1.15,1.15,1.15,1.15
1.17,1.17,1.17,1.17
1.15,1.16,1.16,1.02
N/A,N/A,N/A,N/A
1.20,1.14,1.20,1.14
0.93,0.93,0.93,0.93
1.12,1.12,1.12,1.12
0.92,0.92,0.92,0.92
1.12,1.12,1.12,1.12
1.12,1.12,1.12,1.12
0.92,0.92,0.92,0.92
1.13,1.14,1.14,1.09
1.13,1.13,1.13,1.13
1.18,1.17,1.18,1.17
0.96,0.96,0.96,0.96
0.96,0.96,0.96,0.96
0.96,0.96,0.96,0.96
1.08,1.18,1.20,1.02
1.19,1.20,1.20,1.19
0.98,0.98,0.98,0.98
0.89,0.89,0.89,0.89
1.11,1.15,1.15,1.11
0.94,0.94,0.94,0.94
0.94,0.94,0.94,0.94
0.94,0.94,0.94,0.94
0.94,0.94,0.94,0.94
0.96,1.10,1.18,0.90
1.06,1.06,1.06,1.06
1.06,1.06,1.06,1.06
1.06,1.00,1.06,0.96
1.00,1.00,1.00,1.00
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
1.00,0.92,1.00,0.92
0.92,0.92,0.92,0.92
N/A,N/A,N/A,N/A
0.94,0.96,0.96,0.94
0.74,0.74,0.74,0.74
1.00,1.00,1.00,1.00
0.74,0.74,0.74,0.74
0.92,0.94,0.94,0.92
N/A,N/A,N/A,N/A
0.77,0.77,0.77,0.77
0.77,0.77,0.77,0.77
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.93,0.92,0.93,0.92
0.94,0.94,0.95,0.94
0.95,0.95,0.95,0.95
0.73,0.73,0.73,0.73
0.92,1.10,1.15,0.92
1.15,1.10,1.15,1.10
1.02,1.00,1.02,1.00
1.09,1.06,1.18,1.06
0.85,0.85,0.85,0.85
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.15,1.15,1.15,1.15
1.20,1.23,1.25,1.20
1.18,1.18,1.18,1.18
0.95,0.95,0.95,0.95
1.22,1.22,1.22,1.22
1.20,1.22,1.22,1.20
1.22,1.25,1.25,1.22
N/A,N/A,N/A,N/A
1.25,1.25,1.25,1.25
1.25,1.36,1.36,1.25
1.34,1.35,1.35,1.34
1.31,1.31,1.31,1.31
1.32,1.17,1.32,1.14
1.15,1.18,1.18,1.15
N/A,N/A,N/A,N/A
0.97,0.97,0.97,0.97
1.13,1.13,1.13,1.13
0.93,0.93,0.93,0.93
N/A,N/A,N/A,N/A
1.21,1.19,1.25,1.19
1.19,1.19,1.19,1.19
1.10,1.10,1.10,1.10
N/A,N/A,N/A,N/A
1.08,1.13,1.19,1.08
1.13,1.10,1.13,1.10
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.90,0.90,0.90,0.90
0.80,0.80,0.80,0.80
1.05,1.05,1.05,1.05
1.05,1.01,1.05,1.01
1.01,1.10,1.10,1.01
N/A,N/A,N/A,N/A
1.10,1.10,1.10,1.10
1.18,1.18,1.18,1.18
1.10,1.10,1.10,1.10
0.80,0.80,0.80,0.80
1.12,0.94,1.12,0.94
0.95,0.99,1.02,0.95
1.02,1.04,1.04,1.02
1.04,1.09,1.09,1.04
0.89,0.89,0.89,0.89
0.80,0.80,0.80,0.80
1.12,1.16,1.17,1.12
1.16,1.16,1.16,1.16
1.18,1.17,1.30,1.17
1.16,1.16,1.16,1.16
1.16,1.16,1.16,1.16
N/A,N/A,N/A,N/A
0.85,0.85,0.85,0.85
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
1.32,1.33,1.39,1.32
1.31,1.31,1.31,1.31
1.07,1.07,1.07,1.07
1.07,1.07,1.07,1.07
1.07,1.07,1.07,1.07
1.07,1.07,1.07,1.07
0.99,0.99,0.99,0.99
1.11,1.13,1.17,1.11
0.97,0.97,0.97,0.97
1.07,1.07,1.07,1.07
1.07,1.10,1.10,1.07
1.14,1.15,1.15,1.14
1.08,1.20,1.20,1.06
N/A,N/A,N/A,N/A
1.09,1.20,1.20,1.09
1.14,1.14,1.14,1.14
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
1.08,1.05,1.30,1.00
0.86,0.86,0.86,0.86
1.05,1.10,1.10,1.05
1.03,1.03,1.03,1.03
1.01,1.08,1.10,1.01
1.05,1.01,1.05,1.00
1.02,1.00,1.02,1.00
1.01,1.02,1.05,1.01
1.05,1.05,1.05,1.05
1.05,1.05,1.05,1.05
1.05,1.05,1.05,1.05
1.03,1.00,1.03,1.00
0.82,0.82,0.82,0.82
1.04,1.04,1.04,1.04
0.85,0.85,0.85,0.85
1.19,1.04,1.19,1.04
1.04,1.04,1.04,1.04
0.85,0.85,0.85,0.85
1.04,1.05,1.05,1.04
1.02,1.05,1.05,1.02
1.00,1.04,1.04,1.00
1.02,1.02,1.02,1.02
1.02,1.02,1.02,1.02
1.02,1.02,1.02,1.02
0.84,0.84,0.84,0.84
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.04,1.04,1.06,1.04
1.04,1.04,1.04,1.04
0.77,0.77,0.77,0.77
1.00,1.00,1.00,1.00
0.82,0.82,0.82,0.82
nan,1.00,nan,nan
1.00,1.00,1.00,1.00
1.03,1.03,1.03,1.03
0.84,0.84,0.84,0.84
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
0.94,0.94,0.94,0.94
1.00,1.00,1.00,1.00
1.05,1.06,1.10,1.05
1.08,1.08,1.08,1.08
1.08,1.08,1.08,1.08
0.89,0.89,0.89,0.89
0.79,0.79,0.79,0.79
0.89,0.89,0.89,0.89
1.05,1.05,1.05,1.05
1.10,1.14,1.15,1.10
1.05,1.03,1.05,1.03
0.84,0.84,0.84,0.84
1.03,1.04,1.04,1.03
1.03,1.03,1.03,1.03
0.84,0.84,0.84,0.84
0.84,0.84,0.84,0.84
1.02,1.02,1.02,1.02
1.01,1.01,1.01,1.01
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.83
1.01,1.01,1.01,1.01
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.83
0.98,0.93,0.98,0.93
nan,0.93,nan,nan
0.93,0.93,0.93,0.93
0.76,0.76,0.76,0.76
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.74,0.74,0.74,0.74
0.93,0.93,0.93,0.93
0.95,1.01,1.01,0.95
0.92,0.89,0.92,0.89
0.95,1.00,1.00,0.95
0.98,0.98,0.98,0.98
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
nan,1.00,nan,nan
1.00,0.95,1.00,0.95
nan,0.95,nan,nan
0.97,1.00,1.00,0.97
nan,1.00,nan,nan
0.92,0.92,0.92,0.92
0.89,0.89,0.89,0.89
nan,0.92,nan,nan
0.96,0.96,0.96,0.96
1.10,1.13,1.14,1.10
1.11,1.16,1.16,1.11
1.16,1.16,1.16,1.16
1.15,1.15,1.15,1.15
1.06,1.01,1.06,0.89
0.95,1.15,1.18,0.89
1.12,1.15,1.15,1.12
nan,1.15,nan,nan
1.15,1.12,1.19,1.11
0.82,0.82,0.82,0.82
1.10,1.08,1.10,1.02
1.10,1.10,1.10,1.10
1.10,1.18,1.18,1.10
1.10,1.10,1.10,1.10
1.18,1.18,1.18,1.18
0.92,0.92,0.92,0.92
0.89,0.89,0.89,0.89
1.15,1.10,1.15,1.10
1.12,1.09,1.12,1.09
0.89,0.89,0.89,0.89
0.89,0.89,0.89,0.89
1.04,1.04,1.04,1.04
1.05,1.04,1.05,0.98
1.01,1.09,1.09,1.01
1.02,1.01,1.02,1.01
1.04,1.08,1.10,1.04
1.05,1.05,1.05,1.05
1.08,1.10,1.10,1.08
1.05,1.05,1.05,1.05
1.05,1.05,1.05,1.05
1.05,1.05,1.05,1.05
1.08,1.06,1.10,1.06
0.87,0.87,0.87,0.87
nan,1.08,nan,nan
0.87,0.87,0.87,0.87
1.05,1.05,1.05,1.02
1.06,1.04,1.08,1.04
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
nan,1.06,nan,nan
0.85,0.85,0.85,0.85
1.08,1.02,1.08,1.02
0.84,0.84,0.84,0.84
1.08,1.08,1.08,1.08
0.89,0.89,0.89,0.89
1.08,1.08,1.08,1.08
0.79,0.79,0.79,0.79
0.89,0.89,0.89,0.89
1.08,1.01,1.08,1.01
1.03,1.03,1.03,1.03
1.01,1.01,1.01,1.01
1.06,1.06,1.06,1.06
1.01,1.01,1.01,1.01
1.06,1.06,1.06,1.06
1.06,1.06,1.06,1.06
1.06,1.06,1.06,1.06
1.07,1.08,1.08,1.07
1.08,1.10,1.10,1.08
1.04,1.04,1.04,1.04
1.04,1.04,1.04,1.04
1.08,1.04,1.10,1.04
1.08,1.08,1.10,1.08
1.04,1.04,1.04,1.04
1.01,1.01,1.01,1.01
1.08,1.08,1.08,1.08
0.89,0.89,0.89,0.89
1.08,1.08,1.08,1.06
1.05,1.05,1.05,1.05
1.02,1.02,1.02,1.02
1.02,1.02,1.02,1.02
1.08,1.10,1.10,1.08
1.09,1.02,1.09,1.02
0.84,0.84,0.84,0.84
0.84,0.84,0.84,0.84
1.02,1.02,1.02,1.02
1.05,1.10,1.10,1.05
1.02,1.02,1.02,1.02
0.84,0.84,0.84,0.84
1.02,1.10,1.10,1.02
1.02,1.03,1.03,1.02
1.02,1.02,1.02,1.02
1.05,0.93,1.05,0.93
1.00,1.10,1.17,1.00
1.10,1.10,1.10,1.10
1.05,1.02,1.05,1.02
0.98,0.98,0.98,0.98
0.80,0.80,0.80,0.80
0.97,0.90,1.00,0.90
0.94,0.92,0.94,0.89
0.92,0.92,0.92,0.92
0.92,0.90,0.92,0.90
0.91,0.91,0.91,0.91
0.91,0.89,0.92,0.89
0.89,0.89,0.89,0.89
0.92,0.90,0.92,0.85
0.87,0.87,0.87,0.87
0.90,0.90,0.90,0.85
0.92,0.98,0.98,0.92
0.99,0.88,1.04,0.88
0.88,0.85,0.88,0.83
0.85,0.85,0.85,0.85
0.87,0.85,0.87,0.79
0.85,0.83,0.85,0.83
0.81,0.81,0.81,0.81
0.88,0.85,0.88,0.85
0.97,0.79,0.97,0.79
0.85,0.79,0.85,0.79
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.85,0.82,0.87,0.79
0.85,0.83,0.85,0.83
0.80,0.80,0.80,0.80
N/A,N/A,N/A,N/A
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.90,0.75,0.90,0.75
0.81,0.75,0.81,0.75
0.74,0.78,0.78,0.74
0.72,0.78,0.80,0.72
0.82,0.78,0.82,0.77
N/A,N/A,N/A,N/A
0.74,0.74,0.74,0.74
0.80,0.85,0.85,0.80
0.85,0.85,0.85,0.77
0.89,0.76,0.89,0.72
0.74,0.76,0.76,0.72
0.76,0.76,0.76,0.76
0.75,0.76,0.75,0.75
0.73,0.73,0.73,0.73
0.82,0.82,0.82,0.82
0.77,0.77,0.77,0.77
N/A,N/A,N/A,N/A
0.77,0.77,0.77,0.77
0.81,0.82,0.82,0.81
0.85,0.94,0.94,0.85
0.92,0.92,0.92,0.92
0.85,0.92,0.85,0.85
0.85,0.92,0.85,0.85
0.86,0.86,0.86,0.86
0.79,0.86,0.79,0.79
0.79,0.86,0.79,0.79
0.79,0.86,0.79,0.79
0.80,0.86,0.80,0.80
0.87,0.86,0.87,0.87
0.87,0.86,0.87,0.87
0.93,0.91,0.93,0.91
0.90,0.92,0.93,0.90
0.92,0.93,0.93,0.92
0.93,0.91,0.93,0.91
0.91,0.94,0.94,0.91
nan,0.94,nan,nan
nan,0.94,nan,nan
0.93,0.93,0.93,0.93
0.94,0.91,0.94,0.91
0.92,0.92,0.92,0.92
0.93,0.93,0.93,0.93
0.78,0.83,0.83,0.78
0.89,0.93,0.93,0.89
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.92,0.90,0.92,0.78
nan,0.90,nan,nan
0.89,0.88,0.89,0.88
0.88,0.85,0.88,0.85
nan,0.85,nan,nan
0.86,0.89,0.89,0.86
0.93,0.93,0.93,0.92
0.92,0.93,0.93,0.92
0.90,0.90,0.90,0.90
0.86,0.93,0.93,0.86
nan,0.93,nan,nan
nan,0.93,nan,nan
0.87,0.87,0.91,0.87
nan,0.87,nan,nan
0.86,0.86,0.86,0.86
0.86,0.92,0.92,0.85
0.92,0.86,0.92,0.86
0.88,0.88,0.88,0.88
nan,0.88,nan,nan
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.82,0.82,0.82,0.82
0.84,0.84,0.84,0.84
0.88,0.84,0.88,0.84
0.84,0.84,0.84,0.84
nan,0.84,nan,nan
nan,0.84,nan,nan
nan,0.84,nan,nan
nan,0.84,nan,nan
nan,0.84,nan,nan
0.82,0.86,0.86,0.82
nan,0.86,nan,nan
0.84,0.84,0.84,0.84
0.80,0.84,0.84,0.80
0.89,0.84,0.91,0.84
nan,0.84,nan,nan
nan,0.84,nan,nan
0.84,0.84,0.84,0.84
0.90,0.90,0.90,0.90
0.84,0.87,0.87,0.68
0.88,0.88,0.88,0.88
0.81,0.81,0.81,0.81
0.88,0.88,0.88,0.88
0.84,0.84,0.84,0.84
nan,0.84,nan,nan
nan,0.84,nan,nan
N/A,N/A,N/A,N/A
nan,0.84,nan,nan
nan,0.84,nan,nan
nan,0.84,nan,nan
nan,0.84,nan,nan
nan,0.84,nan,nan
nan,0.84,nan,nan
nan,0.84,nan,nan
nan,0.84,nan,nan
nan,0.84,nan,nan
nan,0.84,nan,nan
nan,0.84,nan,nan
0.87,0.87,0.87,0.87
0.87,0.87,0.87,0.87
nan,0.87,nan,nan
0.88,0.88,0.88,0.88
nan,0.88,nan,nan
0.89,0.89,0.89,0.89
0.89,0.91,0.91,0.89
0.94,0.97,0.97,0.94
0.94,0.87,0.94,0.86
0.86,0.86,0.87,0.86
nan,0.86,nan,nan
nan,0.86,nan,nan
nan,0.86,nan,nan
nan,0.86,nan,nan
0.86,0.86,0.86,0.86
0.86,0.79,0.86,0.79
0.80,0.80,0.80,0.80
nan,0.80,nan,nan
0.80,0.80,0.80,0.80
nan,0.80,nan,nan
nan,0.80,nan,nan
0.78,0.80,0.80,0.78
0.78,0.78,0.78,0.78
nan,0.78,nan,nan
nan,0.78,nan,nan
nan,0.78,nan,nan
0.77,0.81,0.81,0.77
0.83,0.83,0.83,0.83
0.88,0.88,0.88,0.88
0.86,0.94,0.95,0.85
0.94,1.32,1.34,0.94
1.34,1.24,1.34,1.16
1.20,1.27,1.27,1.06
1.18,1.05,1.18,1.05
1.15,1.39,1.40,1.12
