KLDX,Klondex Mines Ltd. Common Stock,NASDAQ
1.42,1.42,1.42,1.42
1.43,1.43,1.43,1.43
1.46,1.46,1.46,1.46
1.45,1.38,1.45,1.38
1.41,1.45,1.45,1.41
1.38,1.45,1.45,1.38
1.45,1.45,1.45,1.45
1.41,1.46,1.46,1.41
1.41,1.41,1.41,1.41
1.37,1.31,1.37,1.31
1.34,1.44,1.44,1.34
1.44,1.44,1.44,1.44
1.44,1.46,1.46,1.44
1.49,1.55,1.55,1.48
1.58,1.51,1.58,1.51
1.54,1.43,1.54,1.43
1.49,1.49,1.49,1.49
1.49,1.49,1.49,1.49
1.50,1.42,1.50,1.42
1.47,1.46,1.49,1.44
1.47,1.46,1.47,1.38
1.44,1.44,1.45,1.44
1.44,1.39,1.45,1.39
1.45,1.38,1.45,1.38
1.42,1.42,1.42,1.42
1.42,1.43,1.48,1.42
1.47,1.45,1.48,1.44
1.49,1.49,1.49,1.49
1.49,1.44,1.51,1.44
1.42,1.49,1.50,1.42
1.49,1.48,1.49,1.44
1.44,1.34,1.44,1.33
1.35,1.16,1.35,1.16
1.18,1.21,1.29,1.18
1.35,1.35,1.35,1.35
1.21,1.27,1.29,1.20
1.25,1.25,1.25,1.25
1.31,1.31,1.31,1.31
1.31,1.30,1.31,1.30
1.30,1.29,1.30,1.29
1.25,1.28,1.28,1.25
1.30,1.36,1.36,1.30
1.26,1.21,1.26,1.21
1.27,1.25,1.27,1.25
1.25,1.35,1.35,1.25
1.38,1.38,1.38,1.38
1.38,1.38,1.38,1.38
1.38,1.38,1.38,1.38
1.38,1.38,1.38,1.38
1.38,1.38,1.38,1.38
1.44,1.45,1.45,1.44
1.36,1.36,1.36,1.36
1.41,1.41,1.41,1.41
1.41,1.41,1.41,1.41
1.41,1.41,1.41,1.41
1.40,1.36,1.40,1.36
1.49,1.63,1.63,1.49
1.65,1.65,1.65,1.65
1.64,1.55,1.64,1.55
1.55,1.55,1.55,1.55
1.39,1.39,1.39,1.39
1.39,1.39,1.39,1.39
1.40,1.40,1.40,1.40
1.55,1.57,1.61,1.53
1.57,1.65,1.70,1.57
1.65,1.68,1.76,1.65
1.68,1.68,1.68,1.68
1.70,1.61,1.70,1.61
1.71,1.71,1.73,1.67
1.68,1.78,1.79,1.68
1.75,1.70,1.82,1.60
1.68,1.67,1.68,1.60
1.63,1.60,1.67,1.60
1.71,1.72,1.72,1.70
1.76,1.73,1.76,1.73
1.73,1.73,1.73,1.73
1.72,1.66,1.72,1.66
1.68,1.64,1.68,1.64
1.61,1.60,1.62,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.61,1.63,1.63,1.61
1.63,1.63,1.63,1.63
1.67,1.67,1.67,1.67
1.67,1.67,1.67,1.67
1.69,1.61,1.69,1.61
1.61,1.61,1.61,1.61
1.52,1.55,1.55,1.52
1.55,1.55,1.55,1.55
1.48,1.47,1.48,1.47
1.47,1.47,1.47,1.47
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.56,1.56,1.56,1.56
1.51,1.51,1.51,1.51
1.60,1.58,1.61,1.58
1.55,1.53,1.55,1.50
1.54,1.53,1.54,1.53
1.49,1.49,1.49,1.49
1.49,1.49,1.49,1.49
1.56,1.53,1.56,1.53
1.51,1.53,1.53,1.49
1.48,1.53,1.53,1.48
1.53,1.53,1.53,1.53
1.55,1.52,1.57,1.52
1.57,1.51,1.57,1.51
1.53,1.55,1.56,1.48
1.57,1.68,1.68,1.57
1.68,1.69,1.69,1.66
1.73,1.79,1.79,1.73
1.79,1.89,1.89,1.79
1.89,1.76,1.90,1.76
1.84,1.85,1.85,1.84
1.82,1.81,1.82,1.80
1.89,1.86,1.89,1.86
1.86,1.86,1.86,1.86
1.85,1.80,1.86,1.79
1.80,1.80,1.80,1.80
1.85,1.85,1.85,1.85
1.82,1.83,1.83,1.82
1.85,1.82,1.85,1.76
1.76,1.76,1.76,1.76
1.79,1.85,1.85,1.79
1.86,1.86,1.86,1.86
1.81,1.85,1.86,1.81
1.85,1.89,1.89,1.85
1.90,1.86,1.92,1.83
1.88,1.98,2.07,1.88
2.01,2.05,2.06,2.01
1.97,1.93,1.97,1.91
1.96,1.99,1.99,1.93
1.99,1.99,1.99,1.99
1.97,2.01,2.03,1.97
2.01,2.04,2.10,2.01
2.07,2.19,2.20,2.05
2.18,2.17,2.18,2.16
2.05,2.20,2.20,2.05
2.16,2.15,2.19,2.14
2.13,2.36,2.36,2.13
2.27,2.27,2.28,2.26
2.26,2.28,2.28,2.26
2.28,2.35,2.41,2.28
2.27,2.27,2.27,2.24
2.35,2.44,2.44,2.35
2.59,2.54,2.59,2.54
2.54,2.51,2.54,2.48
2.42,2.42,2.42,2.40
2.34,2.32,2.38,2.25
2.32,2.32,2.32,2.32
2.35,2.45,2.45,2.34
2.50,2.65,2.65,2.50
2.67,2.80,2.82,2.67
2.85,2.64,2.85,2.63
2.64,2.69,2.75,2.63
2.69,2.59,2.69,2.54
2.56,2.50,2.58,2.50
2.38,2.45,2.45,2.34
2.28,2.25,2.30,2.25
2.26,2.25,2.32,2.25
2.25,2.25,2.25,2.25
2.24,2.27,2.27,2.20
2.31,2.36,2.37,2.31
2.31,2.31,2.31,2.31
2.32,2.32,2.32,2.32
2.24,2.26,2.26,2.24
2.28,2.26,2.28,2.26
2.34,2.39,2.40,2.34
2.42,2.37,2.42,2.35
2.33,2.39,2.39,2.33
2.43,2.29,2.43,2.28
2.36,2.39,2.40,2.29
2.40,2.46,2.46,2.40
2.47,2.44,2.53,2.42
2.50,2.54,2.54,2.50
2.45,2.42,2.45,2.42
2.50,2.50,2.50,2.39
2.53,2.38,2.53,2.38
2.40,2.37,2.44,2.34
2.37,2.46,2.47,2.37
2.49,2.54,2.56,2.49
2.50,2.52,2.53,2.47
2.54,2.43,2.54,2.43
2.48,2.49,2.49,2.47
2.48,2.47,2.51,2.47
2.47,2.47,2.47,2.47
2.47,2.47,2.47,2.47
2.51,2.53,2.56,2.51
2.56,2.52,2.56,2.49
2.54,2.57,2.63,2.52
2.57,2.57,2.57,2.57
2.52,2.59,2.59,2.51
2.52,2.54,2.57,2.52
2.53,2.58,2.58,2.50
2.50,2.42,2.50,2.42
2.43,2.49,2.49,2.41
2.48,2.59,2.60,2.48
2.53,2.59,2.60,2.52
2.60,2.52,2.61,2.50
2.60,2.69,2.70,2.60
2.77,2.93,2.98,2.77
2.92,3.20,3.20,2.92
3.04,3.06,3.12,3.01
2.99,3.01,3.02,2.99
2.99,2.98,2.99,2.96
2.87,2.82,2.87,2.82
2.74,2.85,2.85,2.74
2.87,2.84,2.87,2.82
2.84,2.84,2.84,2.84
2.86,2.81,2.89,2.81
2.89,2.97,2.97,2.88
2.93,2.93,2.93,2.93
2.93,3.13,3.13,2.93
3.14,3.13,3.14,2.97
3.13,3.41,3.44,3.13
3.65,3.75,3.83,3.65
3.82,3.63,3.82,3.54
3.62,3.77,3.81,3.62
3.77,3.75,3.78,3.73
3.76,3.70,3.76,3.70
3.78,3.74,3.78,3.72
3.75,3.71,3.75,3.71
3.67,3.68,3.68,3.60
3.67,3.63,3.78,3.63
3.69,3.73,3.75,3.62
3.74,3.86,3.94,3.70
3.95,3.88,3.95,3.86
3.87,3.86,3.90,3.85
3.85,3.91,3.92,3.85
3.90,3.88,3.92,3.87
3.90,3.83,3.90,3.76
3.78,3.75,3.82,3.73
3.78,3.72,3.78,3.72
3.76,3.87,3.90,3.76
3.85,3.83,3.85,3.80
3.84,3.75,3.84,3.74
3.75,3.58,3.75,3.50
3.56,3.61,3.65,3.54
3.50,3.54,3.65,3.41
3.46,3.36,3.46,3.26
3.36,3.38,3.53,3.36
3.31,3.41,3.41,3.31
3.41,3.65,3.67,3.41
3.75,3.72,3.78,3.72
3.79,3.70,3.79,3.70
3.75,3.61,3.75,3.61
3.60,3.68,3.80,3.60
3.65,3.64,3.75,3.63
3.59,3.67,3.69,3.59
3.68,3.68,3.68,3.68
3.72,3.57,3.72,3.57
3.65,3.56,3.65,3.47
3.58,3.55,3.58,3.55
3.59,3.55,3.63,3.52
3.60,3.75,3.75,3.59
3.75,3.67,3.76,3.67
3.69,3.70,3.70,3.69
3.65,3.60,3.65,3.57
3.59,3.50,3.60,3.50
3.47,3.44,3.47,3.27
3.43,3.37,3.48,3.37
3.40,3.33,3.40,3.33
3.33,3.38,3.38,3.33
3.37,3.19,3.37,3.14
3.20,3.04,3.20,3.04
3.10,3.25,3.27,3.07
3.37,3.29,3.37,3.15
3.32,3.18,3.32,3.18
3.24,3.20,3.24,3.20
3.25,3.27,3.30,3.23
3.29,3.32,3.38,3.29
3.46,3.56,3.58,3.46
3.52,3.48,3.59,3.48
3.30,3.35,3.36,3.16
3.34,3.16,3.34,3.13
3.19,3.16,3.23,3.16
3.29,3.27,3.29,3.27
3.27,3.25,3.27,3.20
3.25,3.29,3.29,3.25
3.24,3.17,3.26,3.13
3.13,3.05,3.13,2.99
3.06,3.05,3.06,3.05
3.07,3.00,3.07,2.99
2.89,2.89,2.91,2.87
2.90,2.93,2.93,2.90
2.88,2.85,2.88,2.85
2.82,3.02,3.02,2.79
3.02,3.02,3.02,3.02
2.99,2.88,3.02,2.85
2.83,3.03,3.03,2.83
2.94,2.82,3.09,2.79
2.92,2.89,2.96,2.88
2.83,2.82,2.83,2.79
2.85,2.90,2.92,2.85
2.79,2.75,2.81,2.75
2.74,2.72,2.82,2.71
2.87,2.80,2.87,2.80
2.88,2.72,3.01,2.72
2.73,2.69,2.73,2.69
2.63,2.69,2.70,2.23
2.66,2.67,2.67,2.66
2.69,2.69,2.69,2.69
2.53,2.54,2.64,2.50
2.48,2.45,2.57,2.40
2.38,2.36,2.39,2.36
2.28,2.45,2.54,2.28
2.40,2.71,2.71,2.40
2.83,2.83,2.91,2.74
2.85,2.88,2.88,2.83
2.82,2.80,2.82,2.65
2.96,2.92,2.96,2.74
2.79,2.85,2.92,2.79
2.83,2.85,2.85,2.83
2.88,2.95,2.99,2.88
3.10,3.21,3.26,3.10
3.21,3.21,3.21,3.21
3.26,3.19,3.26,3.05
3.12,3.24,3.26,3.12
3.24,3.21,3.24,3.12
3.18,3.13,3.25,3.13
3.04,3.06,3.10,3.00
3.06,3.11,3.17,3.06
3.19,3.33,3.36,3.19
3.32,3.42,3.42,3.32
3.34,3.45,3.45,3.34
3.41,3.40,3.41,3.32
3.38,3.37,3.38,3.37
3.37,3.36,3.38,3.36
3.44,3.46,3.50,3.42
3.40,3.34,3.40,3.19
3.37,3.19,3.37,3.16
3.24,3.28,3.28,3.24
3.38,3.27,3.38,3.22
3.23,3.26,3.27,3.20
3.26,3.24,3.26,3.18
3.30,3.18,3.30,3.18
3.19,3.30,3.30,3.19
3.26,3.25,3.31,3.15
3.18,3.02,3.18,2.97
2.89,2.79,2.92,2.78
2.72,2.65,2.79,2.65
2.63,2.70,2.74,2.63
2.67,2.74,2.77,2.66
2.63,2.71,2.74,2.62
2.71,2.72,2.72,2.63
2.73,2.81,2.85,2.70
2.77,2.71,2.77,2.71
2.71,2.71,2.71,2.71
2.77,2.68,2.77,2.67
2.71,2.74,2.74,2.69
2.70,2.64,2.75,2.64
2.72,2.66,2.72,2.66
2.60,2.60,2.60,2.60
2.67,2.67,2.67,2.67
2.70,2.72,2.72,2.63
2.66,2.68,2.68,2.66
2.65,2.69,2.69,2.65
2.66,2.72,2.74,2.66
2.72,2.71,2.75,2.71
2.81,2.88,2.88,2.80
2.88,2.88,2.93,2.88
2.76,2.87,2.87,2.76
2.86,2.84,2.86,2.84
2.85,3.06,3.08,2.84
3.02,3.08,3.09,2.99
3.07,3.13,3.13,3.02
3.04,3.05,3.06,2.91
2.98,3.05,3.05,2.97
2.99,3.02,3.02,2.92
3.03,2.82,3.03,2.82
2.94,2.97,3.01,2.94
3.00,2.95,3.06,2.86
2.68,2.66,2.68,2.54
2.50,2.47,2.58,2.45
2.46,2.42,2.48,2.30
2.44,2.55,2.64,2.43
2.49,2.49,2.49,2.49
2.49,2.37,2.49,2.29
2.33,2.35,2.35,2.33
2.24,2.28,2.37,2.24
2.18,2.10,2.18,2.08
2.09,2.16,2.16,2.05
2.22,2.18,2.24,2.17
2.30,2.20,2.30,2.16
2.20,2.20,2.20,2.20
2.36,2.32,2.39,2.26
2.41,2.46,2.47,2.39
2.45,2.45,2.45,2.45
2.51,2.46,2.51,2.36
2.46,2.46,2.46,2.46
2.47,2.47,2.47,2.47
2.47,2.47,2.47,2.47
2.48,2.48,2.48,2.48
2.48,2.48,2.48,2.48
2.47,2.47,2.47,2.47
2.47,2.47,2.47,2.47
2.62,2.70,2.70,2.62
2.74,2.74,2.74,2.74
2.87,2.93,2.93,2.87
2.92,2.89,2.92,2.80
2.70,2.69,2.82,2.69
2.85,2.75,2.85,2.75
2.72,2.75,2.76,2.72
2.70,2.70,2.70,2.70
2.75,2.78,2.78,2.75
2.70,2.76,2.76,2.69
2.65,2.75,2.75,2.65
2.60,2.62,2.62,2.60
2.60,2.64,2.64,2.60
2.61,2.60,2.61,2.60
2.62,2.41,2.62,2.37
2.39,2.39,2.40,2.34
2.37,2.35,2.37,2.35
2.31,2.31,2.32,2.30
2.32,2.31,2.32,2.31
2.31,2.31,2.31,2.31
2.23,2.23,2.23,2.23
2.29,2.16,2.29,2.16
2.30,2.24,2.32,2.21
2.26,2.29,2.34,2.26
2.42,2.39,2.42,2.33
2.39,2.42,2.42,2.39
2.42,2.42,2.42,2.42
2.35,2.37,2.40,2.35
2.38,2.34,2.39,2.34
2.35,2.35,2.35,2.35
2.26,2.08,2.28,2.08
2.12,2.17,2.17,2.12
2.17,2.09,2.20,2.06
2.12,2.06,2.12,2.06
2.08,2.03,2.10,1.98
2.02,2.01,2.02,2.01
2.01,2.02,2.02,2.01
2.03,2.04,2.07,1.97
2.23,2.15,2.23,2.15
2.19,2.22,2.22,2.19
2.18,2.22,2.22,2.18
2.22,2.21,2.22,2.20
2.05,2.05,2.05,2.05
2.23,2.09,2.25,2.09
2.21,2.12,2.21,2.12
2.10,2.21,2.23,2.10
2.20,2.29,2.29,2.20
2.28,2.36,2.37,2.28
2.37,2.37,2.37,2.37
2.31,2.30,2.31,2.29
2.29,2.30,2.30,2.23
2.34,2.34,2.34,2.34
2.34,2.34,2.34,2.34
2.29,2.30,2.30,2.28
2.28,2.32,2.32,2.00
2.28,2.25,2.28,2.24
2.21,2.24,2.24,2.18
2.24,2.24,2.24,2.24
2.28,2.28,2.28,2.28
2.30,2.33,2.39,2.30
2.34,2.29,2.34,2.29
2.28,2.38,2.39,2.28
2.41,2.42,2.50,2.40
2.42,2.34,2.42,2.30
2.34,2.34,2.34,2.34
2.32,2.31,2.32,2.31
2.33,2.34,2.38,2.33
2.39,2.40,2.40,2.37
2.40,2.37,2.45,2.35
2.36,2.32,2.36,2.27
2.31,2.47,2.47,2.31
2.44,2.41,2.44,2.37
2.36,2.35,2.38,2.35
2.30,2.30,2.30,2.30
2.33,2.30,2.34,2.30
2.35,2.26,2.35,2.26
2.24,2.24,2.24,2.24
2.31,2.30,2.36,2.30
2.37,2.35,2.37,2.35
2.44,2.41,2.45,2.41
2.40,2.39,2.40,2.30
2.39,2.40,2.40,2.39
2.40,2.40,2.40,2.40
2.39,2.31,2.40,2.31
2.40,2.40,2.42,2.34
2.40,2.40,2.40,2.40
2.34,2.35,2.35,2.34
2.32,2.30,2.32,2.11
2.30,2.29,2.30,2.25
2.21,2.23,2.24,2.20
2.24,2.30,2.30,2.24
2.28,2.36,2.38,2.28
2.47,2.42,2.49,2.39
2.40,2.37,2.40,2.37
2.45,2.44,2.45,2.44
2.35,2.35,2.35,2.34
2.39,2.39,2.39,2.39
2.40,2.40,2.40,2.40
2.34,2.37,2.38,2.32
2.37,2.37,2.37,2.37
2.35,2.34,2.35,2.34
2.29,2.33,2.35,2.29
2.32,2.27,2.35,2.27
2.40,2.38,2.41,2.35
2.41,2.32,2.41,2.31
2.34,2.25,2.41,2.24
2.26,2.25,2.26,2.25
2.27,2.26,2.27,2.22
2.34,2.27,2.34,2.26
2.28,2.22,2.29,2.19
2.18,2.13,2.18,2.11
2.14,2.13,2.14,2.13
2.12,2.05,2.12,2.05
2.00,1.99,2.00,1.99
1.98,1.98,1.98,1.98
2.08,2.08,2.08,2.08
2.02,2.02,2.02,2.02
2.00,2.00,2.01,1.99
2.03,2.02,2.03,2.01
2.02,2.02,2.02,2.02
1.91,1.91,1.92,1.91
1.93,1.97,1.97,1.91
1.97,1.97,1.97,1.97
1.91,1.93,1.93,1.90
1.93,1.93,1.93,1.93
1.93,1.93,1.94,1.93
2.00,2.00,2.00,2.00
1.96,1.95,1.97,1.95
1.93,1.92,1.93,1.92
1.93,1.93,1.95,1.93
1.93,1.88,1.93,1.88
1.88,1.88,1.88,1.87
1.88,1.89,1.89,1.87
1.80,1.86,1.86,1.80
1.88,1.88,1.88,1.78
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.85,1.83,1.85,1.81
1.77,1.76,1.77,1.76
1.72,1.72,1.72,1.72
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.80,1.80,1.80,1.80
1.83,1.75,1.84,1.75
1.68,1.74,1.74,1.66
1.77,1.79,1.79,1.77
1.81,1.77,1.81,1.61
1.82,1.81,1.82,1.81
1.79,1.79,1.79,1.79
1.81,1.80,1.81,1.80
1.75,1.78,1.79,1.75
1.79,1.73,1.79,1.73
1.78,1.74,1.78,1.74
1.80,1.81,1.81,1.80
1.81,1.81,1.81,1.81
1.80,1.75,1.80,1.73
1.75,1.75,1.75,1.75
1.65,1.65,1.69,1.65
1.72,1.66,1.72,1.66
1.67,1.67,1.67,1.67
1.71,1.68,1.71,1.68
1.68,1.68,1.68,1.68
1.68,1.68,1.68,1.68
1.69,1.63,1.69,1.63
1.65,1.65,1.65,1.65
1.65,1.65,1.65,1.65
1.59,1.58,1.59,1.58
1.54,1.53,1.55,1.53
1.49,1.35,1.49,1.35
1.32,1.45,1.45,1.15
1.45,1.36,1.45,1.35
1.36,1.36,1.36,1.36
1.38,1.27,1.38,1.27
1.38,1.34,1.38,1.34
1.32,1.35,1.35,1.32
1.38,1.38,1.38,1.38
1.38,1.38,1.38,1.35
1.32,1.33,1.35,1.32
1.33,1.33,1.33,1.33
1.34,1.34,1.34,1.34
1.33,1.29,1.34,1.29
1.31,1.29,1.33,1.29
1.29,1.26,1.29,1.26
1.24,1.24,1.24,1.24
1.27,1.26,1.27,1.26
1.23,1.23,1.23,1.23
1.23,1.25,1.27,1.23
1.17,1.14,1.20,1.14
1.15,1.15,1.15,1.15
1.17,1.17,1.17,1.17
1.19,1.19,1.19,1.19
1.16,1.16,1.16,1.16
1.19,1.19,1.19,1.19
1.21,1.21,1.23,1.21
1.22,1.22,1.22,1.22
1.22,1.22,1.22,1.22
1.20,1.20,1.20,1.20
1.20,1.20,1.20,1.20
1.16,1.16,1.16,1.16
1.17,1.17,1.17,1.17
1.17,1.17,1.17,1.17
1.17,1.17,1.17,1.17
1.20,1.20,1.20,1.20
1.21,1.22,1.22,1.21
1.22,1.22,1.22,1.22
1.24,1.24,1.24,1.24
1.25,1.28,1.35,1.25
1.30,1.32,1.32,1.30
1.30,1.30,1.30,1.30
1.27,1.22,1.29,1.22
1.29,1.30,1.36,1.29
1.31,1.31,1.31,1.31
1.29,1.29,1.29,1.29
1.25,1.20,1.26,1.20
1.23,1.26,1.30,1.23
1.34,1.30,1.34,1.30
1.23,1.20,1.27,1.20
1.21,1.22,1.22,1.21
1.22,1.24,1.24,1.22
1.26,1.19,1.26,1.19
1.19,1.19,1.19,1.19
1.28,1.22,1.28,1.22
1.30,1.29,1.38,1.28
1.40,1.44,1.45,1.38
1.46,1.50,1.51,1.39
1.49,1.41,1.49,1.40
1.43,1.42,1.45,1.42
1.37,1.41,1.42,1.35
1.39,1.42,1.42,1.33
1.51,1.45,1.51,1.40
1.49,1.44,1.50,1.44
1.39,1.25,1.39,1.25
1.39,1.39,1.39,1.38
1.36,1.35,1.36,1.35
1.34,1.33,1.35,1.33
1.33,1.30,1.33,1.29
1.32,1.32,1.32,1.32
1.29,1.29,1.29,1.29
1.31,1.31,1.31,1.31
1.35,1.32,1.35,1.32
1.37,1.32,1.37,1.32
1.34,1.35,1.35,1.34
1.38,1.31,1.38,1.31
1.33,1.32,1.33,1.32
1.32,1.32,1.32,1.32
1.29,1.29,1.29,1.29
1.33,1.33,1.33,1.33
1.33,1.33,1.33,1.33
1.25,1.25,1.25,1.25
1.25,1.26,1.27,1.25
1.25,1.25,1.25,1.25
1.30,1.29,1.30,1.29
1.33,1.33,1.33,1.33
1.37,1.37,1.37,1.37
1.50,1.47,1.52,1.47
1.50,1.45,1.50,1.41
1.45,1.45,1.45,1.45
1.35,1.35,1.35,1.31
1.33,1.34,1.34,1.33
1.29,1.25,1.29,1.25
1.30,1.30,1.30,1.30
1.29,1.26,1.29,1.26
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.27,1.26,1.27,1.26
1.26,1.23,1.26,1.23
1.23,1.23,1.23,1.23
1.25,1.25,1.25,1.25
1.25,1.20,1.25,1.19
1.27,1.30,1.31,1.26
1.26,1.26,1.26,1.26
1.27,1.27,1.27,1.27
1.27,1.27,1.27,1.27
1.27,1.27,1.27,1.27
1.31,1.30,1.31,1.30
1.33,1.33,1.33,1.33
1.27,1.27,1.27,1.26
1.27,1.27,1.27,1.27
1.28,1.26,1.28,1.25
1.26,1.27,1.29,1.26
1.27,1.25,1.27,1.22
1.24,1.25,1.25,1.22
1.22,1.19,1.22,1.18
1.19,1.19,1.19,1.16
1.20,1.20,1.20,1.20
1.20,1.20,1.20,1.20
1.19,1.19,1.19,1.19
1.23,1.17,1.23,1.16
1.15,1.15,1.15,1.15
1.16,1.15,1.16,1.15
1.19,1.21,1.26,1.18
1.21,1.21,1.21,1.21
1.19,1.18,1.19,1.18
1.21,1.16,1.21,1.15
1.15,1.24,1.24,1.14
1.24,1.32,1.33,1.24
1.32,1.32,1.32,1.32
1.25,1.28,1.28,1.25
1.27,1.21,1.27,1.21
1.23,1.19,1.23,1.19
1.22,1.22,1.22,1.22
1.23,1.21,1.23,1.21
1.21,1.21,1.21,1.21
1.23,1.23,1.23,1.23
1.26,1.26,1.26,1.26
1.26,1.26,1.26,1.26
1.21,1.18,1.21,1.15
1.18,1.18,1.18,1.18
1.27,1.35,1.35,1.27
1.37,1.31,1.37,1.31
1.32,1.30,1.35,1.30
1.33,1.30,1.33,1.30
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.28,1.28,1.28,1.28
1.28,1.27,1.28,1.27
1.27,1.27,1.27,1.27
1.27,1.27,1.27,1.27
1.27,1.27,1.27,1.27
1.27,1.27,1.27,1.27
1.27,1.27,1.27,1.27
1.27,1.31,1.31,1.27
1.26,1.27,1.27,1.26
1.30,1.27,1.35,1.27
1.26,1.25,1.26,1.21
1.18,1.19,1.23,1.17
1.22,1.18,1.22,1.18
1.17,1.09,1.20,1.09
1.15,1.14,1.15,1.14
1.17,1.20,1.20,1.17
1.21,1.22,1.22,1.21
1.23,1.23,1.23,1.23
1.17,1.19,1.19,1.17
1.19,1.19,1.19,1.19
1.15,1.15,1.15,1.15
1.15,1.15,1.15,1.15
1.10,1.12,1.12,1.10
1.18,1.16,1.18,1.15
1.16,1.13,1.16,1.13
1.20,1.18,1.22,1.18
1.18,1.18,1.18,1.18
1.18,1.16,1.18,1.15
1.16,1.17,1.17,1.16
1.14,1.11,1.14,1.10
1.10,1.14,1.14,1.10
1.11,1.11,1.11,1.11
1.11,1.08,1.11,1.08
1.09,1.10,1.10,1.07
1.06,1.10,1.10,1.06
1.10,1.10,1.11,1.06
1.09,1.09,1.09,1.08
1.15,1.10,1.15,1.10
1.12,1.07,1.12,1.07
1.11,1.13,1.13,1.11
1.11,1.06,1.11,1.06
1.10,1.06,1.10,1.02
1.01,1.03,1.05,1.01
1.02,1.08,1.09,1.02
1.05,1.08,1.08,1.05
1.13,1.17,1.17,1.12
1.17,1.12,1.17,1.12
1.16,1.18,1.18,1.16
1.16,1.08,1.16,1.03
1.03,0.98,1.05,0.94
0.99,1.03,1.03,0.99
1.08,0.97,1.08,0.97
0.90,0.92,0.97,0.90
1.00,0.99,1.01,0.94
1.06,1.02,1.06,1.02
1.04,1.10,1.12,1.04
1.09,1.14,1.14,1.09
1.12,1.22,1.22,1.12
1.17,1.17,1.17,1.17
1.17,1.17,1.17,1.17
1.18,1.10,1.18,1.10
1.13,1.13,1.13,1.13
1.16,1.17,1.17,1.16
1.17,1.17,1.17,1.17
1.13,1.15,1.15,1.10
1.14,1.15,1.15,1.14
1.13,1.10,1.14,1.10
1.10,1.10,1.10,1.10
1.11,1.10,1.11,1.08
1.11,1.11,1.13,1.11
1.09,1.09,1.09,1.09
1.10,1.09,1.11,1.04
1.06,1.07,1.10,1.04
1.10,1.10,1.12,1.08
1.10,1.22,1.22,1.09
1.12,1.09,1.20,1.07
1.10,1.09,1.14,1.07
1.10,1.16,1.16,1.10
1.14,1.10,1.15,1.10
1.17,1.14,1.18,1.13
1.21,1.26,1.32,1.20
1.39,1.32,1.40,1.30
1.30,1.29,1.32,1.25
1.31,1.31,1.32,1.25
1.31,1.27,1.32,1.27
1.28,1.24,1.29,1.24
1.26,1.24,1.28,1.24
1.28,1.22,1.29,1.22
1.19,1.18,1.24,1.18
1.17,1.15,1.17,1.14
1.13,1.14,1.20,1.13
1.15,1.18,1.19,1.14
1.19,1.18,1.21,1.18
1.22,1.24,1.25,1.19
1.23,1.24,1.24,1.20
1.24,1.21,1.25,1.21
