TFX,Teleflex Incorporated Common Stock,NASDAQ
58.96,58.43,59.32,58.09
58.44,57.73,59.23,57.67
57.86,57.51,58.27,57.16
57.07,56.06,57.27,55.91
56.03,55.94,56.26,55.33
56.03,56.47,56.62,55.59
55.56,55.26,55.74,54.90
55.28,54.28,55.83,54.09
54.23,53.14,54.23,52.36
53.21,53.39,53.77,52.75
54.15,53.78,54.43,53.44
53.77,55.14,55.26,53.74
55.42,55.26,55.95,54.76
55.01,55.02,55.26,54.54
54.64,54.43,55.06,54.23
54.89,55.05,55.15,54.63
54.76,54.80,55.04,54.37
54.87,54.79,54.91,54.22
54.53,52.45,54.70,52.42
52.29,52.63,52.86,51.83
51.91,53.23,53.26,51.73
53.61,52.28,54.00,52.16
52.97,54.80,54.89,52.87
54.44,58.44,58.94,54.44
58.67,58.82,59.23,58.40
59.03,58.31,59.28,58.03
58.27,57.30,58.41,57.01
57.83,57.34,57.94,56.66
56.52,56.67,57.58,56.31
57.80,56.80,57.82,56.58
52.84,53.32,54.70,52.84
53.12,53.99,54.28,52.44
53.77,54.20,54.42,53.38
53.57,53.46,53.66,52.89
53.01,53.59,54.11,52.78
53.23,53.20,53.32,52.07
52.00,51.74,52.00,51.22
50.74,51.43,51.59,50.61
51.32,51.52,51.93,51.10
51.22,51.31,51.82,50.91
51.83,52.51,52.59,51.44
52.49,52.67,52.88,51.89
52.57,51.41,53.25,51.10
51.13,51.44,51.62,50.98
51.80,51.05,51.97,51.01
50.48,49.51,50.69,49.41
49.28,49.51,49.63,48.66
49.65,49.35,49.86,49.13
49.64,50.03,50.10,49.02
49.76,49.07,50.19,49.01
48.90,48.06,49.10,47.92
48.77,49.79,49.90,48.61
49.61,50.72,50.75,49.61
51.12,51.20,51.48,50.67
51.05,51.68,51.80,50.82
51.70,51.53,51.86,51.15
52.06,52.28,52.85,51.56
52.29,52.51,52.62,51.81
52.87,53.06,53.36,52.69
53.03,53.56,53.77,52.76
53.54,54.25,54.36,53.13
54.00,54.06,54.33,53.69
54.29,54.54,54.60,54.04
54.60,55.46,55.55,54.54
55.33,55.76,56.11,55.17
55.56,55.95,56.28,55.56
55.53,55.35,56.12,55.31
56.12,56.60,56.61,56.07
56.52,56.33,56.53,55.78
56.58,56.83,56.96,55.53
56.79,57.09,57.55,56.54
57.38,56.78,58.22,56.63
57.20,57.17,57.54,56.62
57.15,56.48,57.64,56.16
57.04,58.00,58.25,56.90
57.95,57.92,58.37,57.58
58.31,57.82,58.58,57.74
57.88,58.14,58.35,57.70
58.10,58.34,58.48,57.52
58.28,57.77,58.34,57.64
58.09,58.15,58.40,57.63
58.21,57.39,58.45,57.19
57.68,57.23,57.89,57.10
57.29,58.02,58.02,57.23
57.22,57.09,57.90,56.95
57.31,58.36,58.58,57.31
58.66,57.95,58.81,57.77
58.15,58.15,58.32,57.75
58.48,58.26,58.79,58.17
57.89,58.12,58.69,57.81
57.17,56.00,57.17,54.27
56.29,56.12,56.36,55.81
55.96,55.75,56.14,55.36
56.07,56.00,56.28,55.63
56.53,56.21,56.66,56.09
56.33,55.99,56.50,55.48
56.48,55.90,56.61,55.88
55.88,55.61,55.88,55.26
55.50,55.35,55.59,54.78
55.38,55.16,55.42,54.86
54.91,54.54,54.91,54.05
54.09,54.38,54.54,53.91
54.12,54.07,54.35,53.91
54.34,54.04,54.58,53.88
53.60,53.13,53.82,52.90
53.13,52.95,53.32,52.85
53.41,52.96,53.75,52.81
52.81,52.62,53.03,52.58
52.42,52.67,52.83,52.31
52.23,51.96,52.23,51.62
52.37,52.22,52.62,52.05
51.85,51.91,52.09,51.69
51.60,50.89,51.76,50.59
50.36,49.94,50.36,49.79
50.69,50.27,50.70,50.13
50.46,50.73,51.07,50.25
50.48,50.53,50.65,49.83
50.60,51.22,51.46,50.25
51.60,51.01,51.64,50.17
51.00,51.60,51.89,51.00
51.53,52.28,52.32,50.21
52.33,53.22,53.38,52.33
53.49,53.44,53.49,53.14
53.48,54.57,54.64,53.46
54.39,55.23,55.62,54.39
55.25,55.71,55.76,55.11
55.78,55.62,55.78,55.36
55.59,55.32,55.59,55.03
55.44,55.60,55.65,55.27
55.45,55.03,55.63,54.73
55.25,54.95,55.44,54.84
54.73,54.88,54.93,54.45
54.92,54.76,54.98,54.42
54.76,54.44,54.84,54.39
54.44,54.53,54.76,54.17
54.38,53.81,54.40,53.76
54.08,54.09,54.22,53.85
54.21,53.88,54.21,53.05
53.80,54.19,54.31,53.76
54.41,54.37,54.43,54.06
54.47,54.14,54.55,53.64
54.06,54.23,54.34,53.89
54.25,54.44,54.50,54.13
54.66,55.56,55.57,54.51
55.60,55.84,56.00,55.49
55.67,56.28,56.29,55.67
56.20,57.27,57.27,56.02
57.19,57.05,57.42,56.80
56.93,56.68,57.32,56.60
56.96,56.14,56.96,56.12
56.33,57.23,57.30,56.15
57.12,57.49,57.64,56.60
57.52,57.47,57.82,57.19
57.52,57.81,57.97,57.43
57.70,56.32,57.72,56.11
56.59,57.32,57.47,56.29
57.85,57.92,58.11,57.75
57.71,57.52,57.77,56.88
57.37,57.60,57.87,57.37
57.69,57.88,57.99,57.48
57.82,58.52,58.82,57.80
58.47,58.80,58.80,57.97
58.73,59.88,60.00,58.65
59.71,59.16,59.83,59.05
58.98,59.71,59.89,58.95
59.77,59.31,59.88,59.14
59.24,59.64,59.77,59.20
59.64,60.87,61.41,59.64
60.89,60.49,61.50,60.46
60.57,61.36,61.58,60.44
61.06,60.22,61.17,60.05
60.39,59.72,60.39,59.22
59.66,59.95,60.23,59.35
59.82,58.65,59.82,57.31
59.08,58.39,59.17,58.32
58.64,57.78,58.92,57.69
57.60,57.90,58.32,57.28
58.50,59.00,59.22,58.35
58.78,59.10,59.16,58.52
59.02,58.03,59.28,58.00
58.05,58.32,58.60,57.83
58.43,58.26,58.60,58.05
57.89,57.08,57.89,56.91
56.76,56.88,57.23,56.49
56.68,56.23,56.91,56.00
54.96,56.01,56.28,54.25
55.91,55.68,56.37,55.56
56.29,56.19,56.44,55.90
56.57,56.82,57.04,56.16
57.27,57.80,58.28,57.26
58.01,57.32,58.16,57.25
56.93,56.30,56.93,55.90
56.63,57.05,57.10,56.35
57.18,56.62,57.63,56.60
56.62,57.03,57.20,56.61
57.03,57.02,57.22,56.59
57.12,57.47,57.92,57.08
57.45,57.98,58.21,57.34
58.27,58.73,58.73,58.21
58.78,59.00,59.00,58.71
59.00,58.80,59.00,58.76
58.97,58.80,59.16,58.71
59.00,58.46,59.28,58.42
58.76,58.13,58.92,57.88
58.22,57.82,58.58,57.70
57.63,58.11,58.25,57.51
58.38,58.13,58.51,57.88
57.87,60.09,60.21,57.67
60.28,60.95,61.20,60.28
60.47,60.00,60.50,59.60
60.07,60.71,60.71,60.07
61.20,61.00,61.20,60.80
61.00,60.97,61.03,60.73
60.95,61.00,61.00,60.61
60.50,62.08,62.25,59.67
62.40,62.79,62.83,62.14
62.60,62.41,62.94,62.35
62.41,63.01,63.03,62.05
63.18,62.85,63.18,62.63
62.86,63.11,63.15,62.76
63.12,62.51,63.27,62.14
62.30,62.28,62.55,62.11
63.11,62.41,63.13,62.32
62.41,63.09,63.18,62.15
63.20,63.60,63.75,62.56
63.68,63.81,64.05,63.53
63.27,63.14,63.50,62.74
63.06,62.29,63.21,62.11
62.07,62.82,63.17,61.96
62.58,62.21,62.58,61.96
62.39,62.64,62.78,62.10
62.89,62.95,63.15,62.47
62.78,62.43,62.92,61.74
61.34,60.66,61.81,60.39
60.93,60.71,60.93,60.40
60.56,61.03,61.07,60.29
60.85,61.40,61.48,60.73
61.44,61.58,61.77,61.39
62.31,62.10,62.31,61.62
61.91,61.47,61.98,61.18
61.40,59.31,61.40,58.93
58.89,58.61,58.91,58.34
58.60,58.55,58.75,58.19
58.84,58.98,59.37,58.38
58.93,58.90,59.20,58.51
58.97,59.87,60.05,58.79
59.47,59.51,59.91,58.94
59.57,59.03,59.70,58.97
59.39,60.73,60.99,59.26
60.33,59.75,60.63,59.55
59.49,59.95,60.35,58.48
60.56,59.82,60.57,59.63
59.50,60.35,60.45,59.50
60.72,60.85,60.89,60.59
60.79,60.47,61.00,60.41
59.82,59.93,59.97,58.32
59.91,59.48,60.00,58.95
59.27,59.86,60.05,59.23
60.03,60.10,60.12,59.68
60.25,60.51,60.73,59.92
60.72,61.06,61.37,60.66
61.30,62.43,62.44,61.27
62.40,62.31,62.40,61.94
62.30,62.81,62.93,62.21
63.18,62.69,63.31,62.63
62.20,62.64,62.72,62.08
61.95,62.18,62.29,61.90
61.95,62.55,62.76,61.95
62.66,62.85,63.26,62.39
62.84,61.75,63.04,61.57
62.02,61.78,62.02,61.38
61.68,61.38,61.80,60.90
61.73,62.10,62.15,61.58
62.04,62.23,62.52,61.52
62.50,62.88,63.03,62.27
62.73,63.14,63.17,62.12
62.52,60.78,62.52,60.65
60.71,60.67,61.35,59.62
61.83,62.00,64.56,61.52
62.05,61.24,62.24,60.86
60.62,60.23,61.18,60.20
60.60,58.86,60.61,58.41
58.59,57.36,59.24,57.30
57.43,56.76,57.61,56.05
56.22,53.61,56.47,53.56
54.11,53.00,54.11,51.73
51.38,49.51,52.09,49.51
50.48,52.42,52.49,49.51
51.45,49.85,51.96,49.75
50.17,51.38,51.81,49.40
51.77,52.17,52.22,51.15
52.59,52.74,52.88,52.00
52.18,52.83,53.00,51.83
53.02,52.56,53.85,52.27
51.24,50.00,51.45,49.75
49.56,49.87,50.64,49.56
50.86,49.89,51.27,49.43
50.14,51.82,51.82,49.77
51.67,52.91,53.00,51.56
53.32,52.17,53.79,51.85
52.17,53.56,53.70,51.20
54.15,56.26,56.43,54.10
55.91,56.40,56.68,55.64
56.75,57.52,57.80,56.75
56.67,56.61,58.63,56.43
55.43,54.94,56.25,54.75
53.86,54.65,54.93,53.30
55.52,56.69,57.07,55.31
56.04,55.54,56.76,55.51
55.00,53.91,55.34,53.53
53.06,53.56,53.75,52.38
53.56,54.31,54.71,53.52
54.60,55.85,56.65,54.40
56.48,56.33,56.56,55.58
56.63,56.55,56.96,56.16
55.49,55.39,55.87,54.89
55.54,55.19,56.68,55.17
55.00,53.10,55.25,53.03
51.14,52.68,52.98,51.14
52.26,52.81,53.14,51.79
53.33,53.80,53.90,52.66
54.92,55.13,56.19,54.72
55.25,53.80,55.49,53.77
54.75,54.65,54.98,53.56
53.86,53.77,54.92,53.75
53.50,51.32,54.12,51.32
50.86,53.30,53.41,50.50
53.33,54.15,54.32,53.16
53.97,54.80,54.86,53.67
54.80,54.28,55.09,53.94
55.24,55.46,55.91,54.92
55.20,55.95,56.34,55.20
56.13,55.89,56.96,55.76
55.50,55.61,55.88,54.88
56.18,56.29,56.56,55.84
55.80,54.94,55.89,54.72
54.91,55.71,56.31,54.46
55.84,55.88,56.28,55.58
55.77,55.34,55.87,54.66
55.75,57.82,57.86,55.45
58.00,58.75,58.81,57.66
58.84,57.54,58.84,57.26
58.55,58.02,59.00,57.12
59.79,60.00,60.17,58.78
59.59,60.98,60.99,59.29
60.83,59.86,60.87,59.74
58.04,58.16,58.72,57.72
58.83,58.90,59.46,58.59
59.70,60.53,60.77,59.27
60.07,60.18,60.34,59.28
59.97,59.83,60.55,58.63
60.26,60.80,61.03,59.95
59.37,59.32,59.86,58.89
59.25,58.16,59.72,57.94
58.71,59.57,59.79,58.65
59.56,58.56,59.69,58.35
58.30,59.82,59.95,58.09
59.43,59.92,61.03,59.15
59.71,59.29,60.12,59.02
59.68,59.87,60.31,59.16
58.85,58.50,59.22,58.27
58.35,58.65,58.92,57.85
58.05,57.28,58.33,56.89
57.04,56.79,57.69,56.79
58.33,58.60,58.91,57.96
58.64,58.67,59.30,58.44
60.35,60.88,61.37,60.33
60.46,60.98,61.68,60.46
61.42,59.67,61.63,59.55
60.50,60.15,60.89,59.79
60.12,60.37,60.67,59.86
59.91,60.17,60.39,59.03
59.58,58.86,59.66,58.68
58.79,60.14,60.34,58.79
59.68,59.30,59.68,58.76
59.69,58.86,60.06,58.49
58.55,58.55,58.92,58.19
59.27,59.66,59.95,58.93
60.00,60.03,60.57,59.50
60.12,59.60,60.84,59.32
60.49,60.94,61.37,60.49
60.65,61.52,61.56,60.32
61.55,61.95,62.11,61.17
61.94,62.03,62.22,61.80
62.05,61.99,62.17,61.61
61.78,60.58,61.86,60.36
61.00,61.84,61.99,60.83
61.65,61.29,61.75,61.24
62.19,61.50,62.21,61.29
61.20,60.90,61.35,60.70
60.58,60.90,61.17,60.28
60.82,60.73,60.93,60.27
60.85,60.30,60.85,59.88
60.62,60.75,60.93,60.62
60.53,61.09,61.37,60.46
61.38,61.15,61.40,60.57
60.78,60.45,61.12,60.31
60.89,60.19,61.13,60.15
60.15,60.25,61.09,60.03
60.23,59.92,60.44,59.74
59.92,60.14,60.26,59.65
60.11,60.32,60.79,60.11
60.14,60.31,61.02,60.11
60.36,61.08,61.33,60.21
61.35,61.46,61.53,61.09
61.03,61.50,61.63,60.92
61.02,61.05,61.51,60.79
61.49,61.19,61.94,60.68
61.50,61.93,62.31,61.14
62.00,62.03,62.10,61.78
62.49,62.55,62.86,62.25
62.27,62.26,62.70,62.05
62.07,62.15,62.53,61.65
62.34,61.79,62.34,61.56
62.02,61.98,62.07,61.40
61.56,61.85,62.03,61.27
62.34,62.45,62.53,62.11
62.18,62.85,62.92,62.11
63.00,62.79,63.48,62.29
62.79,63.56,63.91,62.68
63.89,62.93,63.89,62.50
63.13,62.43,63.13,61.87
62.17,62.35,62.80,61.95
60.93,59.50,60.93,58.72
59.39,60.61,60.66,58.85
60.14,60.03,60.19,58.92
59.99,59.75,60.35,59.36
59.83,59.27,60.20,59.00
58.97,58.73,59.20,58.42
58.68,58.47,58.71,57.78
58.47,58.87,59.06,58.40
58.37,58.07,58.49,57.78
58.30,58.01,58.35,57.85
58.35,58.62,58.82,58.00
58.57,59.42,60.22,58.52
59.48,58.71,59.64,58.60
59.07,59.81,59.81,58.94
59.69,59.09,59.75,58.85
59.05,60.35,60.44,58.83
60.73,60.36,60.73,60.31
60.41,60.32,60.61,59.86
60.14,59.83,60.29,59.76
59.87,59.48,59.88,59.13
59.23,59.13,59.34,58.68
59.35,59.32,59.43,58.79
59.79,60.68,60.68,59.70
60.49,61.72,61.92,60.49
61.82,62.04,62.04,61.52
61.62,61.36,61.91,61.05
61.50,61.15,61.68,61.15
61.08,61.24,61.90,61.08
61.04,62.70,63.06,61.04
62.23,61.68,62.34,61.37
61.60,61.87,62.00,61.34
61.10,61.19,61.31,60.48
61.22,60.40,61.51,60.28
60.90,60.57,61.07,60.10
60.51,61.30,61.70,60.51
61.25,60.32,61.70,60.30
60.57,60.51,60.82,59.94
60.83,61.42,62.01,60.83
61.21,62.12,62.49,61.20
62.27,62.38,62.59,61.67
62.52,62.44,63.37,62.30
61.70,61.38,61.71,60.44
61.31,61.93,62.57,61.12
62.17,62.31,62.84,62.15
62.18,62.77,62.99,62.07
63.07,63.08,63.65,62.76
63.19,62.67,63.20,62.54
64.79,63.66,64.79,60.89
63.47,63.24,63.77,63.04
63.13,62.80,63.20,62.23
62.54,61.86,62.94,61.57
61.82,62.20,62.29,61.48
61.75,62.15,62.40,61.48
61.68,61.42,61.68,60.86
61.78,61.68,62.15,61.42
61.05,60.82,61.52,60.64
60.40,60.65,60.88,60.13
60.53,60.12,60.56,59.96
60.24,59.92,60.55,59.90
60.05,58.90,60.06,58.76
59.11,58.12,59.11,57.90
58.10,59.20,59.30,58.10
59.27,58.89,59.46,58.64
58.82,58.91,59.09,58.03
59.00,59.02,59.55,58.65
59.18,59.98,60.50,58.98
60.45,60.66,61.19,60.45
60.27,59.66,60.29,59.51
59.63,59.40,59.82,58.71
58.57,57.97,58.80,57.83
58.17,57.73,58.31,57.28
57.45,58.24,58.27,57.26
58.65,59.15,59.55,58.52
59.68,59.27,59.91,59.24
59.00,59.66,59.85,58.68
60.00,59.37,60.31,59.28
59.48,59.58,60.04,59.24
59.49,59.08,59.94,58.84
58.97,59.00,59.75,58.75
59.10,59.29,59.38,58.96
59.08,60.50,60.60,59.08
60.48,60.88,61.44,60.48
60.88,61.09,61.43,60.67
61.15,60.08,61.55,59.81
60.18,60.78,60.91,60.10
59.65,59.96,60.56,59.65
60.06,59.69,60.11,59.65
60.01,60.32,60.86,59.87
59.50,60.27,60.28,59.24
60.87,60.91,61.18,60.50
60.67,61.50,62.00,60.67
60.89,60.98,61.45,60.14
60.83,60.68,61.04,60.30
60.29,60.55,60.78,60.19
60.50,61.12,61.14,60.04
61.07,60.75,61.21,60.31
60.68,60.95,61.08,59.96
60.61,60.85,61.08,60.24
60.90,61.60,61.70,60.89
61.59,61.65,61.95,61.16
61.66,62.00,62.20,61.65
61.68,62.60,62.95,61.68
62.80,62.63,62.96,62.33
62.28,61.91,62.52,61.80
61.48,61.81,62.03,61.13
61.81,61.31,61.87,60.99
61.44,61.39,61.57,61.08
62.04,61.43,62.19,61.34
61.52,61.72,62.01,61.38
61.59,61.50,62.01,61.32
61.64,63.74,64.94,61.27
63.58,64.18,64.79,63.52
63.56,62.84,63.68,62.57
63.50,63.65,64.07,63.50
63.99,63.64,64.03,63.02
63.89,64.02,64.67,63.83
63.94,63.81,64.48,63.60
63.66,63.41,63.89,62.83
63.26,63.27,63.46,62.94
62.91,62.69,62.96,62.02
63.91,63.68,64.38,63.00
63.51,63.30,63.68,63.00
63.11,62.74,63.45,62.66
62.66,62.81,63.00,62.46
62.64,63.03,63.38,62.50
63.08,63.19,63.36,62.91
63.36,63.05,63.59,62.93
63.05,63.58,63.66,62.97
63.45,64.19,64.50,63.45
64.44,64.43,64.81,63.98
64.43,64.74,65.00,64.38
64.66,65.27,65.73,64.46
65.04,65.50,65.63,65.00
65.87,66.03,66.17,65.45
65.91,66.51,66.62,65.60
66.66,66.87,67.39,66.02
66.86,68.27,68.39,66.86
68.40,68.80,68.89,68.17
68.46,68.70,69.02,68.00
68.65,68.54,69.00,68.46
68.72,69.51,69.64,68.32
69.51,69.25,69.51,68.66
69.53,70.29,70.61,69.24
69.98,69.97,70.51,69.67
69.95,69.95,70.50,69.76
70.06,69.92,70.46,69.56
69.78,70.63,70.63,69.76
70.78,69.84,70.78,69.73
69.01,69.64,70.05,68.73
69.79,69.31,70.34,69.26
69.30,68.50,69.30,68.26
68.73,69.45,69.46,68.52
69.16,68.84,69.28,68.31
69.02,68.93,69.23,68.20
68.92,68.99,69.24,68.61
69.13,69.55,69.68,68.88
69.65,70.53,70.74,69.65
70.54,70.90,71.07,70.46
70.62,70.49,71.16,70.41
70.32,69.15,70.32,69.09
69.15,68.78,69.26,68.24
69.17,68.85,69.53,68.84
68.93,68.41,69.26,68.26
68.63,68.46,68.66,68.23
68.72,68.88,69.14,68.42
68.93,68.81,69.23,68.39
68.63,67.50,68.65,67.33
67.40,66.74,67.55,66.38
66.52,66.38,66.83,65.94
66.15,66.13,66.39,65.79
66.22,66.11,66.43,65.85
66.48,67.57,67.57,66.30
67.48,67.01,68.02,66.92
65.07,67.95,68.03,65.07
68.59,69.49,70.89,68.59
69.54,68.51,70.16,68.51
68.36,68.91,69.12,68.25
68.76,70.91,71.38,68.76
70.45,69.14,70.45,68.63
69.19,67.97,69.30,67.76
67.87,68.40,68.88,67.54
68.40,68.19,68.75,67.80
67.70,67.82,68.24,67.05
67.84,66.47,68.14,66.30
66.47,66.00,66.47,65.46
65.95,67.80,67.95,65.95
68.20,68.63,68.64,68.10
68.54,69.11,69.70,68.53
69.39,69.56,69.86,69.07
69.84,69.68,70.21,69.33
69.43,69.41,69.89,69.15
69.53,69.50,69.99,69.32
69.48,70.03,70.22,69.07
70.21,69.53,70.42,69.36
69.70,69.20,69.89,68.91
69.56,68.95,69.56,68.79
69.00,69.36,69.58,68.85
69.43,69.12,69.70,69.02
69.00,69.32,69.36,68.95
69.40,69.23,69.41,68.81
68.95,70.00,70.35,68.95
70.21,70.09,70.52,69.76
70.47,69.45,70.77,69.19
69.45,69.51,69.99,69.07
69.20,68.71,69.87,68.49
69.14,69.50,70.76,69.14
69.61,70.35,70.56,69.20
70.44,70.29,70.57,69.78
70.31,71.22,71.23,70.31
71.37,71.38,71.59,69.99
71.00,71.00,71.19,70.81
71.07,70.72,71.17,70.42
70.70,71.05,71.22,70.58
70.82,70.68,70.95,70.45
70.48,71.31,71.34,70.11
72.32,72.38,72.47,71.84
72.52,72.97,73.12,72.33
73.21,73.22,73.68,72.84
72.91,73.84,74.27,72.88
73.97,73.43,74.05,73.41
73.68,73.75,74.33,73.55
74.04,73.32,74.09,73.00
73.19,73.36,73.85,72.99
73.25,73.27,73.63,72.90
73.07,73.40,73.68,72.72
73.21,73.15,73.27,72.92
73.48,73.52,73.83,73.21
73.57,74.32,74.47,73.34
74.25,74.92,74.94,74.25
74.99,74.80,75.00,74.53
74.95,74.70,75.28,74.54
74.93,75.00,75.14,74.78
75.08,75.44,75.61,74.70
75.40,75.34,75.75,74.81
75.38,75.09,75.38,74.88
75.32,75.00,75.40,74.72
75.00,75.87,75.92,74.76
75.29,75.29,75.88,75.11
75.39,76.32,76.37,75.05
75.96,76.75,76.77,75.94
76.54,76.95,77.02,75.97
77.20,76.63,77.20,76.32
78.07,77.47,79.78,77.24
77.46,77.48,77.75,77.34
77.64,77.60,77.85,77.28
77.62,77.10,77.62,76.89
77.30,77.13,77.36,77.04
77.20,78.57,78.57,77.15
78.39,77.62,78.68,77.59
77.43,78.34,78.61,77.18
78.76,78.38,78.76,77.61
78.77,77.99,79.31,77.89
78.49,78.62,79.07,78.10
78.75,79.39,80.04,78.75
79.56,79.96,81.09,79.45
79.40,79.69,79.92,78.46
79.15,79.31,79.38,78.82
79.43,80.67,80.91,79.43
80.68,80.33,80.99,80.24
80.07,79.81,80.38,79.78
79.64,80.23,80.36,79.60
79.69,80.71,80.88,79.69
80.63,81.25,81.29,80.49
81.26,81.37,81.49,81.04
81.56,82.26,82.38,81.48
81.93,81.85,82.02,81.38
81.19,81.20,81.61,80.92
81.21,81.37,81.44,80.71
81.65,81.48,81.97,81.40
81.14,81.18,81.70,80.91
81.12,81.44,81.70,81.01
81.74,81.95,82.10,81.18
82.33,83.01,83.01,82.30
82.75,83.35,83.35,82.13
83.61,84.51,84.58,83.28
84.10,84.26,84.31,83.75
84.06,84.88,85.15,84.06
84.94,84.48,85.08,84.16
84.65,85.31,85.31,84.33
84.53,84.94,85.35,84.06
85.01,85.54,85.61,84.50
86.01,86.19,86.81,85.55
86.18,87.01,87.46,85.98
86.98,86.46,87.45,86.39
86.46,85.50,86.48,84.66
85.29,84.10,85.71,84.01
84.55,84.96,85.03,83.69
84.45,83.68,84.64,83.28
83.70,82.86,83.76,82.37
82.98,83.51,83.86,82.52
83.50,83.23,83.50,82.89
83.63,83.70,83.76,83.00
83.76,83.32,83.77,83.15
83.65,82.98,83.65,82.84
82.90,82.26,83.11,82.12
82.63,82.24,82.63,81.97
82.02,78.13,82.02,77.46
77.72,77.36,78.19,76.90
77.59,77.74,78.51,77.32
78.12,78.34,78.50,77.94
78.34,77.76,78.50,77.73
77.71,78.28,78.41,77.52
78.31,79.30,79.31,78.07
79.25,79.89,80.06,79.19
80.14,80.43,80.50,79.95
80.13,79.76,80.14,79.65
79.48,80.39,80.42,79.48
80.13,80.64,80.65,79.94
80.44,80.60,80.64,80.16
80.90,80.42,81.07,80.17
80.43,79.87,80.72,79.80
79.96,79.25,80.02,79.10
79.30,77.98,80.18,77.69
77.53,78.30,78.61,77.38
78.66,78.71,78.95,77.94
79.31,78.83,80.10,78.74
78.58,78.13,78.58,77.62
78.21,78.87,78.89,77.97
78.63,78.33,79.11,78.27
78.42,77.72,78.42,76.73
77.68,77.83,78.07,77.20
77.54,76.51,77.61,76.39
76.70,77.38,77.38,76.01
78.34,78.42,79.19,78.09
78.50,78.17,78.50,77.76
77.98,77.88,78.32,77.33
77.90,77.40,78.04,77.20
77.27,77.78,77.86,76.74
77.76,77.90,78.03,77.45
78.33,77.91,78.60,77.67
78.05,78.64,78.84,77.91
78.48,77.24,78.52,77.20
