DNB,Dun & Bradstreet Corporation (The) Common Stock,NASDAQ
77.89,77.20,77.96,76.98
77.53,76.97,79.73,75.79
77.37,77.53,78.01,76.92
76.69,77.35,77.55,76.69
77.24,77.29,77.80,76.87
77.33,75.48,77.76,73.25
75.43,74.10,75.75,73.87
76.49,76.64,76.74,75.50
75.76,75.80,76.39,75.56
75.80,76.14,76.29,75.58
75.88,76.10,77.13,75.64
76.00,74.98,76.04,74.72
75.15,75.76,75.95,74.89
76.21,75.24,76.55,75.08
74.83,74.76,75.05,74.42
73.72,72.42,74.38,72.42
71.62,73.33,73.33,71.53
72.91,72.85,73.58,72.80
71.90,72.69,72.76,71.68
72.84,72.63,73.50,72.42
73.46,73.74,73.74,72.91
73.46,72.99,73.64,72.90
72.72,71.67,73.09,71.58
71.78,72.57,72.57,71.78
72.78,72.99,73.15,72.16
71.76,70.49,72.24,70.19
70.43,69.96,70.98,69.90
70.00,70.25,70.34,69.35
70.49,70.21,71.03,70.04
71.10,71.53,71.53,70.68
70.84,71.84,71.85,70.61
72.28,71.87,72.43,71.77
72.17,73.48,73.50,72.17
73.16,73.45,73.60,72.79
73.50,73.48,73.56,73.12
73.57,73.23,73.75,73.13
73.81,72.67,73.87,72.47
72.86,71.76,73.33,71.67
71.76,71.30,71.80,71.03
71.09,70.47,71.54,70.43
70.68,70.48,71.07,70.22
70.69,70.28,70.69,70.19
69.60,68.08,69.61,67.81
67.87,67.12,68.25,66.99
67.04,66.87,67.52,66.48
66.99,66.37,67.34,66.27
67.04,65.92,67.11,65.50
66.05,66.72,66.72,65.66
67.00,67.29,67.41,66.71
67.35,67.46,67.54,66.94
67.44,67.39,67.79,67.21
67.86,68.77,68.91,67.81
68.54,68.50,68.93,68.26
68.54,68.90,69.07,67.89
68.62,67.94,68.72,67.88
68.25,68.35,68.49,67.97
68.15,69.94,70.00,67.97
70.08,69.05,70.08,68.94
69.67,70.18,70.55,69.52
69.95,70.34,70.34,69.70
70.33,71.64,71.65,70.33
71.97,71.39,71.98,71.16
71.20,70.38,71.44,70.17
70.58,70.86,71.05,70.00
69.75,68.36,69.75,66.32
68.54,69.43,69.46,68.43
69.39,68.49,69.87,68.40
68.73,69.26,69.26,68.40
69.00,69.04,69.36,68.77
68.64,68.96,69.06,68.31
69.28,69.69,69.92,69.06
69.42,69.31,69.75,68.97
68.40,67.98,68.49,67.89
67.16,67.57,68.18,67.16
67.46,67.57,67.75,66.97
67.26,67.73,67.81,67.02
68.20,68.45,68.77,68.00
68.51,68.79,69.24,68.24
68.53,68.07,68.61,67.91
67.87,67.97,68.06,67.48
68.12,67.70,68.52,67.52
67.16,67.35,67.82,67.04
67.32,67.51,67.64,66.38
67.63,66.85,67.70,66.77
67.15,67.37,67.38,66.45
67.31,66.25,67.31,66.25
66.10,65.90,66.31,65.34
66.60,67.00,67.30,66.29
67.22,67.81,67.88,66.90
68.16,68.79,68.81,67.95
68.62,67.93,68.68,67.91
67.95,68.13,68.43,67.88
68.57,68.25,68.66,67.97
68.33,68.45,68.62,68.03
68.92,69.05,69.09,68.47
68.96,68.79,69.16,68.64
68.72,68.75,68.84,68.47
68.51,68.57,68.81,68.38
68.90,69.65,70.00,68.90
69.97,71.60,71.63,69.97
71.32,71.83,72.47,71.23
71.74,72.12,72.26,71.26
71.74,71.08,72.16,70.92
71.67,73.80,73.89,71.62
73.77,73.51,73.92,73.11
73.83,74.54,74.70,73.59
74.08,74.53,74.95,73.77
74.99,74.14,75.25,74.13
74.72,74.65,74.80,74.24
74.32,73.90,74.69,73.59
74.51,74.99,75.12,74.06
74.81,74.90,75.50,74.72
75.25,74.94,75.34,74.61
75.06,75.08,75.24,74.61
75.09,75.35,75.46,75.08
75.18,75.25,75.34,74.22
75.42,75.29,75.60,75.02
75.33,75.27,76.00,75.06
75.99,76.03,76.31,75.84
75.96,75.85,76.17,75.79
75.34,75.17,75.58,74.73
75.41,74.68,75.41,74.15
74.90,75.00,75.09,74.61
74.99,75.22,75.39,74.87
75.18,75.12,75.58,74.79
74.92,75.18,75.58,74.61
73.52,73.87,74.16,73.22
74.44,74.38,75.02,74.27
74.19,74.41,74.86,74.10
74.74,74.79,75.33,74.45
75.22,75.82,76.03,75.21
75.89,76.01,76.39,75.50
76.57,76.98,77.00,76.20
76.85,76.94,77.02,76.52
76.54,76.62,77.12,76.45
76.69,75.73,76.84,75.46
75.64,76.21,76.26,75.44
75.66,77.19,77.51,75.35
76.76,76.54,77.02,76.27
76.66,76.33,76.96,76.25
75.47,75.35,76.04,75.16
75.42,75.21,76.18,75.07
75.97,75.62,76.14,75.47
75.66,76.20,76.20,75.27
75.82,75.81,76.09,75.35
75.50,75.04,75.50,74.91
75.19,76.06,76.06,75.11
75.46,75.29,75.94,75.19
75.03,75.45,75.60,74.49
74.95,75.34,75.50,74.65
76.06,76.72,76.76,75.92
76.69,77.61,77.76,76.66
77.40,77.80,77.92,77.40
77.70,77.70,77.90,77.52
77.99,77.97,78.19,77.53
77.93,78.31,78.34,77.87
78.49,78.57,78.57,78.21
78.16,79.06,79.31,77.67
79.25,79.65,79.88,79.25
79.81,80.42,80.64,79.81
80.42,80.27,80.60,79.93
79.93,81.04,81.09,79.90
80.93,81.56,81.57,80.76
81.70,81.48,81.84,81.21
81.66,81.71,81.86,81.41
81.50,81.65,81.65,81.04
81.50,81.44,81.69,81.32
81.32,81.70,81.77,81.24
81.66,81.66,81.76,80.90
81.84,81.85,82.09,81.60
81.86,81.54,81.86,81.32
81.40,82.09,82.30,81.17
82.51,81.21,82.51,81.14
81.14,80.57,81.38,80.41
80.27,81.27,81.35,80.27
81.27,82.57,82.62,81.27
82.56,82.87,83.03,82.31
82.43,82.94,83.12,82.20
83.17,83.24,83.36,82.74
83.69,84.11,84.11,83.24
83.87,83.82,84.27,83.57
83.76,84.38,84.38,83.59
84.46,84.48,84.48,83.76
84.52,84.48,84.95,84.00
84.16,84.40,84.72,83.98
85.00,85.15,85.22,84.35
85.16,86.17,86.29,85.06
86.08,86.45,86.46,85.54
86.68,85.97,87.08,85.90
86.12,85.28,86.15,85.00
85.38,84.12,85.81,83.92
84.18,84.95,85.44,84.18
85.56,85.97,86.54,85.52
85.63,85.47,86.50,85.39
85.17,85.53,86.18,84.55
85.63,85.36,85.75,84.90
85.39,85.58,85.85,85.26
85.63,84.49,85.83,84.19
84.21,85.12,85.29,84.11
84.87,85.17,85.17,84.28
84.83,85.57,85.62,84.73
85.66,85.69,85.89,85.39
85.43,85.09,85.43,84.58
85.26,85.01,85.58,84.27
84.93,84.73,84.93,84.35
84.58,85.03,85.19,84.29
84.40,83.15,84.40,82.73
83.20,81.17,83.31,80.75
80.82,80.85,81.79,80.32
81.03,80.80,81.35,80.71
81.22,80.80,81.22,80.52
81.10,79.80,81.10,79.80
79.78,79.33,79.78,79.01
80.12,80.34,80.39,79.58
80.21,79.87,80.62,79.60
80.01,79.52,80.65,78.95
79.60,80.20,80.67,79.46
79.85,80.32,80.49,79.62
79.39,78.75,79.67,78.64
78.93,79.57,79.72,78.24
79.03,79.00,79.49,78.80
77.40,78.10,78.43,77.28
77.85,76.98,78.23,76.91
77.81,77.07,78.22,76.96
77.50,77.84,77.91,77.25
78.43,79.16,79.51,78.31
79.08,79.50,79.57,78.93
79.31,79.16,79.43,78.73
79.44,78.95,79.51,78.56
78.93,79.28,79.58,78.69
79.51,78.89,79.78,78.89
78.80,79.27,79.27,78.61
79.56,79.82,79.87,79.26
79.81,80.24,80.37,79.81
80.74,80.91,81.04,80.19
80.91,81.68,81.68,80.80
81.36,81.44,81.61,81.08
81.92,81.93,81.94,81.50
81.71,81.06,81.74,80.89
81.27,80.73,81.62,80.31
80.80,81.05,81.37,80.65
80.31,81.13,81.29,80.26
81.42,81.17,81.60,80.88
80.79,81.21,81.52,80.57
81.42,81.46,81.53,81.03
80.75,80.91,81.03,79.47
80.92,81.24,81.45,80.73
82.07,82.54,82.66,82.07
82.84,83.03,83.04,82.62
82.90,82.18,82.98,82.09
82.47,83.01,83.09,82.43
83.00,83.33,83.45,82.81
83.36,81.62,83.83,81.41
81.64,82.18,82.22,81.38
82.64,82.87,83.14,82.37
82.49,82.85,82.97,81.71
82.74,82.32,82.90,81.89
81.98,81.87,82.31,81.60
82.68,81.83,83.14,81.66
81.74,81.87,82.03,81.48
81.92,82.81,82.88,81.92
82.71,81.73,82.74,81.53
81.54,82.13,82.22,81.40
82.05,81.68,82.26,81.34
81.44,81.03,81.69,80.97
80.68,80.73,81.13,80.35
80.64,81.31,81.48,80.61
81.50,81.44,81.64,80.77
81.34,81.03,81.36,80.57
80.16,80.25,80.57,79.94
80.38,80.15,80.55,79.94
79.39,80.05,80.19,79.39
79.85,80.21,80.30,79.77
79.20,79.62,79.73,78.98
79.83,80.21,80.33,79.47
79.88,78.44,79.88,78.42
78.49,78.46,78.93,78.25
77.63,76.78,77.71,76.72
76.61,75.79,77.02,75.66
76.13,76.16,76.47,75.58
76.37,75.98,76.37,75.36
76.28,76.26,76.43,75.90
75.89,75.74,76.18,75.49
76.38,75.63,76.38,75.51
76.20,76.15,76.45,76.04
75.65,74.92,75.87,74.54
74.91,75.03,75.35,74.63
75.59,74.99,75.78,74.73
74.83,74.76,75.14,74.64
75.16,75.39,75.53,74.89
75.08,74.98,75.75,74.94
74.14,74.57,74.62,72.92
74.64,74.25,74.87,73.97
74.42,74.39,74.62,74.11
74.72,74.54,74.72,74.34
74.95,75.03,75.14,74.50
75.10,75.54,75.81,75.06
75.75,76.17,76.22,75.37
75.99,75.60,75.99,75.43
75.41,76.08,76.13,75.41
76.64,76.79,76.90,76.62
75.99,76.04,76.27,75.61
75.26,75.44,75.57,75.24
75.18,75.45,75.84,75.06
75.79,75.59,76.11,75.40
75.63,74.59,75.90,74.48
74.90,74.54,75.02,74.19
74.32,73.33,74.43,73.26
73.66,74.00,74.15,73.47
74.22,74.02,74.33,73.64
74.33,74.80,75.10,74.16
74.93,74.46,75.08,74.30
73.96,74.11,74.65,73.81
74.08,74.14,74.38,73.80
73.96,72.76,74.01,72.76
72.53,72.91,73.28,72.53
72.58,72.55,73.19,71.82
73.08,71.34,73.12,70.97
71.12,69.76,71.61,69.76
69.92,69.69,70.37,68.61
68.90,69.08,70.15,68.70
69.59,70.30,70.50,68.50
68.82,66.22,69.17,66.14
67.28,66.79,68.07,64.21
65.58,64.58,66.46,64.33
64.89,65.57,66.09,63.98
66.19,66.64,67.04,65.33
66.96,67.21,67.25,66.40
67.00,67.33,68.15,66.43
67.45,67.15,67.94,66.76
65.84,62.77,65.96,62.37
62.10,62.32,63.06,62.04
63.03,62.85,63.82,62.66
63.15,64.54,64.56,62.76
64.51,65.22,65.43,64.09
65.48,64.58,65.71,64.40
64.22,65.56,65.58,63.44
65.46,66.36,66.36,65.28
66.19,66.37,66.76,65.47
66.61,66.89,67.26,66.38
67.22,65.82,67.49,65.78
64.98,63.66,64.98,63.64
62.16,63.59,63.70,61.44
64.26,65.03,65.03,64.09
64.73,63.49,64.84,63.07
63.18,61.76,63.18,61.30
61.12,62.57,62.57,60.95
62.68,62.93,63.15,62.34
63.22,64.53,65.06,62.34
65.22,65.84,65.84,64.85
66.20,66.59,66.59,65.56
65.72,65.62,66.01,64.90
65.84,65.17,66.41,65.07
65.23,63.01,65.46,63.00
61.78,61.06,62.42,60.44
60.81,61.61,61.94,60.58
62.16,63.00,63.02,61.26
63.95,63.89,64.90,63.60
64.05,62.10,64.17,62.04
63.06,62.91,63.29,61.79
62.41,61.26,62.96,61.26
61.11,59.25,61.77,59.21
58.50,60.63,60.66,58.50
60.69,61.85,62.23,60.43
61.64,62.14,62.16,60.90
62.29,61.76,62.57,61.49
62.63,63.05,63.06,62.32
62.76,63.03,63.18,62.57
63.20,63.54,63.78,63.20
63.20,62.88,63.40,62.42
63.57,63.87,63.92,63.34
63.84,62.16,63.84,62.02
62.34,63.39,63.62,61.61
63.30,62.98,63.75,62.85
62.95,63.40,63.56,62.39
64.35,64.36,64.59,63.72
64.55,65.04,65.35,64.28
64.71,63.41,64.81,63.31
63.87,63.37,64.49,63.09
64.65,65.69,66.11,64.64
67.43,68.02,69.65,67.43
67.79,66.86,67.79,66.81
65.39,63.95,65.84,63.91
64.76,64.50,64.93,63.69
64.96,65.46,65.61,64.39
64.97,66.45,66.50,64.80
66.24,66.76,66.86,65.50
66.83,68.00,68.13,66.72
66.76,65.76,66.88,65.66
66.45,67.07,67.25,65.86
67.51,67.91,68.17,67.44
67.58,66.77,67.58,66.55
66.49,68.00,68.08,66.43
66.91,67.10,68.14,66.91
66.99,67.19,67.88,66.82
67.53,67.92,67.99,67.01
67.13,67.46,67.65,67.00
67.43,67.50,68.00,67.18
66.52,65.38,66.68,65.36
65.34,65.14,65.92,65.09
66.26,67.27,67.32,66.08
67.39,67.36,67.86,66.83
69.53,69.87,69.96,68.57
69.77,70.31,71.20,69.42
70.73,70.64,71.15,69.99
71.60,72.29,72.55,71.28
72.28,71.31,72.28,70.59
71.05,71.46,71.66,70.57
71.14,70.42,71.35,70.23
70.64,71.72,71.88,70.47
71.03,71.38,71.42,70.80
71.63,70.99,72.16,70.67
70.82,70.30,70.94,70.05
70.93,70.39,71.26,70.19
71.08,70.77,71.39,70.33
70.81,70.36,71.22,70.22
71.29,72.75,72.99,71.29
72.46,72.80,72.80,71.49
72.76,74.13,74.13,72.67
74.29,74.75,74.77,74.17
74.57,74.63,74.75,74.34
74.52,74.21,74.65,73.35
74.21,74.56,74.64,74.11
74.71,74.83,75.00,74.32
76.15,75.17,76.15,75.09
75.14,75.18,75.29,74.71
75.04,75.36,75.40,74.37
75.28,75.90,76.06,74.96
76.00,76.56,76.60,75.45
77.25,77.57,77.62,76.63
77.52,78.14,78.18,77.34
78.38,78.78,78.81,77.96
78.35,78.78,78.86,78.20
79.41,79.73,80.13,79.41
79.75,80.25,80.31,79.37
80.23,81.57,81.58,80.10
81.68,81.40,82.03,80.92
81.37,80.90,82.00,80.76
80.60,81.36,81.47,80.54
81.41,82.73,82.87,81.40
82.91,83.09,83.14,82.12
82.82,82.66,82.91,82.37
82.28,82.71,82.96,82.08
83.00,82.81,83.00,82.52
83.29,83.79,83.88,83.13
83.90,84.71,85.00,83.64
85.03,84.97,85.43,84.77
84.61,84.26,84.84,84.21
83.78,80.22,83.83,79.18
80.14,80.90,81.10,79.92
81.01,79.52,81.25,79.42
79.14,78.77,79.30,78.74
79.31,78.70,79.62,78.59
78.63,78.31,78.79,77.85
78.54,77.50,78.68,77.35
77.42,78.52,78.59,77.40
78.92,78.71,79.00,78.49
78.76,80.13,80.45,78.62
79.93,81.49,82.15,79.84
81.38,83.15,83.19,81.14
83.13,82.36,83.13,81.65
81.96,82.69,83.02,81.64
82.62,83.07,83.14,82.28
82.59,82.65,83.12,82.12
83.26,83.08,83.26,82.34
83.09,82.61,83.16,82.50
82.39,82.26,82.65,81.90
81.63,81.81,82.24,81.52
81.97,82.93,83.20,81.77
83.82,83.94,84.44,83.32
84.14,84.63,85.42,83.84
84.77,85.15,85.36,84.48
85.50,86.50,86.52,85.13
86.46,85.90,86.52,85.29
85.98,86.38,86.38,85.36
86.00,85.72,86.41,85.65
85.15,84.71,85.59,84.68
84.25,84.00,84.40,83.90
83.94,83.99,84.33,83.81
83.52,83.79,84.12,83.52
83.95,83.82,84.03,83.46
84.32,84.35,84.51,83.99
84.54,84.24,84.54,84.17
84.25,84.25,84.53,84.04
83.76,84.25,84.35,83.76
84.53,84.73,85.02,84.35
84.77,85.41,85.82,84.33
85.56,85.50,85.95,85.11
84.80,84.12,84.91,83.98
83.75,83.42,83.80,83.16
82.27,81.55,82.63,81.41
81.49,80.98,81.60,80.70
81.48,82.64,82.90,81.48
82.80,83.09,83.49,82.53
83.02,82.16,83.32,82.16
82.50,82.45,82.82,81.86
82.95,83.82,84.03,82.70
81.98,80.78,81.98,80.38
80.63,78.49,80.64,78.36
78.95,79.05,79.89,78.58
78.24,78.21,78.32,77.43
78.17,77.78,78.55,77.45
78.58,77.86,78.65,77.65
77.88,77.88,77.94,77.62
78.08,78.81,78.96,77.57
78.31,77.78,78.31,77.66
77.72,78.43,79.13,77.54
78.15,77.76,78.41,77.38
77.63,76.94,77.94,76.90
76.69,76.43,77.02,76.21
76.38,75.70,77.13,75.33
72.50,65.04,72.50,63.21
64.08,63.34,64.25,62.62
63.52,65.57,65.75,63.52
65.07,66.59,66.96,64.75
65.81,68.04,68.76,65.62
67.89,67.87,68.95,67.72
68.28,68.53,69.01,67.46
68.46,67.30,68.96,67.28
67.48,68.24,68.56,67.48
68.47,69.62,69.82,68.03
69.74,68.45,70.12,68.12
68.06,67.11,68.23,66.60
67.17,66.80,67.77,65.97
66.93,67.14,67.74,66.67
67.61,68.38,68.52,67.34
68.15,67.00,68.35,67.00
67.00,67.57,68.10,66.54
66.91,65.65,67.14,65.49
64.49,64.39,64.53,63.06
64.17,65.75,65.81,64.17
66.24,66.37,66.38,65.49
67.42,65.78,67.42,65.67
65.57,66.98,67.01,65.45
67.45,67.05,68.06,66.60
67.04,67.65,67.67,66.56
67.09,67.94,68.03,66.60
67.95,68.29,68.97,67.27
68.45,67.39,68.76,67.10
66.89,67.88,68.06,66.64
67.93,68.05,68.50,67.78
68.21,68.67,68.91,67.54
68.69,68.14,69.19,68.11
68.44,68.44,68.81,67.71
67.60,67.33,67.98,67.09
67.56,67.03,67.75,66.87
67.22,69.36,69.42,66.90
68.58,69.32,69.40,68.14
70.45,71.17,71.31,69.93
71.50,71.72,72.28,70.75
71.67,71.86,72.06,71.30
71.67,71.41,72.14,70.97
70.79,70.61,71.00,70.02
70.45,70.27,70.66,69.55
70.74,69.70,71.60,69.44
69.98,70.05,70.65,69.48
69.53,69.30,69.66,68.96
69.30,70.45,70.86,69.29
70.19,70.19,70.47,69.42
70.25,71.48,71.58,69.77
71.31,72.02,72.37,71.31
72.03,72.72,72.88,71.97
72.46,71.07,72.96,71.01
70.06,69.94,70.25,68.13
70.22,68.62,70.70,68.32
68.81,69.93,70.13,68.81
71.70,70.91,71.70,70.42
71.28,72.25,72.52,71.23
71.97,70.70,72.14,70.49
70.96,80.19,83.20,69.21
78.98,74.38,79.76,74.24
74.41,73.11,75.21,72.13
73.72,74.49,74.96,73.27
74.50,74.39,75.00,74.08
74.61,74.50,75.03,74.18
74.36,74.47,74.56,72.59
76.73,76.94,81.26,75.35
76.73,79.02,79.81,76.42
78.77,79.14,79.50,78.02
79.50,79.88,80.80,79.26
80.05,82.22,82.28,79.75
82.46,83.55,85.79,81.84
83.70,82.14,83.70,81.87
81.98,82.54,82.91,81.79
82.80,82.44,83.14,81.83
82.11,81.90,82.45,81.09
81.75,81.76,82.31,81.28
81.66,82.33,82.43,81.61
82.43,82.52,83.63,82.15
82.39,81.25,82.71,81.25
81.59,82.13,82.41,80.51
81.66,80.77,81.93,80.76
81.10,80.95,81.55,80.47
80.81,81.20,81.87,80.64
81.23,81.27,81.96,80.83
81.75,81.80,82.40,81.38
81.65,82.25,83.00,81.52
81.75,82.70,83.09,81.75
82.59,82.69,83.09,82.17
82.59,83.13,83.95,81.05
83.05,84.36,86.46,82.36
84.36,84.16,84.80,83.71
83.85,83.63,84.10,83.08
83.34,83.36,83.78,83.00
83.70,83.89,84.10,83.32
83.40,83.60,84.06,83.20
83.75,82.55,84.43,82.49
82.54,81.76,82.54,81.36
82.13,80.12,82.21,80.06
80.31,79.90,80.79,79.70
80.00,80.22,80.49,78.94
79.91,79.62,80.18,79.07
80.01,80.60,81.73,79.82
80.73,81.08,81.50,80.70
81.12,81.96,82.14,80.93
82.10,82.23,82.68,81.29
82.64,82.95,83.30,82.30
82.52,82.30,82.79,82.00
82.32,81.26,82.62,81.02
81.41,81.16,81.99,80.46
81.64,82.10,82.43,81.41
82.31,82.01,82.99,81.98
82.65,82.59,82.83,82.00
82.65,82.62,83.06,82.11
82.88,82.87,83.09,82.51
82.88,82.24,83.07,82.21
81.83,80.84,81.93,80.56
80.52,78.42,81.07,77.78
77.92,78.96,79.16,77.65
79.06,77.93,79.20,77.70
79.12,78.87,79.32,77.92
81.00,81.58,83.43,80.58
81.91,81.04,82.12,80.56
81.04,81.16,82.25,78.30
81.58,81.98,82.75,81.30
82.21,81.52,82.21,80.80
81.60,83.68,83.89,81.60
83.22,82.18,83.28,82.15
82.18,81.61,82.92,81.44
81.29,81.33,82.46,81.17
81.65,80.81,82.08,80.73
80.54,81.00,81.80,80.48
81.08,80.81,81.59,80.57
80.49,73.21,80.99,70.38
73.39,74.98,76.02,73.11
75.08,75.60,75.60,73.75
75.27,74.73,75.54,74.54
74.85,76.07,76.34,74.54
76.67,78.06,78.06,76.38
77.21,77.72,78.04,76.62
77.86,77.79,78.62,77.45
77.56,79.53,79.58,77.48
79.82,79.65,80.27,78.71
79.84,79.18,80.23,79.05
79.48,78.64,79.55,78.43
78.54,80.00,80.10,78.45
79.97,80.41,80.65,79.58
80.25,80.98,81.01,80.24
81.11,81.05,81.47,80.53
80.80,81.32,81.72,80.55
81.69,81.33,82.64,81.18
81.81,80.55,81.81,79.48
80.48,80.61,81.51,80.28
80.35,80.50,81.51,80.18
80.81,82.71,82.78,80.48
82.90,83.48,83.55,82.48
83.50,82.93,84.08,82.92
82.98,81.46,82.98,80.09
80.43,82.28,82.58,80.10
81.92,82.66,82.67,81.13
82.79,80.42,83.05,79.80
80.30,79.12,80.30,78.00
78.73,78.27,78.84,78.00
78.02,78.65,78.74,77.25
79.91,78.44,80.05,77.79
78.59,78.71,79.23,78.24
79.06,78.17,79.15,78.08
77.71,79.16,79.30,77.71
79.36,79.60,79.71,78.82
79.99,79.88,81.29,79.69
80.24,79.45,80.57,79.16
79.51,80.62,80.74,79.40
80.69,80.90,81.20,80.29
80.42,81.49,81.59,80.42
81.45,79.88,81.59,79.53
80.28,79.98,80.87,79.90
79.73,79.98,80.13,79.40
79.83,79.85,80.16,79.66
79.87,80.79,81.13,79.87
80.56,79.73,81.20,79.41
79.85,79.90,80.00,79.13
80.32,79.92,80.32,79.53
79.89,81.51,82.11,79.89
81.40,81.81,82.13,81.20
81.85,81.54,81.98,80.88
82.10,82.71,83.84,81.70
82.60,82.68,83.20,82.24
82.97,84.11,84.20,82.12
83.89,84.89,84.97,83.70
84.74,84.50,85.00,83.67
84.43,84.49,84.76,83.52
84.02,85.28,85.45,83.59
79.98,78.68,80.50,77.60
78.59,80.25,80.43,78.11
80.02,81.25,82.49,79.70
81.09,81.75,81.75,81.09
81.92,83.07,83.19,81.92
83.07,82.09,83.25,82.04
82.03,81.29,82.36,81.14
81.65,81.38,82.07,81.07
81.47,80.36,82.25,80.36
80.60,80.64,80.95,80.03
80.59,81.25,81.88,80.54
81.38,80.60,81.85,80.24
80.47,80.46,80.86,79.90
80.27,80.34,80.51,79.88
80.72,80.23,81.07,79.96
80.68,80.12,80.93,79.99
80.15,80.12,81.30,79.91
80.44,79.96,80.60,79.90
79.89,80.79,80.99,79.81
80.72,81.16,81.22,80.23
81.11,81.08,81.32,80.52
81.13,81.36,81.60,80.86
81.26,81.98,82.20,81.13
81.16,82.08,82.35,80.07
82.32,82.29,82.88,81.92
82.52,82.09,83.05,81.64
81.59,81.14,81.69,81.03
81.22,80.82,81.27,80.63
81.04,81.16,81.31,80.34
81.44,81.67,81.73,80.96
81.54,82.02,82.18,80.99
82.34,83.65,83.73,81.87
83.71,83.76,84.16,83.05
83.96,84.45,85.00,83.96
84.32,83.91,84.79,83.80
83.89,84.37,84.55,83.83
83.41,82.75,83.63,82.59
82.64,83.44,83.51,82.29
83.68,84.42,84.55,83.58
84.54,86.09,86.17,84.51
86.20,86.00,86.69,85.85
85.76,86.00,86.25,85.28
85.69,84.68,86.08,84.54
85.08,86.04,86.12,84.60
85.61,85.46,85.99,84.80
85.57,85.05,85.61,84.63
85.28,84.72,86.17,84.40
84.98,85.41,85.57,84.50
85.65,86.20,86.52,85.65
86.24,86.35,87.00,86.09
86.62,87.71,89.33,86.49
87.31,87.89,88.30,87.17
88.26,88.30,88.85,88.08
88.18,88.45,89.15,87.97
88.24,88.10,89.04,87.59
88.05,89.00,89.57,87.43
88.00,90.00,91.91,86.49
90.00,89.93,90.08,89.63
90.00,91.26,91.50,89.82
91.41,92.00,92.20,91.35
92.07,92.45,92.76,92.02
92.69,92.46,92.98,92.10
92.45,93.66,93.67,92.14
93.53,96.25,96.56,93.53
95.68,96.37,97.24,95.24
96.26,97.78,98.07,95.87
98.11,98.98,100.92,98.09
98.95,98.83,99.47,98.21
98.69,98.63,99.50,98.25
98.56,98.99,101.47,98.23
98.52,98.24,98.86,97.62
97.46,97.59,98.25,96.24
98.36,98.84,99.57,98.36
98.41,97.45,98.53,97.12
97.55,98.99,99.63,97.55
98.67,98.14,99.84,98.11
98.38,97.33,98.42,95.94
97.44,98.22,98.49,97.34
98.23,96.04,98.27,95.91
95.82,97.46,97.54,95.73
99.50,99.24,99.76,98.86
99.55,99.38,99.72,98.50
98.35,98.38,99.21,97.49
98.96,98.01,99.39,97.68
97.98,99.62,99.87,97.71
99.69,98.76,99.82,98.39
99.37,99.02,99.93,98.37
99.01,99.33,99.77,98.62
