NWLI,National Western Life Group,NASDAQ
169.64,169.66,169.76,168.68
168.17,164.60,168.17,164.60
164.57,164.13,166.64,164.03
163.05,161.01,163.05,161.01
159.88,158.46,161.20,155.82
158.30,153.90,158.30,151.78
154.11,160.10,160.10,154.11
160.50,160.97,164.41,159.99
163.13,160.32,163.13,159.46
159.41,158.54,159.41,158.54
157.29,156.56,157.65,155.37
157.19,157.57,157.87,157.19
159.72,159.42,160.38,159.25
160.00,160.99,161.18,160.00
160.24,162.36,162.36,160.00
164.20,162.00,164.20,161.30
162.34,162.25,162.34,162.07
163.55,163.45,163.58,162.51
163.50,163.94,164.13,163.00
163.70,162.18,163.70,162.00
161.50,161.00,161.50,161.00
162.00,160.98,162.00,160.59
162.42,160.08,162.42,160.08
161.54,160.01,161.54,160.01
160.00,158.68,161.30,157.10
159.07,156.39,159.71,156.39
157.00,154.70,157.18,152.00
154.52,155.55,155.66,154.50
153.44,157.01,158.00,153.44
157.25,157.70,158.76,155.35
159.93,159.55,160.00,158.49
160.31,160.35,160.35,159.49
158.93,158.86,158.93,158.64
159.01,158.86,159.01,158.20
158.96,160.95,161.22,158.96
161.97,162.00,162.55,161.02
161.45,161.07,162.22,161.07
162.37,160.38,163.50,160.38
160.38,157.06,160.38,157.01
156.62,156.43,158.00,156.06
156.09,155.01,156.54,155.01
156.02,156.06,156.16,155.15
157.38,155.54,157.38,153.31
155.63,157.29,157.62,155.18
156.47,156.00,157.12,156.00
159.47,159.76,160.48,155.93
159.77,158.33,159.78,158.13
158.07,157.65,158.33,157.65
158.96,157.11,158.96,157.02
157.78,157.50,157.78,155.17
160.00,157.49,160.00,157.00
156.59,155.79,157.49,155.79
153.69,153.75,154.59,153.69
153.49,151.33,153.70,151.01
151.65,151.10,151.79,150.59
150.44,152.50,152.50,150.06
153.00,152.45,153.00,152.00
154.58,152.50,154.58,152.25
152.50,152.25,153.50,151.00
151.93,150.77,152.14,150.77
150.00,152.00,152.22,150.00
151.46,151.54,152.82,151.46
151.13,152.05,152.97,151.13
152.41,151.97,152.72,151.60
153.19,153.00,153.89,152.53
152.14,150.00,152.14,150.00
150.47,151.47,152.70,149.85
