MSTR,MicroStrategy Incorporated - Class A Common Stock,NASDAQ
81.71,82.54,82.73,81.48
82.97,82.61,83.08,82.19
82.60,82.30,83.00,81.57
83.05,84.03,84.32,82.81
84.01,83.91,84.57,83.63
83.52,84.30,84.65,83.45
84.20,84.04,84.31,83.36
84.84,84.43,85.00,83.78
84.79,86.87,87.05,84.30
87.00,85.70,87.28,85.63
85.57,85.32,86.16,84.82
84.82,84.29,85.93,84.17
85.15,87.24,87.39,84.67
87.79,87.73,88.81,87.25
87.71,86.48,87.91,86.33
86.05,87.25,87.67,85.36
87.78,86.61,87.78,84.98
87.22,87.80,87.85,86.40
87.06,85.61,87.57,85.40
86.46,87.59,87.95,85.74
87.59,87.92,88.10,87.02
88.55,88.66,89.50,87.12
88.64,88.30,88.78,87.44
87.99,88.03,89.10,87.99
87.60,87.97,88.21,86.80
88.32,88.53,89.41,87.91
88.28,89.38,89.53,87.91
89.95,89.95,90.88,88.73
90.10,89.51,90.19,88.60
88.31,87.63,89.96,86.65
88.11,87.53,88.95,87.42
87.98,87.15,88.28,85.75
85.50,90.56,90.74,85.50
90.90,89.53,90.97,89.27
89.22,89.93,90.68,88.91
89.24,89.51,89.61,88.28
90.14,89.62,90.14,88.43
90.99,90.63,91.70,88.00
90.57,90.53,91.74,89.69
77.27,84.64,86.18,77.00
84.90,85.41,85.41,82.73
86.63,88.35,89.29,86.63
88.80,89.50,90.24,88.80
89.00,90.20,90.59,87.00
90.22,90.34,91.31,89.11
90.47,90.75,90.75,89.38
89.91,90.03,90.56,89.05
89.28,88.48,89.71,87.72
88.92,89.53,90.53,88.86
88.85,87.81,89.36,87.60
87.77,87.52,88.35,87.43
88.24,89.66,90.48,88.24
89.10,90.35,90.60,88.94
89.62,90.84,91.27,89.12
89.10,88.31,89.75,87.34
88.88,89.68,90.54,88.19
88.77,89.37,89.76,88.08
88.66,88.02,89.32,86.69
86.93,86.55,87.42,85.84
87.60,87.69,88.42,87.10
87.92,88.86,88.99,87.59
88.41,88.37,89.22,88.04
88.06,87.97,89.03,87.49
88.50,88.22,88.54,88.01
88.47,88.09,88.47,87.94
88.86,88.31,88.86,87.42
88.37,89.44,89.63,87.50
89.65,88.32,89.65,88.20
88.12,88.39,88.59,87.66
88.09,88.05,88.96,87.64
88.12,88.23,88.68,87.56
88.01,88.00,88.66,87.61
87.70,87.49,88.20,86.50
87.00,86.36,87.05,85.88
86.50,85.63,86.75,85.60
85.51,85.23,85.51,84.60
85.21,85.32,86.00,84.36
85.37,84.93,85.37,84.01
84.53,85.34,85.80,84.29
85.17,86.14,86.71,85.17
85.92,85.47,86.70,85.36
86.33,88.37,89.61,85.50
88.90,89.00,89.92,88.30
88.71,89.42,89.43,88.53
89.70,89.41,89.84,88.75
89.41,89.21,90.40,89.19
88.89,89.04,89.59,88.08
89.56,91.00,91.18,89.26
91.30,91.06,92.96,91.00
91.20,91.52,92.35,91.00
91.00,91.39,92.04,90.75
90.77,91.75,91.88,90.68
91.76,91.46,92.34,91.21
91.07,91.00,91.71,90.62
91.49,91.00,92.00,90.18
90.85,91.00,91.42,90.34
90.38,93.01,93.17,89.98
103.07,105.02,115.27,103.04
104.88,105.93,106.96,104.42
105.73,105.45,108.45,104.51
105.79,106.36,107.10,105.40
106.20,110.41,110.50,106.04
110.25,110.17,110.66,109.53
110.10,111.39,112.00,109.00
111.46,111.76,112.92,110.52
112.39,113.38,114.57,111.49
113.46,113.33,113.46,111.51
113.24,112.84,114.96,111.86
112.25,115.08,115.26,112.10
114.54,117.38,117.91,112.97
117.94,117.00,119.80,115.99
116.92,116.33,117.52,115.76
117.18,117.88,118.18,115.76
118.00,116.90,118.32,116.63
117.47,116.68,117.74,115.81
116.22,116.28,117.12,115.09
116.00,114.72,117.06,114.51
114.78,114.80,115.92,114.38
115.62,116.95,116.95,114.80
118.13,118.85,119.86,117.76
119.66,114.99,119.66,114.68
114.84,115.81,116.97,114.32
116.92,120.03,121.68,116.92
119.78,123.47,123.62,119.09
123.47,121.77,124.71,120.00
121.46,121.77,122.85,120.55
121.73,121.58,122.38,120.19
119.92,119.10,120.01,117.64
117.81,117.41,118.23,116.63
116.00,116.07,117.09,114.67
112.17,114.47,115.27,111.89
114.05,112.78,115.20,112.11
114.74,112.43,114.74,112.22
113.36,113.24,114.28,113.00
114.19,119.13,119.44,114.19
119.37,119.77,121.49,119.37
119.76,119.53,120.45,117.89
120.17,120.98,121.51,118.92
121.78,121.05,123.92,120.90
121.97,122.83,123.75,121.81
122.60,123.00,123.94,122.31
124.00,133.69,134.62,124.00
135.00,134.48,136.25,132.00
135.48,137.65,138.64,133.01
138.10,137.92,141.19,136.90
137.40,137.35,138.35,135.35
138.41,134.48,140.00,133.84
134.14,133.46,135.65,132.36
133.60,132.14,133.76,130.83
131.88,131.38,133.00,130.00
130.52,129.13,131.50,128.97
130.00,129.98,131.58,126.88
128.66,130.00,130.36,126.50
130.03,129.00,130.50,127.55
126.88,126.86,129.32,125.87
127.30,125.88,128.12,124.51
127.58,131.79,133.38,127.58
132.24,131.68,132.98,131.00
131.27,130.04,132.42,129.31
130.47,131.39,131.60,127.50
133.90,140.04,140.84,132.10
139.57,139.00,140.93,136.80
139.41,141.30,141.35,137.54
141.98,140.69,144.00,140.38
140.53,136.70,140.78,135.87
137.46,140.27,140.71,133.64
130.00,134.77,139.97,128.22
136.19,135.29,138.36,134.52
135.96,134.93,136.40,133.69
135.19,136.65,137.10,135.15
136.49,136.37,137.96,135.49
135.27,137.96,139.66,134.12
138.16,135.30,138.63,135.22
134.70,131.78,136.19,131.26
131.28,131.00,132.71,130.00
131.58,131.50,134.18,131.05
132.29,138.27,141.26,132.29
137.50,138.83,140.91,136.78
136.09,135.42,137.16,135.14
135.97,134.10,137.21,133.57
133.46,136.44,137.40,133.46
136.50,136.00,136.86,134.80
136.30,145.71,145.84,135.58
147.71,146.19,149.40,143.24
145.68,149.69,151.97,145.68
149.66,143.19,149.66,142.33
140.49,143.37,144.24,140.15
143.18,142.00,145.20,140.49
143.07,140.73,143.79,139.57
140.04,141.39,142.25,139.05
142.05,142.45,143.63,140.16
141.53,139.83,142.58,138.69
140.27,139.81,144.93,139.63
140.83,142.73,144.56,140.83
141.62,141.40,144.51,140.66
141.44,142.77,144.71,141.16
143.84,140.50,144.90,140.48
139.92,139.66,142.30,138.09
140.61,145.30,145.43,138.23
147.45,149.68,151.45,145.58
150.74,158.79,159.29,149.88
155.92,157.74,162.63,155.92
158.11,160.23,161.21,157.74
162.97,162.78,162.98,160.92
162.78,163.43,164.06,160.66
162.94,162.68,164.82,162.37
162.83,166.41,167.00,161.25
166.44,167.73,168.55,164.62
167.34,165.75,167.44,164.61
167.45,166.41,167.50,161.29
164.20,164.72,165.71,163.66
163.02,159.92,165.53,159.60
159.78,156.63,161.93,156.06
157.75,163.22,165.22,157.68
166.07,171.31,172.00,165.00
170.10,169.69,176.45,168.26
169.43,168.81,169.98,164.32
170.56,175.98,178.58,170.01
176.62,174.10,177.40,172.52
174.25,170.58,175.80,170.12
171.00,171.68,173.89,170.34
169.68,169.42,173.49,168.98
169.50,167.12,172.45,166.13
166.37,163.13,168.01,161.38
163.03,159.49,164.78,159.16
157.53,159.37,160.75,157.00
161.79,159.99,164.05,158.83
159.95,151.92,162.10,151.00
142.06,147.37,148.12,136.02
146.85,137.04,147.35,136.51
139.33,128.40,139.33,126.72
125.00,115.68,127.69,115.47
117.51,123.23,123.52,112.97
119.73,113.72,120.51,113.65
114.13,119.79,120.33,112.12
120.89,122.62,124.79,119.81
124.03,127.43,127.43,123.32
125.84,124.70,127.81,122.94
125.21,119.91,126.10,118.15
116.90,108.00,116.90,107.01
106.72,105.92,111.18,105.47
108.88,107.22,111.18,106.23
107.78,113.45,113.69,106.62
113.40,116.23,116.92,112.99
117.33,110.93,122.97,110.62
110.06,114.76,115.19,108.96
116.27,121.68,121.92,116.06
120.61,121.24,122.86,119.09
121.95,122.88,125.49,120.87
123.21,118.37,123.77,117.72
115.91,111.01,116.32,110.25
106.57,109.43,109.71,105.00
111.43,111.97,115.41,110.81
111.55,108.85,113.19,108.22
107.61,104.23,108.72,101.13
102.52,105.79,108.20,100.86
106.01,113.29,114.97,105.72
114.26,118.30,120.62,110.65
119.62,118.76,119.62,115.19
119.52,121.60,122.00,117.18
119.00,119.10,121.92,116.34
120.23,115.08,120.77,115.02
116.23,114.75,118.59,114.29
110.23,108.20,115.00,106.98
108.27,115.41,115.64,107.91
115.98,118.39,118.85,113.07
121.18,122.33,124.87,119.00
122.30,116.58,122.85,116.02
119.23,116.94,120.53,111.75
115.02,114.07,119.54,114.02
114.16,105.10,115.45,104.68
104.45,112.59,112.97,104.31
111.98,117.00,118.25,108.65
116.56,117.00,119.08,114.35
117.48,115.99,119.26,113.72
118.11,118.81,118.88,114.05
117.79,122.03,123.86,117.79
123.38,124.50,126.09,122.80
124.20,129.03,129.04,124.20
131.01,135.78,139.00,130.52
134.15,131.13,137.37,130.51
130.60,132.40,134.26,126.83
131.60,130.55,134.29,129.18
130.25,131.10,132.85,127.61
134.14,133.04,134.95,129.21
133.34,138.25,139.85,133.34
137.65,133.53,137.65,133.24
135.69,133.96,138.13,130.07
136.63,141.60,141.61,136.63
140.54,143.36,143.98,138.00
141.21,131.77,142.42,131.77
119.97,116.54,121.00,106.10
118.03,117.28,118.25,114.58
118.70,117.70,118.72,114.70
115.71,116.37,118.30,115.27
115.64,116.30,117.24,113.23
117.18,119.92,120.36,114.77
116.05,117.97,119.21,115.21
120.54,124.05,126.53,117.77
124.08,129.81,130.33,124.08
129.26,129.33,129.75,126.20
129.94,132.94,134.53,129.00
131.71,131.45,134.69,130.89
130.93,127.00,131.81,126.15
127.30,124.46,128.57,124.19
122.01,122.11,125.00,118.90
121.74,119.02,122.54,118.31
117.73,112.98,118.94,112.55
112.06,109.72,113.87,109.68
112.39,118.25,118.25,111.81
118.16,118.10,119.29,117.23
123.20,123.13,124.85,121.08
122.76,122.27,124.92,121.05
124.47,121.32,124.47,120.60
123.85,125.85,130.95,122.20
126.50,124.54,127.19,123.77
122.06,122.93,123.91,119.81
121.71,119.37,123.76,119.10
119.55,121.47,121.87,117.49
119.27,120.55,120.81,118.16
121.67,114.60,122.50,113.70
113.75,106.51,115.69,106.00
108.78,106.86,109.30,105.55
107.47,108.68,110.57,106.01
109.30,105.35,109.91,105.03
108.25,107.15,109.65,106.90
106.20,104.79,106.51,101.13
104.65,107.27,107.50,104.65
107.78,107.35,108.06,105.80
107.06,107.20,108.29,106.27
107.37,105.52,107.37,103.99
105.79,108.98,109.41,105.15
108.73,108.32,111.50,107.72
111.18,111.28,114.52,109.49
111.00,106.99,111.46,106.30
105.92,105.73,108.81,104.17
106.01,107.37,108.60,105.18
107.99,104.99,108.10,102.72
106.93,106.24,108.32,104.73
105.27,106.32,106.56,104.57
106.83,105.34,106.83,104.58
103.76,106.24,106.27,102.81
106.74,104.65,108.27,103.29
104.62,108.55,109.26,104.55
109.50,110.90,112.25,108.46
111.06,115.21,115.40,110.65
115.33,111.25,116.00,110.11
110.95,111.63,111.93,109.75
111.95,112.39,113.24,109.73
113.77,111.62,115.37,111.13
111.43,114.65,115.10,111.37
110.01,115.52,121.51,109.00
116.14,115.12,117.00,113.86
115.72,119.19,122.17,115.41
120.30,123.62,125.47,118.87
126.37,126.45,127.92,125.01
125.91,125.05,126.01,123.00
125.22,123.80,125.22,122.80
123.68,123.54,124.99,121.95
123.71,125.32,126.77,123.00
123.51,122.72,126.93,121.97
124.05,124.86,125.33,122.74
124.28,123.73,124.78,122.09
124.43,123.59,125.94,122.84
123.92,129.06,129.23,123.46
129.46,126.10,130.00,124.48
127.90,134.43,138.33,127.90
134.31,134.58,137.21,134.31
134.43,138.35,139.00,133.76
138.22,137.82,140.34,136.78
136.75,136.30,139.58,134.71
136.87,135.27,138.55,134.68
136.01,135.59,137.93,135.50
136.56,139.38,142.75,134.65
139.41,135.47,140.00,134.81
135.17,132.64,135.50,132.10
130.53,129.12,130.83,127.96
129.80,128.90,131.45,128.25
130.06,131.35,133.09,129.45
131.89,131.25,134.20,130.46
131.17,131.99,134.12,129.88
132.91,136.55,137.21,132.02
137.11,131.48,137.27,131.00
131.75,131.04,133.02,130.51
131.83,130.75,132.61,130.59
130.74,134.52,135.85,130.63
133.08,134.09,134.73,132.33
136.06,140.18,142.45,135.80
139.54,137.99,140.69,137.25
137.78,138.93,139.98,137.23
141.03,141.39,142.77,140.00
141.23,139.87,141.65,139.65
140.30,138.93,141.37,138.05
137.81,138.80,139.33,136.83
140.07,140.00,142.50,137.01
139.68,143.20,143.70,139.27
143.97,147.49,147.99,143.09
145.84,145.18,146.31,144.51
145.10,145.26,145.60,143.41
142.43,143.34,143.88,141.93
143.45,142.10,144.21,140.69
143.73,144.04,144.77,141.66
143.68,146.81,147.58,143.68
146.49,147.10,147.57,145.80
147.43,146.20,148.71,145.95
147.12,148.91,150.81,146.20
144.32,144.95,147.89,142.86
144.56,145.88,148.68,143.83
148.31,145.20,148.31,144.18
143.11,140.81,143.23,139.91
140.57,138.32,140.99,137.01
140.84,141.03,141.47,140.00
140.60,141.96,143.26,140.08
142.05,141.11,142.82,139.65
141.34,139.78,141.43,139.50
139.81,140.22,143.69,136.38
139.33,142.04,142.12,138.64
148.47,156.24,160.00,147.76
154.06,152.32,156.63,152.04
151.51,149.32,153.32,148.54
147.95,147.43,147.95,143.31
145.04,145.78,147.67,145.01
147.01,142.14,147.01,140.95
141.28,142.84,143.76,141.28
141.21,141.03,141.62,139.25
140.54,141.53,143.58,140.54
142.57,137.96,143.44,136.90
138.23,136.00,138.23,133.76
135.39,129.05,135.47,127.37
129.11,131.69,133.68,128.12
131.18,130.39,132.95,128.71
129.49,130.81,131.70,127.85
130.74,126.94,131.12,125.42
127.27,126.76,127.50,125.56
127.58,127.08,127.89,124.30
125.41,122.08,125.41,121.80
122.69,121.98,122.69,120.11
119.53,118.90,120.45,118.70
119.41,119.93,121.38,117.79
119.57,120.11,122.54,118.95
121.31,123.59,124.42,120.96
125.01,121.97,126.33,121.09
121.36,122.16,123.22,118.70
123.58,120.64,123.96,120.57
121.16,119.53,123.07,119.31
119.40,117.61,121.72,117.47
118.40,120.14,121.48,117.73
119.78,124.33,125.45,119.03
123.08,124.99,125.27,122.49
126.10,127.41,129.02,125.19
128.34,128.90,131.00,127.09
129.32,124.60,129.97,123.85
125.58,129.14,129.97,125.58
127.07,125.25,127.43,124.56
125.34,126.99,127.97,125.27
127.06,129.62,130.50,126.32
128.15,128.11,130.99,126.26
129.94,129.86,132.50,128.82
129.42,130.26,131.53,127.57
129.98,132.87,133.28,129.98
132.63,134.93,135.86,132.61
128.01,119.57,129.48,117.38
119.49,118.22,121.65,116.82
119.27,113.32,119.27,113.13
113.66,113.49,115.22,111.47
113.08,114.81,115.80,111.40
114.88,116.56,119.71,114.88
116.85,116.64,117.43,115.07
116.66,114.74,116.66,112.74
114.78,120.00,120.00,114.78
120.87,119.81,121.98,118.00
118.29,115.33,119.97,115.00
113.06,115.81,117.15,112.13
116.88,113.35,117.03,112.72
114.31,113.78,115.50,112.00
115.95,113.48,117.81,111.38
114.26,117.08,119.16,114.26
116.70,118.88,120.00,116.31
110.51,116.46,119.84,108.60
117.65,117.68,119.23,115.44
116.25,117.62,119.72,115.79
120.24,122.33,123.39,119.00
124.83,124.08,127.11,123.27
124.59,125.75,128.08,123.70
125.74,126.45,128.09,125.40
126.11,126.34,129.09,125.90
126.10,127.64,127.92,125.89
127.26,126.49,129.10,125.79
127.70,124.26,128.40,123.64
124.09,124.37,125.61,124.09
124.86,126.37,127.63,124.40
126.66,126.81,128.53,125.37
126.88,126.12,127.54,125.12
127.34,128.33,129.93,127.00
126.51,126.19,128.02,125.54
125.86,124.43,126.85,124.40
124.16,124.58,125.81,122.88
124.97,125.49,126.43,124.55
125.82,125.53,126.98,124.96
125.66,126.56,127.72,125.66
127.17,125.80,127.73,125.53
127.19,125.51,127.40,124.38
126.08,125.40,127.72,124.85
124.99,125.98,126.65,124.99
126.64,128.28,129.40,126.11
129.00,129.89,130.25,127.90
129.79,128.88,131.40,128.46
128.71,129.83,130.34,127.37
129.76,130.37,130.96,128.79
130.01,132.11,133.16,128.68
132.70,133.05,134.40,132.30
132.87,134.19,135.37,132.87
134.41,134.79,135.44,133.86
134.85,134.35,135.71,132.28
133.68,134.52,136.10,133.68
136.50,134.92,137.16,134.68
134.31,134.95,135.83,134.02
135.47,133.31,135.47,132.73
133.29,131.72,133.29,129.72
131.72,134.11,135.23,130.95
132.94,134.07,135.70,132.90
134.58,133.12,136.19,132.08
133.33,131.41,134.98,130.73
131.41,129.81,132.12,127.76
128.82,126.17,128.82,123.80
126.94,124.40,127.71,124.03
123.95,122.39,124.58,121.97
122.36,119.95,122.39,118.23
119.98,119.21,121.57,117.78
120.47,118.99,121.11,118.06
118.73,118.26,120.25,117.12
118.28,119.68,119.96,116.58
120.07,121.02,121.49,119.85
121.00,119.05,121.19,118.15
118.89,118.93,119.73,117.62
118.23,118.14,118.78,117.30
118.22,119.98,120.26,116.49
115.02,111.62,116.50,107.28
111.18,111.06,112.80,110.52
111.76,112.13,113.37,111.20
112.88,109.81,112.88,108.67
94.74,94.47,97.24,92.00
94.83,97.44,97.72,93.62
97.16,96.47,98.13,96.09
96.03,98.61,98.94,94.74
98.49,98.37,99.69,97.69
98.31,96.50,98.50,96.30
96.47,95.74,98.10,95.40
94.94,95.62,96.55,94.17
95.84,95.33,96.88,94.81
94.68,94.57,96.88,94.00
95.10,92.72,95.68,92.05
92.82,93.15,94.13,91.00
93.05,91.78,93.80,91.16
89.92,87.12,91.20,85.11
86.63,85.45,87.49,83.76
85.03,85.27,86.77,84.38
85.77,86.30,87.17,85.29
86.11,86.70,86.78,84.55
86.49,86.75,87.30,85.90
86.16,87.04,87.37,85.18
87.51,88.53,89.22,87.51
89.10,88.49,89.37,87.91
89.27,88.69,89.66,88.26
88.59,88.77,89.35,88.16
88.92,88.28,89.62,88.01
88.37,88.58,89.44,88.29
88.87,88.56,89.07,86.88
88.73,90.18,90.68,88.42
90.89,91.45,92.06,89.24
91.96,91.87,92.89,91.35
91.85,91.97,92.56,91.30
91.14,91.00,91.95,90.44
91.55,93.40,93.79,91.33
94.08,95.21,96.00,93.14
95.28,94.23,95.28,93.76
93.86,95.04,95.96,93.70
94.14,96.16,96.35,93.07
95.99,95.85,96.40,94.61
96.18,94.19,97.01,93.94
94.00,93.93,95.13,93.01
93.54,93.55,95.08,93.26
93.23,93.38,94.84,93.16
95.22,95.49,97.77,94.52
95.41,92.45,96.04,91.79
92.54,92.99,94.34,91.86
92.59,93.67,93.95,92.00
93.76,92.45,94.74,92.33
92.65,93.23,94.32,92.28
93.75,93.41,94.35,92.67
93.57,93.94,94.45,93.21
93.53,94.33,94.61,92.90
93.75,94.84,96.45,93.43
94.59,94.26,95.61,94.08
94.40,94.26,95.34,93.57
94.30,93.79,94.30,93.00
93.53,93.08,93.60,92.10
93.20,94.46,94.87,91.60
94.06,95.25,95.41,93.06
96.00,101.81,104.51,95.79
102.31,99.39,103.55,99.00
97.60,100.11,105.89,96.00
99.69,100.74,101.49,99.01
100.74,100.27,102.36,100.07
100.90,102.36,103.65,99.01
101.49,99.16,102.25,99.00
99.50,100.73,102.00,99.00
100.01,99.04,100.12,98.05
98.96,98.08,98.96,97.39
97.55,98.93,99.47,97.55
99.17,98.05,99.17,97.50
98.02,99.76,99.79,97.52
100.09,99.77,100.13,98.23
99.50,98.97,100.32,98.04
100.35,104.08,105.34,99.78
104.37,106.66,106.96,103.21
106.60,102.71,107.03,102.66
102.94,100.93,103.00,100.10
101.58,102.25,102.88,100.64
102.52,99.09,102.55,98.67
100.58,103.18,105.01,100.57
103.39,102.19,103.95,100.88
102.79,101.88,103.77,101.65
100.90,103.09,103.53,99.80
102.67,103.05,103.46,101.55
107.64,113.45,114.81,107.19
113.93,112.65,114.20,111.34
112.41,112.08,112.95,110.60
112.88,114.19,114.50,112.05
113.53,112.69,113.72,111.46
112.50,112.69,114.30,111.60
112.97,112.80,113.17,112.32
113.12,112.93,113.98,111.85
113.19,112.28,113.42,111.81
110.83,108.99,111.77,108.87
109.56,107.45,110.52,106.65
108.11,108.47,108.98,106.25
107.37,108.07,108.27,107.29
107.86,103.86,107.91,103.31
104.23,101.76,104.27,100.61
102.19,102.61,103.06,101.12
101.63,101.00,101.88,100.34
101.15,101.08,101.83,100.57
101.30,103.03,103.29,100.20
103.20,102.53,104.30,101.57
103.95,101.44,103.95,100.61
101.27,101.03,102.13,100.27
99.61,100.54,101.80,99.12
100.65,101.45,102.09,99.91
101.39,101.19,102.34,100.27
101.29,104.79,105.00,101.04
104.59,103.06,104.59,102.78
102.39,102.88,104.23,100.14
102.37,100.18,102.61,99.15
100.89,100.14,101.03,99.01
99.03,98.17,99.28,97.60
98.33,97.36,99.70,96.89
97.55,95.76,97.55,95.09
95.64,96.17,96.45,93.38
96.81,97.88,99.04,96.16
97.51,96.83,97.77,95.40
96.79,98.23,98.75,95.88
98.70,97.71,99.80,97.27
97.78,99.30,99.88,97.58
91.95,90.19,92.09,86.35
88.05,89.22,90.68,87.86
89.82,90.00,90.24,88.97
91.31,91.14,91.75,89.87
91.01,91.03,91.58,89.76
90.78,91.67,92.44,90.68
91.16,91.92,92.58,91.00
91.53,91.48,92.34,91.33
91.76,94.70,94.94,91.50
94.78,94.49,95.21,93.87
94.37,94.86,95.47,94.26
94.78,93.09,94.86,91.98
92.90,94.35,95.07,92.90
94.63,95.95,96.10,93.70
94.13,94.17,95.43,93.77
93.97,93.23,94.45,92.71
93.33,90.57,93.33,89.75
89.21,91.29,91.97,89.21
90.91,92.41,92.63,89.31
93.28,92.34,94.39,91.60
91.52,91.46,92.23,90.00
91.84,93.16,93.49,91.41
92.37,91.48,92.37,91.09
91.77,91.09,91.95,89.49
90.94,90.52,91.36,89.16
90.16,90.53,91.37,89.77
90.45,90.10,91.99,89.11
90.49,89.71,90.49,89.33
89.89,89.69,90.58,89.36
88.78,88.12,89.45,88.00
88.57,88.14,89.28,86.99
88.27,90.05,90.17,87.66
89.94,90.94,91.22,89.84
91.46,89.21,91.46,88.59
89.66,89.57,90.29,88.56
