IEP,Icahn Enterprises L.P. - Depositary units,NASDAQ
39.61,38.88,39.67,38.52
38.17,38.83,39.57,37.55
37.90,39.79,39.86,37.76
39.59,39.74,39.90,38.80
37.54,39.70,39.75,37.54
39.42,39.13,39.68,38.86
39.24,38.68,39.24,37.76
38.75,35.27,38.75,35.00
36.24,36.21,36.73,35.78
36.99,37.04,37.04,36.30
37.10,37.28,37.28,36.47
37.23,37.88,37.89,37.18
37.82,39.08,39.10,37.82
39.12,39.10,39.60,38.89
39.00,39.23,39.60,38.47
39.42,39.90,39.99,39.17
39.72,39.96,40.10,39.45
39.89,40.00,40.09,39.46
40.10,40.00,40.10,39.47
39.85,39.90,39.90,38.53
39.90,39.95,40.54,39.90
39.73,40.25,40.76,39.18
40.48,40.75,40.75,39.98
40.60,40.52,40.96,40.03
40.64,39.58,40.64,39.42
39.95,40.15,40.50,39.53
39.78,40.00,40.00,38.77
40.33,40.90,40.90,39.40
40.94,40.49,40.99,39.95
40.49,40.30,40.49,39.60
40.50,40.40,40.88,40.14
40.49,40.40,40.49,39.98
40.25,40.27,40.39,39.99
40.45,40.35,40.45,39.72
40.16,40.25,40.38,40.11
40.30,40.04,40.36,39.74
40.00,40.10,40.24,39.75
40.10,39.73,40.18,39.21
39.42,39.72,39.80,38.98
39.52,38.40,39.52,38.01
38.48,38.49,39.12,38.16
38.68,39.57,39.57,38.60
39.57,40.25,40.25,39.41
40.25,40.40,40.45,40.08
40.23,40.05,40.25,39.73
38.66,39.70,39.77,38.66
39.94,39.80,39.94,39.60
39.88,39.95,40.42,39.80
39.68,39.71,39.90,39.21
39.88,40.22,40.36,39.75
40.24,40.06,40.26,40.00
40.00,40.40,40.40,40.00
39.75,39.62,40.49,39.62
39.83,40.08,40.25,39.83
39.86,40.38,40.38,39.84
40.49,41.77,42.13,40.40
42.11,42.92,43.50,42.11
43.54,46.45,46.91,43.54
46.67,45.99,46.97,45.50
46.32,45.93,46.39,45.56
45.50,45.84,45.99,45.40
45.90,41.75,45.90,41.50
41.66,42.50,42.85,40.99
42.45,42.50,42.50,42.02
42.40,43.12,43.24,42.40
42.82,42.29,42.86,41.96
42.63,42.26,42.78,41.70
41.33,40.74,41.93,40.50
40.51,40.08,40.70,39.75
40.14,41.44,41.92,40.14
41.57,41.62,41.79,40.75
41.50,42.00,42.00,41.50
42.10,41.50,42.51,40.44
41.50,41.90,42.13,41.43
41.55,42.16,42.16,41.29
42.00,41.84,42.23,41.21
41.77,41.77,42.36,41.75
41.79,42.99,42.99,41.67
43.00,42.65,43.00,42.09
42.56,43.00,43.21,42.56
43.00,43.90,43.90,42.70
44.00,43.31,44.00,42.52
43.31,43.73,44.55,42.95
44.13,44.29,44.40,43.57
43.88,45.42,45.42,43.60
45.03,45.30,45.30,44.18
45.30,44.63,45.40,44.45
44.55,44.45,44.75,43.80
44.74,45.97,45.97,44.43
45.46,46.39,46.39,45.03
46.31,46.27,46.31,44.74
46.40,45.98,46.40,45.47
46.00,45.80,46.20,45.60
46.00,45.80,46.11,45.15
45.58,45.64,46.02,44.61
45.11,45.55,45.77,45.01
45.27,45.67,46.11,44.81
45.64,44.60,45.64,43.15
44.22,43.29,44.90,42.66
42.94,44.40,44.63,42.50
44.89,44.83,45.50,44.00
44.87,45.05,45.49,44.16
44.63,44.00,44.63,43.31
43.74,41.45,43.99,39.90
41.38,42.50,45.45,39.90
40.00,38.00,41.71,37.12
42.40,40.68,42.40,39.60
40.26,40.50,41.00,39.18
41.03,41.30,42.68,40.50
42.14,41.46,42.49,41.46
42.60,43.49,43.49,42.03
43.37,43.00,43.59,42.31
43.23,42.73,43.23,41.71
41.78,42.64,43.86,40.57
41.94,40.99,41.94,40.07
41.76,40.39,41.76,38.62
40.30,40.05,40.88,38.53
40.40,40.13,40.40,39.00
39.97,39.84,39.97,39.17
39.10,39.01,39.78,39.00
39.90,40.08,40.56,39.22
40.48,40.00,40.68,39.00
40.28,39.57,40.28,39.02
39.33,39.84,40.66,39.33
39.22,38.51,39.33,38.43
37.27,38.02,38.02,37.10
38.49,39.22,39.22,38.49
38.82,40.14,40.27,38.82
39.43,40.00,40.00,37.55
39.27,37.60,39.70,36.52
38.08,38.13,38.28,37.67
38.15,38.71,38.95,37.92
39.00,38.75,39.03,38.29
38.98,39.05,39.50,38.96
38.25,38.75,38.75,38.11
38.67,39.12,39.36,38.10
38.93,37.70,39.05,37.70
37.24,36.50,37.24,36.49
36.18,35.99,36.63,35.70
36.36,36.00,36.36,35.32
36.34,36.26,36.70,35.69
36.08,36.24,36.31,35.82
36.06,36.71,37.18,35.85
36.52,36.22,37.10,36.12
36.00,35.78,36.88,35.67
35.62,35.87,35.99,35.40
36.15,36.67,36.88,36.15
36.86,37.24,37.24,36.54
36.94,36.95,37.00,36.09
36.95,37.69,37.69,36.61
37.40,39.31,39.63,37.40
39.28,39.78,39.78,38.45
39.80,39.82,40.33,39.13
40.34,40.07,40.60,39.72
40.13,40.43,40.49,39.90
40.75,41.50,41.50,40.21
41.31,41.31,41.65,40.76
41.18,42.03,42.03,41.00
41.83,42.67,42.67,41.80
42.90,43.50,43.68,42.56
43.25,43.50,43.60,43.00
44.02,43.45,44.02,43.00
43.89,43.44,44.50,43.28
43.70,43.92,43.93,43.00
43.45,43.93,43.93,42.72
43.08,41.20,43.50,41.20
41.97,41.21,41.97,40.26
41.72,40.00,42.09,40.00
39.15,39.25,39.25,37.82
38.63,37.80,38.66,36.66
38.01,37.83,38.60,37.38
36.85,37.07,37.82,36.85
37.65,37.50,37.65,36.89
37.48,38.60,38.60,37.48
38.91,38.23,39.03,38.23
38.20,37.60,38.76,37.53
37.01,36.92,37.74,36.63
36.85,36.85,37.22,36.63
36.80,36.41,37.36,36.40
36.34,36.26,37.04,36.26
36.38,37.36,37.42,36.26
36.90,36.70,37.00,36.51
36.46,36.13,36.55,36.00
36.42,36.31,36.85,36.02
36.16,36.00,36.59,36.00
36.52,37.95,37.95,36.52
37.62,38.14,38.58,37.51
38.18,38.98,38.98,38.13
39.23,39.40,39.87,39.00
39.00,39.06,39.40,38.98
39.22,38.25,39.35,37.74
37.64,37.03,37.66,37.03
37.50,37.20,37.88,37.04
37.23,37.18,39.90,36.11
36.50,37.15,37.99,36.50
37.00,37.93,37.93,36.97
37.39,37.16,37.89,37.00
37.03,38.01,38.01,36.35
37.67,35.88,37.67,35.88
35.55,36.57,38.50,35.55
36.07,35.70,36.98,35.50
35.32,36.22,36.81,35.32
36.98,36.27,36.98,35.76
36.01,36.50,36.81,35.76
36.50,36.20,36.89,36.12
36.40,35.60,36.88,35.01
35.57,35.80,36.01,35.33
36.20,36.78,37.32,36.13
37.06,36.69,37.25,36.03
36.75,36.70,36.75,36.15
36.30,37.24,37.70,36.30
36.79,38.72,39.38,36.49
38.60,38.51,38.90,38.09
39.16,38.40,39.16,37.80
38.01,38.00,39.35,37.80
38.00,38.14,38.30,37.80
38.19,37.99,38.19,37.70
37.50,37.62,37.90,37.50
37.53,37.47,37.84,37.39
37.19,37.42,37.64,37.19
38.00,37.40,38.18,37.11
37.99,37.55,37.99,37.35
37.66,38.00,38.10,37.60
38.10,37.86,38.50,37.83
37.58,37.74,38.17,37.58
37.69,37.58,38.07,37.50
37.81,38.11,38.40,37.75
38.39,38.16,38.40,38.12
38.40,38.03,38.59,38.03
38.36,39.12,39.28,38.02
39.13,39.07,39.28,38.64
39.01,39.08,39.36,38.87
39.34,39.50,39.87,39.05
39.77,39.85,39.95,39.03
39.48,39.02,39.80,39.00
39.21,39.69,40.00,39.21
39.50,39.51,40.00,39.12
40.25,40.25,41.00,40.02
40.16,40.80,40.80,40.16
40.99,40.88,40.99,40.75
40.85,41.19,41.27,40.75
41.00,41.43,41.48,41.00
41.15,41.58,41.58,40.72
41.35,41.86,41.89,40.75
41.51,41.14,41.88,41.00
41.36,42.50,42.51,41.17
42.59,42.70,42.70,41.75
42.92,42.73,42.94,42.07
42.84,42.93,43.00,42.21
42.92,41.90,43.25,41.90
41.45,41.95,42.00,41.15
41.50,42.00,42.35,41.50
42.75,42.72,42.95,42.19
42.77,42.95,43.34,42.26
42.75,42.68,43.08,42.02
43.03,43.28,43.49,41.83
43.13,42.93,43.21,42.55
42.94,43.00,43.10,42.50
43.19,43.10,43.50,42.95
43.01,43.10,43.30,43.01
42.55,43.00,43.15,41.51
43.16,43.00,43.35,42.50
42.79,43.00,43.48,42.79
43.13,43.00,43.25,43.00
42.94,42.86,43.20,42.29
42.30,42.99,43.00,42.30
43.16,42.90,43.16,42.41
42.71,42.99,43.00,42.70
43.16,43.14,43.48,42.41
43.05,43.03,43.20,42.51
43.22,44.00,44.00,43.22
44.00,44.00,44.49,43.38
43.81,44.60,45.00,43.00
48.54,46.33,48.54,45.05
47.00,45.50,47.00,45.50
45.79,46.50,46.80,45.78
46.73,46.57,47.15,46.50
47.49,47.74,48.87,47.15
47.73,47.85,47.98,47.44
48.21,47.99,48.21,47.56
48.09,48.17,48.48,47.75
48.49,47.25,48.49,46.10
47.60,47.73,48.00,46.29
47.75,48.19,48.30,46.70
49.00,48.25,49.89,48.19
48.73,49.45,49.45,48.27
49.14,49.50,49.50,48.80
49.50,49.20,49.50,48.08
49.01,48.49,49.49,48.49
49.50,47.29,49.50,47.00
47.00,45.93,47.10,44.50
45.99,44.43,45.99,44.22
44.19,44.38,44.46,43.90
43.93,43.31,44.54,43.05
43.25,43.57,43.57,43.12
43.60,45.08,45.56,43.60
44.99,46.03,46.99,44.99
45.68,46.08,46.90,43.22
45.34,44.80,45.44,44.43
44.58,44.47,45.41,44.00
44.16,42.99,45.29,42.68
42.64,41.29,42.64,40.22
41.23,40.41,42.00,40.41
40.19,41.01,42.99,40.01
41.41,41.30,42.97,41.00
41.59,41.80,42.53,41.59
42.24,42.20,42.50,41.61
42.34,41.60,42.50,41.60
41.63,41.63,42.41,41.63
41.60,41.49,42.22,40.65
40.99,41.23,41.39,40.19
40.36,40.43,41.37,40.18
40.20,40.33,41.01,40.20
40.33,40.92,41.18,40.27
40.87,40.18,41.52,40.18
40.31,40.51,41.78,40.31
40.37,41.46,41.62,40.37
41.50,41.85,42.40,40.42
42.22,41.89,42.26,41.23
41.51,41.96,42.06,41.51
40.57,41.40,41.96,40.51
41.11,41.65,41.96,40.69
41.70,41.84,41.87,40.51
41.48,41.84,41.94,41.25
42.18,41.04,42.18,40.51
41.45,40.75,41.45,40.42
41.45,41.40,41.82,40.81
41.01,40.85,41.01,40.30
40.46,40.02,40.46,40.02
40.21,39.95,40.21,39.06
39.57,39.70,39.99,39.57
40.37,40.00,40.45,39.90
40.02,40.70,40.70,39.75
40.72,41.68,41.79,40.72
41.72,42.36,42.49,41.69
41.83,41.99,42.48,41.45
41.13,41.87,41.93,41.00
42.20,41.86,42.20,41.65
41.69,41.62,42.49,41.40
41.60,41.43,41.65,41.41
41.15,41.58,41.82,41.15
41.70,41.62,41.92,41.03
41.96,41.98,41.98,41.88
41.54,41.46,41.54,41.02
41.26,40.85,41.84,40.05
40.95,40.52,41.46,40.50
40.00,38.55,40.05,37.88
38.70,38.08,38.86,37.96
38.02,38.38,38.50,38.02
38.52,38.61,38.90,38.11
38.10,39.10,39.43,38.10
39.00,38.07,39.00,37.92
38.06,38.46,38.59,37.92
38.26,38.16,38.60,38.01
37.99,38.43,38.45,37.81
38.54,39.01,39.22,38.20
38.96,39.36,39.84,38.45
39.83,40.25,40.75,39.65
39.92,40.30,40.71,39.92
40.12,40.49,40.62,40.06
40.05,40.58,40.72,40.01
40.06,40.03,40.60,40.01
39.72,40.53,40.53,39.72
40.64,41.05,41.41,39.99
41.38,40.80,41.38,40.45
40.12,40.40,40.75,40.02
40.18,40.40,40.40,39.70
40.40,40.79,40.79,39.66
40.03,40.62,40.69,39.65
40.26,40.72,40.73,39.66
40.28,40.95,40.98,40.03
40.50,40.82,40.83,40.40
40.98,40.53,41.00,40.09
40.30,40.69,40.98,40.15
40.10,39.60,40.47,38.29
40.00,39.97,40.00,39.43
39.14,39.89,40.20,39.12
40.20,40.24,40.50,39.55
40.50,40.69,40.81,39.82
39.22,39.89,40.25,39.22
39.13,39.88,40.39,39.13
39.73,40.00,40.80,39.73
40.41,40.39,40.70,40.10
40.03,40.20,40.65,40.02
40.22,40.81,40.81,39.87
40.80,40.74,40.96,39.78
40.80,40.39,40.80,39.54
40.35,40.39,40.40,39.50
39.90,40.80,40.80,39.90
40.69,41.00,41.00,40.60
40.66,40.64,40.90,39.78
40.31,40.29,41.00,39.33
39.96,39.95,40.31,39.33
40.15,40.30,40.37,39.58
40.05,40.80,40.92,40.05
40.53,41.21,41.24,39.91
41.24,41.21,41.64,40.58
41.37,41.69,42.00,40.89
41.19,42.93,42.98,41.19
42.62,42.57,43.75,41.28
42.78,42.75,43.48,42.01
42.71,42.31,43.09,41.32
42.12,42.31,42.31,41.35
41.20,42.00,42.45,41.09
42.85,43.10,43.40,41.80
43.12,42.49,43.12,42.20
42.41,42.90,42.90,42.00
42.47,42.25,43.29,42.00
43.31,42.66,43.31,42.00
41.71,42.39,42.50,41.71
41.79,42.13,42.21,41.01
41.79,41.69,41.95,39.91
41.07,41.30,42.00,40.24
40.61,41.85,41.99,40.61
40.67,41.49,41.74,40.67
41.40,41.80,41.89,41.40
41.59,41.55,41.98,41.52
41.72,41.60,42.49,41.60
41.14,41.55,41.60,41.05
41.02,40.70,41.98,40.15
40.58,38.91,40.97,38.53
38.94,38.52,40.74,38.45
38.89,39.83,39.98,38.50
39.42,38.94,40.03,38.61
38.72,39.39,39.74,38.72
39.00,38.33,39.37,38.20
38.40,38.00,38.88,38.00
38.00,37.86,38.62,37.86
38.32,38.43,38.49,38.00
38.44,39.04,39.43,38.05
39.11,39.40,39.61,39.11
39.21,39.40,39.40,39.21
39.10,39.15,39.49,38.26
39.20,39.04,40.17,38.73
38.85,40.15,40.15,38.77
40.46,40.00,40.46,39.66
39.96,40.18,40.45,39.90
40.80,40.25,40.82,39.41
40.25,40.25,40.25,39.38
39.83,40.46,41.00,39.55
40.65,39.99,40.65,39.67
39.97,39.89,40.46,39.51
39.70,39.78,39.80,39.60
39.86,39.71,39.86,39.70
39.84,39.84,40.40,39.62
39.71,40.25,40.30,39.60
40.14,40.43,40.43,40.00
40.18,40.46,40.46,39.99
40.57,40.65,40.80,40.03
40.58,40.74,41.09,40.21
40.50,41.41,41.80,40.44
40.82,41.01,41.94,40.20
40.80,39.99,41.29,39.60
40.59,40.80,41.45,40.38
41.25,41.39,41.80,40.56
41.18,41.84,41.99,40.88
41.00,44.70,45.00,37.22
47.41,47.80,49.02,45.75
48.35,47.91,48.62,47.62
48.37,50.74,51.40,48.37
51.29,51.46,51.75,50.22
52.10,54.00,54.35,52.00
54.54,55.44,55.55,54.03
55.45,51.30,55.50,51.00
51.91,53.44,54.75,51.91
54.10,55.14,55.75,53.26
55.49,56.37,56.98,54.75
56.35,59.49,60.85,56.20
59.90,58.50,60.93,58.29
59.14,57.79,59.20,57.45
58.63,59.09,59.50,58.05
59.74,60.00,60.18,58.90
60.61,63.00,63.79,60.61
63.90,63.10,63.90,62.50
63.89,63.71,63.89,62.70
63.60,62.77,65.17,62.25
62.01,61.87,62.72,55.70
62.34,59.88,62.77,59.00
60.17,62.39,62.57,60.17
62.70,62.01,63.51,61.51
62.00,62.92,62.93,61.01
62.66,62.60,62.92,61.57
62.20,61.46,62.85,60.52
61.20,59.95,61.39,59.01
61.00,68.88,69.80,61.00
70.00,72.19,75.00,69.80
73.84,78.85,79.00,72.84
80.42,87.15,87.99,80.00
90.00,80.99,90.75,75.56
76.52,71.04,79.98,70.00
67.69,66.86,70.84,65.40
66.65,70.50,70.80,63.53
70.25,68.33,71.94,67.01
71.69,70.00,72.27,68.01
69.62,74.15,74.15,69.62
73.50,72.25,74.01,72.10
71.20,71.49,73.97,70.50
63.00,60.05,63.00,60.00
60.49,61.38,62.33,60.11
62.50,61.63,62.50,61.00
62.39,60.99,62.41,60.31
62.00,61.03,62.00,61.00
61.87,60.80,61.90,60.79
61.94,61.20,61.94,60.80
61.38,61.25,61.40,60.80
61.14,60.58,61.27,60.50
60.60,60.95,61.24,60.60
61.00,60.70,61.00,60.02
60.05,59.57,60.45,59.25
59.51,58.39,60.09,57.11
58.69,57.75,59.03,56.00
57.33,57.10,58.39,57.00
57.90,57.44,58.00,56.02
58.12,56.56,58.33,56.40
56.69,56.50,57.05,55.27
56.21,55.72,57.17,55.39
55.47,54.51,55.97,54.00
54.50,56.21,56.70,54.00
56.79,55.14,57.25,55.00
55.88,55.25,57.00,55.14
56.44,55.32,56.70,55.21
55.11,55.52,56.50,54.26
60.70,61.30,61.96,58.50
61.92,62.75,63.75,60.50
64.48,65.96,67.26,63.01
67.12,68.64,69.24,65.54
68.99,67.28,69.00,64.36
68.11,66.87,68.84,66.25
67.99,69.94,70.28,67.75
70.10,68.64,70.99,67.45
68.95,69.91,70.76,68.68
70.25,70.09,71.00,68.02
70.44,71.00,71.54,69.40
72.87,72.31,73.00,72.07
73.84,74.17,75.00,72.57
75.00,74.71,76.00,74.34
74.75,72.88,75.00,71.75
74.30,72.95,75.00,70.53
72.85,74.52,74.73,72.57
76.00,74.71,76.00,74.11
74.89,74.39,74.90,73.28
75.00,75.39,75.70,73.25
75.51,80.68,82.00,75.35
80.96,82.83,83.53,80.96
84.00,83.37,84.63,82.00
82.65,82.98,84.50,81.38
83.34,83.79,84.00,82.60
84.00,84.63,85.00,83.20
84.82,83.22,85.00,82.82
83.22,83.80,84.97,82.00
83.84,85.10,85.62,83.08
85.80,87.45,87.71,84.86
87.54,86.60,89.95,86.47
87.50,89.45,89.86,86.80
89.89,85.94,89.89,82.65
84.41,81.31,84.41,76.00
80.74,76.25,80.74,74.00
77.40,79.05,80.00,76.60
78.85,77.01,80.70,76.57
77.00,75.57,78.57,74.20
75.22,77.53,78.49,75.22
77.90,75.27,78.59,74.50
75.54,74.63,77.07,74.00
74.66,71.83,74.66,70.07
71.01,71.96,72.23,69.01
72.50,73.70,74.40,72.45
75.03,76.68,77.50,73.75
76.11,79.52,80.49,74.29
73.96,71.74,74.68,71.48
71.86,72.68,73.50,71.29
72.88,72.67,73.33,71.78
72.84,73.50,74.39,72.67
73.80,72.47,73.80,72.00
72.52,72.25,73.15,71.85
