SPY,SPDR S&P 500,NASDAQ
134.08,135.08,135.36,133.39
135.15,134.04,135.34,133.56
133.56,133.19,134.61,132.97
132.69,133.17,133.35,132.12
133.24,134.36,134.50,132.95
134.80,134.68,135.03,133.94
134.33,133.61,134.68,133.36
131.98,132.06,132.72,131.59
132.44,131.95,132.73,131.70
131.42,132.39,132.94,131.38
132.03,133.00,133.24,131.78
133.37,133.51,133.87,132.96
134.77,134.90,134.92,133.84
134.51,131.87,134.92,131.76
131.96,131.73,132.24,130.96
130.15,130.42,131.42,130.08
130.09,129.04,130.36,128.87
129.70,128.96,130.07,128.85
128.76,128.42,129.19,128.18
128.77,129.40,129.93,128.46
128.85,127.60,128.93,127.26
127.89,127.70,128.24,127.05
128.87,129.32,129.77,128.82
128.24,127.02,129.30,126.68
127.06,127.30,127.97,126.32
127.93,127.05,127.94,126.62
126.62,127.70,127.97,126.58
128.36,129.45,129.70,127.75
129.05,128.67,129.81,128.59
127.16,128.30,128.64,126.19
128.27,126.81,128.37,126.62
126.89,127.94,128.43,126.64
128.45,129.61,129.63,128.27
130.20,130.72,130.93,129.63
131.14,131.97,132.18,130.71
132.09,133.92,134.10,131.78
133.78,133.81,134.08,133.39
133.49,133.97,134.14,133.11
135.16,135.36,135.70,134.88
133.83,134.40,135.36,133.39
132.75,131.97,133.18,131.66
131.69,131.40,132.78,131.36
132.09,131.84,133.22,131.52
132.17,130.93,132.78,130.68
131.66,131.69,131.87,130.77
131.08,130.61,131.28,129.63
131.34,132.73,132.89,131.31
133.07,132.65,133.15,132.42
133.40,134.49,134.82,132.67
134.52,134.58,134.72,133.76
133.30,133.83,134.49,133.16
133.74,133.33,133.96,133.03
132.59,130.60,132.63,130.43
130.60,130.22,131.77,130.01
128.91,129.33,130.55,127.97
130.84,128.78,130.96,127.53
127.81,125.49,128.50,125.49
125.66,126.17,126.31,123.53
124.42,120.26,124.62,120.06
121.76,120.08,122.07,116.86
116.91,112.26,120.12,112.02
114.07,117.48,117.64,110.27
115.26,112.29,116.28,111.95
113.26,117.33,118.92,112.32
118.40,118.12,119.21,117.28
119.19,120.62,120.74,119.00
119.47,119.59,120.69,118.31
120.25,119.67,121.20,118.72
116.50,114.51,119.71,113.39
112.96,112.64,115.88,112.50
115.17,112.73,115.23,112.41
113.15,116.44,116.57,112.58
116.19,118.08,118.24,115.92
118.73,116.28,119.40,115.87
115.69,117.97,118.51,113.85
119.56,121.36,121.43,118.06
120.83,121.68,122.43,119.26
122.46,122.22,123.51,121.30
122.29,120.94,123.40,120.78
118.42,117.85,120.87,117.43
114.39,116.99,117.16,114.38
118.76,120.29,120.34,118.36
119.57,119.04,120.94,118.77
117.68,115.92,119.06,115.28
114.47,116.67,116.76,114.05
117.05,117.74,118.18,116.22
118.34,119.37,120.80,116.72
120.65,121.43,121.47,119.40
121.29,121.52,121.97,120.32
119.53,120.31,120.93,118.72
120.82,120.17,121.99,120.01
120.23,116.63,120.60,116.44
113.25,112.86,114.21,111.30
112.11,113.54,114.16,112.02
114.61,116.24,116.40,112.98
118.53,117.54,119.56,116.84
117.78,115.14,118.49,114.97
117.05,116.05,117.63,113.93
114.45,113.15,115.45,113.07
112.49,109.93,113.95,109.81
108.35,112.34,112.58,107.43
112.62,114.42,114.72,111.58
114.36,116.49,116.66,113.51
117.17,115.71,117.25,115.06
117.68,119.58,119.63,117.67
118.87,119.70,120.04,118.75
120.60,120.75,122.14,120.33
120.04,120.51,120.87,119.12
121.91,122.57,122.60,121.23
121.99,120.23,122.55,119.93
120.14,122.58,123.50,119.20
122.38,121.13,123.08,120.71
121.43,121.66,122.10,119.82
123.09,123.97,124.12,122.72
124.17,125.49,125.80,124.06
124.89,123.05,124.95,122.78
124.35,124.30,124.77,122.21
127.63,128.63,129.42,126.61
128.00,128.60,128.85,127.80
127.16,125.50,128.62,125.32
122.03,122.00,123.51,121.52
123.83,123.99,124.40,122.79
125.27,126.25,126.50,123.60
125.23,125.48,125.70,124.01
125.39,126.26,126.39,124.20
126.92,127.88,128.02,125.71
124.89,123.16,125.80,122.86
124.79,124.32,124.94,123.02
125.83,126.66,126.99,125.79
126.19,125.46,127.45,124.92
125.17,126.08,126.75,124.72
124.81,124.08,126.34,123.90
123.85,122.11,124.16,121.23
122.50,121.98,122.75,121.47
120.20,119.66,120.35,118.65
119.40,119.19,120.10,118.52
118.07,116.56,119.19,116.56
116.38,116.34,117.70,116.20
119.54,119.71,120.18,118.82
120.05,120.05,121.00,119.61
