ADS,Alliance Data Systems Corporation Common Stock,NASDAQ
93.90,92.79,94.30,92.61
92.99,91.46,92.99,90.78
90.53,89.86,90.60,89.32
89.80,87.73,90.31,87.54
87.83,88.09,88.60,87.30
88.08,88.01,88.24,87.35
88.10,88.19,89.15,87.65
87.92,86.40,88.06,85.70
86.75,86.90,87.35,86.35
87.62,87.94,88.34,87.19
86.63,87.20,88.74,86.36
87.11,87.19,87.89,86.27
87.79,88.13,88.83,87.46
87.70,89.77,90.01,87.51
90.08,92.92,93.08,90.08
92.31,91.95,93.01,91.93
90.98,91.37,91.54,90.00
91.44,89.35,91.93,89.10
89.60,91.38,91.83,89.10
91.55,92.41,92.99,91.14
92.85,92.98,93.46,92.24
93.16,94.07,94.50,92.60
93.99,94.64,94.99,93.18
94.57,95.83,96.09,94.05
95.59,96.03,96.58,95.15
96.90,97.82,98.59,96.90
96.63,97.73,98.02,96.20
96.72,96.21,97.23,95.65
96.11,94.99,96.67,94.85
95.25,95.45,96.96,95.19
95.85,95.24,98.29,95.06
95.65,94.22,95.66,93.12
93.95,94.69,94.91,93.55
95.19,97.92,98.60,95.14
98.21,99.43,99.95,98.02
99.99,96.48,100.00,95.28
96.60,97.65,98.36,96.38
96.56,99.36,100.00,96.33
99.35,100.41,101.51,98.83
99.94,99.18,101.41,98.89
99.01,98.60,99.51,97.99
97.36,98.34,99.71,96.01
99.56,97.74,99.82,96.97
97.34,95.41,98.25,95.31
95.63,95.44,96.38,93.09
94.27,90.75,95.95,90.60
91.84,88.17,92.81,86.80
87.53,81.66,87.53,80.66
82.91,84.89,85.11,80.38
83.00,83.14,85.75,82.50
83.73,87.32,88.48,83.03
88.18,89.36,89.75,86.99
89.85,91.74,91.89,89.20
90.77,91.28,91.75,90.00
91.51,90.37,91.83,89.27
87.93,85.36,87.93,84.47
84.01,83.01,85.60,82.89
85.06,83.95,85.73,82.68
84.33,86.98,87.14,83.24
86.58,88.78,88.96,86.25
89.46,87.94,90.05,87.64
87.29,89.90,90.49,86.09
96.12,92.29,96.12,91.36
91.82,92.82,93.62,91.25
93.49,93.41,94.89,92.37
93.80,92.38,94.19,91.82
90.43,90.52,91.05,89.76
87.31,90.71,90.98,87.27
91.77,92.88,93.22,91.01
92.06,92.10,93.22,91.73
90.99,89.70,91.44,88.36
88.40,90.41,90.42,87.87
90.99,90.35,92.00,89.34
91.20,92.84,94.13,89.29
94.38,95.34,96.75,93.95
94.94,95.04,96.24,94.70
93.56,95.81,96.79,92.84
96.37,99.19,101.05,96.37
99.30,96.63,100.50,96.60
93.81,93.38,93.95,91.56
92.58,91.54,93.37,88.79
92.22,94.11,94.19,90.75
97.64,95.22,97.64,94.68
95.80,93.41,96.45,93.17
95.00,93.65,95.45,91.41
92.05,92.70,94.30,92.05
92.00,88.08,92.57,87.67
87.21,89.02,89.17,84.91
89.26,90.94,91.60,88.24
91.38,94.18,95.00,90.90
94.67,94.60,96.15,93.44
96.11,97.06,97.40,95.85
96.17,96.87,97.76,95.70
97.74,98.25,100.76,97.59
96.88,92.51,96.88,91.65
93.85,94.15,94.28,93.38
93.77,92.67,94.34,92.50
92.50,94.33,95.55,92.31
93.93,93.00,95.02,92.45
95.95,94.74,96.75,92.25
95.04,97.99,98.50,95.03
98.41,100.95,102.46,97.95
100.45,98.97,101.27,98.62
101.45,100.86,101.45,99.28
104.99,103.12,105.67,101.89
104.42,104.97,105.19,103.02
104.66,102.44,104.79,102.44
100.20,100.18,101.66,98.92
101.82,101.40,101.99,100.03
107.18,102.75,107.18,100.72
101.98,102.57,103.34,100.83
102.56,102.57,103.35,101.01
102.90,103.30,103.54,100.83
100.74,100.49,101.83,99.83
102.03,100.50,103.11,99.29
101.19,101.95,102.70,101.19
101.34,101.51,102.61,100.60
100.79,101.35,102.09,99.51
100.47,99.83,102.69,99.52
99.53,96.62,100.16,96.01
96.44,95.83,97.02,94.90
94.04,95.38,95.67,93.12
94.95,94.76,95.44,94.03
93.48,93.46,94.03,92.80
93.24,93.08,93.89,92.98
95.05,96.40,96.90,94.60
96.51,97.38,98.00,95.94
