PEP,Pepsico,NASDAQ
62.92,62.89,63.46,62.73
62.66,62.76,63.59,61.90
62.60,63.46,63.46,61.83
63.50,63.37,63.65,63.00
62.46,61.44,62.46,61.29
61.37,61.73,62.56,61.29
61.44,62.65,62.80,61.40
62.86,62.49,63.07,62.33
63.03,63.84,63.90,63.03
63.50,63.56,63.56,62.94
63.90,63.85,64.23,63.24
63.88,64.24,64.29,63.84
63.79,63.91,64.05,63.56
63.96,64.49,64.56,63.75
64.61,64.08,64.67,64.03
64.54,64.02,64.79,63.74
64.03,63.30,64.25,63.18
63.22,62.73,63.22,62.31
62.37,62.40,62.99,62.25
62.49,60.77,62.49,60.77
61.12,61.96,62.17,61.00
61.46,61.23,61.77,60.89
61.28,60.95,61.73,60.50
61.13,61.52,61.66,60.32
61.54,61.53,62.15,61.38
61.74,61.64,61.89,60.95
61.60,62.93,63.08,61.27
63.21,64.00,64.00,62.91
64.03,63.50,64.11,63.30
63.25,63.74,63.75,63.05
64.25,63.43,64.26,63.35
63.23,63.56,63.70,63.06
63.58,63.16,63.71,62.99
63.05,62.45,63.53,62.24
62.39,62.05,62.52,62.00
61.77,64.73,64.87,61.71
64.78,63.95,64.98,63.67
64.46,64.21,64.86,64.00
64.05,64.45,64.75,64.05
64.36,64.98,65.03,64.19
65.30,65.69,65.79,64.71
65.51,65.20,65.69,65.00
65.33,64.89,65.59,64.71
64.45,64.91,65.18,64.31
65.47,65.27,65.47,64.88
65.11,65.77,65.92,65.00
65.72,66.17,66.35,65.37
65.68,65.58,65.87,65.06
65.13,65.90,65.97,65.13
66.00,66.42,66.60,65.93
66.05,66.53,66.83,66.00
65.98,65.45,66.07,65.45
64.91,65.18,65.35,64.78
65.07,65.56,65.71,64.86
65.30,65.43,65.50,64.80
65.68,65.55,66.00,65.22
65.66,65.52,65.84,65.25
65.50,64.66,65.52,64.26
64.30,64.80,65.28,64.30
65.14,64.82,65.40,64.78
64.50,64.78,65.24,64.21
64.37,64.57,64.85,64.20
64.82,64.13,64.82,63.85
64.20,64.12,64.47,63.38
64.09,63.60,64.43,63.60
63.49,64.18,64.34,63.18
64.52,64.89,65.05,64.52
64.97,64.97,65.31,64.52
65.11,65.57,65.71,65.11
65.10,65.48,66.01,65.10
65.44,65.43,65.70,65.26
65.90,66.10,66.21,65.42
66.15,66.41,66.50,65.86
66.45,66.25,66.52,65.85
66.17,65.98,66.36,65.93
65.83,66.50,66.54,65.76
66.40,66.61,66.66,66.17
66.76,66.12,66.90,66.10
66.26,66.89,66.98,66.05
66.91,66.46,66.91,65.93
66.63,66.66,66.90,66.31
66.19,65.79,66.19,65.66
66.10,66.13,66.41,65.83
66.07,66.37,66.76,66.06
66.35,66.78,66.91,65.81
66.54,66.75,67.00,66.23
66.95,66.44,67.31,66.25
66.76,67.00,67.00,66.28
66.99,66.87,66.99,66.52
67.03,67.76,67.82,66.91
67.55,68.11,68.11,67.40
66.60,66.10,66.70,65.18
66.13,65.75,66.15,65.27
65.74,65.52,65.76,65.30
65.29,66.08,66.47,65.00
66.31,66.40,66.80,66.20
66.45,66.64,66.84,66.45
66.89,66.68,67.00,66.46
66.82,66.50,67.02,66.48
66.06,65.41,66.22,64.95
65.70,64.97,65.82,64.87
65.02,65.18,65.47,64.82
65.24,65.01,65.50,64.85
65.18,65.05,65.33,64.88
64.80,64.79,64.99,64.55
64.50,64.27,64.51,63.78
64.37,65.01,65.12,64.35
65.07,65.30,65.30,64.86
65.49,65.55,65.89,65.14
65.77,65.80,66.10,65.66
65.72,65.20,65.75,64.58
65.74,65.35,65.83,64.50
65.26,65.08,65.35,64.76
65.00,65.11,65.31,64.75
65.33,65.30,65.42,64.80
65.04,65.25,65.39,64.62
64.98,64.90,65.22,64.70
64.63,64.64,64.90,64.37
64.86,64.42,64.97,64.36
64.28,64.04,65.00,63.83
64.12,63.94,64.24,63.72
64.00,64.77,64.99,63.61
64.42,64.71,64.71,64.27
64.76,64.70,64.85,64.17
64.11,63.89,64.24,63.59
64.20,64.33,64.41,63.90
64.33,63.90,64.34,63.87
63.76,64.01,64.14,63.43
64.05,64.63,64.86,63.77
64.79,65.63,65.72,64.59
65.50,65.20,65.56,64.76
65.08,65.17,65.63,65.03
65.16,64.73,65.17,64.68
64.98,64.68,65.07,64.61
64.80,64.63,64.88,64.47
64.79,64.72,64.79,64.28
64.84,64.90,65.00,64.59
65.06,65.53,65.72,64.80
65.64,65.59,65.87,65.33
65.37,65.24,65.48,65.10
65.24,65.75,65.79,65.19
65.73,65.97,66.00,65.46
65.82,66.31,66.35,65.75
66.37,65.40,66.51,65.12
65.46,65.68,65.72,65.21
65.65,65.69,65.92,65.51
65.64,65.42,65.71,65.41
65.20,65.28,65.53,65.18
65.44,65.33,65.77,65.33
65.31,65.12,65.62,65.09
65.05,65.33,65.55,65.03
65.91,65.75,66.09,65.60
66.10,65.41,66.19,65.12
65.71,66.59,66.88,65.56
66.71,66.84,66.95,66.38
66.82,66.39,66.82,66.25
66.13,66.05,66.32,65.84
66.34,66.33,66.75,66.01
66.71,66.73,67.07,66.55
66.70,66.91,67.46,66.65
67.15,66.78,67.16,66.57
66.46,66.57,67.15,66.40
66.67,65.90,66.69,65.69
65.94,65.90,66.33,65.81
66.19,65.87,66.32,65.67
65.79,66.18,66.18,65.60
66.01,65.77,66.25,65.75
65.89,65.86,66.04,65.52
65.73,65.56,65.95,65.45
65.45,64.40,65.84,64.12
64.35,64.31,64.68,64.09
64.53,65.05,65.14,64.30
64.44,64.65,64.86,64.04
64.51,64.18,64.68,64.01
64.15,63.84,64.28,63.66
63.95,63.68,63.98,63.26
63.62,64.17,64.27,63.51
64.38,64.42,64.76,63.97
63.48,63.36,64.19,62.94
62.62,63.87,64.02,62.56
63.96,63.34,64.33,63.17
63.29,64.35,64.45,63.06
64.09,63.96,64.48,63.84
63.28,64.70,64.71,63.22
64.51,63.41,64.51,63.20
62.66,63.15,63.53,62.57
63.20,62.93,63.77,62.90
62.85,63.03,63.20,62.71
62.99,63.60,63.89,62.89
63.78,63.42,63.96,63.37
63.69,63.21,63.95,63.19
62.95,62.94,62.99,62.54
63.19,63.75,63.98,63.00
63.78,63.40,63.87,63.03
63.43,63.47,63.59,63.20
63.31,63.79,63.90,63.31
63.70,64.65,64.83,63.56
64.34,64.43,64.86,64.12
64.61,64.65,64.89,64.33
64.26,64.14,64.43,63.59
63.44,63.01,63.64,62.70
62.89,62.31,62.92,62.05
62.91,63.08,63.26,62.56
63.49,63.24,63.61,62.90
63.85,64.10,64.30,63.50
64.02,63.94,64.05,63.83
63.95,64.20,64.36,63.75
64.36,64.20,64.48,64.17
64.19,63.98,64.47,63.95
64.02,64.34,64.76,63.98
64.41,64.16,64.61,64.03
64.60,65.05,65.33,64.43
65.09,64.41,65.23,64.35
64.87,65.22,65.42,64.47
64.93,65.09,65.12,64.86
64.99,65.58,65.69,64.92
65.51,65.75,65.88,65.51
65.59,65.92,66.04,65.55
65.76,65.73,66.00,65.35
65.71,66.04,66.35,65.67
65.78,66.57,66.71,65.56
66.58,66.45,66.83,66.32
66.34,66.70,66.87,66.12
66.69,67.11,67.14,66.44
66.73,67.15,67.33,66.44
67.25,66.81,67.25,66.50
67.26,67.33,67.49,66.98
67.53,67.41,67.53,67.05
67.15,67.03,67.27,66.84
66.89,67.71,67.85,66.85
67.73,67.93,68.25,67.66
67.93,69.72,69.92,67.87
69.62,68.89,69.94,68.65
69.24,69.31,69.48,69.03
68.88,69.59,69.59,68.88
69.54,69.83,69.93,69.30
69.40,68.83,69.69,68.46
69.65,69.27,69.95,69.18
69.64,69.82,69.98,69.48
69.81,70.03,70.12,69.81
69.85,70.20,70.78,69.80
70.33,70.96,71.05,69.96
70.70,70.56,71.27,70.22
70.41,70.72,71.09,70.30
70.44,71.11,71.46,70.32
70.98,71.27,71.33,70.75
71.34,71.78,71.89,71.17
71.67,71.30,71.84,71.22
70.92,71.04,71.34,70.78
71.09,70.98,71.22,70.66
70.62,70.45,70.87,70.24
70.34,70.42,70.59,69.85
70.61,70.40,71.03,70.28
70.72,71.12,71.12,70.61
70.58,70.29,70.87,70.28
70.26,69.51,70.39,69.32
68.97,68.97,69.35,68.71
69.03,68.89,69.45,68.78
69.20,68.93,69.30,68.84
68.72,68.84,69.00,68.41
68.97,69.51,69.95,68.75
69.30,68.69,69.42,68.58
68.74,69.06,69.32,68.62
69.47,69.57,69.78,69.25
69.16,68.48,69.57,68.24
68.54,68.89,69.21,68.53
69.30,68.72,69.49,68.56
68.63,68.98,69.26,68.63
69.28,68.93,69.34,68.80
68.93,68.78,69.15,68.75
68.27,67.98,68.54,67.46
67.98,68.45,68.66,67.95
68.53,69.05,69.33,68.53
69.37,69.62,69.78,69.18
69.77,69.96,70.26,69.75
70.13,70.43,70.49,69.92
70.08,70.19,70.36,69.61
69.87,69.77,70.45,69.66
69.80,70.17,70.21,69.75
70.49,70.52,70.75,70.25
70.01,69.93,70.39,69.46
69.34,69.30,69.48,68.92
69.20,69.01,69.54,68.86
69.38,68.89,69.47,68.63
68.74,68.60,69.08,68.44
68.53,68.53,68.53,68.00
68.61,68.00,68.61,67.38
68.09,68.54,68.73,67.75
68.86,68.49,68.87,68.28
67.31,66.17,67.31,64.79
66.18,65.76,66.25,65.24
65.20,64.37,65.38,64.27
64.65,64.07,64.65,64.01
64.09,63.86,64.44,63.79
64.15,63.89,64.40,63.88
63.81,64.04,64.21,63.55
64.22,63.86,64.43,63.45
63.61,63.18,63.76,63.18
63.34,64.48,64.59,63.18
64.43,63.35,65.09,63.20
64.14,64.67,65.48,63.48
64.17,62.97,64.91,62.88
63.51,63.09,63.89,60.61
62.58,60.32,62.89,60.10
60.41,62.87,63.59,60.41
63.30,63.18,63.57,62.56
63.49,63.57,63.75,63.17
63.17,63.76,64.06,62.85
63.77,64.62,64.78,63.68
63.82,63.09,64.56,62.50
62.57,62.07,63.15,61.85
62.79,61.92,62.79,61.77
62.15,63.48,63.48,62.10
63.37,63.70,63.75,63.03
63.77,63.02,63.92,62.75
63.35,63.16,63.52,62.00
63.71,64.16,64.21,63.54
63.97,64.52,64.91,63.65
64.13,64.43,64.75,64.01
64.38,64.15,64.88,64.10
63.63,63.30,64.11,63.18
61.75,62.45,62.58,61.52
62.98,61.62,62.99,61.18
61.42,61.34,61.49,61.10
61.07,59.99,61.20,59.68
59.40,60.14,60.24,59.25
60.30,60.54,60.93,60.12
60.86,61.58,62.16,60.28
62.08,63.22,63.59,60.98
63.06,62.05,63.06,61.58
61.12,60.56,61.19,60.00
60.66,60.39,61.38,60.29
61.64,60.79,62.01,60.74
60.00,60.92,61.19,59.59
60.59,60.34,60.79,59.65
60.75,61.89,62.04,60.73
62.72,62.43,63.13,62.23
62.61,61.97,63.31,61.86
62.74,62.58,63.12,61.95
62.37,61.90,62.99,61.85
61.59,60.29,62.20,60.24
59.72,60.45,60.56,58.50
60.15,60.29,60.34,59.33
59.96,60.57,60.61,59.48
60.98,61.02,61.56,60.60
61.66,61.87,61.93,61.37
61.57,60.95,61.82,60.51
62.37,62.70,63.62,62.00
62.19,62.36,62.49,62.01
62.73,62.24,62.75,61.79
61.86,61.89,62.62,61.80
62.02,62.41,62.81,61.67
62.40,62.11,62.76,62.02
62.28,62.12,62.46,61.89
62.57,62.28,62.88,62.00
62.30,62.10,62.50,61.75
62.37,61.82,62.57,61.71
62.07,62.01,62.16,61.50
62.91,62.88,63.06,62.17
63.24,63.20,63.47,62.76
62.59,62.95,63.58,62.59
62.11,62.23,62.60,61.89
62.68,62.41,62.79,62.15
62.47,62.80,62.85,62.13
62.50,61.99,62.53,61.67
61.99,62.50,62.54,61.56
62.61,63.66,63.75,62.32
62.94,62.28,63.13,62.07
62.65,62.96,63.26,62.29
63.28,63.28,63.50,63.11
63.19,62.80,63.23,62.50
63.12,64.50,64.92,63.09
64.43,65.09,66.65,64.28
64.90,64.09,65.09,63.20
64.05,63.89,64.14,63.04
63.21,63.15,63.74,63.05
62.89,63.18,63.54,62.88
62.83,62.40,62.96,62.25
62.70,62.49,62.91,62.40
62.70,62.99,63.55,62.58
63.09,63.66,64.01,63.00
64.39,64.00,64.61,63.67
64.27,64.09,64.47,63.83
64.44,64.28,64.70,64.15
64.69,64.40,64.77,64.09
64.60,64.65,65.04,64.15
64.45,64.91,65.17,64.23
64.54,64.33,65.14,64.22
64.44,65.19,65.40,64.42
65.10,64.66,65.24,63.89
64.95,64.28,65.24,64.14
64.41,63.98,64.67,63.93
64.03,64.85,65.10,63.94
65.28,64.71,65.40,64.62
64.63,64.37,65.17,64.20
64.80,65.53,65.71,64.62
65.22,66.04,66.25,65.22
66.03,66.04,66.42,65.92
66.28,66.57,66.69,66.12
66.47,66.38,66.78,66.32
66.38,65.91,66.50,65.84
65.97,66.54,66.63,65.96
66.42,66.35,66.69,66.24
66.86,66.40,67.19,66.36
66.41,66.74,66.84,66.12
66.58,66.22,66.67,66.12
66.27,65.39,66.27,65.29
65.26,65.73,65.83,65.01
65.98,65.66,66.05,65.47
65.00,65.01,65.17,64.13
65.10,64.62,65.18,64.47
64.44,64.40,64.72,64.30
64.76,64.65,65.09,64.60
64.67,64.85,65.08,64.51
65.14,65.91,66.05,64.95
66.06,66.28,66.41,65.57
65.92,66.10,66.15,65.39
65.96,66.20,66.32,65.94
65.88,66.70,66.80,65.67
66.62,66.52,66.96,66.35
66.25,65.81,66.42,65.67
65.60,65.41,65.60,65.16
65.50,65.67,65.69,65.28
65.99,66.38,66.50,65.86
66.60,66.40,66.70,66.20
66.88,66.66,66.90,66.30
66.42,66.52,66.76,66.13
66.27,66.76,66.98,66.14
66.82,66.74,66.92,66.47
64.86,64.27,64.90,63.81
64.12,63.95,64.19,63.63
64.01,63.69,64.19,63.38
63.52,63.52,63.98,63.29
63.34,63.07,63.60,62.92
63.20,62.73,63.30,62.73
62.57,62.68,62.76,62.33
63.05,63.14,63.39,62.97
63.16,63.10,63.29,63.00
63.18,63.13,63.24,62.83
63.15,63.31,63.52,63.15
63.18,63.32,63.75,63.05
63.53,63.32,63.69,63.03
62.90,62.94,63.13,62.81
63.05,62.55,63.05,62.44
62.54,62.52,62.68,62.40
62.50,62.79,62.98,62.43
62.35,62.28,62.82,62.22
62.33,62.62,62.74,62.15
62.90,62.95,63.12,62.73
62.96,63.15,63.32,62.90
63.31,63.94,64.05,63.01
64.31,64.34,64.57,64.11
64.20,64.06,64.63,63.95
64.00,64.17,64.34,63.80
64.23,64.47,64.50,64.18
64.32,64.73,64.88,64.27
64.40,65.28,65.56,64.33
65.28,65.36,65.58,65.05
65.14,65.39,65.56,65.03
65.45,65.30,65.76,65.28
65.47,65.78,65.80,65.45
65.85,66.01,66.19,65.61
65.95,65.93,66.03,65.60
65.85,66.02,66.02,65.53
66.28,66.35,66.50,66.04
66.26,66.74,66.75,66.21
66.58,66.56,66.82,66.33
66.23,66.34,66.52,66.14
66.04,66.15,66.21,65.70
65.63,65.35,65.69,65.25
65.19,64.85,65.35,64.79
65.18,65.15,65.42,64.96
65.06,65.38,65.50,64.64
65.35,65.06,65.50,65.06
65.13,65.99,66.39,65.13
66.23,66.40,66.65,66.02
66.10,66.21,66.31,66.05
66.20,66.15,66.36,66.00
66.17,66.63,66.74,66.10
66.17,66.18,66.45,66.03
66.33,66.51,66.84,66.27
66.65,66.67,66.86,66.50
66.50,66.37,66.77,66.22
66.64,66.10,66.69,66.09
65.97,66.00,66.25,65.77
65.92,66.49,66.74,65.77
66.52,66.83,66.92,66.41
66.85,66.91,67.00,66.72
66.86,65.90,66.90,65.87
66.51,66.62,66.97,66.27
66.25,66.52,66.70,66.17
66.13,65.94,66.34,65.68
66.17,66.79,67.19,66.17
66.66,66.80,67.25,66.60
66.57,67.15,67.45,66.32
67.01,67.85,68.60,66.91
68.37,68.75,69.07,68.24
68.59,68.77,69.18,68.57
68.44,68.12,68.45,67.56
68.19,67.98,68.22,67.65
67.91,68.08,68.50,67.82
67.88,68.00,68.40,67.38
68.18,68.81,68.90,67.90
68.58,68.64,69.10,68.31
68.50,69.33,69.34,68.44
68.60,68.22,68.60,68.05
68.14,67.85,68.59,67.67
67.02,67.51,67.61,66.87
67.46,67.48,67.65,67.05
67.37,67.00,67.43,66.66
67.32,67.49,67.66,67.04
67.80,67.68,67.98,67.19
67.75,68.31,68.41,67.60
68.55,68.05,68.82,68.03
68.25,68.40,68.50,68.04
68.30,68.55,68.88,68.16
68.67,69.27,69.66,68.58
69.50,69.48,69.74,69.20
69.42,69.60,69.75,69.40
69.73,69.31,69.74,69.21
69.14,68.91,69.24,68.29
69.09,68.50,69.50,68.46
68.64,68.70,69.05,68.64
68.14,68.61,68.74,68.10
68.55,68.94,69.13,68.30
69.10,69.75,69.92,68.95
69.52,69.60,69.82,69.11
69.96,70.66,70.66,69.81
70.34,70.76,70.79,70.00
70.42,70.76,70.89,70.42
70.50,70.17,70.55,70.06
69.90,70.22,70.49,69.61
70.13,69.99,70.43,69.69
70.16,69.87,70.29,69.72
69.75,70.13,70.28,69.60
69.96,69.85,70.12,69.74
69.99,70.41,70.50,69.85
70.34,70.35,70.55,70.16
70.63,70.33,70.84,69.57
70.17,70.38,70.44,69.80
70.36,70.42,70.47,70.10
70.04,69.96,70.32,69.66
69.57,69.34,69.90,68.94
69.14,68.79,69.14,68.46
69.06,70.30,70.45,69.04
70.72,71.22,71.50,70.67
70.59,72.26,72.43,70.51
71.95,72.75,72.94,71.85
72.31,72.73,72.85,72.25
72.79,72.40,72.91,71.09
72.11,71.80,72.26,71.45
72.47,72.87,72.90,72.19
72.86,72.48,72.95,72.46
72.63,72.29,72.76,72.20
72.09,72.57,72.70,72.05
72.42,72.14,72.50,71.96
72.01,72.13,72.16,71.69
71.91,71.99,72.16,71.78
72.14,72.24,72.30,71.67
72.01,72.62,72.68,71.88
72.44,73.58,73.61,72.40
73.57,73.39,73.65,73.12
73.27,73.33,73.49,72.88
73.30,73.01,73.48,73.00
72.76,72.89,73.08,72.46
72.95,72.66,72.99,72.50
72.66,73.06,73.26,72.58
73.01,73.17,73.66,72.93
73.02,73.12,73.35,72.90
73.03,72.78,73.24,72.73
72.51,72.18,72.58,72.08
72.44,72.43,72.76,72.19
72.55,72.48,72.68,71.97
71.85,71.54,72.09,71.36
71.86,72.15,72.34,71.82
72.15,72.10,72.50,72.00
72.00,71.84,72.09,71.76
71.78,71.58,71.98,71.46
71.52,70.06,71.72,69.96
70.27,70.88,71.07,70.00
70.91,70.46,71.03,70.26
70.44,70.39,70.86,70.22
70.39,70.73,70.91,70.32
70.84,70.85,71.18,70.50
70.79,71.24,71.58,70.76
71.50,70.55,71.50,70.47
70.57,70.70,70.87,70.41
70.94,70.35,71.03,70.26
70.63,70.42,70.99,70.41
70.48,70.64,70.84,70.28
70.62,70.77,70.80,70.35
70.70,70.65,71.23,70.53
70.85,70.62,71.06,70.25
70.78,70.70,70.96,70.49
70.78,70.87,71.06,70.70
71.11,71.10,71.39,70.90
71.00,71.19,71.41,70.86
71.19,71.11,71.47,71.08
71.18,70.29,71.37,70.09
70.75,69.82,70.84,69.82
70.10,70.05,70.67,69.94
70.04,70.34,70.39,69.75
70.50,70.30,70.89,70.24
70.23,70.10,70.93,69.95
70.13,70.76,70.91,70.08
70.62,69.88,70.90,69.61
69.68,69.60,69.88,69.01
69.17,68.52,69.26,68.36
68.56,68.40,69.03,68.23
68.64,68.89,69.09,68.53
69.13,68.98,69.19,68.68
69.17,69.24,69.68,68.97
69.25,69.44,69.67,69.12
69.69,69.05,69.77,68.93
68.57,69.00,69.08,68.32
69.03,69.35,69.61,68.76
69.17,68.99,69.40,68.54
68.89,68.79,69.30,68.60
68.63,68.85,69.15,68.56
68.78,68.61,68.97,68.57
68.72,68.58,69.17,68.51
68.56,68.17,68.71,68.04
68.12,68.19,68.31,67.72
68.02,68.31,68.50,67.79
68.57,68.78,68.80,68.16
68.60,68.91,68.93,68.32
68.98,69.31,69.40,68.68
69.50,70.19,70.36,69.50
69.79,70.00,70.05,69.60
69.92,70.11,70.42,69.69
69.91,70.35,70.59,69.81
70.39,70.31,70.64,70.17
70.31,70.21,70.35,69.74
70.32,69.87,70.41,69.80
69.84,69.86,70.02,69.65
69.50,69.71,70.09,69.30
69.81,70.02,70.02,69.75
70.06,70.26,70.27,69.85
70.02,70.21,70.33,70.00
70.21,70.42,70.89,70.09
70.50,70.24,70.75,70.16
70.32,70.21,70.46,70.10
70.10,70.16,70.45,70.01
70.26,70.37,70.58,70.10
70.27,70.53,70.77,70.00
70.55,69.88,70.65,69.85
70.03,70.11,70.25,69.67
69.98,69.63,70.09,69.23
69.33,69.43,69.60,69.01
69.41,68.84,69.43,68.58
68.75,68.67,68.93,68.18
68.34,68.02,68.69,68.01
67.78,68.43,68.45,67.39
69.18,69.33,69.48,68.64
69.28,69.36,69.48,69.05
69.29,69.46,69.63,69.10
69.53,69.45,69.69,69.16
69.25,69.66,69.70,69.25
69.95,70.01,70.04,69.57
70.19,70.81,70.92,70.16
70.72,70.88,70.89,70.56
70.89,71.29,71.42,70.77
71.17,71.60,71.74,70.87
71.33,71.48,71.80,71.26
71.64,72.43,72.47,71.30
72.22,72.48,72.54,72.13
72.39,72.20,72.45,72.02
72.08,71.81,72.29,71.74
71.91,72.23,72.38,71.91
72.40,72.49,72.55,72.23
72.41,72.61,72.67,72.30
72.46,72.94,72.95,72.46
72.87,73.21,73.46,72.84
73.36,72.85,73.37,72.68
73.08,72.67,73.11,72.57
72.48,72.45,72.67,72.40
72.63,73.15,73.16,72.63
72.91,72.77,73.12,72.74
72.82,72.81,73.03,72.46
72.76,72.60,72.87,72.47
72.50,72.36,72.64,72.20
72.42,72.17,72.45,72.06
72.24,71.50,72.37,70.98
72.12,72.28,73.20,71.50
72.49,73.68,73.72,72.47
73.75,75.50,75.59,73.48
75.29,75.42,75.86,75.29
75.27,75.36,75.44,74.72
75.42,75.57,75.58,75.14
75.68,75.19,76.33,75.09
75.40,75.62,75.77,75.00
75.10,75.48,75.59,74.53
75.44,75.77,75.95,75.44
75.55,75.93,75.95,75.37
75.78,76.60,76.62,75.54
76.84,76.90,77.07,76.49
77.00,76.80,77.09,76.62
76.76,77.14,77.17,76.67
77.16,77.20,77.41,76.65
77.12,76.85,77.39,76.79
76.83,76.89,77.18,76.69
76.89,76.95,77.10,76.65
77.06,77.19,77.22,76.86
76.85,77.04,77.15,76.70
76.66,76.68,76.99,76.60
76.78,76.67,76.95,76.50
76.95,76.32,77.07,76.07
76.29,76.15,76.75,76.00
76.74,78.64,79.27,76.66
78.61,77.83,78.64,77.60
77.90,78.92,78.94,77.79
78.50,78.29,78.65,77.91
78.50,79.11,79.13,78.07
78.76,79.10,79.23,78.76
79.35,79.74,79.88,79.27
79.87,78.96,79.88,78.80
78.30,79.53,79.57,78.30
78.95,78.59,79.08,78.40
78.57,79.50,79.51,78.25
79.60,79.21,79.72,79.15
79.43,80.06,80.10,79.26
80.03,79.96,80.48,79.80
78.93,79.99,80.04,78.74
79.53,78.92,80.02,78.91
79.23,80.00,80.03,79.09
79.74,78.85,80.15,78.77
80.21,81.25,83.45,80.11
82.01,82.77,83.27,81.87
82.29,83.38,83.63,82.05
83.67,84.10,84.32,83.50
84.06,82.34,84.29,82.22
82.41,82.82,83.09,82.18
82.71,82.51,82.99,82.30
82.51,82.65,82.92,82.42
82.41,82.47,82.64,82.02
82.36,82.21,82.84,82.08
82.14,82.56,82.93,82.08
82.96,82.83,83.25,82.46
82.70,82.50,82.70,82.22
82.59,83.34,83.34,82.37
83.30,83.25,83.65,82.81
83.35,82.85,83.58,82.60
82.98,83.00,83.25,82.58
82.72,83.03,83.35,82.52
83.06,83.50,83.52,82.92
83.38,84.25,84.45,83.24
84.04,83.74,84.78,83.67
83.91,83.80,84.04,83.11
83.79,82.59,83.84,82.47
82.63,82.63,82.93,82.12
82.59,82.97,84.27,82.58
82.30,82.12,82.73,81.51
81.81,82.58,82.78,81.55
83.09,82.43,83.48,82.17
82.23,81.12,82.23,80.92
81.14,81.22,81.49,80.70
81.02,80.77,81.61,80.72
80.67,81.40,81.49,79.73
81.65,81.63,82.06,81.02
80.89,81.20,81.53,80.72
81.19,81.66,81.66,80.71
81.98,82.51,82.51,81.49
82.60,82.85,83.06,82.11
82.38,82.53,82.81,81.82
82.81,82.11,83.19,82.04
82.06,81.98,82.24,81.25
82.00,82.13,83.00,81.99
82.59,82.55,82.93,82.09
82.37,82.57,82.69,82.00
82.26,80.89,82.67,80.89
80.48,78.91,80.88,78.77
