SPYG,SPDR S&P 500 Growth ETF (based on S&P 500 Growth Index symbol--SGX),NASDAQ
54.50,55.13,55.15,54.50
54.46,54.84,54.94,54.46
54.38,54.06,54.38,53.83
54.26,53.95,54.36,53.95
53.54,52.94,53.54,52.94
53.38,53.20,53.39,53.08
53.69,54.05,54.28,53.69
53.95,54.26,54.33,53.95
54.14,54.42,54.45,53.94
53.92,53.68,53.92,53.61
54.07,54.63,54.66,54.07
54.46,54.26,54.47,54.26
53.99,54.31,54.31,53.70
53.89,53.96,54.16,53.88
54.81,55.11,55.18,54.81
55.11,55.73,55.73,55.11
55.56,55.98,56.00,55.56
55.84,55.97,56.01,55.78
56.51,55.99,56.51,55.99
56.02,55.85,56.02,55.75
56.21,56.00,56.21,55.89
56.11,56.35,56.40,56.09
56.65,56.40,56.72,56.40
56.50,56.37,56.63,56.37
56.37,56.13,56.59,56.07
56.24,56.50,56.58,56.04
56.44,56.51,56.64,56.37
57.86,56.71,57.86,55.35
56.83,56.94,56.97,56.80
57.16,56.97,57.16,56.91
56.87,56.91,56.97,56.83
56.69,56.93,56.93,56.60
57.12,56.91,57.12,56.77
57.13,56.94,57.13,56.93
56.94,56.94,56.95,56.83
56.82,56.82,56.82,56.71
57.42,57.41,57.60,57.41
57.68,57.20,57.68,56.87
56.93,57.51,57.51,56.93
57.47,57.32,57.47,57.28
57.43,57.19,57.51,57.17
57.19,57.37,57.37,57.06
57.56,57.39,57.57,57.23
57.67,57.86,57.90,57.60
57.80,57.74,57.89,57.74
57.76,58.08,58.08,57.76
58.09,58.35,58.35,57.82
58.38,57.80,58.38,57.67
57.64,57.70,57.70,57.28
57.97,57.63,58.05,57.54
57.47,57.90,57.95,57.47
57.76,57.82,57.85,57.58
58.18,58.32,58.36,58.02
58.34,58.31,58.49,58.30
57.93,57.24,57.93,57.17
57.44,57.63,57.63,57.25
58.12,58.44,58.59,58.09
58.26,58.47,58.55,58.26
58.32,58.52,58.52,58.20
58.61,58.73,58.76,58.51
58.95,59.15,59.30,58.95
59.25,59.39,59.39,59.02
59.24,59.32,59.45,59.13
59.00,59.36,59.43,58.93
59.22,59.72,59.79,59.22
59.74,59.84,59.89,59.73
59.80,59.69,59.80,59.53
59.88,60.10,60.14,59.88
59.89,60.22,60.22,59.89
60.20,60.26,60.28,60.11
59.56,58.86,59.79,58.84
58.80,58.51,58.82,58.26
58.62,58.58,58.71,58.01
58.81,59.30,59.30,58.81
59.53,59.45,59.55,59.29
59.82,58.60,59.82,58.59
58.60,58.77,58.96,58.60
59.38,59.87,59.89,59.38
59.83,59.37,59.83,59.11
59.85,58.90,59.85,58.66
58.90,59.31,59.36,58.67
59.12,59.12,59.12,59.01
58.23,58.08,58.48,58.08
57.78,58.54,58.61,57.78
58.24,58.20,58.27,57.80
56.73,57.58,57.65,56.72
57.34,56.48,57.44,56.30
57.10,57.13,57.25,56.98
57.25,56.90,57.38,56.86
57.68,57.87,58.04,57.55
57.85,57.80,57.89,57.69
57.67,58.04,58.13,57.43
58.46,58.65,58.71,58.14
58.88,58.90,59.08,58.75
58.99,58.85,59.05,58.85
58.60,59.17,59.17,58.58
59.29,59.52,59.60,59.29
59.54,59.53,59.65,59.48
59.78,59.71,59.96,59.63
59.85,59.58,59.85,59.58
59.72,59.63,59.91,59.60
59.85,59.77,60.01,59.59
59.65,59.59,59.75,59.44
59.85,59.23,59.90,59.23
59.57,59.23,59.66,59.23
58.88,58.74,59.03,58.73
58.98,59.11,59.19,58.82
58.69,59.04,59.04,58.69
58.95,59.15,59.31,58.95
58.41,58.62,58.69,58.26
58.82,58.96,58.99,58.64
59.78,59.95,59.97,59.78
60.19,60.36,60.37,60.19
60.37,60.26,60.37,60.08
60.41,60.81,60.89,60.41
60.80,60.90,60.92,60.65
61.29,61.36,61.38,61.12
61.41,61.44,61.56,61.36
61.67,61.47,61.84,61.35
61.33,61.25,61.38,61.00
60.86,60.82,60.95,60.56
60.82,60.39,60.97,60.13
61.17,60.63,61.20,60.42
60.69,60.90,61.02,60.65
61.10,61.46,61.47,61.10
61.34,60.80,61.34,60.51
60.68,61.24,61.28,60.43
61.22,60.78,61.28,60.72
60.68,60.30,60.93,60.30
60.21,60.18,60.21,59.81
60.47,60.81,60.81,60.47
61.05,60.90,61.05,60.68
60.81,60.54,60.82,60.54
59.77,59.90,59.90,59.60
60.04,59.94,60.04,59.71
59.80,60.15,60.15,59.67
59.89,60.41,60.41,59.89
60.43,60.49,60.59,60.43
60.93,60.92,61.06,60.69
61.01,60.05,61.01,60.05
59.99,59.96,59.99,59.58
59.22,59.28,59.53,59.20
59.06,58.69,59.15,58.66
58.76,58.90,58.96,58.76
58.54,58.46,58.54,58.29
58.61,58.71,58.87,58.61
58.19,57.83,58.19,57.80
57.93,58.00,58.04,57.59
58.41,58.61,58.61,58.34
57.97,57.66,57.97,57.60
57.64,57.61,57.88,57.16
58.15,57.54,58.15,57.52
57.60,57.87,57.87,57.46
58.05,58.64,58.74,58.05
58.48,58.37,58.76,58.37
57.42,58.20,58.20,57.41
58.20,57.59,58.20,57.59
57.77,58.24,58.36,57.77
58.57,58.92,58.93,58.40
59.19,59.48,59.55,59.19
59.76,60.09,60.21,59.76
60.23,60.86,60.86,60.13
61.06,61.12,61.23,60.95
61.18,61.26,61.44,61.06
61.92,62.13,62.21,61.86
61.48,61.70,61.70,61.18
60.81,60.49,61.11,60.48
60.54,60.32,60.84,60.32
60.65,60.41,61.09,60.41
60.73,60.06,60.87,59.98
60.51,60.39,60.55,60.10
60.26,60.08,60.49,59.82
60.90,61.37,61.37,60.90
61.31,61.21,61.32,61.11
61.58,61.86,61.92,61.58
61.91,62.02,62.04,61.73
61.35,61.70,62.00,61.35
61.62,61.62,61.81,61.39
61.22,60.25,61.22,60.25
60.21,60.21,60.78,60.21
59.44,59.81,60.14,59.40
60.53,59.54,60.53,58.95
59.14,58.08,59.45,58.08
58.37,58.56,58.57,57.16
57.90,55.83,57.90,55.70
56.67,55.66,56.67,54.11
53.98,52.42,54.91,52.28
53.29,54.24,54.24,51.57
53.55,52.62,54.15,52.51
52.97,54.60,55.27,52.94
55.32,55.27,55.53,54.80
55.80,56.11,56.11,55.49
55.81,55.53,56.10,55.33
56.04,55.56,56.33,55.45
54.28,53.08,54.28,52.67
52.68,52.17,53.46,52.17
53.46,52.49,53.51,52.36
52.91,54.21,54.26,52.91
54.14,54.88,54.88,54.06
55.18,54.12,55.18,53.98
53.75,54.94,55.16,53.20
55.75,56.53,56.53,55.75
56.30,56.81,57.02,55.96
57.15,56.98,57.57,56.68
56.94,56.38,57.48,56.38
55.45,55.18,55.59,54.95
53.79,54.93,54.93,53.52
55.71,56.29,56.31,55.59
56.09,55.90,56.58,55.90
55.32,54.37,55.32,54.10
53.72,54.73,54.73,53.72
55.00,55.29,55.43,54.58
55.62,56.12,56.68,54.90
56.64,56.94,56.95,56.20
56.97,57.10,57.20,56.69
56.29,56.77,57.03,55.95
57.01,56.63,57.49,56.63
56.71,55.21,56.86,55.21
53.64,53.51,54.01,52.90
53.38,53.71,53.96,53.36
54.29,54.46,54.49,53.31
56.00,55.40,56.24,55.40
55.68,54.31,55.79,54.31
55.29,54.32,55.39,53.50
53.74,53.24,54.03,53.23
52.70,51.66,53.18,51.66
51.00,52.68,52.68,50.61
52.64,53.50,53.50,52.36
53.58,54.66,54.66,53.56
54.91,54.39,54.92,54.17
55.35,55.91,55.96,55.35
55.69,56.31,56.31,55.69
56.64,56.87,57.19,56.60
56.31,56.72,56.72,56.13
57.51,57.71,57.74,57.26
57.63,56.68,57.63,56.54
56.58,57.44,57.67,56.13
57.37,56.63,57.46,56.56
56.86,56.70,56.92,56.00
57.53,57.79,57.83,57.30
57.96,58.62,58.77,57.96
58.10,57.51,58.19,57.51
58.03,57.96,58.13,57.00
59.50,59.69,60.10,59.04
59.54,59.84,59.84,59.52
59.35,58.62,59.37,58.62
57.06,57.11,57.69,57.01
58.07,57.78,58.07,57.48
58.45,58.99,59.04,57.94
58.58,58.71,58.76,58.19
58.72,58.93,58.95,58.37
59.31,59.74,59.75,58.95
58.60,57.64,58.60,57.60
58.34,58.01,58.34,57.49
58.93,59.17,59.27,58.93
59.11,58.77,59.13,58.53
58.78,59.18,59.42,58.48
58.62,59.02,59.29,58.62
58.30,57.24,58.30,56.97
57.15,57.14,57.49,57.05
56.31,56.07,56.35,55.63
56.10,55.95,56.27,55.66
55.56,54.76,55.57,54.76
54.74,54.76,55.12,54.66
56.15,56.23,56.36,55.88
56.47,56.27,56.66,56.18
57.85,58.26,58.26,57.75
58.33,58.48,58.68,58.33
59.14,58.49,59.14,58.41
59.27,58.87,59.33,58.69
58.83,59.04,59.17,58.76
58.67,58.99,59.11,58.28
58.75,57.88,58.81,57.88
58.21,58.85,58.88,58.21
58.26,57.95,58.26,57.64
58.31,57.34,58.58,57.24
57.18,56.77,57.34,56.69
57.23,56.86,57.23,56.79
56.93,56.68,57.22,56.66
56.85,56.26,57.01,56.26
57.02,57.88,57.88,57.02
57.80,57.70,57.82,57.16
57.87,58.11,58.11,57.82
58.21,58.55,58.55,58.15
58.60,58.74,58.87,58.53
58.70,58.12,58.70,58.10
58.28,58.61,58.61,58.24
58.55,58.47,58.64,58.45
59.32,59.12,59.40,59.07
58.96,59.07,59.12,58.72
58.79,59.17,59.22,58.70
59.25,59.12,59.25,58.95
59.27,59.15,59.27,58.98
59.64,59.51,59.70,59.47
59.29,59.50,59.50,59.24
59.59,59.60,59.60,59.19
59.20,59.38,59.38,59.00
59.86,59.69,59.95,59.57
59.67,60.21,60.26,59.60
60.47,60.51,60.63,60.37
60.50,60.47,60.53,60.29
60.45,60.59,60.73,60.39
60.40,60.45,60.46,60.38
60.49,61.17,61.17,60.39
61.33,60.72,61.38,60.72
60.74,60.95,60.95,60.73
60.38,60.73,60.76,60.32
61.01,60.73,61.01,60.55
61.07,61.18,61.39,61.07
61.30,61.30,61.36,61.11
61.74,61.98,61.99,61.74
61.76,61.94,61.94,61.67
61.88,62.18,62.18,61.82
62.20,62.21,62.29,61.88
62.40,62.46,62.54,62.12
61.98,61.99,62.08,61.84
62.48,62.49,62.56,62.28
62.41,62.56,62.57,62.22
62.77,62.17,62.89,62.17
62.21,62.64,62.65,62.17
62.95,62.86,62.95,62.71
62.96,62.71,63.06,62.71
62.86,62.86,63.00,62.80
62.90,63.13,63.17,62.70
63.30,63.35,63.43,63.29
63.08,63.43,63.61,62.98
63.47,63.68,63.71,63.47
63.79,63.45,63.88,63.42
63.60,63.77,63.78,63.49
63.61,63.63,63.69,63.45
63.55,63.39,63.61,63.08
62.70,62.59,62.71,62.40
62.66,62.93,62.93,62.66
63.18,63.51,63.51,63.18
63.66,63.65,63.78,63.61
63.64,63.70,63.76,63.62
64.03,64.53,64.53,63.95
64.76,64.69,64.88,64.61
64.88,64.87,64.96,64.69
64.84,64.80,64.86,64.74
64.82,65.08,65.23,64.81
64.68,64.90,64.94,64.68
64.87,64.80,64.95,64.75
64.47,64.48,64.54,64.29
64.43,64.58,64.62,64.23
64.95,65.40,65.40,64.95
65.57,65.39,65.60,65.39
65.14,65.04,65.14,64.80
64.82,65.09,65.09,64.62
65.39,65.29,65.39,65.25
65.45,65.79,65.93,65.45
65.71,65.58,65.85,65.48
65.06,65.20,65.20,64.91
65.05,65.26,65.27,65.05
64.67,64.65,64.83,64.50
64.54,63.66,64.63,63.56
64.16,63.91,64.21,63.91
64.51,64.76,64.76,64.51
64.63,64.32,64.63,64.17
64.39,63.89,64.39,63.71
64.11,64.85,64.90,64.11
64.61,64.64,64.86,64.59
64.51,64.14,64.69,63.96
64.40,64.23,64.61,64.23
63.67,63.70,63.75,63.35
63.72,63.71,63.88,63.60
64.53,64.88,64.94,64.53
64.82,65.28,65.38,64.82
65.64,65.50,65.66,65.50
65.38,65.14,65.41,65.08
65.21,65.62,65.90,65.21
65.20,65.48,65.51,65.07
65.63,65.04,65.63,64.96
64.77,64.00,64.77,63.98
63.91,63.97,64.11,63.78
63.63,63.77,63.77,63.00
63.10,63.32,63.67,63.10
63.71,63.36,63.75,63.36
63.17,63.44,63.78,63.17
62.85,62.74,63.06,62.69
62.71,62.51,63.07,62.48
62.67,62.38,62.91,62.32
62.35,61.33,62.35,61.33
61.52,60.81,61.54,60.79
61.00,62.02,62.02,61.00
62.18,62.02,62.54,61.81
61.73,62.19,62.19,61.19
62.22,62.20,62.41,61.95
62.15,62.03,62.15,61.92
62.55,62.61,62.83,62.45
62.29,62.05,62.29,61.92
61.95,61.74,62.07,61.25
60.79,60.32,60.90,60.29
60.28,60.39,60.47,59.76
60.25,60.70,60.74,60.25
61.11,61.75,61.75,61.10
62.65,62.08,62.65,62.07
61.87,62.31,62.31,61.62
62.93,61.62,62.93,61.62
61.83,62.22,62.22,61.52
62.10,62.04,62.46,61.99
61.95,62.45,62.54,61.79
62.47,62.71,62.71,62.38
62.91,63.01,63.22,62.76
63.49,63.69,63.84,63.44
63.65,63.30,63.65,63.00
63.54,62.11,63.54,62.09
62.10,62.51,62.63,62.08
62.00,61.72,62.00,61.54
61.69,61.83,61.83,61.45
62.02,62.33,62.41,62.02
62.30,62.10,62.30,61.52
63.22,63.58,63.65,62.93
63.39,63.77,63.77,63.39
63.86,64.25,64.25,63.75
64.15,64.29,64.36,64.09
63.57,63.39,63.63,63.31
63.38,63.47,63.61,63.38
63.99,62.99,63.99,62.99
63.00,63.02,63.11,62.73
62.55,62.89,62.92,62.29
62.93,63.69,63.69,62.93
63.50,63.44,63.72,63.38
63.67,63.89,64.01,63.22
64.22,64.41,64.49,64.22
64.58,64.81,64.94,64.49
64.55,64.28,64.55,64.17
62.98,63.69,63.69,62.98
63.54,62.87,63.54,62.80
63.03,62.93,63.15,62.60
63.68,63.95,63.95,63.47
64.67,65.17,65.27,64.67
65.22,65.09,65.32,64.99
64.98,64.88,65.18,64.82
65.00,64.59,65.00,64.45
64.11,64.22,64.37,63.84
65.23,65.28,65.48,65.05
65.58,65.50,65.70,65.50
65.73,65.84,65.98,65.73
65.60,65.72,65.79,65.60
65.69,65.77,65.87,65.59
65.54,65.85,65.85,65.54
65.86,65.90,65.90,65.61
66.02,65.93,66.17,65.91
65.97,66.02,66.15,65.97
66.18,66.48,66.64,66.06
66.73,66.67,66.73,66.49
66.75,66.69,66.75,66.51
66.80,66.33,67.04,66.30
66.23,66.54,66.59,66.14
66.31,66.09,66.31,65.89
65.85,66.40,66.49,65.85
66.63,66.50,66.73,66.46
66.33,66.64,66.64,66.33
66.56,66.42,66.58,66.27
66.23,65.95,66.23,65.88
66.41,66.26,66.52,65.95
66.23,66.24,66.40,65.82
66.23,66.13,66.31,66.02
66.76,67.28,67.31,66.76
67.37,67.54,67.54,67.37
67.38,67.20,67.47,67.20
67.17,67.20,67.43,67.12
67.39,67.18,67.39,67.13
67.33,68.40,68.40,67.33
68.47,68.61,69.00,68.45
68.51,68.49,68.74,68.49
68.44,68.65,69.00,68.41
68.48,68.70,68.79,68.48
68.34,68.53,68.60,68.25
68.61,68.23,68.61,68.23
67.90,68.07,68.07,67.90
68.19,67.43,68.35,67.43
67.45,67.01,67.45,66.93
67.25,67.66,67.78,67.20
67.44,67.39,67.55,67.23
68.10,67.56,68.10,67.50
67.78,67.43,67.84,67.29
67.68,67.80,67.83,67.68
67.96,68.24,68.24,67.96
68.50,68.13,68.60,68.00
67.83,67.82,67.84,67.74
67.60,67.15,67.60,67.13
67.01,66.65,67.01,66.60
67.13,66.79,67.18,66.71
66.73,66.58,66.85,66.43
66.59,66.97,67.01,66.55
67.37,67.82,67.82,67.37
67.62,67.87,67.96,67.61
67.68,67.53,67.85,67.28
66.76,66.26,66.76,66.26
66.24,66.19,66.39,65.89
65.70,65.56,65.81,65.41
65.82,65.31,65.92,65.25
65.77,65.35,65.77,65.19
65.40,65.50,65.73,65.12
65.60,65.36,65.67,65.31
65.61,66.10,66.19,65.61
66.39,65.41,66.39,65.41
65.30,65.72,65.72,65.24
65.80,66.00,66.26,65.80
65.44,64.75,65.44,64.45
64.71,63.99,64.90,63.97
63.65,64.17,64.46,63.65
64.18,64.12,64.29,63.96
63.76,64.03,64.42,63.75
63.99,63.06,64.03,63.00
63.17,63.00,63.26,62.76
63.00,63.36,63.36,62.55
63.88,64.60,64.60,63.88
64.60,64.60,64.60,64.35
64.71,64.74,64.81,64.64
64.94,65.61,65.61,64.94
65.43,65.49,65.49,65.16
65.36,65.23,65.63,65.23
65.02,65.49,65.57,64.70
66.03,66.07,66.18,65.93
66.07,66.10,66.10,65.83
66.17,65.77,66.17,65.70
65.64,65.63,65.76,65.46
65.53,65.38,65.72,65.01
65.45,65.69,65.69,65.33
65.83,65.64,65.83,65.52
65.60,65.84,65.92,65.60
66.04,66.31,66.53,66.04
66.54,66.20,66.64,66.14
66.18,65.85,66.18,65.66
65.56,65.34,65.58,65.34
65.53,65.90,66.01,65.53
66.22,66.85,66.87,66.05
66.90,66.39,66.91,66.39
66.31,66.51,66.53,66.18
65.36,65.69,65.70,65.06
65.57,65.48,65.57,65.47
65.58,65.21,65.58,65.07
65.16,65.14,65.25,64.33
64.67,64.36,64.84,64.36
64.34,65.56,65.56,64.11
66.84,67.24,67.25,66.67
67.27,67.01,67.41,66.92
67.13,67.21,67.26,67.05
66.99,67.06,67.13,66.86
66.97,66.98,67.00,66.66
67.16,67.11,67.29,67.06
67.50,67.55,67.57,67.19
67.60,67.63,67.63,67.50
67.49,67.39,67.51,67.35
67.15,67.33,67.33,67.06
67.31,67.52,67.52,67.19
67.74,67.96,68.04,67.61
67.76,67.80,67.80,67.49
68.02,68.06,68.07,67.71
68.25,68.27,68.37,68.16
67.96,68.11,68.50,67.96
68.35,68.47,68.49,68.17
68.49,68.35,68.49,68.22
68.26,68.62,68.64,68.26
68.67,68.36,68.67,68.29
68.28,68.13,68.44,68.10
68.57,68.78,68.81,68.44
68.43,67.87,68.43,67.87
68.32,68.76,68.85,68.32
68.55,68.71,68.85,68.52
68.81,68.52,68.81,68.16
68.83,69.15,69.18,68.83
69.17,69.14,69.18,69.05
69.13,69.18,69.23,69.10
69.31,69.11,69.31,68.93
69.02,69.20,69.31,68.82
69.35,69.10,69.44,69.07
69.43,69.66,69.73,69.38
69.74,68.85,69.74,68.85
68.66,68.46,68.66,68.18
68.70,68.76,68.76,68.63
69.33,67.81,69.41,67.81
68.15,68.23,68.23,67.79
68.43,69.15,69.27,68.43
69.05,68.94,69.54,68.94
68.75,69.26,69.31,68.57
69.29,69.54,69.56,69.07
69.99,70.25,70.45,69.99
70.49,70.30,70.63,70.22
70.46,70.47,70.52,70.39
70.78,70.71,70.84,70.39
70.68,70.87,70.89,70.58
70.88,70.71,70.88,70.53
70.74,70.84,70.90,70.51
71.03,71.07,71.12,70.93
70.78,70.75,70.79,70.62
70.23,70.50,70.64,70.15
70.59,70.23,70.63,69.88
70.76,70.82,70.94,70.62
70.44,70.22,70.54,70.21
70.44,70.76,70.76,70.44
71.03,70.50,71.14,70.23
70.78,71.14,71.14,70.78
70.72,71.10,71.12,70.68
71.03,71.33,71.42,71.03
71.42,70.91,71.42,70.91
71.16,71.40,71.58,71.16
71.38,70.67,71.38,70.67
70.81,70.77,71.18,70.76
70.13,70.55,70.55,69.74
70.59,70.72,70.72,70.45
71.03,71.25,71.46,70.99
71.75,72.23,72.23,71.75
72.23,72.42,72.60,72.23
72.07,72.29,72.43,71.98
72.07,71.02,72.11,70.80
71.30,71.82,71.82,71.22
71.31,70.85,71.31,70.47
70.86,70.24,70.86,70.06
70.38,70.98,70.98,70.38
71.06,71.52,71.52,70.88
71.81,71.51,72.20,71.51
72.04,72.07,72.24,71.91
72.19,72.40,72.62,72.17
72.21,72.23,72.23,71.93
72.36,72.75,72.85,72.36
72.48,72.71,72.78,72.48
72.54,72.19,72.71,72.19
72.61,73.06,73.11,72.57
73.69,73.84,73.94,73.48
73.85,74.02,74.05,73.85
74.12,74.22,74.34,73.98
74.24,74.62,74.63,74.16
74.60,74.39,74.92,74.39
74.64,74.88,74.88,74.48
74.75,74.89,75.06,74.75
75.06,75.55,75.68,75.06
75.41,75.95,76.00,75.41
75.75,75.64,76.00,75.61
75.94,76.15,76.24,75.81
76.15,76.07,76.46,76.02
76.20,76.30,76.51,75.96
76.38,75.57,76.82,75.38
74.96,75.49,75.68,74.73
75.09,75.22,75.42,74.87
76.31,75.80,76.55,75.67
75.49,75.20,75.49,74.95
75.63,75.51,75.83,75.51
75.30,74.35,75.58,74.35
74.74,74.85,74.85,74.09
74.96,74.50,75.07,74.20
74.19,73.38,74.35,73.38
73.38,73.87,73.93,73.20
74.49,74.95,74.98,74.37
75.22,74.87,75.22,74.82
74.16,74.13,74.73,73.99
74.67,73.47,74.67,73.47
73.38,74.43,74.43,73.25
74.58,74.21,74.63,74.10
