CKH,SEACOR Holdings Inc. Common Stock,NASDAQ
81.63,79.85,81.63,79.52
80.01,76.97,80.01,74.63
76.57,73.23,76.92,72.92
76.20,75.72,76.20,74.88
75.05,76.04,77.15,75.05
76.12,77.13,77.24,76.04
76.61,76.67,77.36,76.21
76.28,75.84,76.32,75.01
76.11,75.70,76.26,74.73
76.65,75.30,76.88,75.24
75.33,74.66,75.33,73.75
73.75,70.95,73.87,70.94
69.70,72.67,72.95,69.70
72.46,71.95,73.14,71.84
70.43,72.45,72.69,70.29
73.17,73.19,73.88,72.42
74.23,73.80,74.70,72.83
73.76,72.98,73.76,72.64
72.67,70.41,72.67,70.41
70.61,69.69,70.61,69.31
70.59,70.49,71.27,69.86
69.75,67.92,70.40,67.85
68.34,67.59,68.79,67.56
67.61,68.10,68.15,67.01
68.50,68.06,70.23,67.83
68.81,71.22,71.30,68.81
70.77,72.06,72.07,70.48
72.52,72.79,73.34,72.10
73.09,73.92,73.99,72.96
74.00,73.20,74.00,72.97
73.14,73.71,73.85,73.14
73.73,74.39,74.44,73.70
75.00,74.09,75.00,73.68
74.07,72.83,74.96,72.54
72.82,72.39,73.01,71.97
72.07,71.91,72.72,71.80
71.96,72.33,72.59,70.94
72.58,73.21,73.53,71.59
72.46,71.50,72.50,71.36
71.67,70.66,72.23,70.39
70.61,69.82,71.05,68.85
70.27,69.54,70.31,69.09
70.29,69.26,70.91,68.39
69.46,71.60,71.62,69.21
72.15,72.34,72.44,71.30
72.20,72.19,72.36,71.20
71.87,72.59,72.59,71.36
73.33,73.27,73.46,72.47
72.98,73.52,73.76,72.57
73.45,73.93,74.11,72.39
73.61,71.96,73.61,71.81
71.99,71.30,71.99,70.87
70.42,73.02,73.05,70.42
73.40,72.42,73.40,71.92
73.35,74.34,74.59,72.89
82.56,85.09,85.39,77.50
84.94,86.44,88.00,84.93
84.50,86.00,88.09,84.50
85.80,85.23,85.80,84.38
86.01,83.56,86.10,82.42
82.56,82.82,83.46,82.23
84.25,84.74,85.00,83.62
84.38,83.81,84.96,83.47
84.29,83.09,84.29,82.80
83.02,82.50,83.02,81.16
81.31,79.84,81.75,79.67
79.84,79.51,80.24,78.98
78.45,78.90,79.50,77.90
77.78,77.30,78.12,77.24
76.82,78.43,78.54,76.51
78.24,78.03,78.79,77.98
77.53,78.33,78.33,77.36
79.10,79.83,80.34,78.57
80.03,78.95,80.03,78.78
78.60,77.82,79.15,77.50
77.67,77.30,78.15,76.78
77.31,77.95,78.57,77.31
77.05,77.17,78.36,76.57
76.62,77.54,78.14,76.14
77.68,77.77,78.23,77.24
78.15,78.75,79.11,77.32
78.95,78.83,79.69,78.64
78.47,78.67,79.26,77.51
80.00,80.25,80.98,79.73
80.05,81.15,81.15,79.93
81.95,81.02,82.02,80.65
80.53,80.46,81.00,80.03
80.48,81.31,81.85,80.48
82.01,82.38,82.41,81.47
82.50,82.54,83.09,82.18
82.92,83.53,83.98,82.92
83.50,83.13,83.85,82.70
83.01,83.51,83.65,82.30
83.70,82.53,84.19,82.21
83.02,82.02,83.04,81.87
82.03,84.28,84.49,82.03
84.47,83.02,84.50,82.89
82.93,83.48,83.74,82.76
82.95,83.30,84.34,82.66
84.25,84.59,84.89,83.49
84.48,83.30,84.86,82.90
83.40,84.55,84.62,82.84
84.06,85.40,85.99,84.06
86.00,85.16,86.00,84.62
85.90,85.04,85.90,84.59
84.31,82.84,85.01,82.39
83.44,83.94,83.99,82.92
83.93,84.46,84.89,83.86
85.04,84.17,85.04,83.78
84.40,86.75,86.83,83.76
87.36,86.45,87.93,86.34
86.68,86.49,86.90,85.81
86.76,87.44,87.91,86.76
87.58,87.65,87.88,86.91
88.44,88.10,88.65,87.00
88.47,88.28,88.65,87.94
87.87,86.95,87.93,86.49
87.09,87.43,87.64,86.31
87.44,86.94,87.99,85.57
91.40,90.56,92.75,89.93
90.40,89.92,91.41,89.73
89.69,91.94,92.60,89.51
91.99,92.88,93.22,91.14
93.35,93.80,94.02,92.26
93.52,94.75,97.34,93.52
96.03,95.46,96.23,94.98
95.75,96.28,96.56,95.71
96.30,96.58,96.95,95.87
97.00,97.68,98.01,97.00
97.64,99.22,99.25,97.41
99.10,99.67,99.70,97.11
99.99,100.03,100.32,99.29
100.08,102.44,102.44,99.66
101.92,103.06,103.47,99.99
102.40,102.05,102.89,101.60
102.02,103.16,103.50,101.94
102.06,101.18,102.06,100.37
101.08,100.59,101.67,100.54
101.70,104.48,104.63,100.81
109.14,107.90,109.14,103.90
107.99,108.36,108.45,106.72
107.28,108.43,108.69,106.41
109.03,109.67,110.97,108.66
108.77,108.40,109.90,108.38
108.81,110.95,111.31,107.60
110.08,109.00,110.15,108.80
110.57,110.25,111.04,109.13
110.64,111.89,113.53,110.20
111.45,112.30,113.56,111.45
112.48,113.29,113.95,112.33
113.98,114.80,115.82,113.14
115.24,113.40,116.00,112.83
113.23,111.85,113.75,111.44
96.49,99.73,100.06,94.65
100.00,100.77,101.31,99.85
101.32,101.01,105.00,101.00
101.07,99.21,101.49,98.75
99.74,102.34,102.62,99.51
102.82,103.90,104.30,102.17
104.52,104.31,106.73,104.08
104.78,105.05,105.11,104.33
105.19,102.75,105.37,102.51
102.75,103.19,103.55,102.50
103.16,102.14,103.17,101.25
102.19,101.93,102.63,101.82
101.96,102.89,103.41,101.96
102.71,102.93,103.18,102.71
102.69,101.09,102.86,101.09
101.19,103.50,104.65,101.19
104.13,101.61,104.13,100.56
101.23,101.72,102.10,100.46
102.44,102.11,103.74,102.02
102.02,101.12,102.53,100.01
100.90,100.10,100.90,99.09
100.50,101.39,101.84,100.44
101.49,102.98,103.04,101.04
103.04,103.32,103.35,102.34
103.39,104.44,104.52,102.89
104.44,104.41,104.68,104.06
104.33,102.96,104.33,102.61
102.61,102.31,102.61,100.27
102.86,102.25,103.22,101.68
102.62,101.71,102.67,101.66
101.64,100.32,101.72,99.75
100.78,104.23,104.40,100.28
104.62,104.94,105.14,103.72
104.85,106.01,107.45,104.31
106.71,105.69,106.71,105.66
106.40,108.36,108.91,106.15
108.36,107.19,108.42,107.12
107.40,106.13,107.40,105.20
106.14,105.09,107.10,104.65
104.29,105.18,105.99,104.11
105.30,105.57,105.93,104.32
105.54,104.80,105.99,104.61
104.69,106.48,107.00,104.12
106.34,108.32,109.83,106.30
108.03,110.29,110.31,107.54
109.92,107.40,109.95,107.38
107.76,109.41,110.46,107.53
109.54,112.43,113.20,109.04
107.50,95.65,107.50,95.23
94.64,93.25,95.50,92.86
93.17,93.95,94.99,92.78
94.31,93.86,95.51,93.38
94.83,96.09,96.09,94.16
96.72,94.77,97.24,94.14
95.67,94.00,95.67,93.61
94.14,95.96,96.38,93.74
95.75,98.69,98.74,95.72
98.32,98.37,98.75,96.96
98.39,96.78,98.97,96.33
96.82,95.52,97.31,95.48
95.79,95.91,96.68,95.35
94.26,92.96,95.33,92.87
92.64,93.95,95.25,91.53
93.51,93.95,94.16,92.64
92.06,93.08,94.52,91.78
93.15,90.77,93.93,90.74
92.06,93.24,93.98,92.06
93.89,92.68,94.82,92.34
93.95,94.51,95.26,93.70
94.39,94.38,95.25,94.01
94.60,95.39,96.53,94.15
95.88,94.44,96.13,94.38
94.85,95.41,96.57,94.01
95.76,94.83,96.28,94.79
94.40,94.82,95.70,94.37
95.73,95.36,96.34,94.83
95.86,92.46,95.86,92.46
93.38,94.34,94.78,93.38
94.83,95.32,95.54,94.05
95.07,95.68,96.52,94.86
96.28,94.01,96.37,93.98
94.09,93.92,94.61,93.67
94.73,93.78,95.00,93.24
93.64,92.65,93.87,92.47
92.05,91.91,92.58,91.17
92.39,92.06,92.89,91.81
91.55,92.85,92.95,91.55
92.95,94.63,94.75,92.55
94.00,92.99,94.00,92.58
93.21,94.44,95.00,93.00
95.65,96.63,96.85,95.46
98.40,97.84,98.43,95.35
97.92,95.43,98.17,95.08
95.78,97.42,97.67,94.97
97.51,98.06,98.14,95.94
97.97,98.79,99.86,97.07
98.75,98.83,99.87,98.66
99.31,98.83,100.40,98.20
98.70,99.11,99.71,98.17
99.15,96.13,99.15,95.86
95.00,96.66,97.62,94.03
97.50,97.71,98.91,96.41
98.39,99.80,100.21,98.39
100.00,100.72,101.25,99.68
100.10,98.08,100.10,96.61
97.83,98.07,98.92,96.61
98.21,97.49,99.81,97.18
97.02,95.84,98.54,95.58
95.64,94.15,95.89,93.22
94.66,97.28,97.43,94.29
97.58,97.13,97.97,96.38
96.91,96.72,97.28,95.66
95.34,96.09,96.61,94.56
96.82,96.05,97.97,95.78
95.62,97.10,97.47,95.44
97.01,97.65,97.87,96.46
98.10,98.34,98.92,97.77
99.50,99.67,100.03,98.44
98.67,97.86,99.74,97.57
98.14,98.10,99.20,97.67
96.58,96.96,97.90,96.35
96.62,95.50,96.62,95.20
96.29,96.26,96.89,95.66
96.31,94.74,96.64,94.45
95.05,96.07,96.87,94.72
95.82,95.05,95.93,94.94
94.75,92.79,95.38,92.09
93.50,94.06,94.41,93.31
93.08,93.58,94.77,93.05
93.52,94.32,94.50,92.94
94.51,94.45,94.55,92.70
94.26,94.43,94.75,93.48
94.90,95.39,95.96,94.78
95.29,96.08,97.22,95.29
93.99,95.84,96.20,92.05
95.81,93.45,95.81,93.29
93.44,94.16,94.79,93.20
94.78,96.55,96.57,94.53
97.03,97.24,97.76,96.26
97.73,99.96,100.08,97.55
100.08,101.87,102.21,99.46
102.23,102.90,103.32,100.30
102.34,103.29,104.09,102.15
103.00,104.43,104.85,101.55
103.17,104.78,105.89,102.36
103.26,102.90,103.49,102.21
102.87,102.87,104.23,102.38
103.43,103.85,105.54,103.34
104.92,103.74,105.12,103.60
104.59,104.95,105.21,103.67
104.81,104.55,105.06,103.71
104.95,106.15,106.27,104.26
106.28,105.47,106.93,104.85
106.16,107.48,107.62,105.96
107.20,108.81,108.97,106.21
107.32,107.87,109.50,107.16
107.75,104.75,108.97,103.50
103.74,102.11,104.13,101.39
101.70,101.91,103.87,101.70
100.70,100.36,101.60,99.84
102.14,99.95,102.23,99.09
99.59,97.74,101.00,97.68
97.38,97.00,97.40,95.01
95.70,90.78,95.70,90.49
92.18,88.94,92.19,85.50
84.71,84.87,89.03,84.69
86.39,85.82,88.36,80.96
83.80,83.69,87.26,83.10
84.72,87.34,88.24,82.57
88.20,90.45,90.70,86.52
91.38,93.57,94.00,91.27
92.49,89.70,92.49,89.32
90.32,89.38,91.25,88.67
86.70,84.49,86.70,83.47
83.51,83.67,85.49,83.39
85.80,82.53,85.81,82.09
83.90,86.89,87.33,82.76
86.71,87.24,87.72,85.26
87.86,84.22,88.00,83.51
83.80,86.38,86.77,83.29
87.53,89.32,89.32,87.10
88.38,89.10,89.80,87.52
89.83,88.74,91.04,87.64
89.27,88.11,90.11,87.68
86.39,84.70,86.89,84.09
82.55,84.92,84.96,81.73
86.26,88.88,89.32,86.02
88.50,88.10,90.01,87.26
87.25,86.07,88.00,84.95
85.24,86.07,86.35,83.82
86.41,87.55,87.70,85.54
90.46,91.01,92.23,89.82
94.41,93.85,94.41,91.21
93.82,91.93,93.82,91.54
90.00,91.83,92.44,89.26
91.83,91.07,92.98,90.90
91.27,87.20,91.27,87.18
84.69,82.36,85.03,81.26
81.32,81.36,82.49,80.75
81.42,84.02,84.31,80.60
85.96,84.47,87.70,84.02
84.85,80.89,84.91,80.64
82.50,81.94,83.14,80.03
80.37,80.21,82.09,80.03
80.00,78.31,80.99,77.68
77.89,82.38,82.39,75.04
81.95,82.79,83.22,80.46
82.71,84.58,85.20,82.36
84.76,83.90,85.61,82.96
85.66,85.91,87.13,85.31
84.85,87.07,87.79,84.85
87.47,87.80,89.01,87.28
87.12,87.89,88.73,86.07
89.59,90.26,90.74,88.50
90.02,86.92,90.02,86.67
87.08,89.60,90.19,86.20
89.21,86.94,90.13,86.78
86.75,87.59,87.83,84.30
82.27,86.73,86.95,79.77
87.10,88.63,89.11,87.10
88.50,85.47,88.50,85.35
87.94,87.35,88.20,85.39
89.92,89.02,91.00,88.73
89.04,89.68,90.94,88.54
88.26,85.15,88.26,85.15
82.34,83.21,84.49,81.87
84.16,83.25,84.38,82.34
84.79,85.95,86.20,83.48
85.88,86.72,87.18,84.91
87.08,85.05,87.77,84.67
84.93,85.66,86.15,83.96
83.68,83.58,85.15,82.97
84.89,85.23,85.51,83.56
86.13,86.81,87.60,85.86
86.36,84.78,86.52,84.45
84.34,84.36,84.86,83.62
83.62,83.73,85.97,82.83
83.75,82.11,84.17,81.15
82.15,83.06,83.30,81.70
81.61,81.65,81.99,80.80
81.82,80.44,82.60,80.18
80.00,79.96,80.59,79.50
79.32,79.26,80.41,79.19
81.31,82.88,82.91,81.31
83.06,83.59,84.32,82.56
86.03,86.77,87.27,85.54
86.78,86.40,86.98,85.93
86.93,86.45,87.12,86.41
87.71,87.77,88.20,86.86
87.75,87.76,88.40,86.35
87.10,87.25,87.55,86.43
86.47,84.72,86.77,84.42
84.83,87.05,87.34,84.73
86.00,85.74,86.00,85.00
86.31,85.42,87.19,85.32
84.76,84.71,84.96,84.25
86.21,84.81,86.72,84.61
85.41,86.60,87.17,85.41
86.87,84.33,87.13,84.11
86.56,88.97,89.20,86.21
88.69,89.73,89.96,87.81
89.97,90.87,91.63,89.70
90.54,91.18,91.31,90.54
90.74,90.98,91.47,90.57
91.29,89.31,91.49,89.21
89.81,89.54,90.55,89.51
89.36,88.96,90.17,88.94
90.93,89.61,90.93,89.19
89.15,89.88,90.16,88.18
89.33,88.31,89.36,87.26
88.19,88.05,88.46,87.22
88.29,87.26,88.31,86.56
88.21,88.14,89.17,87.82
87.85,87.85,88.26,87.04
87.78,87.46,87.96,86.86
87.00,86.94,87.72,85.88
87.95,88.11,88.53,87.00
88.16,91.07,91.19,87.79
91.71,93.53,94.33,91.55
93.37,94.26,94.41,92.82
94.50,94.83,95.06,93.45
94.09,93.47,94.37,93.32
93.09,94.69,94.83,92.46
94.95,92.41,95.21,92.33
92.23,93.14,93.69,92.23
92.10,90.74,92.10,90.58
91.07,91.53,91.66,90.51
91.94,92.13,93.47,91.68
91.98,93.95,94.04,91.98
94.96,95.45,95.85,94.53
94.78,95.83,95.93,94.26
95.51,95.90,96.10,94.36
95.87,95.85,96.46,95.39
96.00,96.22,96.96,95.45
95.19,96.98,96.99,95.08
97.00,98.18,98.43,96.58
97.80,98.58,98.75,97.43
98.50,96.31,98.50,96.00
96.16,98.90,99.24,96.16
97.80,98.49,99.22,96.73
98.50,98.84,99.41,98.11
98.93,98.77,99.67,98.54
98.41,99.31,99.44,98.20
99.18,98.85,99.90,98.73
98.16,99.22,100.00,97.59
98.99,99.02,99.89,98.62
99.33,98.88,99.96,98.84
99.06,99.06,99.85,98.53
98.56,98.34,98.93,97.98
98.23,97.55,98.23,96.73
96.44,95.50,96.44,94.93
95.49,96.10,96.31,94.93
96.45,96.59,96.88,95.75
96.58,96.85,97.45,96.04
96.87,96.01,97.10,95.23
96.63,97.57,97.59,96.08
97.35,96.03,97.92,96.02
96.05,96.69,97.26,95.32
97.18,98.43,99.05,97.18
98.43,97.76,98.94,97.60
96.66,95.96,96.69,95.52
96.33,95.24,96.59,94.95
94.28,95.14,95.63,94.03
94.94,96.04,96.34,94.94
96.52,96.22,96.88,95.81
96.28,95.64,96.31,95.13
95.45,95.09,95.62,94.73
94.64,95.56,95.80,94.47
95.75,95.78,96.51,95.30
95.41,96.25,96.62,95.41
96.06,96.05,96.65,95.67
95.15,95.01,95.61,94.81
94.58,95.36,95.94,94.58
94.03,95.07,95.99,94.03
94.73,93.67,95.02,92.80
94.41,94.25,94.73,94.06
94.22,95.97,96.53,94.22
95.61,94.83,96.00,94.80
95.01,93.77,95.01,93.69
94.53,94.25,95.47,93.72
93.86,93.78,94.91,93.60
93.64,93.88,94.78,93.19
93.93,92.64,95.25,92.37
91.45,92.65,92.90,91.19
92.65,92.84,93.84,91.99
94.37,93.47,94.37,92.44
93.29,93.37,94.04,93.18
93.37,93.24,93.71,93.06
92.96,92.93,93.39,92.16
93.36,93.81,94.38,92.01
93.23,93.12,93.49,92.55
93.26,91.18,93.90,91.17
90.41,89.36,90.75,89.10
88.71,88.46,89.42,88.18
87.80,88.86,89.17,86.72
87.92,88.77,89.22,86.96
89.51,88.92,89.62,88.53
88.38,88.33,89.75,88.11
87.61,86.87,87.89,86.58
86.66,86.94,87.70,86.30
87.30,86.27,87.92,86.17
86.64,85.97,87.15,85.90
86.14,85.88,86.68,85.53
86.13,87.64,87.82,85.88
87.54,86.63,88.16,86.17
85.85,87.48,87.53,85.54
87.55,87.15,87.55,86.05
86.83,86.53,87.25,86.15
86.52,88.34,88.58,85.63
87.22,86.04,87.46,85.43
85.88,86.21,86.73,84.84
79.79,85.39,85.89,79.78
85.54,85.46,85.89,85.12
85.18,86.48,87.04,84.95
87.08,88.22,88.58,86.49
89.05,87.08,89.80,86.95
86.39,86.06,86.56,85.34
86.75,85.12,86.96,84.93
85.22,85.41,85.95,84.80
85.11,84.75,86.13,84.55
84.92,84.50,85.54,84.16
84.46,84.97,85.18,84.20
84.50,84.88,85.33,84.50
85.07,86.03,86.72,85.07
86.17,85.97,86.55,85.13
86.00,84.76,86.00,84.75
85.24,86.62,86.76,85.00
85.68,85.65,85.68,84.47
85.47,85.76,85.98,84.99
85.61,86.91,87.36,85.61
86.36,87.67,87.93,86.09
88.96,89.38,90.11,88.39
89.42,89.39,90.18,88.70
89.64,90.48,90.53,89.24
90.23,90.59,91.05,89.74
89.76,90.31,90.68,89.54
89.97,91.78,92.15,89.51
92.07,89.77,92.13,89.32
89.88,90.60,90.98,89.88
89.69,90.90,91.28,89.32
91.29,90.80,91.76,90.56
90.60,90.81,91.24,89.95
91.02,91.75,91.85,90.41
91.50,93.19,93.37,91.21
93.50,92.29,93.50,92.22
92.22,91.74,92.33,91.22
90.34,90.97,91.00,89.92
90.74,89.01,90.74,88.41
89.42,89.74,90.30,88.51
90.42,89.74,90.77,87.87
85.18,86.96,89.27,82.78
87.03,85.90,87.35,84.58
85.47,84.95,86.22,84.18
84.79,85.26,85.71,83.33
84.41,83.85,84.86,83.61
84.92,86.93,87.31,84.24
86.81,87.89,88.47,86.81
87.88,87.82,88.98,87.75
87.40,87.95,88.64,87.36
88.36,88.54,89.58,87.94
87.85,88.87,88.97,87.37
88.60,88.70,88.98,88.02
88.83,88.12,89.23,87.97
88.24,89.03,89.73,88.24
89.27,89.44,89.72,89.01
89.59,89.29,90.00,88.99
89.29,89.76,89.81,88.88
89.78,89.62,90.74,89.32
89.32,88.98,89.66,88.60
88.60,89.19,89.68,88.16
89.25,88.18,89.25,88.02
88.31,87.80,88.31,86.92
87.89,87.93,88.29,86.88
87.76,87.12,87.76,86.68
86.66,85.97,86.66,84.74
86.47,86.01,86.64,85.02
86.16,87.12,87.37,84.91
86.89,86.50,88.07,86.36
86.69,86.46,88.05,86.14
86.62,86.66,87.40,86.36
86.72,86.14,86.98,85.88
85.90,86.86,87.43,85.90
87.11,88.18,88.58,87.11
87.82,89.09,89.43,87.21
89.04,90.84,91.41,89.04
91.09,89.39,91.98,89.34
89.28,88.71,89.28,87.64
88.39,86.28,88.39,86.22
84.23,85.65,86.17,83.45
86.08,85.36,86.68,85.22
85.38,85.80,86.70,85.38
85.75,83.96,85.75,83.54
83.95,83.16,83.95,82.88
83.36,83.55,83.85,82.80
83.10,83.36,84.06,83.05
83.77,86.58,87.00,83.25
86.65,87.19,88.58,86.65
87.39,86.54,87.39,86.07
86.67,87.77,88.07,86.67
87.70,86.44,88.05,86.39
86.01,86.16,87.01,85.79
86.28,86.08,86.95,85.84
86.35,85.74,86.79,85.36
86.05,85.82,86.62,85.61
86.32,86.42,86.47,85.84
86.67,87.10,87.31,85.32
87.67,87.15,88.14,86.76
86.94,87.95,87.97,86.85
88.01,87.28,88.01,85.84
87.35,85.16,87.35,84.47
84.74,84.33,86.06,83.25
81.93,85.35,86.18,81.93
85.77,84.04,85.77,83.90
84.24,84.46,84.56,83.78
84.75,84.15,85.05,83.73
84.08,87.71,87.85,83.82
87.43,86.51,87.78,85.85
86.33,85.54,86.33,85.19
85.12,85.65,85.94,85.12
85.50,86.08,86.34,85.50
85.04,85.98,86.70,84.63
85.80,84.73,86.05,84.69
84.31,85.31,86.18,84.31
85.71,85.94,86.08,85.07
85.71,85.36,86.07,85.19
85.47,85.61,86.20,85.08
85.77,85.07,86.07,84.70
85.38,84.70,85.65,83.90
84.94,85.50,86.08,84.94
85.00,86.37,86.45,84.67
85.99,86.26,86.83,85.91
86.13,87.82,87.84,86.13
87.37,89.01,89.09,87.37
88.53,88.32,89.11,88.11
87.94,88.75,89.11,86.81
89.04,88.94,89.44,88.42
88.93,90.60,90.60,88.48
91.00,90.48,91.30,90.06
90.11,90.86,91.11,90.11
90.62,88.54,90.62,87.70
88.30,88.75,89.24,88.25
88.47,89.15,89.28,88.44
89.49,87.91,89.49,87.50
88.34,88.43,88.82,87.89
88.83,88.37,88.83,88.00
83.26,82.88,83.69,82.28
82.54,82.11,83.26,82.01
82.16,82.58,82.62,81.91
82.41,82.99,83.76,82.14
83.26,82.87,83.49,82.74
83.19,83.58,84.56,83.00
82.99,83.19,83.44,82.89
82.50,82.96,83.16,82.50
83.12,82.67,83.45,82.42
82.63,82.74,82.87,82.13
82.27,82.58,83.01,81.90
82.21,83.80,84.00,81.97
84.95,85.19,85.24,84.04
85.00,84.49,85.82,84.12
84.36,85.63,85.68,84.36
85.49,85.30,85.93,84.50
85.50,85.10,85.52,84.19
85.39,85.48,85.72,84.97
85.48,85.00,85.48,84.93
85.24,85.12,85.49,84.48
84.65,84.44,84.90,83.89
84.52,85.15,85.40,84.28
84.78,85.13,85.50,84.78
85.41,86.42,86.92,85.18
86.50,87.01,87.14,86.25
87.11,87.22,87.40,86.41
87.39,86.72,87.74,86.56
86.66,87.69,87.95,86.48
87.51,88.10,88.21,86.93
88.11,88.73,89.00,87.87
88.47,90.03,90.07,88.47
89.75,90.53,91.00,89.54
90.85,90.97,91.38,90.22
70.57,70.85,71.44,70.35
70.03,70.37,70.93,69.97
70.78,70.99,71.24,70.48
70.99,71.47,71.62,70.96
71.17,71.40,71.85,71.17
71.39,71.53,71.72,71.23
71.38,71.12,71.56,71.07
71.20,71.80,72.09,71.20
71.80,71.57,72.12,71.51
72.02,72.50,72.99,71.79
72.73,71.90,72.73,71.58
71.96,72.65,72.88,71.68
72.29,71.51,72.76,71.51
71.39,70.54,71.45,70.00
71.04,70.89,71.12,70.16
71.23,69.31,71.35,69.10
69.39,69.59,69.86,68.88
69.22,70.13,70.55,68.95
69.54,69.48,70.63,69.11
69.01,68.88,69.20,68.34
68.61,68.17,69.02,67.76
68.48,69.22,69.50,68.31
69.15,69.70,69.80,68.90
69.82,70.79,70.97,69.82
71.21,71.09,71.35,70.32
70.98,71.27,71.52,70.76
71.45,71.31,71.72,70.80
71.37,70.99,71.70,70.97
70.99,71.48,71.60,70.94
71.75,71.64,71.75,71.25
71.06,71.55,71.86,70.81
71.85,71.38,72.09,70.90
71.52,71.52,71.89,71.19
71.40,71.20,71.60,70.76
71.20,71.83,72.41,71.20
73.26,72.51,75.53,71.94
73.00,73.22,73.45,72.64
73.22,73.44,73.70,72.74
73.62,73.68,73.84,73.00
74.03,72.49,74.03,72.40
72.89,73.38,73.41,72.51
73.22,72.32,73.42,71.60
72.26,72.01,72.26,71.62
71.50,72.36,72.43,71.25
72.71,73.61,73.68,72.58
73.60,74.16,74.38,73.60
74.49,74.77,74.95,74.42
74.95,74.89,75.11,74.22
74.81,74.57,75.00,73.89
74.67,72.51,74.67,72.26
72.80,72.14,73.23,71.65
72.06,70.74,72.06,70.64
71.12,71.30,71.40,70.07
71.69,71.11,71.69,70.48
71.58,71.51,71.80,70.74
71.81,72.22,72.25,71.52
72.53,72.84,73.11,72.11
73.19,72.64,73.86,72.58
72.37,72.66,72.99,72.31
72.79,72.91,73.80,72.31
71.01,72.11,72.33,69.78
71.90,71.57,72.49,71.35
72.05,72.90,73.00,71.89
73.91,73.82,74.89,73.70
73.77,73.98,74.22,73.51
73.85,74.65,74.76,73.72
74.87,76.49,76.51,74.81
76.54,75.93,76.84,75.69
75.80,75.70,76.21,75.62
75.80,75.54,75.88,75.44
75.74,76.30,76.42,75.48
76.05,77.12,77.15,75.95
77.24,76.92,77.25,76.72
77.25,77.98,77.99,77.09
78.00,78.83,79.56,77.72
79.14,79.26,79.32,78.49
79.25,77.66,79.35,77.30
76.86,77.73,77.86,76.64
77.49,77.70,77.89,76.80
78.16,77.78,78.61,77.26
77.35,77.46,78.38,77.29
77.40,77.42,77.70,77.09
77.30,76.79,77.52,76.69
76.66,77.86,77.90,76.58
77.91,77.51,78.24,76.81
77.50,77.43,77.86,76.75
77.38,78.37,78.40,76.92
78.60,78.35,78.60,78.07
78.18,78.89,78.92,77.64
78.18,78.70,79.03,77.52
79.25,77.76,79.38,77.41
77.59,79.76,79.76,77.59
79.85,79.80,80.49,79.51
79.99,80.11,80.46,79.86
79.99,80.43,80.55,79.93
80.24,80.34,80.96,80.20
