IWM,iShares Russell 2000 ETF,NASDAQ
66.13,65.15,66.43,64.78
65.71,64.98,65.99,63.95
64.10,65.02,65.61,63.82
66.17,66.15,66.54,65.59
65.93,65.62,66.53,65.09
65.98,66.31,66.48,65.71
65.66,65.53,66.21,65.46
64.45,65.14,65.41,63.86
65.62,65.86,66.11,64.85
65.21,64.62,65.41,64.13
63.33,62.08,63.33,61.91
60.85,61.77,62.15,60.76
61.50,61.07,61.68,60.97
60.64,61.56,61.92,60.38
62.22,62.62,63.15,61.86
62.55,62.81,63.43,61.94
62.59,61.09,62.85,60.94
60.87,61.15,61.19,60.14
61.60,60.32,61.92,60.28
59.36,59.63,60.32,58.80
59.14,60.53,60.68,58.89
60.75,60.08,61.28,59.86
60.77,61.65,61.80,59.56
61.35,60.30,61.66,60.27
60.15,60.18,60.91,59.68
61.23,62.51,62.55,61.02
62.49,63.20,63.38,62.27
64.16,64.33,64.53,63.61
64.13,63.11,64.14,62.91
63.26,63.48,63.99,63.23
64.45,63.52,64.48,63.04
63.76,63.72,64.11,63.35
64.45,65.27,65.48,64.32
65.13,64.99,65.62,64.76
64.81,65.36,65.57,64.33
65.20,64.94,65.41,64.39
65.40,65.21,65.52,64.28
65.42,67.02,67.20,64.97
67.02,66.63,67.43,66.53
66.45,65.84,66.90,65.33
65.15,64.88,66.16,64.66
65.79,66.99,67.06,65.69
67.01,66.82,67.16,66.51
66.97,67.48,67.63,65.75
67.38,67.67,67.95,67.12
68.17,67.50,68.55,66.95
68.14,67.86,68.26,67.25
67.68,66.94,68.10,66.48
67.68,68.84,69.01,67.25
68.78,68.61,69.06,68.22
69.02,68.41,69.08,67.92
68.51,69.28,69.66,68.14
69.34,69.34,69.86,69.14
69.16,69.52,69.82,68.41
69.99,70.58,71.14,69.77
70.63,70.53,70.95,69.89
71.14,70.29,71.25,69.89
70.56,70.88,71.03,70.26
70.04,69.50,70.76,68.95
69.84,70.21,70.63,69.43
70.56,69.87,71.09,68.96
70.04,70.32,70.39,69.76
70.84,70.74,71.56,70.36
70.36,70.69,71.17,69.99
70.21,70.51,70.62,69.54
71.06,70.08,71.12,69.75
69.88,70.30,70.67,69.83
70.66,69.82,71.17,69.31
70.67,71.27,71.31,70.27
71.36,71.55,71.62,70.50
72.86,73.36,73.38,72.62
73.45,73.77,74.00,73.30
73.53,73.71,73.91,73.12
73.91,72.73,74.05,72.33
72.83,73.54,73.55,72.11
72.73,73.25,73.54,72.46
72.53,72.03,73.10,71.90
72.38,72.04,72.85,71.97
71.50,70.64,71.68,70.15
70.80,70.83,71.02,70.40
71.67,72.21,72.58,71.66
72.00,72.45,72.61,71.53
72.17,72.80,72.99,71.74
71.92,72.11,72.24,71.50
72.76,73.73,73.75,72.75
73.28,73.22,73.73,73.13
72.95,73.33,73.51,72.03
72.48,72.75,73.25,72.18
74.12,74.38,74.57,72.81
74.47,75.13,75.29,74.36
74.83,75.67,75.90,74.76
75.64,76.14,76.35,75.50
77.06,76.58,77.24,76.41
76.75,76.53,77.01,76.37
77.08,76.79,77.08,76.48
77.05,77.75,77.94,76.77
78.06,77.35,78.19,77.32
77.71,77.31,77.72,77.18
77.25,77.07,78.06,76.92
77.18,77.78,77.97,76.86
77.86,78.02,78.17,77.29
78.31,78.33,78.81,77.93
78.65,79.20,79.28,78.59
79.03,78.82,79.18,78.72
78.96,78.72,79.12,78.61
78.47,78.96,79.10,78.31
79.11,78.74,79.16,78.52
78.85,78.91,79.02,78.75
78.84,78.76,79.22,78.76
78.67,78.24,78.88,78.17
78.94,79.60,80.02,78.73
79.84,78.42,79.90,77.57
78.40,79.34,79.36,78.11
79.40,78.97,79.53,78.65
79.24,78.52,79.44,77.44
78.24,78.97,79.29,77.62
79.36,79.29,79.68,78.87
79.94,79.97,80.13,79.51
79.99,79.94,80.30,79.57
79.86,80.54,80.68,79.69
80.29,80.60,80.63,79.87
80.57,78.53,80.70,78.36
78.14,77.71,78.54,77.34
78.21,77.19,78.24,77.12
77.20,77.76,78.07,77.09
77.31,77.88,77.90,76.95
78.00,79.12,79.38,77.75
79.12,79.35,79.67,78.73
79.31,77.41,79.45,77.33
77.87,77.95,78.50,77.25
78.58,79.75,80.01,78.37
79.59,79.45,80.13,79.42
79.39,79.73,79.85,78.50
79.60,79.87,79.97,79.24
79.98,80.66,81.25,79.91
80.66,81.23,81.27,80.34
81.01,80.87,81.30,80.42
80.33,81.19,81.29,80.24
80.89,82.07,82.10,80.79
82.11,82.49,82.61,82.05
82.27,82.02,82.49,81.83
82.21,82.68,82.82,82.18
82.60,83.26,83.51,82.45
83.45,83.35,83.77,83.04
82.73,81.21,83.02,81.09
81.37,79.81,81.44,79.29
79.96,80.32,80.72,79.36
80.70,82.18,82.21,80.64
82.65,82.27,82.84,81.59
82.58,80.62,82.64,80.35
80.53,80.96,81.37,80.24
81.77,82.80,83.02,81.03
82.79,82.44,82.84,81.65
82.76,81.09,82.82,80.41
81.16,82.41,82.81,80.55
82.25,82.08,82.58,81.75
81.00,79.97,81.03,79.70
79.34,80.18,80.70,79.28
79.34,79.75,80.33,78.91
77.96,79.04,79.67,77.57
78.68,78.25,79.64,77.76
79.33,78.42,79.44,78.42
79.33,79.46,79.59,79.07
80.48,81.30,81.32,80.36
81.42,80.87,81.60,80.67
80.69,81.12,81.36,79.85
81.49,81.51,81.79,80.74
81.98,82.22,83.06,81.55
82.49,82.04,82.76,81.97
82.09,82.81,82.89,81.58
83.17,83.88,83.99,83.04
83.80,84.17,84.29,83.70
84.77,84.54,85.02,84.25
84.76,84.73,84.97,84.54
84.68,85.19,85.75,84.52
85.63,85.38,85.88,84.91
85.46,84.87,85.78,84.62
85.25,83.98,85.36,83.60
84.02,83.23,84.28,82.90
82.79,82.14,83.05,82.05
82.65,82.25,82.81,81.67
81.59,82.63,82.71,81.45
82.66,83.51,83.51,82.26
82.25,82.13,82.26,81.43
82.41,82.15,82.70,81.67
83.50,83.83,83.90,83.25
84.34,84.45,84.48,83.73
84.37,84.34,84.53,83.77
84.53,85.18,85.67,84.35
85.23,85.69,85.77,84.89
85.60,86.08,86.50,85.52
86.19,86.39,86.68,85.93
86.78,85.38,86.81,85.28
85.29,84.30,85.49,83.72
84.42,83.21,84.46,82.73
82.64,82.83,84.08,82.41
83.76,83.27,84.34,82.84
83.17,84.24,84.33,83.04
84.67,85.53,85.54,84.56
85.24,83.95,85.36,83.55
83.47,84.69,84.94,82.98
84.76,83.51,84.99,83.27
82.96,82.29,83.89,82.22
81.63,82.03,82.32,81.40
82.13,83.29,83.32,82.00
83.86,83.47,83.97,82.73
83.25,82.86,83.45,82.29
81.42,81.37,81.95,81.23
81.59,80.98,81.96,80.83
80.77,82.00,82.29,80.76
81.70,83.08,83.12,81.65
83.46,83.65,83.93,83.26
84.61,84.84,84.86,83.77
84.71,82.11,84.82,82.03
82.32,82.08,82.66,81.60
80.81,80.88,81.73,80.69
80.75,79.55,81.07,79.49
80.04,79.74,80.43,79.53
79.47,78.85,79.72,78.71
79.08,79.27,79.71,78.73
78.78,78.00,78.91,77.65
78.23,77.78,78.64,77.35
78.44,79.45,79.68,78.39
78.60,78.03,79.21,77.72
78.09,78.21,78.88,77.23
78.99,78.23,79.13,77.83
77.96,78.95,79.23,77.93
79.58,80.66,80.77,79.42
80.22,80.04,81.11,80.01
79.13,80.35,80.51,78.30
80.63,79.94,80.76,79.47
79.91,80.56,80.72,79.46
80.83,81.81,81.85,80.67
82.10,82.20,82.40,81.44
82.41,82.80,83.05,82.28
82.88,84.09,84.23,82.62
83.93,84.04,84.14,83.53
83.91,84.38,84.51,83.61
85.21,85.65,85.97,84.94
84.62,85.13,85.21,84.32
84.06,83.32,84.53,83.09
82.88,82.85,83.77,82.78
83.38,83.59,84.47,83.22
83.75,82.26,84.17,82.05
82.61,82.81,82.91,82.18
82.44,81.48,82.63,81.00
82.23,83.32,83.41,82.18
83.35,83.18,83.42,82.65
83.44,83.94,84.30,83.24
83.85,84.05,84.26,83.40
83.02,83.06,83.76,82.75
82.88,82.43,83.09,82.21
81.89,79.97,81.91,79.85
79.96,79.84,80.97,79.69
78.72,79.74,80.18,78.14
80.69,79.22,80.99,78.47
78.92,76.75,79.68,76.61
76.69,77.26,77.35,74.88
76.07,72.60,76.21,72.59
73.52,71.33,73.85,69.66
69.01,65.12,71.41,65.08
66.92,69.46,69.62,63.76
67.35,66.06,69.57,65.87
66.51,69.36,70.44,66.07
69.99,69.79,70.60,68.80
70.58,71.76,71.83,70.38
70.59,70.44,71.41,69.66
70.97,70.46,71.52,69.76
68.06,66.45,70.40,65.82
65.01,65.28,67.41,64.90
67.12,65.05,67.19,64.57
65.46,68.19,68.30,64.86
68.12,69.20,69.63,67.52
69.98,67.50,70.29,67.25
67.26,69.11,69.32,66.06
70.07,72.38,72.45,70.04
71.90,72.80,73.27,71.12
73.20,72.65,73.89,71.90
72.70,71.09,73.63,70.69
69.36,68.46,70.04,68.10
65.93,68.27,68.31,65.93
69.40,70.85,70.95,69.07
70.34,69.55,71.30,69.18
68.70,67.50,69.13,66.75
66.38,68.08,68.25,66.37
68.54,69.18,69.46,67.83
69.84,70.42,71.40,68.44
71.07,71.41,71.44,69.99
71.65,71.52,72.03,70.88
70.10,70.24,71.01,69.45
70.49,69.15,71.29,69.11
69.04,66.59,69.63,66.54
64.30,64.73,65.92,63.49
64.25,65.14,65.53,64.10
65.84,66.37,66.48,64.28
67.85,67.80,69.39,67.27
67.79,65.20,68.12,65.10
66.73,66.33,67.02,64.37
65.15,64.30,66.18,64.24
63.81,60.99,64.96,60.85
60.32,64.79,64.88,60.09
64.78,65.68,66.13,63.92
65.51,67.14,67.31,65.15
67.38,65.50,67.61,65.20
66.97,68.37,68.38,65.54
67.72,68.84,69.12,67.54
69.37,69.82,70.53,68.82
69.42,69.76,70.12,68.58
70.58,71.14,71.34,69.81
70.51,68.98,70.62,68.63
69.21,70.81,71.29,67.85
70.61,69.43,71.15,69.07
69.56,69.62,69.73,67.75
70.57,71.13,71.16,70.02
71.45,73.42,73.58,71.16
72.89,71.36,72.94,71.16
72.60,72.59,73.04,70.54
75.29,76.42,76.97,72.65
76.30,76.03,76.92,75.76
74.85,74.01,75.44,73.93
71.18,71.39,72.97,70.96
72.62,73.15,73.30,71.83
74.27,74.97,75.20,72.29
74.18,74.60,74.82,73.55
74.50,74.45,74.87,72.90
75.14,75.54,75.64,73.46
73.32,71.94,73.92,71.82
73.12,72.47,73.23,71.63
73.34,74.38,74.53,72.53
74.10,73.31,74.27,72.77
72.92,74.24,74.64,72.43
73.47,73.04,74.88,72.91
72.95,72.00,73.44,71.27
72.25,71.98,72.47,71.45
70.54,70.26,70.85,69.61
70.13,69.67,70.63,69.30
68.90,67.48,69.09,67.37
67.05,66.62,68.04,66.62
69.09,69.79,69.92,68.91
69.84,69.66,70.18,69.12
72.56,73.73,73.79,69.65
73.47,73.20,74.14,73.06
74.09,73.50,74.63,73.31
74.94,74.76,75.39,74.13
74.81,74.83,75.29,74.09
74.28,74.68,75.06,73.13
73.90,72.36,74.18,72.22
72.50,74.54,74.97,72.38
73.49,73.47,74.60,72.50
74.23,71.94,74.47,71.55
71.25,71.04,71.89,70.58
72.06,71.70,72.11,71.04
72.28,72.26,73.28,71.73
72.93,71.01,73.20,70.83
72.55,73.86,73.97,72.51
73.53,74.16,74.39,72.73
74.16,74.27,74.67,73.98
74.55,74.55,74.68,74.08
74.26,74.77,75.16,74.08
74.88,73.41,74.90,73.27
73.73,74.15,74.44,73.60
74.12,73.75,74.52,73.69
75.68,74.97,75.87,74.77
74.58,74.56,74.86,74.07
74.03,74.98,75.34,73.37
75.02,74.79,75.38,74.27
75.14,75.17,75.30,74.41
76.16,76.27,76.43,75.96
75.95,76.57,76.67,75.87
76.79,76.80,76.92,75.94
76.18,76.39,76.48,75.60
77.10,76.36,77.27,76.13
76.32,77.72,77.73,76.15
78.13,78.20,78.36,77.66
78.10,78.25,78.51,77.90
78.26,78.15,78.84,77.55
77.68,78.60,78.75,77.27
78.60,79.27,79.57,78.19
79.86,79.18,79.91,78.75
78.80,79.72,79.78,78.77
79.08,79.10,79.43,78.52
79.66,79.02,79.82,78.58
79.76,80.72,80.90,79.47
81.04,81.18,81.53,80.74
82.47,82.95,83.22,82.24
82.57,82.68,82.93,82.37
82.61,82.63,82.99,82.08
82.80,82.81,83.21,81.93
83.02,82.40,83.03,81.84
81.50,81.27,81.67,81.08
82.11,82.32,82.43,81.61
81.91,81.95,82.12,81.36
82.42,81.27,82.43,81.00
81.32,82.80,82.90,81.28
83.29,82.79,83.31,82.63
82.92,82.23,83.04,81.83
81.97,81.58,82.36,81.50
81.71,82.80,82.85,81.26
82.83,82.64,83.03,82.47
81.84,82.50,82.95,81.25
82.55,82.28,83.06,81.84
82.55,81.05,82.96,80.97
81.38,81.47,82.37,81.36
81.42,80.25,81.64,79.84
79.99,80.34,80.40,79.42
79.42,78.74,79.62,78.41
78.91,79.48,79.56,78.78
80.00,80.51,80.69,79.35
80.52,81.60,82.15,80.46
81.74,81.44,81.93,81.05
82.06,83.06,83.09,81.40
82.96,82.38,83.23,82.01
82.25,83.07,83.12,82.03
83.22,83.00,83.27,82.65
82.89,83.70,84.39,82.75
83.12,82.95,83.30,82.58
83.20,82.93,83.43,82.64
82.09,82.13,82.46,81.62
82.00,82.68,82.79,81.25
83.74,84.40,84.46,83.62
84.42,83.81,84.66,83.75
83.80,83.32,84.02,82.61
82.73,83.08,83.22,82.02
83.59,82.81,83.60,82.53
82.54,83.83,83.86,82.38
83.66,83.27,84.00,82.93
82.37,81.94,82.43,81.45
81.60,81.58,82.00,81.42
80.09,80.24,80.57,79.85
79.92,78.35,80.16,78.14
79.01,79.46,79.57,78.85
79.54,80.60,80.91,79.44
80.38,79.54,80.41,79.43
79.89,79.67,80.20,78.88
80.33,80.82,81.55,80.27
80.41,80.21,80.67,79.83
80.32,79.75,80.99,79.25
80.28,80.21,80.97,80.06
78.98,79.10,79.16,78.31
79.13,79.70,79.93,78.86
80.75,80.94,81.37,80.53
80.95,81.74,81.87,80.82
81.98,82.38,82.53,81.03
82.35,81.47,82.36,81.43
81.56,81.55,82.97,81.29
80.91,81.77,81.82,80.57
81.66,80.62,81.76,80.17
80.07,79.09,80.55,78.94
78.76,79.30,79.60,78.62
78.69,79.25,79.30,77.97
78.25,78.80,79.26,77.97
79.32,79.10,79.55,78.63
78.45,78.90,79.56,78.42
78.09,77.85,78.46,77.61
77.83,77.71,78.49,77.47
77.98,77.15,78.39,77.10
77.22,75.40,77.35,75.36
75.39,74.69,75.91,74.49
74.93,76.45,76.45,74.41
76.42,75.99,77.03,75.47
75.25,76.48,76.64,74.69
76.43,76.64,76.74,75.55
76.70,76.59,76.89,76.27
77.33,77.70,77.91,76.76
76.90,76.21,77.04,76.11
76.27,76.11,76.59,75.07
74.40,73.82,75.01,73.71
74.09,73.65,74.35,72.94
73.26,74.60,74.67,73.21
75.19,76.44,76.51,75.03
77.66,75.94,77.72,75.94
75.90,76.97,77.06,75.35
77.79,75.27,77.86,75.09
75.44,76.22,76.26,74.78
76.09,75.34,76.54,75.00
75.38,76.20,76.47,75.16
76.35,77.22,77.32,76.10
76.60,77.31,77.60,76.35
77.65,78.65,79.08,77.54
78.67,78.53,79.08,77.98
78.37,76.62,78.53,76.49
77.07,77.49,77.74,76.65
76.40,76.28,77.60,76.00
76.09,76.20,76.58,75.42
76.43,77.44,77.46,76.36
76.78,77.31,77.37,76.12
78.94,79.56,79.73,78.56
79.92,80.48,80.51,79.28
80.56,81.53,81.60,80.43
81.62,81.44,81.84,81.03
80.77,80.53,80.83,80.15
80.42,80.22,80.53,79.86
80.81,79.33,80.96,78.98
79.39,79.06,79.65,78.55
78.44,78.79,79.10,77.59
79.07,79.77,80.09,79.02
79.62,79.45,79.88,79.11
79.98,79.73,80.15,78.65
79.60,80.22,80.71,79.55
80.55,79.95,80.74,79.81
79.33,78.93,79.46,78.81
77.51,77.67,78.03,77.18
77.95,76.65,77.98,76.22
77.00,76.82,77.38,76.47
77.98,77.48,78.18,77.00
77.83,79.32,79.72,77.39
79.52,79.05,79.91,78.74
78.73,78.35,79.47,78.35
78.91,77.06,79.00,77.04
76.27,76.78,77.31,76.25
77.94,78.61,79.02,77.65
78.70,79.22,79.63,78.59
79.85,79.94,80.57,79.64
79.60,79.82,80.19,79.54
79.76,80.20,80.39,79.69
79.77,79.92,80.05,79.50
79.80,79.79,80.01,78.89
80.30,79.60,80.42,79.27
79.38,80.30,80.30,79.31
80.18,81.14,81.30,79.83
81.22,81.71,81.86,80.99
81.59,81.53,81.66,80.98
81.93,81.48,82.71,81.19
81.27,81.09,81.50,80.79
81.06,80.52,81.06,80.20
80.34,80.74,81.07,80.11
81.23,80.98,81.41,80.58
80.97,81.35,81.51,80.75
81.52,81.60,81.96,81.14
81.18,80.79,81.25,80.64
81.48,81.12,81.53,80.34
81.18,82.11,82.40,80.55
82.20,82.13,82.51,81.85
82.58,83.64,83.94,82.52
83.86,84.26,84.40,83.70
84.18,83.88,84.45,83.79
83.89,84.06,84.56,83.83
84.49,84.49,84.65,83.90
84.64,85.60,86.15,84.19
85.86,86.40,86.96,85.83
85.98,86.00,86.22,85.57
85.74,85.72,85.90,85.36
85.94,85.57,86.03,85.41
85.14,85.19,85.40,84.61
86.04,85.50,86.08,85.47
84.89,84.89,85.43,84.60
85.43,83.67,85.51,83.58
83.85,83.14,83.93,82.84
83.49,84.04,84.35,83.07
83.78,83.44,84.00,83.26
83.96,83.72,84.54,83.31
84.15,83.88,84.24,83.37
83.94,83.64,84.22,83.17
83.96,84.21,84.26,83.20
84.58,84.11,85.25,83.84
83.62,83.58,83.90,83.39
83.62,82.60,83.70,82.44
82.67,82.47,82.83,82.18
83.10,82.77,83.44,82.60
82.74,82.10,83.02,81.91
82.34,82.64,82.64,81.76
83.08,83.25,83.36,82.88
83.42,84.00,84.15,83.25
83.94,83.54,84.15,83.45
82.85,81.85,82.88,81.47
81.64,81.83,81.97,81.35
81.15,81.42,81.53,80.43
81.70,81.20,81.85,80.91
81.88,81.53,82.14,80.87
81.44,81.14,81.90,80.46
81.16,81.63,81.65,80.88
81.82,82.49,82.71,81.52
82.89,81.19,82.95,81.17
81.18,81.73,81.84,80.92
82.03,82.34,82.57,81.97
81.37,80.34,81.37,79.91
80.17,79.21,80.50,79.15
78.87,79.38,79.97,78.70
79.56,79.15,79.66,79.03
78.79,78.70,79.56,78.58
78.88,77.24,79.10,77.06
77.09,76.84,77.49,76.29
76.78,77.48,77.68,76.13
78.32,79.12,79.18,78.22
78.98,79.26,79.35,78.64
79.41,79.68,79.73,79.13
79.90,80.47,80.56,79.86
80.35,80.73,80.79,80.07
80.68,80.63,81.23,80.57
80.32,81.31,81.31,79.63
81.95,82.24,82.41,81.62
82.40,82.08,82.41,81.73
82.71,81.99,82.76,81.75
82.07,82.09,82.32,81.46
82.48,81.99,82.51,81.40
81.98,82.12,82.31,81.61
82.50,82.18,82.55,81.83
82.37,82.54,82.66,82.21
83.11,83.41,83.56,82.92
83.67,82.94,83.80,82.77
82.98,82.41,83.21,82.11
82.22,82.36,82.81,82.12
82.68,83.52,83.53,82.52
83.71,84.66,84.77,83.49
84.08,84.12,84.52,83.76
84.14,84.54,84.61,83.85
83.27,84.19,84.19,83.08
83.89,83.78,83.97,83.51
83.97,83.18,84.01,83.08
83.26,83.12,83.43,82.05
82.69,82.53,83.37,82.52
82.66,84.32,84.43,82.35
86.34,86.80,86.91,86.04
86.85,86.60,87.28,86.37
87.01,87.24,87.44,86.66
86.80,86.91,87.07,86.62
86.88,86.85,87.01,86.39
87.02,87.27,87.35,86.96
87.61,87.47,87.69,86.95
87.40,87.34,87.54,87.00
87.16,87.39,87.52,87.05
86.83,87.77,87.89,86.77
87.57,87.51,87.75,87.30
87.91,88.32,88.51,87.83
88.34,88.57,88.62,88.11
88.64,89.21,89.26,88.38
89.24,89.00,89.29,88.91
89.15,89.29,89.85,88.93
89.73,89.94,89.94,89.29
90.01,90.00,90.23,89.38
89.96,90.05,90.16,89.65
89.97,88.97,90.02,88.69
88.87,89.58,89.68,88.76
89.96,90.37,90.70,89.85
89.82,89.28,90.18,89.15
89.71,90.08,90.38,89.59
89.65,90.46,90.52,89.57
90.39,90.16,90.55,89.55
90.28,90.80,90.86,90.24
90.71,90.70,90.75,90.26
90.74,91.10,91.24,90.68
91.19,91.48,91.55,90.98
91.18,91.71,91.88,91.16
91.67,91.74,92.03,91.47
91.88,92.55,92.56,91.87
92.63,90.83,92.68,90.74
90.77,89.95,90.82,89.37
90.41,91.03,91.03,90.37
91.50,89.02,91.53,88.97
89.41,89.37,89.78,88.79
89.36,90.31,90.85,89.31
90.30,90.48,91.05,90.18
89.88,90.89,91.06,89.21
90.67,91.13,91.17,90.20
91.61,92.19,92.35,91.60
92.47,92.43,92.60,92.12
92.48,92.87,92.94,92.32
93.60,93.73,93.75,92.92
93.42,93.70,93.75,93.33
93.48,93.51,93.75,93.18
93.54,93.86,94.02,93.25
94.03,94.80,94.81,93.87
94.65,94.75,94.96,94.39
93.74,94.23,94.61,93.67
94.41,93.83,94.71,93.01
94.36,94.70,94.74,94.26
94.04,93.87,94.47,93.54
94.25,94.16,94.37,93.94
94.12,93.95,94.72,93.28
94.34,94.25,94.49,93.75
93.65,94.31,94.38,93.24
94.27,94.43,94.66,94.14
94.27,93.16,94.47,92.71
93.78,92.58,93.92,92.50
92.94,91.13,92.98,90.92
91.26,91.91,91.94,90.96
90.52,91.73,91.75,90.42
91.99,92.49,92.52,91.33
92.64,92.22,92.83,92.04
92.51,93.89,94.10,92.45
93.83,94.02,94.57,93.75
93.70,93.64,93.94,92.92
93.06,90.11,93.15,89.79
90.81,91.67,91.80,90.49
90.92,90.08,91.02,89.23
90.15,89.58,90.37,89.13
89.96,90.61,90.69,89.21
90.70,90.87,91.07,89.20
91.60,92.31,92.34,90.86
92.29,92.79,92.86,91.93
93.03,93.40,93.90,92.89
93.09,92.90,93.36,92.50
93.31,93.57,93.78,93.07
93.58,94.10,94.14,93.17
93.81,91.82,93.90,91.76
92.34,93.28,93.47,92.17
94.53,94.76,95.47,94.35
94.83,95.37,95.50,94.74
95.51,96.15,96.17,95.13
95.93,96.43,96.47,95.68
96.30,96.10,96.51,95.75
96.21,96.83,96.93,96.07
96.74,96.76,97.12,96.43
96.94,98.00,98.03,96.93
97.80,98.20,98.67,97.69
98.03,97.95,98.56,97.70
98.40,99.05,99.07,97.96
98.76,99.21,99.60,98.75
99.20,99.23,99.55,98.88
99.41,97.78,100.38,97.11
96.65,97.90,97.93,96.51
97.30,97.88,97.95,96.71
99.20,99.15,100.10,98.48
98.55,98.23,99.18,97.37
98.50,98.89,99.13,98.31
98.38,97.80,99.02,97.77
98.14,98.73,98.84,97.03
98.68,97.68,99.20,96.92
97.56,96.43,97.71,96.15
96.36,97.45,97.45,95.73
97.90,98.20,98.45,97.27
98.64,98.80,98.80,97.81
97.68,97.73,98.47,96.86
98.33,96.76,98.48,96.63
96.73,98.47,98.70,96.37
98.28,97.71,98.64,97.42
98.59,98.35,98.86,97.76
98.52,99.51,99.80,98.33
99.51,98.29,99.70,98.16
