RGI,Guggenheim S&P 500 Equal Weight Industrials ETF,NASDAQ
55.56,55.94,55.94,55.56
56.00,56.00,56.20,56.00
55.17,55.30,55.30,54.79
55.58,55.06,55.58,55.01
55.09,55.50,55.50,55.00
55.67,56.00,56.00,55.67
56.38,56.59,56.76,56.38
56.80,57.53,57.53,56.80
57.50,58.55,58.56,57.50
58.28,58.23,58.31,58.06
58.00,58.32,58.33,58.00
58.90,58.97,59.22,58.74
58.29,58.16,58.29,57.98
57.04,57.13,57.25,57.04
56.97,56.76,56.97,56.70
57.02,56.81,57.30,56.81
57.02,56.00,57.02,56.00
55.90,56.03,56.12,55.84
55.99,55.15,55.99,55.15
55.61,56.10,56.22,55.61
56.30,56.44,56.44,55.98
57.08,57.13,57.37,57.08
57.03,56.76,57.03,56.47
56.36,56.63,56.79,56.36
56.36,55.91,56.36,55.79
55.35,54.09,55.35,54.00
54.12,53.50,54.23,53.50
52.95,53.45,53.64,52.57
54.11,52.36,54.11,52.25
52.26,51.48,52.49,51.30
51.05,51.14,51.17,49.97
50.91,48.69,50.91,48.69
49.53,48.25,49.53,47.34
47.05,45.03,47.42,45.03
45.29,45.89,46.08,44.98
46.05,44.83,46.17,44.83
45.57,47.29,47.29,45.33
47.95,47.90,48.04,47.80
48.44,48.55,48.62,48.35
48.00,47.90,48.22,47.83
48.16,47.75,48.57,47.50
46.76,44.99,46.76,44.84
44.41,44.44,45.46,44.41
45.45,44.66,45.45,44.57
44.68,46.15,46.15,44.53
46.48,47.20,47.32,46.29
47.30,46.28,47.30,46.28
46.10,46.85,47.01,45.76
48.02,49.03,49.03,48.02
49.11,49.16,49.16,49.11
50.00,49.80,50.42,49.59
49.85,49.11,50.29,48.91
48.20,47.38,48.20,47.29
45.88,47.02,47.02,45.88
47.72,48.13,48.13,47.72
48.00,47.65,48.29,47.65
46.97,46.38,47.24,46.03
45.94,46.30,46.30,45.27
47.04,47.33,47.42,47.04
47.12,48.25,48.26,47.12
48.73,48.71,48.73,48.71
48.82,48.81,48.82,48.81
47.94,48.51,48.51,47.94
48.81,48.87,48.87,48.66
47.61,46.98,47.61,46.98
44.84,44.37,44.84,44.18
44.61,45.04,45.07,44.61
45.28,46.22,46.22,45.04
47.40,47.58,47.58,47.31
46.85,46.26,46.85,46.26
46.69,45.69,46.69,45.69
45.47,45.46,45.89,45.00
44.89,43.50,44.89,43.50
42.98,44.75,44.75,42.50
45.07,45.88,45.92,44.88
45.70,46.74,46.74,45.57
46.83,46.78,46.97,46.40
47.79,47.79,47.79,47.79
48.09,48.43,48.43,47.96
48.81,49.03,49.45,48.81
48.54,48.61,48.61,48.36
48.98,48.95,48.98,48.95
48.74,48.34,48.74,48.20
48.35,49.16,49.28,48.14
49.36,49.36,49.36,49.36
48.91,49.04,49.04,48.91
49.89,49.89,49.89,49.89
51.24,51.32,51.32,51.24
51.04,50.80,51.12,50.80
51.02,50.44,51.05,50.44
52.18,52.64,52.64,51.99
52.22,52.70,52.70,52.22
51.93,52.13,52.26,51.73
50.06,49.96,50.49,49.51
50.52,50.86,50.86,50.52
51.65,52.01,52.02,51.65
51.73,51.68,51.73,51.33
51.23,51.47,51.47,51.23
52.20,51.73,52.20,51.56
50.93,50.41,50.93,50.41
51.00,50.67,51.00,50.67
51.97,52.05,52.07,51.93
51.98,51.68,52.07,51.50
51.80,52.21,52.38,51.38
51.70,51.68,52.36,51.60
51.18,50.29,51.40,50.13
50.70,50.79,50.79,50.51
49.24,49.57,49.59,48.96
49.21,49.25,49.51,48.85
48.37,48.16,48.48,47.98
48.09,48.09,48.09,48.09
49.81,49.75,49.89,49.61
49.98,49.77,49.98,49.77
51.85,51.64,51.97,51.64
52.08,51.99,52.21,51.86
52.71,52.19,52.71,52.09
52.65,52.86,52.86,52.62
52.64,52.54,52.80,52.30
52.33,52.01,52.39,51.85
51.97,51.04,51.97,51.04
52.10,52.20,52.29,52.03
51.43,51.06,51.43,50.94
51.54,51.44,51.65,51.44
49.89,49.85,50.15,49.85
50.07,50.24,50.36,50.07
50.68,50.18,50.71,50.10
50.63,49.67,50.63,49.67
51.35,51.45,51.45,51.20
51.25,50.99,51.25,50.92
51.88,51.93,52.05,51.80
51.99,52.25,52.27,51.99
52.23,52.46,52.46,52.23
51.60,51.59,51.60,51.53
52.16,52.24,52.24,52.14
52.25,52.03,52.37,52.03
52.99,53.00,53.41,52.99
52.76,53.16,53.16,52.56
53.07,53.30,53.40,52.50
53.25,53.16,53.36,53.14
53.23,53.44,53.44,53.15
53.91,54.24,54.39,53.91
54.46,54.51,54.61,54.46
54.70,55.01,55.13,54.53
54.47,54.64,54.66,54.24
55.11,55.05,55.19,55.05
55.18,55.34,55.34,54.95
55.84,55.94,55.96,55.84
55.88,55.62,55.88,55.57
55.76,55.43,55.99,55.43
55.17,55.57,55.58,55.17
56.21,56.48,56.48,56.21
56.28,56.04,56.28,56.04
55.85,56.12,56.12,55.83
55.48,55.74,55.80,55.30
56.02,55.66,56.02,55.42
56.22,56.47,56.56,56.10
56.25,56.32,56.50,56.25
56.79,57.30,57.36,56.79
57.24,57.16,57.25,57.12
56.95,57.13,57.15,56.78
57.28,57.28,57.29,57.00
57.46,57.45,57.46,57.20
56.98,56.79,56.99,56.73
57.33,57.72,57.72,57.33
57.38,57.03,57.38,57.03
57.56,57.02,57.56,57.02
57.20,57.33,57.35,57.20
57.46,57.46,57.46,57.44
57.77,57.57,57.80,57.50
57.68,57.68,57.68,57.68
57.75,57.81,57.81,57.69
57.87,57.71,57.90,57.71
57.29,57.95,57.95,57.29
57.77,57.71,57.79,57.49
57.94,57.57,57.96,57.57
57.74,57.58,57.74,57.51
57.53,57.11,57.62,57.05
57.00,56.84,57.00,56.62
56.36,55.53,56.36,55.49
55.70,55.98,56.10,55.66
56.29,56.76,56.76,56.29
57.25,57.03,57.28,56.99
57.11,57.15,57.16,57.11
57.49,58.20,58.20,57.49
58.08,57.93,58.08,57.93
57.89,58.55,58.56,57.89
58.41,58.22,58.43,58.17
58.14,58.23,58.46,58.14
57.95,57.56,57.95,57.41
57.64,57.77,57.79,57.64
57.14,57.02,57.14,56.58
57.00,57.13,57.22,57.00
57.79,58.06,58.06,57.76
58.02,57.93,58.11,57.88
57.61,57.17,57.61,57.03
56.89,57.30,57.35,56.81
58.26,57.50,58.26,57.50
57.45,57.82,58.08,57.45
57.87,57.52,57.87,57.35
57.03,57.19,57.19,57.03
57.12,56.89,57.13,56.89
56.01,55.96,56.06,55.96
55.07,54.88,55.07,54.86
55.38,55.56,55.75,55.38
55.70,56.62,56.72,55.70
56.38,55.90,56.41,55.90
56.24,56.12,56.41,55.89
56.34,57.02,57.06,56.34
57.02,57.02,57.02,57.02
56.82,56.06,56.86,55.97
56.72,56.54,56.72,56.44
55.70,55.71,55.81,55.53
56.28,56.25,56.31,56.20
56.72,56.47,56.72,56.47
56.98,57.00,57.00,56.98
57.04,57.40,57.52,57.04
56.72,56.89,56.89,56.71
57.11,57.16,57.30,57.11
56.80,57.12,57.13,56.80
56.54,56.54,56.54,56.54
55.98,55.82,55.98,55.60
55.67,55.35,55.76,55.35
54.67,55.40,55.42,54.67
54.19,54.95,55.20,54.05
54.86,54.86,54.86,54.86
54.73,54.73,54.73,54.73
54.18,54.10,54.48,53.90
54.10,53.78,54.10,53.57
53.96,53.81,53.96,53.81
52.67,52.21,52.67,52.19
52.48,51.96,52.48,51.96
51.97,53.10,53.10,51.97
52.72,53.34,53.78,52.72
53.22,52.76,53.22,52.76
52.76,52.76,52.76,52.76
53.82,53.82,53.82,53.82
53.81,54.07,54.26,53.81
53.38,53.38,53.38,53.38
53.26,53.10,53.26,53.00
52.02,51.90,52.12,51.85
51.47,51.06,51.47,51.06
50.85,51.18,51.19,50.85
52.48,52.69,52.69,52.48
53.81,53.12,53.81,53.11
52.60,53.29,53.29,52.60
53.40,52.80,53.64,52.80
53.04,53.04,53.04,53.04
53.04,53.04,53.04,53.04
53.06,53.11,53.16,53.06
53.16,53.13,53.16,53.13
52.86,53.53,53.56,52.86
54.18,54.30,54.30,54.18
53.86,53.81,53.86,53.81
53.38,52.94,53.38,52.94
52.84,52.48,52.84,52.48
51.94,51.73,51.94,51.43
51.54,51.85,51.85,51.53
51.91,52.41,52.41,51.91
52.01,51.87,52.18,51.87
53.71,54.00,54.00,53.71
53.67,53.70,53.70,53.67
54.08,54.19,54.19,54.08
54.42,54.42,54.42,54.42
