ITA,iShares U.S. Aerospace & Defense ETF,NASDAQ
49.12,48.91,49.35,48.65
48.42,49.13,49.24,47.71
49.34,49.26,49.93,49.10
49.66,50.39,50.44,48.98
50.14,49.55,50.33,49.52
49.30,49.07,49.55,48.88
49.77,51.03,51.04,49.77
51.17,51.62,51.65,51.05
52.14,52.42,52.58,51.94
52.11,51.54,52.14,51.46
51.63,51.94,52.21,51.63
52.49,51.73,52.56,51.39
51.82,52.34,52.52,51.82
52.90,53.02,53.20,52.76
52.93,52.46,52.93,52.45
52.31,52.30,52.37,51.99
52.30,52.26,52.40,52.07
52.64,52.95,53.22,52.31
53.08,54.02,54.16,52.82
54.11,53.97,54.41,53.84
53.90,53.51,54.37,53.36
52.92,52.51,53.27,52.50
53.17,53.97,54.04,53.15
54.00,53.43,54.06,53.43
53.33,53.85,53.92,52.64
53.53,54.02,54.14,53.53
54.42,53.88,55.00,53.78
54.64,53.81,55.23,53.69
53.68,53.13,54.07,52.92
53.75,54.67,54.78,53.60
54.51,54.94,55.11,54.51
55.11,54.87,55.11,54.51
54.91,55.26,55.40,54.39
55.06,55.17,55.39,54.99
55.03,55.22,55.35,54.41
56.24,56.04,56.25,55.51
56.00,55.73,56.00,55.42
56.16,55.62,56.37,55.47
55.60,55.84,55.95,55.43
55.65,54.84,55.65,54.61
54.92,55.76,55.93,54.92
55.89,56.53,56.95,55.89
56.55,56.74,56.74,56.36
56.94,56.75,57.27,56.73
56.42,56.84,56.96,56.38
56.44,56.63,56.63,55.94
56.83,56.74,57.30,56.35
56.59,56.85,56.97,56.48
57.03,56.42,57.51,56.42
57.24,57.33,57.38,57.00
57.33,57.24,57.53,56.91
57.83,58.26,58.33,57.79
58.66,58.60,58.77,58.31
58.48,58.22,58.48,58.00
58.40,57.61,58.40,57.61
57.76,57.37,57.76,57.00
56.88,56.36,56.88,56.27
55.80,55.43,55.91,55.32
55.54,55.54,55.88,55.33
55.22,54.91,55.36,54.55
55.01,54.94,55.03,54.77
55.44,56.05,56.05,55.44
55.90,56.04,56.14,55.65
55.52,55.79,55.96,55.20
55.19,55.55,55.55,54.95
55.99,57.07,57.07,55.99
56.77,56.63,56.93,56.47
56.18,56.28,56.41,55.63
55.73,56.30,56.44,55.73
57.06,57.77,57.77,57.06
57.77,58.41,58.47,57.77
58.17,58.41,58.48,58.03
58.48,58.41,58.55,58.05
58.75,58.64,59.07,58.61
58.48,58.51,59.06,58.44
58.76,58.20,58.76,58.18
58.38,58.66,58.75,58.30
58.70,58.49,58.76,58.48
58.53,58.72,58.97,58.53
58.60,58.32,58.80,58.26
58.22,58.78,58.84,58.21
58.70,58.74,58.75,58.30
58.80,58.51,58.80,58.32
58.68,58.84,58.94,58.62
58.71,58.92,58.96,58.71
58.83,59.06,59.15,58.83
58.82,58.95,59.02,58.67
59.10,58.95,59.10,58.66
58.91,58.93,59.08,58.87
58.75,58.75,58.89,58.67
58.68,58.85,58.95,58.59
59.13,59.45,59.56,59.13
59.58,59.28,59.59,58.93
59.47,60.01,60.01,58.98
60.12,60.53,60.76,60.09
60.70,60.91,61.05,60.56
60.66,60.76,60.76,60.20
60.94,60.55,60.94,60.28
61.05,61.17,61.40,61.05
61.18,61.28,61.40,61.18
60.82,61.67,61.69,60.82
61.55,62.78,62.78,61.55
62.73,62.17,62.73,62.03
62.35,62.10,62.35,61.75
62.75,62.01,62.75,61.97
62.04,62.24,62.34,61.78
62.08,62.67,62.68,62.06
62.78,62.64,62.80,62.30
62.63,63.09,63.26,62.63
63.45,61.72,63.45,61.60
61.93,62.32,62.43,61.93
62.46,63.16,63.24,62.46
62.91,63.27,63.49,62.91
63.15,63.09,63.20,62.72
63.53,63.19,63.53,62.91
63.35,63.93,64.02,63.35
64.36,64.31,64.36,63.88
64.18,64.31,64.31,63.93
64.22,64.23,64.31,63.84
64.19,64.23,64.41,63.89
64.64,64.06,64.64,63.84
64.13,64.05,64.14,63.73
64.13,64.17,64.37,63.74
63.92,64.38,64.55,63.90
64.76,64.69,64.90,64.61
64.37,62.86,64.37,62.64
62.85,62.11,63.11,61.69
62.00,62.53,62.99,61.87
62.93,63.17,63.33,62.84
63.44,62.94,63.60,62.82
63.14,61.84,63.14,61.75
61.72,62.05,62.18,61.44
62.53,63.73,63.93,62.53
63.69,63.10,63.69,62.36
63.27,62.25,63.34,61.89
62.19,63.37,63.69,62.19
63.33,63.77,63.84,63.25
63.11,62.41,63.11,62.29
62.11,62.93,63.17,62.10
62.44,62.35,62.68,61.94
60.79,61.74,62.02,60.35
61.52,60.40,61.52,60.19
60.99,60.97,61.43,60.78
61.74,61.57,61.93,61.30
62.77,62.91,63.10,62.62
62.60,62.81,62.93,62.60
62.76,63.15,63.35,62.36
63.43,63.46,63.51,63.18
63.48,63.55,63.94,63.13
63.76,63.30,63.76,63.28
63.25,63.63,63.63,62.97
63.90,63.88,63.94,63.61
63.84,64.23,64.30,63.84
64.70,64.67,65.14,64.63
64.73,64.34,64.73,64.10
64.30,64.32,64.73,64.09
64.72,64.65,64.73,64.43
64.62,64.51,65.00,64.39
64.87,63.64,64.87,63.37
63.70,63.49,63.91,63.44
63.08,62.91,63.26,62.81
63.20,62.26,63.20,61.86
61.74,61.87,61.94,61.30
61.87,62.26,62.35,61.76
61.40,61.27,61.41,60.95
61.57,61.55,61.84,61.26
62.36,62.98,63.04,62.36
62.85,63.21,63.21,62.85
63.11,62.82,63.11,62.62
63.19,63.77,64.01,63.19
63.81,63.99,64.13,63.76
63.88,64.23,64.32,63.88
64.26,64.76,64.95,64.26
65.00,64.75,65.29,64.71
64.58,64.86,65.19,64.58
64.86,64.04,64.95,63.94
63.64,64.06,64.72,63.50
64.71,64.77,65.34,64.65
64.84,65.11,65.41,64.64
65.35,65.72,65.84,65.35
65.63,65.28,65.75,65.01
65.01,65.75,65.90,65.01
65.49,64.99,65.76,64.82
64.78,64.84,65.07,64.58
64.53,64.14,64.68,63.91
64.19,64.73,64.79,64.19
65.30,64.98,65.41,64.84
64.90,64.39,64.90,64.32
63.52,63.35,63.64,63.19
63.46,63.00,63.47,62.84
62.88,63.45,63.59,62.88
63.34,63.48,63.57,62.99
63.64,63.84,63.93,63.64
64.47,64.52,64.54,64.16
64.45,62.83,64.59,62.83
63.15,62.89,63.31,62.75
62.15,62.31,62.62,61.74
62.14,62.29,62.56,62.14
62.59,62.28,62.60,62.28
62.09,61.82,62.09,61.78
61.68,62.17,62.29,61.68
61.93,61.34,61.93,61.34
61.58,61.58,61.61,61.42
62.06,62.70,62.82,62.06
62.26,62.16,62.74,62.02
62.34,62.58,62.84,62.12
63.05,62.77,63.25,62.72
63.25,63.49,63.61,63.25
63.94,64.07,64.12,63.88
64.07,64.03,64.68,64.03
63.40,63.67,63.67,62.68
63.53,62.96,63.54,62.80
63.04,63.44,63.59,62.79
63.55,64.19,64.22,63.55
64.52,64.65,64.70,64.32
64.77,65.64,65.68,64.77
65.72,66.45,66.50,65.72
66.51,66.06,66.51,65.85
66.11,66.38,66.45,66.01
66.76,66.75,66.88,66.50
65.96,66.23,66.23,65.77
65.56,65.04,65.66,65.00
64.91,64.64,64.95,64.53
64.82,64.70,65.25,64.55
64.83,63.80,64.84,63.74
64.08,63.26,64.08,62.79
62.97,62.55,62.97,62.15
62.78,63.50,63.66,62.78
63.77,64.13,64.21,63.77
64.42,65.34,65.43,64.42
65.25,64.88,65.25,64.52
64.13,64.42,64.81,64.03
64.35,63.85,64.35,63.83
63.68,62.00,63.68,61.89
62.07,61.71,62.89,61.65
61.05,61.97,62.41,60.69
62.25,61.30,62.25,60.61
60.83,59.56,61.41,59.56
59.48,59.51,59.82,58.42
58.72,56.43,58.72,56.43
57.07,56.11,57.07,55.00
54.11,51.80,55.19,51.76
52.64,54.75,54.75,51.20
53.43,51.28,53.50,51.28
51.05,53.49,54.06,51.05
54.13,54.61,54.83,53.85
55.00,55.64,55.64,54.81
54.92,55.07,55.60,54.92
55.15,55.14,55.64,54.85
53.67,52.09,53.67,51.71
51.24,51.57,52.55,50.91
52.76,51.99,52.76,51.90
52.23,53.96,53.96,52.23
53.78,55.09,55.10,53.78
55.40,54.16,55.84,54.08
53.60,55.34,55.45,53.05
56.00,57.21,57.24,56.00
57.06,57.81,58.01,56.78
58.27,58.14,58.73,57.62
58.61,56.88,58.61,56.85
55.67,54.71,55.68,54.66
52.88,54.26,54.26,52.88
55.07,55.96,56.02,55.07
55.49,55.08,56.02,55.08
54.33,53.64,54.52,53.28
52.79,53.88,53.88,52.79
54.23,54.62,55.00,53.96
54.93,55.54,56.00,54.07
55.96,56.57,56.60,55.96
56.10,57.45,57.67,56.10
56.50,57.29,57.29,56.22
57.40,56.68,57.48,56.63
56.60,54.55,56.63,54.55
53.14,52.98,53.28,52.79
53.41,53.63,53.89,52.87
54.20,55.20,55.20,53.80
56.69,56.46,57.35,56.11
56.41,55.10,56.88,55.01
56.02,55.62,56.51,54.73
54.83,54.50,55.36,54.50
54.00,52.55,54.75,52.55
52.38,53.81,53.81,51.74
53.82,54.68,54.68,53.72
54.73,55.69,55.69,54.40
56.00,55.66,56.31,55.31
56.75,57.20,57.20,56.52
57.03,57.49,57.65,57.03
57.68,58.02,58.39,57.61
57.49,57.53,57.61,56.85
58.15,58.09,58.15,57.59
57.73,56.48,57.84,56.48
56.59,57.82,57.82,56.56
57.68,57.18,58.20,57.07
57.36,57.49,57.67,56.54
58.10,58.99,58.99,58.10
59.09,59.95,60.04,59.09
59.72,59.06,59.82,59.06
60.16,59.19,60.16,58.75
60.83,61.13,61.71,60.43
60.74,60.94,61.04,60.68
60.23,59.91,60.78,59.91
58.27,57.67,58.40,57.25
58.42,58.60,58.80,58.26
59.29,60.48,60.52,59.16
60.01,60.31,60.31,59.34
60.32,60.93,60.95,60.07
61.21,61.52,61.52,60.34
60.25,59.56,60.36,59.46
60.09,59.78,60.29,59.70
60.57,61.09,61.13,60.56
60.98,60.72,61.46,60.72
60.61,61.47,61.54,60.58
60.67,60.36,61.30,60.34
60.35,59.32,60.35,58.80
59.52,59.60,59.78,59.24
58.68,58.40,58.68,57.34
58.17,57.87,58.34,57.60
57.27,56.26,57.27,56.26
56.02,56.59,57.07,55.97
57.85,58.34,58.67,57.85
58.93,58.42,58.96,58.26
60.08,60.94,60.95,60.06
60.87,60.94,61.27,60.87
61.56,60.59,61.60,60.58
61.26,60.92,61.40,60.67
60.80,61.05,61.05,60.80
60.61,60.73,60.97,60.00
60.27,59.31,60.27,59.25
59.61,60.68,60.70,59.61
60.03,59.73,60.03,59.26
60.28,59.25,60.28,59.16
58.82,58.69,59.16,58.59
59.45,59.13,59.45,59.03
59.60,59.27,59.93,59.09
59.69,58.84,59.96,58.79
59.59,60.79,60.91,59.59
60.84,61.13,61.13,60.35
61.13,61.47,61.61,60.54
61.66,61.70,61.74,61.43
61.70,61.83,61.91,61.36
61.64,60.86,61.64,60.80
61.21,61.65,61.66,61.16
61.48,61.19,61.70,61.19
62.16,61.99,62.56,61.92
61.85,61.94,61.98,61.47
61.47,61.74,61.83,60.94
61.67,61.85,62.00,61.54
61.79,62.11,62.15,61.68
62.77,63.12,63.26,62.77
62.98,63.31,63.45,62.98
63.43,63.76,63.81,63.42
63.39,63.17,63.39,62.98
63.91,63.69,64.10,63.60
63.49,64.09,64.10,63.44
64.36,64.68,64.91,64.33
64.59,64.53,64.72,64.41
64.49,64.30,65.05,64.22
64.01,64.30,64.39,63.69
64.22,64.86,65.02,63.94
64.80,64.39,64.80,64.36
64.28,64.30,64.36,64.04
63.68,63.87,64.05,63.65
64.19,64.34,64.48,63.99
64.70,65.51,65.72,64.70
65.63,65.31,65.63,65.08
66.06,66.47,66.55,65.76
66.11,66.05,66.23,66.02
66.00,66.46,66.54,65.92
66.53,66.91,66.92,66.49
67.00,67.01,67.27,66.84
66.46,66.51,66.55,66.33
66.72,67.14,67.19,66.72
66.95,67.00,67.08,66.69
67.25,66.26,67.25,66.22
66.20,66.64,66.68,66.08
66.88,67.01,67.07,66.82
66.99,66.95,67.29,66.84
66.93,66.90,67.08,66.80
66.98,66.91,66.98,66.69
67.00,67.28,67.78,67.00
66.96,67.10,67.32,66.50
67.03,66.94,67.03,66.74
67.20,66.80,67.42,66.79
66.98,66.98,67.20,66.98
66.95,66.64,67.13,66.50
66.55,66.42,66.55,66.30
65.68,65.15,65.79,65.00
65.48,65.58,65.66,65.21
66.04,66.53,66.59,66.00
66.62,66.92,67.23,66.62
66.89,66.89,66.99,66.78
67.08,67.83,67.83,67.08
67.75,67.87,67.94,67.68
67.75,67.96,67.99,67.54
68.05,67.69,68.11,67.69
67.56,67.73,68.06,67.53
67.34,66.84,67.34,66.77
66.66,66.91,66.91,66.66
66.14,66.57,66.58,66.00
66.62,67.00,67.00,66.56
67.33,67.97,67.99,67.33
68.00,67.59,68.00,67.59
67.57,67.04,67.65,66.72
66.77,67.01,67.01,66.34
67.22,67.13,67.33,66.98
66.93,67.69,67.88,66.78
67.70,67.42,67.73,67.31
66.80,66.81,66.82,66.64
66.48,66.22,66.63,66.18
65.25,65.17,65.29,65.01
65.06,63.98,65.06,63.97
64.60,64.84,65.07,64.58
65.57,66.23,66.32,65.57
66.05,65.46,66.05,65.46
65.80,65.56,65.89,65.43
65.94,66.67,66.79,65.94
66.23,66.26,66.42,66.21
66.20,65.53,66.36,65.50
65.95,66.24,66.58,65.95
65.57,65.58,65.58,65.27
65.69,65.86,66.04,65.58
66.35,66.41,66.81,66.18
66.32,66.98,67.01,66.32
67.13,67.42,67.55,67.02
67.26,66.83,67.26,66.76
66.86,67.06,67.36,66.80
66.61,66.97,66.97,66.41
66.95,66.40,66.99,66.40
66.19,65.40,66.19,65.27
65.13,65.17,65.40,65.00
64.66,64.91,64.91,64.42
64.24,64.04,64.46,63.82
64.31,63.98,64.34,63.98
64.20,63.89,64.27,63.81
63.39,63.50,63.87,63.00
63.50,63.21,63.77,63.20
63.48,62.83,63.54,62.72
62.44,61.54,62.54,61.54
61.72,61.00,61.79,61.00
61.41,62.17,62.21,61.41
62.42,62.06,62.60,61.95
61.55,62.21,62.28,61.11
62.26,62.05,62.32,61.51
62.08,61.69,62.08,61.69
62.20,62.31,62.31,61.99
61.97,62.02,62.02,61.77
61.70,61.78,62.01,61.70
60.67,60.17,60.88,60.17
60.33,59.96,60.33,59.69
59.95,60.08,60.10,59.89
61.02,61.48,61.48,61.02
62.22,62.09,62.55,62.01
61.79,62.10,62.18,61.79
62.30,61.91,62.69,61.91
61.82,62.56,62.56,61.82
62.07,61.83,62.40,61.80
61.85,62.12,62.58,61.85
62.38,62.34,62.40,62.24
62.53,62.86,63.02,62.51
62.87,63.54,63.63,62.87
63.29,63.34,63.58,63.10
63.44,62.25,63.55,62.25
62.80,62.56,62.80,62.17
61.84,61.68,61.90,61.68
61.78,61.53,61.78,61.18
61.60,62.29,62.33,61.60
61.79,61.86,61.88,61.30
62.80,64.00,64.07,62.80
64.09,63.80,64.38,63.56
63.94,64.34,64.41,63.93
64.40,64.49,64.67,64.22
63.81,63.61,63.89,63.36
63.48,63.59,63.63,63.33
64.05,63.01,64.05,62.89
62.81,62.23,63.06,62.23
61.79,61.86,62.10,61.36
62.80,63.10,63.14,62.80
62.75,62.82,62.82,62.36
62.68,62.72,63.20,62.21
62.76,63.71,63.92,62.76
64.36,64.32,64.46,64.28
63.97,63.51,64.19,63.51
62.69,62.62,62.88,62.12
62.24,61.75,62.83,61.45
62.01,61.96,62.25,61.63
63.00,62.42,63.00,62.12
62.59,63.34,63.54,62.59
63.26,63.26,63.60,63.12
63.47,63.12,63.47,63.12
63.06,62.45,63.43,62.45
61.92,61.91,61.93,61.39
62.18,63.34,63.70,62.18
63.50,63.32,63.78,63.32
63.77,64.30,64.50,63.77
64.01,64.39,64.39,63.94
64.56,64.75,64.75,64.47
64.34,64.58,64.59,64.30
64.58,64.45,64.58,64.11
64.53,64.26,64.65,64.26
63.90,64.34,64.38,63.90
64.36,64.96,65.01,64.36
65.10,65.39,65.39,64.99
65.28,65.63,65.64,65.28
65.80,65.42,65.98,65.40
65.36,64.92,65.36,64.81
64.38,64.23,64.38,64.03
64.03,64.46,64.55,64.03
64.72,64.41,64.72,62.84
64.39,64.56,64.56,64.35
64.48,64.64,64.76,64.48
64.23,64.10,64.26,64.00
64.68,64.52,64.88,64.23
64.53,64.17,64.53,63.68
64.20,64.30,64.40,63.98
64.83,65.58,65.61,64.83
65.74,65.91,65.98,65.74
65.53,65.26,65.64,65.26
65.33,65.40,65.51,65.33
65.49,65.62,65.82,65.49
65.53,66.28,66.36,65.23
65.88,66.60,67.14,65.88
66.55,66.29,66.55,64.97
66.24,66.25,66.25,66.02
66.35,66.25,66.35,65.97
66.04,65.89,66.04,65.54
66.33,66.17,66.46,66.13
65.91,65.72,65.91,65.51
65.39,65.06,65.48,64.94
64.87,64.92,65.17,64.87
65.20,65.46,65.46,65.06
65.05,65.25,65.47,64.93
65.65,65.93,66.25,65.64
65.94,65.90,65.95,65.79
65.63,65.77,65.80,65.63
66.12,66.11,66.25,65.89
66.67,66.36,66.86,66.15
66.17,66.02,66.25,66.00
65.89,65.39,65.95,65.34
65.32,64.97,65.34,64.97
65.05,65.31,65.86,65.05
65.54,65.33,65.54,65.29
65.49,65.73,65.73,65.41
66.00,66.59,66.59,65.99
66.33,66.79,66.80,64.96
66.74,67.16,67.16,66.68
66.63,66.14,66.89,66.14
66.00,65.83,66.21,65.65
65.20,65.32,65.41,65.00
65.66,65.41,65.94,65.36
65.48,65.22,65.77,64.79
65.37,65.30,65.37,64.88
65.80,65.75,65.81,65.35
65.84,66.38,66.92,65.84
66.66,66.02,66.66,66.00
65.78,66.06,66.06,65.62
66.55,67.20,67.37,66.55
66.40,65.17,66.40,64.67
65.00,64.45,65.27,64.45
64.13,64.73,64.97,64.11
65.05,65.10,65.15,64.86
65.13,65.03,65.30,65.02
65.01,63.47,65.01,63.44
63.32,63.15,63.48,62.92
62.89,63.35,63.36,62.68
64.02,64.69,64.69,64.02
64.60,64.88,64.88,64.51
65.00,65.43,65.45,65.00
65.49,65.97,65.97,65.49
65.84,66.11,66.12,65.82
66.10,66.30,66.52,66.09
66.04,66.86,66.86,65.74
67.08,67.33,67.45,67.01
67.40,67.33,67.50,67.17
67.44,66.64,67.65,66.64
67.07,66.89,67.16,66.68
66.96,66.99,67.24,66.37
67.00,66.93,67.03,66.80
67.18,67.25,67.26,66.94
67.23,67.85,67.85,67.12
68.10,68.08,68.37,67.91
68.31,67.81,68.55,67.81
67.88,67.27,67.88,67.27
67.14,67.10,67.50,67.10
67.18,67.24,67.41,67.06
67.50,68.52,68.57,67.50
68.01,68.19,68.36,68.01
68.40,68.43,68.58,68.08
67.89,68.35,68.35,67.88
68.35,68.14,68.35,68.14
67.91,67.95,67.95,67.63
67.82,67.94,67.95,67.21
67.44,67.07,67.80,67.07
66.82,68.25,68.25,66.71
69.71,69.86,69.91,69.38
70.00,70.18,70.49,70.00
70.33,70.57,70.63,70.31
70.46,70.22,70.46,70.01
69.61,69.24,69.61,69.09
69.49,69.91,70.09,69.49
69.81,70.02,70.05,69.76
70.06,69.63,70.06,69.55
69.56,69.47,69.56,69.39
69.29,70.06,70.08,69.29
69.66,69.37,69.66,69.25
69.60,70.20,70.24,69.60
70.27,70.50,70.50,70.20
70.45,70.87,70.87,70.36
70.67,71.06,71.12,70.63
71.16,71.31,71.31,71.05
71.37,71.27,71.40,71.20
70.83,70.53,70.83,70.52
70.51,70.50,70.65,70.32
70.60,69.79,70.60,69.79
69.60,69.10,69.60,69.10
69.63,69.55,69.67,69.50
69.26,68.97,69.58,68.97
69.39,69.85,69.94,69.39
69.52,69.87,70.00,69.52
70.01,70.57,70.59,69.86
70.81,70.95,71.06,70.81
70.97,70.93,71.05,70.77
70.96,71.05,71.20,70.96
71.11,70.83,71.11,70.81
70.64,70.89,71.03,70.64
70.30,70.82,70.87,70.30
71.01,71.15,71.15,70.98
71.20,70.53,71.26,70.53
70.00,69.93,70.30,69.68
70.60,70.78,70.78,70.55
71.18,69.52,71.18,69.50
69.90,69.88,69.96,69.73
69.86,71.21,71.21,69.86
71.09,71.19,71.57,71.04
70.34,70.96,71.21,70.31
70.37,70.65,70.67,70.13
70.99,71.55,71.76,70.99
71.62,71.80,71.99,71.61
71.85,72.33,72.43,71.85
72.62,72.88,72.88,72.59
72.68,73.20,73.21,72.68
73.14,73.52,73.52,73.10
73.51,74.32,74.40,73.48
74.44,74.66,74.66,74.44
74.56,75.13,75.13,74.51
74.56,74.79,75.14,74.43
74.97,74.77,75.15,74.30
75.20,75.20,75.28,75.15
75.11,74.51,75.11,74.44
74.56,74.52,74.56,74.36
74.00,73.78,74.12,73.61
74.32,74.43,74.45,74.31
73.90,74.06,74.06,73.70
74.56,74.74,74.74,74.46
75.10,74.00,75.10,73.93
74.25,73.31,74.29,73.21
73.92,73.51,74.00,73.37
74.00,73.66,74.00,73.51
72.79,73.65,73.65,72.78
73.77,74.07,74.07,73.29
74.38,74.40,74.52,74.08
74.55,75.39,75.46,74.55
75.62,75.81,75.82,75.62
75.56,75.54,75.56,75.31
74.88,73.52,74.88,73.52
74.08,73.80,74.08,73.80
73.53,72.53,73.53,72.22
72.00,71.87,72.23,71.83
72.33,72.87,72.87,72.32
72.30,72.97,73.07,72.29
73.50,73.65,73.65,72.98
74.19,74.68,74.75,74.19
74.68,75.39,75.68,74.68
75.30,75.09,75.30,74.91
75.15,75.32,75.32,75.15
75.38,75.68,75.68,75.26
75.60,75.13,75.66,75.08
75.23,75.79,75.88,75.23
76.50,76.71,76.91,76.50
76.73,77.08,77.23,76.73
77.37,77.59,77.59,77.37
77.44,77.60,77.60,77.31
77.96,78.11,78.37,77.96
78.30,78.46,78.46,78.28
78.34,78.24,78.41,78.24
78.53,79.26,79.26,78.53
78.98,79.83,79.93,78.82
79.82,79.38,80.04,79.38
79.73,80.74,80.74,79.73
80.76,80.83,80.98,80.72
81.00,80.76,81.00,80.74
81.08,79.78,81.18,79.76
79.05,79.90,80.16,79.05
79.80,80.20,80.37,79.46
81.09,81.20,81.79,81.09
80.75,80.56,80.87,80.41
80.82,81.16,81.53,80.82
80.83,80.71,81.55,80.71
80.79,80.90,80.94,80.06
81.05,80.37,81.06,79.98
79.95,79.29,80.06,79.18
79.25,80.29,80.29,79.25
80.65,81.68,81.68,80.65
81.95,81.47,81.95,81.20
82.06,81.09,82.06,80.75
81.55,80.40,81.56,80.38
81.00,81.56,81.56,80.33
81.37,81.21,81.70,80.98
81.76,81.81,82.22,81.59
81.89,82.86,83.01,81.89
82.94,81.65,82.94,81.64
