GXC,SPDR S&P China ETF,NASDAQ
66.67,65.92,67.67,65.85
66.65,67.78,67.90,66.07
67.99,67.54,67.99,66.70
66.77,65.75,66.99,65.38
65.90,65.05,66.23,64.86
65.45,66.15,66.26,64.72
66.80,66.25,67.52,65.86
67.19,67.81,67.91,66.84
67.05,68.39,68.44,66.83
68.94,68.13,69.30,67.92
68.88,69.96,69.98,68.57
69.45,70.02,70.25,69.32
69.70,69.33,69.83,68.77
68.95,69.05,69.30,68.81
71.21,71.05,71.82,70.46
70.80,69.97,71.18,69.80
70.87,70.54,70.87,69.93
70.11,69.56,70.14,69.34
69.85,70.21,70.40,69.32
70.27,69.84,70.27,69.51
67.72,66.80,67.96,66.55
67.28,66.76,67.85,66.67
66.73,67.11,67.13,65.74
66.85,66.70,67.29,66.23
67.82,67.51,68.52,66.99
66.89,68.56,68.63,66.83
68.49,68.63,68.69,68.03
68.85,69.72,69.76,68.82
69.95,69.50,69.97,69.21
69.73,70.15,70.31,69.68
69.51,69.71,69.78,69.10
68.55,68.91,68.91,67.76
67.92,67.11,68.03,66.97
67.82,67.72,67.85,67.11
68.22,69.59,69.59,68.00
70.19,69.13,70.19,68.88
70.79,71.08,71.33,70.35
71.03,71.63,71.67,70.42
71.19,71.65,71.79,70.94
71.83,71.25,71.86,70.83
71.37,71.34,71.58,70.91
71.64,71.32,71.85,70.64
70.68,71.68,71.87,70.50
72.89,73.49,73.73,72.82
72.78,73.38,73.49,72.45
73.30,73.47,73.69,72.92
72.99,73.38,73.38,72.75
72.67,73.20,73.20,72.28
73.55,73.69,73.71,73.28
72.46,72.38,72.57,71.75
70.84,70.35,70.84,70.13
69.98,70.05,70.42,69.34
70.30,70.57,70.70,70.26
70.80,71.11,71.47,70.72
71.80,71.75,72.24,71.61
71.39,71.47,71.92,71.09
71.57,71.11,71.66,70.64
71.07,71.32,71.37,70.59
70.96,70.48,71.01,70.38
69.83,69.73,70.07,69.15
69.00,69.49,69.59,68.50
69.60,69.00,69.76,68.88
69.56,70.17,70.35,68.92
69.98,69.50,70.07,69.45
69.29,69.55,69.93,69.18
70.57,71.39,71.42,70.52
71.28,71.77,71.77,71.20
72.60,72.20,72.60,71.97
72.67,71.70,72.94,71.61
71.81,72.27,72.48,71.80
72.95,72.51,72.95,72.25
72.48,72.45,72.55,72.14
74.06,74.26,74.27,73.70
74.16,74.64,74.94,74.00
73.93,74.27,74.28,73.53
73.64,73.84,74.04,73.48
74.48,74.16,74.52,73.92
74.54,75.26,75.30,74.34
75.01,75.18,75.50,74.75
75.08,75.02,75.42,74.89
74.45,74.76,75.15,74.45
75.57,76.25,76.43,75.57
75.98,76.11,76.45,75.98
75.81,76.03,76.25,75.32
76.29,76.44,76.50,76.17
76.71,76.24,76.80,75.84
76.87,76.89,77.17,76.58
77.51,77.04,77.60,76.66
77.69,78.63,78.85,77.69
78.47,78.50,78.56,78.26
78.50,77.86,78.60,77.51
78.13,78.72,78.85,77.87
78.75,79.11,79.15,78.75
78.86,78.90,79.10,78.36
80.05,80.74,81.03,80.05
81.33,80.73,81.33,80.21
81.37,81.13,81.44,80.06
80.68,82.10,82.10,80.53
80.55,79.54,80.55,79.32
80.13,80.51,81.08,80.00
81.03,80.72,81.24,79.83
80.50,80.25,80.66,80.19
81.40,81.60,81.85,81.25
81.13,81.39,81.44,80.54
79.59,79.57,79.67,78.54
79.97,79.69,80.22,79.38
79.49,79.93,79.95,79.45
81.17,80.65,81.43,80.47
81.77,81.85,81.92,81.49
82.76,83.37,83.37,81.96
84.33,84.74,84.88,84.16
84.25,84.59,84.59,84.14
84.85,84.81,84.85,84.30
84.58,83.42,84.73,83.00
83.04,83.80,83.81,82.39
83.78,83.92,83.92,83.06
82.35,81.50,82.52,80.99
81.10,80.63,81.53,80.52
79.78,78.20,79.78,77.99
77.36,77.92,78.34,77.24
79.53,79.63,80.04,79.52
78.95,79.21,79.28,78.17
78.98,79.10,79.48,78.11
77.21,77.20,77.50,76.79
77.76,78.41,78.49,77.76
77.30,76.95,77.42,76.88
77.55,77.96,78.10,76.99
77.03,77.20,77.71,76.95
78.67,79.03,79.32,78.65
79.14,80.15,80.38,79.13
78.55,79.53,79.71,78.55
78.75,78.92,79.03,78.57
79.70,78.69,79.89,78.68
78.39,77.79,78.51,77.48
77.91,77.77,77.91,77.43
77.81,78.02,78.18,77.81
78.76,78.49,79.10,78.49
78.73,78.22,78.74,77.93
77.29,76.68,77.50,76.53
76.12,76.05,76.21,75.75
75.54,75.76,75.91,75.50
75.51,75.29,75.60,75.00
76.28,76.86,77.02,76.25
76.86,76.63,76.88,76.49
76.09,76.05,76.16,75.83
75.20,75.78,75.94,75.06
75.21,74.90,75.21,74.57
75.75,75.90,76.05,75.65
76.06,75.72,76.27,75.68
76.19,76.24,76.33,76.08
77.61,77.43,77.79,77.35
78.57,78.65,78.65,77.91
78.43,79.05,79.20,78.34
78.60,78.56,78.74,78.28
78.52,78.21,78.76,77.56
77.58,77.70,77.80,77.28
78.42,78.25,78.56,78.10
79.75,79.50,79.75,79.16
79.65,79.32,79.65,79.08
79.28,79.50,79.55,79.01
78.86,78.98,79.00,78.49
79.49,78.71,79.49,78.43
78.16,77.62,78.16,76.88
77.81,76.92,77.91,76.90
76.40,76.78,76.83,76.36
76.44,76.43,76.68,75.91
77.10,77.08,77.35,76.85
77.38,77.18,77.50,77.01
76.84,75.27,76.84,75.03
76.10,76.16,76.72,75.95
76.57,77.06,77.40,76.57
77.57,77.25,77.74,77.21
77.46,77.22,77.51,76.92
77.44,77.24,77.47,76.74
76.75,76.96,77.27,76.75
76.56,76.60,76.78,76.14
75.42,74.95,75.42,74.39
73.78,74.52,74.74,73.47
74.37,75.23,75.60,74.27
76.15,75.75,76.21,75.72
75.59,75.76,75.85,75.37
76.04,76.42,76.74,76.01
76.34,76.67,76.82,76.17
77.11,76.75,77.11,76.49
74.96,73.88,74.96,73.64
73.83,73.60,74.13,72.91
73.21,73.47,73.73,72.83
74.13,74.49,74.61,74.13
75.39,75.53,75.66,75.10
76.02,74.92,76.02,74.82
75.32,75.92,76.21,75.32
76.59,77.34,77.36,76.59
77.59,77.45,77.64,76.79
77.67,76.79,77.91,76.48
77.55,78.30,78.53,77.09
78.41,78.48,78.67,78.11
77.78,77.34,77.78,77.00
76.48,77.30,77.60,76.43
77.16,77.49,77.59,76.85
74.28,76.26,76.67,74.24
75.49,74.51,76.20,73.87
74.83,74.32,74.83,73.94
74.98,74.24,74.98,74.17
75.96,76.23,76.44,75.67
76.70,76.51,76.73,76.29
76.67,77.34,77.58,76.35
77.99,78.19,78.45,77.21
78.15,78.29,78.62,78.08
77.51,77.52,77.83,77.43
77.82,78.08,78.27,77.41
79.22,79.42,79.67,79.08
79.49,80.35,80.46,79.42
81.08,81.06,81.39,80.84
82.29,82.80,82.80,81.92
82.60,82.68,82.93,82.32
83.23,82.78,83.31,82.56
82.81,82.71,83.11,82.27
83.08,83.06,83.45,82.56
83.18,82.08,83.36,81.89
81.62,81.10,81.89,80.82
82.53,82.10,82.60,81.75
82.10,82.72,82.72,82.02
82.87,83.10,83.12,82.64
81.71,81.76,81.88,80.85
81.83,82.25,82.36,81.70
84.10,83.73,84.10,83.20
84.13,84.11,84.15,83.63
83.92,83.50,83.99,83.22
83.56,83.67,84.05,83.34
83.37,82.98,83.37,81.87
82.23,82.19,82.23,81.54
82.07,82.17,82.68,81.76
82.42,82.21,82.90,82.07
81.56,80.62,81.56,80.15
79.94,79.20,79.94,78.57
78.82,78.70,79.61,78.49
79.79,79.63,80.74,79.23
79.87,80.05,80.36,79.61
80.51,80.75,80.92,80.42
80.48,79.65,80.48,78.93
79.32,79.67,80.00,78.66
79.81,78.75,79.83,78.30
78.33,78.45,79.69,78.32
78.37,78.72,78.78,78.03
79.31,80.19,80.34,79.19
80.19,80.25,80.32,79.76
79.87,79.59,79.87,79.30
78.08,77.69,78.08,77.21
78.14,78.08,78.43,77.84
78.33,78.48,78.86,78.19
78.48,78.91,78.95,78.24
79.43,79.62,79.77,79.37
81.01,81.03,81.06,80.64
80.95,79.81,80.95,79.61
79.95,80.40,80.72,79.66
78.89,78.85,79.74,78.79
78.77,77.89,78.89,77.88
78.60,77.73,78.75,77.67
77.69,77.12,77.84,77.03
76.90,77.22,77.40,76.47
76.37,75.54,76.45,75.34
76.08,75.53,76.29,75.22
76.30,76.65,77.14,76.30
75.95,75.28,76.08,74.90
74.41,74.74,75.40,74.12
73.82,73.53,73.84,73.28
73.02,73.32,73.43,72.67
73.81,74.91,74.99,73.78
74.30,73.98,74.74,73.94
73.22,74.40,74.42,72.76
75.62,75.09,75.76,74.91
75.59,76.36,76.54,75.59
75.99,77.00,77.00,75.90
76.80,77.09,77.19,76.38
77.64,78.33,78.41,77.54
78.25,79.16,79.27,78.10
79.05,79.01,79.36,78.69
78.20,78.27,78.29,77.61
78.82,79.04,79.38,78.82
78.57,78.19,78.62,77.75
77.39,76.06,77.40,75.97
75.41,75.32,75.88,75.25
76.20,76.54,77.22,76.20
76.82,76.00,77.01,75.85
76.44,76.22,76.82,75.94
76.10,75.95,76.10,75.27
76.22,76.63,76.75,76.22
76.82,76.98,77.31,76.68
77.02,77.17,77.57,76.76
77.67,77.93,78.08,77.40
76.99,77.32,77.54,76.99
77.85,78.16,78.55,77.81
78.24,77.38,78.24,77.10
77.85,77.56,78.22,77.38
76.72,77.43,77.77,76.51
78.33,77.24,78.33,76.53
76.73,75.20,76.82,75.20
74.97,74.94,75.17,73.43
73.23,71.56,73.41,71.53
71.44,70.62,71.90,68.56
68.06,65.61,68.87,65.44
66.36,69.59,69.59,65.54
66.78,65.50,67.44,65.50
66.40,68.26,68.92,66.22
68.64,68.34,68.97,67.80
70.06,70.35,70.36,69.50
69.80,69.63,70.12,69.07
69.95,69.47,70.37,69.01
67.31,66.60,67.31,65.69
65.79,65.66,67.28,65.65
65.69,64.93,66.04,64.56
65.90,67.57,67.59,65.48
66.23,66.66,67.04,65.97
67.01,66.24,67.29,65.79
65.59,66.74,66.89,64.71
67.65,68.90,68.92,67.65
68.53,69.20,69.53,68.33
70.34,70.74,70.77,69.60
70.71,69.87,71.10,69.76
68.40,68.39,68.87,67.94
66.10,67.68,67.80,66.06
68.39,69.20,69.36,68.37
68.01,67.80,68.78,67.64
67.09,65.95,67.13,65.64
65.14,65.71,65.72,64.54
65.67,65.77,65.92,65.20
65.35,65.68,66.18,64.45
65.96,66.05,66.05,65.15
66.56,66.39,66.70,65.88
64.21,64.51,64.80,63.53
64.33,63.44,64.75,63.39
63.01,61.10,63.29,61.05
58.75,57.14,59.12,56.71
57.60,58.52,58.89,57.38
57.29,58.27,58.45,56.53
60.06,60.55,61.62,60.06
60.17,58.93,60.51,58.83
60.19,59.18,60.35,58.46
57.21,55.81,57.95,55.79
54.51,53.83,55.66,53.79
52.65,54.36,54.76,51.87
54.50,56.57,56.59,54.14
56.60,57.96,57.99,56.30
58.75,57.55,58.89,57.24
58.52,60.13,60.15,58.52
59.96,60.93,61.65,59.82
62.63,63.27,64.18,62.50
63.22,63.07,63.37,62.03
63.13,63.70,63.78,62.93
63.17,62.05,63.29,61.91
61.40,62.48,62.68,59.96
61.52,60.70,62.18,60.69
59.92,59.61,59.98,58.85
60.63,61.13,61.43,60.62
62.33,64.15,64.60,62.17
63.58,62.95,63.83,62.80
64.65,64.89,65.14,63.35
67.78,69.15,69.92,67.23
68.03,68.62,69.34,67.76
67.01,65.35,67.08,65.30
63.76,64.47,65.00,63.03
66.27,67.26,67.40,66.00
67.49,68.40,68.83,66.86
67.36,67.38,67.57,66.14
67.79,68.23,68.27,66.90
68.06,68.71,68.72,66.93
66.10,64.80,66.38,64.52
65.83,65.48,66.05,64.96
66.23,66.50,66.95,66.07
66.53,65.94,66.53,65.28
66.12,66.74,67.05,65.95
65.02,64.36,65.77,64.33
64.60,62.63,64.96,62.51
63.33,62.71,63.33,62.50
61.40,60.82,61.40,60.00
60.87,61.06,61.44,60.32
60.45,59.58,60.55,59.55
59.69,59.80,60.59,59.64
61.94,61.93,62.27,61.43
61.81,61.77,62.50,61.48
64.79,65.62,65.73,64.45
65.51,65.55,65.92,65.25
65.95,65.06,66.15,64.89
66.09,65.86,66.36,65.45
65.43,65.08,65.51,64.62
64.87,65.29,65.49,64.41
64.58,63.32,64.83,63.14
63.89,64.54,64.89,63.88
62.96,62.23,62.99,61.74
62.84,61.73,63.11,61.57
61.67,61.10,61.74,60.84
61.53,60.84,61.75,60.73
61.69,61.57,62.19,61.14
61.33,60.01,61.38,59.95
61.27,62.55,62.63,61.22
61.62,62.05,62.05,60.81
62.03,63.02,63.07,61.95
62.90,63.19,63.29,62.66
62.90,63.09,63.19,62.75
62.42,62.03,62.48,61.84
62.21,62.23,62.45,61.97
62.06,62.30,62.45,61.97
63.86,64.21,64.58,63.83
63.34,63.54,63.58,63.19
63.25,63.72,64.00,63.08
63.50,62.85,63.50,62.78
63.70,63.81,63.98,63.47
64.99,65.43,65.80,64.99
65.46,65.62,65.72,65.19
65.96,66.09,66.12,65.53
65.54,65.79,65.85,64.98
67.37,66.87,67.43,66.62
67.26,68.27,68.40,67.03
68.70,68.59,68.96,68.32
68.51,68.59,68.64,68.06
68.79,69.07,69.80,68.71
68.56,69.08,69.17,68.40
68.91,70.06,70.11,68.79
70.41,69.62,70.63,69.36
69.64,70.20,70.22,69.58
68.34,68.48,68.78,67.79
69.24,68.85,69.35,68.29
69.62,69.96,70.51,69.62
70.52,70.62,71.16,70.46
71.49,71.80,72.04,71.49
70.91,70.92,71.04,70.73
70.51,70.61,70.79,70.09
71.66,72.24,72.24,71.62
72.31,72.22,72.42,71.70
70.73,70.54,70.73,70.04
71.16,71.10,71.39,70.78
71.05,71.05,71.08,70.63
72.51,72.01,72.58,71.84
71.93,72.96,73.01,71.93
73.32,72.82,73.32,72.50
72.71,72.14,72.75,71.90
72.72,72.92,72.99,72.50
72.56,72.63,72.78,72.22
72.74,72.84,73.15,72.61
71.75,72.16,72.35,71.41
72.77,73.20,73.27,72.69
73.51,72.98,73.81,72.89
72.71,73.19,73.29,72.64
72.89,73.26,73.38,72.85
72.44,71.72,72.44,71.45
69.79,69.07,69.84,68.69
69.45,69.81,69.91,69.31
71.06,71.16,71.45,70.73
71.66,71.87,72.07,71.53
71.59,71.35,71.68,71.01
71.75,73.23,73.26,71.75
72.20,71.40,72.66,71.13
71.32,71.60,71.80,71.07
71.69,71.68,71.86,71.20
70.41,70.65,71.08,70.17
69.37,69.09,69.37,68.75
69.13,69.27,69.47,68.87
68.68,68.49,68.81,68.08
68.35,68.61,68.64,67.96
68.92,69.49,69.58,68.92
69.99,69.36,69.99,69.30
69.23,68.37,69.23,67.92
67.36,67.76,67.79,66.79
68.65,68.37,68.77,68.20
68.21,69.36,69.56,68.21
69.86,69.47,69.97,68.98
68.36,68.49,68.56,67.95
68.64,69.42,69.54,68.64
68.28,68.30,68.59,68.22
68.32,67.08,68.62,66.97
68.05,67.95,68.25,67.85
68.67,70.43,70.43,68.67
70.13,69.76,70.13,69.31
70.17,69.25,70.35,68.98
69.50,70.00,70.10,69.30
69.70,69.98,70.21,69.63
70.16,69.73,70.67,69.45
70.47,70.44,70.97,70.42
69.17,68.92,69.17,68.09
69.05,69.03,69.38,68.80
69.26,69.35,69.57,68.95
69.40,69.90,70.05,69.30
69.91,70.18,70.25,69.44
70.27,70.07,70.27,69.70
69.93,70.68,71.16,69.93
70.41,70.63,70.66,70.02
70.74,70.07,70.74,69.93
69.64,68.95,69.67,68.76
68.60,68.73,68.86,68.52
67.93,67.50,67.93,66.73
66.28,66.54,66.79,65.95
66.55,66.20,66.67,66.03
65.53,65.50,66.21,65.36
64.74,64.34,64.82,64.30
64.44,64.26,64.70,63.95
63.49,62.82,64.01,62.80
62.86,61.89,63.11,61.89
62.30,61.41,62.44,61.31
61.84,63.03,63.04,61.84
63.01,62.77,63.56,62.33
62.01,62.24,62.38,61.27
62.64,61.53,62.64,61.09
61.42,61.38,61.53,61.19
63.40,63.71,63.78,63.17
62.69,62.65,62.91,62.31
62.90,62.91,63.32,62.32
61.88,61.33,61.94,61.33
61.10,61.35,61.50,60.84
61.15,61.45,61.53,60.95
62.03,63.16,63.19,61.92
64.95,64.00,65.25,63.90
62.86,62.74,62.96,62.42
63.84,62.40,64.02,62.40
63.53,63.75,63.86,63.30
63.90,63.71,64.43,63.63
63.38,63.87,64.26,63.17
63.35,63.79,63.80,63.18
63.92,64.25,64.32,63.62
64.60,64.95,65.35,64.54
64.73,64.39,64.98,63.82
63.70,61.65,63.70,61.64
62.16,61.88,62.16,61.55
61.06,60.63,61.06,60.26
61.30,61.16,61.60,60.80
62.09,62.18,62.27,61.84
61.67,61.53,61.67,60.88
63.05,63.70,63.71,62.80
63.50,63.52,63.70,63.11
63.82,64.29,64.43,63.60
64.12,64.26,64.52,63.85
63.62,63.42,63.70,63.10
62.87,62.63,62.87,62.38
62.76,61.67,62.94,61.36
62.26,62.08,62.30,61.66
60.96,61.02,61.27,60.51
61.40,61.85,61.98,61.40
61.36,61.51,61.57,61.02
61.91,62.32,62.43,61.21
61.11,61.81,62.04,61.11
62.13,62.68,62.78,62.11
62.19,61.70,62.21,61.45
60.52,60.63,60.81,60.00
61.14,60.71,61.14,60.48
60.95,60.53,61.08,60.39
61.58,61.63,61.84,61.19
62.16,63.40,63.58,62.12
62.66,62.87,63.15,62.61
63.12,63.01,63.53,63.01
63.60,63.27,63.71,63.08
62.47,62.53,63.12,62.08
63.44,63.82,64.15,63.38
64.03,64.42,64.89,64.03
64.88,64.95,65.33,64.78
64.84,64.85,65.19,64.60
65.17,65.11,65.61,65.08
64.73,65.12,65.23,64.73
64.63,64.62,64.91,64.35
65.16,64.87,65.17,64.70
64.34,64.59,64.67,64.34
64.42,64.40,64.65,64.13
64.76,64.37,64.76,64.20
64.11,64.36,64.41,63.94
64.33,64.02,64.66,63.80
63.47,63.74,63.87,63.23
63.90,63.35,64.00,63.27
63.16,63.29,63.41,62.74
62.91,62.46,62.91,62.40
62.69,62.62,62.73,62.29
62.47,62.28,62.64,62.11
61.69,61.37,61.72,61.35
61.67,61.70,62.01,61.31
61.28,60.92,61.28,60.73
60.39,60.46,60.64,60.23
60.83,61.71,61.86,60.62
62.83,63.05,63.27,62.76
62.68,62.25,62.90,62.20
62.45,63.01,63.05,62.45
63.34,63.32,63.45,63.07
63.05,64.71,65.16,62.99
65.48,65.55,66.30,65.35
65.41,64.75,65.41,64.70
64.72,64.54,64.75,64.35
65.06,65.52,65.62,64.96
64.74,64.67,64.75,64.33
65.30,64.94,65.30,64.92
64.72,65.03,65.09,64.62
65.03,64.19,65.31,64.15
64.12,63.68,64.12,63.38
64.99,65.18,65.22,64.58
65.12,65.11,65.35,64.96
65.40,65.48,66.09,65.31
65.76,65.47,65.82,65.21
65.56,65.38,65.56,65.11
65.42,66.05,66.09,65.39
66.58,66.54,66.99,66.34
65.75,65.71,65.77,65.53
66.13,65.25,66.13,65.16
65.81,65.68,65.87,65.58
66.68,66.84,67.06,66.68
67.10,67.13,67.45,66.95
67.31,67.64,67.70,67.09
67.97,68.20,68.36,67.72
68.34,69.05,69.21,67.96
68.90,69.08,69.49,68.77
68.89,68.40,68.89,68.15
69.29,69.44,69.64,68.89
68.57,68.21,68.64,67.93
69.51,69.11,69.57,68.98
69.44,69.32,69.63,69.10
68.47,68.41,68.84,67.66
69.31,68.49,69.37,68.35
69.95,70.44,70.69,69.90
70.74,69.97,70.91,69.88
70.24,70.54,70.59,70.08
70.34,71.02,71.02,70.34
70.00,69.51,70.10,69.00
69.26,68.26,69.57,68.24
68.06,68.53,68.95,67.94
68.58,68.91,69.14,68.58
67.56,67.79,68.18,67.52
67.97,67.02,68.22,66.78
67.00,66.91,67.17,66.49
66.96,66.89,67.13,66.27
67.66,68.31,68.38,67.66
67.33,67.76,67.76,67.03
68.16,68.30,68.39,67.77
69.07,69.55,69.63,69.07
69.32,69.41,69.41,69.02
68.96,68.54,69.03,68.52
68.06,68.92,69.01,67.84
69.34,69.12,69.43,68.83
69.71,69.29,69.76,69.27
69.23,68.69,69.25,68.61
69.09,68.86,69.27,68.77
70.25,70.47,70.89,70.07
70.27,70.59,70.59,70.08
70.83,70.89,70.99,70.55
71.00,71.44,71.81,71.00
71.29,71.65,71.89,71.11
72.04,71.87,72.58,71.85
71.63,71.23,71.79,71.00
72.08,72.18,72.47,71.99
72.31,72.42,72.42,72.11
72.25,72.75,72.78,71.99
72.94,72.75,73.11,72.69
72.94,73.41,73.44,72.74
71.78,72.13,72.19,71.58
72.01,71.80,72.13,71.69
72.30,72.54,72.93,72.30
72.63,72.53,72.75,72.10
72.25,72.70,72.95,72.16
73.08,74.09,74.10,72.88
75.53,76.37,76.43,75.44
76.20,76.09,76.74,75.89
75.91,76.16,76.38,75.67
75.92,75.93,76.02,75.71
75.17,74.75,75.17,74.47
75.58,75.64,75.77,75.20
76.19,76.60,76.79,75.95
75.77,75.91,75.91,75.50
76.27,76.12,76.39,75.88
76.13,76.09,76.18,75.81
75.83,76.03,76.20,75.68
75.87,76.25,76.55,75.87
76.61,76.59,76.84,76.35
77.03,76.81,77.04,76.60
76.67,76.24,76.67,76.22
76.36,76.35,76.81,76.27
75.92,75.45,75.92,75.13
75.94,75.33,75.94,75.30
75.83,76.34,76.50,75.62
76.35,76.34,76.57,76.25
76.23,75.99,76.25,75.88
76.17,76.35,76.64,76.13
75.76,74.77,75.79,74.61
74.96,74.70,74.96,74.35
74.35,74.57,74.65,74.06
74.05,73.49,74.05,73.05
73.89,74.37,74.40,73.89
74.19,74.06,74.23,73.87
74.17,74.11,74.53,73.99
74.52,74.62,74.70,74.44
74.53,74.61,74.84,74.50
75.16,74.96,75.20,74.70
73.84,73.76,73.97,73.66
74.00,72.92,74.00,72.79
72.22,71.74,72.22,71.36
71.88,71.89,72.03,71.58
72.17,70.80,72.46,70.80
70.72,70.90,71.16,70.37
71.07,71.75,72.01,71.03
72.50,72.41,72.92,72.32
72.13,72.22,72.40,71.79
71.03,71.16,71.24,70.64
71.49,71.93,72.12,71.49
72.35,72.32,72.46,72.08
72.35,72.39,72.49,72.13
73.32,73.25,73.50,72.84
72.57,72.34,72.75,72.18
71.56,70.98,71.61,70.74
70.26,69.90,70.32,69.85
70.52,70.65,70.90,70.45
69.78,69.96,70.15,69.64
69.00,68.92,69.21,68.68
68.69,68.39,68.82,67.84
69.83,70.12,70.31,69.68
69.66,69.48,69.93,69.39
69.77,69.85,70.00,69.63
69.98,69.40,70.13,69.16
69.75,70.26,70.41,69.75
70.15,70.57,70.58,69.80
69.82,69.95,70.15,69.64
69.91,69.16,69.91,68.97
69.56,69.35,69.67,69.22
69.28,68.17,69.28,68.11
68.26,68.29,68.39,67.71
66.40,67.47,67.67,66.20
67.09,67.58,67.74,66.96
68.16,68.56,69.03,67.98
68.88,69.21,69.57,68.88
69.01,69.02,69.33,68.88
68.72,68.53,68.72,67.96
67.38,66.53,67.54,66.53
67.61,67.87,67.88,67.23
67.02,66.58,67.06,66.08
66.89,66.73,67.15,66.33
68.19,68.37,68.56,68.10
68.86,68.99,69.00,68.44
68.19,68.82,69.02,68.09
68.84,69.53,69.77,68.84
69.89,70.33,70.76,69.86
70.00,69.69,70.14,69.36
70.05,70.49,70.69,69.94
70.47,71.16,71.16,70.28
70.80,70.18,70.80,69.99
70.19,70.68,70.69,70.17
71.00,71.33,71.82,71.00
71.23,71.58,71.77,71.23
72.33,72.42,72.55,72.12
72.52,73.03,73.04,72.35
72.68,72.53,72.87,72.32
72.96,72.85,72.97,72.56
72.16,71.90,72.16,71.84
71.58,71.93,72.13,71.58
71.86,72.06,72.17,71.75
71.98,71.73,72.17,71.64
72.15,72.56,72.56,72.05
72.78,73.33,73.37,72.78
72.82,73.03,73.25,72.51
72.53,71.78,73.20,71.43
70.19,71.44,71.44,69.78
70.43,70.52,70.60,70.09
71.96,71.81,72.26,71.68
71.16,71.01,71.27,70.69
71.02,71.23,71.68,70.98
71.04,70.04,71.14,70.02
70.36,70.91,70.94,70.15
70.61,70.11,70.79,69.77
69.75,69.16,70.03,69.13
68.82,69.76,69.82,68.77
69.17,69.46,69.92,68.96
68.84,68.74,69.00,68.45
67.45,67.66,68.09,67.24
67.75,67.25,67.79,66.84
66.60,68.03,68.13,66.60
66.96,66.25,67.00,66.00
67.13,67.17,67.67,67.00
67.25,67.47,67.51,67.13
66.77,65.80,67.19,65.69
64.79,63.12,64.79,62.43
