UCC,ProShares Ultra Consumer Services,NASDAQ
34.89,34.71,35.00,34.46
34.89,35.00,35.01,34.08
33.90,32.79,33.90,32.79
32.67,33.37,33.37,32.60
32.82,33.40,33.40,32.82
33.82,33.05,34.03,32.87
34.00,34.54,34.70,34.00
34.63,35.35,35.42,34.63
35.63,36.30,36.30,35.63
36.76,35.60,36.76,35.46
35.32,34.99,35.62,34.99
35.83,34.77,35.83,34.21
34.25,35.31,35.31,33.81
36.02,36.47,36.54,35.92
35.58,35.56,35.87,35.52
36.13,36.39,36.43,36.13
36.25,36.24,36.25,36.15
35.94,35.84,35.95,35.32
36.19,36.66,36.72,36.19
35.90,36.15,36.15,35.90
34.73,34.26,34.73,34.21
33.22,34.19,34.25,33.22
34.19,33.63,34.19,33.60
33.11,33.84,33.84,33.11
34.22,34.90,34.92,34.22
34.18,35.23,35.33,34.18
34.50,33.78,34.50,33.70
33.33,33.90,33.90,33.33
33.64,33.76,33.85,33.64
32.62,32.55,32.83,31.89
31.94,32.82,32.82,31.94
33.17,32.78,33.25,32.59
32.03,33.42,33.42,31.92
33.05,32.77,33.05,32.77
32.21,32.33,32.59,31.70
33.42,34.34,34.34,33.42
34.67,35.56,35.60,34.67
36.40,36.27,36.78,35.92
36.20,35.52,36.21,35.52
35.70,36.08,36.14,35.70
36.17,36.03,36.17,35.91
36.72,36.62,36.72,36.59
37.59,37.10,37.59,37.10
37.53,37.85,37.90,37.53
37.36,37.90,37.90,37.36
37.45,37.57,37.57,37.39
37.70,38.03,38.05,37.70
37.89,39.40,39.40,37.89
39.74,38.96,39.74,38.66
39.03,38.69,39.04,38.53
38.46,38.15,39.05,38.15
39.70,40.13,40.20,39.70
39.97,40.04,40.04,39.83
39.78,40.39,40.39,39.15
40.07,40.04,40.17,40.04
40.84,39.94,40.84,39.76
40.12,40.10,40.12,39.84
39.83,39.52,39.86,38.97
40.34,40.95,41.07,40.34
40.84,40.36,40.84,40.36
40.71,40.42,40.71,40.42
41.01,41.27,41.30,41.01
42.19,41.30,42.19,41.30
40.82,41.50,41.50,40.82
41.99,42.00,42.34,41.99
41.65,41.32,41.87,41.32
42.00,41.92,42.00,41.73
41.89,42.11,42.11,41.88
41.45,40.78,41.45,40.56
41.61,41.95,42.03,41.61
42.82,42.49,43.34,42.19
42.39,42.98,43.01,42.39
43.86,43.47,44.11,43.47
42.88,43.85,44.17,42.88
43.58,43.46,43.58,42.76
44.15,44.04,44.15,43.70
43.98,43.88,43.98,43.86
44.08,43.50,44.76,43.50
44.61,44.91,45.27,44.51
45.26,45.13,45.26,44.00
46.20,46.45,46.50,46.15
46.70,46.60,47.15,46.60
46.41,46.57,46.63,45.95
47.04,45.50,47.04,45.50
45.71,46.21,46.27,45.38
45.41,46.19,46.33,45.41
45.59,45.29,46.01,45.05
45.67,44.87,45.67,44.87
44.58,43.67,45.06,43.67
44.22,44.55,44.56,44.18
45.60,45.44,45.92,45.44
45.29,45.89,45.89,45.21
45.83,46.35,46.45,45.49
45.45,45.13,45.45,45.09
46.23,46.93,46.93,46.23
46.46,46.62,46.68,46.46
46.08,46.15,46.15,45.27
45.77,46.11,46.19,45.77
47.28,47.53,47.53,47.17
47.70,48.27,48.37,47.41
47.52,48.39,48.39,47.52
48.52,48.47,48.52,48.13
49.13,48.65,50.00,48.65
48.40,48.31,48.44,47.94
48.89,48.38,48.90,48.35
48.34,48.80,48.80,48.34
49.46,48.31,49.46,48.31
48.32,48.48,48.50,48.32
48.48,48.48,48.48,48.48
48.10,48.57,48.57,48.08
49.23,48.68,49.23,48.55
48.64,49.05,49.21,48.64
49.20,49.31,49.31,49.15
49.50,49.51,49.73,49.50
49.65,49.48,49.65,49.48
49.39,49.13,49.39,48.77
49.30,49.08,49.30,48.66
49.35,49.41,49.58,49.30
49.27,49.35,49.35,49.25
49.10,49.20,49.20,48.94
49.90,50.06,50.06,49.90
50.06,49.68,50.09,49.68
50.20,50.26,50.26,50.12
49.97,49.50,49.99,49.50
49.76,49.53,49.76,49.29
49.12,49.33,49.34,48.91
49.48,49.48,49.68,49.37
49.98,49.81,49.98,49.75
49.68,49.69,49.92,49.68
49.16,50.19,50.19,49.16
50.20,50.44,50.53,50.20
49.93,49.46,49.93,49.38
50.16,50.06,50.26,49.83
50.61,50.15,50.70,50.08
50.16,50.47,50.52,50.16
50.24,50.35,50.35,49.92
50.82,50.90,51.06,50.82
51.38,51.60,51.60,51.23
51.48,48.97,51.48,48.85
48.80,48.95,49.20,48.79
49.61,50.49,50.52,49.60
50.42,50.12,50.42,49.96
50.06,51.22,51.30,50.06
51.11,50.91,51.11,50.91
51.68,51.82,52.11,51.68
52.32,52.96,52.96,52.32
53.33,53.19,53.42,53.02
53.17,53.41,53.62,52.91
53.30,54.62,54.66,53.30
54.66,54.18,54.66,53.95
53.96,54.26,54.38,53.96
55.21,55.12,55.23,54.75
55.20,55.42,55.44,54.82
55.67,55.52,55.67,55.19
54.04,52.74,54.64,52.74
52.50,51.53,52.50,50.80
51.74,50.82,51.88,50.82
52.42,52.92,53.01,52.42
52.81,53.43,53.45,52.81
53.46,51.85,53.50,51.82
52.22,52.22,52.22,51.84
53.40,53.75,53.80,53.34
53.66,52.97,53.66,52.38
53.05,52.10,53.05,51.47
52.07,52.96,53.04,51.65
52.96,52.96,52.96,52.96
52.65,52.23,53.01,51.98
51.49,52.81,52.81,51.49
51.88,51.58,51.88,50.78
48.90,50.67,50.94,48.90
50.41,49.55,50.47,48.77
50.22,49.35,50.27,49.35
49.97,49.57,49.97,49.57
50.75,51.18,51.27,50.75
50.63,50.58,50.73,50.52
50.23,51.14,51.24,50.21
51.56,52.63,52.63,51.42
53.11,52.69,53.11,52.69
52.69,51.79,52.79,51.79
52.32,52.69,52.72,52.32
53.50,53.77,53.87,53.02
53.07,53.11,53.11,53.07
53.87,53.85,54.62,53.83
54.14,54.14,54.14,54.14
55.03,54.74,55.19,54.74
54.74,54.74,54.74,54.74
54.79,54.83,54.85,53.95
54.33,54.45,54.47,54.33
54.28,54.20,54.36,53.90
53.64,53.75,54.08,53.64
54.29,53.70,54.36,53.62
53.81,53.81,53.81,53.81
54.30,54.58,54.58,54.30
52.93,53.55,53.55,52.93
53.79,53.85,53.85,53.56
55.25,55.52,55.87,55.25
55.59,55.80,55.83,55.56
56.09,55.98,56.09,55.98
56.36,56.25,56.61,56.22
56.93,57.20,57.21,56.89
57.57,57.79,57.79,57.50
57.89,57.97,58.13,57.62
58.55,58.18,58.73,58.10
58.25,57.75,58.26,57.41
57.14,57.11,57.23,57.05
56.31,57.20,57.58,56.31
58.11,57.80,58.14,57.76
57.32,57.93,58.05,57.32
58.87,59.26,59.35,58.83
58.78,58.57,58.91,58.07
58.18,59.60,59.60,58.18
59.84,58.70,59.84,58.70
58.25,57.50,58.51,57.50
56.96,57.15,57.39,56.96
57.68,58.34,58.34,57.68
58.90,59.08,59.08,58.90
57.84,58.22,58.22,57.57
57.20,56.92,57.22,56.71
56.17,56.45,56.45,56.17
55.82,56.27,56.27,55.82
56.27,56.27,56.27,56.27
57.25,57.44,57.51,57.03
58.13,57.90,58.13,57.45
57.11,55.80,57.11,55.80
55.54,55.28,55.58,55.07
54.64,54.67,54.91,54.02
54.10,53.05,54.10,52.95
53.59,53.09,53.62,53.09
53.12,52.44,53.12,52.44
52.50,52.50,52.50,52.50
52.75,51.36,52.75,51.36
51.91,51.32,51.91,51.32
52.00,52.76,52.96,52.00
52.40,51.29,52.40,51.16
51.37,51.41,51.41,50.79
52.45,52.00,52.50,52.00
52.50,52.53,52.66,52.50
52.99,54.62,54.62,52.88
54.18,53.81,54.59,53.73
52.37,52.50,52.50,52.37
53.63,53.52,53.63,53.51
52.96,54.02,54.09,52.52
54.64,55.13,55.16,54.64
56.15,55.68,56.15,55.68
56.48,56.81,56.98,56.48
57.24,58.96,59.16,57.06
58.92,59.24,59.39,58.86
58.85,59.11,59.19,58.85
60.34,60.86,61.18,60.34
59.39,59.22,59.64,59.22
58.81,57.90,58.90,57.82
58.18,57.54,58.42,57.50
58.49,58.16,58.95,57.96
58.79,57.11,58.80,56.88
56.66,56.78,56.78,56.60
56.45,55.88,56.45,55.25
57.23,58.00,58.08,57.23
57.41,57.48,57.57,57.22
58.31,58.48,58.48,58.31
58.95,58.91,58.95,58.90
58.01,58.26,58.28,58.00
58.07,58.00,58.07,58.00
57.73,55.90,57.73,55.90
56.10,56.66,56.66,55.85
54.66,54.83,55.06,54.59
55.00,54.10,55.00,53.32
53.45,51.06,53.45,51.06
50.76,51.54,51.54,49.08
48.71,47.51,49.20,47.51
47.87,47.05,47.87,44.05
43.20,40.62,43.59,40.62
41.13,44.46,44.47,41.00
41.96,41.11,42.83,41.11
41.94,44.80,44.82,41.84
45.46,44.95,45.46,44.24
45.02,45.28,45.70,44.88
45.66,45.90,46.35,45.52
47.12,46.12,47.12,45.49
43.00,42.16,43.00,41.77
42.16,42.16,42.16,42.16
42.49,41.49,42.59,41.13
41.76,44.04,44.04,41.60
43.63,45.31,45.42,43.63
45.71,44.07,45.78,44.07
42.78,45.16,45.16,42.26
46.89,47.76,47.76,46.88
47.80,47.90,48.56,47.68
49.53,48.94,49.87,48.77
48.09,48.22,48.35,47.97
46.10,45.81,46.39,45.81
44.24,44.24,44.80,44.24
46.11,47.38,47.38,46.11
47.38,47.38,47.38,47.38
45.14,44.00,45.48,44.00
43.25,43.98,43.98,43.25
45.96,46.20,46.20,45.80
46.60,48.65,48.65,46.60
48.83,48.80,48.83,47.92
48.38,50.03,50.03,48.38
48.32,47.94,48.82,47.94
47.94,47.94,47.94,47.94
49.06,46.91,49.25,46.91
44.82,43.13,44.82,43.13
43.35,44.99,44.99,43.35
45.97,46.69,46.70,44.97
48.60,48.60,48.60,48.60
46.18,46.18,46.18,46.18
45.66,44.30,45.66,44.30
43.75,43.59,43.93,43.59
42.67,40.79,43.26,40.79
39.67,42.35,42.35,39.10
43.08,43.53,43.53,43.08
44.05,45.10,45.10,44.05
46.09,45.79,46.09,45.53
46.70,47.61,48.07,46.70
48.25,48.40,48.40,48.25
49.01,50.01,50.20,49.01
49.15,48.71,49.17,48.71
49.88,50.67,50.67,49.88
50.18,49.14,50.32,49.08
49.92,49.92,49.92,49.92
50.51,50.01,50.83,50.01
49.49,49.72,49.92,48.52
51.08,51.75,51.96,51.08
52.81,53.36,53.70,52.81
52.99,52.34,52.99,52.06
50.21,50.11,50.21,50.10
53.12,54.04,54.44,52.62
53.76,53.50,53.78,53.35
52.42,51.71,52.42,51.71
48.61,49.72,50.59,48.61
50.81,50.75,51.35,50.43
51.08,51.96,51.96,51.00
51.62,51.62,51.62,51.62
51.34,51.34,51.34,51.34
51.34,51.34,51.34,51.34
51.16,49.84,51.16,49.84
49.85,49.73,49.85,49.73
52.00,53.11,53.11,52.00
52.85,52.25,52.85,52.15
52.67,52.70,52.70,52.67
51.76,51.34,52.50,51.34
49.43,49.43,49.43,49.43
49.42,49.51,49.61,49.17
47.94,47.60,47.99,47.59
47.90,47.66,47.90,47.66
46.39,46.16,46.39,46.16
46.16,46.16,46.16,46.16
48.24,48.22,48.69,47.64
48.56,48.51,48.67,48.50
51.20,51.48,51.48,50.47
51.19,51.43,52.01,51.19
52.38,52.01,52.78,52.01
53.03,52.86,53.32,52.24
52.47,52.75,52.91,52.30
52.15,53.33,53.62,51.94
52.74,51.67,52.85,51.65
52.60,52.73,52.73,52.54
51.74,52.20,52.20,51.10
52.63,51.60,52.63,51.60
50.20,49.53,50.27,49.51
50.26,49.99,50.63,49.99
50.53,50.37,50.55,50.25
49.49,48.74,49.65,48.74
48.92,51.38,51.38,48.92
51.38,51.38,51.38,51.38
52.41,52.41,52.41,52.41
52.80,53.00,53.00,52.52
53.66,53.43,53.66,53.43
52.62,52.43,52.62,52.41
52.81,53.31,53.40,52.72
53.23,52.93,53.23,52.86
54.03,53.60,54.65,53.60
53.68,53.94,53.98,53.68
53.94,53.94,53.94,53.94
54.29,54.29,54.29,54.29
54.40,54.40,54.45,54.36
55.22,54.82,55.22,54.82
55.22,55.22,55.22,55.22
55.38,55.38,55.38,55.38
55.09,55.09,55.09,55.09
56.16,56.06,56.27,56.06
57.04,57.04,57.04,57.04
57.36,58.16,58.16,57.36
58.05,58.05,58.05,58.05
57.83,57.83,57.83,57.83
57.34,57.34,57.34,57.34
57.43,58.36,58.43,57.43
59.00,58.06,59.08,58.06
57.78,58.63,58.63,57.78
57.29,57.81,57.81,57.29
57.64,57.64,57.64,57.64
58.98,59.10,59.10,58.98
58.87,59.00,59.00,58.87
60.00,60.59,60.59,59.98
60.20,60.26,60.54,60.20
60.71,60.72,60.72,60.71
60.72,60.72,60.72,60.72
60.46,61.13,61.13,60.34
60.45,60.33,60.67,60.09
61.24,61.36,61.39,61.24
61.36,61.36,61.36,61.36
61.36,61.36,61.36,61.36
61.10,61.35,61.35,61.09
61.70,62.00,62.21,61.70
62.67,61.25,62.67,61.25
60.88,60.88,60.88,60.88
61.60,61.60,61.60,61.60
62.18,62.18,62.18,62.18
61.09,62.24,62.24,61.08
62.45,62.49,62.49,62.45
62.49,62.49,62.49,62.49
63.11,63.11,63.13,63.11
63.35,63.08,63.35,63.08
62.83,63.21,63.21,62.83
62.16,61.79,62.16,61.66
62.31,63.13,63.13,62.30
63.69,64.25,64.46,63.69
64.92,65.01,65.01,64.86
64.77,64.64,64.82,64.63
64.84,65.75,65.75,64.84
66.50,66.02,66.50,65.96
66.65,66.68,66.68,66.65
67.12,66.40,67.12,66.32
66.16,67.05,67.05,66.06
66.23,66.82,66.82,66.23
66.99,67.62,67.62,66.99
67.10,66.89,67.18,66.53
66.23,67.41,67.49,66.10
68.59,69.10,69.10,68.52
69.76,69.75,69.83,69.55
68.99,67.66,68.99,67.66
67.23,66.98,67.23,66.95
68.65,68.31,68.65,68.11
68.08,68.73,69.08,68.03
68.84,68.20,69.01,68.20
66.60,66.90,66.90,66.31
66.30,67.87,67.87,66.30
65.68,66.55,66.79,65.68
66.07,63.59,66.07,63.59
65.00,65.45,65.45,65.00
66.34,66.84,66.84,66.34
66.84,66.65,66.84,66.06
67.26,65.76,67.26,65.65
67.00,67.00,67.00,67.00
67.15,68.06,68.08,67.15
68.52,67.30,68.58,67.30
68.18,67.88,68.53,67.88
65.23,65.31,65.31,65.23
65.17,65.17,65.17,65.17
66.78,66.83,67.00,66.61
67.54,69.12,69.12,67.54
69.85,70.74,70.74,69.85
69.30,69.30,69.30,69.30
69.62,70.87,71.03,69.44
70.87,70.87,70.87,70.87
71.08,70.21,71.08,70.10
67.89,67.82,67.89,67.82
66.83,67.22,67.23,66.83
65.46,66.73,66.73,65.01
66.73,66.73,66.73,66.73
67.10,66.71,67.37,66.39
65.94,65.94,65.94,65.94
65.74,65.22,65.74,65.22
64.88,64.88,64.88,64.88
65.12,65.07,65.12,65.07
63.92,61.88,64.12,61.86
61.93,62.53,62.53,61.61
62.53,62.53,62.53,62.53
62.68,62.68,62.68,62.68
61.87,61.87,61.87,61.87
64.83,64.04,64.86,64.04
64.58,64.58,64.80,64.58
65.35,65.91,65.91,65.35
65.47,64.71,65.47,64.62
64.19,64.22,64.22,63.55
61.55,62.05,62.13,61.55
60.29,60.86,60.86,60.29
60.86,61.06,61.06,60.86
63.61,64.20,64.20,63.61
65.13,63.86,65.13,63.86
64.57,65.18,65.20,64.57
65.68,65.00,65.68,65.00
64.02,63.82,64.32,63.82
64.50,63.73,64.50,63.73
63.40,64.87,65.09,63.40
64.87,64.87,64.87,64.87
65.26,67.14,67.14,65.26
67.14,67.14,67.14,67.14
67.94,67.43,67.94,67.39
66.95,66.95,66.95,66.95
66.95,66.95,66.95,66.95
64.34,64.70,64.70,64.34
65.21,66.20,66.20,64.82
66.18,66.14,66.18,66.14
64.96,64.67,64.96,64.18
68.07,68.07,68.07,68.07
69.00,68.99,69.00,68.99
69.00,69.00,69.00,69.00
69.00,69.00,69.00,69.00
68.30,68.30,68.30,68.30
68.12,68.14,68.14,68.09
69.14,67.51,69.14,67.51
67.51,67.51,67.51,67.51
65.57,66.79,66.79,65.14
66.79,66.79,66.79,66.79
67.73,67.81,67.81,67.73
68.85,68.96,68.96,68.85
68.89,69.48,69.77,68.89
69.48,69.48,69.48,69.48
69.48,69.48,69.48,69.48
66.11,65.60,66.11,65.53
65.60,65.85,65.85,65.60
65.85,65.85,65.85,65.85
66.73,66.73,66.73,66.73
69.47,69.38,69.47,69.38
69.96,69.89,70.06,69.50
69.39,68.94,69.39,68.94
68.94,68.94,68.94,68.94
67.71,68.21,68.21,67.69
70.00,70.40,70.40,70.00
70.82,70.49,70.82,70.49
71.13,71.54,71.85,71.13
71.54,71.54,71.54,71.54
71.19,71.06,71.19,70.78
70.05,70.05,70.05,70.05
70.79,70.52,70.79,70.52
71.50,71.19,71.50,71.19
71.21,71.21,71.21,71.21
71.94,72.34,72.34,71.21
72.34,72.34,72.34,72.34
72.98,72.47,72.98,72.40
73.34,72.61,73.44,72.61
72.89,73.08,73.08,72.53
73.08,73.08,73.08,73.08
71.89,72.79,72.79,71.89
72.79,72.79,72.79,72.79
72.79,73.12,73.29,72.79
73.12,73.12,73.12,73.12
73.12,73.12,73.12,73.12
73.23,73.49,73.49,73.11
73.35,73.99,73.99,72.63
73.69,73.69,73.69,73.69
75.78,76.66,76.66,75.78
76.82,77.00,77.03,76.82
76.98,77.05,77.12,76.98
76.91,76.50,76.91,76.50
77.11,77.20,77.30,77.11
77.25,78.78,78.78,77.25
79.42,79.72,80.04,79.42
77.35,78.38,82.53,75.02
78.26,78.31,78.31,78.26
78.31,78.31,78.31,78.31
78.85,79.45,79.50,78.85
79.45,79.45,79.45,79.45
79.12,79.12,79.12,79.12
79.05,78.12,79.05,78.12
76.37,76.85,76.85,76.19
76.96,78.80,78.80,76.96
77.73,77.14,77.99,77.14
78.57,78.57,78.57,78.57
78.57,78.57,78.57,78.57
78.57,78.57,78.57,78.57
78.57,78.57,78.57,78.57
78.57,78.57,78.57,78.57
79.84,79.94,79.94,79.84
79.06,78.69,79.13,78.69
78.69,78.69,78.69,78.69
78.69,78.69,78.69,78.69
76.71,76.71,76.71,76.71
76.71,76.71,76.71,76.71
78.86,79.05,79.05,78.86
79.63,79.63,79.63,79.63
80.06,80.10,80.10,80.06
78.51,77.54,78.51,77.54
76.76,77.08,77.08,76.76
74.44,74.44,74.44,74.44
74.79,74.79,74.79,74.79
74.79,74.79,74.79,74.79
75.00,75.00,75.00,75.00
75.67,74.98,75.80,74.98
76.86,76.39,76.92,76.32
77.88,76.90,77.88,76.90
76.44,76.29,76.44,75.70
77.60,77.42,77.87,77.42
75.84,75.93,76.61,75.73
76.04,74.33,76.04,74.33
72.70,73.63,73.63,72.62
73.63,73.63,73.63,73.63
73.92,74.42,74.42,73.92
72.77,71.40,72.77,71.30
70.28,71.02,71.02,70.27
70.53,71.42,71.52,70.53
71.59,73.64,73.70,71.59
74.17,75.00,75.00,74.02
75.05,75.14,75.22,74.51
76.60,76.60,76.60,76.60
76.18,75.99,76.18,75.99
76.00,76.09,76.80,76.00
75.06,77.18,77.18,75.06
78.03,78.43,78.43,78.03
78.42,79.00,79.00,78.42
80.11,78.57,80.11,78.57
77.74,77.69,77.74,77.69
76.64,77.99,78.20,76.64
78.12,78.51,78.60,78.12
78.51,78.51,78.51,78.51
78.64,78.86,78.99,78.64
78.86,78.86,78.86,78.86
79.46,79.04,79.46,79.04
79.04,79.04,79.04,79.04
78.00,78.00,78.00,78.00
78.47,79.59,79.65,78.38
81.00,81.83,81.83,80.49
81.45,81.23,81.79,81.23
80.50,81.19,81.19,80.27
78.35,79.15,79.39,78.35
78.91,78.75,79.14,78.75
77.13,77.38,77.38,77.13
77.22,77.45,77.45,76.07
75.87,76.65,76.71,75.87
76.78,78.44,78.44,76.78
83.55,81.70,85.81,81.01
82.59,82.91,83.32,82.59
82.75,82.80,82.98,82.75
83.35,82.84,83.35,82.53
82.46,82.40,82.46,82.40
83.34,82.82,83.34,82.82
83.00,83.43,83.62,83.00
82.92,83.63,83.79,82.92
83.93,83.93,83.93,83.93
83.50,84.46,84.70,83.50
84.81,84.94,85.29,84.77
84.94,84.94,84.94,84.94
85.96,86.64,86.64,85.96
86.66,87.26,87.29,86.60
87.62,87.62,87.62,87.62
87.62,87.62,87.62,87.62
89.67,90.34,90.65,89.60
91.00,90.31,91.00,90.05
90.10,89.24,90.10,89.10
88.82,89.33,89.92,88.82
88.60,88.75,89.25,88.60
89.24,89.77,89.77,89.24
89.58,88.25,89.58,87.64
88.62,88.83,89.37,88.62
89.85,89.70,89.95,89.40
89.68,89.61,89.68,88.16
90.17,90.91,90.91,90.17
91.26,90.36,91.26,90.36
90.09,90.99,90.99,90.09
90.86,90.79,90.89,90.79
90.57,90.74,91.25,90.03
91.31,90.44,91.31,90.43
90.83,91.33,91.33,90.83
92.00,89.13,92.00,89.13
88.80,88.36,88.80,88.07
88.51,88.61,88.61,88.51
89.90,87.20,89.95,87.20
89.49,86.19,89.49,86.19
89.35,90.30,90.30,89.35
90.60,90.92,91.30,90.53
91.15,91.41,91.41,91.08
91.97,92.33,92.46,91.68
94.38,94.35,94.85,94.22
95.36,94.36,95.44,94.16
95.30,94.53,95.30,93.84
95.25,96.06,96.52,95.25
96.27,96.50,96.83,96.27
97.50,96.42,97.50,95.80
97.16,97.16,97.16,97.16
97.12,97.63,97.73,97.12
96.83,96.24,97.07,95.98
96.00,96.15,96.15,94.92
95.57,94.35,95.57,93.90
95.94,95.94,95.94,95.94
96.20,95.90,96.20,95.90
96.49,97.59,97.69,96.49
98.15,97.23,98.15,97.23
98.00,98.11,98.32,97.77
97.23,98.63,98.63,97.23
97.84,99.50,99.50,97.84
100.02,98.67,100.31,98.44
100.03,99.93,100.03,99.93
100.18,99.97,100.18,99.97
98.32,99.04,99.04,97.88
95.78,97.35,97.58,95.78
98.86,99.54,100.15,98.22
100.99,100.66,100.99,100.51
100.93,102.29,102.29,100.93
104.32,104.24,104.78,104.00
102.77,104.52,104.64,102.00
104.31,100.16,104.31,100.16
101.72,102.22,102.22,101.70
99.36,100.30,101.66,98.01
100.22,98.56,100.22,97.82
99.74,100.30,101.12,99.26
100.14,101.76,101.79,99.90
102.51,102.05,102.84,102.04
103.51,102.70,103.51,102.70
104.78,104.00,104.78,104.00
104.12,103.71,104.12,103.10
104.66,104.19,104.66,103.95
101.18,103.90,104.60,101.18
105.12,103.84,105.12,103.84
103.84,103.84,103.84,103.84
108.11,108.58,108.80,108.11
108.32,108.92,108.92,107.61
108.81,110.42,110.42,108.75
108.10,111.18,112.14,108.10
113.00,111.26,113.00,110.30
113.06,113.00,114.59,112.50
111.79,115.89,119.40,111.79
120.93,114.43,120.98,112.77
114.46,116.00,116.00,114.46
115.08,114.00,115.18,114.00
114.93,114.59,114.93,113.21
113.52,113.82,114.40,113.52
115.30,115.28,115.30,113.70
115.02,112.10,116.13,112.10
108.84,113.05,113.05,104.80
110.77,112.00,112.37,110.77
113.90,114.00,115.71,113.90
114.50,112.45,114.50,111.50
113.00,112.14,114.57,111.72
111.10,109.83,111.89,109.26
105.35,109.76,113.65,105.35
107.93,108.86,108.86,107.93
101.29,106.00,106.00,101.29
104.66,106.39,107.26,101.18
109.69,110.00,110.14,109.69
56.78,55.50,56.78,55.50
55.50,55.60,55.60,54.25
54.14,54.43,54.59,54.14
53.94,55.68,55.68,52.15
56.14,55.03,56.14,54.47
55.91,55.10,55.91,55.10
55.98,56.60,56.60,55.78
57.08,56.50,57.08,56.50
