CVO,Cenveo Inc Common Stock,NASDAQ
68.80,72.00,72.08,68.40
70.32,66.08,70.32,66.00
65.28,64.72,66.96,63.20
64.16,60.72,112.00,52.40
60.32,57.20,60.48,55.68
62.16,64.32,64.80,60.72
63.52,63.04,64.80,62.48
63.12,63.76,64.40,62.24
63.28,64.48,65.12,60.72
63.44,64.08,64.40,62.16
64.80,64.00,66.16,62.00
63.60,62.40,65.04,62.24
62.56,60.40,62.56,58.96
58.24,55.84,58.32,54.80
54.88,56.16,57.92,54.24
56.16,55.04,56.96,54.96
52.96,54.48,54.64,51.46
55.12,56.32,58.56,54.96
58.00,60.96,61.04,58.00
60.88,59.04,61.36,58.24
58.08,54.72,58.08,54.64
55.60,56.80,56.80,54.72
56.32,56.48,57.68,54.72
54.72,50.88,54.72,50.32
51.20,48.80,52.24,48.64
48.96,49.28,49.92,47.20
50.16,50.56,52.96,50.08
52.00,53.76,53.92,51.44
52.88,58.08,58.08,52.32
59.20,59.04,60.88,58.56
59.52,58.64,60.08,57.12
57.84,57.20,57.84,56.36
57.36,55.52,57.36,54.56
55.68,53.76,56.16,52.88
55.12,51.76,55.12,51.44
51.92,49.52,53.44,49.44
49.60,49.76,50.24,48.08
49.36,48.64,50.24,48.00
49.04,49.28,50.00,48.08
49.20,48.32,49.84,48.24
47.68,44.40,47.68,42.72
44.24,43.84,45.44,43.52
43.84,42.80,44.24,41.20
43.28,42.80,43.44,41.84
43.36,42.96,45.28,42.72
43.36,43.52,44.00,42.88
44.56,44.48,45.92,43.36
44.24,46.80,46.80,44.08
46.80,45.60,46.96,45.04
46.56,47.04,47.28,45.52
46.88,46.96,48.00,46.40
46.88,44.80,46.96,43.20
44.40,42.24,44.40,42.16
42.32,41.60,43.12,40.56
40.64,42.56,42.56,39.84
42.96,42.40,43.44,41.84
43.28,46.32,46.96,43.28
45.92,48.80,48.80,44.96
48.88,53.04,53.12,48.64
53.84,53.12,55.20,52.24
52.96,50.08,52.96,49.36
50.56,50.16,51.20,49.20
49.12,49.28,50.96,48.56
50.80,49.20,51.28,48.08
48.96,48.56,49.36,46.88
48.88,50.08,50.56,48.88
49.52,49.12,50.32,48.64
49.12,48.32,49.12,46.72
48.00,49.20,49.36,48.00
48.32,47.84,49.20,47.20
46.40,44.48,47.04,44.40
43.20,42.56,44.24,42.08
42.40,44.00,45.36,42.24
43.52,45.12,46.72,42.88
45.52,49.92,50.24,45.20
50.00,55.36,55.60,49.20
54.48,52.80,54.88,51.76
52.56,52.32,52.88,51.60
51.92,46.48,51.92,45.04
46.40,45.44,47.52,45.20
45.04,45.76,45.84,44.16
46.16,44.72,46.80,44.48
45.44,46.40,46.48,44.16
45.92,44.00,46.40,44.00
43.84,43.92,45.59,43.04
45.20,46.08,46.40,43.84
46.24,46.80,47.12,45.04
47.44,49.44,49.74,47.04
49.12,47.52,49.36,47.28
47.60,45.92,47.60,45.44
47.20,45.68,47.20,44.80
45.84,46.32,46.72,45.20
46.72,47.20,47.84,46.72
47.12,46.08,47.12,45.36
45.92,45.92,46.24,44.48
45.92,46.32,46.64,44.72
46.96,46.88,48.00,46.64
46.96,46.88,47.92,45.84
46.00,43.44,46.00,42.72
43.04,39.28,43.44,38.80
38.64,39.68,40.88,38.48
40.64,40.48,41.44,40.32
40.40,39.60,40.72,39.60
39.84,39.36,40.32,38.40
39.20,40.16,40.56,39.20
40.80,40.24,41.68,40.00
40.56,39.36,40.96,38.80
39.04,38.80,39.67,38.64
39.60,40.24,40.56,38.96
40.00,39.60,40.40,39.04
40.00,39.52,40.16,39.04
39.68,42.00,42.40,39.20
42.08,41.84,42.40,40.88
41.68,42.08,42.16,41.12
42.32,43.44,43.92,41.44
43.20,42.48,43.84,41.52
43.28,42.88,43.68,42.16
42.96,44.56,44.72,42.88
43.68,43.20,44.40,42.72
43.68,43.92,45.60,43.68
44.40,42.48,45.28,41.44
42.64,45.20,45.36,42.56
45.60,45.28,47.36,44.96
44.80,45.52,46.16,44.40
44.96,44.64,45.28,43.28
45.20,43.84,45.20,43.60
43.68,44.00,44.88,43.36
44.32,44.32,45.84,43.44
45.12,46.48,46.48,44.88
46.64,45.68,46.96,44.64
46.16,48.48,49.44,45.76
48.64,50.56,51.04,48.64
50.48,50.00,51.44,49.36
50.24,50.24,50.72,49.84
50.16,50.00,50.32,49.20
49.28,48.56,49.28,46.72
47.68,47.60,49.52,47.60
47.92,45.52,49.02,45.20
44.96,42.24,45.12,41.76
42.24,40.24,42.32,40.00
40.80,40.96,41.68,40.00
41.28,44.08,44.48,41.28
44.00,44.00,44.32,43.20
43.28,41.68,43.68,41.60
42.48,42.40,43.04,41.68
41.92,41.84,42.32,41.44
41.36,41.20,41.60,40.48
40.56,40.96,41.28,40.48
42.08,43.20,43.44,41.76
43.20,45.20,45.36,42.96
44.96,46.00,46.88,44.72
46.00,47.20,47.76,45.76
47.92,46.80,47.92,46.64
47.20,46.88,47.60,46.40
47.60,47.76,48.46,46.80
47.76,47.04,47.76,46.32
47.36,45.36,47.52,45.36
45.76,46.00,46.48,45.36
46.00,46.40,47.12,45.92
46.40,46.24,46.88,46.00
46.16,46.88,47.12,45.92
46.80,46.00,47.12,46.00
46.32,46.32,46.80,46.00
46.56,46.32,46.72,46.00
46.48,46.16,46.48,45.84
45.84,46.24,46.80,45.60
46.40,46.16,46.64,45.68
46.40,45.12,46.56,44.96
45.20,44.32,45.68,44.32
44.32,42.72,44.72,42.72
43.28,45.28,45.36,43.28
45.28,44.48,45.52,43.28
44.48,45.28,45.44,44.32
45.20,45.76,45.84,44.96
45.76,45.68,46.32,44.40
45.36,45.84,46.40,44.08
46.16,45.84,46.24,44.80
46.48,44.96,46.48,44.88
44.80,44.96,45.04,44.16
44.96,44.32,44.96,43.84
44.00,44.00,44.72,43.20
43.84,43.36,44.40,43.20
43.20,42.96,43.84,42.96
43.28,41.44,43.36,41.20
41.20,44.08,45.12,41.20
43.76,44.88,44.96,43.28
44.88,45.92,46.24,44.40
45.84,45.36,46.00,44.32
45.44,42.16,45.76,42.00
42.32,43.04,43.60,42.08
43.36,45.84,46.08,42.56
45.52,44.48,45.52,44.00
44.48,42.72,45.04,42.56
42.88,44.16,44.24,41.76
44.08,43.52,44.87,43.28
43.44,44.96,45.20,43.44
44.64,44.08,44.64,43.36
43.76,43.84,44.40,43.36
43.60,44.64,44.64,43.28
44.48,45.44,45.60,44.48
45.12,46.24,46.32,44.80
46.32,46.96,47.20,46.32
46.72,46.16,46.80,45.84
46.00,45.52,46.00,44.80
44.64,44.08,45.36,43.68
44.16,43.52,44.24,43.04
43.44,43.92,44.48,42.88
44.16,44.96,45.12,43.44
45.28,44.72,46.00,44.16
44.88,44.00,45.28,43.60
43.84,44.88,45.04,42.96
45.60,47.44,47.44,45.44
47.28,47.60,47.76,45.84
48.16,48.16,48.40,45.36
48.24,50.56,51.44,47.44
50.40,49.84,51.60,49.60
49.20,48.08,49.60,46.88
47.60,47.04,47.76,46.32
46.08,47.04,47.44,46.08
45.28,46.32,46.88,45.28
45.92,45.84,47.04,45.52
47.12,45.92,47.20,45.60
45.84,46.80,46.88,45.68
47.84,48.32,48.56,47.76
48.32,47.28,48.32,46.88
47.20,48.48,48.48,46.24
49.04,48.88,49.20,48.08
49.04,49.52,51.28,48.80
49.68,49.20,50.40,49.00
49.04,51.28,51.44,48.88
51.68,51.92,52.48,51.20
51.52,52.24,52.48,50.64
52.80,54.08,54.32,52.16
54.48,52.48,54.48,52.40
52.56,52.88,53.52,51.96
53.44,54.00,54.00,52.40
54.32,53.04,54.80,53.04
53.68,52.16,53.84,51.28
51.92,51.28,52.24,50.64
50.64,50.24,51.28,49.76
50.48,50.00,50.80,48.88
49.68,50.88,51.04,49.44
50.64,50.80,50.88,49.92
49.60,49.52,50.00,48.72
49.76,49.76,50.40,48.96
50.80,50.48,51.44,49.76
51.12,49.84,51.12,49.36
50.00,50.32,50.88,49.68
50.48,50.32,50.96,49.44
50.24,50.00,50.88,49.96
49.92,50.96,50.96,49.52
51.12,51.84,51.84,50.80
52.00,52.24,52.56,51.12
51.92,52.32,52.56,51.60
52.32,50.16,52.32,49.76
49.52,49.68,51.68,48.88
50.80,50.56,51.60,49.92
50.64,51.36,51.84,50.32
51.84,52.00,52.00,51.28
51.60,52.00,52.24,51.44
50.96,50.96,52.40,50.32
51.04,51.44,53.04,50.88
51.12,48.40,51.84,48.32
48.24,49.12,51.52,48.24
49.52,51.92,52.08,49.20
52.08,51.04,52.64,49.84
50.72,51.04,51.74,50.00
49.76,48.88,50.32,48.64
48.88,48.48,49.36,48.40
48.40,49.28,49.60,48.40
48.96,51.68,52.00,48.40
52.00,52.08,52.16,51.36
52.24,51.84,52.80,51.40
51.52,49.60,51.52,49.60
49.68,49.36,50.40,49.20
48.40,48.72,49.68,48.40
48.72,48.08,48.96,47.52
48.72,48.08,49.36,48.00
47.76,46.64,47.84,46.01
46.80,48.48,48.80,46.32
47.92,46.88,47.92,46.16
47.12,48.64,49.52,46.48
49.52,49.04,50.12,48.64
48.16,49.12,49.44,48.00
49.04,49.52,50.00,48.40
50.00,49.68,50.00,48.72
49.36,49.52,49.57,48.56
49.52,50.72,50.80,49.28
50.24,50.56,50.88,49.92
49.52,49.44,49.76,48.08
49.68,48.24,49.84,48.16
48.24,48.96,49.60,48.24
49.12,49.68,49.68,48.88
49.60,49.68,49.68,48.88
49.60,51.20,52.00,49.20
51.44,51.52,51.84,51.04
51.60,51.28,51.76,50.00
50.96,51.36,51.36,50.00
51.92,51.84,52.08,50.88
50.80,51.52,51.84,50.00
50.48,50.08,50.96,49.36
49.68,49.36,50.80,48.80
49.84,50.72,50.96,49.04
50.80,49.12,51.44,48.80
49.60,49.52,50.40,49.12
49.36,48.96,49.68,48.72
48.56,49.12,49.92,48.56
49.04,49.28,49.52,48.80
49.52,50.32,50.40,48.88
50.32,49.76,50.48,49.36
48.88,49.12,49.84,48.88
49.20,48.72,49.52,48.48
48.40,47.92,48.80,47.20
48.08,47.12,48.72,46.88
46.32,46.32,47.36,45.36
47.20,45.04,47.28,44.24
44.80,42.72,45.60,42.64
42.96,40.72,43.28,39.84
39.60,38.08,40.48,38.08
38.80,37.60,39.12,36.24
36.00,33.84,37.52,32.72
34.88,34.40,35.04,28.72
33.60,30.88,33.76,30.72
39.44,34.24,39.44,33.16
34.24,33.44,34.88,31.92
34.16,35.12,36.00,33.76
34.32,34.08,34.72,32.88
34.56,34.40,35.12,33.60
33.20,32.00,33.76,31.68
31.36,31.68,32.40,30.72
32.40,30.24,32.48,30.00
30.56,30.32,30.56,29.04
30.32,31.92,31.92,29.92
32.00,30.40,32.64,30.40
30.24,31.68,31.92,29.20
32.16,33.60,34.16,31.76
33.20,33.20,33.44,32.00
33.36,35.36,35.52,33.36
35.20,34.16,35.68,33.56
32.96,31.44,33.28,31.04
30.00,30.72,31.04,29.76
31.52,31.28,32.00,30.97
30.88,30.88,32.00,30.56
30.16,29.84,31.04,29.44
29.20,30.32,30.96,29.20
30.48,30.48,30.96,30.24
30.96,31.20,31.92,29.76
31.28,30.80,31.60,30.08
30.56,30.00,30.88,29.44
29.20,27.84,29.52,27.28
28.00,26.24,28.64,26.24
26.32,24.96,27.76,24.96
23.92,24.32,24.80,22.72
24.32,25.68,26.32,24.16
26.00,25.68,26.00,24.48
26.40,25.92,26.56,25.44
25.84,24.72,26.08,24.56
25.52,25.52,25.76,24.48
24.96,24.08,25.36,23.84
23.68,21.92,24.40,21.92
21.84,25.84,26.72,21.12
25.28,23.52,25.28,22.72
23.36,24.08,24.08,22.64
24.00,23.28,24.48,23.04
23.92,23.68,24.96,23.20
23.52,23.92,24.08,23.20
24.32,25.28,25.52,23.76
24.96,24.72,25.12,24.32
24.96,25.76,25.76,24.88
25.36,25.12,25.75,25.04
25.28,25.60,25.76,24.88
25.44,25.44,26.16,25.28
25.52,24.24,25.52,23.60
24.88,24.88,24.96,24.32
25.04,25.36,26.32,24.88
25.04,26.00,26.96,24.40
26.72,28.48,29.76,26.56
29.76,30.16,31.04,29.04
31.12,30.56,31.36,30.32
30.00,30.00,30.64,30.00
28.08,28.64,29.14,28.00
29.28,28.96,29.68,28.24
29.36,30.72,30.80,28.32
30.32,29.76,30.32,29.36
29.60,30.56,30.64,29.52
30.80,31.36,31.52,29.92
30.24,30.16,30.84,29.68
36.16,29.84,37.36,29.36
30.24,26.88,30.40,26.56
27.92,25.04,28.24,24.48
24.80,25.20,25.68,24.00
24.80,24.32,25.36,24.08
24.24,23.60,25.12,23.44
23.68,24.40,24.66,23.68
23.68,24.24,24.96,23.04
24.24,24.00,24.48,23.60
23.60,22.72,23.92,22.00
22.64,22.40,23.68,22.32
23.28,24.00,24.24,23.28
24.08,24.00,24.08,23.04
25.28,24.40,25.60,23.52
24.32,25.36,26.16,24.08
25.92,25.28,26.07,24.56
26.00,25.36,26.40,25.04
25.28,25.12,25.36,25.04
25.04,25.52,25.84,24.88
25.20,25.12,25.76,24.96
25.36,26.64,26.64,25.36
26.24,26.08,26.56,25.52
26.48,26.00,27.28,26.00
25.68,25.44,25.68,24.88
26.08,26.00,26.40,25.12
26.32,25.84,27.20,24.88
26.00,24.24,26.48,24.16
25.04,25.44,25.44,24.40
25.28,25.44,25.76,24.80
25.44,26.00,26.32,25.04
26.00,27.20,27.92,25.92
27.12,27.36,28.00,26.44
27.60,26.32,27.60,26.24
26.56,26.72,26.96,26.00
26.56,27.20,28.00,26.41
27.76,27.92,28.08,26.96
28.16,29.20,29.84,27.76
28.88,28.96,29.04,27.68
28.80,28.00,28.80,27.44
28.24,27.20,28.24,27.04
27.76,26.96,27.76,26.64
26.72,26.72,27.04,26.00
26.88,26.32,27.12,25.92
26.24,26.00,26.24,25.52
26.24,25.04,26.96,24.96
25.20,25.84,26.24,25.04
26.00,26.00,26.24,25.12
25.92,26.00,26.24,25.28
25.84,26.00,26.15,25.84
25.60,26.16,26.24,25.52
26.08,26.56,26.56,26.08
26.72,26.80,27.52,26.72
26.64,26.56,26.96,26.16
26.40,27.28,28.16,26.40
27.60,26.80,27.60,26.64
26.88,29.68,30.32,26.40
29.60,31.92,32.16,29.53
32.40,32.56,34.32,32.00
32.40,31.52,32.80,31.52
31.52,33.60,33.60,30.16
33.60,33.04,34.79,32.44
33.20,32.96,33.52,32.48
32.40,31.36,32.40,31.31
31.84,31.84,32.16,31.46
31.68,31.36,31.68,30.56
31.44,30.80,31.76,30.24
30.72,33.60,33.92,30.56
33.60,32.96,34.08,31.76
32.96,32.56,33.60,32.16
32.40,31.60,32.64,31.60
31.76,32.96,33.60,31.76
32.88,33.12,33.20,32.56
32.64,33.28,33.44,31.84
33.36,33.60,35.20,33.12
33.60,31.20,34.48,31.04
32.40,39.12,41.44,32.40
37.12,38.08,40.32,37.04
37.52,35.60,38.72,35.28
35.28,34.64,35.28,34.40
34.64,37.68,38.72,34.08
38.08,39.60,39.92,37.92
39.76,40.48,41.36,39.39
40.24,40.96,41.20,40.00
41.36,41.84,42.00,40.96
41.68,41.36,41.76,39.12
41.44,37.68,41.92,36.40
37.76,37.20,38.87,36.80
36.96,35.12,36.96,35.04
34.72,34.08,35.04,33.20
34.00,33.36,34.00,30.40
32.16,27.04,32.24,24.88
27.04,27.44,29.36,25.77
27.44,26.96,28.40,26.56
27.04,26.08,27.76,26.00
26.08,26.48,26.88,25.68
26.40,26.96,27.20,26.00
26.88,27.04,27.28,26.16
26.88,28.08,28.08,26.56
27.68,26.08,27.68,26.00
25.76,25.12,26.64,25.04
25.04,24.72,25.36,24.32
24.08,23.52,24.40,23.52
23.44,22.24,23.84,21.21
22.48,21.68,22.88,21.60
21.76,22.56,22.88,21.04
22.56,20.80,22.56,20.64
20.80,20.40,21.76,20.24
20.64,20.72,21.36,20.24
21.92,22.64,24.72,21.60
22.72,21.28,22.72,20.80
21.60,21.68,22.16,21.20
21.12,20.80,21.36,20.64
20.88,21.20,21.52,20.80
21.60,22.56,22.56,21.52
22.32,22.56,22.56,22.00
22.56,23.44,23.68,22.00
23.28,22.88,23.60,22.48
22.56,22.56,23.44,22.40
22.40,21.52,22.40,20.80
21.60,20.64,21.76,20.40
20.40,20.80,21.04,20.06
20.80,21.12,21.12,20.64
20.80,20.56,21.12,20.08
20.16,20.64,21.28,20.00
20.96,16.00,21.20,15.12
16.40,16.08,16.72,15.53
15.52,14.72,16.00,14.04
15.04,14.64,17.28,14.56
14.64,14.32,15.52,14.32
14.56,13.68,15.04,13.32
13.60,13.84,14.40,13.24
14.08,14.16,14.56,13.68
14.16,13.84,14.80,13.76
13.76,12.56,14.00,11.68
12.80,13.60,16.56,12.64
13.52,13.76,14.48,13.12
14.00,15.44,15.52,13.52
15.20,16.32,16.80,14.48
16.48,16.64,17.36,16.40
16.16,16.00,16.72,15.44
16.32,16.64,16.72,15.92
16.80,16.88,17.12,16.16
17.20,18.48,18.88,17.04
18.80,17.44,18.96,17.20
17.20,16.96,17.20,16.26
17.28,17.04,17.44,16.64
17.20,16.64,17.20,16.40
16.80,17.20,17.28,16.64
17.52,17.68,17.92,16.80
17.60,19.20,19.20,17.28
18.96,18.40,18.96,18.16
18.56,18.48,18.80,18.24
18.40,18.24,18.48,18.08
18.16,17.68,18.16,17.52
17.68,18.32,18.64,17.52
18.24,17.60,18.56,17.56
17.68,16.96,17.68,16.88
17.04,16.64,17.37,16.56
16.40,16.24,16.96,15.84
16.72,15.44,17.04,15.36
15.52,18.72,18.96,15.52
18.72,17.76,18.96,17.52
17.68,17.60,18.08,17.36
17.36,17.20,17.68,16.88
17.20,15.52,17.28,15.52
15.68,16.16,16.32,15.12
16.24,16.08,16.96,15.69
15.92,16.08,16.24,15.28
16.08,15.52,16.08,15.44
15.44,15.44,15.60,15.28
15.52,15.60,15.76,14.32
15.60,15.36,15.92,15.20
15.52,15.20,15.60,15.12
15.04,14.96,15.28,14.96
14.56,14.40,14.80,14.32
14.56,14.40,15.04,14.32
14.48,14.48,14.56,14.24
14.96,14.72,15.20,14.48
14.80,15.52,16.00,14.64
15.52,15.52,16.08,15.12
15.52,15.12,15.84,14.88
15.20,15.28,16.08,15.20
15.28,15.04,15.76,14.88
15.20,15.68,15.84,14.96
15.76,15.44,16.08,15.36
15.60,15.28,15.76,15.12
15.20,15.44,15.60,15.20
15.52,15.60,16.38,15.36
15.52,15.28,15.84,15.04
15.28,15.68,15.68,14.80
15.84,15.44,15.88,15.36
15.28,15.52,15.60,15.20
15.68,15.84,16.24,15.60
16.00,15.68,16.16,15.60
15.68,15.76,16.56,15.60
16.00,15.68,16.00,15.60
15.60,16.00,16.24,15.44
16.00,15.60,16.00,15.52
15.52,15.68,16.00,15.44
15.68,15.76,15.92,15.52
15.84,16.24,17.20,15.68
16.32,16.24,16.32,15.92
16.08,16.00,16.40,15.84
16.24,16.08,16.32,15.84
16.16,17.92,18.40,15.94
18.16,17.12,18.32,16.32
17.36,17.76,18.00,17.20
18.08,17.60,18.16,17.28
17.68,18.00,18.72,17.68
18.32,18.40,18.40,18.00
18.40,18.16,18.64,17.60
18.16,18.40,18.64,18.04
18.56,18.32,18.64,18.08
18.32,18.40,19.12,18.00
18.40,18.40,18.61,18.16
18.56,18.40,18.63,18.00
18.32,18.72,18.88,18.24
18.80,19.52,19.52,18.24
19.28,18.88,19.52,18.56
19.20,17.84,19.20,17.68
17.92,17.12,17.92,16.80
17.20,17.36,17.44,16.72
17.28,18.32,18.64,17.28
18.40,19.28,19.32,18.16
19.28,18.32,19.47,18.24
18.56,17.76,18.88,17.68
17.84,17.20,18.00,16.92
17.20,17.04,17.63,16.72
16.88,17.28,17.36,16.80
17.28,17.20,17.36,17.12
17.20,17.20,17.28,17.20
17.36,17.36,17.44,17.20
17.28,17.36,17.92,17.20
17.36,17.28,17.44,17.20
17.52,19.28,19.84,17.28
19.12,18.96,20.08,18.64
18.96,17.84,19.44,17.84
17.60,17.20,17.92,17.20
17.20,17.20,17.84,17.20
16.96,17.12,17.36,16.96
17.20,16.32,17.28,16.28
16.24,16.24,16.32,16.08
16.24,16.08,16.40,16.00
16.00,16.08,16.24,15.76
16.16,17.28,17.28,16.00
17.36,16.80,17.36,16.80
16.88,16.64,17.20,16.56
16.64,16.80,17.27,16.48
16.48,16.00,17.28,15.36
15.92,17.60,18.00,15.44
17.60,16.48,17.60,16.16
16.48,15.84,16.48,15.68
15.68,15.92,16.00,15.68
15.92,15.68,16.08,15.44
15.60,15.20,15.76,14.96
15.04,15.20,15.36,14.96
15.36,16.00,16.00,15.28
15.84,15.84,16.40,15.68
16.00,15.84,16.24,15.68
16.00,16.00,16.48,15.60
16.00,16.16,16.36,15.83
15.92,15.92,16.16,15.12
15.76,16.08,16.16,15.44
16.08,16.64,16.80,16.08
16.80,18.72,19.28,16.80
18.80,18.56,19.20,18.48
18.32,19.28,19.44,18.17
19.44,19.68,20.08,19.04
19.60,18.96,22.72,18.72
19.12,19.36,20.56,18.96
19.68,20.48,20.96,19.44
20.72,20.88,21.84,20.56
21.16,21.20,21.84,20.88
21.52,21.12,21.76,20.88
21.60,21.28,21.68,21.04
21.68,21.60,22.40,21.28
21.44,21.28,21.97,21.04
21.76,21.44,21.84,21.36
21.52,21.60,21.84,21.20
21.68,21.60,21.84,20.88
21.52,21.36,21.60,20.88
21.44,21.44,21.60,21.20
21.52,21.52,21.60,21.04
21.60,20.88,21.60,20.80
21.04,21.60,21.60,20.48
22.00,21.52,22.24,21.44
21.68,21.84,22.16,21.48
22.08,23.44,24.24,21.93
23.92,24.24,24.96,23.44
24.40,23.76,25.03,23.60
23.92,23.20,24.16,23.04
23.52,22.72,23.60,22.64
22.96,23.12,23.36,22.72
23.20,22.72,23.36,22.08
22.80,22.64,22.80,22.40
22.64,22.48,23.12,22.20
22.40,21.52,22.56,21.44
21.44,20.56,21.76,20.24
20.88,20.80,21.11,20.08
21.12,20.24,21.52,20.16
20.56,19.92,20.80,19.84
19.84,20.24,20.32,19.68
20.16,20.48,20.72,19.12
20.48,19.76,20.72,19.52
19.76,19.20,19.92,18.80
19.28,20.00,20.16,19.28
20.16,21.04,21.40,20.08
21.28,20.56,21.28,20.56
20.72,20.48,20.88,20.08
20.16,19.84,20.48,19.68
19.76,19.36,19.84,19.28
19.36,19.36,19.76,19.28
19.60,19.12,19.76,18.96
19.12,19.68,19.76,19.04
19.76,19.36,19.84,19.04
19.36,19.84,19.92,19.04
20.16,19.44,20.16,19.20
19.52,19.28,19.68,19.12
19.20,18.00,19.28,18.00
18.00,17.60,18.16,17.28
17.84,18.00,18.40,17.36
18.16,17.60,18.52,17.60
17.76,18.16,18.64,17.68
18.24,18.56,18.72,18.08
18.40,16.80,18.87,16.16
16.40,17.36,17.36,16.40
17.28,16.88,17.37,16.48
16.96,16.88,17.44,16.64
16.88,17.36,17.36,16.88
17.28,16.72,17.52,16.48
16.96,17.84,18.08,16.64
17.76,18.24,18.56,17.36
18.16,18.96,19.20,17.76
18.96,18.24,18.96,18.00
18.24,17.92,18.24,17.60
17.68,16.96,17.92,16.80
16.88,16.96,17.28,16.40
16.96,16.64,17.28,16.64
16.72,16.72,16.96,16.48
16.48,16.48,16.96,16.32
16.48,16.24,16.96,16.08
16.40,16.16,16.40,15.68
16.40,15.84,16.40,15.60
15.60,16.16,16.16,14.80
16.32,17.20,17.20,16.00
17.04,16.56,17.04,16.24
16.64,16.40,16.80,16.24
16.48,16.24,16.48,16.00
16.16,16.32,16.32,15.92
15.84,16.40,16.48,15.84
16.48,16.40,16.55,16.32
16.48,16.40,16.48,16.24
16.32,16.40,16.56,16.24
16.32,17.04,17.12,16.32
16.96,16.88,17.44,16.48
16.80,16.08,16.96,16.00
16.08,16.16,16.32,15.84
16.16,16.16,17.01,15.92
16.16,16.64,16.96,16.16
16.56,16.32,16.80,16.00
16.40,16.08,16.40,15.92
16.08,16.32,16.40,16.00
16.24,15.92,16.32,15.84
15.92,16.72,16.80,15.84
16.72,17.36,17.52,16.60
17.36,17.28,17.44,16.96
17.20,16.32,17.60,16.32
17.12,16.00,17.20,15.84
16.16,17.12,17.20,15.96
17.44,17.04,17.68,16.96
17.04,17.44,17.44,17.04
17.52,18.88,19.20,17.44
18.88,19.20,19.44,18.32
18.96,18.08,18.96,16.40
17.84,18.80,18.80,17.76
18.80,18.24,19.04,18.08
18.24,18.00,18.72,17.60
18.00,17.84,18.00,17.44
17.60,17.44,17.92,17.36
17.44,18.08,18.08,17.12
17.92,18.16,18.56,17.76
18.08,17.84,18.72,17.76
17.84,17.36,18.00,17.20
17.20,17.84,17.84,16.80
17.68,17.76,18.00,17.36
17.92,17.84,18.32,17.60
17.68,17.52,17.92,17.36
17.52,17.92,18.00,17.28
17.76,17.60,18.08,17.44
17.60,17.84,18.32,17.44
17.68,17.52,17.84,17.36
17.52,17.04,17.60,16.88
17.04,17.52,17.76,17.04
17.60,17.68,17.68,16.96
17.84,17.36,18.08,17.20
17.12,17.12,17.36,16.80
17.20,17.12,17.36,16.80
17.04,17.20,17.44,16.96
17.12,17.04,17.20,16.88
17.28,16.80,17.35,16.68
16.88,16.80,17.36,16.56
16.80,17.28,17.60,16.72
