IHF,iShares U.S. Health Care Providers ETF,NASDAQ
53.62,53.78,53.84,53.62
53.74,53.77,53.82,53.56
53.82,53.85,53.93,53.82
53.99,53.87,54.02,53.87
53.84,53.87,54.09,53.84
54.24,54.87,54.96,54.24
54.99,54.92,54.99,54.68
54.68,55.10,55.16,54.68
54.91,55.70,55.80,54.91
55.97,55.74,55.97,55.20
55.52,55.97,56.07,55.41
56.29,56.53,56.64,56.11
57.00,56.66,57.00,56.41
56.73,56.95,57.04,56.73
56.88,57.61,57.65,56.88
57.88,57.91,57.91,57.39
57.95,56.85,57.95,56.54
56.65,56.61,56.90,56.22
56.94,56.44,56.94,56.39
56.40,56.31,56.62,56.24
56.15,56.85,57.04,56.15
56.99,57.35,57.49,56.96
57.61,58.26,58.38,57.34
58.52,56.80,58.52,56.75
57.08,56.78,57.08,56.50
57.42,57.63,57.80,57.12
57.68,57.42,57.69,57.40
57.18,57.89,58.38,56.40
58.38,58.33,58.97,57.82
58.61,58.06,58.61,58.01
58.32,58.84,59.05,58.28
59.08,58.70,59.08,58.58
58.61,58.74,58.79,58.55
58.83,59.05,59.24,58.53
58.71,59.21,59.26,58.68
59.00,59.04,59.31,58.94
59.25,59.71,59.81,59.25
59.76,59.97,60.03,59.48
60.08,60.22,60.46,60.07
59.66,59.17,60.16,59.13
59.09,58.68,59.28,58.55
58.50,59.03,59.38,58.41
59.36,59.71,59.76,59.36
60.03,60.01,60.31,59.76
60.31,59.66,60.71,59.61
59.66,60.42,60.73,59.66
61.01,61.66,61.77,61.01
61.78,61.42,61.80,60.96
61.56,60.51,61.65,60.07
60.47,61.11,61.41,60.29
61.42,61.68,61.68,60.98
61.42,60.54,61.42,60.33
60.56,60.49,60.63,60.00
60.81,59.93,60.81,59.48
58.24,59.55,59.91,58.24
59.30,58.53,59.49,58.36
59.31,58.60,59.31,58.41
59.31,58.71,59.31,58.50
59.36,59.02,59.50,58.70
59.04,59.11,59.59,59.04
58.71,58.97,59.15,58.50
59.36,59.79,59.88,59.12
59.93,60.17,60.66,59.87
60.32,60.41,60.60,60.24
60.37,60.97,60.97,60.37
61.15,61.64,61.74,61.07
61.96,61.91,61.96,61.37
62.28,62.57,62.72,62.28
62.80,62.87,63.03,62.63
62.82,62.44,62.82,62.34
62.86,62.30,62.86,62.12
62.41,61.98,62.85,61.96
62.55,61.75,62.55,61.41
61.95,61.15,61.95,60.98
60.83,61.62,61.64,60.83
61.89,61.39,61.97,61.18
61.04,61.49,61.57,60.74
61.45,61.70,61.88,61.40
61.01,60.62,61.01,60.17
60.80,61.31,61.33,60.76
62.09,61.81,62.12,61.70
62.48,63.14,63.50,62.48
63.15,62.91,63.21,62.63
63.12,63.46,63.70,63.11
63.82,64.29,64.33,63.54
64.54,65.38,65.44,64.54
65.39,65.18,65.39,64.90
65.56,65.73,66.12,65.46
65.70,65.01,65.70,64.87
65.03,64.85,65.25,64.50
64.86,65.02,65.63,64.31
65.92,65.56,66.06,65.29
65.66,66.29,66.39,65.45
66.57,66.88,66.99,66.29
66.97,66.46,66.97,65.87
66.32,66.69,66.78,65.59
67.14,66.58,67.47,66.38
66.40,66.58,67.05,65.89
66.32,66.28,66.59,66.08
66.29,67.20,67.26,66.24
67.58,67.33,67.58,66.94
67.56,66.66,67.56,66.42
66.49,65.69,66.49,65.19
65.89,64.84,65.89,64.82
64.59,65.17,65.38,64.57
65.05,65.57,65.64,64.51
65.37,65.17,65.37,64.63
65.92,65.97,65.98,65.42
65.93,65.14,65.95,65.10
65.16,65.36,65.60,64.96
64.54,64.32,64.93,64.30
64.11,63.15,64.11,63.05
63.25,63.32,64.68,63.25
63.14,63.21,63.50,62.89
63.26,64.53,64.82,63.26
64.30,63.40,64.30,63.00
63.52,63.25,63.89,63.23
63.87,64.30,64.65,63.83
64.04,63.36,64.41,63.27
63.42,63.62,63.93,62.85
64.20,63.55,64.36,63.46
63.40,64.44,64.63,63.40
64.79,65.20,65.27,64.53
65.08,64.63,65.44,64.53
63.83,64.21,64.30,62.71
64.42,63.21,64.42,63.06
63.15,63.85,64.03,62.78
64.14,65.03,65.21,64.13
65.24,65.04,65.36,64.80
65.26,65.17,65.67,65.09
65.28,66.31,66.41,65.07
66.42,66.18,66.42,65.72
66.24,66.60,66.82,66.00
67.13,66.52,67.13,66.00
65.80,66.04,66.04,65.40
65.50,64.51,65.50,64.32
64.25,64.72,65.34,64.18
65.09,65.02,65.81,64.85
65.10,64.71,65.63,64.60
65.12,64.38,65.12,64.09
64.27,63.98,64.54,63.42
64.31,64.22,64.39,63.68
64.25,64.30,64.49,63.88
65.71,65.87,66.30,65.56
65.91,66.21,66.27,65.83
65.26,64.83,65.70,64.75
64.78,64.39,64.85,64.31
63.85,62.32,63.85,62.20
62.27,62.28,63.14,62.16
61.45,61.57,62.11,60.40
62.33,59.38,62.33,58.36
59.10,58.00,59.81,58.00
58.00,58.15,58.17,56.45
57.37,55.49,57.46,55.47
56.13,55.12,56.16,54.01
52.92,50.22,53.73,50.22
51.10,53.15,53.15,49.80
52.04,50.85,52.75,50.82
50.99,53.09,53.78,50.86
53.71,53.84,54.22,53.20
54.04,55.48,55.51,54.04
55.07,55.10,55.51,54.50
55.15,54.80,55.82,54.37
54.00,52.60,54.00,52.10
51.83,51.72,52.83,51.50
52.74,51.49,52.74,51.41
51.86,53.47,53.48,51.17
53.29,54.27,54.36,53.06
54.70,52.99,54.70,52.90
52.59,54.15,54.16,51.61
54.92,55.89,55.89,54.77
55.66,56.41,56.72,55.39
56.83,56.33,57.51,56.01
56.42,55.79,57.27,55.77
54.86,54.36,55.35,54.26
52.79,54.16,54.34,52.42
55.13,56.24,56.36,54.88
56.44,55.30,56.44,55.26
54.44,53.38,54.74,53.12
52.58,53.78,53.78,52.38
53.85,54.81,54.89,53.85
55.11,55.16,55.72,53.99
55.62,55.99,56.05,54.60
56.27,56.21,56.34,55.34
55.32,55.46,55.73,55.06
55.61,54.85,56.18,54.85
55.01,53.09,55.10,53.09
51.68,51.81,52.43,51.00
51.67,52.25,52.31,51.31
52.68,53.34,53.38,51.78
54.43,54.12,55.06,53.92
54.12,52.32,54.12,52.30
53.45,52.33,53.45,51.41
51.58,51.52,52.69,51.48
51.24,48.98,51.82,48.94
48.11,49.67,49.67,47.76
49.77,50.27,50.41,49.27
50.44,51.68,51.72,50.44
51.83,51.34,51.86,51.03
52.10,52.99,53.00,52.10
52.56,53.06,53.25,52.56
53.59,53.74,54.36,53.59
53.38,53.56,53.65,52.78
54.29,54.43,54.48,53.90
54.20,53.35,54.29,53.29
53.18,53.69,54.00,52.25
53.55,53.56,54.64,53.43
53.34,53.65,53.65,52.59
54.17,54.88,54.88,54.17
55.39,56.61,56.74,55.39
56.60,55.99,56.79,55.94
56.77,57.37,57.66,56.34
58.86,58.71,58.88,57.56
57.86,58.66,58.85,57.86
58.10,57.81,58.68,57.81
56.07,56.34,56.95,55.98
56.81,57.00,57.33,56.61
57.47,57.26,57.51,56.79
56.70,57.32,57.46,56.41
57.31,58.12,58.18,57.09
58.38,59.10,59.19,57.95
57.91,57.42,58.12,57.28
58.00,58.25,58.27,57.24
58.88,59.32,59.62,58.87
59.03,59.09,59.42,58.61
58.87,59.02,59.20,58.31
58.42,57.29,58.48,57.28
57.27,56.59,57.35,56.27
56.90,56.83,57.00,56.42
56.00,55.93,56.17,55.60
55.76,55.76,56.27,55.61
55.29,54.74,55.33,54.56
54.95,54.37,55.05,54.37
55.71,56.13,56.32,55.55
56.21,56.58,56.78,56.18
58.35,59.19,59.19,57.86
59.07,59.01,59.64,58.90
59.66,58.49,59.66,58.25
59.41,58.76,59.70,58.49
58.84,58.67,58.97,58.53
58.13,58.91,59.04,57.98
58.49,57.17,58.68,57.15
57.21,57.98,58.17,57.21
57.53,57.20,57.55,56.88
57.58,56.52,58.01,56.25
56.15,56.06,56.57,56.04
56.59,56.61,56.93,56.30
57.36,56.85,57.60,56.73
57.06,56.39,57.46,56.30
57.18,58.03,58.14,57.18
57.97,58.41,58.41,57.77
58.59,59.21,59.34,58.59
59.28,59.53,59.67,59.28
59.33,59.66,59.84,59.33
59.67,58.59,59.67,58.48
58.61,59.04,59.11,58.60
59.14,58.85,59.17,58.85
59.95,59.48,59.95,59.25
59.37,59.55,59.62,58.93
59.29,60.17,60.20,59.13
60.25,60.99,61.48,60.25
61.09,60.97,61.12,60.45
61.41,61.32,61.49,61.05
61.18,61.45,61.55,60.89
61.85,60.96,61.85,60.62
60.67,60.82,60.82,60.10
61.43,61.54,61.85,61.43
61.50,62.00,62.04,61.29
61.82,61.80,61.92,61.50
61.67,61.75,61.83,61.33
61.64,61.74,62.24,61.48
61.50,61.90,61.97,61.50
61.37,62.14,62.23,60.56
62.19,61.20,62.19,60.92
61.32,61.78,61.93,61.20
61.34,61.32,61.43,60.89
61.63,61.63,62.39,61.49
61.96,63.06,63.29,61.90
62.92,62.68,62.92,62.18
63.18,62.85,63.20,62.45
62.67,61.74,62.82,61.14
61.75,62.37,62.39,61.67
62.35,62.49,62.65,62.25
62.67,62.46,62.67,62.21
62.02,62.37,62.55,61.76
62.69,62.94,63.26,62.60
62.90,63.71,63.71,62.82
64.04,63.69,64.22,63.53
63.66,64.30,64.35,63.51
64.38,64.06,64.50,63.94
64.27,64.04,64.60,63.97
64.03,63.98,64.37,63.58
64.00,64.22,64.51,64.00
64.32,64.78,64.82,64.30
64.55,64.97,65.43,64.55
64.91,65.10,65.21,64.77
65.24,64.71,65.24,64.64
65.00,64.84,65.01,64.49
64.70,64.37,64.84,64.16
64.26,64.03,64.53,63.98
63.36,62.95,63.73,62.72
63.09,63.36,63.55,63.07
63.81,64.15,64.39,63.70
64.31,64.75,64.89,64.31
64.48,64.01,64.54,63.89
64.30,64.85,64.86,64.01
64.86,65.22,65.31,64.86
65.29,65.28,65.42,64.96
65.42,65.39,65.56,65.34
65.35,65.44,65.70,65.26
65.19,64.47,65.19,64.44
64.42,64.45,64.59,64.25
64.00,64.06,64.28,63.89
64.05,64.02,64.05,63.74
64.57,65.43,65.46,64.57
65.56,65.22,65.56,64.79
65.25,65.30,65.90,64.84
64.89,66.19,66.39,64.69
66.38,66.88,67.06,66.26
66.99,67.51,67.77,66.98
67.79,67.91,68.03,67.50
67.53,67.24,67.53,67.04
67.14,67.29,67.38,66.92
66.39,65.57,66.39,65.55
65.47,64.49,65.56,64.36
65.00,65.10,65.39,64.93
65.12,66.09,66.22,65.12
65.97,65.37,65.97,65.24
65.67,64.88,65.67,64.87
65.29,66.30,66.43,65.29
66.23,66.32,66.44,66.08
66.28,66.98,67.22,66.24
67.24,66.95,67.47,66.88
66.40,66.21,66.40,65.75
65.77,66.11,66.28,65.63
66.83,66.33,67.05,66.27
65.17,65.66,65.82,64.75
65.73,65.06,65.73,64.93
64.75,64.13,64.75,63.80
64.04,64.88,65.25,64.04
64.61,64.87,65.28,64.61
64.64,63.64,64.64,63.33
63.44,62.52,63.44,62.42
62.23,62.68,62.93,62.05
62.35,63.06,63.15,61.83
62.46,62.20,62.80,61.95
62.63,62.21,62.68,62.09
62.16,62.10,62.78,62.06
61.53,61.64,62.06,61.14
61.55,61.31,61.91,61.21
61.52,60.97,61.57,60.97
60.97,60.34,61.27,60.32
60.56,59.42,60.56,59.30
59.63,60.79,60.82,59.04
60.86,60.64,61.55,60.43
60.21,60.61,60.77,59.73
60.67,61.14,61.54,60.57
61.16,61.59,61.84,61.13
61.92,62.26,62.33,61.71
61.72,61.42,61.89,61.27
61.42,60.96,61.42,60.57
59.79,59.64,60.37,59.63
59.81,59.63,59.97,59.32
59.35,60.66,60.75,59.35
60.93,61.94,61.98,60.93
62.33,61.45,62.33,61.37
61.38,62.47,62.68,61.38
62.51,61.61,62.51,61.43
61.50,62.23,62.30,61.30
62.15,61.96,62.57,61.83
62.08,62.96,63.14,62.08
62.92,63.25,63.49,62.92
62.94,63.55,63.61,62.94
63.90,64.23,64.50,63.78
64.07,64.07,64.49,63.83
64.18,62.70,64.22,62.70
63.19,63.74,63.91,62.99
62.95,62.55,63.36,62.49
62.66,63.03,63.24,62.31
63.25,63.88,64.56,63.25
63.39,64.82,64.87,62.97
66.08,65.05,66.08,64.82
65.53,64.60,65.53,64.50
64.65,64.16,64.74,64.06
64.06,64.09,64.24,63.85
63.67,63.65,63.87,63.29
64.53,65.02,65.26,64.53
65.33,64.76,65.33,64.52
64.77,65.05,65.24,64.73
64.94,64.66,64.94,64.31
64.81,65.75,65.88,64.78
65.60,65.57,65.64,65.26
65.46,65.85,66.01,65.07
65.67,66.14,66.40,65.42
66.50,65.64,66.50,65.19
65.47,64.90,65.54,64.83
64.02,63.90,64.11,63.47
63.96,63.54,63.96,63.17
62.58,62.16,62.58,61.71
63.00,62.08,63.00,61.65
62.41,63.66,63.75,62.28
63.75,63.56,63.87,63.23
63.97,62.36,63.97,62.34
62.49,62.34,63.34,62.22
61.89,62.01,62.35,61.52
62.01,62.60,63.06,62.01
62.64,62.19,62.64,62.15
62.57,63.36,63.42,62.56
62.64,64.65,64.75,62.64
64.70,64.59,64.81,64.27
64.72,64.56,64.72,64.24
64.64,64.28,64.64,63.95
64.41,64.12,64.47,64.00
63.70,64.65,64.68,63.70
64.70,65.22,65.23,64.49
65.25,65.37,65.37,64.96
65.61,65.75,65.80,65.38
65.98,65.76,66.20,65.74
65.75,66.05,66.17,65.65
66.07,65.83,66.11,65.66
65.69,65.92,66.01,65.53
65.92,66.38,66.45,65.92
66.53,66.32,66.53,66.07
66.67,66.92,67.13,66.67
66.55,66.68,66.76,66.51
66.98,66.68,67.02,66.54
66.83,67.07,67.09,66.44
67.10,67.17,67.55,67.10
67.79,68.06,68.25,67.79
68.16,68.06,68.22,67.95
68.06,67.20,68.06,67.17
67.28,66.92,67.40,66.84
66.98,66.70,66.99,66.67
66.70,67.46,67.56,66.47
67.88,67.97,68.38,67.74
67.87,68.15,68.23,67.72
68.16,68.44,68.62,68.16
68.35,68.44,68.50,68.24
68.00,68.28,68.28,67.81
68.43,68.80,68.82,68.37
68.65,68.65,68.96,68.61
68.44,68.31,69.07,68.29
67.72,67.98,68.44,67.72
68.43,68.87,68.96,68.37
68.56,68.58,68.66,68.35
68.87,69.16,69.28,68.85
69.01,69.69,69.69,69.01
70.05,70.23,70.43,69.69
70.14,70.58,70.70,70.05
70.38,70.02,70.98,69.86
69.97,69.97,70.19,69.83
69.95,69.25,69.95,69.23
69.22,69.15,69.52,69.05
69.77,69.86,70.07,69.77
69.92,69.53,69.97,69.42
69.91,69.95,70.03,69.54
70.52,69.84,70.52,68.62
69.71,69.41,69.86,69.22
69.14,69.43,69.65,69.14
69.63,68.38,69.63,68.16
68.37,69.07,69.07,68.29
68.63,68.24,68.63,67.67
68.34,68.25,68.68,68.13
68.81,68.90,68.94,68.53
68.60,67.89,68.60,67.55
67.97,67.66,67.97,67.30
67.85,69.19,69.19,67.85
69.55,68.61,69.55,68.61
68.30,69.16,69.24,68.23
68.23,68.49,68.54,67.19
67.81,67.62,68.11,66.93
67.65,66.37,67.75,66.37
66.25,66.00,66.67,65.98
66.14,65.75,66.17,65.74
65.52,65.23,66.00,64.34
65.40,63.92,65.40,63.85
63.95,64.24,64.37,63.67
64.30,64.82,65.01,64.07
65.48,65.86,65.86,65.30
65.82,65.87,65.87,65.42
65.65,65.99,66.11,65.62
66.20,66.55,66.55,66.20
66.27,65.97,66.27,65.64
66.07,65.64,66.25,65.63
65.42,65.73,65.78,64.99
66.03,66.83,66.89,66.03
66.86,66.89,67.03,66.54
67.23,66.80,67.32,66.70
66.81,66.86,67.12,66.79
67.00,67.05,67.22,66.51
66.99,67.13,67.14,66.76
67.39,67.62,67.62,67.34
67.55,67.92,67.97,67.50
68.01,68.36,68.36,67.86
68.89,68.54,69.16,68.50
68.63,68.22,68.88,68.16
68.10,68.06,68.26,67.94
68.29,68.74,68.76,68.29
68.79,69.63,69.69,67.82
69.23,68.82,69.23,68.62
68.83,69.43,69.54,68.78
68.70,69.06,69.14,68.64
68.81,68.66,68.81,68.45
68.51,68.21,68.58,68.20
68.20,68.12,68.43,67.53
67.79,67.49,68.08,67.46
67.33,68.45,68.46,67.04
69.56,69.40,69.56,68.92
69.02,68.42,69.62,68.24
68.70,68.71,68.92,68.60
68.61,68.98,68.98,68.43
69.03,68.24,69.07,68.24
68.36,69.15,69.20,68.36
69.45,69.90,69.99,69.26
69.93,69.82,70.14,69.63
69.80,70.15,70.29,69.70
69.85,70.70,70.75,69.85
70.58,70.62,70.68,70.37
71.06,71.72,71.77,70.96
71.73,71.85,71.86,71.57
71.90,72.92,72.93,71.90
72.96,72.44,72.96,71.93
72.68,73.01,73.17,72.68
73.14,73.39,73.42,72.89
73.53,73.31,73.53,73.08
73.21,73.19,73.26,72.77
73.11,72.85,73.15,72.77
72.74,72.59,72.89,72.50
72.99,73.42,73.42,72.67
73.10,72.82,73.75,72.80
73.51,74.16,74.27,73.51
73.87,74.18,74.20,73.87
74.29,74.31,74.32,73.79
74.60,75.01,75.25,74.47
75.00,74.43,75.00,74.29
74.60,74.12,74.60,74.04
74.15,74.44,74.44,74.00
74.24,74.40,74.66,74.22
74.49,74.39,74.74,74.25
73.23,74.41,74.44,72.86
74.37,73.40,74.37,73.40
73.54,73.04,73.54,72.64
73.32,72.77,73.32,72.59
73.12,71.50,73.12,71.50
71.74,71.63,71.76,70.90
71.53,72.53,72.63,71.50
72.56,72.60,73.02,72.41
72.54,72.81,73.05,71.81
72.71,72.74,72.86,72.46
73.05,73.42,73.55,72.96
73.64,73.64,73.84,73.58
73.92,73.98,74.19,73.79
74.12,74.45,74.55,74.07
74.63,74.87,75.00,74.63
74.88,75.29,75.34,74.82
75.37,75.48,75.57,75.23
75.70,75.71,75.75,75.41
75.80,75.80,75.97,75.61
75.18,75.43,75.82,75.13
75.55,75.54,75.91,75.31
75.96,75.66,76.01,75.48
75.51,75.26,75.68,75.07
75.38,75.12,75.49,74.88
75.31,75.17,75.64,75.09
75.32,75.96,76.04,75.32
75.79,76.36,76.45,75.71
76.50,76.67,76.71,76.39
76.85,77.63,78.01,76.23
79.23,79.14,80.30,78.92
79.25,77.98,79.25,77.83
78.03,78.08,78.60,77.65
77.39,77.63,77.80,77.30
77.76,77.83,77.86,76.96
77.98,78.07,78.51,77.90
78.09,78.30,78.43,77.89
78.34,79.11,79.12,78.34
79.00,78.76,79.00,78.42
78.35,76.67,78.56,76.65
77.03,78.07,78.09,76.54
77.65,77.01,77.75,76.63
76.30,75.62,76.30,75.23
75.62,76.32,76.37,75.62
76.53,75.83,76.53,75.24
76.23,76.60,76.78,76.23
77.23,77.01,77.29,76.92
77.42,77.54,77.74,77.25
77.43,77.65,77.94,77.36
78.22,78.21,78.98,78.18
78.58,78.69,78.70,77.98
78.93,78.35,79.25,78.26
78.87,79.46,79.56,78.87
79.76,79.30,79.88,79.28
79.60,79.64,80.06,79.36
79.58,80.14,80.33,79.58
80.81,81.39,81.42,80.74
81.42,81.24,81.42,80.83
81.23,81.99,82.04,81.23
81.96,81.93,81.96,81.69
82.01,82.00,82.16,81.87
81.80,82.07,82.23,81.54
81.84,81.67,82.08,81.55
81.80,82.22,82.33,81.80
82.21,81.57,82.21,81.53
81.60,81.77,81.92,81.60
81.83,81.62,83.16,81.21
81.01,82.13,82.20,80.95
81.94,81.70,82.05,81.02
82.27,83.36,83.69,81.92
83.09,82.74,83.20,82.32
82.90,84.22,84.39,82.84
83.99,82.74,84.21,82.74
82.78,82.83,82.90,81.87
82.89,82.39,83.22,81.97
82.38,81.01,82.38,80.87
81.24,81.77,81.77,80.89
82.25,82.98,83.08,82.25
83.22,83.90,83.97,83.10
83.34,83.63,84.23,82.81
84.27,83.41,84.44,83.41
83.39,84.25,84.31,82.89
84.10,83.64,84.56,83.49
84.07,84.22,84.69,83.89
84.33,85.06,85.11,84.25
85.17,83.98,85.17,83.98
