APDN,Applied DNA Sciences Inc - Common Stock,NASDAQ
3.36,3.54,3.60,3.30
3.60,3.42,3.60,3.30
3.42,3.30,3.54,3.30
3.30,3.36,3.36,3.30
3.30,3.30,3.30,3.30
3.54,3.30,3.54,3.30
3.30,3.30,3.36,3.30
3.30,3.30,3.54,3.30
3.54,4.20,4.50,3.30
3.96,4.20,4.20,3.90
4.26,3.90,4.50,3.90
3.90,4.14,4.26,3.90
4.32,4.26,4.32,3.61
4.02,4.20,4.26,4.02
4.50,4.20,5.34,4.14
4.20,4.20,4.20,3.90
3.90,3.90,4.02,3.90
4.02,4.02,4.02,3.72
3.72,4.20,4.20,3.72
4.20,4.20,4.20,3.61
3.90,3.66,3.96,3.60
3.66,3.84,3.96,3.66
3.66,3.84,3.94,3.66
3.94,3.72,3.94,3.66
3.66,4.20,4.20,3.66
3.66,4.17,4.20,3.66
3.66,4.20,4.20,3.66
4.20,3.72,4.20,3.66
4.19,3.72,4.19,3.72
3.90,3.60,3.90,3.54
3.48,3.75,3.90,3.48
4.02,4.20,4.20,4.02
4.14,4.32,4.32,4.14
4.32,4.68,4.68,4.32
4.68,4.44,4.68,4.20
4.20,4.20,4.44,4.02
4.32,4.49,4.49,4.20
4.49,4.44,4.49,4.14
4.44,4.14,4.44,4.14
3.60,4.08,4.20,3.60
3.90,3.90,4.08,3.90
3.90,4.20,4.44,3.90
nan,4.20,nan,nan
3.90,3.90,3.90,3.66
3.90,3.90,4.20,3.42
4.26,4.20,4.26,4.20
3.90,4.08,4.26,3.90
4.08,3.90,4.08,3.60
3.60,3.90,3.90,3.60
3.60,3.78,4.08,3.60
3.60,3.90,4.08,3.60
4.07,3.96,4.07,3.84
4.07,4.02,4.20,3.72
4.26,3.96,4.26,3.90
3.96,4.08,4.26,3.96
4.20,3.90,4.29,3.90
3.78,4.20,4.23,3.78
3.90,4.08,4.23,3.90
3.78,4.02,4.20,3.78
4.02,3.90,4.23,3.90
4.08,3.90,4.08,3.90
3.90,3.60,4.08,3.60
3.60,3.90,3.90,3.60
nan,3.60,nan,nan
3.42,3.60,4.20,3.42
3.00,3.60,3.90,3.00
3.60,3.60,3.90,3.60
3.60,3.60,3.66,3.42
