JKD,iShares Morningstar Large-Cap ETF,NASDAQ
64.82,64.76,64.84,64.59
64.59,64.81,64.96,64.16
64.78,64.64,64.86,64.48
64.96,64.50,65.09,64.25
64.81,64.64,64.90,64.50
64.59,64.19,64.71,63.96
64.67,65.46,65.54,64.66
65.37,65.40,65.51,65.32
65.70,65.32,65.70,65.04
65.36,65.73,65.82,65.36
65.71,65.67,65.84,65.65
65.49,65.91,65.91,65.38
66.33,66.24,66.68,66.16
66.16,65.69,66.16,65.59
66.43,65.86,66.43,65.46
65.86,66.35,66.38,65.86
65.70,65.32,65.88,65.10
65.50,66.07,66.34,65.50
66.33,66.25,66.75,65.89
66.32,66.32,66.46,66.27
66.72,66.49,67.00,66.49
66.19,66.53,66.55,66.19
66.17,66.33,66.33,65.91
66.74,66.39,66.74,66.29
66.38,66.43,66.58,66.38
66.80,66.66,67.12,66.30
67.07,67.03,67.15,66.93
67.19,67.14,67.34,66.77
68.03,68.56,68.56,67.90
68.49,68.78,68.93,68.49
68.66,68.89,68.89,68.56
69.07,68.24,69.07,68.24
68.41,68.50,68.52,68.00
68.13,68.50,68.51,68.08
68.17,67.88,68.49,67.73
68.27,67.93,68.43,67.93
67.64,66.89,67.76,66.88
67.08,66.95,67.11,66.76
67.63,67.85,68.11,67.63
67.82,68.06,68.08,67.78
67.79,67.95,68.01,67.22
67.21,67.06,67.27,66.89
67.49,67.86,67.97,67.49
67.46,67.54,67.70,67.46
67.01,67.44,67.44,66.67
66.78,66.94,67.34,66.78
68.00,68.42,68.43,67.93
68.29,69.34,69.34,68.29
69.20,69.50,69.50,69.07
69.36,69.28,69.43,69.27
69.94,69.26,69.94,69.26
69.46,69.52,69.52,69.20
69.79,69.71,69.82,69.54
69.99,70.07,70.13,69.86
70.27,70.01,70.27,70.00
70.09,70.05,70.31,69.87
69.96,69.78,70.21,69.78
69.92,70.17,70.24,69.72
70.13,70.22,70.36,70.06
70.47,70.33,70.48,70.04
70.47,70.76,70.76,70.47
70.78,71.06,71.15,70.78
70.58,70.50,70.62,70.46
70.33,70.68,70.68,70.33
70.60,70.69,70.77,70.50
70.83,70.82,70.92,70.79
70.73,70.67,70.78,70.51
70.44,70.70,70.81,70.44
71.38,71.37,71.68,71.29
71.52,71.29,71.52,70.97
71.16,71.76,71.82,71.16
71.78,71.50,71.78,71.30
71.57,71.19,71.58,70.88
70.93,71.23,71.23,70.76
71.47,71.37,71.59,71.31
71.90,72.05,72.19,71.78
72.13,72.02,72.19,71.92
72.02,72.46,72.53,71.92
72.72,72.66,72.76,72.44
72.72,72.02,72.72,71.92
72.02,72.15,72.34,71.78
72.82,72.57,72.82,72.46
72.49,72.93,72.95,72.49
72.79,72.64,72.79,72.30
73.00,72.91,73.12,72.84
72.98,72.92,72.98,72.80
73.02,71.78,73.17,71.78
72.02,72.20,72.23,71.87
72.62,73.29,73.42,72.62
73.06,73.19,73.31,73.06
73.03,73.42,73.42,72.95
73.38,73.47,73.47,73.09
73.75,73.94,74.07,73.59
73.94,74.43,74.43,73.91
74.37,74.27,74.40,73.92
73.93,74.25,74.25,73.79
73.92,74.75,74.85,73.92
74.80,74.85,74.85,74.70
74.64,74.71,74.81,74.55
74.90,75.07,75.07,74.77
74.83,75.23,75.30,74.83
75.29,75.35,75.35,75.06
74.39,73.54,74.73,73.54
73.67,73.25,73.72,72.73
72.91,73.12,73.31,72.55
73.70,73.88,73.95,73.61
74.16,74.22,74.48,74.08
74.71,73.34,74.71,73.30
73.07,73.26,73.51,73.04
73.87,74.71,74.71,73.87
74.67,73.98,74.67,73.55
74.20,73.49,74.40,73.14
73.48,74.33,74.40,73.48
74.14,74.26,74.44,73.97
73.51,72.97,73.53,72.97
72.68,73.47,73.70,72.68
72.80,72.81,73.01,72.42
70.92,72.44,72.45,70.83
71.87,70.80,71.87,70.39
71.76,71.66,71.86,70.98
72.49,72.02,72.51,71.82
72.87,73.06,73.45,72.87
72.94,72.68,73.03,72.65
72.51,72.98,72.98,72.37
73.29,73.40,73.53,73.10
73.38,73.40,73.60,73.17
73.53,73.35,73.53,73.29
72.98,73.54,73.54,72.89
73.85,74.11,74.18,73.72
73.78,73.89,74.07,73.78
74.19,74.21,74.54,74.07
74.35,74.18,74.40,74.18
74.16,74.29,74.57,74.14
74.74,74.49,74.74,74.31
74.37,74.29,74.55,73.97
74.75,73.98,74.75,73.76
74.16,74.00,74.37,73.93
73.64,73.63,73.90,73.49
74.04,73.64,74.04,73.39
73.19,73.65,73.71,72.98
73.80,73.85,74.03,73.68
73.09,73.10,73.25,72.74
73.31,73.61,73.61,73.14
74.29,74.26,74.53,74.14
74.49,74.44,74.50,74.29
74.47,74.34,74.47,74.18
74.60,75.10,75.19,74.59
75.14,75.58,75.58,75.08
75.55,76.07,76.07,75.55
76.11,76.33,76.40,76.11
76.57,76.36,76.63,76.26
76.16,76.30,76.49,76.01
76.27,75.67,76.32,75.49
75.28,75.00,75.63,74.73
75.84,75.30,76.05,75.21
75.34,75.62,75.73,75.28
75.84,76.14,76.26,75.84
75.99,75.58,76.01,75.28
75.30,75.93,76.01,75.07
75.85,75.35,75.94,75.17
75.01,75.35,75.53,75.01
74.72,74.94,75.01,74.63
74.94,75.44,75.44,74.94
75.70,75.35,75.74,75.35
75.49,75.34,75.49,75.04
74.10,74.24,74.34,74.05
74.46,74.30,74.46,74.08
73.82,74.41,74.41,73.82
74.17,74.56,74.72,74.11
74.81,74.95,75.15,74.81
75.73,75.39,75.73,75.25
75.49,74.16,75.49,74.14
73.89,73.95,73.96,73.53
72.83,73.11,73.54,72.75
72.90,72.41,72.94,72.32
72.74,72.20,72.89,72.20
72.16,71.98,72.33,71.89
72.13,72.64,72.93,71.99
72.34,71.71,72.34,71.50
71.87,71.83,72.04,71.48
72.39,72.58,72.84,72.39
72.04,71.48,72.14,71.28
71.48,71.66,71.93,71.22
72.26,72.06,72.40,71.88
71.73,72.45,72.48,71.73
72.77,73.17,73.25,72.52
72.82,72.90,73.13,72.82
71.41,71.64,71.88,71.00
71.91,71.35,71.91,71.24
71.30,71.82,72.14,71.28
72.12,72.54,72.55,72.06
72.97,73.05,73.24,72.77
73.38,73.63,73.78,73.26
73.85,74.74,74.83,73.85
74.74,74.60,74.75,74.50
74.33,74.71,74.75,74.33
75.36,75.57,75.63,75.23
74.71,74.92,74.92,74.55
74.02,73.59,74.02,73.59
73.44,73.46,73.89,73.37
73.54,73.42,74.19,73.35
73.64,73.20,73.90,73.06
73.41,73.24,73.41,72.88
72.88,72.44,73.02,72.27
73.04,73.81,73.89,73.04
73.92,73.89,74.11,73.83
74.24,74.91,74.99,74.24
74.78,74.65,74.78,74.43
73.97,74.15,74.46,73.86
74.20,73.87,74.20,73.69
73.41,72.66,73.41,72.50
72.61,72.30,73.26,72.30
71.73,72.00,72.53,71.50
72.83,71.70,72.83,70.91
71.24,69.82,71.42,69.82
69.63,70.19,70.25,68.85
68.91,67.15,69.06,67.00
67.76,67.11,67.95,65.52
65.02,63.58,66.12,63.00
64.10,65.50,65.50,61.99
64.65,62.63,64.65,62.63
63.13,65.34,66.25,63.12
65.96,65.95,66.47,65.60
66.43,67.27,67.27,66.43
66.61,66.84,67.31,66.23
67.37,67.05,67.66,66.78
65.33,64.53,65.33,63.92
63.60,63.66,65.15,63.60
64.99,63.57,64.99,63.48
63.93,65.23,65.42,63.83
66.04,66.51,66.51,65.46
66.94,65.75,67.09,65.59
65.39,66.45,66.59,64.44
67.32,68.17,68.17,67.32
67.96,68.35,68.69,67.58
68.87,68.64,69.24,68.49
68.76,67.91,68.96,67.91
66.78,66.63,66.93,66.59
64.65,65.83,65.83,64.52
66.80,67.32,67.52,66.59
67.07,66.77,67.52,66.77
66.03,65.05,66.18,64.64
64.63,65.29,65.29,64.00
65.59,65.94,66.08,65.57
66.22,66.95,67.63,65.37
67.48,68.04,68.04,67.08
68.36,68.49,68.65,68.03
67.47,67.93,67.93,67.11
67.90,67.95,68.78,67.82
67.98,65.95,68.08,65.95
64.45,64.05,64.63,63.39
63.62,64.36,64.55,63.61
64.60,65.43,65.43,64.20
66.73,66.63,67.25,66.60
66.48,65.82,66.74,65.63
66.27,65.46,66.40,64.73
64.74,64.17,65.25,64.17
63.76,62.39,64.41,62.39
61.62,63.61,63.62,61.06
63.77,64.37,64.37,63.51
64.37,65.47,65.52,64.37
65.98,65.40,66.10,65.40
66.60,67.24,67.24,66.60
67.03,67.21,67.50,66.92
68.14,68.29,68.54,68.14
67.58,67.59,67.59,67.11
68.38,68.59,68.59,67.92
68.31,67.35,68.31,67.32
67.27,68.39,68.79,67.01
68.58,68.01,68.99,67.88
68.44,68.42,68.51,67.52
69.14,69.75,69.75,69.14
69.82,70.31,70.51,69.76
70.08,69.19,70.08,69.19
69.97,70.04,70.31,69.20
71.74,72.17,72.50,71.37
71.81,72.13,72.13,71.81
71.38,70.50,71.50,70.50
68.66,68.59,69.33,68.47
69.63,69.66,69.74,69.16
70.27,70.66,70.66,69.84
70.08,69.98,70.24,69.67
70.17,70.50,70.51,69.85
70.94,71.60,71.60,70.50
70.04,69.05,70.12,68.97
69.86,69.72,69.95,69.41
70.61,71.20,71.26,70.61
70.95,70.50,70.99,70.39
70.38,71.09,71.18,70.24
70.29,69.81,71.00,69.81
69.83,68.75,69.83,68.73
69.29,69.13,69.40,68.94
68.09,68.08,68.28,67.41
67.76,67.54,67.97,67.41
66.98,66.57,67.00,66.28
66.86,66.57,66.86,66.57
67.94,67.74,68.01,67.68
68.01,68.26,68.44,67.88
69.82,70.84,70.93,69.81
70.58,70.68,71.00,70.53
71.39,70.77,71.52,70.67
71.75,71.23,71.79,70.95
71.23,71.68,71.87,71.21
71.15,71.96,72.05,71.04
71.31,70.37,71.32,70.36
70.62,71.63,71.67,70.62
70.84,70.48,70.84,70.00
70.89,69.86,71.09,69.76
69.62,69.37,69.67,69.34
70.15,69.74,70.18,69.73
70.20,69.83,70.36,69.72
69.94,68.97,70.05,68.86
70.48,71.01,71.03,70.39
70.95,71.05,71.07,70.49
70.88,71.10,71.12,70.74
71.50,71.84,71.84,71.26
71.70,71.86,72.00,71.70
71.90,71.08,71.90,71.03
71.25,71.71,71.71,71.25
71.67,71.50,71.79,71.49
72.68,72.48,72.91,72.47
72.22,72.63,72.74,72.17
72.32,72.95,72.99,72.28
72.91,72.69,72.91,72.37
72.88,72.84,72.88,72.53
73.54,73.41,73.61,73.36
73.16,73.48,73.61,73.14
73.43,73.67,73.67,73.14
73.10,73.31,73.36,72.81
74.00,73.72,74.16,73.65
73.76,74.06,74.14,73.54
74.41,74.52,74.57,74.19
74.64,75.00,75.00,74.59
75.01,75.18,75.33,74.71
74.70,75.03,75.03,74.64
74.63,75.45,75.55,74.50
75.82,74.95,75.82,74.84
74.76,74.98,75.12,74.72
74.16,74.56,74.71,74.13
75.07,74.78,75.22,74.45
75.38,75.58,75.89,75.32
75.66,75.57,75.75,75.46
76.36,76.61,76.61,76.24
76.29,76.50,76.50,76.19
76.29,76.66,76.76,76.17
76.74,76.84,76.84,76.49
76.95,76.92,77.06,76.75
76.40,76.38,76.46,76.24
76.92,76.97,77.07,76.73
76.73,76.44,76.73,76.42
76.91,76.41,76.93,76.29
76.42,77.12,77.22,76.42
77.40,77.54,77.60,77.29
77.54,77.31,77.64,77.15
77.16,76.97,77.32,76.95
76.92,77.36,77.41,76.71
77.45,77.41,77.58,77.36
77.05,77.71,77.83,76.96
77.57,77.97,77.97,77.57
78.05,77.57,78.16,77.57
77.75,77.88,77.97,77.75
77.85,77.73,77.85,77.53
77.58,77.58,77.58,77.21
76.75,76.47,76.75,76.33
76.63,76.97,77.05,76.59
77.47,77.86,77.88,77.30
77.89,77.98,78.17,77.89
78.06,78.01,78.08,77.87
78.31,79.42,79.42,78.31
79.49,79.41,79.64,79.35
79.42,79.93,79.96,79.42
80.14,80.05,80.21,80.04
80.04,80.34,80.47,79.82
79.79,79.89,79.93,79.72
80.04,79.85,80.04,79.71
79.24,79.28,79.36,79.13
79.43,79.62,79.64,79.04
79.81,80.25,80.25,79.81
80.47,80.07,80.47,80.07
79.90,79.75,79.91,79.37
79.31,79.72,79.75,79.13
80.09,80.15,80.28,79.94
80.04,80.70,80.71,80.04
80.36,79.99,80.46,79.79
79.60,79.38,79.61,79.10
79.12,79.34,79.55,79.12
78.39,78.43,78.68,78.31
78.31,77.16,78.45,77.16
77.77,77.80,78.00,77.73
77.94,78.84,78.84,77.94
78.59,78.03,78.59,78.03
78.50,78.36,78.54,78.00
78.71,79.32,79.38,78.71
78.74,78.83,79.05,78.68
78.86,78.35,78.99,78.04
78.75,78.95,79.22,78.75
78.11,78.07,78.14,77.77
78.28,78.22,78.53,78.18
78.79,79.04,79.12,78.79
78.89,79.59,79.59,78.89
79.69,79.78,79.94,79.46
79.50,79.27,79.62,79.16
79.30,79.80,80.20,79.27
79.50,79.69,79.83,79.50
79.77,79.34,79.79,79.20
79.01,78.32,79.01,78.13
77.93,78.34,78.39,77.93
77.72,77.82,77.87,77.21
77.07,77.39,77.75,76.92
77.64,77.46,77.74,77.41
76.95,77.36,77.92,76.95
76.73,76.49,77.03,76.46
76.43,76.10,76.81,76.10
76.44,75.95,76.59,75.93
75.85,74.85,75.87,74.85
75.19,74.31,75.19,74.17
74.40,75.16,75.16,74.27
75.32,75.31,75.82,75.20
74.78,75.14,75.14,74.00
75.26,75.42,75.42,74.91
75.41,75.17,75.61,75.17
75.70,76.11,76.15,75.64
75.55,75.29,75.55,75.11
75.09,75.00,75.22,74.61
73.79,73.15,73.97,73.12
73.23,73.09,73.32,72.62
72.98,73.42,73.45,72.98
73.92,74.69,74.78,73.92
75.85,75.15,75.95,75.15
75.11,75.82,75.82,74.92
76.41,75.25,76.51,75.23
75.34,75.85,75.85,74.99
75.65,75.34,75.96,75.31
75.57,76.28,76.46,75.55
76.62,76.77,76.95,76.57
77.29,77.15,77.29,77.06
77.17,77.61,77.84,77.14
77.49,77.37,77.49,76.89
77.45,76.26,77.51,76.26
76.47,76.62,76.62,76.19
75.86,75.50,75.86,75.24
75.64,75.81,75.93,75.30
75.88,76.37,76.38,75.88
75.82,75.69,75.82,75.36
77.49,77.70,77.77,77.26
78.03,78.05,78.06,77.67
78.04,78.23,78.28,78.04
78.00,78.01,78.30,78.00
77.42,77.50,77.60,77.22
77.39,77.43,77.48,77.20
77.80,76.92,77.91,76.83
77.03,76.88,77.12,76.79
76.53,76.84,76.94,76.23
77.20,78.01,78.03,77.20
77.65,77.79,77.91,77.58
78.04,78.46,78.46,77.69
78.22,78.93,79.00,78.22
78.95,78.83,79.09,78.73
78.53,78.04,78.53,78.04
77.06,77.08,77.19,76.91
77.11,76.54,77.14,76.11
76.96,76.75,77.07,76.50
77.92,77.97,78.09,77.80
78.35,79.45,79.46,78.35
79.22,79.18,79.49,79.09
79.15,78.84,79.20,78.84
79.22,78.65,79.22,78.63
78.09,78.08,78.43,77.56
79.25,79.48,79.61,79.25
79.70,79.58,79.87,79.58
79.94,79.86,80.11,79.86
79.74,79.97,80.04,79.61
79.84,80.01,80.14,79.82
79.85,80.00,80.00,79.75
79.94,79.99,80.06,79.70
80.33,80.07,80.33,80.05
80.18,80.29,80.42,80.18
80.52,80.97,81.16,80.50
81.14,81.14,81.17,81.03
81.11,81.05,81.11,80.85
81.13,80.81,81.51,80.79
80.65,80.78,80.87,80.59
80.65,80.30,80.65,80.24
80.20,80.85,80.90,80.20
80.85,80.83,81.16,80.83
80.72,80.87,81.00,80.64
80.81,80.96,81.06,80.73
80.53,80.28,80.53,80.27
80.81,80.73,80.93,80.50
80.63,80.53,80.71,80.19
80.54,80.45,80.71,80.40
80.84,82.01,82.03,80.84
82.11,82.05,82.14,81.90
81.97,81.85,82.13,81.85
81.82,81.89,82.10,81.73
82.08,81.94,82.22,81.85
81.87,83.15,83.28,81.81
83.21,83.39,83.89,83.19
83.21,83.03,83.21,82.98
82.94,82.94,83.06,82.87
83.19,83.24,83.41,83.08
82.88,83.30,83.30,82.88
83.68,83.20,83.68,83.20
82.85,83.19,83.36,82.85
82.96,82.05,83.14,82.03
81.95,81.61,81.95,81.61
81.91,82.09,82.32,81.67
81.87,81.84,82.04,81.52
82.09,81.96,82.58,81.96
82.38,82.05,82.49,81.81
82.26,82.67,82.77,82.05
82.99,83.39,83.39,82.99
83.77,83.43,84.00,83.41
83.35,83.31,83.37,83.18
83.15,82.29,83.15,82.29
82.25,81.69,82.25,81.67
82.07,81.58,82.10,81.58
81.51,81.31,81.72,81.21
81.45,82.05,82.05,81.42
82.39,82.62,82.71,82.39
82.91,83.17,83.25,82.91
83.20,83.36,83.57,83.20
83.21,82.23,83.21,81.98
82.07,82.13,82.20,81.64
81.25,80.98,81.31,80.79
81.13,80.76,81.23,80.65
81.28,80.93,81.40,80.61
80.90,80.99,81.12,80.58
81.45,81.15,81.45,80.92
81.21,82.04,82.11,81.21
82.55,81.56,82.55,81.51
81.40,81.58,81.58,81.17
81.81,82.05,82.32,81.67
81.48,80.54,81.48,80.16
80.50,79.69,80.84,79.69
79.41,79.71,80.24,79.31
79.80,79.73,79.88,79.47
79.16,79.47,80.05,79.16
79.72,78.36,79.85,78.36
78.56,78.43,78.86,77.64
78.51,78.83,78.90,78.05
79.65,80.01,80.01,79.56
79.96,80.30,80.36,79.82
80.37,80.46,80.48,80.31
80.86,81.45,81.45,80.86
81.16,81.26,81.26,80.96
81.09,80.88,81.40,80.85
80.58,81.40,81.40,80.31
81.55,81.65,81.82,81.52
81.65,81.59,81.70,81.49
82.00,81.16,82.00,81.16
81.30,81.14,81.48,81.06
81.25,81.65,82.03,80.96
81.67,81.92,81.93,81.57
82.05,82.09,82.17,81.89
82.04,82.30,82.41,82.04
82.61,82.63,83.00,82.58
83.04,82.75,83.32,82.75
82.83,82.40,82.97,82.26
82.45,82.24,82.56,82.13
82.39,83.18,83.18,82.39
83.39,83.96,84.02,83.18
83.35,82.88,83.35,82.85
82.72,83.36,83.36,82.71
82.32,82.51,82.73,82.10
82.18,82.25,82.29,82.13
82.37,81.82,82.37,81.63
81.88,81.77,81.89,80.90
81.28,80.87,81.45,80.85
80.64,82.04,82.04,80.63
83.44,83.99,83.99,83.31
83.96,83.82,84.04,83.72
83.96,84.29,84.36,83.88
84.00,83.90,84.00,83.70
83.76,83.69,83.84,83.57
83.96,84.11,84.26,83.95
84.50,84.67,84.67,84.22
84.62,84.66,84.69,84.39
84.65,84.83,84.92,84.65
84.57,85.09,85.12,84.57
84.84,84.85,85.00,84.80
85.19,85.52,85.71,85.19
85.57,85.74,85.79,85.30
85.66,86.04,86.09,85.63
86.11,86.30,86.38,86.06
86.48,86.81,87.05,86.48
87.09,87.10,87.26,86.95
87.33,87.27,87.35,86.98
87.30,87.57,87.64,87.30
87.72,87.39,87.72,87.39
87.33,87.15,87.33,87.12
87.54,87.87,87.95,87.54
87.42,87.01,87.42,87.00
87.41,87.74,87.90,87.41
87.50,87.77,87.89,87.47
87.78,87.65,87.80,87.30
87.84,88.03,88.22,87.82
88.00,88.19,88.19,87.99
88.32,88.31,88.41,88.18
88.44,88.37,88.56,88.14
88.26,88.64,88.69,88.20
88.64,88.35,88.73,88.27
88.54,89.14,89.14,88.54
89.15,88.55,89.15,88.47
88.20,88.10,88.20,87.81
88.26,88.61,88.62,88.18
89.03,87.37,89.18,87.33
87.39,87.70,87.70,87.29
87.50,88.61,88.61,87.46
88.76,88.63,89.19,88.63
88.35,89.08,89.17,88.14
88.75,89.37,89.40,88.75
89.97,90.22,90.45,89.93
90.50,90.18,90.52,90.16
90.40,90.44,90.46,90.28
90.73,90.77,90.89,90.49
90.71,90.96,91.12,90.71
91.09,90.89,91.14,90.76
91.08,91.11,91.18,90.82
91.41,91.49,91.49,91.35
91.50,91.47,91.55,91.22
90.64,90.91,91.29,90.58
91.10,90.82,91.16,90.41
91.30,91.33,91.41,91.18
90.99,90.85,91.11,90.82
91.11,91.30,91.47,91.11
91.26,90.75,91.41,90.51
91.27,91.50,91.50,91.27
91.43,91.59,91.70,91.39
91.67,92.08,92.13,91.58
92.04,91.84,92.21,91.65
92.18,92.50,92.64,92.18
92.39,91.91,92.39,91.71
92.01,92.31,92.31,91.88
91.44,92.11,92.11,91.36
92.01,92.54,92.54,91.83
92.65,92.97,93.26,92.65
93.27,93.90,93.96,93.27
93.92,94.07,94.30,93.85
93.71,93.92,94.03,93.59
93.45,92.06,93.54,92.06
92.67,93.29,93.29,92.38
92.87,92.52,92.87,92.06
92.40,91.68,92.51,91.48
92.49,92.90,93.08,92.49
93.46,93.89,93.97,93.14
94.11,94.49,94.52,94.10
94.43,94.18,94.47,94.16
94.34,94.52,94.87,94.29
94.62,94.52,94.65,94.16
94.63,94.84,95.02,94.55
94.39,94.62,94.79,94.39
94.67,94.24,94.79,94.22
94.52,95.02,95.04,94.40
95.74,95.88,96.20,95.74
96.01,96.01,96.15,95.82
96.20,96.47,96.51,96.15
96.37,96.70,96.77,96.28
96.84,96.53,96.96,96.50
96.67,96.89,96.89,96.54
96.83,96.96,97.21,96.70
97.20,98.17,98.20,97.20
97.97,98.66,99.00,97.97
98.53,98.25,98.71,98.11
98.53,99.14,99.20,98.48
99.13,98.97,99.45,98.97
99.24,99.38,99.57,99.04
99.32,98.66,100.00,98.38
97.70,98.24,98.50,97.52
97.98,98.39,98.50,97.77
99.34,99.16,99.84,98.87
98.58,98.22,98.60,97.81
98.87,98.64,99.01,98.64
98.36,97.10,98.73,97.10
97.38,97.85,97.85,96.97
97.87,97.31,98.27,97.02
96.93,95.99,97.07,95.99
96.00,96.71,96.77,95.56
97.54,98.16,98.16,97.46
98.40,97.99,98.47,97.94
97.35,97.27,97.97,97.03
97.84,96.70,97.86,96.53
96.61,97.89,97.89,96.25
97.73,97.26,97.94,97.08
97.94,97.85,98.48,97.64
98.22,98.76,98.89,98.22
98.60,97.41,98.74,97.39
