VIA,Viacom Inc. - Class A Common Stock,NASDAQ
40.00,38.94,40.00,38.75
39.07,39.02,39.27,38.42
39.34,39.70,40.03,39.26
39.82,39.01,40.14,38.97
39.09,39.78,39.89,39.09
39.14,38.36,39.14,37.84
38.01,37.67,38.07,37.10
37.28,36.34,37.88,34.55
36.38,35.91,36.83,35.38
37.53,37.12,37.74,36.59
36.66,37.36,37.97,36.66
37.74,38.33,38.50,37.27
38.34,37.95,38.65,37.78
37.56,37.53,37.98,37.13
37.32,37.63,37.98,36.85
37.98,37.53,38.22,37.42
37.08,37.07,37.48,35.94
36.21,35.80,36.47,35.58
35.49,36.39,36.48,35.24
36.11,35.78,36.49,35.78
34.76,35.84,35.86,34.62
35.85,36.12,37.00,35.56
36.86,37.64,37.64,36.55
37.77,36.98,37.84,36.72
36.72,36.53,37.40,36.50
36.83,37.45,37.49,36.05
37.75,37.00,37.77,36.73
36.02,35.92,36.54,35.77
36.04,35.95,36.81,35.90
35.88,35.93,36.20,35.28
36.24,36.52,37.44,35.89
37.61,37.38,37.80,36.90
37.51,37.46,37.61,36.97
37.84,37.60,38.31,37.56
37.80,39.13,39.35,37.78
39.01,39.30,39.50,38.55
39.47,39.67,39.77,38.89
39.62,39.50,39.93,39.28
39.99,39.47,40.17,39.32
39.39,39.05,39.76,38.95
39.37,39.09,39.37,38.55
38.78,37.94,38.83,37.60
38.14,37.96,38.32,37.49
38.07,37.83,38.24,37.62
36.99,36.10,37.02,35.73
36.08,35.66,36.35,35.65
35.55,35.45,36.12,34.72
35.84,35.46,35.84,34.80
35.82,35.64,36.24,35.37
35.47,36.98,37.00,35.47
37.12,37.06,37.52,36.84
37.35,37.51,37.63,36.95
37.50,37.44,37.77,37.12
37.90,38.29,38.55,37.88
38.14,37.78,38.17,37.22
37.86,37.52,37.89,36.83
37.33,36.22,37.33,36.02
36.23,36.67,36.84,36.12
36.22,36.99,37.04,35.92
37.13,36.09,37.13,35.82
36.51,37.29,37.45,36.51
36.91,37.60,37.74,36.91
37.57,37.76,38.05,37.42
38.25,37.09,38.25,37.06
36.79,37.07,37.50,36.79
37.46,37.26,37.75,36.72
36.66,37.39,37.56,36.40
38.12,38.47,38.54,37.81
38.23,38.06,38.30,37.63
38.17,38.40,38.80,38.16
37.46,38.00,38.40,37.06
37.51,37.80,38.12,37.19
37.98,37.88,38.32,37.66
37.58,38.17,38.31,37.58
37.43,36.82,37.43,36.69
36.52,36.90,36.92,36.12
36.69,36.67,36.92,36.49
36.33,36.79,37.03,36.24
37.08,37.27,37.42,36.78
37.18,37.21,37.70,35.16
37.45,36.43,37.45,36.15
36.57,35.96,36.57,35.84
36.25,35.61,36.25,34.09
35.28,35.26,35.68,34.76
34.95,35.47,35.55,34.69
35.80,35.62,36.15,35.49
35.61,36.13,36.24,35.14
36.01,35.65,36.26,35.65
35.34,35.60,35.81,35.15
36.31,36.10,36.40,35.58
36.11,36.96,36.99,36.11
37.05,37.01,37.43,36.71
37.10,36.56,37.29,36.55
36.66,36.84,37.12,36.14
37.23,36.94,37.33,36.67
37.05,37.92,38.14,37.02
38.35,38.78,39.13,38.23
38.78,38.79,38.97,38.57
38.80,39.16,39.27,38.55
39.04,38.90,39.05,38.39
39.22,39.41,39.80,39.22
39.65,39.76,39.92,39.34
39.84,39.15,39.94,38.93
39.35,39.15,39.35,38.86
38.89,38.35,39.51,38.35
38.45,39.62,39.66,38.45
39.62,39.61,39.87,39.48
39.74,40.42,40.50,39.32
40.39,40.15,40.58,39.87
40.52,40.09,40.96,39.99
40.52,40.37,40.61,40.25
40.15,40.00,40.48,39.52
40.44,40.70,40.82,40.32
41.00,40.48,41.00,40.19
41.47,40.83,41.47,40.22
40.81,41.25,41.37,40.58
41.18,41.20,41.26,40.90
40.99,41.38,41.45,40.85
41.51,41.21,41.83,41.20
41.22,41.43,41.54,41.03
41.69,41.66,41.97,41.00
41.47,41.49,41.79,41.31
41.02,40.75,41.18,40.37
40.87,41.55,41.79,40.87
41.63,41.67,41.96,41.25
41.87,41.39,41.87,41.26
41.90,41.83,42.04,41.55
41.64,42.12,42.20,41.57
41.68,42.11,42.21,41.45
42.33,42.56,42.73,42.07
42.41,42.78,42.90,42.37
43.14,42.90,43.54,42.61
43.26,43.15,43.47,42.88
43.08,43.09,43.19,42.50
43.59,43.60,44.09,43.24
43.92,43.82,44.04,43.54
43.35,43.74,44.04,43.35
43.75,43.25,44.94,43.06
43.08,43.24,43.84,42.76
44.98,44.59,45.11,44.00
45.24,45.16,45.68,43.84
44.50,44.81,45.13,44.50
44.29,43.70,44.74,43.57
43.90,43.77,44.25,43.61
44.20,44.40,44.75,44.10
44.40,44.57,44.62,43.94
44.03,44.57,44.67,43.94
43.95,43.29,44.39,43.29
43.60,44.13,44.25,43.57
44.14,43.99,44.20,43.58
43.88,43.30,44.05,42.94
43.22,43.91,44.26,42.85
44.45,45.34,45.37,44.30
45.40,46.41,46.58,45.35
46.30,46.15,46.52,45.98
45.97,46.00,46.14,45.84
46.39,45.68,46.55,45.63
45.88,45.74,46.01,45.63
46.30,45.77,46.44,45.61
45.77,45.84,45.93,45.45
46.53,45.60,46.53,45.55
45.94,45.37,45.94,45.23
45.07,44.90,45.31,44.81
44.80,44.90,45.07,44.66
44.95,45.01,45.82,44.64
45.24,45.02,45.44,44.87
45.32,45.20,45.32,44.90
45.11,46.09,46.38,45.11
46.08,45.67,46.34,45.40
46.22,45.87,46.22,45.57
45.90,45.64,45.90,45.27
45.64,45.69,46.02,45.56
45.62,45.58,45.77,45.29
45.45,45.86,45.90,45.39
46.30,46.10,46.48,46.07
46.20,46.16,46.29,46.01
46.27,46.80,46.89,45.75
46.80,46.71,46.93,46.38
46.59,46.75,47.05,46.39
46.44,46.93,46.97,46.32
47.31,47.29,47.43,46.86
47.70,47.49,47.91,47.32
47.58,47.41,47.63,47.19
47.27,47.85,47.85,47.12
48.13,48.55,48.57,47.70
48.47,48.09,48.65,47.93
47.99,47.98,48.09,47.88
48.25,48.21,48.81,48.11
48.12,48.91,48.92,48.06
49.00,48.69,49.00,48.25
48.98,48.60,48.98,48.50
48.50,48.75,48.92,48.37
48.70,47.76,49.07,47.66
48.05,47.66,48.09,47.41
48.07,49.25,49.28,48.03
49.25,50.51,50.75,48.97
50.21,50.04,50.79,49.52
49.63,50.17,50.50,49.63
50.39,50.60,50.96,50.20
50.64,50.67,50.73,50.08
50.31,51.41,51.42,50.31
51.09,51.07,51.15,50.87
50.77,51.54,51.56,50.77
51.62,51.67,51.71,51.00
51.43,51.81,51.91,51.19
51.60,51.85,52.08,51.53
51.70,52.17,52.20,51.70
52.03,51.95,52.08,51.71
51.34,50.51,51.60,50.46
50.35,49.75,50.80,49.50
49.62,50.09,50.23,49.26
50.11,50.95,51.02,49.94
50.87,51.14,51.20,50.43
51.40,51.44,51.69,50.85
51.35,51.03,51.50,50.90
51.27,52.73,52.85,51.27
52.73,53.20,53.22,52.22
53.25,52.58,53.25,51.91
52.69,52.70,52.92,52.43
52.33,52.66,52.74,52.33
52.16,51.97,52.60,50.86
51.86,51.63,52.15,51.57
51.13,50.65,51.66,50.25
49.70,50.24,50.31,49.30
50.14,49.48,50.25,49.44
50.07,49.85,50.36,49.68
50.22,50.19,50.61,49.84
50.77,50.99,51.19,50.63
50.97,51.16,51.37,50.89
50.93,50.95,51.08,50.67
51.06,51.58,51.66,51.06
51.72,51.48,51.90,51.29
51.58,51.81,52.09,51.44
51.81,52.25,52.27,51.69
52.70,53.11,53.31,52.62
53.22,53.29,53.50,53.00
53.46,53.66,54.40,53.24
53.87,54.12,54.12,53.64
54.11,54.05,54.29,53.91
54.32,53.92,54.39,53.79
54.03,53.87,54.14,53.60
54.05,53.92,54.32,53.79
54.08,53.92,54.56,53.85
53.75,53.98,54.34,53.70
54.19,53.67,54.19,53.39
53.47,53.01,53.47,52.40
53.19,53.05,53.39,52.53
52.86,52.93,53.02,52.21
52.98,53.01,53.07,52.69
53.42,53.36,53.66,52.73
53.47,53.66,53.67,53.22
53.66,55.10,55.22,53.52
54.87,55.53,56.02,54.87
55.66,56.03,56.08,55.29
57.52,58.14,58.64,57.02
57.95,58.14,58.60,57.95
58.23,58.13,58.93,58.13
58.17,57.91,58.52,57.50
57.87,58.34,59.12,57.60
58.10,58.24,58.80,57.54
58.84,58.35,59.14,58.29
58.34,58.89,59.06,58.34
59.24,59.85,60.28,59.21
59.84,59.42,59.99,59.01
59.25,59.04,59.55,58.74
59.30,58.51,59.39,58.10
58.70,57.90,58.70,57.68
57.50,58.02,58.09,57.24
57.82,59.62,59.63,57.82
59.91,59.99,60.19,59.69
60.10,60.48,60.64,59.84
59.83,59.57,59.88,59.04
59.53,59.51,60.00,58.98
59.47,59.71,60.08,59.20
59.45,59.43,59.69,59.26
59.88,59.86,60.03,59.73
60.90,59.81,60.90,59.46
59.75,59.52,60.45,59.52
59.30,59.68,59.96,59.30
58.99,58.53,59.30,58.49
58.67,57.71,58.67,57.35
57.02,57.11,57.98,57.02
57.03,56.58,57.09,56.35
56.58,57.45,57.55,56.25
57.16,56.32,57.23,56.13
55.98,54.96,55.98,54.93
53.51,55.86,55.86,53.51
55.43,55.26,55.72,54.67
55.09,54.37,55.09,54.00
54.69,54.94,55.21,54.54
54.66,55.34,55.61,54.66
55.74,56.58,56.70,55.56
56.22,56.20,56.57,56.07
55.42,55.37,55.45,54.86
55.42,55.21,55.45,54.97
55.10,55.85,56.08,55.05
56.17,57.55,57.58,55.87
57.35,57.65,57.85,57.09
58.07,57.48,58.50,57.31
57.48,58.71,58.79,57.48
58.62,58.67,58.98,58.35
58.63,58.66,58.94,58.45
58.98,59.12,59.45,58.92
58.53,59.07,59.16,58.03
58.47,57.27,58.65,57.19
57.07,56.77,57.99,56.74
57.05,56.83,57.64,56.74
57.23,56.62,57.38,56.59
57.06,57.21,57.28,56.79
57.21,55.42,57.50,55.17
55.65,56.49,56.49,55.65
56.00,55.90,56.45,55.85
56.19,57.40,57.50,56.19
57.79,57.49,57.79,57.26
57.09,57.11,57.37,56.91
57.04,57.13,57.45,56.70
56.95,56.22,56.95,56.04
56.24,55.71,56.29,55.65
53.03,54.59,56.11,53.03
55.50,54.39,55.50,53.39
54.05,51.71,54.29,51.58
51.81,53.14,53.49,50.21
52.67,51.35,52.67,50.64
52.77,52.09,53.17,49.46
50.88,48.38,51.36,48.25
48.77,52.21,52.21,47.86
51.74,52.06,54.21,49.95
52.73,55.41,55.91,52.72
55.69,55.41,56.13,55.15
55.84,55.14,55.99,54.78
54.61,54.36,55.00,54.06
54.76,54.33,55.12,53.70
53.01,51.59,53.36,51.05
51.03,49.89,51.34,49.62
50.50,50.59,52.14,50.50
50.81,53.04,53.20,50.69
53.15,53.72,53.92,52.84
54.10,53.26,54.32,52.51
52.87,55.25,55.43,52.76
55.79,56.99,57.02,55.79
56.47,57.38,57.60,54.95
57.82,58.12,58.84,57.48
58.00,56.98,58.35,56.82
55.63,55.52,56.42,55.34
54.37,55.33,55.43,53.98
55.82,56.40,56.67,55.74
56.30,55.91,56.58,55.65
55.43,54.45,55.58,54.13
58.26,54.52,58.26,53.17
54.31,55.35,55.81,54.28
55.67,55.18,55.78,54.62
55.60,56.58,56.77,55.45
57.07,57.64,58.07,56.74
56.50,57.45,57.49,56.50
57.58,57.04,57.85,56.85
57.08,54.33,57.38,54.00
53.09,50.75,53.10,49.75
50.60,50.52,50.96,49.26
51.30,50.75,51.35,49.75
51.68,51.61,52.80,50.99
51.41,50.75,52.12,50.42
59.12,50.85,59.12,49.74
50.16,48.36,50.34,48.36
47.80,45.91,48.05,45.88
45.03,46.38,46.38,44.10
46.82,47.82,48.18,46.82
47.61,49.09,49.24,47.43
49.27,48.66,49.54,48.41
49.51,50.68,51.07,49.51
50.26,51.01,51.50,50.26
51.32,51.54,52.45,51.32
51.40,51.27,51.40,50.56
51.77,51.79,51.82,51.20
51.36,50.89,51.36,50.74
50.73,51.40,52.00,50.39
51.63,51.22,52.24,51.00
51.46,51.43,51.64,50.73
52.26,52.92,53.00,51.94
53.00,53.39,53.75,53.00
52.76,52.45,52.99,52.30
53.15,53.20,53.54,52.50
54.88,54.50,55.64,54.36
54.25,54.77,55.02,54.25
54.27,53.44,54.30,53.44
52.00,51.16,52.13,50.41
51.32,51.66,52.08,51.32
52.14,50.96,52.42,50.47
50.57,50.70,50.70,49.53
50.72,51.05,51.48,50.72
51.42,51.30,51.90,50.41
50.29,49.28,50.29,49.00
50.03,51.83,53.26,49.09
53.00,53.52,55.11,52.83
53.56,53.52,54.03,53.17
53.62,53.70,53.83,53.12
53.37,53.21,53.57,53.02
52.91,52.80,53.60,52.29
52.40,52.36,52.63,51.68
51.80,51.37,51.80,50.52
50.98,51.11,51.42,50.55
50.72,50.02,50.72,49.45
49.76,49.66,49.90,49.53
50.93,50.71,51.75,50.53
51.00,51.17,51.45,50.51
52.50,53.35,53.91,52.15
52.95,51.87,53.31,50.16
51.02,51.14,52.50,50.68
51.32,49.85,51.80,48.34
49.85,50.06,50.97,49.78
50.22,50.26,50.45,49.09
50.56,49.00,50.56,48.58
49.10,49.06,49.60,49.06
49.05,47.74,49.05,47.17
47.51,47.95,48.50,46.97
47.60,47.47,48.03,47.16
48.38,47.45,48.38,47.43
47.91,47.36,48.08,45.61
47.28,46.13,48.15,46.11
47.17,49.50,49.92,46.75
49.77,48.75,49.77,48.39
49.04,49.62,49.71,48.98
48.75,50.65,50.65,48.75
50.55,51.30,52.18,50.55
51.34,52.14,52.80,50.77
52.18,52.62,53.50,52.16
52.78,53.33,54.53,52.03
54.30,52.94,54.90,52.86
52.22,53.38,53.38,52.13
53.55,54.03,54.24,53.49
54.03,54.44,54.54,53.74
54.78,53.10,54.90,52.94
53.03,53.09,53.39,52.64
52.67,53.11,53.21,52.03
53.27,53.95,53.98,52.00
53.49,53.00,53.50,52.48
53.36,53.30,54.36,53.29
53.02,53.50,53.69,52.86
52.62,54.29,54.60,52.62
53.97,53.77,54.66,53.57
54.70,54.05,54.70,53.69
53.66,54.12,54.15,53.64
53.56,54.56,54.74,53.34
54.69,54.17,54.94,54.01
53.74,54.12,54.51,53.74
53.58,53.62,53.97,53.02
53.82,52.48,54.30,52.39
53.00,52.95,53.51,52.43
51.98,52.36,53.23,50.06
52.57,53.64,53.90,52.57
53.38,54.16,54.28,53.38
53.66,54.28,54.58,53.66
54.46,55.53,55.64,54.46
56.13,55.42,56.17,54.85
55.01,55.26,55.46,54.70
55.50,55.42,55.80,55.41
55.20,54.63,55.27,54.35
54.85,54.25,54.85,54.25
54.40,54.73,54.79,54.16
54.62,54.79,55.04,54.40
54.80,54.33,54.86,54.22
54.14,53.86,54.59,53.63
53.76,53.86,53.88,53.66
53.04,53.51,53.66,53.04
53.15,53.40,53.49,52.12
53.15,53.15,53.28,52.64
52.94,53.53,53.74,52.53
53.16,54.51,54.67,53.05
54.61,54.22,54.61,54.00
54.03,54.47,54.48,53.51
53.76,53.06,53.96,52.76
53.06,53.26,53.47,52.97
52.79,54.39,54.40,52.79
54.26,54.06,54.64,54.06
53.85,53.52,54.14,53.39
53.57,54.16,54.16,53.28
54.55,53.30,54.55,53.10
53.10,52.62,53.10,52.52
52.35,52.92,53.17,52.35
52.51,54.06,54.27,52.51
53.37,52.99,53.86,52.85
53.03,52.97,53.03,52.66
52.55,52.25,52.62,52.17
52.06,51.94,52.52,51.82
52.30,52.18,52.47,51.74
52.29,53.02,53.13,52.29
52.79,52.32,53.01,52.02
52.07,52.52,52.59,51.76
52.41,51.97,52.89,51.97
52.09,51.67,52.24,51.37
51.39,51.20,51.73,50.77
50.87,50.39,50.97,49.90
50.02,51.11,51.34,50.02
50.12,50.38,51.51,49.75
50.25,50.12,50.59,49.69
50.64,50.00,51.11,49.93
49.98,50.69,50.77,49.66
50.79,50.53,50.95,50.29
50.95,49.79,50.95,49.56
50.80,50.43,50.80,49.94
50.42,50.86,51.06,50.22
51.02,51.04,51.84,50.57
51.27,51.32,51.74,51.03
50.86,50.55,50.86,50.24
50.07,50.69,50.82,49.89
51.02,51.49,51.49,50.71
51.42,51.96,51.99,51.06
52.17,51.61,52.20,51.07
51.54,50.65,51.54,50.42
50.62,51.02,51.33,50.43
51.00,51.04,51.65,50.29
51.49,52.59,53.20,51.13
52.09,52.19,52.43,51.25
52.19,51.97,53.23,51.25
51.60,50.85,52.30,50.17
50.40,50.94,51.74,50.25
51.19,51.53,51.96,51.14
51.18,51.39,51.99,51.18
51.20,51.20,51.49,51.10
51.08,50.99,51.37,50.90
51.66,51.79,52.89,51.50
51.74,51.92,53.15,51.74
52.18,50.95,52.37,50.56
50.89,51.60,51.91,50.40
51.48,51.46,52.31,50.73
51.00,51.53,51.53,50.72
51.68,52.87,53.27,51.68
52.55,52.16,52.75,51.99
52.51,52.93,53.54,52.48
52.71,53.10,53.11,52.38
52.96,52.80,53.45,52.05
51.89,51.38,52.68,51.07
51.11,50.12,51.40,50.06
50.09,50.07,50.35,50.00
50.26,51.26,51.64,50.26
51.55,51.84,51.90,51.41
51.61,51.74,51.79,51.02
52.20,52.19,52.45,51.80
52.76,52.48,52.76,52.06
52.10,51.49,52.10,51.49
51.60,52.28,52.28,51.13
52.41,52.72,53.15,52.12
52.89,53.00,53.00,52.11
53.04,52.91,53.30,52.91
53.00,53.34,53.63,52.53
53.56,52.72,53.96,52.19
52.79,52.33,52.82,52.09
51.94,51.57,52.01,51.29
51.72,51.33,52.05,51.07
51.67,51.89,52.46,51.54
51.99,50.87,52.07,50.75
51.00,50.98,51.80,50.75
51.63,51.62,51.63,50.90
51.50,52.03,52.20,51.50
52.08,51.74,52.09,51.36
51.31,51.12,51.31,50.70
51.11,51.00,51.44,50.60
50.41,49.73,50.50,49.20
49.02,48.98,50.04,48.59
48.91,48.42,48.91,47.73
48.30,49.19,49.61,48.30
48.99,48.84,49.48,48.75
48.86,49.08,49.59,48.86
48.75,49.80,50.03,48.75
49.33,49.00,49.96,48.81
48.86,48.90,50.02,48.76
48.35,48.04,48.85,47.69
48.09,47.73,48.43,47.51
47.90,47.98,48.00,47.55
48.25,48.67,48.90,48.06
48.91,49.52,49.61,48.49
49.18,48.63,49.50,48.63
48.68,48.83,49.22,48.24
49.50,48.10,49.50,47.98
47.78,47.77,48.19,47.26
47.02,49.12,49.32,47.02
49.04,50.15,50.32,49.04
50.25,50.72,51.11,50.25
50.53,51.18,51.38,50.44
51.25,51.72,51.97,51.25
51.38,51.28,51.50,51.13
51.07,50.52,51.09,50.06
50.46,50.45,50.90,50.19
50.62,50.88,51.20,50.46
50.58,51.11,51.50,50.58
51.12,51.96,52.51,51.11
51.72,51.30,52.08,51.00
51.21,50.99,51.64,50.62
51.31,50.99,51.68,50.78
50.87,50.53,50.87,50.35
50.25,50.91,51.13,50.14
50.63,50.50,50.92,50.37
50.34,50.95,50.98,50.32
51.24,50.63,51.24,50.19
50.45,50.17,50.46,50.00
50.51,50.40,50.85,50.01
50.70,49.97,50.70,49.70
49.94,49.85,50.42,49.65
50.36,50.60,50.75,50.12
50.43,51.27,51.27,50.43
51.13,51.45,51.67,50.99
51.60,52.45,52.49,51.11
52.14,52.09,52.90,51.98
52.02,53.27,53.61,51.93
52.69,52.86,53.47,52.67
52.30,53.03,53.03,51.99
52.97,52.40,52.97,52.27
52.07,54.44,54.82,52.07
54.82,55.07,55.07,54.49
55.46,54.67,55.47,54.56
53.50,55.76,55.99,53.50
56.32,54.98,56.32,54.95
54.96,53.95,55.18,53.70
53.77,54.77,54.95,53.58
54.47,54.40,54.77,53.96
54.66,54.38,54.82,54.18
54.39,54.74,54.94,54.20
54.74,55.30,55.30,54.06
55.52,56.31,56.36,55.36
56.40,56.37,57.05,56.20
56.90,57.34,57.56,56.59
57.12,56.77,57.30,56.58
55.50,55.80,56.23,54.75
55.63,55.15,56.34,55.00
55.30,54.92,55.87,54.84
55.32,54.73,55.32,54.45
54.86,55.72,56.02,54.86
55.75,55.97,56.05,55.54
55.91,56.02,56.43,55.62
55.90,55.26,56.06,54.75
55.47,55.69,55.90,55.17
55.30,54.07,55.30,54.07
54.34,54.43,54.75,53.80
54.77,53.96,54.85,53.63
54.34,53.07,54.34,52.56
53.10,51.87,53.10,51.24
52.03,52.52,53.02,52.00
52.37,51.44,52.74,51.44
51.44,51.04,51.74,50.66
51.33,51.15,51.45,50.79
50.75,50.84,51.01,49.76
50.57,49.99,51.07,49.99
49.86,49.82,50.25,49.37
49.96,49.77,50.05,49.35
49.46,49.47,50.17,49.36
49.20,48.71,49.54,48.12
49.23,49.92,50.76,49.17
50.10,49.97,50.18,49.38
50.87,50.87,51.38,50.50
50.84,50.48,51.29,49.25
49.99,50.17,50.38,49.60
50.20,50.96,50.98,50.20
50.94,50.96,50.96,50.51
50.93,50.96,51.50,50.93
50.74,51.46,51.52,50.43
51.56,51.86,52.04,51.20
51.89,52.27,52.35,51.75
52.60,51.57,52.75,51.45
51.30,51.81,51.89,51.30
52.02,52.02,52.41,51.43
51.76,52.94,53.09,51.76
53.48,54.14,54.36,53.14
54.23,54.71,55.15,53.97
54.96,54.98,55.35,54.32
54.98,54.73,55.41,54.48
54.82,53.83,54.98,53.66
53.55,53.68,54.19,53.42
54.00,53.99,54.13,53.73
53.89,54.33,54.50,53.59
54.36,54.00,54.64,53.96
54.03,54.12,54.27,53.95
53.02,53.50,53.76,52.93
53.46,53.63,53.88,53.46
53.57,53.18,53.75,53.17
53.20,53.56,53.67,52.37
53.42,53.22,53.56,53.05
53.09,54.27,54.27,53.09
56.06,57.73,57.91,55.20
57.64,57.77,58.59,57.62
58.03,58.44,58.87,57.48
57.74,57.17,58.21,57.03
57.05,57.86,57.86,57.05
57.94,58.76,59.22,57.93
60.40,60.24,60.40,59.40
60.25,60.08,60.51,59.88
60.01,59.76,60.16,58.88
59.62,60.13,60.13,59.24
59.88,59.61,60.01,59.51
59.90,60.10,60.50,59.48
60.14,60.26,60.64,59.90
60.93,61.65,61.78,60.30
62.00,61.89,62.31,61.12
61.65,61.48,62.29,61.18
61.76,61.81,62.78,61.66
62.17,61.77,62.41,61.64
61.80,61.48,62.22,61.18
61.53,62.18,62.61,61.20
62.55,63.18,63.64,62.10
63.26,62.30,63.26,62.29
62.25,61.10,62.25,61.10
61.73,61.73,62.06,61.33
61.46,61.61,62.16,61.09
61.32,61.49,61.77,60.78
62.20,62.17,62.85,61.50
62.26,62.16,62.27,61.84
62.06,61.83,62.24,61.83
62.04,62.05,62.34,61.44
61.77,62.62,62.78,61.20
62.86,62.15,62.86,61.88
62.15,62.80,63.20,62.15
62.91,61.45,62.91,61.31
61.00,60.73,61.24,60.50
60.98,61.82,61.82,60.54
61.93,60.10,61.93,60.08
60.21,60.03,60.55,59.80
59.99,60.53,61.07,59.99
60.45,61.01,61.55,60.45
60.44,62.30,62.40,60.44
62.10,62.17,62.44,61.92
62.50,63.31,64.18,62.50
63.34,62.91,63.75,62.91
62.92,63.38,63.54,62.92
63.76,64.54,64.75,63.15
64.39,64.46,64.54,64.15
64.49,64.25,64.49,63.65
63.78,64.45,64.51,63.69
65.00,66.45,66.73,64.78
65.50,64.25,66.29,64.22
63.64,63.75,64.51,63.60
63.55,63.00,63.75,62.51
63.26,63.67,63.72,62.87
63.60,62.94,63.60,62.94
63.51,63.64,64.00,63.20
64.17,63.20,64.22,62.64
63.20,62.93,63.25,62.53
62.72,62.39,62.72,61.72
62.57,63.06,63.40,62.57
63.15,62.65,63.15,62.10
63.13,63.06,63.65,62.73
63.15,62.90,63.79,62.66
63.08,63.85,63.95,63.03
62.78,63.80,63.91,62.37
64.32,66.00,66.31,64.28
66.27,65.14,66.84,65.14
65.50,66.28,66.46,65.50
66.46,66.77,67.27,66.45
66.56,66.93,67.06,66.38
66.54,64.42,66.61,64.42
64.84,66.55,66.56,64.80
66.12,65.98,66.27,65.29
66.20,65.61,66.20,65.29
65.22,66.59,66.66,65.22
66.56,66.93,67.27,66.06
67.29,66.14,67.29,65.54
66.38,65.29,66.62,65.24
65.86,64.81,65.86,64.46
64.87,64.35,64.89,64.35
64.44,64.43,64.85,64.31
64.31,64.72,65.16,64.31
66.29,66.41,68.14,65.82
66.80,68.13,68.21,66.80
68.83,67.99,68.87,67.88
67.99,68.13,68.70,67.81
68.51,68.42,68.67,68.15
68.25,69.19,69.28,68.25
69.40,69.28,69.66,69.00
69.63,69.71,70.00,69.29
69.40,69.31,69.40,68.83
69.52,69.40,69.89,69.40
69.22,70.22,70.24,69.13
69.90,69.69,70.05,69.38
70.18,70.39,70.39,69.68
70.37,69.69,70.37,69.53
69.70,70.19,70.58,69.70
70.07,70.27,71.58,69.70
69.86,70.00,70.25,69.15
69.38,69.99,70.00,68.75
70.75,70.23,70.91,70.00
70.00,69.42,70.00,69.12
69.38,68.90,69.63,68.85
68.90,67.10,68.90,66.74
67.02,67.29,67.58,66.29
67.78,67.95,69.11,67.72
67.28,66.62,67.68,66.57
66.99,66.99,67.09,66.16
67.30,68.46,68.71,67.18
68.08,68.22,68.35,67.90
67.33,67.64,68.20,67.09
67.80,65.87,67.80,65.71
66.00,67.59,67.74,65.77
67.57,67.33,68.25,67.30
68.19,67.99,69.10,67.79
68.10,68.89,69.40,68.00
69.61,68.42,69.61,68.32
