IDXX,IDEXX Laboratories,NASDAQ
63.56,62.86,64.29,62.45
62.52,62.00,63.00,61.93
62.29,62.85,62.94,61.38
63.06,63.34,63.96,62.31
62.62,61.17,62.87,60.75
61.19,60.90,62.35,60.63
60.80,60.76,61.19,58.78
61.06,60.88,61.50,60.57
61.84,60.31,62.13,60.01
60.55,63.29,63.43,60.55
63.65,62.73,63.97,62.00
62.66,63.73,63.80,62.66
63.42,63.41,64.00,62.96
63.83,63.74,64.00,63.46
63.44,63.33,64.00,63.00
63.41,62.58,63.74,61.74
62.27,60.89,62.37,60.87
60.85,59.65,60.85,59.50
59.04,60.96,61.16,58.50
61.41,59.48,61.41,59.45
60.00,62.05,62.19,59.82
61.33,59.89,61.33,58.53
60.00,60.38,60.68,59.50
60.56,60.70,61.58,60.50
60.82,59.08,61.22,58.94
59.90,58.43,60.10,57.82
57.89,58.74,58.85,57.49
59.64,59.66,59.96,59.03
59.49,59.27,59.70,59.02
59.50,60.13,60.13,59.41
59.65,59.56,60.15,59.30
58.87,59.21,59.41,58.56
59.37,59.79,60.16,59.37
59.53,58.69,59.62,58.66
58.04,57.02,58.56,56.58
56.39,56.54,57.02,55.70
56.27,56.28,56.94,56.05
55.86,56.18,56.60,55.79
56.55,56.92,57.49,56.43
56.80,57.15,57.65,56.00
56.77,56.91,57.19,56.26
56.52,57.05,57.11,56.29
57.15,56.80,57.66,56.75
56.07,55.69,56.42,54.80
55.19,56.04,56.32,55.09
56.34,55.85,56.44,55.72
56.23,56.99,57.29,55.52
56.71,55.50,57.05,55.50
55.30,55.27,55.95,55.03
56.05,57.14,57.19,55.54
56.96,58.04,58.14,56.96
58.52,58.30,59.34,57.94
59.46,57.45,59.46,57.13
57.40,57.64,58.16,57.30
58.21,57.34,58.55,57.29
57.34,57.48,57.87,56.92
57.75,57.72,58.20,57.55
57.68,58.26,58.62,57.55
57.97,59.01,59.23,57.57
58.90,59.06,59.33,58.54
59.23,59.93,60.15,59.10
60.00,60.86,61.00,59.68
60.64,59.27,60.89,59.21
59.09,59.36,60.01,58.53
58.89,59.76,60.19,58.76
60.50,60.56,61.05,59.82
60.50,60.30,60.58,59.64
60.32,60.76,60.91,59.83
60.72,60.92,60.99,60.36
61.05,61.72,62.41,61.05
62.06,62.29,62.50,61.40
62.06,61.87,62.50,61.56
62.29,62.84,63.15,62.08
62.85,62.23,63.17,61.99
62.46,61.95,62.54,61.76
61.78,61.86,62.51,61.53
61.81,61.85,62.23,61.67
61.61,61.52,61.78,60.92
61.98,62.14,62.48,61.56
62.13,62.13,63.00,61.95
62.41,62.27,62.64,61.71
62.18,63.73,63.74,62.18
62.86,62.39,63.40,62.21
62.50,62.50,62.90,62.34
62.50,62.46,63.06,62.17
62.79,63.14,63.49,61.99
63.00,61.57,63.05,61.50
61.14,61.00,62.03,61.00
60.70,60.34,61.08,60.10
60.75,60.49,60.99,60.15
60.12,59.96,60.47,59.83
60.16,60.19,60.65,59.65
60.47,60.03,60.99,60.03
60.04,60.87,61.08,60.04
61.61,61.76,62.90,61.25
61.58,61.81,61.84,61.00
61.38,62.68,62.68,61.35
62.80,62.94,63.10,62.59
62.68,64.35,64.37,62.54
63.70,63.96,64.34,63.60
63.50,63.10,63.87,62.92
63.24,63.60,64.15,62.86
63.19,63.21,63.32,62.64
63.16,63.49,63.85,62.60
64.22,64.48,65.17,64.06
64.50,64.55,64.84,64.11
64.11,64.24,64.57,63.50
63.90,64.96,65.17,63.50
65.25,65.83,65.96,64.81
65.26,64.93,65.55,64.72
64.40,64.29,64.54,63.40
63.84,64.21,64.61,63.81
64.88,65.65,66.00,64.74
65.03,66.25,66.50,65.03
65.69,66.74,66.92,65.69
66.76,66.24,66.92,65.97
66.87,67.03,67.41,66.73
67.00,67.16,68.16,66.70
67.59,67.40,67.88,67.18
67.45,69.74,69.80,67.45
69.74,70.10,70.73,69.40
70.02,71.06,71.67,70.02
71.05,71.49,72.40,71.05
71.04,71.00,71.32,70.66
71.23,71.84,71.92,70.73
71.78,71.69,72.24,71.50
71.75,71.18,71.85,71.01
71.01,71.34,71.88,71.01
71.28,71.02,71.68,71.01
70.73,71.46,71.93,70.65
71.25,71.22,71.50,70.94
71.25,70.46,71.56,70.46
70.28,70.20,70.95,69.88
70.16,69.22,70.24,69.13
69.84,69.75,71.08,69.63
69.65,68.88,69.93,68.47
68.28,69.10,69.83,67.30
69.03,69.00,69.53,68.79
69.25,68.48,69.26,67.97
68.02,68.50,68.92,67.48
68.49,68.94,69.02,67.92
68.90,69.36,69.49,68.90
69.14,68.50,69.44,68.34
68.49,69.33,69.55,68.33
69.17,70.55,70.60,69.10
70.25,70.11,71.19,70.00
70.00,70.05,70.45,69.90
70.33,70.21,70.50,70.00
70.21,71.30,71.75,70.21
71.00,72.06,72.09,70.57
72.37,73.07,73.80,72.34
73.20,73.10,73.40,72.81
73.40,70.86,74.00,70.54
70.69,71.70,72.00,70.58
72.06,72.54,72.81,70.29
72.24,72.62,73.07,71.92
72.47,73.83,74.10,72.47
74.00,74.42,74.67,73.31
74.51,75.07,75.54,74.03
75.23,75.00,75.67,74.93
74.95,75.04,75.46,74.69
74.76,75.55,75.77,74.47
75.19,76.71,76.71,74.67
76.21,77.59,77.60,76.21
77.24,78.17,78.85,77.24
78.44,78.12,78.85,77.82
77.80,77.88,78.25,77.48
77.95,79.33,79.33,77.82
78.97,77.50,79.14,77.44
77.52,76.25,77.63,75.25
76.20,75.74,76.68,75.39
75.97,77.65,77.65,73.54
78.02,77.70,78.78,77.58
78.01,77.64,78.90,77.26
77.71,78.56,78.79,77.32
79.01,79.13,79.89,78.78
78.75,78.16,79.22,77.70
78.09,76.90,78.16,76.04
76.90,77.62,77.94,76.70
77.37,77.57,77.92,77.13
76.63,76.69,77.44,76.05
76.28,76.91,77.16,76.25
76.08,76.47,77.13,75.95
75.00,75.38,76.00,74.84
75.45,74.78,76.17,74.78
74.97,75.21,75.53,74.67
75.76,75.76,76.62,75.51
76.68,76.60,77.69,76.48
76.75,76.37,76.94,76.08
76.35,76.29,76.46,75.74
76.73,76.68,76.86,76.02
76.75,76.98,77.43,76.67
76.76,76.37,76.99,76.21
76.12,76.85,76.94,76.12
76.85,77.03,77.23,76.62
76.75,77.22,77.48,76.53
77.44,79.36,79.47,77.26
79.33,79.41,79.90,79.17
79.13,78.96,79.39,78.51
79.00,78.40,79.17,78.38
78.27,77.70,78.71,77.46
78.14,77.74,78.24,77.31
77.64,77.44,77.81,77.15
77.17,77.30,78.80,76.99
77.52,77.49,77.69,76.86
77.40,78.10,78.23,77.13
78.36,79.54,79.55,78.00
78.34,77.65,78.81,77.32
77.81,78.14,78.19,77.52
79.20,79.88,80.00,78.97
79.40,80.13,80.51,79.30
79.76,79.90,81.00,79.76
79.42,80.41,80.60,79.42
80.31,81.03,81.06,80.06
80.81,81.10,81.16,80.35
81.04,81.43,82.24,80.77
81.50,81.24,81.99,81.05
80.89,80.29,81.38,79.94
80.26,79.90,80.85,79.27
79.58,80.67,81.42,79.00
81.27,81.24,81.86,80.60
81.07,81.75,81.80,80.57
81.75,82.40,82.59,81.75
82.40,82.25,82.91,81.25
81.92,82.39,82.68,81.32
82.19,81.14,82.41,81.00
80.71,80.54,81.12,80.40
80.07,79.66,80.36,78.99
79.94,81.55,81.75,79.52
81.58,81.37,82.11,80.90
81.09,80.06,81.53,79.74
78.93,78.00,80.01,77.95
78.18,77.60,78.37,77.17
77.50,77.96,78.19,76.91
77.68,78.82,78.94,77.32
78.82,78.31,79.02,78.14
78.80,78.72,79.17,78.11
78.32,76.98,78.72,76.89
77.60,75.79,77.60,75.72
75.00,74.69,76.45,74.57
74.48,73.38,74.71,73.35
73.82,73.75,74.34,73.07
73.75,72.88,73.75,72.85
72.92,73.55,74.17,72.80
73.34,72.63,73.47,72.27
72.65,72.42,72.90,71.99
73.04,74.20,74.60,72.95
73.49,73.10,74.38,72.89
72.99,72.97,73.80,72.51
73.51,73.23,74.15,73.13
73.25,74.24,74.29,73.25
74.80,75.60,76.00,74.31
75.43,75.40,75.76,74.93
74.70,75.32,75.48,73.00
75.31,74.76,75.31,74.36
74.84,74.99,75.39,74.34
75.36,77.11,77.72,75.36
77.26,77.77,78.04,76.70
78.00,77.56,78.63,77.56
77.42,78.67,78.76,77.42
78.51,78.45,78.90,77.84
78.48,79.52,79.55,78.31
79.68,80.40,80.67,79.67
79.73,79.51,79.96,79.11
78.83,77.98,79.22,77.86
78.14,78.52,78.98,78.14
79.20,79.27,80.72,78.79
79.45,78.40,79.89,78.21
78.68,78.49,79.35,77.86
78.26,77.43,78.71,76.88
77.97,79.12,79.73,77.97
79.09,79.60,79.95,78.78
80.07,81.48,81.74,79.75
81.23,86.97,87.29,80.98
85.90,86.61,87.13,85.01
86.36,85.35,86.49,85.35
84.91,82.57,85.33,82.36
82.30,83.17,84.23,82.04
82.56,82.94,83.33,81.68
83.39,81.79,83.50,80.87
81.29,79.21,82.02,78.38
79.50,79.24,79.50,77.25
78.30,75.74,78.88,75.67
76.17,74.45,76.33,73.16
72.58,71.13,74.21,70.71
71.81,76.05,76.29,70.65
74.65,72.60,75.97,72.54
72.98,76.22,77.10,72.11
76.82,77.89,78.16,76.14
78.47,78.16,79.29,77.54
77.60,77.31,78.00,76.13
77.69,77.39,79.18,77.27
76.00,74.17,76.13,72.91
73.28,73.50,76.34,73.28
75.01,73.07,75.36,72.97
73.38,75.72,75.78,73.00
75.31,75.66,76.05,74.36
75.99,74.43,76.35,73.49
73.83,76.32,76.62,73.00
77.20,80.57,80.96,77.16
80.14,80.37,81.70,79.35
80.90,79.78,82.46,79.60
79.64,77.79,80.48,77.40
76.42,75.53,77.73,75.31
73.41,75.30,75.51,73.18
76.47,77.59,77.67,75.63
75.58,76.61,77.72,75.58
76.00,72.99,76.21,72.34
72.08,73.58,73.83,72.08
73.87,74.18,74.68,73.30
74.25,75.10,76.05,73.50
75.58,74.79,75.71,73.85
74.83,74.76,75.51,74.17
73.54,73.72,74.44,72.93
74.07,74.48,75.34,73.51
74.32,73.24,74.76,73.21
71.02,72.23,72.59,69.15
71.55,72.55,73.11,71.47
73.21,72.23,73.21,71.81
73.79,73.91,75.70,73.32
74.28,71.13,75.09,71.02
72.31,71.27,72.50,69.79
70.28,68.97,71.20,68.91
68.61,66.13,70.09,66.06
65.36,66.96,67.16,63.83
67.04,68.44,68.75,65.64
68.43,69.83,69.97,67.93
70.03,69.61,70.67,69.26
70.58,71.53,72.04,70.02
71.11,71.41,72.14,70.96
71.73,71.72,73.11,71.59
71.23,72.03,72.14,71.02
72.67,72.06,72.85,71.84
71.75,69.64,71.75,69.38
69.89,70.43,71.08,69.00
70.50,71.07,71.96,70.29
71.30,72.87,72.99,70.63
73.52,73.71,76.45,70.20
74.30,75.18,75.47,73.41
74.78,72.68,75.36,72.54
73.92,71.84,74.45,71.71
73.29,74.04,74.80,72.79
73.91,74.01,74.84,73.53
73.38,71.99,73.38,71.95
70.56,69.57,70.84,68.95
70.23,71.12,71.65,69.96
71.56,72.52,73.01,70.90
72.15,72.69,73.14,71.29
72.42,73.19,73.28,71.50
73.48,74.11,74.37,72.87
72.70,71.39,73.23,71.13
72.00,71.77,72.42,71.40
71.57,73.05,73.78,71.57
72.91,72.24,73.21,72.00
72.23,72.92,73.70,71.93
72.51,72.14,73.98,71.93
72.27,74.31,77.97,72.27
74.43,72.19,74.43,71.87
71.24,70.57,71.85,70.54
70.72,71.18,71.86,70.26
70.69,69.49,70.86,68.96
69.34,69.27,70.38,69.23
70.30,72.00,72.20,69.79
72.59,72.47,73.16,71.86
74.32,75.19,75.46,73.84
74.67,74.77,76.00,74.54
75.15,72.98,75.66,72.81
73.78,74.27,75.28,73.61
74.24,74.27,74.88,73.68
73.84,74.27,74.63,72.57
73.94,71.88,74.12,71.73
72.10,74.54,74.69,72.10
73.96,74.91,74.99,73.46
75.42,74.49,75.80,74.12
74.03,74.02,74.62,73.56
74.98,73.85,75.08,73.46
74.07,74.01,74.96,73.70
74.01,73.21,74.66,73.05
74.34,74.56,75.02,73.94
74.40,75.15,75.39,74.30
75.16,77.18,77.79,75.08
77.26,77.11,77.91,76.43
76.78,78.64,79.29,76.78
79.09,76.96,79.09,76.84
76.88,77.99,78.52,76.88
77.97,76.96,78.29,76.92
77.89,79.09,79.14,77.81
78.72,78.98,79.31,78.13
78.68,79.37,79.78,78.34
79.32,79.26,79.82,78.77
79.43,79.86,80.31,79.02
80.41,80.24,80.71,79.89
80.28,81.01,81.19,79.89
81.16,81.16,81.34,80.34
80.57,82.62,82.90,79.78
83.19,82.72,83.31,82.43
82.70,84.10,84.21,82.42
84.04,84.90,85.54,83.93
84.94,85.28,85.92,84.54
84.68,85.89,86.02,84.68
85.64,86.56,87.10,85.21
86.72,86.97,87.37,85.40
87.23,87.31,87.69,86.38
86.34,83.46,86.58,81.91
83.25,84.69,84.98,82.11
84.64,84.59,85.57,84.09
84.88,86.37,86.46,84.64
86.09,86.79,87.24,86.05
87.40,86.54,87.61,86.42
86.29,85.73,86.32,85.27
85.61,85.85,86.37,84.92
85.84,86.06,86.39,84.82
86.27,86.06,86.48,84.91
85.31,85.68,86.18,84.76
86.58,86.94,87.11,85.75
86.67,87.42,87.42,86.46
87.39,87.91,87.93,86.80
87.50,89.03,89.23,87.48
88.75,88.49,89.50,88.23
88.50,88.59,88.69,87.82
88.29,88.72,89.03,87.61
88.73,88.10,89.08,87.92
88.01,87.99,88.47,87.83
87.51,87.40,88.09,86.85
87.55,87.14,87.91,86.77
87.26,85.75,87.63,85.70
85.63,86.13,86.63,85.63
86.11,85.14,86.47,84.94
84.54,84.88,85.22,84.53
84.31,83.02,84.45,82.98
83.06,83.24,83.63,82.90
83.90,83.90,84.41,82.98
83.98,85.09,86.91,83.98
85.00,83.00,85.04,82.56
83.51,84.38,84.38,83.12
84.04,84.00,84.68,83.36
83.78,84.87,85.05,83.78
84.80,84.54,84.80,84.10
84.42,83.89,84.73,83.56
83.42,84.41,84.75,83.42
84.35,84.53,85.05,83.94
84.15,83.63,84.35,82.92
83.71,84.45,84.49,83.26
85.08,86.10,86.62,85.08
85.99,86.16,86.67,85.45
86.02,86.81,87.26,86.02
86.60,86.65,87.28,86.10
86.65,87.45,87.87,86.62
87.15,87.11,87.94,86.83
87.04,87.50,87.80,86.64
86.75,86.93,87.31,86.15
86.75,86.97,87.11,86.47
85.70,86.07,86.54,85.33
85.88,84.37,85.95,84.28
85.23,84.91,85.23,84.52
85.09,86.23,86.57,84.59
86.12,85.02,86.28,84.92
85.46,84.39,86.00,83.89
85.00,86.65,87.09,85.00
86.56,87.69,87.75,86.56
87.61,88.18,88.98,87.25
88.66,86.44,88.77,82.70
87.29,85.16,88.17,84.95
85.08,85.49,85.79,84.87
86.00,86.25,87.00,85.63
86.38,86.83,87.17,85.83
87.25,88.20,89.00,86.73
88.28,87.93,88.50,87.67
87.82,88.79,89.62,87.30
87.75,88.98,89.14,87.75
89.05,88.74,89.50,88.29
88.13,87.17,88.45,86.66
87.36,88.90,89.03,86.61
88.43,89.10,89.15,87.64
88.32,88.09,88.48,87.47
88.77,88.21,88.98,87.95
87.49,88.12,89.00,87.25
87.30,86.68,88.02,86.51
86.60,86.87,87.52,86.07
87.25,85.93,87.25,85.84
86.00,84.14,86.37,84.11
84.60,82.12,84.83,81.95
82.10,84.36,84.50,81.91
84.51,84.44,85.82,83.94
83.88,84.80,85.00,83.10
85.18,86.24,86.37,85.00
86.12,86.12,86.63,85.38
86.95,87.02,87.62,86.54
86.32,85.44,86.80,85.40
85.29,84.84,85.40,83.79
83.30,81.92,84.02,81.84
82.22,82.51,82.71,81.31
82.35,83.74,83.80,81.85
84.46,85.30,85.42,84.33
85.95,84.93,86.45,84.75
84.57,85.62,85.97,84.39
86.01,85.06,86.39,84.97
85.48,85.49,85.71,84.65
85.24,85.41,86.27,84.94
85.34,87.99,88.64,85.34
88.67,88.38,89.12,87.75
87.74,90.90,90.92,87.41
91.25,94.15,94.66,90.90
93.96,94.86,95.00,92.97
94.74,91.54,95.95,91.43
91.52,93.23,93.45,91.27
92.38,92.59,92.83,91.36
92.87,93.75,93.92,92.12
94.00,95.28,95.47,93.75
94.82,93.58,95.75,92.60
95.57,96.13,96.80,94.80
96.11,98.02,98.31,95.71
97.68,97.54,98.38,97.34
96.36,96.22,97.69,95.90
95.59,95.51,96.06,95.11
95.74,95.82,96.10,95.33
96.62,93.95,97.01,93.61
94.45,95.32,95.43,93.72
94.58,93.64,94.86,93.58
93.00,92.38,93.28,92.15
92.15,90.70,92.21,90.27
91.26,92.01,92.23,90.36
91.80,92.06,92.88,91.37
92.00,92.71,93.14,91.90
89.50,89.84,90.25,87.65
86.36,87.81,88.02,86.36
87.81,87.21,88.30,86.51
87.46,87.64,88.13,86.36
88.70,87.91,89.00,87.17
88.78,89.53,90.42,88.55
88.19,89.13,89.25,88.09
88.93,88.17,89.48,87.96
87.84,87.92,88.70,87.50
87.44,87.50,88.28,86.75
89.23,90.02,90.79,89.13
89.94,89.77,90.52,89.59
89.92,89.21,90.93,89.03
88.74,89.93,90.13,88.03
89.72,89.61,90.08,88.80
90.33,92.54,92.61,90.29
92.06,91.20,92.43,90.43
91.42,91.45,91.93,91.01
91.33,92.77,92.94,90.99
93.14,93.77,94.00,92.72
94.00,94.36,94.89,93.32
93.79,94.28,94.55,93.70
94.24,93.91,95.27,93.85
93.99,93.30,94.23,93.14
93.10,94.00,94.25,92.76
93.84,94.00,94.86,93.84
94.46,94.13,95.46,94.00
93.70,95.10,95.33,93.70
94.98,94.87,95.69,94.47
94.20,94.60,94.99,93.75
95.40,95.06,95.81,94.24
95.27,96.71,97.00,94.65
96.60,96.92,97.53,96.08
97.52,98.77,99.40,96.96
98.75,98.52,99.60,98.44
97.67,98.25,99.15,97.67
97.90,97.83,98.67,97.60
98.23,99.17,99.23,94.32
99.54,99.39,99.75,98.51
99.45,100.00,100.00,98.77
99.60,97.48,99.60,96.95
97.56,97.63,98.10,96.90
97.35,97.62,97.96,96.89
96.95,98.45,98.62,96.95
99.05,99.03,100.00,98.78
98.72,100.15,100.22,98.35
100.67,99.93,101.18,99.59
99.88,98.99,100.41,98.50
99.22,99.59,99.91,98.92
99.14,99.35,99.69,98.35
99.71,97.66,99.71,96.44
97.83,97.70,98.36,97.21
98.09,98.18,98.93,97.53
98.38,99.00,99.21,98.38
99.28,98.79,100.05,98.60
98.79,98.89,99.70,98.42
98.59,95.73,99.24,95.66
95.92,95.68,96.37,95.41
96.44,96.90,97.26,96.02
96.96,95.94,97.45,95.77
96.42,97.04,97.58,95.78
97.80,98.03,98.19,97.32
98.08,98.49,98.95,97.48
98.13,98.96,99.20,96.75
98.22,97.59,99.00,95.28
97.32,97.89,98.14,96.63
97.15,96.99,98.08,96.00
97.50,96.05,97.55,95.89
96.46,96.24,97.00,95.70
96.00,95.76,97.46,95.22
95.67,96.20,98.41,95.30
95.89,95.43,96.44,95.21
95.99,94.64,96.22,94.45
94.69,93.90,94.69,93.64
94.51,93.89,94.85,93.73
93.25,92.89,93.64,92.20
92.41,89.91,92.81,89.89
89.78,89.55,90.21,89.20
89.55,89.71,89.96,88.94
89.33,89.99,90.49,88.90
90.05,89.32,91.12,89.12
89.48,89.76,90.22,87.51
89.85,90.32,90.80,89.65
90.76,92.62,92.64,90.66
92.43,91.95,92.66,91.09
92.00,91.87,92.47,91.13
91.80,94.05,94.17,91.80
93.62,93.93,94.26,93.41
93.32,92.30,94.30,92.07
91.70,91.42,92.05,90.22
92.12,93.26,93.78,92.09
93.18,93.47,93.85,92.98
93.63,92.16,93.97,91.80
92.13,92.32,92.60,91.46
92.45,92.68,92.96,91.81
92.66,93.10,93.28,92.53
93.25,93.51,93.90,92.89
93.30,93.82,94.43,93.05
93.82,94.50,94.88,93.80
94.54,95.59,96.74,94.19
95.47,95.04,95.81,94.80
94.38,95.68,96.77,94.03
95.60,95.92,96.43,95.56
95.77,96.04,96.32,95.62
96.47,95.59,96.91,95.56
95.33,96.24,96.38,95.33
94.66,95.24,97.14,94.66
95.62,95.26,96.71,94.39
95.63,92.56,95.66,92.55
92.70,92.92,93.25,91.91
92.33,91.71,92.96,91.59
91.50,92.80,93.00,91.09
94.59,94.05,94.81,93.39
93.67,94.00,94.75,93.38
94.32,94.88,95.93,93.89
94.65,95.44,95.88,94.51
95.60,96.01,96.58,95.12
96.50,97.14,97.89,96.14
97.69,97.26,98.02,96.90
97.42,97.10,97.91,96.72
97.17,95.96,97.40,95.94
95.75,94.95,96.66,94.92
94.75,94.39,95.88,93.43
94.73,94.33,95.30,94.25
94.25,93.25,94.67,93.20
93.43,95.49,95.56,93.43
95.25,95.24,95.34,94.82
95.25,96.63,96.64,95.03
96.85,99.46,99.75,96.64
98.80,99.65,100.81,98.80
93.49,97.42,98.14,93.49
97.41,96.16,98.27,95.94
95.53,95.21,96.12,94.82
95.64,94.46,96.23,94.21
94.07,93.62,94.46,93.21
93.97,93.80,94.16,93.62
93.69,93.90,94.00,93.27
94.00,93.90,94.00,93.36
93.90,93.57,94.14,93.48
93.80,93.56,93.97,93.05
93.87,92.93,94.03,92.70
93.19,92.08,93.21,91.59
92.06,91.68,92.51,91.50
91.60,91.20,91.65,90.75
91.22,91.96,92.26,91.02
91.73,92.07,92.69,91.70
91.71,91.21,91.86,91.07
91.67,92.20,92.35,91.27
92.41,92.20,92.90,92.01
92.28,91.30,92.97,91.20
91.32,92.55,93.39,91.22
92.77,92.12,93.23,91.97
91.83,91.25,92.06,90.78
91.04,91.15,91.33,90.19
91.70,93.25,93.37,91.50
93.56,92.13,94.27,91.94
92.00,91.02,92.38,90.57
91.06,91.46,92.05,90.24
91.51,91.83,92.62,91.38
91.58,91.51,91.80,90.99
91.56,91.66,92.01,91.02
91.64,92.72,93.15,91.63
92.58,92.45,92.85,92.02
91.45,91.19,92.35,91.04
91.42,91.36,92.14,90.33
91.49,91.57,92.42,91.38
91.20,91.60,92.02,90.71
91.72,92.07,92.43,91.72
92.40,91.26,92.43,90.94
91.77,92.28,92.34,91.40
91.97,92.89,93.22,91.73
92.87,92.39,93.01,91.77
92.06,90.83,92.40,90.29
90.94,91.00,91.80,90.75
90.81,89.07,91.06,88.81
89.35,89.63,89.65,87.89
88.96,89.73,89.95,88.45
89.71,90.39,90.55,89.40
90.50,90.51,91.14,89.90
91.13,90.89,91.13,90.03
90.80,90.96,91.59,90.78
90.70,88.63,90.94,87.90
88.20,87.72,89.04,87.60
88.34,89.64,89.71,87.25
89.09,88.96,89.27,88.14
89.01,89.32,89.60,88.65
89.50,90.56,90.64,89.02
90.82,90.00,90.97,89.55
83.84,86.65,88.21,83.05
86.45,84.27,86.60,84.03
84.58,87.03,87.53,84.45
87.06,87.93,87.95,86.70
88.23,88.36,89.07,88.14
88.58,87.96,88.95,87.49
87.52,85.24,87.98,85.15
85.51,84.40,85.76,84.10
85.09,85.31,85.49,84.66
85.59,85.80,86.00,85.41
85.99,85.90,86.33,85.59
85.74,87.36,87.51,85.74
87.00,86.82,87.50,86.54
86.94,87.76,87.94,86.59
87.72,87.00,88.07,86.96
87.54,88.77,89.04,87.13
88.50,87.53,88.95,87.21
87.58,86.60,88.13,86.50
86.94,86.40,86.94,86.04
86.15,85.65,86.84,85.50
85.65,85.56,86.17,85.31
85.56,83.37,86.25,83.34
83.07,84.48,84.97,82.40
84.24,83.81,84.27,83.49
84.45,84.47,84.99,84.37
84.00,83.70,84.40,83.08
83.99,83.21,83.99,81.57
82.96,82.44,83.60,82.01
82.78,82.93,83.40,82.22
83.16,83.69,84.33,82.96
83.77,83.58,84.19,83.39
83.71,84.05,84.72,83.62
84.66,83.88,84.66,83.62
84.13,83.98,84.88,83.50
85.77,85.06,85.78,83.47
85.63,85.93,86.09,84.78
86.03,89.36,89.64,85.51
89.50,89.28,89.73,89.07
90.09,90.88,92.60,90.09
90.93,90.49,91.88,90.13
90.62,89.05,90.95,89.02
88.25,88.18,88.87,87.79
