CP,Canadian Pacific Railway Limited Common Stock,NASDAQ
60.14,58.86,60.84,58.86
59.55,60.13,60.39,59.38
59.05,57.43,59.05,57.16
56.49,55.83,56.94,55.19
55.37,54.17,56.17,51.28
54.10,53.93,54.96,53.21
56.82,57.90,58.09,56.39
57.52,58.51,59.25,57.21
59.12,60.60,60.78,58.94
60.38,59.65,60.54,59.40
59.00,57.35,59.03,56.87
57.29,56.63,57.67,55.16
57.53,55.48,58.04,54.95
55.12,54.40,55.35,52.71
52.34,51.38,52.94,51.33
50.66,53.01,53.54,49.98
53.20,52.55,53.84,52.53
50.55,52.78,53.00,50.22
53.44,53.08,54.46,52.97
54.21,54.99,55.00,53.97
55.37,55.03,55.74,54.39
54.78,54.40,56.32,54.22
54.76,55.85,55.95,54.21
56.29,57.25,58.10,56.21
55.93,54.79,56.82,54.60
55.01,53.80,55.48,53.60
54.65,54.64,55.28,53.49
55.39,55.02,56.26,54.78
56.12,57.49,57.65,56.12
56.68,57.73,57.94,56.46
58.44,58.05,59.16,57.81
58.30,59.14,59.31,58.28
58.78,59.75,60.16,58.39
59.79,59.62,59.88,58.62
59.75,60.29,60.50,59.70
61.19,60.57,61.98,60.29
60.99,58.78,61.11,58.75
58.06,57.73,58.75,57.04
56.88,56.48,57.43,56.09
57.08,56.47,57.08,55.69
56.60,56.41,57.29,56.33
54.70,53.66,55.11,53.15
53.22,53.62,54.37,53.17
53.81,54.08,54.36,52.15
54.23,53.29,54.69,53.07
53.93,53.14,54.80,52.75
53.22,55.11,55.28,53.22
56.22,55.62,56.63,55.12
56.00,56.15,56.43,55.76
55.87,56.58,56.62,55.70
57.83,57.13,58.17,56.46
57.04,57.79,58.19,56.53
57.73,58.29,58.42,57.11
57.86,56.16,57.86,55.80
56.25,56.13,56.85,55.56
55.50,57.04,57.04,55.29
57.51,55.89,57.51,55.40
56.80,57.86,58.04,56.80
57.73,58.94,59.18,57.64
59.25,59.38,59.86,58.97
59.84,57.78,59.97,57.59
57.80,58.30,58.60,57.45
58.92,59.21,59.54,58.68
59.12,59.87,60.42,58.20
61.00,60.92,61.42,60.45
60.38,60.76,61.40,60.35
60.87,61.39,61.53,60.81
61.37,61.90,62.14,61.08
61.15,60.55,61.69,59.63
60.38,60.66,60.72,59.99
59.49,60.10,60.34,58.87
58.62,57.46,58.90,57.02
56.41,56.40,56.89,55.60
56.43,57.39,57.42,56.30
57.03,57.34,57.63,56.78
58.06,58.68,59.50,57.84
58.79,58.65,59.02,58.00
58.27,57.24,58.46,56.64
56.42,56.84,56.94,55.68
57.16,55.99,57.28,55.90
55.05,56.63,57.38,54.73
56.03,56.93,57.06,55.57
57.66,58.10,58.79,57.21
58.34,59.38,59.57,57.75
59.36,58.59,60.00,58.59
58.27,58.98,59.33,57.63
59.89,60.97,61.19,59.89
61.07,61.37,61.50,60.84
61.75,62.21,62.63,61.61
61.80,61.81,62.20,61.49
62.07,61.98,63.47,61.84
62.82,61.83,63.04,61.51
61.83,61.36,62.10,61.12
62.04,61.77,62.04,61.63
61.76,62.43,63.16,61.75
62.24,62.48,62.83,62.00
62.26,62.01,62.46,61.65
62.37,61.68,62.39,61.46
61.99,62.26,62.60,61.56
62.46,62.25,63.00,61.86
62.02,61.63,62.49,61.11
61.15,60.71,61.58,60.46
61.88,62.42,62.58,61.45
62.46,62.30,63.03,62.26
62.28,61.78,62.32,61.06
61.91,61.40,61.91,61.02
61.79,60.93,62.58,60.63
61.42,61.13,61.67,60.39
60.92,60.49,61.29,60.14
61.18,62.01,62.36,61.15
62.06,62.51,62.65,61.97
62.79,63.42,63.51,62.78
63.37,64.36,64.54,63.18
64.36,64.45,64.74,63.95
64.06,63.63,64.16,63.28
65.32,65.91,66.72,64.97
66.34,65.73,66.34,65.27
65.69,65.20,66.17,64.71
64.82,65.13,65.21,64.59
63.67,64.04,64.34,63.44
64.22,65.23,65.65,64.12
65.35,65.06,65.76,64.40
65.10,65.43,65.73,64.94
66.04,65.41,66.36,65.34
64.95,65.33,65.92,64.83
65.25,63.76,65.25,63.13
64.39,64.00,64.80,63.22
63.87,65.14,65.17,63.82
65.45,65.54,66.33,65.26
66.17,66.17,66.31,65.54
65.86,65.93,66.41,65.09
66.78,66.48,67.03,66.18
66.49,65.80,67.02,65.61
65.66,65.17,65.73,64.76
65.40,64.94,65.47,64.69
65.13,65.44,65.65,64.48
65.22,65.14,65.30,64.56
64.55,64.11,64.99,63.56
64.35,64.50,65.65,64.35
63.57,63.02,64.09,62.71
62.96,63.56,63.65,62.62
64.41,64.81,65.49,64.23
64.65,65.40,65.53,64.59
65.07,65.27,65.71,64.47
64.64,63.48,64.73,63.33
64.11,64.65,64.98,64.07
64.05,64.79,64.90,63.94
64.17,64.69,64.87,63.79
63.78,63.99,64.46,63.69
64.86,64.97,65.42,64.50
65.28,66.02,66.22,65.28
65.90,65.97,66.43,65.17
65.78,65.56,66.03,65.34
66.09,65.17,66.09,64.94
65.12,63.82,65.19,63.59
64.44,64.56,65.01,64.09
64.82,64.19,64.82,64.13
64.69,63.88,64.69,63.76
64.08,64.28,64.74,63.84
64.11,64.78,65.16,64.11
64.69,65.00,65.07,64.33
64.62,64.65,64.87,63.96
64.01,64.28,64.64,63.71
64.06,64.49,64.52,63.88
64.61,64.62,64.73,64.38
64.30,64.38,64.52,63.89
64.11,64.84,65.00,64.11
64.96,65.21,65.35,64.77
64.92,64.95,65.45,64.87
65.09,64.58,65.18,64.52
64.53,64.81,64.98,64.30
65.29,65.70,66.69,65.14
65.93,64.52,66.00,63.88
64.31,64.75,65.53,64.31
64.76,64.51,64.92,64.07
65.04,65.83,66.03,65.03
65.70,66.06,66.15,65.24
66.44,66.89,66.96,66.33
66.99,67.11,67.39,66.80
66.88,67.72,67.95,66.88
67.47,67.51,67.71,67.13
67.14,67.43,67.50,67.01
67.43,66.84,67.44,66.44
66.39,66.69,67.17,65.82
67.01,67.29,67.53,66.95
66.90,67.15,67.45,66.76
66.74,66.42,67.01,65.97
66.86,68.49,68.72,66.64
68.65,69.44,69.55,68.64
69.26,67.15,69.92,66.96
67.45,67.13,67.95,66.80
67.67,67.64,67.87,67.19
67.76,67.06,68.01,67.04
67.34,66.81,67.42,66.70
67.06,66.92,67.30,66.52
67.07,67.32,67.55,67.00
67.46,67.40,67.78,67.19
67.34,67.18,67.62,66.90
66.94,67.20,67.36,66.73
67.19,68.23,68.72,66.97
68.65,68.29,68.65,68.01
68.28,67.81,68.43,67.69
68.11,68.45,68.92,67.86
68.44,69.01,69.06,68.35
69.07,68.48,69.07,68.08
67.94,67.06,68.43,66.94
66.87,65.75,67.00,65.64
66.17,65.97,66.64,65.68
66.60,66.85,66.95,66.40
67.27,67.98,68.00,67.08
68.12,66.77,68.12,66.54
66.70,67.20,67.32,66.69
67.01,65.80,67.22,65.57
65.81,66.26,66.39,65.36
65.82,64.58,66.14,64.02
65.09,65.36,66.15,64.96
65.56,65.23,65.82,64.92
64.87,64.63,65.01,62.78
63.82,64.96,65.14,63.82
64.51,64.61,64.78,64.25
62.78,63.93,64.36,61.97
63.39,63.14,63.66,62.14
64.31,63.93,64.31,63.57
64.60,64.48,64.81,64.19
65.29,65.75,65.81,64.93
63.06,64.05,64.58,62.97
62.98,62.77,63.71,62.68
63.28,62.94,63.28,62.47
63.09,62.96,63.37,62.70
63.32,63.01,63.63,63.00
63.19,64.03,64.03,63.01
64.44,64.34,64.46,63.97
64.26,64.34,64.65,64.24
64.55,64.66,65.11,64.53
64.77,65.21,65.32,64.58
65.31,65.09,65.66,65.01
65.52,64.69,65.63,64.36
64.54,64.07,64.73,64.04
64.29,63.13,64.32,62.76
62.99,62.83,63.44,62.66
62.61,62.51,63.44,62.20
62.91,62.69,63.10,62.30
62.41,62.53,63.04,62.14
62.66,62.95,63.15,62.47
62.43,62.06,62.51,61.57
62.42,62.85,63.04,62.42
64.11,63.02,64.29,62.71
63.52,62.66,63.65,62.50
62.82,63.13,63.31,62.76
63.37,64.74,65.22,63.37
65.18,65.11,65.24,64.02
65.11,65.93,66.07,64.92
65.91,66.24,66.48,65.61
66.42,66.42,66.99,66.23
66.41,66.46,66.57,65.54
66.34,65.18,66.73,64.77
64.67,64.91,65.60,64.13
65.66,65.07,65.93,64.62
65.07,65.17,65.44,64.65
65.43,65.08,65.44,64.56
64.93,63.65,65.16,63.39
63.39,62.95,63.59,62.56
62.86,61.66,62.91,61.25
61.39,61.43,61.71,61.14
61.21,60.93,61.47,60.47
60.95,61.42,61.51,60.34
61.65,62.00,62.23,61.52
61.77,61.70,62.20,61.58
60.99,60.90,61.20,60.51
61.14,60.83,61.25,60.58
60.70,61.53,61.77,60.58
61.48,61.74,62.10,61.33
62.00,62.57,62.90,61.84
63.64,63.51,63.94,63.20
63.04,61.52,63.21,61.35
61.60,62.21,62.39,61.41
61.30,61.59,61.80,60.86
61.50,60.74,61.91,60.54
60.73,61.18,61.65,60.69
60.64,60.38,60.98,60.21
60.58,60.84,61.03,60.41
60.69,60.74,60.99,60.27
60.74,60.82,61.50,60.64
61.59,62.20,62.59,61.51
61.81,60.72,62.02,60.57
60.39,59.93,60.63,59.60
60.20,60.45,60.80,60.08
60.28,60.82,61.21,60.18
61.24,61.16,61.75,60.99
60.82,59.97,60.92,59.91
59.30,59.51,59.55,58.13
59.60,58.33,59.64,58.19
58.42,58.87,59.16,58.23
59.12,60.34,60.71,58.92
60.99,61.27,61.97,60.75
61.79,62.32,62.80,61.51
62.30,63.44,63.69,62.09
63.18,62.55,63.38,62.50
62.58,62.90,63.29,62.36
63.52,63.07,63.66,63.01
62.51,62.49,62.72,62.29
61.75,61.39,61.75,60.75
61.00,61.18,61.76,60.98
61.39,61.87,62.77,61.26
61.83,61.16,62.23,60.96
61.60,61.89,61.99,60.87
61.77,61.07,61.83,60.61
61.74,62.60,62.90,61.53
62.86,61.77,62.96,61.68
62.04,62.80,63.10,61.94
62.87,62.25,62.88,61.94
61.91,62.99,63.38,61.59
62.93,61.93,62.93,61.88
61.89,61.26,63.09,61.08
62.03,63.90,64.78,62.03
63.02,63.86,64.09,62.36
64.40,63.24,64.61,62.85
62.94,61.47,63.30,61.28
61.28,62.30,62.43,60.42
61.46,60.29,61.75,59.78
60.70,59.41,60.75,57.65
56.86,56.16,58.10,55.68
56.52,59.09,59.19,55.94
58.12,57.51,59.31,57.00
57.90,59.14,59.79,57.14
59.67,59.63,60.24,58.63
60.06,60.19,60.81,59.76
59.78,59.26,59.84,58.84
59.31,59.03,60.22,58.62
57.56,55.85,57.56,55.27
55.36,54.29,56.75,54.21
55.70,54.58,55.76,54.41
55.04,55.86,55.89,54.20
55.99,56.51,56.55,55.46
56.91,55.83,57.27,55.60
55.60,56.30,56.44,54.39
56.91,57.74,57.76,56.43
57.80,58.09,58.42,57.32
58.59,57.42,59.07,57.11
57.59,57.19,58.06,56.91
56.06,55.40,56.06,55.08
53.97,54.28,54.40,53.00
54.91,55.25,55.30,54.34
54.83,54.06,55.02,53.81
53.46,51.69,53.49,51.42
51.06,51.02,51.63,50.13
51.24,52.57,52.87,51.04
52.91,53.75,54.33,52.13
54.49,54.29,54.74,53.37
54.30,54.01,54.92,53.82
52.77,51.95,52.79,51.48
51.93,51.09,52.61,50.83
51.03,47.66,51.05,47.61
45.75,44.92,45.87,44.74
44.92,47.24,47.37,44.83
47.33,48.69,48.92,47.33
50.20,48.98,50.30,48.85
48.88,48.30,49.22,48.24
49.13,49.79,50.19,49.03
48.83,48.09,49.01,48.04
47.34,46.05,47.99,46.01
45.12,48.53,48.66,44.98
48.29,50.08,50.34,48.26
50.00,50.24,50.51,49.61
50.35,50.50,51.50,50.29
51.20,52.05,52.11,51.08
51.86,52.19,52.40,51.40
53.01,53.51,53.73,52.25
53.01,53.46,54.10,52.98
54.16,53.97,54.39,53.29
53.88,52.15,53.88,52.13
52.07,55.34,55.51,52.02
55.29,55.71,56.34,55.29
55.81,56.57,57.08,55.81
57.19,58.36,58.38,57.19
58.59,59.57,59.60,58.59
58.59,58.55,58.70,56.80
58.49,59.50,59.61,58.24
60.82,61.54,61.95,60.72
61.64,64.57,65.01,61.23
66.02,61.88,66.20,61.86
59.23,61.14,61.86,58.65
62.17,61.59,62.20,61.19
61.86,61.92,62.12,61.01
61.21,61.60,61.82,60.03
61.32,61.98,62.31,61.08
61.99,62.25,62.54,61.20
60.67,60.44,61.42,60.29
60.88,61.18,61.36,60.34
61.57,62.05,62.13,61.56
61.16,61.54,61.90,61.03
61.02,61.19,61.57,60.50
60.58,60.10,60.92,60.03
59.86,59.03,59.99,58.65
58.90,59.29,59.55,58.46
58.38,57.53,58.39,57.22
57.37,57.41,57.66,56.99
56.73,56.04,56.73,55.96
55.33,55.35,56.04,55.31
57.11,57.82,57.83,57.03
58.05,58.17,58.66,57.74
59.91,60.18,60.61,59.31
60.42,60.29,60.79,59.62
60.83,61.25,61.40,60.79
62.08,62.82,63.05,61.87
63.24,63.20,63.50,62.88
62.81,63.80,63.95,62.75
63.49,63.19,63.93,63.10
63.15,63.57,63.81,63.14
62.73,63.15,63.21,62.56
62.92,63.14,63.48,62.82
62.79,62.88,63.40,62.40
63.52,61.65,63.90,61.53
62.07,61.85,62.67,61.46
62.01,61.45,62.55,61.23
62.37,63.02,63.21,62.15
62.94,63.71,63.78,62.44
63.80,64.40,64.51,63.64
64.61,65.15,65.38,64.50
65.24,64.97,65.54,64.64
65.01,64.66,65.01,64.20
64.59,65.00,65.20,64.54
65.31,67.67,68.12,65.30
68.19,68.74,69.06,68.07
68.44,69.74,69.77,68.38
69.40,68.77,69.40,67.93
68.36,67.20,68.39,66.93
67.31,67.74,67.81,66.23
68.35,67.63,68.97,67.60
67.23,67.97,68.28,67.15
67.85,68.73,68.79,67.62
67.82,69.18,69.30,67.54
68.67,69.44,69.75,68.59
68.83,71.02,71.06,68.62
71.45,71.82,73.06,71.25
71.47,70.57,71.71,69.97
70.91,70.88,71.27,69.97
70.14,69.78,70.26,69.33
69.71,71.37,71.48,69.14
70.56,71.40,72.62,70.41
71.36,71.40,72.54,71.18
70.39,71.29,72.03,70.35
71.73,71.32,72.37,71.16
72.07,71.75,72.51,71.66
71.70,71.91,72.33,71.39
72.83,73.96,74.47,72.68
73.32,74.71,75.25,73.00
74.46,76.10,76.30,74.22
75.78,76.73,77.55,75.78
76.68,75.54,76.85,75.43
74.60,74.63,75.04,73.74
75.09,75.15,75.50,74.82
75.02,74.81,75.02,73.82
75.09,73.17,75.28,72.73
72.93,73.17,73.41,72.63
73.42,74.20,74.26,73.30
74.18,74.39,74.77,74.04
74.27,74.59,74.83,73.74
74.52,74.42,74.63,73.90
74.35,75.27,75.72,74.34
74.59,74.95,75.28,74.22
75.20,75.26,75.46,74.50
75.64,74.73,76.01,74.57
74.97,75.87,76.34,74.97
75.83,75.13,76.13,74.90
75.03,75.17,75.41,74.50
74.16,72.10,74.29,71.67
72.29,73.45,73.55,72.01
74.24,74.78,75.18,73.73
75.09,75.89,75.93,74.68
75.86,75.77,75.94,75.41
76.07,77.89,77.92,75.77
77.70,75.78,77.91,75.41
75.66,77.49,77.57,75.61
77.65,77.97,78.19,77.26
77.81,78.52,79.53,77.81
77.67,77.62,78.01,76.46
77.51,79.17,79.57,77.36
78.17,78.09,78.26,77.26
77.79,77.34,77.92,76.96
78.16,79.69,79.72,78.03
79.63,78.23,79.91,78.14
78.02,76.58,78.06,75.84
75.99,76.52,76.53,74.21
76.57,75.95,77.16,75.71
75.70,77.31,77.59,75.66
77.39,76.91,77.73,76.50
75.72,75.52,76.68,75.51
75.45,75.46,75.65,74.45
74.23,74.86,75.28,74.13
74.48,72.95,75.36,72.17
73.93,74.08,74.23,73.29
74.89,76.47,76.80,74.66
76.28,75.92,76.44,75.35
76.11,75.62,76.89,75.56
76.46,75.73,76.46,75.62
75.53,76.65,77.12,75.39
76.53,76.45,78.22,76.04
77.01,76.95,77.56,76.49
75.65,74.80,75.82,74.40
75.13,76.63,76.67,75.00
77.24,77.38,77.76,76.55
77.06,77.57,77.64,76.68
77.78,78.15,78.23,77.01
77.07,77.48,77.98,76.25
77.56,78.32,79.00,77.55
77.98,78.46,78.57,76.89
78.49,77.11,78.49,76.95
76.59,74.92,76.59,74.65
74.69,74.94,75.73,74.05
74.11,73.74,74.41,72.67
72.58,73.14,73.43,72.22
73.94,72.76,73.94,72.60
72.60,73.20,73.82,72.58
72.38,72.90,73.88,72.38
72.93,73.73,73.97,72.69
74.00,74.87,76.75,73.78
76.12,75.07,76.75,74.65
75.67,72.54,75.83,72.03
72.74,75.20,75.51,72.74
74.22,73.35,74.95,72.90
72.08,73.26,73.76,70.85
73.17,75.52,75.73,73.04
74.92,74.95,75.55,74.44
74.16,75.00,75.39,74.02
74.16,72.88,74.26,72.80
73.18,73.49,74.04,71.98
73.00,70.76,73.00,70.65
70.77,70.18,71.56,68.69
70.08,69.67,70.60,69.47
70.09,72.68,72.68,70.05
73.59,72.25,73.79,72.03
71.71,71.57,71.95,70.65
72.24,71.47,72.45,71.44
71.92,71.64,72.12,70.66
71.53,71.13,72.15,70.83
71.34,70.97,71.60,70.53
71.20,71.85,72.21,71.16
71.24,73.00,73.58,71.09
73.43,73.51,74.59,73.34
73.26,73.30,73.63,72.69
73.29,72.19,73.99,72.09
72.36,72.60,72.73,71.35
71.41,71.32,71.74,70.82
71.30,71.44,72.01,70.76
71.36,70.91,71.78,70.14
70.43,71.09,71.14,69.67
73.37,73.26,73.56,72.48
73.72,74.27,74.46,73.01
74.40,75.57,75.57,74.18
75.02,74.74,75.70,74.69
74.36,73.80,74.46,73.25
73.68,73.05,73.81,72.64
73.18,72.73,73.76,72.34
72.72,72.16,72.94,71.69
71.75,72.00,72.20,71.22
72.24,74.28,74.50,72.21
74.02,74.31,74.52,73.49
74.50,74.87,75.08,74.05
74.82,74.88,75.16,74.65
74.95,75.80,75.89,74.78
75.18,74.59,75.34,74.32
73.08,73.74,74.23,73.02
73.62,73.50,74.00,73.09
73.93,77.76,78.36,73.82
78.50,80.13,81.29,78.50
80.59,82.76,83.20,80.42
82.69,82.09,82.71,81.71
82.01,81.15,82.53,81.09
81.37,81.23,81.73,80.58
80.77,81.15,81.68,80.07
82.17,82.24,83.12,81.89
82.58,82.99,83.21,82.58
83.27,84.35,84.85,83.14
84.01,84.22,84.54,83.78
84.13,84.38,84.72,83.94
84.22,84.74,84.85,84.13
84.47,84.82,84.93,83.99
85.20,84.46,85.24,84.22
84.46,84.38,84.93,84.17
84.52,85.90,86.10,84.50
85.76,85.93,85.96,85.52
85.87,86.12,86.58,85.81
86.40,85.77,86.92,85.65
85.06,84.76,85.40,84.47
84.78,83.83,84.80,83.26
84.11,84.16,84.25,83.63
84.24,83.61,84.42,83.18
83.95,83.44,84.00,83.14
83.50,83.10,83.50,82.55
82.67,82.56,82.86,82.08
83.02,82.71,83.21,82.19
82.43,82.50,82.64,81.87
82.21,81.85,82.75,80.02
82.30,83.90,83.97,82.27
83.78,84.50,84.52,83.36
84.42,84.44,84.95,83.93
84.67,84.87,85.24,84.55
84.97,85.43,85.80,84.97
85.49,85.86,86.09,84.85
86.61,87.70,88.23,86.55
87.72,85.27,87.87,85.20
85.27,83.43,85.27,83.43
83.44,85.12,85.40,82.89
82.82,82.76,83.64,82.11
83.22,82.07,83.44,82.05
81.90,84.24,84.90,81.73
84.78,83.88,84.91,83.82
83.28,83.49,83.91,82.82
84.24,84.04,84.85,83.42
83.74,82.89,83.78,82.28
82.98,84.18,84.34,82.75
84.18,85.57,85.60,84.17
85.43,85.92,86.28,85.06
86.49,87.29,87.60,86.34
87.92,88.88,89.26,87.90
88.81,88.98,89.22,88.08
88.68,88.43,89.36,88.11
88.26,88.01,88.72,87.92
88.50,88.36,88.89,88.18
88.17,88.71,88.78,88.02
88.68,89.68,89.68,88.32
89.34,91.15,91.17,89.29
91.51,90.78,91.70,90.37
90.46,90.57,91.70,90.06
90.14,89.00,90.21,88.10
88.12,88.78,89.10,87.81
88.22,88.47,88.67,86.33
90.41,93.53,94.78,90.02
92.96,92.54,93.51,91.92
92.53,92.08,92.79,91.58
91.60,92.06,92.29,91.56
92.08,94.25,94.27,91.68
94.49,94.15,94.83,93.94
94.04,93.53,94.16,93.39
93.95,93.75,94.15,93.12
92.83,92.27,93.54,91.54
92.40,90.39,92.41,90.39
90.03,89.86,90.91,89.33
90.23,91.13,91.30,89.79
90.69,91.91,92.99,90.50
92.12,90.77,92.26,90.71
90.69,90.38,92.27,89.96
90.42,90.11,90.43,89.30
90.94,92.80,92.82,90.78
92.70,92.58,93.47,92.00
92.44,92.69,92.91,91.91
92.86,93.37,93.88,92.78
93.24,92.82,93.24,92.12
93.06,92.52,93.20,92.24
92.28,92.99,93.14,91.55
93.31,93.39,93.61,92.78
93.24,93.34,93.78,92.37
93.08,91.83,93.41,91.51
91.49,93.62,94.45,91.34
94.58,97.50,98.93,94.54
98.45,100.19,100.85,98.32
100.12,98.73,100.78,98.42
99.23,101.09,101.11,99.04
101.35,100.40,102.21,99.80
100.66,100.06,100.84,99.74
99.98,99.92,100.64,99.41
99.82,99.83,100.14,99.41
100.08,99.55,100.49,98.68
99.53,100.30,100.45,98.71
99.81,100.80,101.29,99.07
100.78,102.63,102.80,99.57
101.46,101.72,102.47,101.12
101.37,101.84,102.02,101.06
101.95,101.18,102.29,100.67
101.12,101.66,101.83,100.31
101.33,100.78,101.55,100.71
100.79,101.62,102.24,100.60
104.00,105.60,106.96,103.82
105.51,106.27,107.02,105.06
106.19,107.32,107.86,106.19
106.94,107.28,107.57,106.42
106.73,109.14,109.16,106.71
108.77,109.72,110.05,108.26
109.91,110.71,110.93,108.74
110.90,111.30,111.90,110.51
111.27,111.06,111.53,110.36
110.18,110.62,110.67,109.82
110.07,111.11,111.44,109.87
111.40,110.33,111.63,110.28
109.71,110.19,110.49,109.37
109.66,110.96,111.13,109.64
110.64,111.10,112.02,110.63
110.79,113.07,113.25,110.25
112.57,111.94,113.00,111.18
111.84,112.01,113.20,111.75
111.85,115.92,118.07,111.13
114.32,114.62,115.04,113.02
114.44,115.53,116.41,114.01
116.19,116.08,116.45,115.35
114.67,113.71,115.88,113.69
113.93,113.74,114.82,113.67
113.15,113.63,113.79,112.53
113.47,113.53,114.17,112.51
113.20,113.42,113.42,112.57
113.12,115.51,115.75,113.08
115.44,117.51,117.71,115.09
117.28,118.15,118.74,117.28
118.10,119.41,119.48,117.48
119.00,118.87,119.43,118.69
118.14,119.46,119.50,118.03
119.18,117.88,119.87,117.69
117.53,116.89,117.60,116.19
117.19,118.31,118.71,116.64
118.64,117.22,119.45,116.84
117.34,117.75,118.09,116.40
117.48,121.70,122.22,117.24
121.31,121.52,121.97,120.89
121.15,123.52,124.02,120.60
123.56,125.24,125.95,122.98
126.04,125.90,127.80,125.74
126.50,125.83,127.68,125.65
126.10,127.21,127.62,125.92
128.19,126.09,128.78,125.57
126.31,126.93,127.58,125.97
127.08,126.69,127.90,126.00
126.69,126.92,127.19,125.93
127.10,127.19,127.25,125.51
127.21,127.05,128.39,126.93
126.00,126.06,126.98,125.40
126.01,126.17,126.81,125.21
126.78,128.64,128.80,126.64
127.86,126.11,128.37,126.05
126.52,126.44,127.31,125.93
127.41,125.47,127.95,124.89
125.83,127.38,127.60,125.78
127.36,126.90,128.23,126.22
127.22,130.47,130.81,127.09
130.68,126.96,130.68,126.86
127.57,124.42,127.99,123.85
124.13,120.80,124.89,120.35
120.64,120.17,120.88,118.78
116.85,120.82,121.27,115.60
120.68,122.89,123.06,120.37
123.55,120.90,123.88,120.76
121.28,122.55,122.83,120.92
122.72,123.38,124.86,121.87
123.00,123.84,124.56,122.15
122.73,118.21,123.53,118.18
119.31,121.33,121.41,119.05
119.97,118.60,120.30,117.31
119.00,119.51,120.53,117.73
119.49,120.91,121.70,119.03
121.09,122.23,123.25,120.42
122.73,122.77,125.22,121.21
123.59,121.71,124.29,121.11
123.30,122.99,123.53,121.87
122.93,123.58,124.07,122.76
123.81,124.61,125.13,123.34
124.61,124.62,124.70,123.00
124.59,122.20,124.70,121.66
122.40,125.66,126.05,122.18
126.78,126.11,129.07,125.89
126.73,126.80,127.56,125.89
127.45,129.20,129.63,127.35
128.68,131.20,131.31,128.68
131.04,128.13,132.66,127.81
127.54,128.60,129.37,127.45
129.01,129.92,130.88,127.16
129.76,134.64,134.76,129.19
133.71,134.41,135.40,133.66
134.18,136.06,137.77,134.18
134.37,138.46,138.71,134.18
138.39,137.26,139.99,136.75
136.86,136.42,138.61,136.06
136.22,134.71,139.25,134.34
133.93,132.87,133.93,131.38
131.84,133.84,133.97,131.60
134.41,134.03,136.79,133.94
133.19,133.82,134.64,131.38
134.87,134.78,136.65,134.40
133.72,131.99,134.76,131.98
133.33,131.87,133.50,131.64
124.79,127.31,129.52,124.47
124.79,121.76,126.48,121.20
120.91,125.66,125.83,120.05
126.17,126.68,129.08,125.80
126.60,124.49,127.57,124.10
122.39,123.25,124.88,122.22
124.56,122.73,125.07,122.50
122.47,124.47,124.74,121.21
124.27,123.74,125.16,122.72
124.64,122.75,124.82,122.10
123.08,124.55,124.69,122.17
124.35,124.07,125.72,123.77
