IHE,iShares U.S. Pharmaceutical ETF,NASDAQ
61.44,61.11,61.60,60.95
61.30,61.31,61.40,61.22
61.82,62.14,62.28,61.80
62.01,62.08,62.08,61.76
62.12,62.07,62.18,61.77
61.62,61.41,61.62,61.32
61.93,61.97,62.10,61.76
62.07,61.77,62.07,61.72
61.35,61.63,61.70,60.95
60.96,60.99,61.34,60.81
61.80,61.83,61.95,61.69
61.88,62.13,62.15,61.88
61.84,62.48,62.51,61.84
62.41,62.48,62.62,62.38
62.76,62.66,62.96,62.54
62.71,62.71,62.95,62.51
62.82,62.84,62.92,62.70
63.02,63.45,63.54,62.90
63.70,63.30,63.70,63.29
63.64,64.00,64.06,63.62
63.93,64.29,64.54,63.93
64.32,64.90,64.93,64.21
64.99,64.78,64.99,64.57
64.85,64.94,65.12,64.68
65.10,64.96,65.10,64.95
65.01,64.62,65.01,64.61
64.59,64.68,64.87,64.59
64.68,64.63,64.72,64.27
64.71,64.46,64.71,64.39
64.48,64.38,64.52,64.34
64.25,64.11,64.41,64.10
64.03,64.04,64.15,63.92
64.42,64.59,64.92,64.40
64.95,64.41,64.95,64.11
64.06,64.69,64.73,64.06
64.99,64.88,64.99,64.63
64.97,64.88,65.00,64.40
64.59,64.85,64.85,64.44
64.88,64.91,65.04,64.80
65.01,65.12,65.28,65.01
65.00,64.84,65.00,64.69
64.76,64.76,64.78,64.57
64.68,65.01,65.05,64.68
65.05,64.04,65.05,63.99
64.09,64.16,64.24,63.90
64.58,63.89,64.58,63.89
63.94,64.18,64.29,63.94
64.00,64.18,64.21,63.87
64.29,64.44,64.60,64.29
64.48,64.49,64.53,64.25
64.43,63.05,64.43,63.00
63.12,63.21,63.46,62.99
63.70,64.13,64.28,63.65
63.89,63.83,63.92,63.76
63.79,64.20,64.20,63.37
64.19,64.33,64.38,64.02
64.44,64.29,64.61,64.20
64.12,64.27,64.27,64.07
64.17,64.20,64.25,64.03
63.99,64.24,64.40,63.99
64.13,64.31,64.33,63.93
64.65,64.53,64.65,64.28
64.41,64.57,64.65,64.38
64.79,65.01,65.12,64.79
64.80,65.28,65.28,64.80
65.22,64.93,65.44,64.89
64.65,63.94,64.65,63.78
63.87,63.18,63.87,63.16
62.81,62.79,62.93,62.51
63.10,63.54,63.54,63.01
63.58,64.40,64.61,63.58
64.64,63.86,64.64,63.77
63.53,64.01,64.09,63.53
64.50,65.07,65.10,64.43
65.08,64.73,65.10,64.39
65.03,64.30,65.03,63.82
64.24,65.08,65.21,64.22
65.03,65.15,65.27,64.91
64.93,64.35,64.93,64.28
63.99,64.59,64.73,63.99
64.30,64.10,64.61,63.97
62.62,63.42,63.62,62.62
63.15,62.34,63.30,62.15
63.23,62.99,63.23,62.73
63.61,63.29,63.61,63.10
64.05,63.74,64.07,63.74
63.90,63.80,63.95,63.73
63.38,63.83,63.91,63.28
64.09,64.48,64.57,63.86
64.33,64.68,65.00,64.29
64.68,64.42,64.72,64.42
64.26,64.96,65.00,64.26
65.46,66.40,66.57,65.46
66.14,66.37,66.52,66.14
66.77,66.98,67.01,66.47
67.10,67.46,67.64,67.10
67.40,68.16,68.27,67.40
68.45,68.43,68.64,68.36
68.50,68.37,68.50,68.20
68.61,68.53,68.77,68.53
68.73,68.91,69.16,68.73
68.86,68.81,68.97,68.68
68.96,68.93,69.00,68.65
68.70,69.31,69.37,68.69
69.60,70.10,70.10,69.58
69.60,69.26,69.60,68.84
69.66,69.53,69.72,69.07
70.42,70.29,70.42,70.11
70.48,70.31,70.48,69.99
70.34,70.21,70.34,69.80
70.65,70.94,71.05,70.59
71.03,71.95,71.98,70.96
71.88,72.14,72.15,71.81
72.49,71.98,72.49,71.97
72.55,72.38,72.87,72.31
72.33,71.90,72.33,71.55
71.96,71.59,71.96,71.16
71.07,71.25,71.78,70.93
72.02,71.90,72.25,71.78
72.02,72.44,72.58,71.90
72.65,73.01,73.05,72.44
72.91,72.64,73.09,72.36
72.33,73.64,73.71,72.24
73.74,73.15,73.74,72.84
72.94,72.85,73.49,72.83
72.79,72.72,72.79,72.21
72.78,73.18,73.22,72.72
73.42,72.99,73.42,72.50
72.83,72.63,73.05,72.45
72.42,71.93,72.42,71.60
72.25,71.72,72.31,71.72
71.53,72.20,72.28,71.50
72.13,72.50,72.54,71.98
72.76,72.80,72.80,72.62
73.40,73.54,73.54,73.00
73.39,72.34,73.50,72.34
72.29,72.34,72.45,71.81
72.00,71.61,72.01,71.51
71.50,70.97,71.58,70.90
71.29,71.60,71.88,71.18
71.51,71.33,71.65,71.06
71.40,71.80,72.22,71.25
71.43,70.89,71.54,70.82
71.00,71.16,71.55,71.00
71.79,71.84,72.12,71.57
71.29,70.88,71.67,70.75
70.89,70.69,71.15,70.40
71.51,70.74,71.52,70.53
70.56,71.42,71.54,70.56
71.78,72.22,72.34,71.78
72.03,71.85,72.32,71.85
71.47,72.22,72.22,71.06
71.94,71.25,71.94,71.15
71.43,71.59,71.73,71.09
71.83,72.55,72.59,71.71
72.82,72.98,73.04,72.51
73.34,73.39,73.46,73.25
73.38,74.20,74.20,73.15
74.45,74.25,74.45,74.05
74.24,74.59,74.75,74.24
75.18,74.83,75.18,74.55
74.42,74.80,74.80,74.31
74.17,73.88,74.35,73.69
73.58,73.87,74.51,73.58
74.32,74.40,74.97,74.20
74.48,74.33,75.01,74.29
74.40,74.16,74.40,73.76
73.85,73.38,73.85,72.98
73.69,74.13,74.24,73.58
74.32,73.60,74.32,73.44
73.91,74.48,74.64,73.91
74.60,74.49,74.65,74.30
73.94,73.53,74.13,73.49
73.53,72.97,73.53,72.91
72.74,71.93,72.99,71.86
71.85,71.89,72.74,71.85
71.40,71.51,71.87,70.50
71.97,70.53,72.21,69.90
70.14,68.52,70.43,68.52
68.44,68.83,68.87,67.17
68.01,65.46,68.01,65.42
65.65,65.53,66.17,63.70
63.35,62.20,64.82,62.00
63.18,65.02,65.02,61.12
63.74,62.62,64.46,62.62
63.53,65.17,65.68,62.90
65.75,65.66,66.29,65.16
66.23,67.01,67.01,66.17
66.67,66.83,67.26,65.99
67.53,66.80,67.63,66.27
64.68,64.16,65.64,63.72
63.60,63.96,64.74,63.60
65.31,63.94,65.31,63.84
64.22,66.00,66.20,64.07
65.94,66.97,66.97,65.90
67.28,65.55,67.28,65.38
65.00,66.56,66.77,64.17
67.30,68.46,68.53,67.30
68.23,69.03,69.31,68.00
69.63,69.31,69.85,68.73
69.66,68.47,69.95,68.40
67.53,66.93,68.08,66.70
65.63,67.21,67.24,65.27
68.20,69.01,69.07,68.01
68.88,68.66,69.32,68.44
68.04,67.03,68.04,66.50
66.18,66.78,66.79,65.80
66.92,67.20,67.43,66.69
67.66,68.07,68.32,67.18
68.44,68.49,68.53,67.96
68.93,68.77,69.00,68.56
68.14,68.44,68.73,67.82
68.71,68.97,69.60,68.68
69.07,67.78,69.16,67.78
65.45,65.84,66.42,65.00
65.27,65.99,66.28,65.27
66.59,66.69,66.69,65.56
67.99,67.61,68.47,67.28
67.52,66.38,68.14,66.38
67.60,67.00,67.75,66.00
66.59,66.36,67.50,66.35
65.80,64.22,66.83,64.22
63.97,65.39,65.41,63.21
65.80,66.22,66.29,65.17
66.39,67.33,67.33,66.00
67.97,66.96,67.97,66.88
68.30,68.78,68.83,68.18
68.44,68.81,69.01,68.44
69.32,69.07,69.59,69.00
68.84,69.32,69.46,68.42
70.10,69.99,70.10,69.41
69.74,68.73,69.74,68.54
68.43,68.93,69.40,67.67
69.08,68.11,69.22,68.11
68.62,68.35,68.62,67.50
69.28,69.21,69.32,68.60
69.46,70.28,70.38,69.08
70.09,68.65,70.09,68.65
69.49,70.14,70.30,68.72
71.69,71.61,71.90,70.90
71.84,71.74,71.89,71.35
71.12,70.33,71.12,70.32
68.78,69.20,70.09,68.55
69.99,69.81,69.99,69.22
71.44,71.84,71.86,70.60
71.06,70.55,71.27,70.31
70.74,71.07,71.14,69.85
71.09,71.39,71.48,70.50
70.02,69.13,70.43,69.00
70.18,69.84,70.18,69.06
70.48,71.23,71.37,70.48
70.67,70.71,70.84,70.41
70.75,71.04,71.29,70.19
70.78,70.04,71.16,69.81
69.82,69.36,70.15,68.92
69.99,69.61,70.01,69.52
70.48,70.12,70.48,69.79
70.00,70.21,70.46,69.84
69.96,69.27,69.96,69.12
68.59,68.52,69.06,68.52
69.81,70.98,71.07,69.81
71.14,71.41,71.69,71.01
73.03,73.83,73.83,72.97
73.85,73.73,74.20,73.60
74.42,73.58,74.42,73.41
74.39,73.76,74.49,73.42
74.18,74.08,74.53,73.84
73.99,74.38,74.63,73.52
73.95,73.12,74.21,73.05
73.21,74.47,74.69,73.21
74.38,73.71,74.38,73.23
74.25,73.41,74.64,73.21
73.35,73.38,73.62,72.90
74.11,74.54,74.73,73.85
75.00,74.31,75.00,74.17
74.32,74.14,75.28,73.99
75.14,76.02,76.07,75.11
76.10,76.48,76.52,75.56
76.48,76.39,76.61,76.01
76.57,76.85,76.85,76.44
77.00,77.08,77.25,76.79
77.30,76.14,77.30,75.98
76.64,76.61,76.76,75.70
76.77,76.45,76.80,76.45
77.67,76.90,77.67,76.80
77.35,76.36,77.35,76.33
76.25,76.50,76.57,75.38
77.05,76.33,77.05,76.29
76.81,77.04,77.08,76.25
77.82,77.87,77.92,77.51
77.87,77.64,77.87,77.43
77.89,77.95,77.98,77.44
77.71,77.70,77.79,76.97
78.45,77.95,78.84,77.86
77.92,78.43,78.43,77.87
78.60,78.33,78.60,78.17
78.40,77.85,78.40,77.73
77.67,77.43,77.93,77.14
77.07,77.15,77.19,76.86
77.11,77.74,77.90,76.75
78.04,77.81,78.41,77.50
77.74,78.39,78.47,77.69
77.84,77.93,77.93,77.49
78.15,77.90,78.32,77.43
78.45,78.90,79.26,78.45
78.85,78.80,78.86,78.40
79.22,79.41,79.56,79.22
79.20,79.52,79.62,79.18
79.46,79.37,79.63,79.06
79.34,79.08,79.34,78.69
79.07,78.64,79.07,78.27
78.23,78.17,78.23,77.79
78.16,79.06,79.18,78.16
79.05,79.08,79.42,78.73
79.47,78.72,79.47,78.61
78.94,79.61,79.76,78.71
79.97,79.52,79.97,79.38
79.96,78.52,79.96,78.35
78.30,78.49,78.68,78.20
79.21,79.97,80.15,79.21
80.15,80.51,80.57,79.91
80.16,80.90,81.10,79.92
80.82,81.03,81.30,80.82
81.13,80.73,81.49,80.66
80.64,81.31,81.46,80.64
81.47,80.81,81.47,80.56
80.97,80.70,80.97,80.47
80.00,79.12,80.04,78.89
79.70,79.52,79.70,79.20
80.19,80.44,80.72,80.19
80.58,80.71,81.17,80.58
80.87,80.79,81.00,80.57
81.23,81.61,81.61,80.88
81.45,81.30,81.69,81.12
81.38,81.55,81.70,81.29
81.50,81.35,81.75,81.32
81.33,81.70,81.96,81.33
81.51,81.17,81.51,81.00
81.24,81.55,81.76,81.16
81.09,81.53,81.64,81.09
81.66,82.00,82.06,81.42
82.63,83.00,83.06,82.63
83.14,83.09,83.55,83.09
83.18,82.77,83.38,82.37
82.42,82.70,82.85,82.00
83.06,83.06,83.31,82.86
83.06,83.68,83.79,82.91
83.52,83.85,83.96,83.41
83.18,83.38,83.53,82.97
83.02,83.37,83.42,83.02
82.60,82.18,82.60,81.95
82.05,80.23,82.05,80.22
81.00,80.61,81.00,80.45
80.80,80.76,80.88,80.65
80.63,80.14,80.63,80.03
80.27,80.15,80.43,79.70
80.54,81.23,81.53,80.54
81.05,81.02,81.20,80.91
81.30,80.76,81.56,80.41
81.11,81.49,81.80,81.06
81.17,80.90,81.17,80.46
80.87,81.30,81.38,80.83
82.09,82.69,82.85,81.98
82.96,83.21,83.42,82.82
83.94,84.05,84.36,83.55
84.89,83.95,84.89,83.71
84.13,83.76,84.33,83.34
83.53,83.75,83.77,83.24
84.19,83.13,84.19,82.93
82.98,82.17,82.98,82.12
81.94,82.75,82.92,81.86
82.30,82.59,82.65,81.45
82.49,81.89,82.53,81.43
82.23,82.38,82.77,82.16
82.29,82.84,83.12,82.07
82.28,82.56,82.86,81.95
82.70,81.96,82.70,81.67
82.19,82.44,82.62,82.16
82.43,80.96,82.43,80.96
81.36,80.21,81.36,79.63
80.33,81.22,81.28,80.32
81.35,81.33,81.99,81.01
81.01,80.78,81.08,80.00
80.99,81.60,81.67,80.94
81.56,81.81,82.11,81.56
82.18,82.24,82.73,81.83
81.66,81.45,81.69,81.35
81.46,81.14,81.64,80.65
80.05,79.50,80.23,79.30
79.67,79.99,80.05,79.15
79.82,80.49,80.59,79.62
80.90,81.51,81.56,80.90
82.27,81.21,82.27,81.21
81.16,82.05,82.16,81.00
82.58,81.64,82.58,81.64
81.42,82.08,82.11,80.86
82.02,81.77,82.50,81.67
81.92,82.67,82.75,81.80
83.03,83.43,83.53,82.98
83.26,83.97,84.05,83.26
84.09,84.40,84.65,84.05
84.36,84.31,84.76,84.01
84.43,83.53,84.69,83.39
83.83,84.74,84.74,83.75
83.76,83.74,83.92,83.40
83.73,83.91,84.09,83.67
84.17,85.10,85.23,84.17
84.65,84.90,84.94,83.95
85.84,86.61,86.61,85.84
86.23,87.53,87.54,86.23
87.68,87.94,88.14,87.31
88.08,87.60,88.08,87.39
87.13,87.05,87.13,86.61
87.61,87.65,87.69,87.25
87.93,86.46,88.00,86.29
86.74,86.09,86.74,85.59
86.30,86.84,87.10,85.62
87.18,87.58,87.74,87.07
87.86,88.22,88.39,87.74
88.42,89.17,89.46,88.00
89.29,89.31,89.83,89.20
89.59,89.15,89.59,88.80
88.79,87.98,88.79,87.78
87.14,86.96,87.14,86.39
86.63,85.78,86.89,85.38
86.45,86.00,86.45,85.71
87.52,87.23,87.67,87.21
87.85,88.76,89.26,87.73
88.76,88.02,88.76,87.95
88.25,87.34,88.56,87.30
87.90,86.86,88.09,86.86
85.81,85.71,86.07,85.18
86.81,86.65,87.14,86.58
86.92,86.84,87.11,86.62
87.04,86.46,87.04,86.46
86.50,85.94,86.50,85.89
85.93,85.98,86.19,85.76
85.75,86.53,86.54,85.75
86.52,86.35,86.52,85.83
86.64,86.63,86.73,86.47
86.74,87.00,87.15,86.63
87.27,86.76,87.27,86.50
86.75,86.33,86.75,85.82
86.43,86.35,86.55,86.10
86.35,85.86,86.76,85.75
85.77,86.10,86.29,85.75
86.00,85.94,86.14,85.71
86.17,86.98,87.19,86.17
87.01,86.96,87.31,86.72
86.99,86.91,87.17,86.67
86.95,87.13,87.51,86.68
86.90,86.96,87.12,86.55
87.07,86.96,87.37,86.74
87.27,88.31,88.50,87.27
88.46,88.51,88.63,88.18
88.89,89.70,89.86,88.89
89.94,89.45,90.00,89.27
89.44,89.28,89.62,89.26
89.71,89.73,89.86,89.53
89.92,89.85,90.14,89.57
89.90,90.69,90.96,89.62
91.11,89.92,91.11,89.81
89.75,90.52,90.60,89.75
90.59,91.01,91.18,90.50
91.44,90.31,91.44,90.08
90.28,90.83,90.86,90.25
91.35,91.20,91.64,91.00
91.29,90.68,91.29,90.47
90.46,89.69,90.82,89.67
89.72,89.22,89.77,89.00
89.36,89.74,89.80,89.28
89.51,89.63,89.81,89.14
90.04,90.00,90.49,89.67
90.73,90.20,90.73,89.76
90.35,90.66,90.86,90.00
91.37,91.03,91.51,90.69
91.64,91.15,91.64,90.80
90.81,91.15,91.18,90.50
91.04,90.22,91.18,90.12
90.87,89.77,90.87,89.57
90.08,89.87,90.38,89.84
90.16,89.81,90.22,89.55
90.08,91.02,91.07,90.08
91.33,91.88,91.95,91.33
92.10,92.08,92.21,91.86
92.37,91.67,92.37,91.45
91.46,89.67,91.46,89.40
90.21,89.22,90.21,88.77
88.13,88.30,88.49,87.46
88.57,88.15,88.57,88.13
88.30,88.73,88.97,88.30
88.70,88.05,88.83,87.80
88.84,86.68,88.84,86.26
86.62,87.44,87.75,86.57
87.56,86.55,87.88,86.54
86.53,86.69,86.92,86.00
86.87,86.56,87.11,86.48
86.04,85.24,86.04,84.57
85.23,84.27,85.25,84.22
84.26,84.80,85.32,83.73
85.20,84.89,85.36,84.81
84.53,84.68,85.31,84.47
84.25,83.22,84.70,83.03
82.99,82.51,83.45,82.17
82.60,83.08,83.26,82.00
83.80,84.07,84.23,83.80
84.09,84.57,84.60,83.90
84.72,84.91,84.93,84.66
85.19,85.78,85.79,85.19
85.54,85.76,85.78,85.06
85.72,85.47,85.94,85.47
85.32,85.90,85.94,84.78
86.13,86.79,87.02,86.13
86.77,86.78,86.90,86.57
87.10,86.58,87.11,86.42
86.49,86.64,86.98,86.21
86.67,86.63,86.98,86.20
86.67,86.46,86.71,86.35
86.51,86.59,86.61,86.04
86.55,87.03,87.29,86.55
87.23,87.97,88.07,87.23
88.09,87.56,88.18,87.46
87.24,86.34,87.24,86.25
86.29,85.67,86.38,85.64
85.70,86.42,86.60,85.70
86.62,87.27,87.41,86.40
86.95,86.10,86.95,86.10
85.93,86.12,86.37,85.81
85.40,85.69,85.82,85.29
85.45,85.47,85.62,85.36
85.51,85.13,85.54,85.05
85.09,84.92,85.48,84.07
84.36,84.00,84.76,83.98
83.86,85.02,85.02,83.58
86.53,86.45,86.61,86.01
86.74,87.38,87.61,86.40
87.54,88.07,88.23,87.44
88.10,88.69,88.73,88.00
88.54,89.11,89.27,88.54
89.94,90.14,90.14,89.36
90.50,90.75,90.75,90.10
90.75,90.15,90.75,90.08
90.11,90.21,90.56,90.01
89.91,90.93,90.95,89.91
90.86,90.28,90.86,90.24
90.74,90.44,90.74,90.20
90.44,90.55,90.56,90.03
90.73,90.64,90.73,90.00
90.57,90.05,90.61,89.99
90.10,90.49,90.95,89.90
90.82,91.20,91.20,90.51
91.25,90.49,91.25,90.49
90.52,91.23,91.29,90.47
91.17,90.97,91.34,90.61
91.00,91.19,91.53,91.00
91.81,91.82,92.02,91.41
91.61,91.04,91.61,91.03
91.34,91.88,92.21,91.34
91.78,92.06,92.09,91.68
91.94,91.45,92.06,90.90
91.50,91.83,91.90,91.20
91.90,91.94,92.06,91.83
92.00,91.75,92.04,91.75
91.72,91.85,91.91,91.50
91.13,91.84,91.92,91.02
92.00,92.07,92.29,91.84
92.22,93.26,93.26,92.22
93.25,92.90,93.54,92.90
92.77,92.17,92.77,91.84
92.25,92.57,92.57,92.10
92.16,91.22,92.36,91.22
91.38,91.11,91.42,90.55
91.25,92.19,92.52,91.25
92.37,92.37,92.87,92.27
92.00,92.70,92.70,91.80
92.81,93.95,93.95,92.64
93.94,93.95,94.39,93.72
94.21,94.41,94.52,94.00
94.48,94.45,94.66,94.25
94.66,94.78,94.94,94.25
94.98,95.28,95.28,94.85
95.57,95.73,95.73,95.35
95.35,95.07,95.35,94.89
95.34,95.50,95.50,95.06
95.40,95.30,95.46,94.96
95.49,94.68,95.49,94.41
94.70,94.47,94.91,93.94
94.69,95.23,95.28,94.69
95.16,94.85,95.38,94.79
94.95,94.89,95.12,94.81
95.00,94.28,95.04,94.14
94.74,95.00,95.02,94.66
94.88,95.17,95.17,94.37
95.44,95.94,96.00,95.44
96.00,95.51,96.02,95.23
95.89,96.66,96.83,95.89
96.83,95.99,96.83,95.70
96.20,96.19,96.43,95.66
95.37,95.48,95.59,94.99
95.65,95.52,95.65,94.77
95.65,95.72,96.17,95.54
96.21,96.87,96.89,96.05
96.95,97.58,97.92,96.95
97.55,97.73,97.75,97.25
97.62,95.98,97.77,95.98
96.60,97.35,97.35,96.35
97.21,97.84,98.01,96.87
98.31,97.46,98.31,97.16
97.84,98.97,98.97,97.84
99.17,99.26,99.40,98.45
99.31,100.03,100.24,99.31
100.28,98.60,100.28,98.60
98.93,98.87,99.28,98.20
98.80,99.36,99.36,98.47
99.52,99.57,99.92,99.46
99.48,99.08,99.48,98.64
98.58,96.97,98.58,96.94
97.68,98.02,98.15,97.43
98.98,98.34,98.98,98.26
98.29,97.74,98.29,97.74
97.95,97.81,98.00,97.41
97.78,97.56,98.04,97.31
97.57,97.71,98.13,97.50
97.90,99.56,99.80,97.77
99.79,101.11,101.11,99.65
101.18,102.44,102.54,101.18
102.45,102.87,103.42,102.42
102.57,101.32,102.57,101.29
101.70,101.76,101.76,100.91
101.93,101.35,102.49,101.31
101.52,102.26,102.33,100.89
102.92,102.12,104.00,101.78
101.31,102.79,102.92,101.06
102.11,102.65,102.75,101.96
103.70,103.79,104.63,103.16
103.20,102.23,103.44,101.71
102.55,102.95,103.17,102.55
102.70,100.80,103.02,100.80
101.38,101.33,101.40,100.33
101.51,100.39,101.92,99.77
100.06,99.22,101.04,99.01
99.12,100.66,100.66,98.83
101.17,101.89,102.01,101.17
102.66,102.38,102.66,101.75
102.19,102.25,102.93,101.77
103.23,101.42,103.25,101.42
101.23,102.79,102.80,100.69
102.54,102.60,103.00,102.49
103.29,102.62,103.59,102.24
102.67,103.41,103.54,102.67
103.86,102.17,103.86,102.17
