MDYG,SPDR S&P 400 Mid Cap Growth ETF (based on S&P MidCap 400 Growth Index--symbol: MUV),NASDAQ
75.38,75.24,75.47,75.20
75.27,75.19,75.39,75.19
75.00,75.16,75.16,74.60
74.95,75.01,75.01,74.88
75.34,75.27,75.34,75.00
75.48,75.32,75.48,75.32
75.17,75.15,75.17,75.15
75.96,75.77,76.02,75.77
76.19,74.88,76.19,74.50
74.98,75.38,75.38,74.75
75.31,75.19,75.48,75.02
75.36,74.92,75.36,74.12
74.78,75.30,75.39,74.78
75.67,75.56,75.67,75.49
75.90,76.00,76.06,75.89
75.88,75.94,76.07,75.88
75.90,76.26,76.31,75.83
76.27,76.50,76.61,76.27
76.37,75.79,76.45,75.66
74.90,75.04,75.04,74.70
75.37,74.79,75.37,74.75
74.72,75.41,75.47,74.72
74.93,75.08,75.08,74.73
75.33,76.02,76.20,75.33
76.13,76.49,76.58,76.13
76.46,75.17,76.46,74.84
75.34,75.69,76.10,75.27
76.21,76.80,76.88,76.21
76.76,76.69,77.17,76.69
76.85,77.03,77.13,76.80
77.02,77.58,77.72,76.87
78.20,78.21,78.60,78.19
78.37,78.62,78.62,78.28
78.68,78.57,78.86,78.38
78.84,79.04,79.16,78.84
79.85,79.93,79.93,79.85
79.98,80.45,80.47,79.98
80.41,80.12,80.41,79.89
80.56,80.41,80.63,80.32
80.30,80.75,80.80,80.30
80.63,80.59,80.77,80.42
79.82,78.85,80.11,78.71
78.64,77.85,78.66,76.87
78.00,77.88,78.25,77.20
78.21,79.25,79.25,78.21
79.75,79.49,80.04,79.11
79.00,78.00,79.00,78.00
78.07,78.72,78.85,78.07
79.29,80.37,80.37,79.29
79.65,79.62,79.65,79.53
80.05,78.96,80.18,78.48
79.57,79.61,79.89,79.50
79.18,79.31,79.42,79.18
78.21,78.16,78.69,77.76
77.27,78.88,78.88,77.27
78.07,78.21,78.87,77.91
76.37,78.11,78.11,76.15
77.77,77.74,77.82,77.20
78.18,77.58,78.18,77.43
78.19,77.62,78.37,77.50
78.67,79.08,79.29,78.67
79.17,78.63,79.28,78.63
78.01,78.48,78.48,77.72
78.72,79.53,79.62,78.72
79.80,80.50,80.70,79.74
80.40,79.83,80.40,79.71
79.76,80.67,80.70,79.54
80.65,81.47,81.59,80.65
81.58,81.91,81.91,81.58
82.40,82.30,82.50,82.30
82.68,82.36,82.68,82.10
82.45,82.72,83.00,82.45
83.26,82.45,83.26,82.45
82.41,82.31,82.69,81.98
82.39,81.45,82.39,81.45
81.69,81.10,81.71,81.10
80.86,80.59,80.86,80.20
80.92,80.38,81.01,80.38
80.47,80.90,80.90,80.47
81.15,81.41,81.56,81.15
80.79,80.15,80.79,79.62
80.45,80.60,80.65,80.24
81.87,82.34,82.34,81.87
83.04,83.10,83.11,82.65
83.17,82.95,83.17,82.66
83.20,83.73,83.98,83.20
83.60,83.97,83.97,83.39
84.58,84.51,84.65,84.35
84.60,84.79,84.90,84.52
85.09,84.46,85.09,84.27
84.06,82.97,84.06,82.76
83.13,82.78,83.16,82.21
81.73,82.17,82.94,81.64
83.08,82.61,83.38,82.12
82.92,83.35,83.35,82.92
83.93,84.27,84.27,83.93
84.10,83.62,84.24,83.27
83.36,84.19,84.28,82.93
83.99,83.55,84.20,83.28
83.06,82.72,83.52,82.72
81.96,81.80,82.20,81.42
82.16,83.19,83.20,82.16
83.49,83.39,83.64,82.69
82.95,82.53,82.95,82.53
81.40,81.36,81.58,81.01
81.66,81.27,81.66,80.88
80.74,81.99,82.01,80.72
81.63,82.69,82.79,81.63
83.06,83.04,83.30,83.04
83.89,83.73,83.89,83.25
83.46,81.94,83.46,81.94
81.92,81.95,82.55,81.64
81.61,80.82,81.61,80.47
80.50,79.51,80.75,79.51
79.74,80.18,80.25,79.60
79.61,78.95,79.61,78.95
79.02,79.64,79.66,78.82
78.83,78.00,78.83,77.99
78.02,78.02,78.61,77.49
78.60,79.26,79.53,78.60
78.68,78.03,79.13,78.00
78.05,77.95,78.37,77.28
78.24,77.78,78.34,77.74
78.58,78.57,78.58,78.44
79.84,80.30,80.32,79.84
80.30,80.30,80.30,80.30
78.33,79.83,79.83,78.28
80.22,79.50,80.22,79.35
79.96,80.07,80.07,79.71
80.90,81.13,81.20,80.90
81.71,81.82,81.91,81.62
82.61,82.51,82.70,82.41
82.48,83.66,83.67,82.48
83.96,83.85,83.96,83.56
83.72,84.49,84.64,83.72
85.38,85.44,85.74,85.28
84.64,85.09,85.09,84.39
84.19,83.02,84.24,83.02
83.05,83.06,83.16,82.84
83.44,83.34,84.08,83.34
83.30,81.93,83.75,81.93
81.88,82.35,82.35,81.88
82.03,81.39,82.03,81.09
82.66,82.72,82.72,82.66
83.30,82.74,83.30,82.49
83.18,83.41,83.78,83.15
83.60,84.06,84.06,83.60
83.01,83.45,83.65,82.84
83.18,83.00,83.30,82.74
81.83,80.36,81.83,80.35
80.55,80.30,81.30,80.30
78.84,79.94,80.00,78.29
80.85,79.21,80.90,78.53
78.68,76.87,79.53,76.87
77.29,77.51,77.58,75.00
76.13,73.03,76.13,73.03
73.27,71.54,73.27,69.88
69.15,66.15,69.54,66.15
67.16,69.76,69.81,65.62
68.82,68.23,70.38,68.23
68.41,71.20,71.20,68.41
72.10,72.05,72.47,71.73
72.50,73.43,73.43,72.50
72.55,72.49,72.55,72.49
73.23,71.96,73.45,71.88
69.73,67.72,69.78,67.62
66.70,66.62,68.25,66.62
68.17,66.94,68.18,66.94
67.35,69.74,69.84,67.35
69.26,70.10,70.10,69.26
70.75,68.96,71.10,68.96
70.78,71.00,71.16,70.53
72.05,73.65,73.65,72.05
73.41,74.67,74.67,73.13
75.47,74.21,75.63,74.21
74.35,73.66,75.12,73.37
71.93,71.19,72.25,70.80
68.97,70.42,70.42,68.63
71.86,72.97,72.97,71.86
72.60,72.96,73.08,72.60
70.29,70.26,70.29,70.26
68.95,69.92,69.95,68.94
70.59,71.56,71.96,70.59
72.22,74.01,74.06,72.22
73.48,74.13,74.15,73.28
74.25,74.14,74.25,73.79
72.62,73.29,73.29,72.33
73.61,72.52,74.25,72.52
72.40,71.72,72.40,71.72
68.16,67.16,68.80,66.88
67.42,68.00,68.45,67.36
68.88,69.00,69.00,68.48
71.47,70.97,72.58,70.97
71.13,68.58,71.13,68.58
69.74,68.60,69.74,67.58
67.77,66.85,67.79,66.85
66.75,63.39,66.95,63.39
62.82,62.96,64.41,62.30
66.16,67.00,67.00,66.16
67.14,68.74,68.76,67.14
69.41,68.95,69.46,68.03
70.37,70.54,70.54,69.87
69.98,70.56,70.77,69.98
71.30,71.67,71.98,71.30
71.31,72.00,72.01,70.75
72.75,73.04,73.19,72.43
72.91,71.10,72.91,71.10
71.27,73.10,73.10,70.52
72.61,71.58,72.70,71.58
71.18,71.66,71.66,70.15
73.00,72.94,73.00,72.34
74.46,75.44,75.44,74.46
74.12,74.05,74.77,73.82
74.51,74.29,74.51,73.06
77.35,77.92,77.94,76.65
77.62,77.35,77.75,77.35
76.51,75.75,77.02,75.75
73.70,73.09,73.82,73.00
74.13,74.49,74.62,73.69
74.75,76.05,76.37,74.75
76.14,76.57,76.57,75.18
76.57,76.57,76.57,76.57
77.11,77.15,77.15,75.48
75.31,73.83,75.31,73.83
74.46,73.71,74.46,73.71
74.78,75.66,75.80,74.75
75.37,74.89,75.37,74.89
75.10,75.88,75.88,74.39
75.59,75.97,75.97,75.59
74.42,72.99,74.42,72.99
73.00,73.00,73.00,73.00
71.35,71.63,71.63,70.92
71.55,71.00,71.69,71.00
69.63,69.36,69.63,69.36
69.64,68.83,69.64,68.83
71.10,71.10,71.70,70.99
71.53,71.42,71.53,71.42
74.38,74.39,74.39,74.26
74.49,74.62,75.31,74.36
75.39,74.74,75.39,74.74
76.07,75.81,76.38,75.78
75.52,75.55,75.86,75.13
74.16,75.23,75.29,74.16
74.60,73.39,74.77,73.33
73.99,75.05,75.07,73.99
74.08,73.36,74.15,73.34
74.43,73.58,74.48,73.31
71.68,70.81,71.69,70.55
71.83,71.20,71.83,70.99
71.69,71.81,72.59,71.55
72.32,70.69,72.32,70.69
73.00,73.04,73.04,72.86
72.04,72.56,72.57,71.98
73.09,73.46,73.59,73.09
73.42,73.85,73.89,73.42
73.81,74.38,74.51,73.81
74.29,73.10,74.29,73.10
73.61,73.78,73.82,73.61
73.87,73.69,73.94,73.67
74.94,74.06,75.11,73.90
73.46,73.68,73.69,73.34
73.22,74.20,74.30,72.95
74.07,74.34,74.63,74.07
74.41,74.63,74.67,74.23
75.66,75.70,75.73,75.43
75.51,75.68,75.70,75.51
75.90,75.96,76.10,75.64
75.55,75.65,75.65,75.50
76.13,76.17,76.17,76.13
76.85,76.87,76.92,76.85
77.57,78.01,78.13,77.50
77.84,77.60,77.84,77.55
77.77,77.56,78.19,77.26
77.71,78.04,78.06,77.71
78.18,78.81,78.81,78.17
79.08,78.13,79.08,78.13
78.40,78.63,78.64,78.40
78.06,78.32,78.32,78.02
78.54,78.45,78.60,78.06
78.80,79.74,79.74,78.80
80.01,80.02,80.28,79.92
81.12,81.25,81.35,81.08
81.23,81.27,81.27,81.23
81.21,81.48,81.64,81.16
81.21,81.54,81.63,81.21
81.25,81.82,81.86,80.98
81.01,80.99,81.19,80.98
81.72,81.84,81.93,81.39
81.60,81.87,81.94,81.54
82.04,81.51,82.04,81.42
82.55,82.80,82.86,82.55
83.26,82.67,83.26,82.67
82.93,82.09,82.98,81.99
82.21,82.03,82.45,82.03
82.21,82.21,82.21,82.21
82.73,82.88,83.12,82.73
82.21,83.12,83.13,82.21
82.93,82.72,83.13,82.72
82.82,82.32,82.82,82.32
82.82,82.81,82.82,82.81
82.44,82.30,82.44,82.30
82.00,82.09,82.15,82.00
81.12,80.52,81.12,80.44
80.78,81.14,81.23,80.61
81.98,82.29,82.30,81.98
83.32,82.89,83.32,82.89
82.72,82.77,82.85,82.50
83.02,84.00,84.00,82.86
83.96,83.44,84.16,83.41
83.56,84.03,84.18,83.54
83.82,83.94,84.01,83.82
83.78,84.18,84.36,83.78
83.58,83.56,83.65,83.43
83.62,83.87,83.87,83.43
82.68,82.72,82.72,82.68
82.90,83.25,83.34,82.69
83.97,84.54,84.54,83.97
84.44,84.30,84.55,84.30
84.05,83.10,84.07,83.10
83.08,83.73,83.73,83.08
83.87,83.90,83.90,83.82
83.42,84.45,84.45,83.42
83.93,84.43,84.43,83.69
82.96,83.13,83.13,82.96
83.23,82.90,83.23,82.90
81.73,82.13,82.13,81.60
81.53,79.96,81.53,79.96
80.98,80.96,80.98,80.92
82.22,82.52,82.52,82.22
82.17,81.55,82.17,81.55
81.91,81.44,81.91,81.01
82.81,82.92,82.92,82.79
82.62,82.75,82.75,82.62
82.59,82.10,82.90,82.10
82.70,82.62,82.94,82.62
81.37,81.41,81.41,80.64
81.44,81.36,81.44,81.36
82.54,82.91,82.91,82.54
82.90,83.96,84.06,82.90
83.96,83.96,83.96,83.96
83.96,83.68,83.96,83.40
84.36,84.68,84.69,84.36
83.42,84.14,84.16,83.10
83.91,82.60,83.91,82.60
81.42,81.43,81.43,81.25
81.77,81.71,81.77,81.62
81.02,81.54,81.54,79.86
80.72,81.30,81.31,80.15
81.77,81.47,81.77,81.44
81.79,81.30,81.79,81.30
80.11,80.34,80.97,80.11
80.56,80.02,80.56,80.02
80.44,79.78,80.44,79.78
79.64,77.36,79.64,77.36
77.59,77.09,77.60,77.09
76.64,77.75,77.75,76.64
78.79,78.50,79.05,78.50
77.63,78.22,78.22,77.57
78.90,78.71,78.90,78.71
79.23,79.05,79.34,79.02
79.99,79.79,79.99,79.39
78.55,78.51,78.55,78.51
78.18,78.55,78.55,77.28
77.10,75.88,77.10,75.88
75.95,74.99,75.96,74.79
76.08,76.48,76.48,76.08
77.69,77.73,77.73,77.67
78.64,78.00,78.64,78.00
77.81,77.91,77.91,77.81
78.94,77.30,78.94,77.15
76.77,77.14,77.20,76.28
77.16,76.89,77.20,76.63
76.62,76.40,76.62,76.40
77.20,77.23,77.23,77.20
78.02,78.02,78.02,78.02
78.74,78.71,78.74,78.71
78.51,78.62,78.76,78.23
78.10,76.72,78.10,76.72
76.97,76.69,76.97,76.49
75.79,75.59,75.80,75.20
76.03,76.03,76.03,76.03
76.23,76.23,76.23,76.23
76.23,76.23,76.23,76.23
78.05,78.65,78.74,78.05
79.23,78.83,79.23,78.68
80.00,79.83,80.00,79.83
80.06,80.21,80.25,80.06
79.52,78.78,79.52,78.65
78.58,78.91,78.91,78.58
79.54,78.63,79.54,78.63
78.08,77.36,78.08,77.36
77.03,77.60,77.65,76.99
77.60,77.60,77.60,77.60
78.28,78.16,78.28,78.11
77.81,78.36,78.43,77.81
78.33,79.33,79.47,78.33
79.33,79.33,79.33,79.33
79.33,79.33,79.33,79.33
77.45,77.94,77.94,77.45
77.83,76.82,77.83,76.82
76.93,76.94,77.24,76.76
78.02,77.66,78.02,77.66
79.70,79.70,79.70,79.70
79.35,79.42,79.42,79.35
79.08,78.95,79.33,78.84
78.59,78.25,78.59,78.25
77.81,77.27,78.02,77.13
79.31,79.38,79.38,79.25
79.91,79.82,79.93,79.73
80.07,80.75,80.93,80.07
80.29,80.42,80.42,80.29
80.74,80.54,80.74,80.54
80.21,80.43,80.56,80.21
80.32,80.42,80.42,80.10
80.72,80.56,80.74,80.54
80.53,81.09,81.09,80.53
81.18,81.97,81.97,81.18
81.90,82.00,82.00,81.90
82.13,81.89,82.13,81.60
82.15,81.93,82.42,81.90
81.87,81.88,81.88,81.87
81.61,81.61,81.61,81.61
81.47,81.81,81.81,81.47
82.02,81.89,82.02,81.89
82.16,82.13,82.16,81.95
82.22,82.45,82.45,82.16
81.88,81.50,81.88,81.29
81.62,82.03,82.03,81.62
81.64,82.22,82.22,81.57
82.99,82.70,82.99,82.67
84.41,84.40,84.42,84.40
84.97,84.83,84.97,84.83
84.64,84.74,84.74,84.60
84.48,84.40,84.48,84.34
84.42,84.43,84.43,84.41
84.40,85.23,85.39,84.36
85.54,86.11,86.46,85.38
85.86,85.64,85.86,85.57
85.29,84.75,85.29,84.75
84.98,85.03,85.03,84.98
84.25,84.51,84.51,83.87
84.64,84.65,84.71,84.63
84.00,84.03,84.25,84.00
84.06,83.33,84.17,83.33
82.02,82.34,82.34,82.02
82.70,83.45,83.45,82.70
82.83,83.25,83.25,82.83
83.08,82.78,83.10,82.44
82.90,82.86,82.90,82.85
83.13,83.01,83.27,83.01
83.15,83.41,83.41,83.15
83.96,83.73,83.98,83.73
83.29,83.10,83.29,83.07
83.00,82.41,83.00,82.17
81.81,81.86,81.86,81.81
82.37,82.43,82.71,80.89
82.39,81.69,82.39,81.69
81.62,82.30,82.30,81.62
83.11,83.15,83.32,83.11
83.40,83.89,83.93,83.40
83.53,83.94,83.94,83.39
83.40,82.63,83.40,82.56
81.78,81.78,81.78,81.78
81.38,81.78,81.78,81.09
81.67,81.74,81.74,81.61
81.47,81.47,81.56,81.43
81.21,81.00,81.21,81.00
81.86,81.69,81.86,81.69
83.24,84.05,84.10,83.24
84.38,83.12,84.38,83.12
82.89,83.33,83.41,82.80
83.77,84.16,84.16,83.76
83.43,82.47,83.43,82.22
82.35,81.80,82.52,81.80
81.72,81.80,81.80,81.64
81.44,81.62,81.77,81.44
81.85,81.88,81.88,81.85
81.05,80.01,81.11,80.01
80.00,79.88,80.00,79.75
79.89,80.59,80.59,79.89
81.26,81.95,81.95,81.19
82.04,82.18,82.34,81.97
82.61,82.76,82.76,82.47
83.31,83.31,83.31,83.31
83.29,83.27,83.33,83.01
83.64,83.44,83.69,83.40
83.28,83.65,83.69,83.28
84.36,83.96,84.57,83.96
84.42,84.40,84.51,84.12
85.00,84.16,85.00,84.06
83.86,84.13,84.13,83.86
83.96,84.19,84.44,83.85
84.30,84.24,84.30,84.24
84.30,84.32,84.32,84.27
84.75,84.78,84.78,84.75
84.96,85.20,85.27,84.96
85.18,85.26,85.50,85.18
84.95,84.39,84.95,84.32
84.31,84.31,84.31,84.31
84.27,84.45,84.57,84.27
84.61,85.79,85.79,84.38
85.87,85.76,86.00,85.76
85.58,86.20,86.20,85.58
84.66,85.20,85.43,84.63
85.02,84.99,85.02,84.83
84.78,84.67,84.78,84.67
84.26,83.40,84.26,83.40
84.06,84.01,84.14,83.99
83.57,85.22,85.22,83.57
86.77,87.38,87.38,86.58
87.40,87.63,87.77,87.40
87.61,88.00,88.00,87.29
87.77,87.82,87.82,87.59
87.35,87.69,87.69,87.35
88.36,88.33,88.41,88.27
88.72,88.33,88.72,87.93
88.34,88.25,88.34,88.16
88.28,88.33,88.58,88.19
87.98,88.52,88.62,87.98
88.37,88.56,88.73,88.35
89.04,89.36,89.39,89.04
89.07,89.42,89.42,88.90
89.47,89.82,89.84,89.47
90.22,90.00,90.22,89.90
90.09,90.58,90.84,90.09
91.14,91.53,91.53,90.91
91.39,91.27,91.42,91.12
91.23,91.26,91.28,90.93
91.41,90.52,91.41,90.52
90.68,91.00,91.13,90.55
91.65,91.78,91.88,91.65
91.37,90.93,91.74,90.85
91.53,91.67,91.73,91.33
91.65,91.91,91.98,91.65
92.03,91.57,92.03,91.06
91.86,92.04,92.17,91.86
92.16,91.97,92.16,91.74
91.82,92.25,92.39,91.82
92.45,92.30,92.45,91.90
92.07,92.39,92.68,92.07
92.63,92.60,92.75,92.55
92.56,92.78,92.95,92.56
92.54,91.25,92.58,91.25
91.10,90.27,91.10,89.87
90.77,91.06,91.06,90.48
91.51,90.21,91.51,90.21
89.62,90.01,90.01,89.16
89.87,91.53,91.53,89.87
91.37,91.38,91.89,91.37
90.82,91.03,91.05,90.24
91.02,91.37,91.37,91.02
92.41,92.79,92.88,92.32
92.87,93.06,93.42,92.87
93.12,93.04,93.17,92.89
93.29,93.51,93.51,93.12
93.61,93.77,93.77,93.58
93.75,93.67,93.75,93.31
93.72,94.10,94.20,93.59
94.53,94.60,94.60,94.46
94.42,94.21,94.42,93.98
94.10,93.86,94.26,93.40
94.19,93.44,94.19,93.28
94.25,94.70,94.77,94.08
94.11,94.02,94.44,93.99
94.31,93.95,94.35,93.95
94.61,93.88,94.76,93.24
94.56,94.36,94.56,93.95
93.86,94.33,94.52,93.60
94.87,95.35,95.35,94.58
95.38,94.20,95.38,94.01
94.99,93.79,94.99,93.79
93.93,92.57,93.93,92.05
92.54,92.96,92.96,92.54
93.32,92.21,93.32,90.23
92.78,93.51,93.51,92.52
93.80,93.87,94.14,93.24
94.38,94.77,94.77,94.38
95.04,95.42,95.63,95.04
95.04,94.99,95.17,94.63
94.25,92.86,94.32,92.45
93.07,93.44,93.44,92.75
91.83,92.07,92.07,91.63
92.37,91.44,92.37,91.39
93.05,93.13,93.13,93.05
92.74,93.71,93.75,92.69
94.65,94.66,94.88,94.52
94.78,94.87,94.87,94.51
95.13,95.83,96.05,95.13
95.66,95.06,95.66,94.74
95.91,95.82,95.91,95.71
95.62,96.23,96.23,95.53
96.19,94.69,96.19,94.69
95.04,95.70,95.79,95.04
96.54,97.18,97.48,96.09
97.10,97.68,97.73,97.10
97.78,98.46,98.47,97.78
98.37,98.80,98.80,98.37
98.78,99.11,99.11,98.78
98.80,99.38,99.40,98.80
99.24,99.29,99.48,98.97
99.48,100.39,100.42,99.48
100.36,100.74,100.98,100.36
100.82,100.11,100.99,100.11
100.97,101.16,101.40,100.74
101.12,101.22,101.52,101.00
101.33,101.53,101.53,101.24
101.60,99.57,101.86,99.30
98.45,99.36,99.51,98.10
98.96,98.92,99.16,98.18
100.43,99.84,100.47,99.37
99.20,98.94,99.44,98.21
99.04,99.42,99.73,99.04
99.14,99.09,100.11,99.00
98.72,98.15,98.81,97.30
98.43,97.39,98.46,97.08
97.23,96.05,97.23,95.83
96.11,97.05,97.05,96.11
97.81,98.06,98.15,97.76
98.68,98.22,98.68,97.99
100.08,97.13,100.08,96.70
97.77,96.11,97.77,95.78
96.00,97.78,97.79,96.00
