HDSN,Hudson Technologies,NASDAQ
1.70,1.63,1.70,1.52
1.66,1.72,1.76,1.60
1.69,1.75,1.78,1.68
1.75,1.87,1.94,1.72
1.87,1.85,1.91,1.82
1.85,1.84,1.85,1.83
1.86,1.83,1.87,1.83
1.83,1.86,1.86,1.82
1.86,1.86,1.88,1.82
1.86,1.84,1.86,1.82
1.82,1.88,1.89,1.81
1.80,1.85,1.87,1.77
1.84,1.78,1.84,1.77
1.80,1.80,1.83,1.78
1.79,1.80,1.84,1.78
1.84,1.79,1.87,1.78
1.85,1.95,1.95,1.78
1.90,1.78,1.90,1.78
1.81,1.78,1.82,1.78
1.80,1.82,1.87,1.80
1.86,1.78,1.87,1.77
1.80,1.78,1.80,1.78
1.80,1.73,1.80,1.66
1.71,1.71,1.74,1.65
1.68,1.66,1.73,1.66
1.66,1.65,1.72,1.63
1.65,1.65,1.72,1.65
1.64,1.71,1.74,1.64
1.67,1.75,1.75,1.65
1.72,1.67,1.77,1.65
1.70,1.65,1.70,1.65
1.65,1.65,1.67,1.65
1.65,1.65,1.74,1.65
1.72,1.71,1.75,1.64
1.69,1.74,1.76,1.68
1.73,1.70,1.74,1.65
1.67,1.66,1.72,1.60
1.68,1.68,1.75,1.62
1.72,1.63,1.72,1.62
1.63,1.62,1.71,1.58
1.61,1.60,1.66,1.60
1.60,1.62,1.67,1.60
1.63,1.60,1.66,1.60
1.63,1.62,1.66,1.60
1.60,1.56,1.66,1.50
1.53,1.58,1.58,1.53
1.56,1.56,1.62,1.54
1.54,1.55,1.59,1.50
1.53,1.55,1.56,1.49
1.58,1.64,1.66,1.54
1.65,1.66,1.67,1.63
1.69,1.72,1.72,1.66
1.70,1.72,1.73,1.68
1.72,1.80,1.82,1.72
1.78,1.76,1.78,1.74
1.76,1.88,1.88,1.74
1.88,1.75,1.88,1.75
1.76,1.76,1.77,1.72
1.76,1.78,1.78,1.76
1.81,1.78,1.81,1.76
1.76,1.78,1.83,1.75
1.76,1.77,1.80,1.72
1.72,1.65,1.72,1.63
1.63,1.68,1.72,1.63
1.65,1.65,1.67,1.64
1.66,1.72,1.73,1.66
1.72,1.68,1.72,1.68
1.65,1.67,1.71,1.65
1.69,1.65,1.70,1.63
1.66,1.64,1.68,1.64
1.65,1.62,1.65,1.53
1.60,1.55,1.60,1.52
1.61,1.61,1.64,1.59
1.63,1.55,1.63,1.52
1.59,1.56,1.61,1.53
1.55,1.51,1.55,1.50
1.51,1.54,1.55,1.51
1.54,1.52,1.55,1.52
1.50,1.51,1.55,1.50
1.50,1.53,1.55,1.50
1.53,1.54,1.55,1.48
1.52,1.49,1.64,1.49
1.50,1.50,1.51,1.49
1.54,1.50,1.54,1.50
1.50,1.56,1.56,1.48
1.53,1.56,1.60,1.53
1.56,1.59,1.60,1.54
1.53,1.54,1.59,1.53
1.55,1.60,1.60,1.55
1.60,1.52,1.60,1.52
1.52,1.57,1.59,1.51
1.52,1.55,1.60,1.52
1.58,1.62,1.73,1.58
1.61,1.62,1.69,1.58
1.65,1.65,1.69,1.58
1.65,1.56,1.66,1.55
1.64,1.66,1.68,1.58
1.68,1.60,1.68,1.57
1.59,1.62,1.64,1.55
1.62,1.63,1.68,1.60
1.63,1.60,1.65,1.57
1.59,1.64,1.64,1.56
1.64,1.63,1.67,1.60
1.61,1.67,1.68,1.61
1.69,1.64,1.69,1.63
1.66,1.65,1.69,1.61
1.65,1.66,1.74,1.65
1.67,1.65,1.69,1.65
1.66,1.70,1.70,1.66
1.66,1.69,1.72,1.65
1.69,1.66,1.71,1.66
1.71,1.70,1.73,1.68
1.70,1.72,1.82,1.70
1.72,1.73,1.79,1.72
1.72,1.80,1.82,1.70
1.83,1.92,1.93,1.81
1.93,1.93,1.95,1.86
1.89,1.93,1.95,1.89
1.93,2.07,2.09,1.93
2.08,1.96,2.18,1.96
1.96,2.14,2.15,1.96
2.00,2.00,2.14,1.99
2.09,2.05,2.10,1.99
2.01,2.06,2.08,2.00
2.10,2.17,2.18,2.04
2.19,2.24,2.28,2.19
2.26,2.25,2.26,2.21
2.26,2.09,2.26,2.08
2.07,2.00,2.11,2.00
2.08,2.05,2.08,1.98
2.08,1.95,2.08,1.94
1.90,1.99,2.03,1.85
2.04,2.05,2.15,1.94
1.98,1.99,2.02,1.97
2.00,2.01,2.01,1.97
1.98,1.97,2.01,1.93
1.97,1.95,1.99,1.89
1.94,1.89,1.94,1.86
1.87,1.87,1.94,1.87
1.90,1.88,1.91,1.87
1.90,1.90,1.95,1.89
1.90,1.91,2.02,1.90
1.94,1.93,1.97,1.92
1.93,2.00,2.02,1.90
2.00,1.98,2.12,1.92
1.94,1.92,2.06,1.92
1.92,2.10,2.40,1.92
2.10,2.05,2.10,2.05
2.08,1.95,2.08,1.93
2.00,1.91,2.00,1.91
1.94,1.90,1.94,1.88
1.87,1.91,1.91,1.87
1.90,1.95,1.95,1.89
1.93,1.90,1.95,1.90
1.93,1.92,1.95,1.90
1.91,1.94,1.95,1.91
1.97,1.92,1.98,1.92
1.93,1.95,1.95,1.92
1.99,1.95,1.99,1.94
1.95,1.94,1.95,1.94
1.95,1.97,1.98,1.95
1.96,1.93,1.96,1.85
1.95,1.95,1.98,1.87
1.95,1.95,1.95,1.90
1.96,2.00,2.10,1.94
2.05,1.94,2.05,1.93
2.00,2.00,2.00,2.00
1.95,1.94,1.95,1.94
1.94,1.96,2.00,1.90
1.98,1.96,1.99,1.94
1.94,1.92,1.94,1.88
1.86,1.94,1.97,1.86
1.93,1.89,1.98,1.89
1.90,1.93,1.97,1.90
1.96,1.95,1.98,1.93
1.90,1.95,1.97,1.86
1.96,1.90,1.96,1.90
1.92,1.95,1.97,1.90
1.93,1.91,1.97,1.91
1.92,1.84,1.92,1.82
1.85,1.78,1.85,1.67
1.79,1.84,1.85,1.78
1.81,1.85,1.85,1.75
1.80,1.82,1.89,1.80
1.87,1.90,1.90,1.81
1.90,1.89,1.90,1.85
2.00,1.99,2.25,1.99
1.95,1.89,1.95,1.87
1.98,1.96,2.00,1.93
2.01,1.90,2.03,1.90
1.91,1.90,1.98,1.85
1.90,1.96,1.96,1.86
1.91,1.88,1.95,1.88
1.89,1.86,1.89,1.85
1.90,1.86,1.90,1.86
1.86,1.85,1.90,1.85
1.88,1.85,1.89,1.85
1.90,1.89,1.90,1.83
1.81,1.83,1.93,1.81
1.85,1.82,1.85,1.80
1.85,1.87,1.89,1.81
1.86,1.88,1.91,1.86
1.84,1.84,1.84,1.84
1.83,1.83,1.89,1.83
1.85,1.83,1.85,1.80
1.80,1.78,1.80,1.78
1.78,1.77,1.78,1.75
1.80,1.78,1.80,1.78
1.76,1.68,1.76,1.62
1.68,1.64,1.70,1.63
1.65,1.66,1.66,1.60
1.66,1.62,1.66,1.62
1.63,1.65,1.68,1.63
1.65,1.62,1.65,1.62
1.62,1.62,1.63,1.62
1.63,1.60,1.63,1.60
1.63,1.61,1.64,1.60
1.60,1.65,1.65,1.60
1.61,1.60,1.64,1.55
1.59,1.60,1.64,1.56
1.56,1.62,1.62,1.56
1.57,1.63,1.64,1.57
1.63,1.61,1.63,1.58
1.63,1.59,1.63,1.56
1.59,1.63,1.63,1.59
1.63,1.66,1.66,1.59
1.62,1.64,1.65,1.60
1.64,1.60,1.65,1.60
1.61,1.60,1.61,1.58
1.59,1.60,1.60,1.57
1.61,1.69,1.70,1.61
1.69,1.67,1.73,1.64
1.65,1.64,1.68,1.61
1.69,1.66,1.70,1.61
1.67,1.69,1.72,1.67
1.83,1.82,1.92,1.75
1.86,1.74,1.87,1.70
1.74,1.73,1.82,1.70
1.74,1.75,1.80,1.72
1.76,1.77,1.77,1.72
1.77,1.79,1.88,1.74
1.77,1.81,1.82,1.77
1.83,1.81,1.85,1.78
1.80,1.78,1.87,1.78
1.78,1.77,1.86,1.75
1.77,1.82,1.86,1.72
1.78,1.80,1.85,1.75
1.82,1.79,1.85,1.75
1.79,1.68,1.81,1.68
1.70,1.78,1.80,1.65
1.65,1.52,1.67,1.46
1.60,1.45,1.66,1.21
1.28,1.31,1.35,1.28
1.35,1.55,1.56,1.27
1.53,1.31,1.53,1.30
1.37,1.36,1.50,1.34
1.41,1.42,1.43,1.35
1.38,1.41,1.43,1.35
1.39,1.43,1.43,1.35
1.41,1.34,1.43,1.30
1.31,1.34,1.42,1.30
1.34,1.33,1.41,1.26
1.35,1.24,1.42,1.24
1.33,1.30,1.33,1.25
1.34,1.32,1.34,1.26
1.31,1.31,1.34,1.23
1.31,1.49,1.49,1.28
1.50,1.47,1.50,1.43
1.44,1.45,1.49,1.44
1.45,1.42,1.45,1.40
1.36,1.37,1.42,1.36
1.35,1.41,1.45,1.35
1.35,1.31,1.42,1.30
1.36,1.30,1.36,1.30
1.30,1.33,1.38,1.30
1.37,1.30,1.37,1.30
1.30,1.29,1.38,1.26
1.28,1.35,1.35,1.28
1.38,1.31,1.38,1.28
1.32,1.30,1.38,1.30
1.30,1.30,1.38,1.30
1.38,1.30,1.38,1.27
1.27,1.30,1.32,1.25
1.30,1.28,1.31,1.28
1.25,1.19,1.28,1.19
1.21,1.20,1.28,1.17
1.20,1.24,1.29,1.11
1.16,1.20,1.20,1.10
1.20,1.19,1.23,1.10
1.16,1.19,1.23,1.13
1.21,1.17,1.21,1.10
1.15,1.06,1.15,1.06
1.05,1.02,1.13,1.01
1.04,1.05,1.05,1.03
1.05,1.06,1.08,1.05
1.09,1.14,1.15,1.09
1.15,1.15,1.19,1.15
1.15,1.10,1.15,1.10
1.10,1.17,1.17,1.10
1.13,1.17,1.18,1.13
1.18,1.18,1.20,1.17
1.18,1.18,1.18,1.18
1.21,1.31,1.49,1.15
1.35,1.34,1.35,1.34
1.37,1.15,1.39,1.15
1.17,1.20,1.21,1.17
1.18,1.15,1.35,1.15
1.19,1.19,1.34,1.16
1.20,1.28,1.34,1.20
1.34,1.35,1.35,1.20
1.43,1.32,1.45,1.20
1.34,1.32,1.35,1.32
1.23,1.35,1.35,1.22
1.28,1.42,1.42,1.26
1.42,1.32,1.42,1.26
1.28,1.36,1.39,1.22
1.32,1.33,1.39,1.32
1.37,1.40,1.42,1.36
1.35,1.44,1.45,1.30
1.41,1.42,1.44,1.41
1.42,1.54,1.54,1.40
1.50,1.46,1.57,1.40
1.46,1.46,1.46,1.45
1.46,1.47,1.47,1.43
1.45,1.47,1.47,1.35
1.47,1.44,1.47,1.40
1.40,1.46,1.46,1.40
1.40,1.40,1.46,1.37
1.35,1.45,1.46,1.35
1.40,1.40,1.44,1.40
1.46,1.42,1.47,1.37
1.44,1.40,1.44,1.32
1.44,1.40,1.44,1.40
1.40,1.40,1.40,1.35
1.44,1.40,1.50,1.40
1.39,1.47,1.48,1.36
1.48,1.42,1.49,1.42
1.41,1.44,1.46,1.40
1.41,1.37,1.48,1.37
1.39,1.43,1.43,1.38
1.37,1.43,1.43,1.37
1.43,1.34,1.43,1.33
1.36,1.36,1.36,1.36
1.40,1.43,1.43,1.35
1.35,1.35,1.43,1.35
1.35,1.37,1.40,1.35
1.42,1.40,1.43,1.37
1.40,1.38,1.40,1.38
1.40,1.39,1.40,1.38
1.40,1.43,1.45,1.38
1.43,1.48,1.48,1.40
1.42,1.38,1.42,1.38
1.39,1.35,1.43,1.35
1.35,1.45,1.48,1.35
1.44,1.45,1.49,1.38
1.45,1.44,1.45,1.42
1.44,1.47,1.47,1.44
1.50,1.60,1.67,1.49
1.67,1.65,1.73,1.65
1.70,1.70,1.84,1.70
1.71,1.77,1.80,1.71
1.80,1.76,1.80,1.73
1.66,1.72,1.75,1.66
1.73,1.83,1.83,1.72
1.86,1.79,1.86,1.76
1.83,1.75,1.83,1.73
1.70,1.85,1.87,1.70
1.79,1.79,1.88,1.77
1.80,2.17,2.20,1.80
2.40,2.28,2.70,2.28
2.30,2.59,2.59,2.30
2.58,2.77,2.80,2.56
2.75,2.46,2.81,2.40
2.59,2.54,2.59,2.46
2.58,2.79,2.81,2.49
2.69,3.07,3.07,2.69
3.07,3.10,3.15,2.85
3.10,3.15,3.23,3.08
3.18,3.27,3.28,2.94
3.29,3.04,3.29,2.97
3.03,3.05,3.06,2.83
3.07,2.97,3.13,2.86
3.08,2.89,3.08,2.85
2.88,2.90,2.91,2.80
2.90,2.88,2.90,2.60
2.88,2.88,3.04,2.88
2.82,2.83,2.91,2.75
2.81,2.97,3.00,2.78
2.99,2.93,3.10,2.93
3.00,2.98,3.00,2.95
2.98,3.00,3.00,2.94
2.97,2.99,3.08,2.97
2.82,2.93,3.00,2.82
2.97,3.00,3.00,2.81
2.92,3.00,3.00,2.90
2.95,2.96,3.00,2.92
2.94,2.92,3.00,2.90
2.90,3.09,3.10,2.84
3.06,3.11,3.15,3.05
3.11,3.16,3.23,3.07
3.18,3.23,3.28,3.16
3.23,3.38,3.42,3.19
3.41,3.55,3.57,3.40
3.57,3.62,3.64,3.47
3.65,3.76,3.77,3.54
3.77,3.72,3.79,3.61
3.75,3.75,3.76,3.70
3.75,3.76,3.80,3.70
3.74,3.77,3.82,3.73
3.72,3.76,3.77,3.71
3.73,3.76,3.76,3.69
3.76,3.36,3.78,3.33
3.40,3.24,3.43,3.14
3.22,3.34,3.34,3.18
3.29,3.35,3.35,3.24
3.36,3.29,3.36,3.21
3.25,3.36,3.36,3.24
3.33,3.34,3.37,3.19
3.28,3.15,3.31,3.14
3.11,3.15,3.23,3.11
3.11,2.99,3.14,2.97
2.99,2.90,3.05,2.90
2.90,2.90,2.98,2.84
2.90,2.99,3.01,2.90
2.99,2.94,3.00,2.91
2.91,2.90,2.98,2.85
2.90,2.99,2.99,2.90
2.98,2.95,3.00,2.95
3.00,3.02,3.02,2.98
3.00,3.06,3.07,2.97
3.04,3.03,3.06,2.97
3.04,3.01,3.05,3.00
3.02,3.05,3.09,3.02
3.04,3.12,3.19,3.04
3.16,3.24,3.27,3.10
3.17,3.16,3.26,3.14
3.14,3.33,3.34,3.14
3.54,4.09,4.10,3.46
4.05,3.84,4.05,3.76
3.80,3.78,3.85,3.54
3.65,3.97,4.15,3.61
3.91,3.95,4.10,3.85
3.87,3.97,4.00,3.78
4.00,4.18,4.23,3.90
4.17,4.04,4.17,3.97
3.96,3.85,4.01,3.72
3.88,3.96,4.10,3.88
3.95,3.88,4.01,3.81
3.86,3.71,3.93,3.67
3.75,3.62,3.78,3.58
3.62,3.69,3.78,3.50
3.68,3.58,3.72,3.56
3.55,3.50,3.65,3.50
3.50,3.69,3.78,3.50
3.70,3.85,3.91,3.70
3.97,3.96,4.06,3.75
3.95,3.80,3.95,3.75
3.79,3.75,3.90,3.75
3.74,3.56,3.77,3.53
3.58,3.45,3.65,3.39
3.47,3.39,3.47,3.22
3.41,3.42,3.51,3.33
3.47,3.64,3.74,3.44
3.78,3.67,3.78,3.56
3.71,3.49,3.71,3.49
3.38,3.52,3.61,3.38
3.48,3.45,3.56,3.45
3.45,3.29,3.52,3.21
3.28,3.51,3.53,3.28
3.46,3.42,3.46,3.31
3.48,3.55,3.67,3.40
3.58,3.69,3.75,3.58
3.72,3.62,3.82,3.53
3.69,3.68,3.70,3.56
3.65,3.64,3.76,3.55
3.61,3.73,3.79,3.54
3.77,3.93,4.07,3.70
3.93,4.01,4.09,3.78
4.08,4.12,4.15,3.97
4.14,4.18,4.25,4.11
4.21,4.07,4.25,4.04
4.03,3.91,4.22,3.88
3.90,3.90,3.92,3.75
3.92,4.20,4.37,3.92
4.29,4.08,4.35,4.04
4.06,4.00,4.20,3.95
4.00,4.13,4.15,3.93
4.10,4.00,4.15,3.93
3.96,3.84,3.96,3.78
3.83,3.79,3.83,3.64
3.77,3.79,3.90,3.70
3.77,3.63,3.79,3.57
3.55,3.60,3.69,3.53
3.61,3.42,3.62,3.29
3.40,3.50,3.61,3.37
3.50,3.81,3.85,3.50
3.84,3.90,4.03,3.74
3.90,4.12,4.13,3.81
4.10,3.98,4.10,3.88
3.99,3.96,4.07,3.95
4.02,4.10,4.18,3.87
4.40,3.44,4.40,3.40
3.56,3.27,3.57,3.27
3.27,3.27,3.38,3.23
3.27,3.39,3.58,3.27
3.41,3.53,3.57,3.33
3.58,3.54,3.58,3.46
3.54,3.45,3.54,3.41
3.48,3.35,3.48,3.33
3.42,3.33,3.43,3.29
3.29,3.34,3.40,3.29
3.36,3.33,3.43,3.29
3.34,3.32,3.45,3.29
3.50,3.70,3.78,3.49
3.70,3.70,3.75,3.66
3.70,3.64,3.73,3.61
3.64,3.70,3.72,3.58
3.68,3.72,3.75,3.64
3.82,3.71,3.83,3.71
3.75,3.72,3.78,3.66
3.70,3.50,3.74,3.45
3.48,3.56,3.64,3.47
3.55,3.61,3.63,3.50
3.58,3.67,3.68,3.56
3.67,3.55,3.68,3.53
3.57,3.58,3.61,3.51
3.60,3.52,3.60,3.51
3.60,3.45,3.60,3.45
3.50,3.50,3.52,3.46
3.52,3.39,3.52,3.39
3.40,3.34,3.44,3.29
3.35,3.41,3.42,3.35
3.44,3.72,3.74,3.40
3.74,3.66,3.78,3.64
3.63,3.64,3.70,3.60
3.62,3.61,3.69,3.55
3.61,3.62,3.64,3.55
3.75,3.60,3.77,3.60
3.60,3.53,3.61,3.53
3.53,3.52,3.58,3.51
3.56,3.61,3.61,3.46
3.60,3.63,3.64,3.56
3.65,3.67,3.67,3.61
3.66,3.65,3.66,3.60
3.67,3.67,3.67,3.59
3.71,3.90,3.98,3.64
3.88,3.90,3.99,3.85
3.85,3.86,3.92,3.81
3.82,3.81,3.86,3.79
3.84,3.80,3.87,3.77
3.90,3.83,3.90,3.80
3.83,3.81,3.90,3.80
3.88,3.82,3.88,3.81
3.89,3.80,3.89,3.75
3.80,3.88,3.93,3.79
3.90,3.95,3.99,3.86
3.95,3.90,4.00,3.85
3.92,3.89,3.94,3.81
3.88,3.85,3.88,3.77
3.89,3.83,3.90,3.78
3.88,3.91,3.99,3.83
3.90,3.97,4.06,3.89
4.05,4.00,4.05,3.59
4.05,3.88,4.05,3.71
3.97,3.70,3.97,3.67
3.74,3.54,3.74,3.38
3.56,3.35,3.56,3.34
3.35,3.40,3.43,3.18
3.40,3.38,3.69,3.38
3.42,3.50,3.53,3.30
3.58,3.74,3.86,3.53
3.74,3.68,3.75,3.65
3.67,3.35,3.67,3.35
3.39,3.26,3.48,3.21
3.22,3.29,3.36,3.21
3.34,3.48,3.49,3.32
3.43,3.36,3.50,3.32
3.37,3.40,3.40,3.34
3.20,3.10,3.22,3.00
3.05,3.21,3.22,2.98
3.16,3.18,3.22,3.15
3.17,3.18,3.19,3.15
3.16,3.26,3.30,3.15
3.22,3.24,3.29,3.16
3.21,3.32,3.35,3.16
3.32,3.33,3.34,3.30
3.33,3.38,3.40,3.33
3.40,3.28,3.40,3.16
3.22,3.23,3.33,3.20
3.21,3.21,3.22,3.18
3.19,3.31,3.35,3.18
3.20,3.46,3.48,3.20
3.47,3.43,3.48,3.36
3.46,3.45,3.47,3.29
3.40,3.30,3.40,3.17
3.30,3.36,3.36,3.22
3.37,3.26,3.39,3.24
3.24,3.44,3.45,3.24
3.42,3.41,3.49,3.28
3.33,3.42,3.45,3.31
3.38,3.32,3.44,3.31
3.37,3.43,3.50,3.24
3.43,3.59,3.66,3.33
3.62,3.64,3.65,3.51
3.72,3.75,3.75,3.65
3.71,3.69,3.72,3.59
3.69,3.71,3.71,3.63
3.73,3.71,3.75,3.71
3.69,3.89,3.89,3.65
3.86,4.07,4.13,3.65
4.07,4.15,4.26,4.07
4.10,3.96,4.16,3.85
3.99,3.83,4.00,3.78
3.80,3.69,3.96,3.66
3.70,3.76,3.83,3.66
3.86,3.77,3.88,3.71
3.75,3.68,3.77,3.66
3.71,3.76,3.82,3.66
3.71,3.81,3.82,3.70
3.78,3.89,3.91,3.71
3.92,3.78,3.92,3.75
3.82,3.80,3.83,3.73
3.79,3.88,3.89,3.75
3.89,3.83,3.89,3.81
3.81,3.80,3.83,3.77
3.85,3.81,3.85,3.75
3.80,3.65,3.83,3.65
3.70,3.77,3.81,3.61
3.79,3.85,3.85,3.76
3.84,3.84,3.86,3.76
3.90,3.85,3.97,3.80
3.83,3.98,3.98,3.80
4.00,4.18,4.30,3.98
4.14,4.11,4.16,4.07
4.10,4.18,4.22,3.90
4.20,4.25,4.30,4.12
4.30,4.28,4.40,4.19
4.26,4.05,4.30,3.95
4.06,4.16,4.20,4.05
4.18,4.19,4.20,4.12
4.20,4.11,4.39,4.08
4.12,4.13,4.14,3.94
4.11,4.11,4.22,4.05
4.28,4.35,4.37,3.86
4.31,4.60,4.65,4.20
4.63,4.45,4.63,4.40
4.45,4.25,4.47,4.19
4.25,4.25,4.33,4.18
4.25,4.24,4.28,4.23
4.24,4.27,4.27,4.18
4.25,4.24,4.27,4.19
4.25,4.18,4.33,4.16
4.17,4.43,4.47,4.10
4.47,4.37,4.51,4.32
4.40,4.33,4.43,4.24
4.27,4.31,4.35,4.27
4.40,4.61,4.65,4.40
4.61,4.63,4.87,4.58
4.68,4.67,4.71,4.64
4.63,4.56,4.68,4.46
4.55,4.66,4.68,4.48
4.69,4.89,5.00,4.65
4.85,4.96,5.04,4.85
5.00,4.05,5.03,3.75
4.05,3.61,4.12,3.30
3.63,3.45,3.68,3.39
3.38,3.36,3.42,3.11
3.36,3.46,3.50,3.22
3.50,3.53,3.54,3.32
3.67,3.74,3.79,3.58
3.80,3.81,3.90,3.75
3.81,3.77,3.87,3.69
3.77,3.77,3.84,3.73
3.81,3.83,3.98,3.77
3.84,3.75,3.84,3.69
3.77,3.80,3.82,3.69
3.78,3.76,3.80,3.68
3.75,3.75,3.80,3.67
3.72,3.71,3.77,3.66
3.71,3.70,3.75,3.66
3.70,3.81,3.84,3.67
3.84,3.86,3.87,3.78
3.90,3.90,3.95,3.84
3.92,3.91,3.94,3.85
3.96,3.96,4.00,3.90
3.99,4.04,4.05,3.97
4.00,4.05,4.10,3.97
4.35,4.27,4.45,4.12
4.32,4.07,4.36,3.95
4.08,3.93,4.18,3.92
3.90,3.80,3.96,3.61
3.80,3.75,3.85,3.73
3.72,3.65,3.87,3.63
3.62,3.72,3.79,3.61
3.69,3.60,3.84,3.57
3.58,3.70,3.74,3.57
3.67,3.76,3.82,3.67
3.78,3.83,3.83,3.70
3.88,3.94,3.94,3.79
3.90,3.94,4.09,3.86
4.07,3.96,4.09,3.94
3.95,3.88,3.95,3.83
3.87,3.82,3.88,3.82
3.84,3.80,3.84,3.62
3.84,3.65,3.87,3.61
3.66,3.58,3.68,3.54
3.55,3.67,3.70,3.55
3.70,3.64,3.70,3.61
3.62,3.51,3.62,3.48
3.48,3.47,3.52,3.46
3.50,3.35,3.52,3.35
3.34,3.47,3.49,3.34
3.52,3.49,3.52,3.40
3.49,3.40,3.56,3.40
3.40,3.32,3.41,3.31
3.35,3.33,3.35,3.31
3.31,3.34,3.40,3.31
3.62,3.47,3.62,3.38
3.52,3.51,3.58,3.48
3.54,3.52,3.57,3.50
3.53,3.50,3.53,3.47
3.50,3.44,3.50,3.42
