CLB,Core Laboratories N.V. Common Stock,NASDAQ
100.81,100.13,100.91,99.43
100.03,101.21,101.81,99.50
101.03,102.58,102.90,100.16
102.99,102.29,103.38,101.18
102.62,102.17,102.96,101.37
102.53,103.71,104.13,102.36
104.00,105.16,105.75,104.00
105.19,105.15,105.68,104.81
105.27,101.67,105.73,101.63
101.28,99.76,101.95,99.66
99.95,99.92,101.18,99.61
99.91,96.89,100.20,96.68
96.11,95.21,96.11,92.70
95.44,94.97,96.33,94.70
94.18,93.81,94.65,92.68
94.16,95.35,95.86,93.41
94.14,95.53,96.25,93.06
95.86,97.27,97.68,94.60
98.89,96.18,99.57,95.57
96.14,96.76,96.91,95.74
96.48,97.57,97.73,95.82
97.64,96.88,97.84,96.28
97.18,95.41,97.18,94.19
94.80,94.87,96.29,94.20
95.10,95.98,96.37,94.19
95.97,93.59,102.92,92.91
93.04,91.73,93.65,90.25
91.88,91.16,91.88,88.94
90.08,92.28,93.70,89.23
92.63,92.52,94.74,92.02
92.70,94.91,95.08,92.34
94.83,96.46,96.92,94.26
96.28,94.41,96.28,93.53
93.91,93.39,94.42,91.90
93.69,93.22,93.92,92.22
93.03,93.52,94.79,92.57
93.13,95.66,96.41,92.47
95.69,97.14,97.39,95.64
97.73,97.50,98.66,97.24
97.26,97.67,98.35,96.62
96.35,97.12,97.47,95.82
97.76,97.54,99.22,97.13
97.43,99.59,100.36,97.22
98.84,102.06,102.59,98.84
102.45,102.78,103.72,102.06
103.35,102.69,103.87,101.18
102.23,101.66,104.33,101.26
101.56,102.01,103.18,100.30
100.85,101.98,102.95,100.34
101.42,100.25,103.26,99.85
100.54,99.99,101.23,99.79
99.66,100.53,101.86,99.42
100.79,102.22,102.68,100.79
101.43,100.86,102.62,100.76
101.07,101.04,102.46,99.90
102.12,104.54,105.34,102.04
103.83,103.53,106.20,103.18
103.46,104.28,104.69,101.85
105.40,103.31,105.40,102.97
103.47,105.39,106.08,103.18
106.29,109.52,110.13,106.23
109.29,108.17,111.44,108.10
106.75,107.91,108.20,104.41
107.80,105.66,108.38,105.57
105.24,105.51,106.08,104.02
106.31,107.54,107.98,106.26
109.16,110.13,111.44,108.42
110.25,111.54,112.10,110.22
111.63,113.51,113.91,110.41
113.53,114.46,115.25,113.47
114.46,116.02,116.62,114.04
117.00,115.60,118.50,115.31
113.63,115.57,115.78,113.27
114.28,114.67,115.56,113.57
114.21,114.19,115.42,113.95
114.87,115.48,117.07,114.87
115.53,115.34,116.60,114.79
116.13,116.64,116.86,115.99
116.74,115.16,117.10,114.83
115.95,116.13,116.48,113.10
114.98,113.71,114.98,111.59
108.85,108.64,111.00,107.90
108.08,109.31,110.37,107.80
108.15,110.82,112.10,108.14
110.02,108.85,110.55,108.45
109.50,106.97,110.49,106.83
106.77,106.57,108.28,106.49
105.67,108.68,109.29,105.00
110.14,107.83,110.55,106.63
107.70,106.83,110.23,106.73
107.07,106.93,107.47,104.29
105.45,99.55,105.70,99.25
100.23,103.25,104.21,96.78
100.50,99.01,102.11,98.93
100.59,99.81,101.38,96.38
98.43,100.64,104.52,98.01
101.18,105.33,106.60,100.13
106.33,106.92,107.30,105.16
107.98,110.99,111.16,107.98
110.05,110.05,112.42,108.87
110.67,111.57,112.21,110.11
107.60,106.03,108.68,105.12
105.31,104.80,107.19,103.76
106.80,102.66,106.80,101.66
103.05,105.77,105.90,101.78
106.00,105.37,106.86,103.04
106.04,101.99,106.37,101.95
101.43,105.21,105.68,101.07
106.69,107.71,109.94,106.38
107.43,109.33,110.00,107.13
110.19,111.58,113.56,110.00
111.86,111.10,114.57,110.96
109.11,109.17,110.63,107.93
107.10,109.29,109.75,106.01
111.08,113.98,114.48,110.61
113.51,113.31,115.04,113.13
112.95,111.38,114.45,110.76
109.92,111.42,112.14,108.85
112.00,112.75,113.06,110.63
111.96,109.99,111.96,106.02
110.81,106.69,111.21,106.12
106.53,105.82,107.49,104.67
103.88,105.52,106.24,103.15
105.75,104.68,107.59,104.32
105.20,101.77,107.41,101.55
101.40,98.33,101.40,97.20
97.57,98.50,100.24,96.92
99.05,101.25,101.40,95.46
103.32,102.41,106.36,101.83
102.00,97.89,102.91,97.74
99.98,92.63,100.56,90.23
90.88,89.83,92.75,87.75
89.20,85.69,90.31,85.51
85.00,88.58,88.69,82.74
88.94,91.62,92.03,86.74
91.61,93.65,94.46,90.71
94.15,91.58,94.15,90.35
93.38,98.94,99.30,93.32
98.56,98.59,100.60,97.81
99.60,101.41,102.72,99.10
100.72,100.63,101.56,99.05
102.82,105.57,106.08,101.32
105.14,103.24,105.44,102.48
102.96,104.61,105.64,101.75
103.86,102.67,105.49,101.49
96.79,96.76,98.63,93.30
97.14,98.45,99.30,96.82
98.47,102.56,102.65,98.09
102.78,100.76,103.36,100.23
104.00,103.51,104.42,99.60
104.90,106.94,110.51,104.52
107.61,112.59,113.47,106.47
112.99,108.26,112.99,108.15
104.46,109.35,111.20,103.40
110.53,109.14,112.00,108.35
110.05,112.00,113.00,108.50
110.93,110.58,112.01,109.04
110.63,111.72,112.12,108.72
112.20,112.36,112.93,110.57
109.00,106.49,110.83,106.28
109.31,108.37,109.31,105.86
109.56,110.42,111.50,109.12
110.00,109.58,110.26,107.97
109.17,111.47,112.27,108.45
110.97,111.72,115.32,110.73
111.90,108.84,112.22,107.59
109.24,109.54,110.79,108.37
107.78,107.16,107.78,104.90
106.74,107.53,108.95,106.05
106.45,106.87,108.88,105.52
106.60,106.98,108.77,106.24
110.74,109.26,110.74,108.32
109.28,110.26,112.21,108.43
113.48,116.05,116.14,113.47
116.00,117.27,118.54,115.85
117.66,117.10,120.20,116.23
118.78,118.67,120.33,117.76
118.56,117.09,119.13,116.78
116.82,116.37,117.16,114.77
115.51,113.79,117.25,113.53
114.10,117.22,117.38,113.65
115.59,114.46,116.03,112.75
115.31,112.90,117.89,112.67
112.13,110.68,112.14,109.90
112.85,110.94,112.85,110.78
112.28,114.80,115.02,111.83
114.95,113.28,117.00,113.04
115.36,116.70,117.21,114.62
116.17,117.06,117.62,114.58
117.38,117.36,118.67,116.01
117.54,118.01,118.15,116.80
117.76,117.67,118.00,116.96
117.58,114.34,117.97,114.19
114.34,115.19,115.47,113.65
114.74,113.95,116.17,113.76
116.71,115.59,117.17,114.77
115.01,112.63,115.03,112.53
112.17,111.25,112.58,110.45
111.68,109.80,112.22,109.38
109.80,111.57,111.60,109.67
113.07,112.28,114.14,112.00
112.05,112.19,112.68,110.90
112.33,111.29,112.74,110.31
110.48,109.99,111.07,109.67
111.60,110.40,111.69,109.85
110.64,112.90,113.54,110.60
113.20,115.38,115.78,113.07
114.78,114.12,116.67,113.63
114.50,111.64,114.50,111.15
110.48,111.13,111.46,109.22
111.01,111.76,111.83,109.29
111.71,108.97,112.90,108.33
108.47,109.95,110.72,108.47
108.93,107.26,109.20,106.96
107.78,106.23,108.63,105.90
106.41,106.85,107.91,104.81
110.28,115.55,118.91,109.00
117.96,116.50,118.92,116.22
116.10,116.84,118.47,115.58
117.31,117.52,118.38,115.60
118.18,121.52,122.07,116.93
121.04,121.97,122.00,121.03
119.71,120.15,122.89,119.71
121.51,122.88,123.33,120.54
122.38,121.42,122.78,121.18
121.84,119.86,122.18,119.00
119.69,121.19,121.73,119.21
121.56,121.80,122.52,120.82
122.51,122.58,123.24,121.51
122.11,124.99,125.78,122.03
124.78,125.80,126.15,123.01
126.36,127.76,129.36,126.00
127.67,124.76,127.67,123.63
125.06,124.00,126.53,123.36
124.36,121.66,124.87,120.79
122.16,124.10,124.53,121.77
124.00,124.10,124.88,123.38
123.73,123.34,123.93,122.99
121.57,120.51,121.79,119.53
120.47,122.79,123.24,120.02
123.62,125.91,126.58,123.11
125.62,127.93,128.49,125.53
127.74,126.50,127.76,126.03
126.62,129.33,129.57,126.45
129.25,127.22,129.83,126.97
127.69,126.33,128.18,125.63
127.03,128.45,129.48,127.03
128.29,128.85,129.34,127.24
127.94,128.79,129.41,127.40
128.24,128.00,128.24,126.69
126.50,126.71,127.13,125.00
127.13,129.55,130.61,126.31
130.68,132.05,132.23,130.22
131.85,130.13,132.33,129.91
129.35,128.37,130.11,127.83
127.92,129.42,129.90,127.37
129.55,131.57,133.85,129.55
131.57,132.96,134.11,130.64
133.61,134.54,135.40,133.11
132.63,133.22,133.79,131.99
132.96,133.51,134.43,132.38
130.48,132.90,133.99,129.76
132.48,131.24,133.06,130.07
133.57,132.31,133.57,131.44
133.00,134.57,135.95,132.66
134.14,133.05,135.33,132.86
133.40,130.83,134.49,130.54
131.02,132.75,133.36,130.68
132.51,133.81,134.88,131.55
129.00,130.48,132.62,127.13
131.50,131.24,133.62,130.97
130.31,131.36,132.21,128.88
132.01,131.21,132.04,129.65
131.59,132.54,132.75,130.53
132.44,133.84,134.45,131.41
134.20,136.02,136.43,134.11
136.02,136.98,138.33,135.43
137.48,138.61,140.43,136.70
138.66,141.90,142.42,137.06
141.77,137.56,143.21,137.38
137.06,135.77,137.25,135.17
135.50,135.70,137.24,134.54
134.76,137.39,137.49,132.68
134.92,137.34,138.49,134.92
138.54,138.59,140.69,138.50
138.00,138.09,139.95,136.78
136.87,136.64,137.68,134.67
136.96,136.56,138.84,135.63
137.57,138.70,141.05,136.96
138.79,136.90,142.73,136.32
137.27,134.11,138.89,133.37
134.50,138.82,138.93,134.15
139.02,136.99,140.91,136.14
135.87,137.98,138.19,132.63
137.36,136.79,138.75,135.26
137.35,135.23,138.06,134.36
136.75,137.65,138.04,134.29
136.49,128.97,136.49,128.22
129.47,127.90,129.47,125.18
125.25,122.70,126.80,122.15
122.70,123.20,123.77,120.27
122.40,125.68,126.11,122.40
126.66,125.53,127.64,123.81
126.00,123.30,126.69,122.38
123.48,122.44,123.75,120.10
124.18,119.70,125.00,119.45
120.59,120.18,121.70,118.91
121.00,117.46,121.94,116.92
117.46,117.84,120.89,117.24
118.44,118.58,118.70,117.11
117.76,118.54,118.91,116.78
118.92,120.95,121.18,118.45
120.52,119.57,121.70,118.75
119.26,115.33,120.00,115.22
116.25,115.10,116.62,114.34
113.25,114.15,115.25,112.64
114.84,112.92,115.67,111.75
113.11,114.37,114.84,113.11
113.53,112.03,115.02,110.86
114.96,115.90,116.13,113.58
115.94,114.36,115.95,112.28
114.30,117.65,117.83,114.30
116.77,115.98,118.11,115.11
114.58,113.66,114.80,112.31
112.55,114.56,115.09,112.55
114.63,112.41,114.83,111.69
112.28,113.58,115.28,112.02
113.45,112.52,113.45,109.63
112.90,114.45,114.64,112.70
113.90,114.08,114.79,112.21
114.41,114.81,114.98,113.18
114.06,116.45,117.18,113.75
115.36,112.96,115.36,112.02
112.41,108.43,112.41,106.72
105.85,106.52,106.92,104.32
106.40,105.70,106.69,104.31
105.90,107.85,108.10,104.91
111.37,111.37,111.48,109.48
111.60,112.77,113.48,110.34
112.65,114.45,114.50,112.43
113.88,111.56,114.52,111.17
111.72,112.40,113.21,110.12
111.05,110.97,111.99,109.26
113.41,115.01,115.43,111.62
114.86,113.54,115.62,113.29
114.41,116.60,118.00,114.19
116.18,116.65,117.59,115.50
115.90,118.22,118.97,115.36
117.15,117.58,117.82,115.90
117.26,117.77,118.12,115.55
118.20,116.15,118.48,115.68
116.15,118.30,118.48,115.50
118.67,121.44,122.02,117.61
120.89,123.82,125.45,120.89
124.99,121.31,124.99,121.05
121.47,121.76,122.76,121.11
121.67,123.34,123.99,121.40
122.60,120.88,123.68,120.67
120.90,121.79,122.29,119.92
121.86,122.22,122.33,121.01
121.84,121.95,122.34,121.34
121.92,121.96,122.74,120.72
121.38,120.45,121.44,119.69
121.33,122.19,122.53,120.07
121.18,122.61,123.05,120.33
122.46,123.40,124.47,122.11
124.35,123.43,125.34,122.94
124.38,124.09,126.57,123.63
124.03,123.32,124.57,123.09
123.48,125.38,125.58,122.85
125.04,125.85,126.48,124.64
125.91,128.13,128.58,124.30
129.38,130.38,133.19,129.11
129.61,130.24,131.64,129.02
130.34,129.31,131.78,128.79
129.52,127.14,130.00,126.10
126.40,128.37,128.76,124.64
128.98,127.88,129.51,127.69
126.25,127.38,128.87,126.25
127.90,124.27,128.28,124.18
123.94,122.22,123.94,121.51
123.40,123.75,125.61,122.35
122.97,121.48,123.45,120.30
121.81,120.63,123.51,120.30
103.83,100.95,105.08,99.85
99.92,100.56,101.17,98.66
100.74,102.38,102.78,100.63
102.55,102.56,103.68,102.28
101.78,102.39,102.51,100.80
102.68,102.34,102.96,101.24
101.95,100.54,102.95,100.00
101.62,103.21,103.47,101.07
102.77,103.52,103.53,102.15
103.54,102.95,103.58,102.08
103.67,102.55,104.00,102.03
102.50,103.71,103.88,101.78
102.00,106.47,107.29,102.00
107.53,105.35,108.36,105.01
105.43,104.80,106.22,104.37
103.03,103.84,104.19,100.86
104.35,103.81,104.94,103.02
104.08,103.33,104.97,103.00
103.33,104.25,104.56,103.00
104.13,103.66,104.13,102.08
103.55,102.51,103.88,102.00
104.39,101.25,104.50,101.01
101.29,102.26,102.88,100.59
102.64,103.34,104.11,102.03
101.90,100.97,101.90,100.13
100.99,97.11,100.99,96.96
96.95,97.52,99.17,94.72
95.50,98.24,99.50,95.50
97.90,98.80,99.70,97.25
99.13,97.85,99.48,97.21
97.53,98.73,99.09,95.70
99.07,100.52,100.95,98.21
100.95,101.73,103.68,100.77
101.30,100.96,102.94,100.58
101.15,101.11,102.02,100.36
101.99,102.45,102.52,101.28
101.26,101.11,101.81,100.09
101.11,101.65,102.20,100.83
101.25,102.68,102.75,101.03
103.00,101.96,103.78,101.64
101.78,103.18,103.44,101.36
103.99,102.54,104.54,101.87
103.12,105.58,106.96,101.95
106.51,106.64,107.94,105.08
106.54,105.05,106.63,104.26
105.03,107.00,107.08,104.32
107.34,107.32,108.65,106.61
107.51,106.79,109.23,106.30
106.92,106.71,108.12,105.68
106.51,106.09,106.75,105.06
105.08,105.64,107.35,104.72
105.51,104.03,106.00,103.71
104.53,106.42,107.95,103.43
106.48,108.54,109.84,106.24
108.39,109.51,110.25,108.20
110.70,108.97,110.84,108.02
109.07,109.59,109.71,108.52
109.85,108.75,110.44,107.98
108.67,109.72,109.97,108.57
109.41,108.22,109.90,107.75
107.76,109.31,109.50,107.57
111.22,112.22,112.34,109.87
112.04,111.08,113.64,110.86
111.35,111.86,113.35,110.88
111.11,110.19,112.30,109.00
109.85,110.65,110.74,108.31
109.86,110.11,110.29,108.45
109.85,110.58,110.99,108.16
110.85,110.45,111.46,108.82
111.06,109.80,111.06,109.63
109.65,110.57,110.67,109.11
110.23,112.91,113.12,109.85
112.81,112.80,113.50,112.10
112.67,114.26,114.53,112.61
114.54,116.55,117.09,114.13
115.94,116.27,117.61,115.94
116.31,116.54,117.62,115.17
117.85,118.74,119.15,114.09
118.50,119.79,120.67,118.48
119.80,119.42,120.33,118.95
119.42,117.20,119.48,116.88
125.65,127.64,128.94,122.05
128.93,134.36,134.97,127.03
133.32,133.31,137.56,132.72
133.51,132.45,134.31,132.01
132.20,129.67,132.33,129.35
130.00,130.19,131.61,128.15
130.01,131.81,132.02,130.01
131.35,131.50,131.74,130.10
131.51,131.60,132.23,131.00
131.72,132.09,132.87,131.10
131.41,134.00,135.61,131.41
133.53,133.23,134.22,132.00
133.76,135.58,136.00,133.30
135.20,134.00,137.51,133.70
133.01,134.89,135.14,132.09
135.75,136.27,139.91,133.64
136.99,131.83,138.25,131.68
132.47,133.30,134.87,131.79
133.75,136.36,138.00,133.39
136.37,137.15,137.47,135.66
135.23,136.38,136.84,133.66
135.97,133.90,136.60,132.72
134.90,136.51,138.18,133.95
136.94,136.00,137.59,134.44
136.24,135.17,136.83,134.23
135.95,135.41,136.50,134.53
135.87,135.57,137.18,133.79
135.07,133.87,135.34,132.64
133.71,135.31,136.11,133.34
135.37,137.78,139.03,135.37
138.28,136.68,138.85,136.22
135.11,137.06,137.73,134.95
137.04,137.51,137.66,135.37
138.42,138.34,138.86,135.80
138.06,136.74,138.06,135.65
136.92,138.42,139.39,136.92
138.74,137.12,139.13,136.75
137.46,138.32,138.72,136.19
137.66,138.75,139.11,137.28
138.62,137.92,138.75,136.77
138.00,134.12,138.10,133.05
134.47,135.86,136.71,134.37
135.92,131.58,135.92,130.39
131.49,131.37,131.99,130.60
130.17,133.12,133.42,129.44
133.08,132.86,134.54,132.23
132.90,134.37,135.26,132.89
134.50,137.69,137.90,134.50
138.51,138.16,138.66,136.32
138.18,136.20,138.18,134.88
133.86,126.60,134.28,126.32
127.80,129.65,129.76,127.00
129.07,126.24,129.07,124.27
139.89,136.50,139.89,134.00
138.62,139.50,139.83,135.65
139.81,144.37,145.76,139.78
144.78,144.22,145.89,143.36
145.01,144.52,146.88,143.93
146.00,142.00,146.29,141.95
142.39,140.08,142.62,139.48
140.78,142.68,143.21,139.38
142.07,144.78,145.11,140.57
142.95,141.49,143.58,140.64
141.89,142.74,143.54,141.89
142.18,144.98,146.37,142.18
144.63,143.24,144.89,142.43
144.30,145.59,146.11,143.03
145.86,146.64,146.81,145.30
146.50,144.80,146.50,144.40
145.00,147.04,147.16,144.60
147.13,146.71,147.13,144.71
145.79,146.23,147.00,145.49
145.73,144.75,146.77,144.45
144.67,144.61,145.49,143.19
145.00,146.44,147.04,144.96
146.13,146.71,147.49,145.80
146.57,146.80,147.96,144.69
146.72,144.82,147.52,144.21
142.12,142.82,143.44,140.99
141.62,143.46,143.86,139.22
144.61,143.22,145.38,139.95
142.09,141.38,143.24,140.81
141.24,138.64,141.71,138.45
137.86,137.76,140.05,137.08
137.60,137.17,137.61,134.27
136.79,134.35,138.16,133.80
133.09,134.03,135.84,133.02
134.02,136.84,136.84,133.54
137.72,140.00,140.32,135.96
140.23,139.07,140.23,137.37
137.25,137.04,139.08,136.72
138.49,137.04,139.07,136.63
137.05,140.58,140.84,137.05
140.57,140.83,141.90,140.10
142.24,149.78,150.96,142.12
150.35,153.63,154.63,149.00
154.11,152.34,155.32,151.91
