BLK,BlackRock,NASDAQ
193.00,195.41,195.86,193.00
195.42,197.54,198.22,194.00
198.00,200.67,201.18,197.70
202.50,205.56,205.56,201.38
207.25,199.35,207.42,199.29
199.43,199.58,201.03,197.89
196.28,193.63,196.33,193.54
192.88,187.85,193.98,187.51
189.04,189.64,191.57,188.48
189.26,189.69,190.86,188.94
190.19,192.32,193.15,187.44
190.11,185.82,191.69,185.27
186.21,188.93,189.22,186.00
191.71,192.56,193.00,191.12
190.53,186.32,191.38,185.51
186.99,188.13,189.00,185.19
190.95,187.34,191.00,186.90
186.85,189.40,189.79,186.14
190.35,190.73,191.85,188.67
189.69,189.14,191.41,189.08
186.18,187.37,187.99,184.71
187.48,184.39,187.86,183.51
184.56,187.07,187.42,184.10
187.47,189.26,189.28,186.20
190.48,191.89,192.50,189.23
192.81,191.81,193.28,189.84
192.05,196.42,196.64,191.10
195.44,194.51,196.35,194.18
194.19,195.55,195.78,193.09
197.76,198.49,199.10,197.05
195.25,195.45,195.85,193.86
190.17,186.38,192.45,185.82
185.40,183.69,188.56,183.50
185.23,185.05,187.00,184.50
186.35,182.27,186.81,181.76
187.79,184.54,187.80,182.35
184.24,180.25,184.24,178.78
181.49,183.69,183.94,179.71
189.57,184.50,191.49,184.14
184.75,187.72,188.58,184.75
188.21,187.92,189.99,187.50
185.50,186.00,187.42,184.20
188.73,184.42,188.73,183.52
184.58,176.84,184.58,175.65
177.34,175.07,178.26,174.05
172.50,178.46,179.58,172.38
181.40,178.36,181.50,175.09
179.52,174.49,179.52,173.95
174.61,173.45,176.71,169.54
170.88,163.25,172.68,162.88
165.64,161.58,167.56,157.00
154.03,145.25,159.74,145.14
150.02,156.54,156.69,144.64
151.56,148.06,155.12,145.87
150.05,161.98,164.52,148.67
167.06,161.07,168.50,159.91
162.63,165.14,165.64,162.01
164.81,161.16,164.81,158.91
162.33,161.18,164.68,159.38
157.76,152.28,157.76,150.50
150.25,151.33,156.04,150.00
155.24,152.17,156.47,151.48
153.30,159.41,159.44,150.24
158.35,163.73,163.73,156.76
165.22,158.64,167.97,157.01
158.05,160.99,163.01,154.58
163.77,168.18,168.29,163.00
167.25,167.00,168.94,165.64
166.57,164.75,167.34,163.07
164.72,162.68,166.40,162.15
160.19,156.04,161.07,155.05
150.25,152.41,152.62,148.90
154.81,158.91,159.02,154.23
157.75,155.86,158.31,155.52
154.49,151.07,154.94,150.08
149.26,151.30,152.05,148.10
153.36,151.22,153.68,150.07
153.00,152.30,154.32,149.10
154.23,159.18,159.46,153.50
159.98,160.88,161.89,157.71
156.50,156.25,157.72,154.50
157.54,155.58,159.42,155.34
155.39,147.22,156.83,147.21
142.66,144.75,145.45,140.22
143.56,147.63,147.88,142.79
148.01,150.35,150.64,144.68
153.90,152.49,157.75,151.14
157.72,148.55,157.72,148.26
152.73,151.66,152.78,148.07
149.36,148.01,151.57,147.61
146.81,141.77,148.70,141.43
140.06,147.20,147.57,137.00
147.52,150.49,151.14,145.51
150.47,151.67,152.19,145.30
152.35,147.78,153.00,147.69
152.88,155.25,156.72,150.93
153.45,153.06,155.44,152.02
154.49,156.00,160.19,154.33
155.53,153.65,155.53,149.52
154.05,155.91,159.49,154.05
154.25,150.73,155.37,150.25
151.02,156.30,157.76,150.28
153.00,148.92,154.00,148.06
149.04,152.16,153.51,146.53
154.51,154.32,155.75,152.15
155.70,157.48,158.34,154.13
158.23,150.38,158.23,149.93
153.23,154.37,155.25,151.42
159.97,163.67,170.42,159.66
169.10,169.78,170.80,165.23
166.51,157.79,166.92,157.75
152.09,150.00,155.13,149.84
152.63,155.52,155.99,150.74
157.13,159.26,160.22,153.05
157.02,157.60,158.68,154.57
158.01,160.05,160.24,155.60
163.39,163.16,163.91,159.43
159.06,153.23,159.06,152.99
156.27,159.88,160.76,154.46
161.98,164.33,166.00,160.50
162.80,163.12,165.19,161.77
162.88,165.88,168.33,162.40
163.43,161.33,164.88,160.94
160.96,159.60,163.16,158.74
160.89,159.26,161.20,158.12
156.43,156.61,158.00,154.29
156.32,155.81,157.66,154.06
153.78,151.49,154.90,151.44
151.23,151.27,153.77,150.35
157.81,159.83,160.34,157.35
159.55,161.03,162.79,158.91
167.60,172.04,172.53,166.07
169.50,167.41,170.24,165.45
169.65,169.02,173.22,168.12
172.94,176.31,176.50,172.12
176.23,173.46,176.23,172.00
172.89,174.37,175.21,170.98
172.65,167.50,172.89,167.13
168.61,172.68,173.55,168.29
166.34,169.48,170.32,166.34
171.00,167.75,172.34,165.37
166.80,166.94,168.68,165.28
169.88,167.84,169.95,167.50
168.72,170.33,170.89,167.87
170.57,165.60,170.89,165.09
169.54,173.14,173.91,169.22
173.34,173.35,174.46,170.11
173.88,175.49,176.20,173.51
176.70,178.41,178.73,175.00
178.18,177.84,179.77,177.02
177.88,176.44,177.88,175.90
177.40,179.40,179.50,176.55
179.40,178.24,179.43,177.87
183.65,181.27,185.96,180.87
179.55,179.96,180.87,177.64
179.50,179.33,179.92,175.18
179.68,179.13,180.95,177.51
179.30,179.25,179.86,177.30
182.42,183.09,183.60,181.00
182.03,183.87,184.10,179.04
186.91,187.06,187.17,182.26
185.74,186.57,186.92,184.40
188.62,187.46,190.40,186.92
187.50,187.80,188.75,185.61
187.00,187.54,187.80,181.05
184.75,182.82,186.59,180.83
