LNN,Lindsay Corporation Common Stock,NASDAQ
34.57,34.78,34.96,34.45
34.50,35.62,36.00,34.50
35.87,36.00,36.54,35.58
36.23,36.29,36.47,35.69
36.71,36.34,37.08,36.00
36.54,35.80,36.96,35.72
35.72,35.17,35.83,34.83
34.95,34.98,35.44,34.62
35.05,35.10,35.26,34.56
35.01,33.98,35.28,33.90
33.37,32.41,33.61,32.39
33.97,31.69,34.49,31.59
32.64,32.24,32.64,30.81
32.32,31.75,32.38,31.44
32.52,31.44,32.55,31.23
31.47,31.93,31.97,30.80
32.32,33.63,33.73,32.16
33.51,34.32,34.36,33.45
34.04,32.60,34.05,32.45
33.16,33.49,33.71,32.68
33.14,33.28,33.60,32.87
33.28,33.66,33.85,32.20
33.35,32.42,33.53,32.31
32.63,33.09,33.17,32.17
32.77,33.49,33.58,32.49
33.52,33.02,33.94,32.80
33.59,33.78,34.00,33.33
33.52,34.58,34.75,33.41
34.79,34.49,34.91,34.26
34.91,34.57,34.98,34.17
34.43,34.18,34.67,33.95
34.60,34.52,34.90,33.61
34.02,34.78,35.03,33.90
35.40,34.62,35.64,34.18
34.35,35.63,36.20,34.29
35.88,36.13,36.19,35.73
35.90,37.77,38.15,35.84
37.50,38.00,38.19,37.21
38.03,37.76,38.05,37.47
37.12,36.89,37.39,36.68
36.40,35.19,36.40,35.06
34.45,35.63,35.93,34.42
35.42,34.14,35.42,33.70
33.88,34.96,35.22,33.65
35.22,36.59,37.46,35.22
36.67,37.15,37.44,36.01
36.82,36.45,37.14,35.85
36.34,36.45,36.57,35.71
36.64,35.96,36.83,35.84
35.61,36.04,36.38,35.15
35.68,36.52,36.57,35.50
36.55,36.72,37.29,36.53
37.27,37.77,38.00,36.75
37.81,36.51,37.86,36.51
36.37,36.87,37.40,36.06
37.32,38.51,38.59,37.22
38.31,39.38,39.62,38.07
39.74,40.13,40.30,39.37
39.84,39.29,39.90,39.02
39.42,39.47,39.95,39.04
40.05,39.36,40.15,39.04
39.41,39.27,39.91,39.00
39.71,39.82,40.64,39.71
39.79,39.86,40.95,39.61
39.88,40.04,40.25,39.06
39.85,40.20,40.31,39.78
40.67,41.02,41.45,40.00
41.10,42.84,42.95,41.08
42.72,42.50,42.94,42.16
42.59,42.92,43.11,42.27
42.56,42.48,43.34,42.13
43.12,43.38,43.58,42.91
43.52,43.79,44.12,43.01
43.59,43.53,43.68,42.34
43.23,44.28,44.34,43.02
44.39,43.32,44.71,42.69
43.56,42.75,43.56,42.32
42.42,41.24,42.94,40.61
41.82,42.76,42.88,41.64
42.75,43.61,43.70,42.40
43.78,43.32,43.78,42.80
43.57,48.29,48.48,43.51
48.00,48.79,49.93,47.98
48.73,48.75,48.95,47.92
49.13,51.11,51.33,49.11
49.81,50.63,50.70,49.27
51.27,51.17,51.61,50.60
51.05,51.30,51.88,51.02
50.58,49.30,51.12,48.94
51.17,57.78,57.87,51.00
56.40,57.59,59.59,55.65
57.52,58.30,58.84,57.21
58.94,56.72,59.30,56.55
56.37,57.10,57.61,55.59
56.68,56.59,56.84,55.23
57.00,56.60,57.12,55.76
56.17,57.65,58.27,56.17
58.14,56.46,58.44,55.79
57.65,57.08,57.69,55.98
57.10,59.08,59.23,57.08
59.70,62.70,63.17,59.70
62.30,61.82,62.50,61.69
61.55,62.30,63.00,60.84
62.77,63.48,66.48,62.03
63.26,65.42,65.52,62.53
64.15,63.75,65.00,63.35
62.93,58.72,63.32,58.37
59.35,59.09,60.76,57.90
58.47,59.07,59.66,57.60
59.08,59.40,59.75,58.54
59.51,59.92,60.75,59.31
59.82,58.77,59.94,58.60
58.39,59.08,59.33,57.91
58.24,57.67,58.69,57.01
58.14,61.14,61.38,58.07
60.53,61.03,61.35,60.30
60.49,58.34,60.49,57.82
57.55,59.04,59.42,56.78
60.21,60.29,61.37,59.59
58.50,60.21,60.44,58.00
60.10,62.08,62.36,59.41
62.28,64.71,65.00,61.41
65.75,66.49,67.21,65.75
66.46,65.32,67.35,64.96
65.75,63.73,65.96,63.56
63.94,66.16,66.50,63.90
66.60,70.51,72.80,66.48
70.79,69.05,71.51,68.70
69.06,68.96,70.75,68.73
69.25,68.08,69.25,67.75
67.63,67.12,67.74,65.31
67.33,68.07,70.42,67.33
68.28,67.55,68.50,66.09
63.61,62.00,64.86,61.58
61.51,61.82,63.15,60.45
61.88,59.99,62.42,59.20
59.95,59.06,60.23,58.36
59.36,61.16,61.51,59.02
61.19,60.76,61.87,60.49
60.68,59.43,60.92,59.05
59.87,59.93,60.98,59.57
59.96,62.59,62.67,59.96
62.26,63.47,64.87,62.21
63.67,62.52,63.67,61.70
62.61,62.20,63.37,61.66
61.72,66.25,67.61,61.71
66.70,66.29,67.79,65.71
67.03,67.61,68.80,66.86
67.61,67.51,68.37,66.58
68.21,67.95,68.23,66.71
67.93,67.08,67.93,66.74
66.81,65.87,66.96,65.64
65.25,63.08,65.49,61.63
63.49,62.81,64.19,62.00
63.04,64.77,66.20,63.04
64.51,64.22,64.51,63.28
64.25,64.79,65.19,63.71
64.79,66.04,66.35,64.70
66.00,63.76,66.06,62.80
63.83,65.08,65.19,63.78
65.63,69.13,69.26,65.63
68.95,68.25,70.79,67.65
67.99,67.95,68.35,66.44
68.39,69.51,70.42,68.08
69.51,71.32,71.64,69.51
71.13,71.39,71.43,70.65
71.02,70.49,71.75,69.76
69.97,71.35,72.38,69.37
70.76,70.70,71.39,70.23
70.94,74.33,74.54,70.93
75.21,70.60,75.21,70.46
71.24,70.80,72.17,70.39
70.68,70.95,71.50,70.38
71.74,76.78,79.56,71.34
75.20,70.28,75.20,69.66
70.24,68.52,70.24,66.73
68.96,68.80,69.95,67.16
69.34,71.20,71.59,69.14
71.69,70.61,73.74,70.00
71.01,68.75,71.36,67.46
68.99,68.82,70.86,67.68
69.97,73.00,73.81,69.73
73.88,73.22,73.88,72.01
73.78,72.35,73.78,71.58
72.35,73.79,74.00,72.06
73.43,74.51,74.99,73.20
73.05,70.91,73.51,70.64
70.00,70.26,70.89,68.92
69.10,72.13,72.46,69.10
69.67,71.83,72.41,69.46
71.63,69.50,72.79,68.82
70.90,72.36,72.83,70.40
73.70,72.28,75.55,71.41
73.95,74.19,75.00,73.52
74.28,74.21,74.76,73.35
73.90,74.88,75.13,73.16
75.07,75.60,76.91,74.80
76.28,77.32,78.19,76.01
77.39,75.98,78.40,75.85
75.76,76.13,77.38,73.90
82.19,79.19,85.87,77.18
78.69,79.02,79.43,76.64
79.94,77.35,79.94,76.88
78.00,78.37,79.30,77.46
77.84,77.07,78.00,76.06
77.96,75.38,78.25,74.62
75.30,72.95,75.50,71.75
74.41,73.00,77.00,72.42
72.98,71.32,73.00,70.36
70.01,70.19,70.93,69.52
71.39,70.72,72.00,70.18
70.04,70.63,71.13,70.00
71.01,71.67,72.80,70.37
70.63,70.55,71.60,69.83
70.99,70.88,71.59,69.89
72.48,72.45,73.40,71.67
73.42,74.15,74.30,72.91
73.93,72.61,74.99,72.00
73.04,73.12,73.64,71.79
73.13,71.56,73.19,70.86
71.49,72.80,73.03,71.48
72.83,73.32,73.78,72.21
73.75,72.44,73.75,72.20
72.04,67.89,72.40,67.28
67.73,64.76,67.78,62.94
64.16,64.57,65.44,63.64
65.80,65.06,66.32,64.45
65.00,65.10,65.25,64.48
65.56,66.97,67.86,65.50
66.70,64.15,66.81,63.60
63.79,65.17,65.77,63.51
65.23,63.69,65.46,63.65
63.41,62.30,64.30,62.27
62.17,62.54,63.21,61.85
64.20,64.99,65.44,63.33
65.51,64.83,66.47,64.35
64.53,63.95,64.60,63.49
63.48,63.07,63.48,62.55
63.46,62.55,64.39,62.54
62.55,64.31,64.78,62.29
64.02,66.08,66.15,63.80
66.75,66.00,67.29,65.54
66.97,67.08,67.11,66.23
66.73,63.28,66.73,62.66
63.50,64.56,64.99,63.31
63.25,64.44,64.87,62.78
64.38,61.15,64.38,60.25
61.76,61.53,62.51,61.16
61.42,57.84,61.53,57.21
58.26,61.35,62.62,58.06
60.73,59.46,61.12,59.03
59.91,58.07,60.53,58.01
59.35,61.45,61.86,58.78
60.32,59.65,60.61,58.70
59.53,60.57,60.72,58.93
61.36,59.60,62.12,58.72
59.28,59.48,59.77,58.96
60.22,61.92,62.46,60.22
61.64,62.33,63.00,61.64
61.81,62.09,62.38,59.76
62.33,62.16,63.21,61.97
62.23,63.34,63.57,61.88
63.65,65.62,66.00,63.65
70.26,68.99,70.98,66.33
69.24,68.80,70.14,68.20
69.13,70.39,70.97,68.40
70.44,70.84,71.75,70.38
70.72,71.00,71.65,69.67
71.93,72.82,73.03,71.60
71.11,72.57,72.73,70.64
71.24,69.98,71.86,69.60
69.72,69.58,70.81,69.34
70.19,71.04,72.09,70.19
71.34,68.09,71.86,68.00
69.12,70.71,70.98,68.56
70.46,68.61,70.71,68.03
69.85,69.12,70.78,68.59
69.38,68.85,69.40,68.32
69.44,70.16,70.36,68.58
69.84,70.00,70.59,69.50
68.97,70.66,71.02,68.64
70.41,68.41,70.50,68.00
68.00,65.00,68.00,64.66
65.13,63.99,65.95,63.76
62.72,63.30,64.09,61.41
64.59,62.96,65.30,62.18
62.30,60.25,63.59,60.23
60.18,61.36,62.21,59.28
60.09,56.81,60.60,56.79
58.66,55.08,58.66,52.58
52.38,47.68,53.71,47.68
49.89,55.11,55.11,49.54
52.79,51.55,54.15,51.41
52.38,55.87,57.01,52.24
56.75,57.74,58.33,56.10
58.39,58.59,59.22,57.61
57.71,55.46,57.71,54.96
56.13,54.67,56.13,54.00
52.02,51.49,52.37,50.77
50.03,50.80,52.95,50.03
52.79,51.33,52.89,50.52
52.81,56.08,56.21,52.55
55.80,57.09,57.31,54.85
57.74,55.24,58.39,55.16
54.73,57.75,57.77,53.66
59.41,61.43,61.52,59.07
60.59,62.57,63.27,60.59
63.20,62.20,64.24,61.36
62.13,60.74,63.40,60.33
58.24,57.82,59.65,57.17
56.71,59.25,59.32,55.80
60.74,60.98,61.40,59.29
60.32,59.17,61.21,58.93
58.10,56.59,58.72,56.05
55.54,58.58,58.63,54.67
59.06,59.76,60.18,58.47
60.42,60.15,61.16,58.79
61.19,61.58,61.80,59.71
62.20,61.30,62.20,60.64
59.52,60.31,60.89,58.91
60.64,57.31,61.10,57.23
57.13,53.57,57.33,53.48
51.04,50.62,52.33,50.01
50.55,52.61,53.05,50.34
53.52,56.39,56.55,52.94
58.17,58.19,59.42,57.52
57.49,54.49,58.49,54.20
56.21,55.63,56.68,53.53
54.11,53.80,56.85,53.56
53.16,49.78,54.05,49.77
49.00,52.60,52.99,46.03
52.78,53.70,54.35,51.47
53.51,54.54,55.98,52.96
54.91,53.43,54.99,52.89
55.13,56.62,56.78,54.63
56.06,58.32,58.75,55.90
59.24,60.27,61.18,58.82
56.02,56.93,59.59,54.21
57.30,58.53,58.60,55.70
57.71,55.34,57.71,54.99
55.76,56.07,56.70,53.92
56.04,53.50,56.04,53.23
53.86,51.94,54.40,51.43
53.33,53.75,54.43,52.46
54.43,57.84,58.25,54.17
57.55,56.93,58.65,56.72
58.38,58.02,58.59,56.11
61.51,61.87,62.64,59.52
61.04,60.50,61.31,60.15
59.08,58.10,59.64,58.07
54.60,55.65,57.08,54.25
57.12,57.50,57.90,56.46
58.67,60.81,61.00,57.27
60.34,60.80,61.07,59.30
60.79,59.90,60.79,58.43
60.85,61.32,61.70,58.36
59.02,58.40,59.40,58.12
59.75,58.50,59.75,57.86
59.52,60.90,61.02,59.22
60.40,59.47,60.48,59.31
59.05,59.14,60.47,57.45
58.50,58.70,60.97,58.19
58.29,55.29,58.33,54.44
55.57,56.04,56.29,55.13
54.53,53.07,54.68,52.50
53.20,52.57,53.83,52.05
52.23,50.63,53.17,50.51
50.26,49.53,51.04,49.36
51.72,52.14,52.21,50.84
52.29,52.13,52.46,51.59
55.37,56.49,56.66,55.10
56.15,55.81,57.42,55.71
56.91,55.48,57.48,55.29
56.96,55.62,57.25,54.96
55.43,55.46,56.20,55.16
54.75,54.81,55.19,53.81
54.09,51.97,54.87,51.73
52.17,53.93,54.16,51.76
52.81,53.22,53.30,52.22
54.10,51.70,54.55,51.26
50.90,50.37,51.34,49.50
51.30,50.34,51.60,50.26
50.72,50.45,52.33,49.97
50.84,49.82,51.18,49.70
51.70,53.60,54.19,51.22
56.70,52.50,56.70,49.17
53.97,54.65,54.98,52.69
55.00,55.12,55.98,54.40
54.68,55.63,55.94,54.58
55.80,54.03,55.96,53.72
54.43,55.08,55.43,54.30
55.10,54.89,55.71,54.79
56.57,55.86,56.99,55.67
55.28,55.44,55.96,54.57
55.06,56.00,56.22,54.30
56.01,55.23,56.08,55.00
55.66,55.42,56.06,54.79
56.22,56.61,56.78,55.63
55.99,56.77,57.31,55.82
56.82,56.12,57.07,55.82
55.79,56.44,56.50,55.42
56.96,55.98,58.09,55.71
55.97,59.50,59.77,55.85
59.77,60.78,61.40,59.72
60.75,59.97,60.75,59.12
60.21,60.75,60.96,59.67
60.12,60.25,60.31,58.88
60.35,62.98,63.13,60.35
63.50,61.09,63.55,60.91
60.77,61.96,62.21,60.77
61.06,61.82,62.19,60.92
62.47,61.13,62.52,60.69
61.98,64.01,64.31,61.53
64.02,63.55,64.02,62.76
64.75,65.68,66.58,64.45
64.36,63.74,64.36,61.32
63.55,63.63,64.41,63.48
64.10,63.35,64.36,62.36
63.34,62.14,63.94,61.73
61.08,60.63,61.21,59.77
62.38,63.36,63.36,61.76
62.69,62.78,62.90,61.89
63.35,63.04,63.88,62.60
63.28,64.26,64.41,62.79
64.63,64.84,65.13,64.26
64.95,64.87,65.36,64.19
64.16,64.28,65.24,64.04
64.14,65.15,65.33,63.07
65.24,64.21,65.60,64.13
63.29,65.37,65.72,62.75
65.32,64.53,65.62,64.12
64.67,65.59,67.27,64.31
66.03,64.68,66.25,64.55
64.51,63.02,64.89,62.64
62.91,61.91,63.15,61.77
61.00,59.32,61.42,58.79
59.65,60.13,60.24,59.34
60.70,61.33,61.54,60.05
61.55,61.78,62.90,61.20
61.68,60.99,61.71,60.80
61.73,62.64,62.67,61.08
62.40,62.07,63.12,61.38
62.13,63.72,63.99,62.02
63.77,64.13,65.34,63.73
64.16,64.87,65.43,63.91
64.12,64.52,65.03,63.39
64.74,63.95,64.83,63.60
63.17,63.99,64.14,62.02
63.83,65.59,66.10,63.82
66.77,68.70,70.13,66.63
68.69,66.74,68.74,66.46
68.72,67.03,68.92,65.15
66.47,65.97,66.88,64.78
66.79,66.27,66.79,65.51
66.27,67.13,67.47,65.66
66.97,67.00,67.20,66.25
65.79,65.70,66.29,64.91
65.17,64.74,65.38,64.38
63.07,63.40,63.61,62.44
63.39,61.72,63.70,61.50
62.60,62.62,63.04,61.73
62.58,66.12,66.35,62.48
65.38,64.89,66.10,64.47
65.47,64.09,65.52,64.02
65.00,65.25,65.75,64.45
64.62,65.24,65.80,64.62
65.47,63.95,65.52,63.37
65.29,66.34,66.40,64.72
64.73,65.60,65.76,64.73
65.74,66.88,66.98,65.55
68.13,68.31,68.95,67.76
68.01,68.59,68.60,67.52
68.99,68.70,69.39,68.03
68.41,66.79,68.83,66.59
66.87,66.20,67.37,66.17
65.84,66.16,66.59,65.48
66.36,64.90,66.51,64.77
64.20,62.83,64.45,62.67
62.62,62.44,63.21,62.14
61.75,62.30,62.35,60.09
61.55,62.19,63.02,60.47
62.98,61.89,63.10,61.43
61.18,62.12,62.91,60.89
61.21,61.25,61.86,60.81
61.27,60.36,61.45,60.11
60.70,60.65,61.89,60.38
60.33,54.89,60.59,54.73
54.98,55.25,55.92,52.98
56.29,57.78,58.02,56.20
58.16,56.34,58.16,55.97
55.61,57.47,57.51,55.09
57.59,57.06,58.11,55.95
57.21,56.64,57.34,56.24
57.33,57.74,58.38,57.17
56.94,56.04,57.08,55.80
55.92,55.65,56.16,54.57
53.94,54.77,55.41,52.68
55.13,54.95,55.49,53.53
54.46,54.66,55.26,53.09
55.34,57.44,57.70,55.20
58.24,57.72,58.80,57.54
57.44,58.31,58.47,57.00
59.14,55.57,59.14,55.47
56.06,57.35,57.57,55.44
57.48,55.61,57.61,55.26
55.79,55.24,56.29,55.17
55.53,55.68,56.43,54.91
55.24,56.94,57.34,55.24
57.39,58.40,58.91,57.39
58.22,57.86,58.52,57.59
57.75,57.57,58.04,56.78
57.95,57.45,58.23,56.75
56.25,56.82,57.14,55.98
56.92,56.27,57.26,56.16
57.77,61.89,63.58,57.77
61.44,65.77,67.02,61.44
67.28,64.90,67.49,64.69
65.31,65.95,65.96,64.51
65.94,68.00,68.11,65.57
67.42,70.23,70.45,66.72
69.17,69.08,69.66,68.15
69.00,69.00,69.67,67.87
69.79,68.64,70.00,68.35
68.91,69.24,69.43,68.06
68.71,69.57,70.27,67.92
70.02,70.18,70.54,68.85
70.14,69.76,70.45,68.96
70.11,69.82,70.44,68.78
69.38,71.16,71.99,68.96
71.64,71.59,72.32,71.25
71.32,71.98,72.98,70.98
70.60,71.01,71.52,70.09
71.47,70.31,72.14,69.33
70.71,67.78,70.96,67.06
69.28,70.96,71.16,69.01
71.30,73.24,74.40,70.89
72.03,70.56,72.52,69.77
70.27,70.90,72.30,69.51
71.49,69.86,71.87,69.77
69.40,70.01,70.55,69.13
71.73,72.19,72.98,70.89
72.52,71.65,72.75,71.41
72.32,71.65,73.09,71.59
71.50,71.96,72.68,71.50
72.09,73.57,73.96,72.09
73.36,73.84,74.62,72.73
73.60,71.99,73.60,71.31
72.50,71.88,72.89,71.59
71.39,71.56,71.83,70.25
71.58,71.87,72.11,70.21
71.81,72.28,72.50,71.63
72.09,72.30,72.39,71.47
72.75,71.80,73.84,71.65
71.37,68.91,71.87,68.20
68.48,67.67,69.19,67.07
67.36,66.89,67.70,66.34
67.05,65.61,67.30,65.28
65.58,65.89,66.18,64.46
65.87,67.33,67.45,65.48
66.43,65.76,67.07,65.66
66.06,65.36,66.60,65.33
65.57,66.46,66.60,64.52
66.13,67.68,67.89,66.13
68.48,69.72,70.21,67.82
70.17,70.55,71.31,70.05
70.63,69.73,70.63,68.66
69.79,69.95,70.83,69.49
70.59,69.70,70.59,68.68
69.99,69.63,70.30,68.08
69.74,69.38,70.04,68.97
69.43,69.49,69.60,68.64
69.67,69.88,70.42,68.93
69.93,68.37,69.93,68.36
68.00,68.10,68.79,67.42
68.92,68.94,69.74,68.23
68.80,69.66,70.05,68.43
70.14,69.48,71.00,69.34
69.73,69.23,70.23,68.50
69.61,71.00,71.52,69.19
70.50,71.97,72.83,70.50
72.61,72.32,73.97,71.63
72.87,72.95,73.35,71.95
72.91,72.47,72.91,71.56
72.68,72.88,73.11,71.92
73.28,73.74,73.93,72.93
73.64,73.78,73.91,72.74
73.97,73.50,74.02,73.18
73.37,71.25,73.50,71.11
71.94,72.19,72.62,71.38
72.14,72.12,72.73,71.56
72.20,72.79,72.82,71.96
73.50,74.51,74.51,73.30
71.21,71.15,71.83,66.98
73.16,77.00,77.46,72.91
76.08,76.73,79.07,76.06
76.76,76.07,76.91,75.00
75.19,75.23,75.30,74.55
75.49,75.68,76.14,74.31
75.75,74.54,76.66,74.40
74.74,75.06,75.53,73.64
75.08,76.37,76.51,74.63
76.76,78.65,79.00,75.86
79.47,76.98,79.50,76.65
76.78,77.02,77.47,75.35
77.61,77.50,78.92,76.93
76.95,75.92,77.06,75.50
75.64,75.50,76.54,75.28
75.50,75.69,77.22,75.48
75.86,75.48,76.40,74.69
74.75,75.72,77.14,74.14
75.72,73.54,75.72,73.35
73.35,73.81,74.40,73.13
73.56,73.14,74.38,71.98
73.97,74.65,74.75,73.59
74.70,74.68,74.87,73.70
74.50,75.02,75.23,73.60
73.37,75.36,75.78,73.35
75.28,76.57,76.57,75.18
76.75,78.18,80.01,76.75
78.05,78.24,78.68,76.62
78.73,79.57,80.28,78.43
79.98,79.09,80.48,78.25
79.09,77.13,79.93,76.70
77.36,78.04,78.08,76.60
78.45,77.02,78.45,76.61
77.19,77.54,77.78,75.01
76.69,75.63,77.48,75.20
75.78,75.86,76.74,75.37
76.39,76.54,77.28,75.58
76.64,76.47,77.61,76.16
76.44,75.47,76.93,73.86
75.54,75.40,76.32,74.85
75.82,76.17,76.71,74.92
76.12,77.87,78.42,75.64
78.06,77.28,78.45,77.03
77.56,78.04,78.82,77.25
76.97,77.74,78.34,76.51
77.75,77.44,77.75,76.07
77.39,77.56,78.41,77.24
77.52,77.03,77.52,75.99
76.59,77.87,78.75,76.42
78.05,80.12,80.39,77.45
81.38,82.54,84.17,81.06
82.46,81.94,83.59,81.61
82.38,81.26,83.66,80.55
80.81,80.02,81.37,78.29
85.45,86.03,88.54,83.32
86.57,90.43,91.05,86.57
90.56,90.67,91.10,88.30
90.99,90.39,90.99,89.52
90.51,89.96,90.93,88.79
89.70,91.18,91.52,89.40
91.48,90.23,91.48,89.48
90.87,92.52,93.27,90.67
92.52,92.33,92.86,91.27
92.32,92.58,92.58,91.02
92.80,92.45,93.28,91.97
92.79,93.50,94.71,92.32
94.11,94.57,94.90,93.52
94.47,93.85,94.47,92.33
94.00,93.60,94.49,92.81
93.26,91.87,93.37,91.13
91.87,93.04,94.32,91.13
93.61,93.25,94.56,92.98
92.57,91.76,93.26,91.37
92.42,92.90,93.70,92.02
92.67,93.41,93.48,92.03
93.26,90.08,93.26,89.71
90.10,91.37,91.79,90.03
91.63,91.49,91.92,90.50
91.61,90.65,91.99,90.47
90.65,91.49,91.76,90.39
90.99,91.36,93.00,90.91
91.82,89.55,91.82,89.04
89.65,88.40,90.24,87.59
88.21,85.33,89.27,85.29
85.22,84.34,85.72,83.36
84.76,84.39,85.31,83.83
85.04,81.37,85.34,80.98
81.78,82.32,82.86,81.18
82.51,84.95,85.26,82.32
85.00,85.45,85.86,84.63
85.24,84.44,85.61,82.63
84.45,84.15,85.69,83.60
85.04,86.43,87.60,84.94
86.95,86.88,87.47,86.19
86.82,88.03,88.43,86.82
88.93,89.35,89.36,87.56
89.39,88.99,89.59,87.74
88.91,88.16,88.91,86.82
88.14,88.81,89.20,86.68
89.21,92.73,92.79,88.58
92.98,93.79,94.09,92.52
90.89,92.99,94.03,90.71
93.00,91.30,93.17,90.62
91.35,93.00,93.93,91.35
92.73,91.87,93.48,89.45
92.18,93.50,94.20,91.80
93.86,91.09,93.93,89.77
91.69,92.37,92.79,90.74
93.50,90.01,94.50,84.51
90.42,88.18,90.84,86.40
88.23,87.18,88.23,83.80
87.16,82.35,87.16,81.44
82.79,82.82,84.14,81.69
82.74,81.49,82.74,80.61
80.12,81.23,81.37,79.62
81.14,81.98,82.24,80.91
82.04,82.01,83.06,81.85
82.40,82.29,82.99,81.64
82.13,82.22,83.00,81.96
81.81,80.28,81.98,78.67
79.59,76.69,79.87,76.56
77.12,77.22,78.15,76.60
76.47,75.61,76.47,74.24
75.61,74.49,76.00,74.26
74.94,74.71,75.50,73.43
74.88,74.61,75.48,73.43
74.78,75.18,75.65,74.42
75.43,75.62,75.86,74.66
75.90,76.11,77.04,75.76
76.06,76.26,76.45,74.56
76.43,77.46,78.25,76.29
77.24,76.82,77.47,76.70
76.67,74.32,76.82,74.26
74.71,75.83,76.56,73.79
77.06,77.26,78.66,76.28
77.62,76.38,78.24,75.83
76.27,77.95,77.96,75.43
78.33,80.95,81.16,78.10
80.86,81.02,82.02,80.79
81.00,80.56,81.17,80.24
80.41,80.21,80.70,79.30
80.39,81.88,81.96,80.14
81.17,82.99,83.11,81.17
82.96,80.61,82.98,80.06
80.69,80.95,81.02,80.39
80.95,80.59,81.00,80.32
80.81,81.38,81.80,80.08
81.32,79.68,82.09,79.12
77.50,80.07,80.37,77.37
79.65,78.73,79.66,78.08
79.95,81.18,81.31,79.76
80.73,80.21,80.92,80.04
80.62,81.15,81.30,80.29
80.80,81.25,82.97,80.52
81.45,81.82,81.93,79.60
81.69,80.35,82.23,79.97
80.06,78.84,80.16,78.69
78.65,80.69,81.17,78.65
81.25,80.86,81.70,80.35
81.09,81.36,81.40,80.21
80.21,80.11,81.46,79.26
80.85,79.12,81.16,78.91
78.90,79.17,79.75,78.62
78.93,78.42,79.57,78.39
78.96,79.11,79.97,78.63
79.36,79.38,79.78,78.78
79.50,78.51,79.50,78.22
