SLYG,SPDR S&P 600 Small Cap Growth ETF (based on S&P SmallCap 600 Growth Index --symbol CGK),NASDAQ
120.96,120.61,120.99,120.00
118.40,118.73,119.35,118.36
118.84,118.44,119.26,117.86
118.02,119.92,119.95,117.99
119.36,120.95,121.17,119.36
122.03,121.69,122.03,121.69
123.30,123.20,123.30,122.13
123.37,120.14,123.37,120.01
119.78,120.05,120.51,119.35
118.27,118.02,119.13,118.02
117.91,116.31,117.91,115.99
116.79,116.64,117.36,116.64
116.24,115.05,116.24,114.95
115.34,116.30,116.56,115.22
114.74,113.87,114.74,113.47
114.21,113.93,114.51,113.15
114.38,115.95,116.30,114.38
114.82,114.31,115.95,114.31
114.56,114.38,115.33,113.00
115.05,113.71,115.05,113.70
113.46,114.80,115.42,113.43
116.80,117.21,117.40,116.80
117.07,116.74,118.14,116.74
114.69,116.68,116.68,114.48
117.60,116.39,117.67,115.93
115.97,117.54,117.54,115.97
117.83,119.26,119.26,117.41
119.86,119.57,120.20,119.12
120.07,120.88,121.01,120.07
121.18,122.50,122.50,120.85
122.53,123.49,123.75,122.52
123.41,123.67,123.87,122.99
124.89,125.36,125.92,124.44
124.16,124.69,124.70,123.69
123.33,122.16,123.43,121.90
121.42,122.11,122.64,121.04
122.23,122.38,123.46,122.11
122.61,120.58,123.13,120.42
121.13,121.14,121.14,120.47
120.71,119.67,120.71,119.04
121.27,122.64,122.64,121.27
122.14,121.81,122.14,121.31
122.25,122.90,122.96,122.10
122.58,123.01,123.33,122.24
121.76,121.83,122.55,121.46
121.39,120.50,121.39,120.47
119.81,116.81,119.81,116.81
116.60,117.75,118.54,116.60
114.95,116.55,116.98,113.19
118.26,115.65,118.26,114.64
115.03,112.12,116.09,112.12
112.25,113.13,113.13,109.46
111.07,107.04,111.41,107.04
108.23,105.23,108.23,102.92
102.41,97.91,104.45,97.76
98.85,98.35,100.48,95.08
99.73,98.20,101.45,98.20
98.77,103.18,103.91,98.33
103.94,104.07,104.64,102.30
104.97,107.02,107.02,104.97
105.47,104.89,105.63,104.00
105.84,104.23,105.95,103.75
100.26,98.54,100.73,98.05
96.24,96.85,100.12,96.19
99.16,97.15,99.16,96.50
97.29,102.07,102.07,97.29
101.35,103.02,103.02,101.34
104.27,100.87,104.27,100.87
99.93,102.88,102.95,98.98
104.56,107.07,107.16,104.56
107.24,108.82,108.82,106.16
108.82,107.55,109.63,107.40
108.08,105.83,109.03,105.29
103.39,102.26,104.16,101.91
98.69,101.41,101.66,98.69
103.72,105.58,105.83,102.89
105.91,104.11,105.91,104.11
102.08,100.00,102.08,100.00
99.15,100.85,100.91,99.15
102.01,103.38,103.38,102.01
103.69,106.48,106.48,103.69
105.50,106.25,106.25,105.50
106.57,105.85,106.57,105.61
104.09,104.09,105.13,103.53
104.52,104.19,105.81,104.19
103.04,101.21,103.34,101.20
97.99,96.90,97.99,95.63
96.77,98.01,98.43,95.50
99.17,98.67,99.17,97.40
102.11,102.23,104.18,102.11
101.44,101.65,101.65,101.34
100.94,99.20,100.94,97.68
98.44,97.27,99.01,97.27
96.56,92.25,97.00,92.25
90.77,96.99,96.99,90.77
98.24,99.34,99.34,97.07
99.19,101.97,101.97,99.19
101.50,101.29,102.04,99.12
101.21,101.83,103.15,100.40
102.52,103.84,104.15,102.52
105.00,105.16,105.70,105.00
104.83,104.80,104.83,104.19
106.42,107.20,107.20,105.89
106.61,104.07,106.61,103.97
104.10,104.59,104.75,103.73
105.69,103.74,106.26,103.49
101.85,103.99,103.99,101.85
106.00,106.53,106.53,105.23
107.38,110.10,110.54,107.38
108.75,108.20,109.02,108.10
109.14,109.28,109.28,107.38
112.89,114.49,114.69,112.14
113.69,114.13,114.79,113.60
112.29,111.71,112.68,111.71
107.25,108.11,109.48,107.13
109.62,110.12,110.12,108.84
110.12,112.12,112.39,109.28
111.51,111.99,112.40,111.06
112.24,111.89,112.24,109.95
111.38,112.46,112.65,111.38
110.40,108.70,111.09,108.70
108.70,109.08,109.19,108.70
111.26,112.05,112.24,111.26
111.41,110.67,111.41,110.40
109.66,112.55,112.57,109.66
111.13,110.08,111.88,110.00
110.04,108.91,110.04,108.91
109.00,109.01,109.01,108.84
107.01,106.53,107.01,105.66
106.75,105.75,106.75,105.36
104.95,103.17,104.99,102.72
101.70,101.70,101.70,101.70
106.54,106.14,106.54,105.27
106.41,105.88,106.41,105.34
109.95,110.36,110.63,109.95
111.24,111.30,111.79,110.78
112.23,111.30,112.87,111.30
113.48,112.62,113.48,112.07
112.74,112.98,113.09,111.94
111.81,112.04,112.29,110.48
111.68,110.24,112.07,109.73
112.18,113.20,113.20,112.18
111.45,110.38,111.45,110.28
112.62,109.25,112.97,109.00
108.36,107.97,108.83,107.67
109.23,108.97,109.45,108.79
109.74,109.61,111.04,109.44
110.76,108.71,110.76,108.71
111.22,112.43,112.47,111.00
111.06,111.00,111.32,110.82
112.59,112.66,113.24,112.52
112.93,113.29,113.34,112.57
112.78,114.35,114.35,112.78
114.16,111.81,114.16,111.81
112.84,112.93,113.12,112.64
112.93,112.28,113.28,112.28
114.61,113.18,114.61,113.18
112.28,112.37,112.51,112.19
111.59,112.99,112.99,111.21
112.25,113.22,113.45,112.25
113.33,112.97,113.33,112.71
114.52,114.40,114.60,114.15
114.37,114.72,114.75,113.89
115.28,115.23,115.28,114.37
113.77,113.89,113.90,113.77
115.04,114.61,115.48,114.51
114.67,116.16,116.32,114.66
116.97,116.90,117.33,116.64
117.29,116.85,117.29,116.64
117.65,116.72,117.66,116.35
116.15,117.27,117.41,115.74
117.07,118.13,118.45,116.88
118.82,117.93,118.82,117.90
117.52,118.62,118.62,117.52
117.93,117.91,118.11,117.20
118.20,117.64,118.20,117.28
119.23,120.08,120.37,119.23
120.86,120.95,121.29,120.55
123.22,123.23,123.64,123.06
123.03,122.46,123.20,122.45
122.93,122.84,123.21,122.48
123.23,122.71,123.37,122.02
122.50,122.27,122.62,121.90
121.23,120.86,121.23,120.57
122.15,122.10,122.17,121.71
121.38,121.31,121.54,120.91
122.54,120.65,122.54,120.43
120.80,122.69,122.92,120.80
123.46,122.83,123.62,122.83
123.27,122.23,123.37,121.81
121.81,121.83,122.48,121.81
122.40,123.20,123.20,122.40
123.02,122.83,123.46,122.67
121.96,123.03,123.03,121.96
122.98,122.47,123.24,122.47
122.91,121.35,123.19,121.35
122.11,122.63,122.63,122.11
121.55,120.08,121.55,119.54
119.61,120.37,120.43,119.22
119.10,118.14,119.10,118.12
118.49,118.91,119.12,118.32
120.53,120.46,120.53,120.28
122.23,121.81,122.51,121.81
121.81,122.20,122.25,121.81
122.86,123.49,123.49,122.56
123.50,123.00,123.55,123.00
123.20,123.91,124.03,122.94
123.45,123.33,123.80,123.20
122.96,124.79,125.00,122.96
123.57,123.50,123.57,122.98
123.43,123.66,123.95,123.19
122.35,122.41,122.41,122.00
122.56,123.56,123.60,122.30
124.86,125.86,126.02,124.86
126.26,125.81,126.26,125.81
125.28,124.31,125.28,124.03
123.98,124.31,124.31,123.66
124.93,124.36,124.95,124.36
123.83,125.47,125.47,123.77
125.83,124.47,125.83,124.47
123.67,123.06,123.75,122.53
122.91,122.81,123.14,122.80
120.45,120.99,121.27,120.41
120.60,118.25,120.61,118.25
119.07,119.62,119.62,119.05
120.48,121.47,121.67,120.48
120.95,120.15,120.95,120.15
120.39,120.37,120.42,120.37
121.71,122.83,122.91,121.71
121.72,121.56,121.72,120.81
121.17,120.12,121.85,120.12
121.49,121.15,121.75,121.15
119.17,119.13,119.20,118.20
119.37,119.77,120.28,119.28
121.55,121.75,121.83,121.30
121.67,123.32,123.32,121.67
123.22,124.38,124.38,123.06
124.15,123.37,124.15,123.10
125.06,123.72,125.06,123.72
122.70,124.37,124.38,122.40
123.20,122.57,123.20,122.57
121.89,120.79,121.89,120.62
120.73,121.01,121.05,120.59
119.94,120.66,120.66,119.27
119.55,120.39,120.70,119.55
120.83,120.42,120.92,120.09
121.04,120.29,121.04,120.29
118.66,119.35,119.88,118.66
119.12,119.16,119.78,118.86
119.41,118.36,119.70,118.36
117.58,116.04,117.91,115.96
116.09,114.94,116.58,114.86
115.19,116.52,116.81,114.52
117.74,116.05,117.74,116.05
115.32,116.81,117.18,114.79
117.05,117.12,117.12,116.10
117.03,117.07,117.49,116.96
117.88,118.45,118.45,117.73
117.23,116.73,117.23,116.73
116.19,116.23,116.23,115.40
114.39,113.29,114.46,113.23
113.62,113.42,114.19,112.38
113.62,114.49,114.60,113.55
116.59,117.16,117.16,116.59
117.67,116.60,118.03,116.60
116.53,117.58,117.88,116.48
117.51,115.71,117.56,115.71
115.75,116.48,116.48,114.48
115.40,114.90,116.30,114.90
116.11,116.13,116.13,115.97
115.85,117.09,117.09,115.85
116.48,117.65,117.69,116.48
119.19,119.64,119.96,119.19
119.51,118.52,119.51,118.43
118.35,115.94,118.35,115.94
115.94,115.94,115.94,115.94
115.76,115.81,115.99,115.76
116.43,116.40,116.51,116.18
117.48,117.52,117.52,117.48
117.00,117.45,117.45,116.21
120.25,121.24,121.24,120.25
121.22,120.39,121.22,115.50
123.00,122.99,123.15,122.84
123.18,123.11,123.25,123.11
122.00,121.00,122.00,121.00
121.26,121.05,121.26,121.05
121.22,119.79,121.22,119.79
120.00,119.43,120.00,118.98
118.26,119.31,119.31,118.26
120.10,120.87,120.87,120.07
120.87,120.87,120.87,120.87
121.46,120.65,121.46,119.66
120.88,121.38,121.88,120.88
121.65,122.40,122.40,121.65
120.56,120.25,120.72,120.25
118.01,119.27,119.27,118.01
118.00,117.50,118.00,117.50
117.53,118.36,118.38,117.53
119.04,118.63,119.04,118.21
119.55,121.14,121.28,119.55
121.05,120.31,121.13,120.12
119.87,120.00,121.09,119.80
118.18,118.13,118.18,118.13
117.47,116.99,118.09,116.56
117.94,120.26,120.86,117.94
121.40,121.64,121.64,121.39
121.90,122.84,122.93,121.90
122.35,122.00,122.35,122.00
122.17,122.54,122.54,122.17
122.00,122.13,122.19,121.67
121.75,121.94,121.94,121.27
121.97,121.37,122.15,121.37
121.58,122.57,122.57,121.58
122.29,123.85,123.85,122.29
123.83,124.24,124.81,123.83
124.00,124.03,124.03,123.70
124.27,123.85,125.35,123.71
124.01,123.76,124.01,123.53
123.30,123.16,123.46,122.90
123.67,123.24,123.67,123.24
124.12,123.70,124.12,123.42
123.57,124.27,124.27,123.57
124.42,125.00,125.00,124.42
124.71,123.83,124.71,123.68
124.70,124.12,124.70,123.41
124.07,125.80,126.00,123.76
126.07,125.79,126.07,125.75
126.10,127.80,128.25,126.10
127.94,128.06,128.14,127.89
128.00,127.90,128.00,127.90
128.39,127.70,128.62,127.70
127.55,127.67,127.92,127.55
128.29,129.00,129.00,127.81
131.46,130.54,131.46,130.50
130.06,129.65,130.11,129.65
129.80,129.74,129.80,129.47
129.33,128.65,129.33,128.65
127.61,127.87,128.33,127.03
128.68,128.55,128.68,128.27
127.40,127.35,127.53,127.35
127.67,125.83,127.96,125.83
125.71,124.57,125.71,124.49
125.51,126.44,126.44,125.30
125.97,126.08,126.08,125.70
126.79,126.01,126.79,125.39
125.74,125.88,125.89,125.44
126.11,125.54,126.11,125.26
126.00,125.69,126.00,125.44
126.39,125.48,127.19,125.48
125.09,125.07,125.09,124.90
124.84,123.55,124.84,123.55
123.40,122.94,123.47,122.94
124.23,123.74,124.43,123.70
122.73,122.71,122.77,122.60
123.22,123.18,123.58,123.18
124.08,124.39,124.64,124.08
125.25,125.08,125.84,125.05
125.15,125.09,125.18,124.86
122.63,122.63,122.63,122.63
122.52,122.35,122.80,122.28
121.88,122.28,122.60,121.08
122.94,121.48,123.11,121.48
122.93,122.04,122.93,121.54
122.08,121.76,122.13,121.09
121.90,122.71,122.71,121.90
123.13,124.21,124.27,123.13
124.21,124.21,124.21,124.21
122.10,123.09,123.19,122.10
124.04,124.16,124.21,124.04
122.76,121.98,122.76,121.37
121.64,120.18,121.64,120.18
119.47,120.67,120.83,115.00
119.96,120.20,120.20,119.67
120.00,119.28,120.00,119.28
119.58,118.31,119.58,118.16
116.81,116.32,116.81,115.75
116.66,117.35,117.35,116.02
118.55,119.64,119.67,118.55
119.49,119.76,119.76,119.35
119.75,120.27,120.27,119.75
121.21,121.16,121.27,121.00
121.44,121.65,121.65,121.44
122.01,122.01,122.56,121.77
121.05,122.45,122.62,121.05
123.39,123.78,123.89,123.39
123.05,123.59,123.59,123.05
124.62,123.06,124.62,123.06
123.54,123.56,123.56,122.49
123.83,123.45,123.83,122.82
123.05,123.22,123.34,123.02
123.29,123.35,123.47,123.26
123.37,123.44,123.93,123.27
124.27,124.93,124.93,123.29
124.72,124.00,125.22,124.00
123.80,123.02,123.80,123.02
122.98,123.28,123.28,122.77
123.35,123.96,124.38,123.35
125.43,126.38,126.41,125.43
126.62,126.60,126.89,126.22
126.53,126.76,127.10,126.24
124.69,125.58,125.59,124.50
125.58,125.50,125.80,125.26
125.68,124.92,125.68,124.85
124.66,124.62,124.66,123.05
124.11,124.60,124.81,124.11
123.99,126.35,126.35,123.65
129.30,129.95,129.95,129.24
130.08,129.46,130.56,129.46
130.30,130.73,130.73,129.90
130.08,130.19,130.35,129.88
129.60,129.90,130.00,129.54
130.53,131.01,131.01,130.31
131.64,131.07,131.64,130.21
131.18,131.09,131.68,130.70
130.81,130.97,131.32,130.76
130.07,131.65,131.65,130.07
131.00,131.46,131.52,131.00
132.03,132.91,133.07,132.03
133.50,133.10,133.50,132.62
133.77,134.25,134.25,133.38
134.47,133.85,134.47,133.71
133.88,134.96,135.46,133.88
135.41,135.69,135.92,135.05
136.21,135.74,136.21,135.10
135.48,135.09,135.48,134.94
135.23,133.68,135.23,133.68
133.65,134.15,134.44,132.97
135.13,135.90,136.02,135.00
134.87,134.15,134.87,134.02
134.74,135.61,135.61,134.74
134.77,135.47,135.47,134.68
135.91,135.50,136.24,135.21
136.25,136.32,136.38,136.25
135.91,136.06,136.17,135.82
136.22,136.82,136.99,136.22
136.61,136.97,137.13,136.60
138.90,137.76,138.90,137.23
137.63,137.46,137.89,137.35
137.77,138.25,138.25,137.77
138.87,136.45,138.87,136.35
134.87,134.79,134.87,133.87
135.26,135.32,135.83,135.24
136.25,133.02,136.40,133.02
133.27,133.69,133.71,132.90
134.96,135.48,135.70,134.96
135.06,136.11,136.11,135.06
134.87,136.10,136.29,133.89
136.16,136.24,136.28,135.66
137.04,137.65,138.11,137.04
138.53,138.32,138.53,137.90
138.63,138.82,138.82,138.48
139.95,139.93,139.95,138.90
139.79,139.81,139.87,139.56
139.76,139.59,139.84,139.20
139.33,140.06,140.31,139.33
140.82,141.28,141.33,140.82
140.87,141.25,141.25,140.81
139.58,139.81,140.34,139.06
140.54,139.50,140.62,139.04
140.40,140.90,140.91,140.40
140.21,139.99,140.40,139.28
140.58,140.32,140.61,140.13
140.89,140.10,141.57,139.95
141.18,141.11,141.63,140.26
139.74,140.82,140.82,139.74
141.88,141.18,141.88,140.96
141.11,139.35,141.31,138.80
140.07,138.86,140.72,138.61
138.93,136.26,138.93,136.26
136.56,137.44,137.44,136.40
135.93,137.10,137.11,135.00
137.70,138.07,138.08,137.10
138.29,138.55,138.55,137.70
138.08,140.39,140.39,135.02
140.21,140.12,141.00,140.10
139.39,139.42,139.45,138.74
139.07,134.32,139.07,134.32
135.98,137.29,137.34,135.28
137.22,134.44,137.22,133.71
134.91,133.72,134.99,133.42
134.36,135.31,135.58,132.80
135.69,135.77,135.77,133.45
136.54,137.94,137.94,136.54
137.99,138.19,138.47,137.80
139.01,140.10,140.47,138.81
139.42,139.08,139.46,138.48
139.67,140.11,140.11,139.20
140.15,140.35,140.41,139.63
139.96,137.76,139.96,137.63
138.46,139.85,140.09,138.46
141.84,142.23,143.17,138.54
142.43,142.92,143.15,141.91
143.20,144.20,144.24,142.63
145.05,144.64,149.60,143.66
144.38,144.93,145.02,144.06
144.85,146.00,146.09,144.85
145.77,145.39,146.30,145.39
145.98,147.25,147.57,145.98
148.42,147.56,148.42,147.25
147.49,146.92,148.27,146.92
147.69,148.82,148.82,147.69
148.75,149.06,149.75,148.75
149.42,149.75,149.95,149.01
149.78,146.86,150.64,146.24
145.05,146.69,147.13,145.05
146.26,146.67,146.99,145.00
148.75,148.51,150.00,148.24
148.08,147.35,148.08,146.43
148.02,148.06,148.35,147.45
147.55,146.86,148.20,146.86
146.83,146.90,147.06,145.50
147.67,146.20,148.26,145.43
145.60,144.39,146.20,144.08
144.37,144.64,144.94,143.41
146.39,146.71,147.01,145.67
147.45,147.37,148.21,146.66
147.30,146.91,147.30,145.46
147.20,146.26,147.20,146.26
145.14,147.85,147.85,145.00
