XRA,Exeter Resource Corporation Ordinary Shares (Canada),NASDAQ
7.56,7.54,7.61,7.37
7.55,7.02,7.57,7.01
7.01,7.24,7.24,6.80
7.14,6.94,7.19,6.87
6.75,6.71,6.95,6.62
6.83,7.01,7.12,6.75
6.96,6.89,7.16,6.87
6.81,6.73,6.90,6.72
6.77,6.87,6.96,6.77
6.81,6.72,6.92,6.57
6.66,6.60,6.82,6.60
6.61,6.76,6.77,6.52
6.62,6.70,6.76,6.56
6.85,6.71,6.90,6.64
6.81,7.10,7.14,6.76
7.10,6.80,7.30,6.79
6.88,6.83,7.10,6.77
6.75,6.72,6.81,6.62
6.72,6.68,6.74,6.61
6.78,6.75,6.84,6.68
6.73,6.64,6.87,6.63
6.53,6.37,6.62,6.32
6.28,6.30,6.55,6.23
6.24,6.17,6.27,5.82
6.28,6.04,6.39,6.03
6.00,6.01,6.09,5.72
5.87,6.40,6.40,5.87
6.40,6.07,6.40,5.99
6.07,6.25,6.31,6.02
6.24,5.91,6.24,5.91
6.12,6.06,6.26,6.01
6.06,5.95,6.11,5.93
6.00,6.05,6.10,5.81
5.95,5.74,5.95,5.74
5.74,5.67,5.74,5.44
5.78,5.89,5.92,5.61
5.88,5.80,5.92,5.75
5.75,5.83,5.93,5.75
5.82,5.87,5.89,5.68
5.91,5.70,5.91,5.68
5.71,5.49,5.71,5.45
5.42,5.59,5.81,5.42
5.64,5.67,5.74,5.61
5.58,5.84,5.94,5.58
5.89,5.89,5.90,5.78
5.94,6.05,6.09,5.91
6.14,6.18,6.22,6.10
6.17,6.10,6.21,6.00
5.85,6.06,6.15,5.85
6.06,6.02,6.11,6.01
5.97,6.00,6.03,5.88
5.90,5.83,5.96,5.75
5.86,6.07,6.15,5.83
6.10,6.05,6.15,6.05
6.13,6.18,6.18,6.07
6.16,6.16,6.30,6.11
6.11,6.28,6.28,6.05
6.29,6.37,6.57,6.27
6.39,6.22,6.39,6.15
6.07,6.11,6.33,6.07
6.01,6.01,6.15,5.93
6.00,6.32,6.32,5.99
6.36,6.25,6.41,6.19
6.18,6.42,6.42,6.15
6.37,6.33,6.51,6.27
6.35,6.60,6.86,6.35
6.79,6.45,6.79,6.42
6.47,6.75,6.75,6.38
6.75,7.02,7.11,6.61
7.10,7.05,7.20,7.00
7.11,6.89,7.17,6.89
6.85,6.82,7.03,6.82
6.81,6.80,6.96,6.75
6.87,7.05,7.15,6.87
7.12,7.12,7.15,6.99
7.10,7.05,7.13,7.01
7.13,7.01,7.13,6.94
6.83,6.88,7.09,6.78
6.89,6.66,6.98,6.53
6.71,6.76,6.78,6.39
6.80,6.86,6.98,6.73
6.77,6.63,6.81,6.57
6.68,6.52,6.88,6.50
6.60,6.55,6.70,6.45
6.50,6.52,6.56,6.21
6.58,6.30,6.61,6.19
6.33,6.49,6.56,6.08
6.50,6.46,6.62,6.40
6.03,6.00,6.08,5.95
6.06,6.02,6.06,5.86
6.06,6.15,6.15,6.03
6.14,5.96,6.15,5.96
5.99,6.11,6.11,5.99
6.19,6.30,6.35,6.14
6.17,6.10,6.17,6.00
6.13,6.17,6.19,6.13
6.18,6.07,6.18,6.06
6.09,6.03,6.12,6.01
6.01,5.99,6.08,5.90
5.85,5.59,5.85,5.54
5.60,5.89,5.98,5.55
5.86,5.69,5.99,5.66
5.73,5.74,5.77,5.62
5.84,6.06,6.10,5.79
5.96,6.03,6.13,5.94
6.01,5.85,6.01,5.77
5.93,5.84,6.00,5.77
5.88,5.81,5.89,5.62
5.80,5.68,5.96,5.60
5.75,5.77,5.87,5.66
5.79,5.73,5.79,5.56
5.91,6.01,6.06,5.77
5.92,6.13,6.19,5.92
6.13,6.25,6.25,6.07
6.37,5.92,6.45,5.81
5.95,6.04,6.14,5.85
6.06,6.03,6.10,5.94
5.90,5.91,5.96,5.79
5.84,5.76,5.92,5.76
5.71,5.42,5.75,5.38
5.49,5.55,5.63,5.44
5.75,5.77,5.78,5.66
5.75,5.77,5.85,5.66
5.80,5.85,5.85,5.70
5.79,5.63,5.82,5.61
5.75,5.67,5.75,5.61
5.55,5.59,5.63,5.51
5.53,5.45,5.59,5.38
5.45,5.40,5.52,5.33
5.50,5.55,5.63,5.36
5.66,5.94,6.00,5.60
5.98,6.11,6.20,5.98
6.07,6.16,6.25,6.07
6.19,5.82,6.21,5.80
5.83,6.08,6.08,5.64
6.09,5.96,6.14,5.89
5.88,5.85,5.96,5.70
6.22,6.07,6.24,6.03
6.13,6.09,6.15,5.99
6.25,6.05,6.25,6.03
6.18,5.99,6.18,5.91
6.08,6.02,6.20,6.02
6.17,6.08,6.22,6.05
6.17,6.03,6.17,6.02
6.05,5.89,6.11,5.87
5.99,6.01,6.02,5.88
6.00,6.10,6.14,5.92
6.15,6.33,6.48,6.15
6.30,6.25,6.34,6.21
6.37,6.15,6.37,6.14
6.16,6.21,6.31,6.12
6.19,6.37,6.50,6.18
6.32,5.92,6.32,5.90
5.96,6.03,6.09,5.81
6.01,5.81,6.16,5.80
5.80,5.77,5.86,5.69
5.77,5.92,5.96,5.68
6.00,6.02,6.05,5.92
6.13,6.13,6.15,5.98
6.14,5.87,6.14,5.87
5.84,5.65,5.87,5.65
5.69,5.63,5.86,5.59
5.64,5.59,5.70,5.53
5.50,5.45,5.52,5.28
5.40,5.29,5.49,5.29
5.25,5.14,5.38,5.13
5.11,5.05,5.14,5.01
5.05,5.24,5.24,5.01
5.24,5.06,5.26,5.06
5.09,5.13,5.21,5.06
5.18,5.02,5.19,5.01
5.06,5.07,5.11,5.00
5.08,5.14,5.17,5.04
5.18,5.43,5.52,5.09
5.47,5.36,5.65,5.33
5.42,5.43,5.56,5.38
5.54,5.69,5.74,5.45
5.78,5.41,5.78,5.40
5.42,5.33,5.46,5.29
5.35,5.38,5.48,5.35
5.52,5.44,5.54,5.39
5.52,5.50,5.60,5.50
5.54,5.64,5.69,5.45
5.71,5.54,5.71,5.51
5.55,5.59,5.65,5.50
5.70,5.35,5.70,5.35
5.40,5.35,5.45,5.30
5.28,5.15,5.40,5.15
5.26,5.28,5.39,5.25
5.45,5.33,5.45,5.30
5.49,5.36,5.49,5.28
5.40,5.31,5.40,5.30
5.26,5.26,5.30,5.21
5.28,5.26,5.32,5.08
5.49,5.65,5.72,5.39
5.66,5.50,5.66,5.40
5.59,5.39,5.59,5.28
5.38,5.12,5.38,5.12
5.10,5.29,5.29,5.10
5.28,5.22,5.34,5.16
5.05,5.08,5.11,4.90
5.18,5.03,5.18,4.92
5.10,5.14,5.22,5.04
5.20,5.08,5.26,5.03
5.23,5.44,5.46,5.19
5.43,5.46,5.49,5.38
5.54,5.65,5.69,5.42
5.73,5.49,5.84,5.46
5.52,5.44,5.56,5.25
5.36,5.25,5.47,5.25
5.25,5.28,5.40,5.25
5.35,5.33,5.41,5.24
5.34,5.34,5.56,5.26
5.31,5.16,5.40,5.16
5.20,5.15,5.25,5.13
5.15,5.47,5.47,5.15
5.48,5.35,5.57,5.34
5.36,5.31,5.45,5.25
5.45,5.50,5.66,5.34
5.45,5.23,5.47,5.22
5.23,5.13,5.27,5.08
5.21,5.30,5.31,5.20
5.32,5.40,5.40,5.26
5.41,5.38,5.44,5.34
5.26,5.22,5.33,5.11
5.20,5.31,5.33,5.19
5.34,5.28,5.38,5.25
5.30,5.30,5.33,5.26
5.50,5.20,5.50,5.19
5.20,5.13,5.23,5.11
5.19,5.30,5.31,5.10
5.26,5.22,5.38,5.18
5.18,5.27,5.31,5.15
5.23,5.14,5.30,5.14
5.15,4.85,5.18,4.80
4.82,5.06,5.06,4.69
4.92,4.70,4.98,4.66
4.72,4.78,4.97,4.72
4.80,4.95,4.95,4.79
4.95,4.87,5.07,4.85
4.91,4.76,4.92,4.74
4.70,4.65,4.78,4.63
4.75,4.56,4.75,4.52
4.51,4.53,4.63,4.50
4.49,4.57,4.58,4.44
4.60,4.57,4.74,4.57
4.61,4.60,4.65,4.53
4.58,4.72,4.79,4.55
4.69,4.71,4.76,4.60
4.66,4.70,4.87,4.66
4.70,4.77,4.82,4.70
4.76,4.69,4.77,4.65
4.70,4.79,4.82,4.70
4.93,5.02,5.02,4.84
4.71,4.88,5.02,4.71
4.88,4.90,4.96,4.76
4.88,4.86,4.98,4.85
4.86,4.80,4.97,4.75
4.84,4.80,4.93,4.76
4.79,4.64,4.79,4.61
4.62,4.79,4.87,4.62
4.72,4.84,4.90,4.70
4.80,4.64,4.81,4.62
4.67,4.65,4.77,4.63
4.69,4.74,4.80,4.59
4.73,4.41,4.80,4.37
4.40,4.38,4.64,4.38
4.42,4.38,4.53,4.32
4.40,4.43,4.48,4.36
4.42,4.47,4.49,4.42
4.37,4.39,4.43,4.31
4.38,4.20,4.39,4.20
4.16,4.14,4.23,4.08
4.12,4.19,4.26,4.10
4.24,4.19,4.27,4.15
4.21,4.18,4.28,4.13
4.19,4.23,4.25,4.13
4.29,4.23,4.35,4.18
4.25,4.16,4.30,4.13
4.20,4.42,4.49,4.15
4.38,4.38,4.41,4.34
4.41,4.39,4.47,4.33
4.40,4.36,4.44,4.30
4.49,4.56,4.74,4.41
4.63,4.52,4.74,4.48
4.51,4.61,4.70,4.50
4.74,4.67,4.75,4.58
4.65,4.41,4.68,4.41
4.44,4.49,4.54,4.38
4.51,4.49,4.54,4.41
4.60,4.55,4.66,4.51
4.62,4.64,4.70,4.54
4.66,4.63,4.75,4.60
4.62,4.34,4.72,4.34
4.33,4.21,4.40,4.20
4.20,4.19,4.26,4.18
4.21,4.46,4.50,4.21
4.45,4.40,4.56,4.35
4.41,4.31,4.42,4.25
4.35,4.05,4.41,4.05
4.12,4.08,4.15,3.88
4.04,4.03,4.25,4.02
4.14,4.17,4.20,4.03
4.22,4.47,4.51,4.13
4.42,4.36,4.58,4.28
4.33,4.20,4.41,4.20
4.26,4.49,4.49,4.21
4.48,4.66,4.72,4.40
4.68,4.61,4.90,4.57
4.69,4.44,4.70,4.43
4.51,4.33,4.65,4.28
4.39,4.48,4.69,4.37
4.43,4.18,4.48,4.14
4.23,4.17,4.23,4.08
4.30,4.23,4.38,4.08
4.32,4.19,4.32,4.14
4.27,4.20,4.27,4.15
4.24,4.47,4.50,4.20
4.47,4.41,4.51,4.37
4.44,4.45,4.49,4.37
4.39,4.54,4.66,4.39
4.53,5.24,5.33,4.53
5.17,5.35,5.35,4.99
5.49,5.48,5.79,5.36
5.05,5.45,5.49,5.04
5.47,5.05,5.47,5.01
5.20,5.10,5.40,5.05
5.07,4.91,5.09,4.80
4.95,4.80,4.95,4.67
4.82,4.96,5.05,4.77
4.96,4.96,5.00,4.77
4.94,4.97,5.23,4.85
4.96,4.92,5.19,4.90
4.60,4.21,4.62,4.20
4.23,3.98,4.28,3.94
3.93,3.86,3.97,3.66
3.99,4.08,4.27,3.96
4.11,3.79,4.23,3.71
3.89,3.63,4.07,3.61
3.63,3.63,3.80,3.51
3.67,3.75,4.20,3.60
3.70,3.41,3.74,3.24
3.47,3.72,3.76,3.33
3.73,3.80,3.90,3.68
3.90,3.65,3.96,3.56
3.75,3.76,3.84,3.69
3.78,3.78,3.79,3.56
3.89,3.86,4.08,3.83
3.91,3.74,3.91,3.63
3.72,3.86,3.92,3.72
3.92,3.62,3.92,3.60
3.61,3.80,3.90,3.39
3.94,3.48,3.94,3.48
3.46,3.53,3.60,3.37
3.64,3.50,3.71,3.50
3.56,3.57,3.63,3.53
3.58,3.67,3.76,3.45
3.74,3.72,3.83,3.61
3.80,3.75,3.90,3.67
3.76,3.76,3.90,3.71
3.73,3.68,3.78,3.66
3.57,3.75,3.84,3.39
3.71,3.75,3.84,3.66
3.84,3.95,4.02,3.70
3.94,4.04,4.06,3.82
4.02,4.09,4.16,4.01
4.07,4.00,4.13,3.90
3.92,3.75,4.08,3.74
3.94,3.66,3.94,3.64
3.82,3.82,3.91,3.73
3.79,3.79,3.81,3.68
3.79,3.79,3.84,3.73
3.75,3.69,3.86,3.67
3.67,3.44,3.67,3.40
3.50,3.36,3.50,3.34
3.30,3.10,3.36,3.08
3.12,3.13,3.22,3.10
3.14,2.99,3.14,2.92
2.92,2.94,3.02,2.88
3.10,3.07,3.14,3.03
3.08,3.02,3.10,3.02
3.25,3.08,3.26,3.04
3.10,3.25,3.33,3.10
3.34,3.17,3.37,3.15
3.23,3.12,3.35,3.09
3.12,3.14,3.25,3.06
3.17,3.20,3.25,3.10
3.16,3.01,3.20,3.00
3.06,3.14,3.15,3.00
3.00,2.93,3.19,2.88
2.93,2.73,3.00,2.67
2.69,2.62,2.72,2.55
2.74,2.51,2.81,2.50
2.57,2.58,2.69,2.57
2.64,2.45,2.64,2.44
2.55,2.80,2.87,2.55
2.88,2.76,2.88,2.68
2.76,2.58,2.79,2.58
2.65,2.66,2.68,2.61
2.63,2.62,2.66,2.50
2.61,2.48,2.65,2.47
2.45,2.55,2.57,2.42
2.58,2.61,2.77,2.58
2.75,2.86,2.88,2.72
2.86,2.92,2.94,2.82
2.92,3.03,3.03,2.80
3.02,2.97,3.09,2.95
3.00,3.03,3.06,2.98
3.07,3.02,3.14,2.95
3.06,3.01,3.09,2.96
3.05,2.97,3.09,2.90
2.93,2.94,2.95,2.75
3.10,2.87,3.25,2.87
2.91,3.08,3.15,2.91
3.19,2.99,3.25,2.97
3.02,3.05,3.23,2.95
3.11,3.08,3.23,3.05
3.12,3.07,3.16,3.01
3.07,3.28,3.28,3.00
3.31,3.38,3.50,3.27
3.40,3.69,3.69,3.40
3.64,3.91,4.05,3.52
4.02,3.79,4.20,3.66
3.91,3.81,3.94,3.75
3.86,3.75,3.89,3.72
3.78,3.63,3.78,3.58
3.61,3.55,3.62,3.53
3.57,3.69,3.69,3.50
3.67,3.66,3.82,3.64
3.75,3.61,3.80,3.58
3.58,3.57,3.62,3.50
3.53,3.45,3.60,3.44
3.40,3.38,3.48,3.34
3.42,3.32,3.45,3.30
3.29,3.29,3.50,3.26
3.34,3.28,3.45,3.26
3.38,3.50,3.58,3.28
3.50,3.59,3.65,3.35
3.62,3.68,3.80,3.60
3.67,3.57,3.67,3.54
3.66,3.56,3.70,3.55
3.63,3.57,3.64,3.53
3.50,3.29,3.59,3.25
3.30,3.35,3.39,3.25
3.25,3.21,3.29,3.20
3.20,3.02,3.22,2.98
2.99,2.98,3.02,2.95
3.02,3.05,3.10,2.98
3.12,3.03,3.18,3.00
3.03,3.02,3.13,2.97
3.01,2.97,3.02,2.95
2.98,2.90,3.02,2.83
2.85,2.83,3.01,2.82
2.83,2.83,2.89,2.74
2.80,2.71,2.84,2.71
2.75,2.65,2.80,2.64
2.56,2.75,2.76,2.56
2.76,2.68,2.80,2.65
2.62,2.58,2.67,2.57
2.58,2.76,2.83,2.58
2.72,2.75,2.84,2.71
2.80,2.64,2.84,2.62
2.63,2.50,2.63,2.49
2.50,2.51,2.54,2.45
2.57,2.74,2.78,2.53
2.75,2.83,2.90,2.75
2.86,2.68,2.86,2.67
2.69,2.61,2.73,2.50
2.61,2.56,2.81,2.55
2.58,2.48,2.62,2.48
2.55,2.58,2.61,2.40
2.58,2.47,2.65,2.45
2.53,2.60,2.65,2.46
2.62,2.56,2.64,2.50
2.54,2.47,2.62,2.46
2.51,2.47,2.59,2.45
2.47,2.42,2.54,2.39
2.46,2.36,2.47,2.35
2.39,2.36,2.40,2.33
2.35,2.25,2.35,2.25
2.25,2.22,2.35,2.21
2.25,2.34,2.37,2.25
2.37,2.40,2.45,2.33
2.44,2.46,2.53,2.37
2.44,2.40,2.50,2.31
2.52,2.55,2.62,2.43
2.52,2.52,2.61,2.47
2.53,2.40,2.60,2.30
2.39,2.50,2.51,2.39
2.49,2.32,2.49,2.30
2.30,2.25,2.30,2.18
2.21,2.28,2.45,2.17
2.38,2.28,2.41,2.25
2.24,2.13,2.29,2.11
2.11,2.01,2.15,2.00
2.04,1.81,2.09,1.76
1.81,1.72,1.90,1.69
1.74,1.88,1.95,1.74
1.92,1.88,2.03,1.84
1.89,1.99,2.01,1.89
1.93,1.81,2.03,1.76
1.84,2.06,2.06,1.76
2.07,2.00,2.12,1.96
2.01,2.07,2.11,2.00
2.07,1.90,2.14,1.86
1.86,1.90,2.00,1.84
1.88,1.82,1.92,1.76
1.84,2.04,2.07,1.80
2.02,2.09,2.09,1.96
2.09,2.27,2.27,2.07
2.28,2.20,2.41,2.11
2.27,2.09,2.32,2.09
2.04,2.07,2.10,2.01
2.06,1.91,2.07,1.91
1.94,1.97,2.06,1.92
1.97,1.94,2.06,1.94
1.97,1.95,2.02,1.91
1.96,1.78,1.96,1.76
1.86,1.88,1.89,1.77
1.87,1.84,1.88,1.78
1.80,1.82,1.91,1.77
1.81,1.74,1.86,1.70
1.76,1.75,1.78,1.70
1.72,1.76,1.78,1.69
1.72,1.62,1.74,1.61
1.65,1.65,1.67,1.58
1.65,1.52,1.65,1.41
1.66,1.67,1.90,1.60
1.67,1.67,1.69,1.56
1.68,1.71,1.74,1.66
1.68,1.68,1.72,1.64
1.65,1.66,1.70,1.63
1.63,1.57,1.68,1.52
1.61,1.49,1.61,1.45
1.48,1.31,1.48,1.28
1.33,1.36,1.41,1.28
1.41,1.35,1.41,1.30
1.35,1.39,1.40,1.34
1.34,1.32,1.38,1.28
1.31,1.33,1.34,1.31
1.34,1.31,1.35,1.30
1.30,1.33,1.35,1.29
1.29,1.28,1.31,1.28
1.29,1.25,1.30,1.21
1.27,1.32,1.36,1.26
1.32,1.25,1.32,1.24
1.25,1.27,1.28,1.23
1.25,1.30,1.31,1.25
1.29,1.34,1.34,1.28
1.31,1.39,1.44,1.29
1.39,1.43,1.48,1.38
1.48,1.60,1.61,1.45
1.62,1.77,1.78,1.62
1.78,1.73,1.80,1.71
1.72,1.69,1.76,1.66
1.67,1.63,1.67,1.59
1.62,1.56,1.62,1.53
1.55,1.62,1.62,1.55
1.62,1.57,1.64,1.56
1.57,1.60,1.60,1.51
1.60,1.69,1.69,1.59
1.69,1.65,1.69,1.64
1.63,1.66,1.66,1.60
1.66,1.78,1.78,1.61
1.77,1.78,1.80,1.71
1.81,1.82,1.84,1.76
1.82,1.83,1.84,1.80
1.83,1.84,1.84,1.79
1.86,1.80,1.86,1.75
1.81,1.82,1.84,1.76
1.81,1.78,1.83,1.77
1.79,1.81,1.89,1.78
1.78,1.78,1.86,1.75
1.78,1.79,1.79,1.75
1.80,1.89,1.90,1.80
1.88,1.88,1.99,1.86
1.87,1.82,1.92,1.81
1.82,1.84,1.85,1.81
1.84,1.73,1.85,1.73
1.75,1.91,1.94,1.70
1.95,1.91,2.02,1.85
1.91,1.82,1.91,1.81
1.82,1.72,1.82,1.70
1.75,1.80,1.80,1.69
1.77,1.76,1.79,1.72
1.79,1.73,1.80,1.72
1.71,1.68,1.80,1.67
1.67,1.64,1.71,1.59
1.59,1.62,1.65,1.54
1.64,1.68,1.74,1.59
1.67,1.66,1.71,1.65
1.66,1.62,1.68,1.61
1.62,1.59,1.63,1.57
1.58,1.58,1.61,1.55
1.60,1.60,1.66,1.58
1.60,1.60,1.61,1.58
1.58,1.58,1.60,1.56
1.57,1.51,1.57,1.51
1.55,1.51,1.58,1.51
1.53,1.43,1.54,1.41
1.41,1.37,1.46,1.37
1.39,1.39,1.40,1.35
1.38,1.40,1.43,1.38
1.41,1.41,1.46,1.36
1.38,1.39,1.40,1.36
1.40,1.40,1.43,1.36
1.40,1.41,1.44,1.39
1.41,1.38,1.42,1.37
1.38,1.39,1.40,1.37
1.41,1.39,1.43,1.37
1.39,1.40,1.40,1.38
1.39,1.45,1.48,1.39
1.42,1.44,1.46,1.42
1.44,1.36,1.45,1.33
1.34,1.37,1.40,1.34
1.38,1.38,1.39,1.33
1.39,1.38,1.39,1.37
1.35,1.70,1.70,1.35
1.66,1.60,1.72,1.57
1.53,1.50,1.59,1.42
1.46,1.46,1.50,1.45
1.45,1.40,1.49,1.40
1.40,1.29,1.40,1.28
1.27,1.26,1.35,1.26
1.36,1.30,1.37,1.27
1.31,1.31,1.33,1.28
1.31,1.31,1.34,1.28
1.31,1.34,1.35,1.31
1.34,1.32,1.34,1.29
1.30,1.27,1.31,1.26
1.27,1.26,1.28,1.25
1.26,1.26,1.29,1.25
1.24,1.26,1.30,1.20
1.26,1.26,1.28,1.25
1.26,1.24,1.28,1.23
1.24,1.21,1.25,1.19
1.20,1.20,1.22,1.17
1.22,1.19,1.22,1.18
1.20,1.20,1.23,1.19
1.20,1.22,1.22,1.20
1.24,1.25,1.27,1.21
1.24,1.22,1.24,1.19
1.22,1.20,1.22,1.18
1.19,1.17,1.22,1.16
1.16,1.17,1.20,1.12
1.16,1.16,1.18,1.15
1.16,1.13,1.21,1.11
1.13,1.09,1.16,1.09
1.10,1.14,1.15,1.10
1.13,1.21,1.21,1.12
1.16,1.22,1.22,1.16
1.19,1.20,1.24,1.18
1.22,1.21,1.24,1.18
1.24,1.28,1.28,1.24
1.27,1.21,1.27,1.20
1.16,1.18,1.22,1.16
1.17,1.19,1.21,1.16
1.18,1.19,1.20,1.16
1.19,1.23,1.23,1.17
1.26,1.28,1.30,1.25
1.28,1.36,1.39,1.22
1.40,1.35,1.42,1.33
1.37,1.35,1.40,1.35
1.33,1.37,1.37,1.30
1.36,1.35,1.39,1.35
1.35,1.39,1.39,1.34
1.42,1.48,1.49,1.38
1.47,1.41,1.49,1.40
1.39,1.38,1.40,1.35
1.38,1.33,1.41,1.31
1.33,1.27,1.33,1.26
1.29,1.31,1.32,1.27
1.31,1.33,1.35,1.29
1.31,1.30,1.34,1.26
1.29,1.34,1.35,1.27
1.34,1.33,1.37,1.32
1.35,1.28,1.35,1.28
1.29,1.30,1.31,1.26
1.28,1.30,1.31,1.27
1.30,1.30,1.31,1.26
1.29,1.27,1.30,1.25
1.27,1.22,1.28,1.20
1.22,1.22,1.25,1.18
1.24,1.21,1.24,1.19
1.18,1.18,1.20,1.15
1.19,1.17,1.20,1.15
1.09,1.08,1.16,1.05
1.10,1.11,1.12,1.09
1.11,1.14,1.15,1.10
1.16,1.17,1.19,1.15
1.17,1.15,1.18,1.14
1.15,1.17,1.18,1.14
1.13,1.17,1.18,1.12
1.15,1.20,1.21,1.15
1.22,1.12,1.22,1.12
1.14,1.14,1.15,1.12
1.14,1.19,1.20,1.11
1.18,1.20,1.20,1.16
1.18,1.17,1.18,1.15
1.18,1.18,1.21,1.15
1.21,1.22,1.26,1.15
1.20,1.22,1.22,1.19
1.21,1.19,1.22,1.18
1.20,1.29,1.29,1.19
1.23,1.27,1.29,1.21
1.25,1.28,1.28,1.22
1.29,1.28,1.29,1.26
1.28,1.28,1.30,1.28
1.27,1.29,1.29,1.27
1.28,1.24,1.30,1.23
1.23,1.23,1.25,1.22
1.22,1.25,1.26,1.22
1.23,1.20,1.26,1.18
1.20,1.18,1.20,1.16
1.19,1.16,1.20,1.15
1.18,1.10,1.18,1.09
1.10,1.12,1.13,1.08
1.14,1.16,1.17,1.12
1.14,1.11,1.15,1.07
1.11,1.19,1.19,1.11
1.17,1.15,1.18,1.12
1.17,1.12,1.18,1.11
1.10,1.02,1.11,1.02
1.00,0.97,1.03,0.93
0.97,0.94,1.02,0.93
0.93,0.93,0.95,0.88
0.92,0.89,0.92,0.87
0.89,0.93,0.96,0.89
0.93,0.88,0.95,0.87
0.86,0.88,0.89,0.85
0.88,0.92,0.93,0.87
0.93,0.90,0.94,0.90
0.90,0.92,0.92,0.87
0.91,0.92,0.93,0.89
0.92,0.89,0.93,0.87
0.89,0.94,0.94,0.85
0.94,0.90,0.95,0.86
0.89,0.86,0.89,0.85
0.86,0.83,0.86,0.83
0.83,0.81,0.85,0.81
0.82,0.84,0.85,0.80
0.84,0.84,0.85,0.82
0.83,0.84,0.84,0.81
0.81,0.83,0.83,0.81
0.80,0.82,0.83,0.80
0.80,0.74,0.82,0.73
0.71,0.73,0.77,0.70
0.71,0.70,0.75,0.70
0.70,0.73,0.73,0.70
0.70,0.72,0.73,0.70
0.73,0.73,0.75,0.73
0.73,0.69,0.73,0.69
0.69,0.74,0.74,0.68
0.74,0.72,0.74,0.71
0.73,0.73,0.73,0.72
0.73,0.83,0.84,0.73
0.86,0.88,0.88,0.79
0.88,0.91,0.91,0.83
0.87,0.88,0.92,0.87
0.88,0.87,0.90,0.86
0.88,0.87,0.88,0.87
0.89,0.84,0.89,0.82
0.86,0.85,0.91,0.84
0.84,0.81,0.87,0.81
0.80,0.83,0.85,0.80
0.82,0.79,0.83,0.78
0.80,0.79,0.80,0.77
0.79,0.76,0.81,0.75
0.75,0.73,0.76,0.71
