TGC,Tengasco,NASDAQ
0.86,0.83,0.87,0.83
0.85,0.84,0.86,0.83
0.84,0.81,0.85,0.79
0.81,0.78,0.82,0.76
0.77,0.76,0.77,0.76
0.75,0.72,0.77,0.67
0.70,0.71,0.74,0.66
0.71,0.69,0.71,0.69
0.69,0.67,0.69,0.67
0.67,0.67,0.69,0.67
0.69,0.70,0.73,0.67
0.70,0.74,0.77,0.70
0.74,0.75,0.77,0.74
0.80,0.79,0.82,0.78
0.79,0.90,0.90,0.79
0.92,0.81,1.00,0.81
0.81,0.86,0.88,0.78
0.88,0.82,0.90,0.82
0.89,0.84,0.89,0.80
0.86,1.08,1.10,0.86
1.04,0.96,1.06,0.92
1.01,1.26,1.30,1.01
1.37,1.33,1.50,1.28
1.34,1.17,1.34,1.16
1.26,1.09,1.26,1.06
1.01,1.03,1.16,0.99
0.99,1.04,1.09,0.97
1.04,0.97,1.04,0.96
0.94,0.92,0.94,0.83
0.97,0.94,1.02,0.91
0.99,1.08,1.14,0.95
1.10,1.05,1.10,1.01
1.20,1.15,1.20,1.07
1.13,1.17,1.22,1.08
1.14,1.21,1.31,1.14
1.20,1.17,1.23,1.15
1.20,1.19,1.20,1.11
1.27,1.29,1.37,1.21
1.33,1.28,1.33,1.22
1.32,1.19,1.32,1.12
1.19,1.17,1.23,1.05
1.20,1.16,1.20,1.12
1.20,1.14,1.20,1.14
1.13,1.06,1.13,1.05
1.08,1.10,1.14,1.06
1.10,1.11,1.14,1.08
1.12,1.15,1.21,1.12
1.15,1.02,1.15,1.02
0.98,0.98,1.01,0.97
0.99,1.00,1.07,0.99
1.00,1.00,1.05,0.99
1.00,1.03,1.04,0.98
1.00,0.99,1.02,0.99
0.96,1.02,1.02,0.96
1.04,1.02,1.07,1.02
1.02,1.03,1.05,0.99
1.02,1.00,1.02,0.99
1.01,0.98,1.01,0.98
1.00,0.97,1.00,0.97
0.97,0.97,1.02,0.97
0.98,1.00,1.00,0.98
1.00,0.98,1.00,0.98
0.97,0.90,0.99,0.90
0.90,0.86,0.90,0.82
0.85,0.84,0.88,0.83
0.82,0.81,0.88,0.80
0.85,0.84,0.86,0.80
0.82,0.86,0.86,0.82
0.87,0.82,0.87,0.81
0.84,0.78,0.84,0.76
0.81,0.79,0.81,0.78
0.82,0.80,0.82,0.79
0.81,0.78,0.82,0.75
0.79,0.83,0.84,0.79
0.85,0.80,0.85,0.79
0.80,0.77,0.80,0.76
0.83,0.75,0.83,0.75
0.75,0.78,0.79,0.75
0.78,0.81,0.81,0.76
0.80,0.79,0.80,0.78
0.79,0.78,0.80,0.78
0.77,0.80,0.81,0.77
0.78,0.78,0.80,0.77
0.77,0.79,0.80,0.77
0.79,0.77,0.79,0.77
0.77,0.76,0.78,0.74
0.75,0.75,0.77,0.75
0.75,0.75,0.78,0.75
0.76,0.76,0.76,0.75
0.76,0.71,0.78,0.70
0.71,0.68,0.71,0.68
0.68,0.66,0.70,0.64
0.66,0.66,0.68,0.64
0.65,0.68,0.70,0.65
0.70,0.70,0.70,0.65
0.68,0.67,0.69,0.66
0.67,0.69,0.70,0.67
0.69,0.76,0.77,0.69
0.75,0.71,0.75,0.69
0.70,0.71,0.71,0.70
0.70,0.71,0.71,0.68
0.71,0.70,0.71,0.66
0.70,0.71,0.72,0.69
0.71,0.74,0.76,0.71
0.75,0.77,0.77,0.73
0.79,0.83,0.86,0.77
0.85,0.84,0.85,0.83
0.85,0.95,0.95,0.85
0.98,0.95,0.98,0.92
0.92,0.85,0.95,0.85
0.86,0.88,0.91,0.86
0.89,0.91,0.93,0.89
0.93,0.92,0.97,0.91
0.96,0.91,0.96,0.91
0.93,0.89,0.93,0.88
0.90,0.87,0.90,0.85
0.86,0.88,0.89,0.85
0.87,0.90,0.91,0.87
0.91,0.88,0.91,0.88
0.85,0.84,0.85,0.83
0.84,0.84,0.85,0.81
0.82,0.80,0.83,0.80
0.85,0.82,0.85,0.80
0.80,0.79,0.82,0.75
0.93,0.82,0.93,0.80
0.83,0.82,0.85,0.80
0.80,0.80,0.82,0.78
0.79,0.77,0.81,0.75
0.76,0.73,0.77,0.66
0.79,0.67,0.79,0.65
0.68,0.70,0.71,0.66
0.71,0.65,0.73,0.63
0.64,0.70,0.71,0.64
0.73,0.70,0.73,0.67
0.72,0.80,0.80,0.72
