CPT,Camden Property Trust Common Stock,NASDAQ
49.96,48.43,50.37,48.42
48.94,51.00,51.44,48.81
50.23,49.41,50.45,49.15
49.01,48.67,49.77,48.18
48.45,46.42,48.99,45.42
46.29,45.84,48.11,44.95
47.97,49.73,49.75,47.81
49.15,50.27,51.22,48.67
50.47,51.50,51.59,50.36
51.37,50.79,51.76,50.62
50.38,48.92,50.76,48.54
49.08,48.12,49.54,46.45
48.85,46.80,48.95,46.59
46.56,46.14,47.65,45.04
44.87,43.55,45.48,43.50
43.01,44.75,45.25,42.70
44.67,43.96,45.39,43.91
42.64,44.63,44.78,42.27
45.21,44.13,46.36,43.98
45.32,45.85,46.10,44.80
45.73,45.64,46.36,45.37
45.42,44.97,46.44,44.87
45.42,45.76,45.80,44.24
45.64,45.65,46.23,45.24
44.78,42.76,45.13,42.56
43.22,43.05,44.15,42.46
43.12,44.15,44.35,42.18
44.60,44.48,45.65,44.15
45.32,46.97,47.20,45.13
46.13,47.53,47.55,46.13
48.00,48.03,48.45,47.46
48.39,48.49,48.69,47.89
48.16,47.84,48.54,47.54
48.02,47.58,48.34,47.42
46.99,47.08,47.71,46.97
47.64,46.25,47.98,46.22
46.42,44.05,46.52,43.92
44.05,44.07,44.59,43.33
43.84,43.12,43.93,42.76
43.35,44.06,44.26,43.02
43.60,43.28,43.90,42.96
42.48,41.31,42.57,40.99
41.28,40.85,42.01,40.77
41.04,40.84,41.25,39.73
41.12,40.10,41.24,39.86
40.89,39.15,41.36,38.91
39.19,41.07,41.17,39.11
42.25,42.20,42.94,41.79
42.10,43.39,43.44,41.76
43.08,43.05,43.50,42.53
43.62,44.40,44.60,43.50
44.03,44.24,44.58,43.23
44.31,44.28,44.43,43.11
44.02,42.54,44.02,42.21
42.54,43.23,43.32,41.67
42.53,44.22,44.33,42.17
44.70,43.12,44.99,43.04
43.72,45.32,45.66,43.67
45.08,45.64,45.92,44.49
45.72,46.40,46.58,45.21
46.87,46.29,47.11,45.58
46.24,46.40,46.80,45.92
46.62,45.42,46.68,45.11
45.42,45.52,45.88,44.45
46.40,47.42,47.65,46.40
47.01,47.41,47.87,46.54
47.53,47.06,47.63,46.73
46.67,46.69,47.51,46.51
46.10,46.31,46.76,45.45
46.68,47.16,47.21,46.20
46.55,46.70,47.24,46.21
45.63,45.82,46.31,45.25
44.98,45.06,45.76,44.87
45.82,45.18,45.99,45.17
45.07,44.80,45.84,44.74
45.33,45.45,45.74,44.72
45.45,45.44,45.69,44.89
45.20,44.08,45.21,43.88
43.81,44.10,44.15,43.51
44.33,43.77,44.57,43.76
43.03,43.88,44.28,42.74
43.41,44.68,44.85,43.41
44.88,44.66,45.45,44.54
45.07,45.62,45.63,43.96
45.34,44.88,45.97,44.88
44.71,45.76,45.94,44.69
46.49,47.46,47.68,46.40
47.52,47.32,47.83,47.11
48.04,48.03,48.04,47.31
47.66,47.24,47.80,47.18
47.27,46.85,47.64,46.68
47.56,46.55,47.56,46.42
46.82,46.59,46.91,46.35
47.11,47.07,47.21,46.50
46.84,47.28,47.83,46.80
46.76,47.30,47.51,46.45
47.30,47.37,47.53,46.98
47.63,48.23,48.38,47.28
48.50,49.90,50.00,48.31
49.91,49.26,50.06,49.00
49.09,48.59,49.51,48.55
48.05,47.27,48.16,47.19
48.01,48.80,48.83,47.85
48.76,47.89,48.76,47.72
47.71,47.75,47.93,46.81
47.53,47.34,47.79,47.07
47.83,47.97,48.37,47.33
48.28,48.18,48.33,47.26
48.14,48.42,48.51,47.84
49.13,48.44,49.13,48.31
48.31,48.37,48.61,47.82
48.58,48.87,49.06,48.48
48.99,48.71,49.14,48.47
48.69,48.76,48.96,48.49
48.70,48.87,48.93,48.37
49.20,49.55,50.00,48.86
49.51,49.45,49.89,49.15
49.84,49.59,50.33,49.50
49.68,50.13,50.15,49.59
49.39,49.56,50.30,48.88
49.84,50.75,51.19,49.73
51.02,50.87,51.46,50.57
50.94,51.47,51.51,50.76
51.73,51.56,51.97,51.52
51.15,50.82,51.44,50.80
50.59,50.38,50.88,49.97
50.89,49.69,50.96,49.32
49.49,49.59,50.14,49.48
49.90,49.91,50.65,49.67
50.27,50.05,50.70,49.89
50.15,50.18,50.65,49.87
50.78,52.06,52.06,50.59
51.97,52.67,52.98,51.32
52.57,52.32,52.87,52.04
52.52,50.26,52.52,49.93
50.36,51.82,51.83,50.32
51.37,51.42,51.85,51.15
51.07,51.25,51.58,50.99
51.56,50.74,51.95,50.73
50.40,48.98,50.56,48.68
49.16,49.62,49.97,48.84
50.22,50.22,50.79,50.02
50.13,50.99,51.09,49.69
50.77,51.02,51.18,50.60
50.45,50.63,50.82,50.40
51.12,52.24,52.24,50.83
51.88,51.80,52.21,51.63
51.15,51.70,51.91,51.08
51.25,51.07,51.64,50.89
51.67,51.07,51.67,50.37
51.29,52.42,52.44,51.24
52.09,52.26,52.36,51.69
52.11,52.30,52.43,51.56
52.87,52.98,53.32,52.57
52.93,52.25,53.11,51.91
52.48,51.37,52.62,51.31
51.52,52.35,52.75,51.47
52.50,52.72,53.20,52.15
52.84,51.85,53.14,51.65
51.71,51.20,52.27,51.16
51.08,50.94,51.20,50.32
51.03,51.04,51.29,50.84
51.26,51.71,51.99,51.13
51.77,52.01,52.09,51.58
52.03,52.73,53.07,51.89
52.62,53.03,53.24,52.62
52.67,53.80,53.88,52.54
53.95,53.85,53.95,53.29
54.00,54.13,54.16,53.69
53.91,54.10,54.25,53.83
54.08,53.98,54.38,53.84
54.36,54.62,54.83,54.18
54.81,53.70,54.93,53.53
53.54,54.01,54.13,53.46
53.80,53.91,54.17,53.27
53.84,53.92,54.43,53.32
53.59,53.95,54.08,53.16
54.15,53.56,54.21,53.09
54.10,53.49,54.25,53.25
53.58,53.60,53.84,53.25
53.54,54.11,54.13,53.20
54.13,54.25,54.32,53.81
54.33,53.47,54.33,53.19
53.57,53.98,54.57,53.43
54.18,54.68,54.74,53.85
54.80,54.89,55.25,54.27
54.61,55.37,55.37,54.27
55.56,55.25,55.57,54.81
55.47,55.72,55.89,55.20
55.83,54.65,55.83,54.38
54.98,55.43,55.71,54.88
55.84,55.73,55.93,54.94
55.73,55.68,56.32,55.64
55.71,56.12,56.36,55.44
56.35,55.62,56.42,55.18
55.63,55.93,56.22,55.63
55.86,55.43,56.12,55.39
55.31,55.34,55.54,55.12
55.21,55.38,55.76,55.16
55.36,55.55,55.77,55.00
55.63,56.13,56.20,55.21
55.56,55.75,55.95,55.28
55.95,55.97,56.60,55.44
55.83,56.02,56.25,55.77
56.23,56.59,56.59,56.09
56.12,56.28,56.94,56.01
56.20,56.69,57.11,56.20
56.56,57.04,57.06,56.26
57.12,58.14,58.26,57.12
58.18,59.17,59.66,58.18
59.46,56.94,59.46,56.84
56.94,56.20,57.09,55.91
56.74,56.65,57.09,56.45
56.66,56.02,56.88,55.65
56.29,55.29,56.53,55.03
55.54,56.16,56.40,55.39
56.00,56.15,56.68,55.55
55.59,55.50,55.94,55.15
55.36,56.14,56.18,55.27
55.61,55.86,56.26,55.61
54.57,55.81,56.32,54.43
55.85,55.22,56.02,55.04
56.02,56.01,56.04,55.39
56.50,56.07,57.00,56.02
56.71,56.57,56.92,56.32
56.53,55.46,56.84,55.39
55.47,55.00,55.47,54.81
55.27,55.18,55.43,53.99
55.30,55.84,56.00,55.27
55.95,55.51,55.96,55.31
55.20,55.65,55.82,54.39
55.93,56.20,56.39,55.69
56.05,56.82,57.18,56.05
57.04,57.06,57.31,56.65
57.19,57.12,57.32,56.88
57.10,57.13,57.43,56.84
57.24,57.43,57.50,56.87
57.36,56.53,57.44,56.43
56.67,56.40,56.90,56.11
56.42,56.47,56.96,56.21
56.08,56.89,57.06,56.02
57.11,57.15,57.41,56.91
56.83,57.57,57.76,56.83
57.57,58.35,58.48,57.57
57.67,57.60,57.84,57.11
57.80,58.44,58.44,57.79
59.11,59.00,59.47,58.25
59.12,59.25,59.33,58.78
59.22,60.00,60.00,59.03
60.00,61.05,61.41,59.87
61.18,61.46,61.46,60.90
61.36,62.31,62.77,61.36
62.65,62.75,63.70,62.07
63.20,62.90,63.60,62.44
62.84,62.42,63.83,62.00
62.55,62.84,62.92,62.28
62.61,62.97,63.61,62.49
63.40,61.64,63.55,61.38
61.65,61.52,62.00,61.28
61.86,62.53,62.61,61.80
62.32,62.01,62.50,61.55
61.66,61.88,62.07,61.31
61.94,61.65,61.99,61.22
61.46,61.78,62.38,61.28
61.54,61.75,61.88,61.18
61.85,62.29,62.58,61.53
62.57,62.84,63.43,62.43
62.65,61.53,62.78,61.47
60.81,61.37,61.69,60.80
61.60,61.92,62.11,61.39
61.76,62.28,62.52,61.47
61.96,63.09,63.19,61.92
63.26,63.23,63.31,62.71
63.76,64.28,64.28,63.56
63.95,62.77,64.11,62.72
62.68,62.95,63.37,62.64
62.32,63.96,64.43,62.25
61.90,63.78,64.17,61.90
63.89,64.46,65.09,63.70
64.25,64.96,65.39,64.23
65.29,65.02,65.29,64.09
64.91,63.38,64.91,63.22
63.66,64.09,64.50,63.35
64.55,64.76,64.83,64.16
64.35,63.94,64.53,63.58
63.83,63.64,64.34,62.09
64.04,64.08,64.32,63.15
64.00,64.78,65.28,63.86
65.23,65.26,65.35,64.39
65.18,64.39,65.76,64.30
63.69,62.92,63.69,62.32
62.92,63.76,63.76,62.46
63.64,63.71,64.08,63.50
63.69,63.22,63.76,62.95
63.55,63.60,63.98,63.14
63.61,63.62,63.92,63.35
63.85,64.88,65.09,63.80
64.87,65.93,66.13,64.70
65.83,66.57,66.57,65.62
67.01,67.59,68.15,66.88
66.80,67.27,67.35,66.55
66.60,66.21,66.87,65.96
65.93,66.80,68.00,65.81
67.14,65.65,67.14,65.52
65.61,65.27,66.02,65.20
65.61,66.92,67.05,65.14
66.76,66.65,67.01,65.82
66.95,67.75,67.89,66.89
67.86,68.25,68.41,67.45
68.50,69.03,69.22,68.44
68.83,69.32,69.48,68.66
68.54,69.11,69.29,68.25
69.00,68.97,69.35,68.46
68.58,67.35,68.76,67.22
67.26,67.21,67.66,66.25
63.27,67.07,67.23,63.26
67.68,67.24,68.26,66.75
67.18,65.39,67.98,65.39
65.68,65.28,65.77,63.15
64.14,62.29,64.69,62.21
62.83,60.18,62.89,59.54
58.48,55.85,59.61,55.79
57.02,61.88,61.91,55.98
60.30,60.42,63.95,60.23
60.73,64.51,65.78,60.48
65.01,64.07,65.99,63.76
64.54,67.05,67.10,64.51
66.12,66.70,67.32,65.88
67.15,66.56,67.62,65.73
64.56,63.39,65.24,62.68
62.24,61.78,63.92,61.54
63.13,62.08,63.37,61.47
62.53,64.24,64.41,61.80
64.09,65.16,65.27,63.60
65.76,63.25,66.51,62.92
62.76,64.23,64.44,61.43
65.24,66.11,66.12,64.72
65.93,66.40,66.79,64.96
66.82,66.82,67.17,66.05
66.79,66.03,67.21,65.82
64.62,64.96,66.19,64.62
63.10,65.04,65.31,63.10
65.97,67.76,67.80,64.64
67.50,67.42,68.37,66.92
66.91,64.80,67.14,64.44
64.02,65.53,65.54,63.94
65.79,65.86,66.18,64.89
66.29,65.07,66.33,63.91
65.66,64.32,65.77,64.06
63.95,63.24,64.02,62.26
61.30,61.72,62.96,60.22
61.75,60.17,62.06,59.96
60.09,56.18,60.39,55.97
54.03,55.51,57.06,54.03
55.66,56.09,56.18,54.20
56.50,56.49,56.72,55.21
57.23,56.69,57.58,56.49
57.01,55.45,57.23,55.43
56.87,57.00,57.01,55.84
56.28,55.26,56.82,55.24
54.88,53.09,55.86,53.02
52.68,55.83,55.88,51.72
55.96,54.60,56.07,52.31
54.40,56.33,56.40,53.94
56.52,54.08,56.74,54.00
54.86,57.44,57.49,54.86
56.75,55.31,57.22,54.80
55.89,55.70,57.03,55.42
55.05,55.48,56.09,54.32
56.02,56.82,57.03,55.76
56.40,55.00,56.40,54.84
55.23,56.62,56.70,54.85
56.47,55.90,56.90,55.77
56.09,56.78,56.85,54.78
57.69,58.26,58.39,56.91
58.17,59.73,60.19,57.94
59.30,58.51,59.37,58.36
59.15,58.75,59.20,57.71
60.63,60.81,61.96,59.46
61.19,60.52,61.68,60.12
59.50,60.64,61.29,58.79
58.92,58.27,60.00,58.21
59.40,59.89,60.82,58.81
60.44,60.02,60.71,58.25
59.84,60.45,60.50,57.04
60.47,60.85,61.64,59.63
60.95,61.49,61.64,59.56
60.13,58.81,60.63,58.54
59.58,59.17,59.70,58.41
59.70,60.77,60.87,59.32
60.51,60.00,60.93,59.62
59.66,60.75,61.09,59.48
60.20,59.62,60.70,59.53
59.49,57.86,59.55,57.55
58.21,58.02,58.22,57.16
57.21,56.39,57.25,55.99
56.33,56.26,56.87,56.12
55.77,54.45,55.86,54.42
54.30,54.71,55.80,54.10
56.35,55.06,56.46,54.52
55.16,55.03,55.36,54.65
56.75,57.73,57.83,56.01
57.55,57.04,57.80,56.54
57.50,57.51,58.84,57.46
58.32,57.88,58.54,57.37
57.69,57.57,57.92,57.28
57.22,58.44,58.62,56.82
58.00,56.88,58.15,56.68
57.02,57.85,58.18,56.82
57.14,56.71,57.14,56.23
57.16,56.37,57.67,55.93
56.09,56.81,57.31,56.04
57.10,58.02,58.39,56.64
58.00,59.20,59.36,57.96
59.39,59.03,59.59,58.87
60.01,60.91,61.04,59.36
60.74,60.77,60.98,60.19
61.12,61.81,61.99,60.80
61.85,61.52,62.20,61.06
61.33,62.14,62.59,60.98
62.35,61.38,62.35,61.34
61.65,62.35,62.40,61.39
62.24,62.24,62.94,62.15
63.15,61.83,63.91,61.37
61.30,60.95,61.58,60.76
60.85,61.92,62.10,60.43
61.86,61.33,62.08,60.94
61.45,61.06,61.53,60.82
61.69,61.44,61.83,61.09
61.20,61.20,61.58,60.98
59.60,59.61,59.70,59.36
59.36,59.66,60.10,59.30
59.90,60.01,60.87,59.73
60.19,60.86,60.92,59.91
61.11,60.88,61.15,60.67
60.72,61.11,61.18,60.36
61.17,61.29,61.60,60.77
61.09,62.18,62.20,60.89
62.06,63.34,63.44,61.76
63.68,64.18,64.33,63.65
64.00,64.59,64.85,63.71
64.09,63.78,64.29,63.51
64.01,64.50,64.65,63.83
64.78,64.83,65.21,64.36
64.78,64.68,65.17,64.14
65.40,65.14,65.95,64.62
65.47,64.93,65.62,64.64
64.80,64.16,64.94,64.01
64.27,63.64,64.44,63.49
63.65,63.41,63.80,62.93
62.95,62.86,63.47,62.77
63.49,63.84,63.92,62.98
63.61,62.85,63.64,62.63
63.06,62.45,63.38,62.27
62.47,63.15,63.46,62.47
63.23,63.05,63.45,62.53
63.07,61.95,63.31,61.46
62.01,61.44,62.60,61.43
61.57,62.02,62.02,61.25
62.67,62.91,62.97,62.00
62.47,62.24,62.47,61.88
62.42,61.59,62.64,61.41
61.72,62.00,62.14,61.39
62.01,62.53,62.63,62.01
62.33,61.99,62.56,61.75
61.99,63.51,63.51,61.79
62.59,62.95,63.51,62.59
63.01,62.60,63.34,62.19
62.87,62.51,63.05,62.35
62.40,63.39,63.43,62.40
63.34,63.89,64.19,63.34
64.25,64.63,64.68,63.74
64.75,64.12,64.84,63.67
64.20,63.57,64.28,63.38
63.42,63.82,63.95,63.41
63.56,64.29,64.32,63.50
64.05,64.32,64.88,63.81
64.54,63.47,64.54,63.46
63.18,62.57,63.18,61.96
62.78,63.28,63.60,62.57
63.95,64.15,64.15,63.51
64.29,64.29,64.72,64.04
64.08,63.86,64.08,63.20
63.58,64.65,64.80,63.35
65.06,65.75,66.02,64.78
65.75,65.85,66.02,65.57
65.75,65.86,66.12,65.49
65.37,65.34,65.61,64.75
65.16,65.23,65.33,64.92
64.23,64.58,64.99,64.02
64.88,63.09,64.88,63.04
63.58,63.54,63.93,63.24
63.43,64.63,64.63,63.28
64.65,64.87,65.42,64.29
65.39,66.03,66.52,65.26
66.36,66.31,66.44,65.79
66.14,65.89,66.37,65.83
65.97,65.81,66.09,65.47
66.02,67.21,67.44,66.02
66.63,66.93,66.99,66.14
66.93,68.09,68.10,66.84
68.53,68.76,68.79,68.12
68.69,68.19,68.83,67.95
68.28,68.21,68.47,67.50
68.29,67.67,68.40,67.29
67.61,68.07,68.70,67.51
67.80,68.23,68.53,67.54
68.42,68.15,68.54,68.11
67.78,67.95,68.34,67.73
67.58,68.84,68.91,67.58
68.37,68.62,68.87,68.12
67.95,68.53,68.97,67.94
68.89,68.36,69.00,68.00
68.11,68.56,68.72,67.81
68.15,67.48,68.33,67.44
67.40,67.14,67.71,66.86
67.50,66.55,67.65,66.32
66.43,64.51,66.43,64.51
64.81,63.68,65.11,63.54
63.70,64.69,64.90,63.63
64.80,64.85,65.18,64.57
64.65,65.45,65.59,64.05
65.60,65.65,65.97,64.80
65.82,65.29,66.06,65.13
65.64,66.41,66.41,65.60
65.66,64.81,65.70,64.79
64.86,65.11,65.63,64.34
63.89,63.84,64.81,63.83
64.00,63.42,64.09,62.89
63.18,64.90,65.00,63.13
65.34,66.13,66.16,64.76
66.70,65.65,66.83,65.51
65.63,66.67,66.67,65.29
67.10,65.03,67.15,65.00
65.31,65.82,65.94,64.74
65.58,65.45,66.29,65.22
65.45,66.47,66.75,65.43
66.68,67.02,67.05,66.08
66.63,67.58,67.89,66.40
67.65,67.10,67.87,66.74
67.09,67.08,67.41,66.53
67.44,66.25,67.55,65.99
66.60,66.02,66.65,65.25
65.29,65.92,66.18,65.24
66.14,66.22,66.56,65.79
66.11,65.47,66.11,65.28
64.86,66.33,66.33,64.63
67.55,67.67,67.72,66.89
67.92,68.46,68.55,67.60
68.72,68.69,69.18,68.39
68.71,68.68,69.10,68.39
68.13,68.68,68.93,68.11
68.75,68.90,69.04,68.00
69.29,68.43,69.29,68.12
68.35,68.54,68.57,68.00
68.05,69.55,69.87,67.90
69.55,70.59,70.74,69.47
70.58,70.80,71.06,70.32
70.88,71.59,71.78,70.50
71.36,71.29,71.57,70.93
71.58,71.08,71.66,70.26
70.50,70.78,71.12,70.36
69.97,70.90,71.06,69.82
70.91,70.66,71.07,70.30
70.72,70.85,71.27,70.17
71.54,70.65,71.76,70.12
70.87,70.94,71.42,70.73
71.01,70.98,71.33,70.60
70.96,71.31,71.54,70.87
71.58,70.54,71.99,70.51
70.02,70.73,70.73,69.79
71.72,70.21,71.72,69.90
70.51,69.70,70.51,69.55
69.77,68.01,69.90,67.82
67.67,66.72,67.79,66.51
66.53,66.50,67.16,66.30
66.23,66.94,67.07,66.02
66.52,66.71,67.02,66.44
66.92,66.63,67.31,66.46
66.84,67.58,67.58,66.66
67.74,68.31,68.36,67.13
68.29,68.92,69.11,68.01
68.63,68.90,69.08,68.44
69.15,68.86,69.28,68.72
68.80,68.99,69.18,68.29
68.86,69.50,69.97,68.76
69.54,69.82,69.94,69.18
69.85,69.83,70.16,69.35
69.60,69.97,70.41,69.32
70.04,70.00,70.16,69.83
69.91,69.67,70.00,69.23
69.79,69.43,70.04,68.91
69.32,69.79,69.97,68.99
69.94,69.45,70.15,69.13
69.68,69.66,69.94,69.48
69.79,69.45,70.18,69.34
69.52,68.51,69.85,68.30
68.78,68.40,68.78,68.05
68.62,67.92,68.62,67.81
67.94,68.56,68.62,67.86
68.63,68.55,69.18,68.43
68.49,68.15,68.95,68.14
68.09,67.64,68.54,67.40
67.74,67.53,67.94,67.29
67.26,66.23,67.43,66.15
66.46,66.20,66.68,66.07
65.89,65.78,66.68,65.73
65.96,64.84,66.44,64.81
64.72,64.54,65.14,64.08
64.71,64.75,65.10,64.38
64.29,64.49,64.60,63.98
64.62,64.10,64.67,63.18
64.13,64.61,64.63,63.99
64.49,64.05,64.90,64.03
64.31,63.51,64.71,63.29
63.65,63.45,63.97,63.21
63.24,63.11,63.24,62.97
63.11,63.01,63.34,62.78
63.01,63.24,63.46,62.69
63.56,62.91,63.74,62.89
62.95,62.70,63.40,62.57
62.80,63.37,63.39,62.08
63.48,63.97,63.98,63.33
65.32,64.26,65.32,63.89
64.25,65.40,65.43,64.11
65.31,65.38,66.01,65.13
64.52,65.18,65.47,64.52
64.79,64.83,65.04,64.16
65.03,64.80,65.38,64.51
64.99,64.68,65.46,64.06
64.71,64.38,64.71,63.52
64.38,65.63,65.71,63.98
65.44,66.04,66.59,64.90
67.80,67.19,68.00,66.11
67.15,67.17,67.44,66.32
67.31,67.21,67.40,66.51
66.78,66.63,67.40,66.38
66.69,65.67,66.69,65.60
65.47,65.50,66.11,65.01
65.75,65.62,66.03,64.99
65.51,65.06,65.81,63.86
65.27,63.45,65.27,63.30
63.45,63.53,64.16,63.02
63.65,64.02,64.14,63.05
64.46,64.81,65.23,64.13
64.78,65.05,65.08,64.13
65.22,64.75,65.22,64.51
65.05,65.18,65.73,64.72
64.87,65.13,65.86,64.71
64.98,65.21,66.18,64.07
65.25,64.86,65.25,64.24
65.67,66.06,66.18,64.86
66.06,65.70,66.48,65.57
65.99,65.86,66.17,65.35
65.87,65.98,66.64,65.50
65.94,65.92,66.25,65.55
65.92,66.56,66.74,65.58
66.76,66.79,66.96,66.48
66.74,66.76,67.13,66.68
67.01,67.23,67.40,66.83
66.96,67.30,67.57,66.78
67.11,66.47,67.15,66.34
66.52,66.63,66.82,66.22
66.68,66.67,67.60,66.32
66.65,66.75,67.29,66.59
66.82,66.48,66.97,66.44
66.56,67.30,67.41,66.40
66.62,67.51,68.01,66.61
67.52,68.00,68.20,67.07
68.04,67.74,68.23,67.48
67.83,68.11,68.26,67.40
67.76,67.80,68.45,67.51
67.68,68.21,68.27,67.56
69.19,68.58,69.33,68.39
68.72,68.51,69.60,68.31
68.64,68.89,69.02,68.41
68.74,69.24,69.31,68.60
69.25,68.95,69.56,68.61
69.18,68.98,69.38,68.85
68.72,68.86,68.89,68.03
68.81,69.01,69.18,68.38
69.02,69.18,69.32,68.95
69.37,69.84,69.88,68.91
69.74,69.67,69.93,69.41
69.95,69.89,70.18,69.63
69.90,70.00,70.19,69.59
70.01,70.44,70.44,69.89
70.17,70.67,70.89,70.17
70.59,70.40,70.90,70.13
70.56,70.44,70.92,69.99
70.39,70.37,70.77,70.23
70.42,70.68,71.24,70.34
70.70,70.38,71.11,70.14
70.36,69.39,70.59,69.07
71.00,69.10,71.99,68.91
68.97,68.38,69.30,68.18
68.48,68.14,68.62,67.63
67.88,68.31,68.80,67.88
68.52,68.18,68.55,67.80
68.38,69.15,69.16,68.21
69.13,68.54,69.38,68.49
68.69,69.49,69.50,68.64
69.49,69.52,69.62,69.25
69.34,69.42,69.76,69.33
69.44,69.93,70.02,69.21
70.05,70.68,70.70,69.84
70.43,71.47,71.84,70.43
71.41,70.55,71.61,70.43
70.86,70.93,71.35,70.64
71.09,69.90,71.13,69.90
70.37,70.24,70.60,69.71
70.16,70.30,70.78,70.16
70.22,69.14,70.47,69.14
69.07,69.43,69.58,68.52
69.28,69.37,69.59,68.86
69.75,69.67,69.88,69.22
70.07,69.65,70.07,69.15
69.86,69.57,70.38,69.35
69.74,69.16,69.74,68.84
69.14,68.70,69.37,68.32
68.63,68.56,68.70,68.13
68.74,68.86,68.89,68.25
69.09,69.77,69.83,68.70
69.55,70.35,70.46,69.36
70.00,70.26,70.60,69.74
70.29,69.75,70.42,69.23
70.01,69.54,70.01,68.99
69.26,69.20,69.90,69.13
69.38,69.90,70.50,69.36
69.90,69.67,70.35,69.42
69.41,69.54,69.77,69.03
69.36,69.16,69.49,68.91
69.15,68.68,69.34,68.15
68.74,69.52,69.61,68.56
69.79,69.77,70.02,69.61
69.83,69.39,70.06,69.23
69.58,70.87,70.97,69.58
70.18,72.05,72.11,70.01
72.05,72.78,72.79,71.78
72.97,72.42,72.98,72.14
72.80,72.07,72.80,71.88
72.10,71.90,72.74,71.82
71.83,72.36,72.57,71.83
72.00,71.21,72.50,71.12
71.64,72.34,72.36,70.77
72.16,71.30,72.16,70.72
71.49,70.96,71.54,70.61
71.15,71.67,71.75,70.83
71.89,71.52,71.89,70.88
71.86,71.57,71.86,70.92
71.67,71.91,72.16,71.34
71.87,71.24,72.01,71.00
71.28,71.00,71.53,70.80
70.78,71.45,71.59,70.78
71.49,72.34,72.48,71.30
72.30,71.95,72.71,71.70
72.04,72.30,72.65,71.87
72.71,71.33,73.44,70.96
71.40,71.48,71.84,70.76
71.61,72.70,72.70,71.39
72.67,72.81,73.09,71.97
72.93,73.04,73.26,72.55
73.14,73.52,73.52,72.70
73.76,74.12,74.22,73.23
74.13,74.33,74.90,73.97
74.39,74.65,74.69,74.06
74.55,74.66,74.99,74.35
74.97,74.72,75.15,74.23
74.65,74.98,75.24,74.44
75.17,75.46,76.06,74.98
75.59,73.19,75.73,72.73
72.83,71.91,72.83,71.27
71.72,72.11,72.14,70.66
72.64,70.89,72.75,70.72
70.51,69.87,70.75,68.67
69.88,69.37,70.32,69.06
69.24,69.25,69.87,68.49
69.19,69.83,70.31,68.32
69.88,69.12,70.04,68.97
69.10,68.17,69.34,67.93
68.44,68.59,68.60,67.21
68.58,67.69,68.95,66.73
67.80,67.05,68.04,66.69
66.24,65.73,66.81,65.56
65.83,64.87,66.01,64.73
64.80,66.59,66.76,64.63
66.50,66.25,67.62,65.87
66.61,65.89,66.86,65.53
66.04,66.34,66.88,65.53
66.51,64.21,66.56,64.03
