WINT,Windtree Therapeutics,NASDAQ
0.27,0.25,0.27,0.24
0.25,0.25,0.26,0.24
0.26,0.27,0.29,0.25
0.27,0.27,0.28,0.26
0.27,0.26,0.27,0.25
0.26,0.24,0.26,0.24
0.25,0.25,0.26,0.24
0.25,0.25,0.26,0.24
0.24,0.26,0.27,0.24
0.26,0.25,0.27,0.25
0.25,0.25,0.27,0.23
0.24,0.24,0.25,0.23
0.24,0.24,0.25,0.23
0.24,0.24,0.24,0.23
0.24,0.23,0.24,0.22
0.23,0.22,0.23,0.21
0.21,0.22,0.24,0.21
0.22,0.22,0.24,0.22
0.21,0.23,0.23,0.21
0.23,0.23,0.24,0.21
0.22,0.22,0.24,0.22
0.23,0.24,0.24,0.22
0.24,0.23,0.24,0.22
0.23,0.23,0.23,0.22
0.23,0.23,0.23,0.22
0.23,0.24,0.24,0.22
0.23,0.24,0.24,0.22
0.23,0.23,0.24,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.25,0.23
0.23,0.23,0.24,0.23
0.23,0.23,0.25,0.22
0.22,0.23,0.24,0.22
0.24,0.23,0.25,0.23
0.24,0.22,0.24,0.22
0.23,0.22,0.23,0.22
0.23,0.22,0.23,0.22
0.22,0.21,0.22,0.21
0.22,0.22,0.23,0.21
0.23,0.21,0.23,0.21
0.21,0.20,0.21,0.20
0.23,0.21,0.24,0.21
0.22,0.21,0.22,0.21
0.21,0.20,0.21,0.20
0.20,0.20,0.21,0.19
0.20,0.21,0.21,0.20
0.21,0.21,0.21,0.20
0.21,0.20,0.21,0.20
0.20,0.21,0.21,0.20
0.22,0.22,0.22,0.21
0.23,0.24,0.25,0.23
0.24,0.23,0.24,0.23
0.24,0.24,0.24,0.23
0.24,0.25,0.26,0.23
0.26,0.23,0.26,0.23
0.24,0.23,0.25,0.23
0.24,0.23,0.24,0.23
0.23,0.23,0.24,0.23
0.23,0.22,0.23,0.22
0.21,0.21,0.21,0.20
0.22,0.21,0.22,0.20
0.23,0.21,0.23,0.21
0.22,0.21,0.22,0.20
0.21,0.21,0.22,0.20
0.22,0.21,0.22,0.21
0.21,0.21,0.22,0.20
0.22,0.23,0.23,0.21
0.23,0.23,0.23,0.21
0.23,0.22,0.23,0.22
0.21,0.21,0.22,0.21
0.21,0.21,0.22,0.21
0.21,0.21,0.22,0.21
0.21,0.22,0.22,0.21
0.22,0.21,0.22,0.21
0.21,0.21,0.21,0.20
0.20,0.21,0.21,0.20
0.20,0.20,0.21,0.20
0.20,0.20,0.21,0.20
0.20,0.20,0.21,0.20
0.20,0.21,0.21,0.20
0.21,0.20,0.21,0.20
0.20,0.20,0.22,0.20
0.21,0.20,0.21,0.20
0.21,0.20,0.21,0.20
0.20,0.18,0.20,0.17
0.18,0.18,0.18,0.17
0.19,0.17,0.19,0.17
0.18,0.17,0.18,0.17
0.17,0.18,0.18,0.17
0.18,0.17,0.18,0.17
0.18,0.17,0.18,0.17
0.17,0.18,0.18,0.17
0.18,0.19,0.20,0.18
0.22,0.21,0.23,0.20
0.22,0.21,0.22,0.21
0.21,0.20,0.21,0.20
0.20,0.20,0.21,0.20
0.21,0.20,0.22,0.20
0.21,0.24,0.25,0.20
0.25,0.36,0.36,0.25
4.66,3.94,4.66,3.89
3.99,3.75,4.03,3.75
3.77,3.46,3.77,3.34
3.30,3.33,3.40,3.28
3.35,3.46,3.46,3.11
3.49,3.77,3.80,3.41
3.70,4.10,4.13,3.64
4.18,3.93,4.18,3.84
4.03,3.70,4.03,3.67
3.20,3.34,3.50,3.12
3.43,3.37,3.43,3.21
3.37,3.38,3.38,3.24
3.33,3.51,3.55,3.27
3.50,3.41,3.50,3.40
3.53,3.41,3.53,3.32
3.52,3.25,3.53,3.25
3.31,3.19,3.31,3.16
3.18,3.13,3.22,3.13
3.13,3.13,3.15,3.07
3.14,3.11,3.18,3.11
3.28,3.22,3.28,3.11
3.24,3.25,3.41,3.22
3.31,3.12,3.34,3.07
3.13,3.13,3.18,2.98
3.12,3.04,3.12,2.95
3.15,3.05,3.19,3.05
3.05,2.82,3.11,2.80
2.81,2.84,2.94,2.75
2.93,3.04,3.08,2.87
3.00,3.02,3.08,2.95
3.00,3.00,3.02,2.94
2.96,2.97,3.03,2.93
2.95,2.97,2.98,2.90
3.00,2.98,3.00,2.90
2.98,2.94,3.03,2.91
2.25,2.11,2.30,2.02
2.15,2.16,2.23,2.12
2.20,2.16,2.20,2.10
2.18,2.05,2.18,2.05
2.05,2.04,2.11,2.01
2.01,2.00,2.04,1.95
2.01,2.07,2.08,1.98
2.04,2.06,2.10,2.02
2.03,2.06,2.06,2.00
2.02,2.08,2.08,2.02
2.09,2.07,2.09,2.02
2.04,2.01,2.07,2.00
2.04,2.00,2.04,1.95
1.96,1.96,2.02,1.94
1.95,1.92,1.95,1.85
1.90,1.85,1.90,1.82
1.82,1.85,1.88,1.79
1.81,1.80,1.83,1.79
1.74,1.75,1.78,1.71
1.73,1.75,1.79,1.73
1.77,1.79,1.81,1.76
1.79,1.93,1.96,1.79
1.93,1.94,1.95,1.87
1.96,1.91,1.96,1.77
1.90,1.87,1.91,1.81
1.89,1.80,1.89,1.78
1.79,1.82,1.84,1.79
1.84,1.84,1.90,1.84
1.84,1.90,1.90,1.83
1.90,1.94,1.94,1.85
1.92,1.85,1.94,1.83
1.83,1.89,1.89,1.80
1.88,1.90,1.90,1.85
1.92,1.86,1.92,1.81
1.86,1.86,1.86,1.80
1.85,1.80,1.85,1.80
1.80,1.79,1.84,1.79
1.80,1.89,1.89,1.79
1.87,1.86,2.04,1.84
1.87,1.86,1.89,1.82
1.86,1.91,1.92,1.86
1.90,1.88,1.91,1.86
1.83,1.85,1.86,1.81
1.85,1.85,1.87,1.85
1.88,1.89,1.89,1.83
1.88,1.85,1.90,1.83
1.84,1.83,1.88,1.81
1.83,1.87,1.87,1.81
1.86,1.89,1.89,1.84
1.89,2.05,2.12,1.89
2.06,1.97,2.07,1.97
1.99,2.12,2.13,1.95
2.20,1.97,2.25,1.97
1.97,1.94,2.00,1.85
1.92,1.90,1.94,1.86
1.93,1.91,1.95,1.90
1.92,1.90,1.95,1.88
1.90,1.89,1.92,1.86
1.94,2.17,2.30,1.92
2.17,2.65,2.71,2.17
2.79,2.50,2.95,2.35
2.51,2.22,2.51,2.20
2.20,2.36,2.42,2.11
2.30,2.60,2.79,2.30
2.51,2.41,2.56,2.28
2.42,2.39,2.54,2.31
2.37,2.43,2.50,2.22
2.48,2.48,2.64,2.41
2.45,2.59,2.67,2.45
2.60,2.53,2.64,2.50
2.53,2.44,2.57,2.40
2.45,2.45,2.48,2.28
2.53,2.49,2.93,2.47
2.52,2.38,2.57,2.35
2.35,2.42,2.55,2.28
2.42,2.35,2.42,2.30
2.39,2.18,2.39,2.16
2.18,2.01,2.24,1.96
2.02,2.05,2.14,1.95
2.06,1.96,2.06,1.95
2.00,1.90,2.01,1.90
1.91,1.91,1.98,1.90
1.90,1.88,1.97,1.87
1.89,1.89,1.95,1.85
1.90,1.98,1.98,1.87
1.97,1.99,2.05,1.96
2.00,2.04,2.10,1.97
2.09,2.15,2.25,2.09
2.15,2.10,2.15,2.03
2.11,2.17,2.18,2.00
2.15,2.12,2.17,2.08
2.13,2.18,2.20,2.12
2.17,2.17,2.30,2.16
2.17,2.25,2.25,2.17
2.25,2.28,2.37,2.24
2.27,2.23,2.27,2.07
2.25,2.26,2.30,2.17
2.27,2.31,2.41,2.22
2.31,2.33,2.37,2.22
2.31,2.25,2.31,2.22
2.24,2.19,2.24,2.12
2.21,2.21,2.25,2.18
2.21,2.49,2.50,2.21
2.50,2.59,2.65,2.50
2.61,2.47,2.64,2.37
2.48,2.49,2.50,2.40
2.50,2.43,2.50,2.33
2.43,2.42,2.44,2.31
2.42,2.54,2.58,2.36
2.52,2.53,2.58,2.45
2.54,2.46,2.56,2.45
2.47,2.47,2.55,2.41
2.46,2.53,2.56,2.41
2.50,2.47,2.51,2.44
2.48,2.60,2.64,2.44
2.60,2.44,2.70,2.36
2.44,2.35,2.45,2.15
2.31,2.19,2.31,2.16
2.21,2.20,2.22,1.93
2.10,1.99,2.10,1.95
2.03,2.15,2.15,1.96
2.09,2.07,2.15,2.05
2.05,2.11,2.15,2.05
2.16,2.26,2.28,2.06
2.29,2.19,2.31,2.13
2.18,2.19,2.26,2.05
2.21,2.23,2.26,2.17
2.17,2.09,2.17,2.01
2.02,2.05,2.07,1.99
2.10,2.00,2.10,1.95
2.01,2.02,2.03,1.96
2.02,1.98,2.04,1.97
1.98,1.97,2.02,1.96
1.97,2.02,2.05,1.96
2.06,2.10,2.11,2.05
2.09,2.07,2.09,2.03
2.09,2.15,2.18,2.06
2.15,2.09,2.17,2.06
2.05,2.09,2.09,2.02
2.07,2.08,2.10,2.03
2.08,2.25,2.29,2.06
2.22,2.27,2.42,2.21
2.25,2.28,2.38,2.23
2.25,2.20,2.29,2.13
2.20,2.23,2.26,2.18
2.21,2.26,2.27,2.21
2.26,2.27,2.29,2.21
2.26,2.26,2.28,2.20
2.18,2.34,2.40,2.13
2.35,2.17,2.35,2.11
2.18,2.17,2.28,2.12
2.15,2.09,2.18,1.94
2.09,2.09,2.10,2.03
2.18,2.14,2.18,1.97
2.20,2.10,2.20,2.10
2.10,2.15,2.31,1.95
2.18,2.04,2.18,2.00
2.02,1.96,2.02,1.95
1.96,1.82,2.01,1.82
1.80,1.77,1.81,1.64
1.80,1.82,1.84,1.77
1.81,1.85,1.88,1.79
1.85,1.83,1.85,1.77
1.86,1.89,1.89,1.82
1.86,1.88,1.94,1.86
1.91,1.88,1.92,1.85
1.83,1.83,1.86,1.76
1.80,1.86,1.86,1.80
1.81,1.85,1.85,1.81
1.84,1.81,1.84,1.80
1.83,1.82,1.87,1.81
1.82,1.79,1.84,1.75
1.79,1.77,1.85,1.76
1.77,1.85,1.85,1.76
1.85,1.82,1.85,1.78
1.83,1.80,1.83,1.78
1.83,1.82,1.84,1.80
1.81,1.78,1.85,1.76
1.77,1.82,1.84,1.74
1.77,1.77,1.81,1.76
1.77,1.80,1.83,1.77
1.82,1.80,1.88,1.79
1.80,1.79,1.87,1.78
1.79,1.78,1.83,1.77
1.81,1.79,1.81,1.76
1.77,1.71,1.77,1.71
1.72,1.77,1.80,1.71
1.78,1.75,1.78,1.72
1.76,1.75,1.78,1.74
1.74,1.72,1.78,1.72
1.73,1.69,1.77,1.69
1.69,1.69,1.75,1.69
1.70,1.70,1.73,1.69
1.69,1.67,1.70,1.67
1.67,1.67,1.70,1.66
1.65,1.64,1.69,1.60
1.64,1.64,1.67,1.61
1.67,1.62,1.69,1.61
1.63,1.59,1.63,1.57
1.62,1.58,1.64,1.58
1.58,1.58,1.63,1.57
1.65,1.69,1.83,1.61
1.68,1.78,1.80,1.68
1.81,1.78,1.88,1.75
1.79,1.77,1.81,1.77
1.77,1.73,1.79,1.73
1.73,1.70,1.75,1.69
1.70,1.76,1.78,1.68
1.76,1.70,1.79,1.70
1.69,1.67,1.72,1.66
1.68,1.60,1.71,1.60
1.60,1.54,1.60,1.44
1.52,1.49,1.55,1.45
1.47,1.58,1.65,1.47
1.61,1.64,1.67,1.58
1.66,1.71,1.76,1.65
1.70,1.72,1.72,1.67
1.73,1.74,1.80,1.73
1.74,1.74,1.77,1.74
1.73,1.67,1.75,1.65
1.68,1.68,1.71,1.66
1.71,1.71,1.72,1.67
1.73,1.80,1.82,1.72
1.77,1.79,1.80,1.74
1.80,1.76,1.82,1.76
1.75,1.95,2.00,1.75
1.99,2.04,2.06,1.98
2.03,2.10,2.14,1.98
2.10,2.17,2.35,2.07
2.19,2.26,2.30,2.19
2.26,2.24,2.30,2.20
2.23,2.19,2.27,2.17
2.20,2.11,2.20,2.03
2.10,2.13,2.18,2.07
2.14,2.13,2.25,2.08
2.13,2.11,2.18,2.10
2.12,2.18,2.19,2.11
2.20,2.25,2.25,2.14
2.25,2.24,2.27,2.19
2.23,2.19,2.24,2.17
2.19,2.20,2.20,2.15
2.21,2.23,2.23,2.13
2.44,2.55,2.70,2.43
2.57,2.51,2.60,2.42
2.53,2.65,2.66,2.46
2.65,2.65,2.66,2.60
2.75,2.68,2.98,2.67
2.76,2.67,2.78,2.55
2.64,2.65,2.75,2.60
2.62,2.80,2.87,2.62
2.83,2.76,2.85,2.75
2.81,2.74,2.81,2.71
2.75,2.67,2.75,2.62
2.65,2.63,2.65,2.57
2.60,2.83,2.91,2.60
2.87,2.82,2.87,2.78
2.91,3.13,3.40,2.89
3.25,3.40,3.45,3.20
3.48,3.76,3.76,3.42
3.77,3.55,3.80,3.25
3.60,3.57,3.64,3.35
3.60,3.68,3.80,3.56
3.70,3.51,3.75,3.35
3.61,3.58,3.65,3.42
3.57,3.75,4.57,3.39
5.24,4.08,5.39,4.07
4.02,3.76,4.08,3.76
3.65,3.64,3.72,3.44
3.65,3.47,3.74,3.45
3.44,3.48,3.55,3.32
3.49,3.57,3.73,3.44
3.54,3.50,3.62,3.44
2.85,2.85,2.95,2.80
2.90,2.81,2.90,2.78
2.81,2.82,2.84,2.79
2.80,2.80,2.84,2.79
2.82,2.81,2.85,2.80
2.81,2.78,2.85,2.73
2.81,2.75,2.81,2.63
2.77,2.66,2.79,2.65
2.72,2.68,2.72,2.62
2.69,2.58,2.75,2.56
2.60,2.68,2.70,2.55
2.62,2.61,2.66,2.58
2.58,2.52,2.62,2.51
2.52,2.43,2.53,2.38
2.44,2.59,2.60,2.39
2.54,2.51,2.55,2.46
2.56,2.39,2.56,2.37
2.41,2.61,2.63,2.41
2.62,2.59,2.63,2.54
2.57,2.62,2.74,2.54
2.63,2.51,2.63,2.48
2.51,2.54,2.57,2.48
2.52,2.49,2.52,2.46
2.49,2.50,2.52,2.44
2.50,2.60,2.65,2.49
2.60,2.79,2.80,2.54
2.76,2.94,2.98,2.76
2.94,2.95,3.00,2.86
2.94,3.05,3.05,2.88
3.06,3.04,3.08,2.94
3.02,3.08,3.15,3.00
3.12,3.00,3.14,2.99
2.98,2.91,3.00,2.88
2.96,2.74,2.99,2.63
2.75,2.71,2.76,2.65
2.71,2.79,2.83,2.65
2.80,2.78,2.80,2.67
2.79,2.66,2.80,2.62
2.66,2.70,2.72,2.66
2.68,2.70,2.72,2.63
2.72,2.71,2.72,2.65
2.69,2.69,2.74,2.67
2.67,2.61,2.69,2.58
2.59,2.47,2.59,2.39
2.47,2.38,2.55,2.30
2.39,2.56,2.59,2.39
2.54,2.57,2.64,2.54
2.58,2.62,2.65,2.50
2.60,2.60,2.67,2.56
2.58,2.56,2.62,2.52
2.55,2.53,2.59,2.51
2.52,2.52,2.57,2.49
2.51,2.63,2.72,2.50
2.63,2.52,2.63,2.52
2.50,2.52,2.55,2.49
2.52,2.52,2.56,2.50
2.53,2.49,2.54,2.46
2.51,2.48,2.52,2.46
2.45,2.47,2.55,2.43
2.54,2.41,2.55,2.40
2.41,2.43,2.47,2.35
2.41,2.38,2.41,2.36
2.39,2.37,2.42,2.36
2.37,2.27,2.41,2.27
2.30,2.33,2.40,2.25
2.37,2.31,2.39,2.31
2.30,2.29,2.36,2.25
2.31,2.29,2.36,2.24
2.33,2.27,2.40,2.25
2.25,2.21,2.25,2.12
2.19,2.24,2.27,2.18
2.25,2.32,2.36,2.24
2.31,2.26,2.33,2.24
2.30,2.32,2.34,2.30
2.30,2.40,2.41,2.30
2.40,2.51,2.54,2.40
2.52,2.70,2.72,2.51
2.72,2.81,2.90,2.61
2.81,2.71,2.81,2.65
2.73,2.64,2.77,2.55
2.65,2.57,2.66,2.54
2.59,2.53,2.59,2.40
2.55,2.57,2.63,2.49
2.57,2.52,2.62,2.51
2.53,2.62,2.67,2.53
2.69,2.75,2.83,2.68
2.76,2.71,2.80,2.70
2.71,2.71,2.71,2.64
2.66,2.62,2.66,2.59
2.62,2.54,2.62,2.53
2.56,2.60,2.61,2.54
2.63,2.66,2.67,2.59
2.66,2.73,2.78,2.64
2.75,2.62,2.76,2.60
2.62,2.53,2.66,2.53
2.54,2.41,2.57,2.41
2.42,2.43,2.53,2.42
2.47,2.48,2.54,2.44
2.49,2.45,2.54,2.45
2.59,2.60,2.67,2.49
2.63,2.54,2.65,2.53
2.53,2.57,2.59,2.48
2.56,2.54,2.58,2.51
2.53,2.58,2.59,2.48
2.57,2.50,2.60,2.50
2.50,2.51,2.53,2.49
2.51,2.59,2.60,2.51
2.59,2.64,2.69,2.57
2.62,2.56,2.62,2.55
2.53,2.51,2.59,2.50
2.54,2.55,2.57,2.51
2.53,2.51,2.55,2.48
2.65,2.63,2.77,2.61
2.68,2.81,2.86,2.65
2.85,3.22,3.27,2.84
3.27,3.18,3.30,3.04
3.12,3.15,3.19,3.06
3.19,3.22,3.22,3.08
3.18,3.25,3.29,3.09
3.22,3.31,3.51,3.22
3.35,3.33,3.40,3.27
3.33,3.22,3.33,3.14
3.22,3.20,3.25,3.16
3.19,3.29,3.30,3.10
3.34,3.40,3.41,3.28
3.39,3.41,3.45,3.35
3.40,3.34,3.45,3.30
3.32,3.28,3.35,3.24
3.20,3.34,3.39,3.20
3.34,3.32,3.40,3.25
3.32,3.30,3.35,3.25
3.35,3.30,3.38,3.28
3.27,3.32,3.34,3.26
3.33,3.35,3.42,3.30
3.33,3.21,3.37,3.18
3.23,3.30,3.34,3.22
3.30,3.27,3.31,3.27
3.29,3.15,3.29,3.11
3.15,3.06,3.18,3.02
3.06,2.98,3.07,2.94
2.99,3.02,3.05,2.92
3.03,3.05,3.08,2.95
3.03,2.98,3.10,2.97
2.98,2.88,2.99,2.86
2.88,2.81,2.98,2.79
2.82,2.84,2.89,2.79
2.84,2.88,2.89,2.84
2.88,2.88,2.95,2.80
2.89,2.90,2.91,2.85
2.90,2.99,3.00,2.90
3.04,2.95,3.04,2.91
2.91,2.85,2.95,2.84
2.86,2.80,2.86,2.79
2.78,2.73,2.80,2.70
2.44,2.71,2.74,2.20
2.72,2.68,2.74,2.57
2.68,2.42,2.68,2.41
2.43,2.41,2.49,2.39
2.40,2.42,2.43,2.36
2.43,2.31,2.44,2.30
2.31,2.28,2.33,2.28
2.30,2.34,2.35,2.27
2.29,2.19,2.31,2.18
2.20,2.00,2.24,2.00
2.00,2.03,2.08,1.98
2.05,2.04,2.25,2.03
2.02,1.99,2.07,1.95
2.00,1.85,2.00,1.83
1.84,1.82,1.96,1.78
1.81,1.80,1.82,1.71
1.82,1.84,1.90,1.79
1.83,1.91,1.93,1.83
1.90,1.92,1.96,1.89
1.92,1.95,1.99,1.92
1.96,2.08,2.12,1.95
2.06,2.14,2.15,2.05
2.14,2.06,2.16,2.03
2.08,2.08,2.13,2.06
2.09,2.15,2.20,2.08
2.15,2.24,2.25,2.10
2.30,2.35,2.37,2.26
2.36,2.20,2.36,2.20
2.22,2.24,2.28,2.19
2.27,2.27,2.28,2.21
2.29,2.28,2.33,2.26
2.32,2.25,2.32,2.18
2.29,2.25,2.29,2.21
2.27,2.25,2.28,2.21
2.23,2.26,2.27,2.17
2.26,2.25,2.27,2.21
2.22,2.25,2.27,2.22
2.25,2.24,2.25,2.20
2.23,2.21,2.23,2.17
2.20,2.10,2.25,2.10
2.12,2.09,2.17,2.06
2.08,2.02,2.12,2.01
2.03,2.08,2.10,2.00
2.07,2.07,2.09,2.04
2.06,2.11,2.16,2.00
2.24,2.23,2.25,2.14
2.24,2.34,2.36,2.20
2.37,2.23,2.37,2.18
2.22,2.16,2.22,2.11
2.16,2.23,2.25,2.14
2.22,2.25,2.27,2.21
2.26,2.25,2.28,2.22
2.26,2.24,2.26,2.23
2.26,2.16,2.27,2.16
2.15,2.23,2.25,2.13
2.25,2.28,2.30,2.20
2.37,2.32,2.37,2.29
2.33,2.34,2.35,2.29
2.34,2.37,2.39,2.30
2.39,2.38,2.39,2.34
2.37,2.40,2.41,2.34
2.41,2.42,2.43,2.38
2.44,2.44,2.44,2.39
2.43,2.36,2.45,2.31
2.35,2.22,2.35,2.22
2.22,2.25,2.30,2.22
2.27,2.32,2.34,2.24
2.32,2.25,2.32,2.25
2.26,2.33,2.33,2.22
2.32,2.33,2.35,2.28
2.31,2.29,2.38,2.26
2.30,2.25,2.30,2.23
2.25,2.25,2.26,2.23
2.25,2.27,2.29,2.24
2.27,2.16,2.28,2.15
2.33,2.67,2.74,2.26
2.75,2.67,2.79,2.55
2.71,2.81,2.91,2.67
2.81,2.62,2.89,2.61
2.63,2.73,2.81,2.51
2.79,2.65,2.81,2.59
2.69,2.57,2.74,2.55
2.59,2.54,2.61,2.51
2.53,2.48,2.54,2.46
2.47,2.46,2.55,2.46
2.48,2.44,2.55,2.40
2.43,2.47,2.47,2.39
2.48,2.54,2.58,2.48
2.55,2.60,2.67,2.55
2.64,2.63,2.68,2.55
2.65,2.65,2.65,2.60
2.63,2.66,2.67,2.62
2.66,2.59,2.67,2.55
2.68,2.42,2.79,2.34
2.43,2.46,2.48,2.36
2.46,2.39,2.49,2.38
2.36,2.31,2.39,2.25
2.28,2.36,2.38,2.28
2.39,2.35,2.40,2.32
2.33,2.36,2.40,2.33
2.37,2.33,2.39,2.30
2.33,2.37,2.40,2.33
2.39,2.36,2.44,2.33
2.34,2.35,2.38,2.32
2.37,2.29,2.37,2.28
2.30,2.31,2.38,2.28
2.32,2.28,2.33,2.25
2.28,2.20,2.31,2.20
2.21,2.25,2.25,2.20
2.22,2.23,2.26,2.22
2.25,2.21,2.25,2.20
2.23,2.20,2.24,2.16
2.22,2.27,2.29,2.19
2.26,2.36,2.37,2.26
2.35,2.39,2.40,2.30
2.25,1.85,2.25,1.85
1.89,1.77,1.89,1.75
1.76,1.76,1.83,1.68
1.77,1.74,1.80,1.73
1.75,1.78,1.79,1.72
1.83,1.77,1.83,1.75
1.80,1.77,1.80,1.76
1.79,1.77,1.80,1.76
1.78,1.76,1.78,1.74
1.77,1.72,1.77,1.70
1.72,1.73,1.77,1.70
1.73,1.69,1.73,1.68
1.73,1.68,1.74,1.68
1.70,1.61,1.70,1.61
1.65,1.66,1.67,1.63
1.64,1.62,1.65,1.58
1.62,1.60,1.63,1.58
1.60,1.56,1.61,1.55
1.58,1.64,1.68,1.53
1.55,1.50,1.55,1.50
1.55,1.54,1.57,1.50
1.55,1.51,1.68,1.51
1.54,1.52,1.54,1.50
1.52,1.50,1.54,1.50
1.51,1.50,1.54,1.50
1.52,1.69,1.70,1.52
1.71,1.65,1.73,1.64
1.67,1.62,1.69,1.60
1.60,1.63,1.68,1.57
1.62,1.60,1.65,1.60
1.63,1.70,1.70,1.60
1.68,1.78,1.80,1.67
1.77,1.79,1.79,1.72
1.79,1.79,1.82,1.74
1.80,1.77,1.81,1.74
1.77,1.77,1.80,1.75
1.77,1.76,1.77,1.72
1.77,1.77,1.80,1.73
1.79,1.74,1.79,1.73
1.75,1.75,1.81,1.69
1.74,1.69,1.74,1.68
1.71,1.65,1.71,1.65
1.65,1.62,1.66,1.61
1.62,1.63,1.64,1.59
1.65,1.66,1.68,1.63
1.67,1.71,1.78,1.65
1.72,1.66,1.75,1.65
1.63,1.61,1.68,1.61
