APD,Air Products and Chemicals,NASDAQ
76.81,77.03,77.32,76.29
76.68,75.59,76.68,74.18
75.00,75.01,75.50,74.30
75.61,74.69,76.10,74.58
73.97,73.84,74.80,73.27
73.31,73.55,73.87,72.81
74.19,73.56,74.59,73.54
74.21,74.42,74.53,73.46
74.12,73.70,74.54,73.70
73.46,74.03,74.34,73.45
74.97,74.75,74.97,74.04
75.21,77.19,77.30,74.75
77.99,78.04,78.04,77.31
77.80,77.38,78.00,76.86
77.30,77.79,78.85,77.12
78.51,77.95,79.31,77.83
78.07,77.95,78.37,77.80
78.70,78.78,78.97,78.24
78.73,80.21,80.83,78.66
79.88,81.38,81.60,79.47
80.84,81.75,82.00,80.20
82.46,82.20,82.59,81.71
82.33,83.05,83.26,82.08
83.04,83.00,83.45,82.51
83.07,83.18,83.38,82.47
82.37,82.94,83.53,82.27
83.87,84.20,84.43,83.50
84.08,83.86,84.25,83.71
84.00,83.97,84.06,82.67
83.27,82.85,83.30,82.20
83.16,82.82,84.28,82.55
83.22,83.02,84.00,82.52
82.94,82.07,83.00,81.88
82.92,84.20,84.29,82.90
84.08,84.02,84.56,83.71
84.40,82.41,84.69,82.33
82.39,82.70,82.92,82.37
82.89,82.53,83.33,82.30
82.18,82.58,82.72,81.70
82.98,82.91,83.22,82.29
82.04,82.10,82.86,81.42
82.86,81.66,82.95,81.32
81.79,82.95,83.01,81.73
81.88,81.30,82.26,80.90
81.65,83.10,83.22,81.46
83.76,84.93,84.96,83.22
84.75,84.74,84.90,84.43
84.92,85.74,86.50,84.63
85.26,85.70,85.78,84.50
85.07,84.17,85.17,83.80
84.77,85.15,85.75,84.35
84.88,84.97,85.67,84.44
85.50,84.95,86.10,84.56
85.68,86.36,86.86,85.68
86.50,85.46,86.50,84.29
86.63,86.86,86.87,86.08
86.87,86.65,87.10,86.21
86.37,87.21,87.41,86.34
87.60,85.58,87.68,85.24
85.52,85.27,85.94,84.41
84.16,85.49,85.59,84.02
84.44,84.00,85.14,83.09
84.21,84.52,85.14,83.85
83.71,83.21,84.05,82.93
83.51,83.74,84.53,83.13
84.68,85.65,86.10,84.67
85.88,86.01,86.02,85.27
83.52,85.50,85.61,83.52
84.59,84.57,84.82,83.09
83.60,86.55,86.69,83.60
85.95,85.62,85.95,85.41
84.93,85.82,86.06,82.86
84.70,86.22,86.40,84.70
87.89,86.39,88.22,86.18
86.60,88.63,88.67,86.56
88.14,87.61,88.29,87.08
87.69,87.69,87.96,87.42
88.50,87.52,89.05,87.49
87.52,87.06,87.81,86.19
87.49,88.75,89.92,86.02
89.11,88.84,89.50,88.34
89.99,88.68,89.99,88.46
88.47,87.59,89.23,87.48
87.34,88.02,88.42,87.27
88.33,88.58,88.68,87.68
88.45,89.33,89.40,87.79
89.30,89.93,90.00,89.10
90.00,90.53,90.90,89.93
90.40,90.57,91.00,90.15
90.21,90.80,91.00,90.21
90.48,90.89,90.96,90.15
91.15,91.22,91.35,90.54
91.19,91.25,91.39,90.86
90.99,90.95,91.25,90.70
90.70,90.95,91.10,90.56
91.54,90.53,91.71,90.31
90.50,89.19,90.65,88.95
89.04,88.80,89.38,88.60
88.69,88.34,88.83,87.70
88.59,88.50,89.78,87.96
88.72,88.51,88.72,87.78
88.63,88.32,88.89,87.96
88.59,88.65,89.00,88.21
89.09,88.86,89.15,88.59
88.56,88.73,88.79,87.75
87.91,89.10,89.20,87.52
89.61,88.51,89.61,88.19
88.11,87.26,88.44,86.96
87.55,86.51,88.18,86.23
86.38,86.50,86.91,86.30
86.48,86.68,87.13,86.17
87.00,86.92,87.21,86.68
87.01,86.34,87.69,86.27
86.57,85.77,87.30,85.54
86.15,87.25,87.34,85.98
88.44,89.62,89.70,87.87
89.74,89.04,89.74,88.56
89.04,88.59,89.51,88.01
88.70,88.61,88.95,88.17
88.95,89.25,89.50,88.70
89.48,89.55,89.67,88.89
89.14,88.49,89.33,88.24
88.22,88.61,89.00,88.12
88.33,89.06,89.28,88.09
88.99,90.03,90.06,88.90
89.30,90.22,90.30,89.10
93.39,94.61,94.71,92.50
93.93,93.94,94.35,92.94
94.74,94.96,95.00,94.44
92.42,91.83,94.63,91.65
92.79,90.89,92.89,89.75
90.92,90.86,91.78,90.01
91.26,91.42,92.29,91.23
91.91,92.00,92.55,91.65
92.46,89.90,92.50,89.89
90.03,90.42,90.68,89.85
91.40,91.90,92.00,91.34
91.51,91.22,92.03,90.50
91.55,89.56,92.01,89.45
90.13,89.88,90.13,89.19
89.58,89.59,89.92,89.03
88.52,87.90,89.08,87.88
87.74,87.02,88.48,86.88
86.72,86.88,87.31,86.22
84.71,85.73,86.32,84.23
85.61,84.12,85.70,83.22
85.49,86.25,87.32,84.37
87.66,88.00,88.76,87.11
89.00,88.38,89.49,88.11
88.27,87.87,88.65,87.53
87.64,88.55,88.89,86.76
89.03,89.84,89.87,88.43
89.95,89.94,90.74,89.81
90.31,89.89,90.69,89.89
89.83,90.28,90.28,89.08
90.49,90.19,90.49,89.30
89.85,90.18,90.84,89.85
90.53,90.48,91.31,90.14
90.87,90.74,91.00,90.07
90.52,92.22,92.76,90.38
92.68,92.49,93.00,91.46
92.03,91.40,92.93,91.01
92.03,92.01,92.81,91.26
92.07,91.19,92.27,90.65
90.90,89.78,91.36,89.58
90.28,90.08,90.64,89.47
89.62,90.57,90.83,89.18
91.12,91.82,92.12,90.46
90.69,90.51,90.94,89.96
90.75,92.06,92.07,90.38
93.00,93.72,94.29,93.00
93.66,93.92,94.06,92.72
93.61,94.03,94.40,93.00
94.38,95.11,95.33,94.15
95.13,94.82,95.21,93.33
94.92,95.68,95.71,94.45
95.96,95.52,96.00,95.21
96.00,94.77,96.00,94.35
94.65,94.36,94.76,93.58
94.42,93.09,94.55,92.84
92.61,92.15,93.62,91.78
93.27,92.50,94.10,91.94
92.66,93.63,94.02,92.44
94.13,94.74,95.08,93.89
94.65,92.98,94.83,92.48
92.86,92.27,93.07,91.34
92.50,90.66,92.62,90.55
90.30,90.87,92.11,90.22
90.71,89.51,90.87,89.25
89.78,91.41,91.44,89.42
91.74,92.01,92.49,91.02
92.06,91.27,92.09,90.33
90.00,90.63,90.83,89.58
91.09,91.05,91.73,90.52
90.55,92.42,92.80,90.37
92.18,92.75,92.97,91.37
93.11,93.96,94.15,92.85
95.00,95.09,95.14,93.86
94.93,92.10,95.10,91.96
92.39,91.87,93.13,91.31
90.61,89.63,90.78,89.56
89.45,89.61,90.50,89.25
90.43,90.60,91.48,89.69
90.19,90.80,91.29,89.78
91.28,92.65,93.78,90.90
91.99,91.17,92.70,91.12
91.61,92.33,92.87,91.22
93.57,93.26,93.89,92.91
92.57,90.90,93.09,90.44
91.02,90.43,91.25,89.41
91.30,90.04,91.70,89.75
89.63,91.18,91.49,89.63
91.89,92.50,93.07,91.56
92.00,92.97,93.37,91.78
91.43,92.98,93.05,90.67
93.05,92.99,93.44,92.33
92.86,93.01,93.22,92.13
93.36,94.84,94.85,93.10
94.85,94.09,94.99,93.47
94.47,95.58,95.93,94.04
95.47,96.45,96.73,94.71
96.40,96.29,96.80,95.99
96.27,96.80,96.95,96.14
97.39,97.79,98.00,96.91
96.70,97.02,97.40,96.21
96.07,95.30,96.19,94.86
94.71,94.74,95.54,94.64
95.20,94.92,95.56,94.64
95.10,93.94,95.45,93.69
94.29,94.29,94.37,93.37
93.80,92.92,94.00,92.58
93.41,94.20,94.45,93.41
94.66,94.13,94.66,93.59
94.51,95.41,95.67,94.10
95.18,91.90,95.18,91.73
91.47,91.80,92.40,90.83
91.92,90.97,92.09,90.87
90.75,89.88,90.90,89.52
89.94,89.06,90.68,88.98
87.86,88.73,89.75,87.75
89.97,88.53,90.11,87.53
87.68,85.23,88.00,85.21
85.25,86.38,86.48,84.32
85.44,82.08,85.44,82.01
83.19,82.25,83.68,80.27
80.67,77.25,81.62,76.36
78.24,80.25,80.30,75.89
78.96,77.82,81.05,77.68
78.23,81.36,82.34,77.80
82.10,81.99,82.92,80.73
82.70,82.27,82.99,80.90
81.45,81.67,82.46,80.99
82.26,81.55,82.77,81.20
79.37,76.84,79.52,76.22
75.71,75.24,77.49,74.92
76.86,74.80,76.97,74.58
75.52,76.51,76.66,75.15
76.67,77.56,77.65,75.76
77.72,77.49,78.27,76.84
76.76,78.64,78.98,75.30
79.87,81.25,81.36,79.52
81.04,82.10,82.55,80.73
82.93,81.87,83.65,81.36
81.64,81.48,83.00,81.32
79.95,80.04,81.10,79.39
78.30,80.29,80.40,77.45
81.38,82.53,82.62,80.95
82.25,81.08,82.43,80.70
79.98,78.39,80.24,78.02
77.66,77.56,78.58,76.35
77.93,78.79,79.03,77.27
79.16,80.12,81.17,77.67
81.00,81.91,82.04,80.21
82.68,82.36,82.95,81.52
80.77,81.58,81.90,79.96
82.20,82.18,83.14,81.19
82.09,78.13,82.09,78.05
75.97,76.25,76.75,75.04
75.33,76.72,76.92,75.10
77.24,78.85,78.94,76.37
80.57,80.85,82.39,80.41
81.46,79.00,81.47,78.85
79.96,79.29,80.25,77.98
77.96,76.37,79.05,76.36
75.90,73.87,77.18,73.85
73.28,76.51,76.63,72.26
76.72,79.13,79.71,76.05
78.93,80.24,80.49,78.22
80.94,80.03,81.26,78.99
81.62,83.00,83.20,81.53
82.58,81.73,83.25,81.19
82.22,82.82,83.78,81.78
82.48,82.90,83.24,81.45
83.80,84.06,84.35,83.36
83.97,82.64,84.02,82.34
82.61,85.32,85.72,81.80
85.24,83.24,85.24,82.71
83.48,83.08,84.49,82.00
80.90,82.74,84.48,78.75
82.66,83.15,83.50,82.15
82.90,82.45,84.47,81.89
83.74,84.54,85.01,81.95
86.86,87.50,89.48,85.91
88.09,89.41,90.20,87.20
88.06,86.14,88.18,86.11
82.98,83.23,85.12,82.12
84.32,84.95,85.49,83.75
86.22,86.33,86.60,84.74
85.30,85.77,86.21,84.32
85.96,86.47,86.55,84.40
86.47,87.53,87.76,85.37
85.84,83.40,85.84,83.05
84.43,84.47,85.11,83.46
85.75,86.46,86.98,85.70
86.22,85.54,86.44,84.61
85.42,85.61,86.24,84.49
84.62,83.45,85.46,83.27
83.09,81.21,83.38,80.39
81.27,81.08,81.45,80.10
79.95,79.34,80.19,78.97
78.92,78.80,80.11,78.49
78.00,76.94,78.20,76.76
76.80,76.74,77.61,76.64
80.19,79.12,80.19,78.46
79.50,78.93,80.11,78.46
81.10,83.75,83.88,81.10
83.71,82.64,84.41,82.53
83.71,81.96,83.88,81.22
83.46,83.37,84.16,82.57
83.48,82.82,83.84,82.74
82.63,83.54,84.08,81.95
83.11,82.20,83.20,81.56
81.86,83.22,83.81,81.22
82.11,81.19,82.11,80.25
81.82,80.87,83.01,80.22
80.41,80.48,81.59,80.03
81.62,82.18,82.38,80.81
83.00,82.54,83.60,81.78
82.73,81.40,83.23,81.18
83.15,84.81,84.87,82.95
85.00,84.28,85.52,83.43
84.56,84.80,85.14,83.92
85.26,86.05,86.09,84.78
85.87,86.42,86.63,85.72
86.63,84.98,86.63,84.87
84.71,84.99,85.32,84.51
85.12,85.19,85.46,84.73
86.62,86.35,87.14,86.11
86.25,87.09,87.50,85.96
86.71,86.50,86.97,85.60
86.85,86.32,86.85,85.90
86.21,86.32,86.85,85.61
87.05,87.31,87.50,86.78
87.01,87.94,87.95,86.81
88.50,90.13,90.19,88.27
89.14,89.91,89.99,87.92
90.11,90.44,90.83,89.73
90.71,91.56,91.72,89.99
91.06,91.84,92.23,90.37
91.51,90.65,91.67,90.30
90.61,89.92,91.48,89.62
88.17,87.58,88.25,86.69
86.98,87.74,88.21,86.36
88.24,88.16,89.35,87.69
88.08,88.19,88.60,87.67
87.44,88.33,88.39,87.28
88.71,88.03,88.90,87.46
88.99,89.36,89.95,88.87
89.58,88.55,89.70,88.52
89.84,90.40,90.50,89.52
89.86,89.93,90.02,89.53
89.56,90.04,90.27,89.08
90.14,90.74,90.77,89.88
90.91,91.05,91.27,90.22
89.91,90.40,90.50,89.63
91.08,90.52,91.19,90.25
90.42,90.78,90.78,89.83
91.00,90.73,91.28,90.40
90.69,91.89,91.90,90.39
92.00,92.06,92.14,91.39
92.44,91.75,92.44,91.37
91.83,90.85,91.83,90.73
90.97,91.91,92.00,90.36
91.86,91.94,92.41,91.66
91.63,92.01,92.36,91.08
92.01,91.24,92.21,90.84
91.51,90.24,91.65,89.95
90.67,91.87,91.88,90.59
91.92,91.88,92.48,91.54
91.50,90.90,91.50,90.24
89.39,88.55,89.53,88.15
88.98,88.89,89.31,88.27
89.39,90.01,90.16,89.23
90.10,89.44,90.37,89.33
89.29,89.33,89.95,89.05
89.55,90.74,90.82,89.44
90.79,91.14,91.22,90.46
91.24,91.62,91.70,90.09
91.69,91.71,92.31,91.45
92.24,92.01,92.40,91.48
91.15,91.17,91.35,90.40
91.27,90.92,91.64,90.45
90.37,89.60,90.57,89.08
89.79,90.20,90.39,89.26
88.84,91.33,91.37,88.84
91.70,91.71,92.34,91.26
91.57,91.13,91.70,90.26
90.31,91.65,91.68,90.00
91.73,91.80,92.28,91.29
91.83,92.68,92.79,91.44
92.62,91.76,92.65,91.32
90.90,90.58,91.00,90.47
90.33,90.81,90.93,90.14
89.28,88.95,89.78,88.71
88.75,86.97,89.02,86.91
87.72,87.34,88.30,87.03
87.38,89.49,89.66,87.36
89.34,88.26,89.57,88.21
88.71,89.15,89.27,88.09
89.71,90.12,90.51,89.17
89.71,88.43,89.75,88.40
88.52,89.26,89.47,87.96
89.50,89.75,90.39,89.21
88.59,88.73,89.26,88.51
85.42,84.72,86.58,81.58
85.34,85.47,85.61,84.93
85.44,86.29,86.46,85.31
85.98,85.56,86.26,85.42
85.74,85.49,85.85,85.05
84.82,86.12,86.85,84.74
85.87,86.18,86.34,85.33
86.28,86.31,86.58,85.67
86.10,85.52,86.11,85.11
84.93,85.76,86.22,84.93
85.11,85.24,85.42,84.26
84.28,83.48,85.04,83.45
84.17,83.04,84.25,82.92
82.63,83.17,83.89,82.52
82.53,82.88,83.69,82.03
82.81,81.92,83.16,81.65
82.39,81.03,82.72,81.02
81.12,79.34,81.39,79.30
79.72,77.81,79.92,77.58
78.12,80.06,80.26,77.84
80.33,79.90,80.94,79.46
79.26,79.54,79.76,78.49
80.01,80.45,80.46,79.47
80.13,79.94,80.65,79.70
80.77,81.11,81.26,80.26
80.22,79.08,80.91,78.97
78.98,79.04,79.61,77.90
77.78,76.88,78.36,76.80
77.08,77.48,77.61,76.49
77.15,77.66,78.36,76.92
78.16,78.75,79.13,78.11
79.83,80.02,80.81,79.70
79.25,79.62,79.91,78.73
80.34,79.13,80.58,79.07
79.62,79.34,79.88,78.76
79.02,78.26,79.42,78.04
78.44,78.45,78.76,77.73
78.75,79.48,79.65,78.69
79.26,79.60,79.92,78.97
80.23,81.58,81.72,80.19
81.61,80.03,81.61,79.64
80.27,77.86,80.38,77.80
78.46,77.98,78.57,77.49
77.15,76.88,77.43,76.72
77.02,77.19,77.45,76.37
78.04,77.20,78.11,76.96
76.46,78.05,78.10,76.11
79.62,80.73,80.75,79.32
79.95,79.62,80.49,78.69
80.87,80.23,80.87,79.69
80.00,80.06,80.37,79.37
79.12,79.82,80.00,78.87
79.78,79.63,80.05,79.28
80.35,78.63,80.36,78.25
78.90,78.61,78.91,78.00
78.00,77.72,78.19,77.21
78.13,79.84,79.88,78.03
79.60,79.45,79.70,78.91
79.87,80.28,80.29,79.30
80.23,81.54,81.55,79.84
81.74,81.50,82.00,80.99
80.75,80.43,81.09,80.38
79.13,79.58,79.92,79.02
79.47,78.88,80.09,77.61
79.24,78.91,79.84,78.69
80.01,79.88,80.66,79.34
80.78,81.26,81.45,79.88
81.22,81.34,81.84,80.68
80.93,80.43,81.03,80.14
80.83,81.24,81.78,80.58
80.50,80.40,80.88,79.39
81.83,82.24,82.58,81.10
82.70,82.72,83.06,82.31
83.01,83.23,83.34,82.56
82.85,83.93,84.39,82.74
83.70,84.04,84.46,83.29
83.85,83.73,83.97,82.91
83.58,83.63,83.75,83.03
84.04,83.50,84.29,83.20
83.35,83.57,83.89,83.10
83.88,84.67,84.83,83.63
84.94,84.42,85.17,84.20
84.25,84.57,84.63,84.10
84.76,84.44,85.00,84.13
84.06,85.00,85.00,83.40
84.89,83.51,84.89,83.38
83.40,83.33,83.50,82.91
83.54,82.54,83.71,82.44
82.35,82.26,82.61,81.98
82.40,82.03,82.69,81.79
81.91,81.76,82.13,81.39
82.30,82.58,82.76,81.84
82.13,81.49,82.80,81.16
81.40,82.11,82.30,81.40
82.52,83.52,83.87,82.52
83.71,83.61,84.16,83.12
83.55,83.23,83.95,83.20
83.45,83.99,84.34,83.33
84.00,83.39,84.18,83.04
83.31,84.29,84.84,82.87
84.24,85.49,85.68,83.82
85.45,85.62,85.83,85.26
85.53,85.33,85.68,84.84
85.45,85.24,85.50,84.82
84.78,85.05,85.12,84.38
85.30,84.51,85.35,84.44
84.19,83.94,84.30,83.52
84.14,83.35,84.57,83.31
83.03,83.18,83.29,82.32
82.96,82.65,83.14,82.37
82.40,82.70,82.79,81.99
82.53,82.85,83.75,82.25
82.95,82.67,83.45,82.25
82.63,82.73,82.89,82.20
83.22,83.39,83.60,82.74
84.01,83.90,84.59,83.55
83.50,83.88,84.04,83.22
83.98,82.96,84.11,82.95
82.97,82.02,82.97,81.81
82.50,81.97,82.73,81.96
82.00,82.00,82.84,81.60
82.45,82.29,82.56,82.00
82.99,84.61,84.65,82.59
84.41,84.95,85.33,84.41
84.85,85.35,85.95,84.41
82.95,79.99,83.25,79.72
79.34,78.96,79.39,77.27
77.63,77.28,78.30,77.05
77.65,77.09,77.96,76.78
77.95,77.73,78.18,77.01
77.40,77.92,78.09,77.04
78.38,77.53,78.62,77.11
78.07,78.19,79.37,77.11
78.26,78.15,79.18,77.00
77.90,78.75,78.92,77.70
78.85,79.75,80.48,78.50
78.90,79.46,79.82,78.63
79.45,79.15,80.11,79.05
79.01,79.73,80.17,79.01
79.93,79.95,80.32,79.59
80.55,80.54,81.24,80.29
80.73,80.23,80.82,79.84
80.17,79.85,80.66,79.50
79.94,80.00,80.32,79.30
80.57,80.87,80.93,80.28
80.60,81.61,81.63,80.60
82.06,81.94,82.10,81.63
82.35,83.04,83.07,82.19
82.73,83.34,83.34,82.68
83.29,82.87,83.34,82.68
82.39,82.45,82.87,81.89
82.64,82.35,83.25,82.10
82.50,82.94,83.19,82.41
83.20,81.57,83.39,81.43
81.16,81.70,82.18,81.16
81.62,81.99,82.20,81.35
82.01,82.15,82.21,81.44
82.05,83.06,83.08,81.55
83.02,83.11,83.20,82.76
83.26,83.24,83.81,83.01
83.71,82.56,83.80,82.40
82.65,82.95,83.15,82.49
83.02,82.55,83.30,82.47
82.65,83.36,83.55,82.58
83.54,84.47,84.73,83.01
84.59,83.77,84.85,83.77
83.91,85.05,85.05,83.84
84.64,84.28,85.05,84.06
84.56,85.26,85.31,84.03
85.38,85.75,86.31,85.19
85.89,84.80,85.91,83.70
84.06,82.93,84.10,82.89
82.39,84.02,84.05,82.00
85.46,85.86,85.94,85.04
85.96,85.56,86.40,85.33
85.86,86.71,86.81,85.69
86.38,86.63,86.72,85.74
86.58,86.79,86.81,85.53
86.91,87.96,88.11,86.62
88.25,87.88,88.25,87.16
88.06,88.37,88.40,87.45
88.24,87.99,88.40,87.66
87.59,87.70,88.00,87.32
87.30,87.29,87.81,86.68
87.66,88.42,88.96,87.48
88.57,88.69,88.86,87.79
88.74,89.40,89.61,88.28
89.45,88.44,89.99,87.58
88.08,88.23,88.69,87.35
88.50,88.36,88.73,87.94
88.33,88.01,88.42,87.67
88.14,88.88,89.15,87.98
88.70,87.99,88.96,87.88
87.72,87.43,88.20,87.37
88.15,88.73,88.98,88.05
88.14,87.14,88.35,87.08
87.62,87.49,88.12,87.40
87.31,87.50,87.65,86.96
87.66,87.36,87.66,86.77
87.55,88.35,88.49,87.33
88.47,88.42,88.74,88.11
88.43,88.83,88.88,87.79
88.94,88.78,89.05,88.35
88.49,88.69,88.87,88.03
88.71,88.23,88.80,87.96
88.63,88.70,89.13,88.18
88.64,87.61,88.80,87.55
87.21,85.67,87.75,85.00
86.02,86.09,86.10,85.32
86.49,84.23,86.51,84.22
84.59,84.34,84.93,84.15
84.43,85.56,85.94,84.27
85.48,86.34,86.83,85.44
85.85,86.34,86.65,85.32
86.12,86.34,86.53,85.57
86.75,86.90,87.72,86.62
87.20,86.71,87.28,86.62
86.87,87.85,87.94,86.68
88.27,89.10,89.23,88.11
88.84,88.83,89.03,88.16
88.83,88.91,89.31,88.44
88.91,89.00,89.12,88.08
89.20,89.90,89.90,89.00
89.56,90.17,90.34,89.34
89.23,88.92,89.28,88.50
88.95,88.21,89.28,87.66
88.59,88.84,89.09,88.33
87.88,87.10,87.95,86.58
87.77,87.52,88.04,87.23
87.99,87.47,88.14,87.15
87.79,87.92,88.07,87.44
86.54,86.28,86.55,85.65
86.30,87.12,87.27,86.06
86.69,85.51,86.83,85.24
85.96,85.01,86.07,84.70
85.14,84.28,85.20,84.04
84.45,85.37,85.40,84.32
84.58,85.13,85.18,84.06
85.02,85.65,85.68,84.71
85.97,86.00,86.40,85.38
86.20,86.34,86.43,85.86
86.43,87.24,87.32,86.23
87.02,86.93,87.20,86.43
86.45,84.86,86.63,84.85
85.16,86.50,86.58,85.16
86.06,85.78,86.46,85.48
86.08,84.85,86.38,84.66
85.08,85.71,85.92,85.08
85.71,86.29,86.51,85.64
85.72,85.18,86.40,84.53
85.41,85.80,86.18,85.31
85.62,86.01,86.69,85.33
86.00,85.59,86.08,85.45
85.93,86.54,86.67,85.59
86.52,86.96,86.96,86.03
86.69,85.69,86.77,85.63
88.95,89.04,90.90,87.54
89.99,89.80,90.22,89.51
90.00,89.38,90.00,88.53
89.59,90.03,90.19,89.29
89.88,91.15,91.17,89.70
90.91,91.01,91.38,90.68
91.18,91.21,91.42,90.52
90.97,90.84,91.21,90.50
90.97,91.59,91.64,90.57
91.42,92.38,92.45,90.92
92.10,92.77,92.96,92.03
93.00,94.33,94.49,92.87
94.08,94.81,95.41,94.06
95.00,94.86,95.49,94.54
94.75,95.12,96.16,94.53
93.47,94.17,94.38,93.11
93.71,93.93,94.06,93.26
94.97,94.71,95.16,94.34
94.23,94.63,95.06,94.02
94.85,94.89,95.10,94.43
94.51,94.41,95.27,94.21
94.39,94.77,94.80,93.98
94.50,95.39,95.54,94.34
95.07,94.10,95.52,94.10
94.10,94.55,94.66,93.76
94.88,95.09,95.14,94.00
95.10,94.99,95.30,94.75
94.11,94.90,95.35,93.75
95.36,94.79,95.50,94.71
94.68,95.34,95.60,94.31
95.73,96.35,96.59,95.26
96.64,96.57,96.88,96.25
96.55,96.58,96.74,96.14
96.72,96.16,97.12,96.12
95.38,94.28,95.71,94.14
