PLUG,Plug Power,NASDAQ
0.45,0.43,0.46,0.40
0.44,0.36,0.44,0.36
0.42,0.40,0.43,0.38
0.42,0.42,0.42,0.39
0.44,0.40,0.44,0.40
0.40,0.42,0.42,0.39
0.43,0.40,0.44,0.39
0.40,0.38,0.41,0.38
0.39,0.39,0.39,0.37
0.40,0.38,0.40,0.37
0.43,0.36,0.43,0.36
0.37,0.37,0.39,0.36
0.38,0.38,0.40,0.38
0.40,0.41,0.41,0.39
0.41,0.40,0.41,0.40
0.43,0.43,0.45,0.41
0.45,0.45,0.47,0.43
0.48,0.50,0.53,0.46
0.50,0.54,0.57,0.50
0.60,0.61,0.63,0.57
0.62,0.57,0.62,0.54
0.58,0.51,0.58,0.50
0.50,0.51,0.51,0.47
0.52,0.50,0.52,0.48
0.47,0.50,0.50,0.47
0.46,0.46,0.48,0.44
0.45,0.42,0.46,0.40
0.42,0.46,0.46,0.42
0.45,0.45,0.46,0.41
0.45,0.45,0.47,0.43
0.47,0.43,0.47,0.43
0.43,0.45,0.45,0.43
0.44,0.45,0.46,0.44
0.44,0.45,0.57,0.44
0.48,0.48,0.49,0.46
0.48,0.48,0.53,0.46
0.50,0.47,0.50,0.46
0.47,0.46,0.49,0.46
0.48,0.45,0.48,0.45
0.47,0.44,0.47,0.44
0.45,0.44,0.45,0.43
0.44,0.44,0.46,0.43
0.45,0.47,0.48,0.44
0.48,0.47,0.49,0.46
0.47,0.50,0.51,0.46
0.49,0.47,0.52,0.47
0.47,0.46,0.47,0.44
0.48,0.44,0.48,0.44
0.47,0.45,0.48,0.44
0.47,0.45,0.47,0.45
0.47,0.50,0.50,0.46
0.45,0.45,0.47,0.43
0.45,0.49,0.49,0.45
0.49,0.49,0.49,0.47
0.49,0.45,0.49,0.45
0.45,0.43,0.45,0.42
0.43,0.42,0.43,0.42
0.42,0.43,0.45,0.42
0.44,0.43,0.44,0.42
0.44,0.44,0.45,0.43
0.44,0.43,0.44,0.42
0.44,0.41,0.44,0.41
0.41,0.41,0.43,0.41
0.42,0.40,0.42,0.40
0.40,0.40,0.41,0.40
0.40,0.41,0.41,0.40
0.40,0.42,0.42,0.40
0.43,0.41,0.43,0.41
0.41,0.40,0.42,0.40
0.41,0.40,0.41,0.40
0.40,0.40,0.41,0.40
0.40,0.39,0.44,0.38
0.39,0.38,0.40,0.38
0.40,0.39,0.40,0.38
0.38,0.41,0.42,0.37
0.39,0.39,0.41,0.38
0.41,0.40,0.41,0.39
0.41,0.41,0.42,0.39
0.39,0.39,0.41,0.39
0.40,0.40,0.42,0.39
0.40,0.38,0.41,0.38
0.39,0.41,0.41,0.39
0.41,0.41,0.41,0.40
0.39,0.39,0.43,0.39
0.39,0.39,0.39,0.38
0.38,0.39,0.42,0.38
0.39,0.41,0.41,0.39
0.40,0.40,0.41,0.38
0.38,0.38,0.41,0.38
0.41,0.38,0.41,0.38
0.39,0.39,0.40,0.38
0.39,0.38,0.40,0.38
0.38,0.37,0.39,0.37
0.39,0.38,0.39,0.37
0.39,0.39,0.41,0.38
0.40,0.39,0.40,0.39
0.38,0.38,0.39,0.37
0.38,0.42,0.43,0.38
0.41,0.45,0.46,0.40
0.45,0.48,0.50,0.44
0.50,0.45,0.52,0.45
0.45,0.44,0.49,0.42
0.46,0.42,0.46,0.41
0.41,0.42,0.44,0.40
0.43,0.43,0.45,0.42
0.43,0.44,0.44,0.42
0.41,0.43,0.45,0.41
0.43,0.46,0.46,0.42
0.47,0.51,0.51,0.45
0.55,0.53,0.56,0.47
0.53,0.50,0.53,0.48
0.51,0.47,0.52,0.47
0.50,0.51,0.52,0.47
0.50,0.52,0.54,0.50
0.51,0.54,0.57,0.51
0.55,0.54,0.57,0.52
0.52,0.50,0.55,0.47
0.51,0.50,0.53,0.49
0.51,0.51,0.52,0.50
0.50,0.49,0.53,0.48
0.49,0.48,0.50,0.48
0.48,0.49,0.50,0.47
0.50,0.46,0.50,0.46
0.46,0.45,0.47,0.44
0.48,0.47,0.50,0.46
0.49,0.49,0.49,0.45
0.50,0.49,0.50,0.47
0.49,0.44,0.49,0.43
0.45,0.45,0.45,0.41
0.46,0.45,0.46,0.43
0.46,0.43,0.46,0.42
0.43,0.41,0.44,0.40
0.41,0.41,0.43,0.40
0.41,0.41,0.42,0.41
0.42,0.40,0.43,0.39
0.40,0.40,0.42,0.39
0.40,0.39,0.42,0.39
0.39,0.37,0.41,0.36
0.37,0.37,0.38,0.37
0.38,0.39,0.40,0.37
0.39,0.37,0.39,0.37
0.37,0.39,0.39,0.37
0.39,0.38,0.39,0.37
0.38,0.37,0.38,0.37
0.38,0.39,0.39,0.37
0.40,0.38,0.41,0.38
0.38,0.39,0.40,0.38
0.39,0.39,0.41,0.38
0.38,0.39,0.40,0.38
0.39,0.40,0.40,0.38
0.38,0.39,0.40,0.38
0.38,0.39,0.40,0.38
0.40,0.39,0.40,0.38
0.38,0.37,0.39,0.37
0.38,0.39,0.39,0.36
0.40,0.46,0.48,0.39
0.46,0.46,0.49,0.43
0.45,0.45,0.46,0.43
0.46,0.43,0.46,0.43
0.45,0.46,0.48,0.43
0.47,0.48,0.52,0.46
0.52,0.52,0.54,0.49
0.54,0.61,0.68,0.54
0.66,0.72,0.77,0.65
0.75,0.90,0.94,0.75
0.99,0.81,1.07,0.81
0.77,0.73,0.78,0.68
0.77,0.79,0.83,0.74
0.84,0.75,0.85,0.72
0.76,0.71,0.76,0.67
0.70,0.74,0.74,0.69
0.73,0.78,0.83,0.72
0.80,0.75,0.83,0.75
0.76,0.75,0.78,0.75
0.77,0.75,0.80,0.75
0.79,0.80,0.84,0.74
0.80,0.87,0.92,0.79
0.90,0.82,0.92,0.81
0.82,0.78,0.82,0.77
0.85,0.81,0.86,0.80
0.82,0.83,0.84,0.82
0.83,0.81,0.83,0.79
0.82,0.79,0.82,0.79
0.79,0.80,0.84,0.78
0.80,0.78,0.80,0.78
0.78,0.78,0.81,0.78
0.79,0.81,0.81,0.78
0.81,0.80,0.81,0.77
0.79,0.77,0.79,0.76
0.76,0.75,0.78,0.71
0.73,0.74,0.77,0.72
0.75,0.74,0.78,0.74
0.75,0.73,0.78,0.73
0.73,0.71,0.75,0.71
0.71,0.71,0.73,0.70
0.72,0.70,0.73,0.66
0.68,0.69,0.72,0.67
0.68,0.70,0.78,0.68
0.70,0.69,0.74,0.69
0.70,0.69,0.71,0.69
0.70,0.67,0.70,0.66
0.67,0.65,0.68,0.60
0.64,0.62,0.65,0.61
0.61,0.60,0.62,0.57
0.60,0.59,0.63,0.59
0.63,0.60,0.64,0.60
0.63,0.62,0.64,0.60
0.64,0.64,0.68,0.63
0.65,0.66,0.66,0.63
0.65,0.65,0.66,0.63
0.66,0.66,0.67,0.64
0.65,0.65,0.67,0.64
0.66,0.64,0.67,0.62
0.66,0.74,0.76,0.63
0.75,0.75,0.80,0.74
0.76,0.76,0.80,0.70
0.73,0.76,0.78,0.65
0.73,0.67,0.75,0.66
0.70,0.67,0.70,0.67
0.70,0.69,0.71,0.68
0.70,0.67,0.70,0.67
0.67,0.68,0.70,0.66
0.68,0.66,0.70,0.66
0.66,0.63,0.66,0.61
0.63,0.61,0.63,0.61
0.60,0.62,0.63,0.59
0.63,0.60,0.63,0.59
0.58,0.52,0.59,0.48
0.53,0.46,0.54,0.42
0.49,0.48,0.53,0.47
0.52,0.50,0.52,0.49
0.51,0.54,0.56,0.50
0.57,0.60,0.61,0.56
0.61,0.61,0.62,0.60
0.61,0.56,0.62,0.56
0.55,0.57,0.59,0.55
0.60,0.57,0.60,0.55
0.56,0.57,0.57,0.55
0.56,0.54,0.56,0.52
0.54,0.51,0.54,0.50
0.51,0.52,0.52,0.51
0.52,0.51,0.52,0.50
0.52,0.52,0.54,0.52
0.54,0.53,0.57,0.51
0.51,0.51,0.56,0.50
0.52,0.55,0.55,0.52
0.55,0.52,0.56,0.52
0.53,0.50,0.53,0.50
0.51,0.45,0.52,0.42
0.43,0.46,0.49,0.43
4.39,3.82,5.87,3.70
3.90,3.24,3.90,3.12
3.26,2.85,3.26,2.75
2.39,2.40,2.47,2.30
2.39,2.30,2.40,2.23
2.30,2.34,2.34,2.25
2.42,2.45,2.45,2.34
2.49,2.34,2.49,2.31
2.33,2.35,2.43,2.31
2.34,2.34,2.40,2.24
2.30,2.28,2.35,2.28
2.28,2.18,2.32,2.18
2.15,2.00,2.20,1.99
2.01,2.20,2.25,1.91
2.26,2.20,2.34,2.10
2.20,2.25,2.35,2.16
2.29,2.28,2.32,2.22
2.28,2.22,2.28,2.22
2.22,2.29,2.31,2.22
2.32,2.34,2.35,2.25
2.36,2.32,2.36,2.11
2.35,2.41,2.42,2.25
2.44,2.29,2.46,2.29
2.29,2.25,2.29,2.13
2.27,2.30,2.35,2.20
2.34,2.27,2.36,2.24
2.40,2.28,2.40,2.23
2.34,2.27,2.34,2.22
2.34,2.22,2.34,2.21
2.30,2.33,2.35,2.26
2.31,2.28,2.34,2.27
2.26,2.26,2.33,2.22
2.29,2.24,2.30,2.24
2.22,2.21,2.24,2.16
2.14,2.07,2.18,2.06
2.02,2.08,2.14,2.02
2.12,2.22,2.25,2.07
2.22,2.28,2.32,2.18
2.30,2.30,2.34,2.25
2.29,2.27,2.31,2.17
2.30,2.28,2.32,2.22
2.35,2.44,2.63,2.33
2.45,2.34,2.45,2.25
2.33,2.37,2.39,2.29
2.34,2.26,2.35,2.21
2.30,2.27,2.38,2.25
2.26,2.22,2.32,2.21
2.18,2.19,2.21,2.10
2.15,2.35,2.36,2.11
2.40,2.24,2.42,2.21
2.23,2.12,2.31,2.11
2.24,2.17,2.24,2.07
2.13,1.93,2.14,1.90
1.93,1.85,1.98,1.76
1.80,1.70,1.88,1.63
1.60,1.47,1.64,1.37
1.51,1.40,1.51,1.35
1.38,1.57,1.63,1.37
1.58,1.68,1.68,1.55
1.68,1.82,1.84,1.68
1.75,1.83,1.84,1.74
1.83,1.80,1.96,1.76
1.70,1.62,1.74,1.59
1.60,1.58,1.69,1.54
1.63,1.59,1.63,1.55
1.58,1.61,1.62,1.53
1.61,1.75,1.75,1.61
1.73,1.70,1.78,1.64
1.67,1.67,1.74,1.59
1.66,1.76,1.78,1.65
1.73,1.71,1.74,1.65
1.71,1.82,1.83,1.71
1.83,1.78,1.85,1.76
1.76,1.77,1.80,1.72
1.69,1.69,1.75,1.62
1.71,1.73,1.77,1.71
1.73,1.77,1.89,1.72
1.75,1.71,1.76,1.68
1.68,1.72,1.76,1.66
1.74,1.78,1.80,1.74
1.78,1.77,1.80,1.74
1.79,1.85,1.85,1.78
1.99,1.96,2.18,1.92
1.94,1.89,1.95,1.81
1.91,1.93,1.97,1.91
1.96,1.94,2.05,1.93
1.94,1.78,1.94,1.74
1.77,1.75,1.77,1.70
1.80,1.75,1.80,1.71
1.79,1.82,1.95,1.77
1.87,1.75,1.90,1.75
1.79,1.80,1.84,1.77
1.81,1.82,1.85,1.78
1.80,1.73,1.80,1.70
1.75,1.60,1.75,1.50
1.62,1.78,1.83,1.62
1.80,1.87,1.87,1.80
1.89,1.79,1.92,1.74
1.82,1.79,1.85,1.75
1.79,1.76,1.83,1.70
1.78,1.89,1.93,1.78
1.90,1.89,1.90,1.85
1.91,1.94,1.96,1.89
1.94,1.95,2.02,1.92
1.97,1.90,1.97,1.89
1.90,1.92,1.97,1.83
1.96,2.08,2.20,1.92
2.10,2.19,2.31,2.10
2.23,2.21,2.33,2.20
2.19,2.17,2.27,2.10
2.20,2.03,2.21,2.00
2.12,2.14,2.27,2.01
2.14,2.30,2.32,2.12
2.35,2.25,2.35,2.25
2.23,2.12,2.23,2.12
2.15,2.21,2.30,2.15
2.35,2.30,2.36,2.20
2.33,2.25,2.33,2.24
2.24,2.16,2.29,2.15
2.20,2.17,2.23,2.12
2.17,2.23,2.28,2.14
2.27,2.46,2.46,2.25
2.48,2.61,2.71,2.42
2.60,2.56,2.69,2.56
2.55,2.45,2.57,2.38
2.43,2.46,2.57,2.42
2.46,2.41,2.46,2.40
2.44,2.37,2.44,2.32
2.28,2.18,2.28,2.13
2.16,2.14,2.20,2.07
2.12,1.98,2.12,1.92
2.00,2.07,2.09,2.00
2.19,2.19,2.23,2.08
2.22,2.16,2.34,2.11
2.25,2.22,2.28,2.18
2.20,2.26,2.30,2.18
2.32,2.28,2.35,2.22
2.34,2.23,2.34,2.21
2.26,2.15,2.26,2.11
2.25,2.34,2.39,2.16
2.29,2.20,2.40,2.20
2.20,2.25,2.28,2.20
2.24,2.16,2.24,2.13
2.28,2.17,2.28,2.16
2.17,2.06,2.19,2.05
2.13,2.10,2.16,2.05
2.11,2.08,2.15,2.07
2.11,2.06,2.14,2.05
2.09,2.07,2.14,2.01
2.04,2.02,2.08,2.01
2.05,2.12,2.12,2.00
2.13,2.14,2.17,2.12
2.13,2.08,2.14,2.05
2.09,2.00,2.13,2.00
2.00,2.01,2.05,2.00
2.05,2.04,2.07,1.95
2.06,2.00,2.08,1.95
2.01,2.02,2.02,1.99
2.01,1.98,2.03,1.98
1.98,1.93,2.00,1.88
1.92,1.86,1.97,1.85
1.85,1.83,1.89,1.80
1.81,1.98,2.02,1.81
2.03,1.97,2.03,1.96
1.95,1.95,2.01,1.94
1.95,1.95,1.99,1.92
1.93,1.93,1.97,1.92
1.93,1.99,1.99,1.92
2.00,2.00,2.01,1.97
2.00,1.98,2.00,1.95
2.00,1.99,2.01,1.98
2.00,1.97,2.01,1.96
1.98,2.02,2.05,1.98
2.01,2.00,2.05,1.98
2.00,2.02,2.09,1.95
2.02,1.94,2.05,1.92
1.97,1.99,2.00,1.94
1.98,2.00,2.02,1.98
2.04,2.03,2.04,1.97
2.03,2.04,2.09,2.02
2.06,2.36,2.42,2.06
2.42,2.28,2.42,2.22
2.28,2.36,2.38,2.27
2.34,2.27,2.34,2.22
2.28,2.27,2.30,2.21
2.25,2.24,2.25,2.22
2.25,2.32,2.39,2.22
2.35,2.27,2.36,2.26
2.31,2.31,2.34,2.27
2.31,2.33,2.39,2.25
2.33,2.55,2.60,2.33
2.54,2.44,2.58,2.42
2.45,2.38,2.50,2.35
2.38,2.42,2.45,2.36
2.40,2.26,2.42,2.25
2.28,2.22,2.32,2.21
2.22,2.10,2.28,2.05
2.10,2.07,2.18,2.07
2.12,2.06,2.14,2.05
2.06,2.05,2.12,2.00
2.10,2.10,2.12,2.04
2.04,1.91,2.10,1.89
1.89,1.77,1.92,1.76
1.80,1.70,1.81,1.70
1.80,1.80,1.82,1.76
1.80,1.78,1.82,1.77
1.77,1.80,1.81,1.76
1.80,1.80,1.81,1.73
1.76,1.77,1.80,1.76
1.79,1.71,1.79,1.71
1.71,1.61,1.73,1.56
1.59,1.41,1.59,1.40
1.35,1.40,1.40,1.26
1.40,1.45,1.47,1.35
1.42,1.36,1.43,1.35
1.35,1.28,1.36,1.28
1.28,1.34,1.34,1.27
1.33,1.31,1.35,1.26
1.34,1.27,1.34,1.25
1.27,1.30,1.30,1.26
1.31,1.24,1.34,1.21
1.23,1.27,1.27,1.22
1.26,1.18,1.26,1.18
1.17,1.17,1.20,1.11
1.25,1.33,1.36,1.18
1.35,1.29,1.41,1.27
1.32,1.27,1.32,1.21
1.30,1.29,1.30,1.25
1.31,1.26,1.31,1.22
1.28,1.22,1.29,1.21
1.24,1.24,1.27,1.21
1.27,1.22,1.27,1.21
1.23,1.21,1.24,1.20
1.20,1.26,1.27,1.19
1.29,1.26,1.29,1.23
1.28,1.26,1.28,1.24
1.28,1.24,1.28,1.22
1.23,1.32,1.32,1.23
1.30,1.31,1.33,1.29
1.30,1.30,1.33,1.27
1.28,1.26,1.32,1.24
1.28,1.28,1.29,1.23
1.25,1.29,1.31,1.23
1.29,1.23,1.29,1.22
1.23,1.24,1.24,1.20
1.25,1.23,1.26,1.21
1.25,1.28,1.31,1.23
1.27,1.28,1.30,1.23
1.31,1.23,1.31,1.22
1.22,1.22,1.28,1.22
1.22,1.22,1.28,1.22
1.22,1.17,1.25,1.15
1.15,1.21,1.21,1.12
1.17,1.18,1.21,1.17
1.16,1.19,1.20,1.12
1.19,1.18,1.21,1.16
1.18,1.19,1.22,1.16
1.22,1.18,1.22,1.15
1.16,1.15,1.20,1.15
1.15,1.15,1.19,1.15
1.15,1.17,1.20,1.15
1.15,1.20,1.20,1.15
1.17,1.19,1.20,1.17
1.22,1.20,1.22,1.17
1.21,1.18,1.21,1.15
1.17,1.18,1.20,1.15
1.16,1.16,1.20,1.15
1.18,1.17,1.20,1.17
1.17,1.18,1.19,1.17
1.17,1.17,1.19,1.14
1.16,1.14,1.18,1.14
1.15,1.15,1.17,1.13
1.15,1.15,1.16,1.14
1.17,1.14,1.17,1.13
1.15,1.12,1.16,1.12
1.13,1.15,1.15,1.11
1.13,1.11,1.16,1.10
1.14,1.12,1.14,1.10
1.13,1.10,1.13,1.10
1.10,1.12,1.12,1.10
1.12,1.14,1.16,1.11
1.16,1.14,1.17,1.11
1.12,1.16,1.16,1.12
1.13,1.14,1.16,1.12
1.13,1.13,1.16,1.13
1.13,1.11,1.17,1.10
1.10,1.11,1.14,1.10
1.11,1.10,1.15,1.10
1.10,1.11,1.13,1.10
1.13,1.11,1.13,1.10
1.13,1.11,1.15,1.10
1.11,1.15,1.15,1.10
1.16,1.17,1.22,1.11
1.19,1.15,1.19,1.15
1.16,1.17,1.18,1.16
1.17,1.15,1.18,1.14
1.18,1.15,1.18,1.13
1.13,1.13,1.16,1.10
1.14,1.15,1.15,1.12
1.16,1.17,1.17,1.14
1.15,1.16,1.17,1.15
1.17,1.20,1.25,1.15
1.21,1.22,1.25,1.19
1.22,1.22,1.23,1.20
1.21,1.20,1.22,1.20
1.23,1.25,1.28,1.23
1.25,1.21,1.30,1.17
1.23,1.20,1.24,1.19
1.19,1.21,1.23,1.18
1.20,1.22,1.24,1.20
1.24,1.21,1.24,1.19
1.15,1.13,1.17,1.10
1.13,1.02,1.17,1.00
1.01,1.03,1.04,1.00
1.02,1.05,1.08,1.02
1.07,1.06,1.08,1.05
1.07,1.10,1.10,1.06
1.10,1.08,1.11,1.07
1.05,1.05,1.07,1.02
1.06,1.06,1.07,1.06
1.05,1.05,1.05,1.02
1.02,1.03,1.06,1.02
1.01,1.03,1.05,1.01
1.00,0.99,1.09,0.92
1.01,0.96,1.05,0.96
0.94,0.95,0.96,0.93
0.94,0.95,0.97,0.94
0.94,0.88,0.94,0.86
0.76,0.82,0.88,0.76
0.85,0.87,0.88,0.85
0.88,0.84,0.90,0.82
0.86,0.82,0.88,0.82
0.81,0.85,0.88,0.81
0.85,0.88,0.90,0.85
0.89,0.85,0.89,0.84
0.83,0.84,0.87,0.82
0.84,0.81,0.87,0.81
0.82,0.82,0.85,0.81
0.82,0.81,0.84,0.81
0.80,0.84,0.84,0.80
0.83,0.80,0.84,0.80
0.81,0.83,0.85,0.80
0.84,0.84,0.85,0.81
0.84,0.83,0.86,0.83
0.83,0.83,0.85,0.83
0.86,0.82,0.91,0.82
0.86,0.84,0.87,0.83
0.83,0.85,0.88,0.83
0.87,0.84,0.88,0.84
0.85,0.83,0.86,0.83
0.84,0.84,0.86,0.83
0.85,0.86,0.88,0.85
0.86,0.87,0.89,0.86
0.88,0.90,0.92,0.85
0.91,0.85,0.91,0.84
0.85,0.84,0.89,0.83
0.82,0.81,0.85,0.80
0.80,0.79,0.84,0.78
0.79,0.75,0.80,0.75
0.71,0.76,0.80,0.70
0.72,0.70,0.76,0.67
0.70,0.76,0.79,0.70
0.74,0.74,0.80,0.73
0.74,0.74,0.79,0.74
0.73,0.74,0.80,0.73
0.75,0.77,0.78,0.75
0.78,0.79,0.81,0.75
0.79,0.78,0.81,0.77
0.77,0.76,0.80,0.76
0.78,0.80,0.80,0.78
0.80,0.76,0.80,0.76
0.75,0.75,0.79,0.75
0.75,0.74,0.79,0.74
0.74,0.70,0.78,0.70
0.68,0.74,0.76,0.67
0.74,0.73,0.75,0.71
0.70,0.72,0.75,0.70
0.68,0.64,0.72,0.63
0.69,0.59,0.69,0.59
0.62,0.59,0.62,0.59
0.63,0.61,0.64,0.59
0.60,0.68,0.70,0.60
0.69,0.62,0.70,0.62
0.64,0.60,0.64,0.60
0.64,0.60,0.65,0.59
0.64,0.62,0.65,0.60
0.69,0.67,0.69,0.62
0.67,0.66,0.67,0.63
0.65,0.65,0.68,0.61
0.65,0.63,0.68,0.62
0.61,0.65,0.66,0.61
0.62,0.64,0.65,0.61
0.61,0.64,0.65,0.61
0.64,0.60,0.65,0.60
0.60,0.61,0.64,0.59
0.59,0.63,0.63,0.59
0.65,0.61,0.65,0.60
0.60,0.61,0.64,0.59
0.61,0.60,0.61,0.59
0.60,0.60,0.65,0.59
0.60,0.57,0.60,0.57
0.58,0.57,0.60,0.57
0.57,0.58,0.60,0.57
0.57,0.58,0.58,0.55
0.57,0.54,0.59,0.54
0.50,0.50,0.53,0.47
0.50,0.50,0.52,0.48
0.51,0.51,0.52,0.47
0.53,0.53,0.53,0.52
0.53,0.53,0.54,0.51
0.53,0.54,0.59,0.51
0.57,0.59,0.61,0.57
0.63,0.68,0.69,0.60
0.75,0.65,0.76,0.63
0.63,0.59,0.67,0.58
0.55,0.55,0.59,0.52
0.50,0.48,0.52,0.47
0.48,0.48,0.49,0.47
0.50,0.49,0.50,0.48
0.48,0.45,0.49,0.44
0.45,0.47,0.47,0.44
0.48,0.47,0.49,0.47
0.47,0.49,0.49,0.47
0.51,0.47,0.51,0.47
0.46,0.47,0.49,0.45
0.47,0.46,0.48,0.46
0.46,0.45,0.47,0.45
0.46,0.44,0.47,0.44
0.44,0.42,0.46,0.38
0.42,0.41,0.43,0.40
0.40,0.37,0.42,0.36
0.41,0.40,0.41,0.37
0.40,0.40,0.41,0.39
0.41,0.39,0.41,0.38
0.38,0.34,0.40,0.33
0.35,0.25,0.35,0.25
0.15,0.12,0.15,0.12
0.13,0.14,0.14,0.13
0.15,0.15,0.15,0.14
0.15,0.14,0.16,0.14
0.15,0.13,0.15,0.13
0.14,0.13,0.15,0.13
0.15,0.12,0.15,0.12
0.12,0.12,0.13,0.12
0.12,0.13,0.14,0.12
0.14,0.17,0.18,0.14
0.18,0.15,0.19,0.15
0.16,0.17,0.19,0.14
0.19,0.17,0.19,0.17
0.18,0.18,0.18,0.17
0.18,0.17,0.18,0.16
0.17,0.17,0.18,0.16
0.18,0.17,0.18,0.17
0.18,0.18,0.18,0.17
0.18,0.16,0.18,0.16
0.17,0.17,0.18,0.16
0.18,0.18,0.18,0.17
0.18,0.22,0.24,0.18
0.22,0.27,0.27,0.21
0.30,0.20,0.32,0.20
0.23,0.21,0.25,0.21
0.22,0.23,0.24,0.21
0.26,0.25,0.26,0.24
0.26,0.23,0.26,0.22
0.24,0.23,0.25,0.23
0.24,0.22,0.24,0.21
0.19,0.17,0.20,0.15
0.17,0.19,0.20,0.16
0.19,0.18,0.21,0.17
0.19,0.18,0.19,0.17
0.18,0.19,0.19,0.18
0.19,0.18,0.19,0.17
0.18,0.17,0.18,0.17
0.18,0.17,0.18,0.17
0.17,0.17,0.18,0.17
0.17,0.18,0.19,0.17
0.17,0.18,0.19,0.17
0.18,0.16,0.18,0.16
0.16,0.16,0.17,0.16
0.16,0.16,0.17,0.16
0.15,0.16,0.16,0.15
0.16,0.15,0.17,0.15
0.16,0.16,0.17,0.15
0.16,0.16,0.16,0.16
0.17,0.16,0.17,0.16
0.16,0.16,0.16,0.16
0.16,0.16,0.16,0.16
0.17,0.16,0.17,0.16
0.16,0.16,0.16,0.15
0.15,0.16,0.16,0.15
0.16,0.15,0.16,0.15
0.16,0.15,0.16,0.15
0.16,0.16,0.16,0.15
0.18,0.24,0.25,0.17
0.26,0.25,0.29,0.23
0.28,0.23,0.28,0.23
0.23,0.25,0.26,0.23
0.26,0.25,0.27,0.23
0.24,0.23,0.25,0.22
0.24,0.24,0.25,0.22
0.24,0.24,0.25,0.23
0.24,0.25,0.26,0.24
0.26,0.32,0.33,0.26
0.35,0.27,0.38,0.25
0.26,0.28,0.29,0.25
0.29,0.33,0.35,0.28
0.39,0.45,0.45,0.36
0.46,0.43,0.47,0.40
0.43,0.37,0.44,0.37
0.36,0.38,0.40,0.35
0.41,0.39,0.42,0.39
0.39,0.35,0.40,0.35
0.37,0.35,0.37,0.35
0.36,0.37,0.37,0.34
0.39,0.38,0.39,0.36
0.40,0.47,0.48,0.38
0.48,0.51,0.53,0.44
0.53,0.50,0.53,0.47
0.48,0.46,0.49,0.42
0.46,0.44,0.46,0.42
0.44,0.41,0.44,0.41
0.41,0.43,0.44,0.41
0.45,0.45,0.49,0.43
0.46,0.42,0.46,0.42
